,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2017-03,120.86M,,120.86M,,,,,,,120.86M,,,,,205.25M,205.25M,,205.25M,174.60M,34.99M,209.59M,698.70M,,125.07M,9.963B,10.08B,294.54M,294.54M,,,,,294.54M,395.86M,395.86M,29.99M,,,395.86M,690.40M,4.385B,-553.47M,5.624B,4.368B,,-92.22M,9.364B
2016-12,183.69M,,183.69M,,,,,,,183.69M,,,,,230.31M,230.31M,,230.31M,174.60M,38.12M,212.72M,689.21M,,122.15M,9.947B,10.13B,297.94M,297.94M,,,,,297.94M,390.75M,390.75M,29.74M,,,390.75M,688.68M,4.385B,-487.58M,5.610B,4.368B,,-95.11M,9.412B
2016-09,57.21M,,57.21M,,,,,,,57.21M,,,,,261.37M,261.37M,,261.37M,174.60M,37.95M,212.55M,697.04M,,118.24M,9.809B,9.866B,345.73M,345.73M,,,,,345.73M,430.89M,430.89M,29.49M,,,430.89M,776.63M,4.035B,-494.32M,5.603B,4.018B,,-83.67M,9.060B
2016-06,260.12M,,260.12M,,,,,,,260.12M,,,,,228.10M,228.10M,,228.10M,174.60M,38.80M,213.40M,696.07M,,93.21M,9.737B,9.997B,305.77M,305.77M,,,,,305.77M,436.84M,436.84M,29.28M,487.50M,,924.34M,1.230B,3.710B,-491.91M,5.599B,3.692B,,-78.99M,8.738B
2016-03,305.70M,,305.70M,,,,,,,305.70M,,,,,275.13M,275.13M,,275.13M,174.60M,37.91M,212.51M,812.42M,,90.82M,9.759B,10.06B,275.17M,275.17M,,,,,275.17M,336.66M,336.66M,28.75M,375.00M,,711.66M,986.83M,3.997B,-476.86M,5.596B,3.98B,,-67.77M,9.049B
2015-12,104.28M,,104.28M,,,,,,,104.28M,,,,,219.19M,219.19M,,219.19M,174.60M,36.86M,211.46M,809.31M,,95.47M,9.674B,9.778B,261.58M,261.58M,,,,,261.58M,319.02M,319.02M,27.00M,,,319.02M,580.59M,4.072B,-434.61M,5.602B,4.055B,,-68.55M,9.171B
2015-09,35.67M,,35.67M,,,,,,,35.67M,,,,,174.62M,174.62M,,174.62M,174.60M,38.38M,212.98M,806.20M,,99.59M,9.619B,9.655B,295.48M,295.48M,,,,,295.48M,55.72M,55.72M,26.49M,125.00M,,180.72M,476.21M,4.072B,-444.40M,5.592B,4.055B,,-67.44M,9.152B
2015-06,20.26M,,20.26M,,,,,,,20.26M,,,,,145.46M,145.46M,,145.46M,174.60M,41.71M,216.31M,808.46M,,92.76M,9.615B,9.635B,270.41M,270.41M,,,,,270.41M,58.68M,58.68M,26.29M,,,58.68M,329.10M,4.197B,-428.27M,5.572B,4.18B,,-61.52M,9.279B
2015-03,152.80M,,152.80M,,,,,,,152.80M,,,,,135.90M,135.90M,,135.90M,174.60M,46.73M,221.33M,792.28M,,124.21M,9.619B,9.772B,264.44M,264.44M,,,,,264.44M,58.66M,58.66M,26.03M,145.00M,,203.66M,468.10M,4.197B,-398.90M,5.558B,4.18B,,-78.57M,9.278B
2014-12,187.71M,,187.71M,,,,,,,187.71M,,,,,104.57M,104.57M,,104.57M,174.60M,54.03M,228.63M,813.74M,,103.30M,9.631B,9.819B,247.14M,247.14M,,,,,247.14M,64.36M,64.36M,26.38M,,,64.36M,311.50M,4.342B,-374.82M,5.562B,4.325B,,-48.16M,9.481B
2014-09,98.25M,,98.25M,,,,,,,98.25M,,,,,72.52M,72.52M,,72.52M,174.60M,55.38M,229.98M,837.62M,0.00,106.01M,9.526B,9.624B,260.46M,260.46M,,,,,260.46M,71.63M,71.63M,25.94M,,,71.63M,332.09M,4.152B,-417.66M,5.560B,4.135B,,-27.90M,9.266B
2014-06,387.98M,,387.98M,,,,,,,387.98M,,,,,60.56M,60.56M,,60.56M,174.60M,50.50M,225.10M,854.76M,207.93M,103.65M,9.558B,9.946B,237.98M,237.98M,,,,,237.98M,396.99M,396.99M,26.25M,,,396.99M,634.97M,4.152B,-408.38M,5.546B,4.135B,,-4.568M,9.285B
2014-03,101.11M,,101.11M,,,,,,,101.11M,,,,,37.74M,37.74M,,37.74M,174.60M,57.67M,232.27M,858.22M,209.56M,96.49M,9.581B,9.683B,222.61M,222.61M,,,,,222.61M,460.15M,460.15M,26.42M,,,460.15M,682.76M,3.815B,-385.51M,5.544B,3.798B,,-0.015M,8.973B
2013-12,19.17M,,19.17M,,,,,,,19.17M,,,,,52.34M,52.34M,,52.34M,174.60M,72.25M,246.85M,856.18M,428.14M,86.14M,9.857B,9.876B,218.36M,218.36M,,,,,218.36M,839.05M,839.05M,27.12M,,,839.05M,1.057B,3.580B,-318.48M,5.531B,3.562B,,-0.50M,8.792B
2013-09,56.96M,,56.96M,,,,,,,56.96M,,,,,46.04M,46.04M,,46.04M,174.60M,42.42M,217.02M,766.49M,420.44M,114.33M,9.093B,9.150B,243.03M,243.03M,,,,,243.03M,100.12M,100.12M,27.84M,,,100.12M,343.15M,3.580B,-321.89M,5.526B,3.562B,,-4.481M,8.779B
2013-06,410.91M,,410.91M,,,,,,,410.91M,,,,,74.47M,74.47M,,74.47M,174.60M,30.63M,205.23M,717.94M,404.53M,88.88M,8.684B,9.095B,218.70M,218.70M,,,,,218.70M,111.69M,111.69M,28.10M,,,111.69M,330.39M,3.580B,-338.78M,5.518B,3.562B,,-22.52M,8.736B
2013-03,398.25M,,398.25M,,,,,,,398.25M,,,,,64.02M,64.02M,,64.02M,174.60M,32.40M,207.00M,717.26M,398.56M,88.13M,8.703B,9.102B,205.13M,205.13M,,,,,205.13M,142.42M,142.42M,28.44M,,,142.42M,347.55M,3.580B,-331.98M,5.499B,3.562B,,-20.89M,8.726B
2012-12,17.24M,,17.24M,,,,,,,17.24M,,,,,36.24M,36.24M,,36.24M,174.60M,34.77M,209.37M,735.32M,411.00M,88.54M,8.776B,8.793B,201.71M,201.71M,,,,,201.71M,468.83M,468.83M,29.11M,,,468.83M,670.54M,2.855B,-279.47M,5.520B,2.838B,,-1.005M,8.094B
2012-09,535.75M,,535.75M,,,,,,,535.75M,0.0,2.852B,8.128B,,,10.98B,-3.65B,7.331B,174.60M,35.55M,210.15M,716.40M,399.79M,95.32M,8.752B,9.288B,242.71M,242.71M,,,,,242.71M,347.94M,347.94M,29.52M,367.32M,,715.27M,957.97M,3.217B,-312.69M,5.412B,3.20B,,-15.37M,8.301B
2012-06,438.48M,,438.48M,,,,,,,438.48M,0.0,2.840B,8.072B,,,10.91B,-3.568B,7.344B,0.1746M,212.24M,212.42M,703.46M,391.15M,89.67M,8.740B,9.179B,226.82M,226.82M,,,,,226.82M,368.73M,368.73M,30.16M,415.62M,,784.35M,1.011B,3.089B,-339.02M,5.415B,3.072B,,-27.43M,8.138B
2012-03,620.08M,,620.08M,,,,,,,620.08M,0.0,2.823B,8.009B,,,10.83B,-3.483B,7.349B,0.1746M,211.10M,211.28M,723.53M,414.83M,87.48M,8.786B,9.406B,212.77M,212.77M,,,,,212.77M,372.98M,372.98M,22.21M,476.63M,,849.61M,1.062B,3.217B,-296.97M,5.413B,3.200B,,-11.95M,8.322B
2011-12,139.01M,,139.01M,,,,,,,139.01M,,,,,,,,,174.60M,35.23M,209.83M,714.63M,402.69M,87.20M,8.794B,8.933B,210.97M,210.97M,,,,,210.97M,398.31M,398.31M,22.72M,12.36M,,410.67M,621.64M,3.128B,-259.58M,5.443B,3.111B,,-23.01M,8.288B
2011-09,160.73M,0.00,160.73M,,,,,,,160.73M,0.0,2.809B,7.937B,,4.018M,10.75B,-3.313B,7.437B,0.1764M,211.25M,211.42M,716.59M,466.35M,93.14M,8.925B,9.086B,244.46M,244.46M,,,,,244.46M,418.85M,418.85M,36.47M,,,418.85M,663.31M,3.233B,-265.23M,5.433B,3.216B,,-15.22M,8.386B
2011-06,144.49M,0.00,144.49M,,,,,,,144.49M,0.0,2.796B,7.888B,,8.531M,10.69B,-3.228B,7.464B,174.63M,33.96M,208.59M,733.05M,630.61M,91.58M,9.128B,9.272B,227.87M,227.87M,,,,,227.87M,449.52M,449.52M,41.75M,,,449.52M,677.39M,3.270B,-237.69M,5.519B,3.254B,,1.666M,8.553B
2011-03,145.10M,0.00,145.10M,,,,,,,145.10M,0.0,2.793B,7.835B,,7.278M,10.64B,-3.142B,7.494B,174.63M,35.87M,210.50M,617.03M,871.78M,97.47M,9.290B,9.436B,210.77M,210.77M,,,,,210.77M,461.88M,461.88M,45.30M,,,461.88M,672.65M,3.413B,-223.96M,5.529B,3.396B,,-0.678M,8.718B
2010-12,456.25M,102.28M,558.53M,,,,,,,558.53M,0.0,2.789B,7.798B,,6.928M,10.59B,-3.061B,7.533B,174.63M,42.09M,216.72M,601.57M,495.23M,90.46M,8.937B,9.495B,205.77M,205.77M,,,,,205.77M,568.42M,568.42M,44.55M,,,568.42M,774.19M,3.413B,-236.41M,5.516B,3.396B,,-15.77M,8.677B
2010-09,513.48M,102.13M,615.61M,,,,,,,615.61M,0.0,2.786B,7.773B,,8.298M,10.57B,-2.975B,7.592B,174.63M,45.80M,220.44M,607.06M,515.38M,,9.036B,9.651B,243.63M,243.63M,589.52M,,589.52M,589.52M,833.15M,,,133.06M,,,13.13M,846.27M,3.397B,-226.34M,5.514B,3.380B,,-11.88M,8.672B
2010-03,719.98M,95.19M,815.17M,,,,,,,815.17M,0.0,2.717B,7.579B,,8.381M,10.30B,-2.817B,7.488B,174.63M,37.36M,212.00M,601.10M,527.24M,101.41M,8.929B,9.744B,201.42M,201.42M,516.13M,,516.13M,516.13M,717.55M,,,132.43M,,,218.47M,936.02M,3.417B,-203.00M,5.487B,3.400B,,-24.78M,8.676B
2009-12,763.79M,,763.79M,,,,,,92.90M,856.69M,0.0,2.717B,7.576B,,3.527M,10.30B,-2.734B,7.562B,174.63M,38.27M,212.90M,612.32M,561.70M,,8.949B,9.806B,212.25M,212.25M,518.89M,,518.89M,518.89M,731.14M,,,146.10M,,,0.00,731.14M,3.417B,-153.76M,5.681B,3.400B,,-15.00M,8.928B
2009-09,670.93M,,670.93M,,,,,,,670.93M,0.0,2.716B,7.551B,,17.74M,10.28B,-2.651B,7.634B,174.63M,39.37M,214.00M,613.80M,571.78M,104.89M,9.138B,9.809B,236.46M,236.46M,521.66M,,521.66M,521.66M,758.12M,,,147.15M,,,0.00,758.12M,3.417B,-177.60M,5.677B,3.400B,,-12.28M,8.904B
2009-06,584.86M,,584.86M,,,,,,,584.86M,0.0,2.716B,7.534B,,12.70M,10.26B,-2.568B,7.695B,174.63M,40.51M,215.14M,562.73M,550.50M,95.46M,9.119B,9.704B,219.70M,219.70M,524.44M,,524.44M,524.44M,744.14M,,,133.83M,,,12.87M,757.01M,3.417B,-258.73M,5.673B,3.400B,,-18.09M,8.813B
2009-03,493.40M,,493.40M,,,,,,,493.40M,0.0,2.716B,7.508B,,9.317M,10.23B,-2.485B,7.748B,174.63M,49.75M,224.38M,545.22M,517.50M,98.41M,9.133B,9.626B,210.57M,210.57M,527.24M,,527.24M,527.24M,737.81M,,,133.20M,,12.80M,12.80M,750.61M,3.417B,-301.58M,5.670B,3.400B,,-42.13M,8.743B
2008-12,680.70M,,680.70M,,,,,,,680.70M,0.0,2.716B,7.491B,,20.34M,10.23B,-2.405B,7.822B,174.63M,52.00M,226.64M,544.60M,552.36M,109.86M,9.255B,9.936B,212.35M,212.35M,,,,,212.35M,643.81M,643.81M,364.42M,,,643.81M,856.16M,3.441B,4.896B,410.24M,3.424B,,-31.93M,8.715B
2008-09,789.29M,,789.29M,,,,,18.61M,,807.91M,0.0,,7.455B,2.718B,45.42M,10.22B,-2.317B,7.901B,174.63M,55.34M,229.98M,600.16M,,,9.387B,10.20B,255.34M,255.34M,646.06M,,646.06M,646.06M,901.40M,,,364.45M,,,,901.40M,3.544B,4.744B,5.559B,3.528B,,3.929M,8.929B
2008-06,775.00M,,775.00M,,,,,,,775.00M,0.0,2.714B,7.391B,,38.61M,10.14B,-2.234B,7.909B,174.63M,61.70M,236.33M,616.26M,618.72M,96.98M,9.478B,10.25B,223.20M,223.20M,651.94M,38.40M,690.34M,690.34M,913.54M,,,363.38M,,,0.00,913.54M,3.544B,4.607B,5.551B,3.528B,,36.52M,8.976B
2008-03,726.93M,625.17M,1.352B,,,,,18.60M,,1.371B,0.0,2.702B,7.336B,,35.90M,10.07B,-2.153B,7.922B,174.63M,71.73M,246.36M,625.17M,618.82M,,9.412B,10.25B,206.61M,206.61M,,,,,206.61M,682.92M,682.92M,362.71M,,,682.92M,889.52M,3.544B,-131.48M,5.545B,3.528B,,37.46M,8.996B
2007-12,245.44M,,245.44M,,,,,,,245.44M,0.0,3.021B,8.637B,,51.97M,11.71B,-2.128B,9.583B,174.63M,173.74M,348.38M,306.74M,0.00,159.98M,10.40B,10.64B,303.36M,303.36M,,,,,303.36M,1.070B,1.070B,506.69M,,,1.070B,1.373B,3.544B,3.961B,1.208B,3.528B,,50.06M,8.763B
2007-09,168.59M,317.98M,486.57M,,,,,20.84M,,507.41M,,,,,,11.61B,-2.034B,9.577B,174.63M,222.17M,396.80M,317.98M,,,10.29B,10.63B,323.09M,323.09M,,,,,323.09M,1.042B,1.042B,506.77M,0.00,,1.042B,1.365B,3.544B,-502.57M,5.652B,3.528B,,63.68M,8.758B
2007-06,46.74M,321.21M,367.95M,,,,,20.21M,,388.16M,,,,,,11.44B,-1.940B,9.498B,174.63M,260.02M,434.65M,321.21M,,,10.25B,10.48B,326.98M,326.98M,,,70.00M,70.00M,396.98M,1.018B,1.018B,503.12M,0.00,,1.018B,1.415B,3.372B,-504.64M,5.656B,3.355B,35.67M,35.67M,8.559B
2007-03,90.70M,,90.70M,,,,,,,90.70M,,,,,,11.42B,-1.845B,9.571B,174.63M,329.37M,504.01M,301.71M,,,10.38B,10.62B,296.38M,296.38M,,,132.00M,132.00M,428.38M,1.069B,1.069B,502.11M,0.00,,1.069B,1.498B,3.372B,-434.05M,5.652B,3.355B,29.74M,29.74M,8.619B
2006-12,535.68M,,535.68M,,,,,,,535.68M,,,,,,11.35B,-1.754B,9.598B,174.63M,414.60M,589.24M,301.90M,,,10.49B,11.20B,333.71M,333.71M,,,345.00M,345.00M,678.71M,1.504B,1.504B,506.03M,,,1.504B,2.484B,2.872B,-344.71M,5.662B,2.855B,,19.33M,8.208B
2006-09,124.12M,,124.12M,,,,,,,124.12M,,,,,,11.31B,-1.656B,9.651B,174.63M,257.85M,432.48M,301.87M,,,10.39B,10.85B,344.17M,344.17M,,,,,344.17M,1.464B,1.464B,499.70M,143.75M,,1.607B,1.952B,2.944B,-189.22M,5.660B,2.927B,-11.27M,-11.27M,8.403B
2006-06,983.63M,,983.63M,,,,,,,983.63M,,,,,,6.167B,-1.595B,4.572B,174.63M,,174.63M,303.88M,,,5.051B,6.100B,171.77M,171.77M,,,,,171.77M,140.84M,140.84M,358.22M,0.00,,140.84M,312.61M,3.134B,-120.09M,2.416B,3.121B,,,5.429B
2006-03,382.33M,,382.33M,,,,,,,382.33M,,,,,,6.086B,-1.548B,4.538B,78.20M,96.43M,174.63M,305.56M,,,5.019B,5.471B,153.16M,153.16M,,,,,153.16M,141.94M,141.94M,257.79M,0.00,,141.94M,295.10M,2.616B,-126.92M,2.428B,2.603B,,,4.918B
2005-12,,,,,,,,,,,,,,,,,,4.485B,,176.28M,176.28M,,,,4.661B,5.552B,,,,,,,,149.65M,149.65M,253.97M,,,149.65M,481.51M,12.81M,-124.87M,2.431B,,,,4.817B
2005-09,531.77M,,531.77M,,,,,,,531.77M,,,,,,5.807B,-1.450B,4.357B,78.20M,99.73M,177.94M,333.48M,,,4.869B,5.472B,162.40M,162.40M,,,,,162.40M,150.71M,150.71M,257.01M,0.00,,150.71M,377.63M,2.534B,-131.78M,2.435B,2.521B,,,4.837B
2005-06,390.43M,,390.43M,,,,,,,390.43M,,,,,,5.697B,-1.407B,4.291B,78.20M,101.38M,179.59M,329.15M,,,4.799B,5.257B,152.16M,152.16M,,,,,152.16M,151.76M,151.76M,325.76M,0.00,,151.76M,303.92M,2.334B,-146.88M,2.440B,2.321B,,,4.627B
2005-03,354.43M,,354.43M,,,,,,,354.43M,,,,,,5.608B,-1.365B,4.244B,78.20M,103.03M,181.24M,331.26M,,,4.756B,5.178B,139.45M,139.45M,,,,,139.45M,152.74M,152.74M,341.45M,,,152.74M,349.68M,2.192B,-150.05M,2.445B,2.180B,,,4.487B
2004-12,,,,,,,,,,,,,,,,,,4.247B,,182.89M,182.89M,,,,4.430B,5.205B,,,,,,,,145.61M,145.61M,428.90M,,,145.61M,345.92M,12.85M,-142.60M,2.458B,,,,4.430B
2004-09,475.28M,,475.28M,,,,,,,475.28M,,,,,,5.286B,-1.276B,4.009B,78.20M,106.34M,184.54M,335.48M,0.487M,,4.530B,5.078B,161.56M,161.56M,,,,,161.56M,35.26M,35.26M,403.77M,,,35.26M,196.82M,2.170B,2.626B,2.453B,2.157B,,,4.477B
2004-06,421.45M,,421.45M,,,,,,,421.45M,,,,,,5.254B,-1.237B,4.017B,78.20M,107.99M,186.19M,335.28M,0.487M,,4.539B,5.042B,156.88M,156.88M,,,,,156.88M,35.30M,35.30M,406.40M,,,35.30M,192.18M,2.141B,2.528B,2.442B,2.128B,,,4.443B
2004-03,319.64M,,319.64M,,,,,,,319.64M,,,,,,5.229B,-1.196B,4.033B,78.20M,109.64M,187.84M,335.74M,0.488M,,4.557B,4.960B,134.50M,134.50M,,,,,134.50M,49.31M,49.31M,424.53M,,,49.31M,183.81M,2.032B,2.436B,2.450B,2.020B,,,4.352B
2003-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.968B,,,,,,,,,,,,,,748.27M,,,,,,,4.220B
2003-09,45.30M,,45.30M,,,,,,,45.30M,,,,,,5.182B,-1.108B,4.074B,78.20M,112.94M,191.14M,335.97M,0.914M,,4.602B,4.742B,151.99M,151.99M,,,,,151.99M,82.30M,82.30M,428.26M,,,82.30M,234.02M,1.742B,2.281B,2.422B,1.730B,,,4.080B
2003-06,41.36M,,41.36M,,,,,,,41.36M,,,,,,5.150B,-1.066B,4.084B,78.20M,114.59M,192.80M,334.32M,0.923M,,4.612B,4.740B,137.39M,137.39M,,,,,137.39M,106.94M,106.94M,430.25M,,,106.94M,244.33M,1.742B,2.191B,2.400B,1.730B,,,4.066B
2003-03,55.02M,,55.02M,,,,,,,55.02M,,,,,,5.107B,-1.024B,4.083B,78.20M,116.24M,194.45M,331.56M,24.28M,,4.633B,4.765B,129.51M,129.51M,,,,,129.51M,114.11M,114.11M,438.40M,,,114.11M,243.62M,1.772B,2.107B,2.375B,1.760B,,,4.083B
2002-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.844B,,,,,,,,,,,,,,684.69M,,,,,,,4.159B
2002-09,276.26M,,276.26M,,,,,,,276.26M,,,,,,5.070B,-945.30M,4.124B,78.20M,119.54M,197.75M,327.62M,,,4.650B,5.038B,136.55M,136.55M,,,,,136.55M,121.58M,121.58M,441.86M,,,121.58M,408.13M,1.829B,1.963B,2.369B,1.817B,,,4.188B
2002-06,172.16M,,172.16M,,,,,,,172.16M,,,,,,4.997B,-903.45M,4.094B,78.20M,121.20M,199.40M,323.32M,,,4.617B,4.886B,99.38M,99.38M,,,,,99.38M,122.40M,122.40M,455.66M,,,122.40M,221.77M,1.852B,1.879B,2.351B,1.840B,,,4.208B
2002-03,192.28M,,192.28M,,,,,,,192.28M,,,,,,4.945B,-860.66M,4.084B,78.20M,122.85M,201.05M,321.80M,,,4.607B,4.893B,99.45M,99.45M,,,,,99.45M,128.08M,128.08M,468.08M,,,128.08M,227.53M,1.852B,1.799B,2.323B,1.840B,,,4.198B
2001-12,,,,,,,,,,,,,,,,,,,,,,,,,,4.626B,,,,,,,,,,,,,,716.30M,,,,,,,3.910B
2001-09,288.39M,,288.39M,,,,,,,288.39M,,,,,,4.527B,-780.09M,3.747B,,178.03M,178.03M,464.44M,,,4.389B,4.774B,117.00M,117.00M,,,,,117.00M,149.06M,149.06M,503.10M,,,149.06M,266.06M,1.677B,1.627B,2.288B,1.665B,,,4.004B
2001-06,50.76M,,50.76M,,,,,,,50.76M,,,,,,4.473B,-741.42M,3.732B,,180.36M,180.36M,459.62M,,,4.372B,4.514B,108.75M,108.75M,,,,,108.75M,149.80M,149.80M,527.66M,,,149.80M,258.55M,1.340B,1.543B,2.302B,1.328B,,,3.727B
2001-03,40.48M,,40.48M,,,,,,,40.48M,,,,,,892.69M,-703.97M,188.72M,,182.69M,182.69M,455.15M,,,826.56M,4.488B,77.78M,77.78M,,,,,77.78M,155.26M,155.26M,528.83M,,,155.26M,258.05M,1.340B,1.462B,2.297B,1.328B,,,3.701B
2000-12,,,,,,,,,,,,,,,,,,,,185.02M,185.02M,,,,185.02M,4.514B,,,,,,,,156.00M,156.00M,532.92M,,,156.00M,256.91M,13.07M,49.16M,2.507B,,,,3.724B
2000-09,104.60M,,104.60M,,31.32M,,31.32M,,,135.91M,,,,,,4.261B,-632.07M,3.629B,,187.34M,187.34M,465.92M,,,4.283B,4.487B,106.37M,106.37M,,,,,106.37M,160.72M,160.72M,528.41M,,,160.72M,267.10M,1.168B,1.312B,2.491B,1.155B,,,3.691B
