,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-09,,25.80B,41.37B,67.17B,,,,82.91B,3.057B,4.336B,6.56B,,,156.64B,,,,,,,,,24.81B,43.00M,182.00M,225.00M,1.544B,,3.664B,16.22B,46.47B,203.11B,,,,,15.21B,55.15B,70.36B,,,6.571B,10.96B,17.53B,,17.53B,,,,87.89B,,115.13B,,115.13B,2.644B,,2.644B,,,1.405B,,4.709B,122.48B,210.38B,,33.00M,-14.52B,14.70B,178.00M,,-8.704B,-8.675B,,AOR,Restated
2009-06,,24.01B,37.93B,61.94B,,,,86.94B,2.978B,4.469B,6.603B,,,155.48B,,,,,,,,,24.80B,42.00M,193.00M,235.00M,1.742B,,3.015B,14.91B,44.71B,200.19B,,,,,13.97B,55.80B,69.77B,,,6.568B,9.996B,16.56B,,16.56B,,,,86.33B,,116.86B,,116.86B,1.788B,,1.788B,,,1.325B,,4.628B,123.28B,209.61B,,33.00M,-15.52B,13.93B,179.00M,,-9.005B,-10.74B,,AOR,Restated
2009-03,,21.09B,42.28B,63.37B,,,,89.40B,2.926B,4.493B,6.575B,,,159.34B,,,,,,,,,23.78B,38.00M,189.00M,227.00M,1.736B,,2.818B,15.23B,43.79B,203.13B,,,,,12.88B,54.43B,67.31B,,,10.01B,7.705B,17.72B,,17.72B,,,,85.03B,,128.23B,,128.23B,1.706B,,1.706B,,,1.10B,,4.651B,134.58B,219.61B,,24.00M,-17.78B,10.98B,180.00M,,-10.62B,-17.58B,,AOR,Restated
2008-12,,22.05B,42.66B,64.71B,99.16B,,,99.16B,2.747B,5.091B,6.988B,,,170.86B,0.00,409.00M,10.80B,45.98B,213.00M,1.295B,58.70B,-34.55B,24.14B,,,246.00M,1.599B,,3.108B,18.35B,47.44B,218.30B,,13.14B,,,13.14B,419.00M,13.56B,,,11.50B,10.26B,21.76B,,21.76B,2.883B,2.883B,13.07B,64.49B,,131.31B,,131.31B,2.035B,1.751B,3.786B,6.184B,16.81B,1.195B,,4.708B,168.34B,232.82B,,24.00M,-16.32B,10.88B,181.00M,,-10.12B,-15.72B,,AOR,Restated
2008-09,,24.89B,46.09B,70.98B,108.57B,,,108.57B,4.367B,8.722B,12.05B,,,191.59B,,,,,,,,,30.25B,1.339B,466.00M,1.805B,3.065B,,3.032B,12.32B,50.47B,242.06B,,20.36B,,,20.36B,62.93B,83.29B,,,,,,,,,,,83.29B,,156.79B,,156.79B,2.514B,,2.514B,,,1.458B,,,159.31B,242.60B,,24.00M,-10.17B,8.91B,183.00M,,-571.00M,-1.989B,,AOR,Restated
2008-06,,30.07B,19.87B,49.94B,106.93B,,8.964B,115.89B,4.506B,9.54B,12.99B,,,178.82B,,,,,,,68.71B,-36.56B,32.15B,2.044B,,2.044B,,,3.251B,49.04B,86.48B,265.30B,,24.22B,,,24.22B,72.38B,96.60B,,,,,,,,,,,96.60B,,166.02B,,166.02B,2.899B,,2.899B,,,1.459B,,,168.92B,265.52B,,23.00M,-10.04B,8.386B,183.00M,,131.00M,-1.683B,,,Restated
2008-03,,33.75B,15.34B,49.09B,108.86B,,8.563B,117.42B,4.475B,8.327B,11.72B,,,178.23B,,,,,,,73.57B,-36.56B,37.01B,2.064B,,2.064B,,,3.331B,62.28B,104.68B,282.91B,,23.96B,,,23.96B,72.86B,96.82B,,,,,,,,,,,96.82B,,169.20B,,169.20B,2.901B,,2.901B,,,1.466B,,5.408B,177.51B,274.34B,,22.00M,-1.372B,7.988B,184.00M,,657.00M,7.111B,,,Restated
2007-12,,35.28B,48.77B,84.05B,117.92B,,,117.92B,4.36B,6.861B,10.12B,,,212.09B,0.00,764.00M,14.40B,55.34B,260.00M,2.031B,72.80B,-36.56B,36.24B,,,2.069B,2.853B,,3.50B,22.51B,67.17B,279.26B,,20.83B,,,20.83B,971.00M,21.80B,,,14.04B,13.50B,27.54B,,27.54B,4.093B,4.093B,19.28B,76.05B,,141.24B,,141.24B,3.034B,1.989B,5.023B,,7.612B,1.421B,,37.46B,196.17B,272.22B,,22.00M,-1.485B,7.834B,185.00M,,-558.00M,5.628B,,AOR,Restated
2007-09,,27.44B,53.25B,80.69B,120.46B,,,120.46B,4.565B,9.385B,12.89B,,,214.03B,,,,,,,,,37.83B,5.336B,1.151B,6.487B,2.661B,,4.103B,11.05B,62.13B,276.16B,,25.90B,,,25.90B,81.33B,107.23B,,,,,,,,,,,107.23B,,163.21B,,163.21B,3.165B,,3.165B,,,1.394B,,,166.38B,273.61B,,22.00M,1.326B,7.273B,186.00M,,-7.272B,1.163B,,AOR,Restated
2007-06,,32.00B,21.19B,53.19B,108.18B,,12.26B,120.44B,4.36B,9.314B,12.61B,,,186.25B,,,,,,,75.82B,-38.52B,37.30B,6.344B,,6.344B,,,4.253B,45.07B,92.97B,279.22B,,25.50B,,,25.50B,80.97B,106.47B,,,,,,,,,,,106.47B,,170.04B,,170.04B,3.397B,,3.397B,,,1.251B,,14.00M,173.45B,279.91B,,19.00M,1.707B,4.663B,189.00M,,-8.146B,-1.946B,,,
2007-03,,26.87B,23.15B,50.02B,106.05B,,11.66B,117.71B,4.554B,9.013B,12.52B,,,180.26B,,,,,,,76.16B,-38.52B,37.64B,6.308B,,6.308B,,,3.942B,44.07B,91.95B,272.21B,,24.48B,,,24.48B,79.62B,104.10B,,,,,,,,,,,104.10B,,167.18B,,167.18B,3.261B,,3.261B,,,1.133B,,249.00M,170.69B,274.79B,,19.00M,956.00M,4.596B,175.00M,,-9.106B,-3.71B,,,
2006-12,,28.90B,51.26B,80.16B,113.93B,5.256B,,120.18B,4.334B,6.698B,10.02B,,,210.35B,0.00,802.00M,13.72B,54.02B,269.00M,2.224B,71.04B,-34.98B,36.06B,,,3.611B,2.79B,,4.922B,21.47B,68.85B,279.20B,,21.21B,,,21.21B,1.433B,22.65B,,,400.00M,27.06B,27.46B,,27.46B,4.558B,4.558B,15.98B,75.68B,,144.37B,,144.37B,2.744B,2.045B,4.789B,4.766B,10.54B,1.159B,,35.71B,205.83B,281.50B,,19.00M,-17.00M,4.562B,183.00M,,-7.846B,-3.465B,,,Restated
2006-09,,25.51B,15.12B,40.63B,114.69B,,1.073B,115.76B,4.683B,8.343B,12.00B,,,168.39B,,,,,,,101.40B,-32.62B,68.79B,5.535B,861.00M,6.396B,,,4.197B,19.70B,99.08B,267.46B,,22.74B,,,22.74B,77.36B,100.10B,,,,,,,,,,,100.10B,,154.41B,,154.41B,2.774B,,2.774B,,,1.015B,,,157.18B,257.29B,,19.00M,5.608B,4.579B,258.00M,,-785.00M,9.163B,,,Restated
2006-06,,27.98B,12.63B,40.62B,106.55B,,9.194B,115.75B,4.515B,8.644B,12.12B,,33.03B,201.52B,,,,,,,74.26B,-32.62B,41.64B,6.392B,,6.392B,,,6.879B,20.52B,75.43B,276.95B,,23.60B,,,23.60B,78.47B,102.07B,,,,,,,,,,,102.07B,,153.48B,,153.48B,5.729B,,5.729B,,,1.054B,,,159.21B,261.28B,,19.00M,10.65B,4.636B,420.00M,,-262.00M,14.62B,,,
2006-03,,21.18B,17.89B,39.07B,112.81B,,,112.81B,4.413B,8.586B,11.96B,,30.35B,194.19B,,,,,,,73.56B,-32.62B,40.94B,6.072B,,6.072B,,,6.767B,21.10B,74.88B,269.08B,,24.00B,,,24.00B,75.51B,99.52B,,,,,,,,,,,99.52B,,151.10B,,151.10B,5.284B,,5.284B,,,1.122B,,,156.39B,255.90B,,18.00M,11.09B,4.778B,680.00M,,-3.156B,12.05B,,,
2005-12,,28.41B,14.13B,42.54B,114.51B,,1.42B,115.93B,4.057B,7.223B,10.27B,,,168.74B,0.00,697.00M,12.83B,45.68B,11.35B,2.736B,73.29B,-32.62B,40.68B,5.945B,,5.945B,,,5.88B,48.22B,100.72B,269.46B,,22.91B,,,22.91B,73.05B,95.96B,,,,,,,,,,,95.96B,,153.28B,,153.28B,5.66B,,5.66B,,,1.122B,,,158.94B,254.90B,,19.00M,13.06B,4.872B,833.00M,,-3.68B,13.44B,,,Restated
2005-09,,28.20B,9.193B,37.39B,,,,97.04B,4.05B,8.646B,11.69B,,27.42B,173.54B,,,,,,,72.90B,-31.01B,41.89B,,6.072B,6.072B,,,4.611B,42.18B,94.75B,268.30B,,22.99B,,,22.99B,71.38B,94.37B,,,,,,,,,,,94.37B,,141.74B,,141.74B,4.617B,,4.617B,,,1.058B,,12.52B,158.88B,253.25B,,19.00M,12.50B,4.956B,1.031B,,-2.454B,13.99B,,,
2005-06,,30.13B,9.348B,39.48B,,,,109.38B,3.809B,8.749B,11.55B,,33.86B,194.26B,,,,,,,73.29B,-31.01B,42.28B,,6.679B,6.679B,,,4.567B,29.04B,82.57B,276.83B,,23.85B,,,23.85B,73.91B,97.76B,,,,,,,,,,,97.76B,,158.44B,,158.44B,5.605B,,5.605B,,,806.00M,,15.00M,164.06B,261.82B,,19.00M,12.97B,5.11B,1.281B,,-2.611B,14.20B,,,
2005-03,,23.34B,10.98B,34.32B,,,,117.11B,4.132B,8.353B,11.48B,,32.48B,195.39B,,,,,,,74.41B,-31.01B,43.40B,,7.011B,7.011B,,,2.926B,31.87B,85.20B,280.59B,,24.17B,,,24.17B,31.39B,55.56B,,,,,,,,,,,55.56B,,161.26B,,161.26B,3.864B,,3.864B,,,846.00M,,43.38B,208.51B,264.07B,,19.00M,12.20B,5.224B,1.628B,,-150.00M,15.67B,,,
2004-12,,22.83B,10.00B,32.84B,,,,115.44B,3.968B,7.799B,10.77B,,31.82B,190.85B,,,,,,,75.56B,-31.01B,44.55B,,6.394B,6.394B,,,4.83B,47.23B,103.00B,293.86B,,21.99B,,,21.99B,71.08B,93.07B,,,,,,,,,,,93.07B,,164.54B,,164.54B,7.845B,,7.845B,,,877.00M,,11.48B,183.87B,276.94B,,19.00M,11.18B,5.321B,1.728B,,1.258B,16.04B,,,
2004-09,,17.42B,13.91B,31.33B,3.34B,,121.48B,124.82B,3.996B,7.961B,10.98B,3.182B,34.60B,204.91B,,,,,,,73.02B,-30.11B,42.90B,,7.014B,7.014B,,,,33.85B,83.76B,288.68B,,22.40B,,,22.40B,31.85B,54.25B,,,,,,,,,,,54.25B,,164.71B,,164.71B,5.058B,,5.058B,,,813.00M,,49.78B,219.55B,273.80B,,19.00M,11.26B,5.357B,1.768B,,-794.00M,14.07B,,,
2004-06,,15.65B,18.01B,33.66B,3.016B,,124.86B,127.87B,4.001B,7.61B,10.61B,3.242B,32.41B,207.80B,,,,,,,72.44B,-30.11B,42.32B,,7.186B,7.186B,,,,36.30B,85.82B,293.61B,,21.88B,,,21.88B,32.77B,54.65B,,,,,,,,,,,54.65B,,168.10B,,168.10B,4.836B,,4.836B,,,785.00M,,51.68B,224.62B,279.27B,,19.00M,11.17B,5.341B,1.761B,,-1.209B,13.56B,,,
2004-03,,18.19B,18.69B,36.88B,3.02B,,109.87B,112.89B,3.957B,7.244B,10.19B,3.269B,10.81B,174.03B,,,,,,,71.28B,-30.11B,41.17B,,7.173B,7.173B,,,10.92B,79.62B,138.88B,312.91B,,26.54B,,,26.54B,32.88B,59.42B,,,,,879.00M,,879.00M,,,29.00M,60.33B,,170.57B,,170.57B,12.94B,,12.94B,,,740.00M,,55.45B,238.96B,299.29B,,19.00M,10.19B,5.373B,1.787B,,-913.00M,12.88B,,,
2003-12,,23.21B,16.11B,39.31B,5.851B,,106.85B,112.70B,3.813B,6.334B,9.151B,7.389B,47.39B,215.94B,0.00,675.00M,12.20B,44.45B,13.58B,2.647B,73.55B,-30.05B,43.51B,,7.00B,7.00B,,,,32.95B,83.46B,299.40B,,20.41B,,,20.41B,29.56B,49.97B,,,,,,,,,,,49.97B,,179.80B,,179.80B,8.439B,,8.439B,,,659.00M,,48.87B,237.12B,287.09B,,19.00M,8.421B,5.374B,1.749B,,-414.00M,11.65B,,,
2003-09,,27.89B,20.49B,48.38B,2.755B,,109.17B,111.93B,3.901B,7.155B,10.08B,,46.84B,217.23B,,,,,,,67.08B,-25.00B,42.08B,,7.053B,7.053B,,,14.40B,29.57B,93.10B,310.33B,,20.74B,,,20.74B,29.11B,49.86B,,,,,,,,,,56.92B,106.78B,,180.24B,,180.24B,14.51B,,14.51B,,,589.00M,,24.00M,194.77B,301.55B,,19.00M,9.398B,5.432B,1.903B,,-4.756B,8.19B,,,
2003-06,,17.68B,20.33B,38.02B,2.438B,,109.32B,111.76B,3.543B,5.866B,8.448B,,54.40B,212.62B,,,,,,,64.63B,-25.00B,39.63B,,6.93B,6.93B,,,15.32B,31.69B,93.57B,306.19B,,21.83B,,,21.83B,29.12B,50.95B,,,,,,,,,,57.55B,108.50B,,169.44B,,169.44B,14.48B,,14.48B,,,5.669B,,27.00M,183.94B,292.44B,,19.00M,9.606B,5.396B,1.872B,,-5.065B,8.084B,,,
2003-03,,19.24B,17.94B,37.18B,2.296B,,92.76B,95.06B,3.483B,5.434B,7.953B,,55.63B,195.82B,,,,,,,63.15B,-25.00B,38.15B,,6.726B,6.726B,,,15.20B,33.42B,93.50B,289.32B,,20.48B,,,20.48B,27.28B,47.76B,,,,,,,,,,55.70B,103.45B,,159.01B,,159.01B,14.37B,,14.37B,,,5.67B,,89.00M,173.47B,276.92B,,19.00M,9.371B,5.435B,1.974B,,-6.119B,6.732B,,,
2002-12,,12.22B,18.27B,30.49B,2.047B,,97.01B,99.05B,3.174B,4.76B,6.977B,3.462B,5.609B,145.59B,0.00,598.00M,10.34B,39.36B,9.939B,2.688B,62.92B,-26.57B,36.35B,,6.528B,6.528B,,,11.69B,95.05B,149.63B,295.22B,,18.94B,,,18.94B,27.62B,46.55B,,,,,18.83B,,18.83B,,,,65.38B,,143.38B,,143.38B,11.93B,,11.93B,,,5.67B,,63.27B,218.58B,283.96B,,19.00M,8.659B,5.42B,1.977B,,-6.531B,5.59B,,,
2002-09,,16.07B,16.81B,32.88B,2.07B,,106.46B,108.52B,3.158B,5.313B,7.504B,2.596B,3.929B,155.44B,,,,,,,62.68B,-27.51B,35.17B,,6.49B,6.49B,,,7.67B,80.92B,130.26B,285.70B,,16.44B,,,16.44B,26.02B,42.46B,,,,,209.00M,,209.00M,,,2.688B,45.36B,,162.00B,,162.00B,10.78B,,10.78B,,,,5.67B,51.92B,230.36B,275.73B,,19.00M,9.096B,5.699B,2.32B,,-2.524B,9.97B,,,
2002-06,,13.10B,15.58B,28.69B,2.356B,,1.939B,4.295B,2.757B,5.721B,7.522B,2.595B,5.697B,48.80B,,,,,,,62.67B,-27.51B,35.16B,,6.885B,6.885B,,,7.541B,191.91B,241.50B,290.29B,,17.31B,,,17.31B,25.99B,43.30B,,,,,241.00M,,241.00M,,,3.043B,46.58B,,164.57B,,164.57B,10.48B,,10.48B,,,5.671B,,52.99B,228.04B,274.63B,,19.00M,9.609B,5.868B,2.57B,,-2.932B,9.994B,,,
2002-03,,16.02B,11.43B,27.45B,2.321B,,1.349B,3.67B,2.73B,5.283B,7.068B,2.734B,5.88B,46.80B,,,,61.05B,,,61.05B,-27.51B,33.54B,4.481B,2.388B,6.869B,,,7.592B,180.84B,228.84B,275.65B,,16.19B,,,16.19B,24.31B,40.50B,,,,,235.00M,,235.00M,,,3.649B,44.38B,,158.98B,,158.98B,10.20B,,10.20B,,,5.672B,,49.00B,218.18B,262.56B,,19.00M,9.518B,6.008B,2.873B,,-5.253B,7.419B,,,
2001-12,,7.218B,11.58B,18.80B,2.214B,,938.00M,3.152B,2.436B,4.66B,6.191B,2.595B,6.155B,36.89B,0.00,583.00M,9.921B,38.72B,8.798B,2.614B,60.63B,-27.51B,33.12B,,7.007B,7.007B,,,5.996B,193.53B,239.66B,276.54B,,15.68B,,,15.68B,24.34B,40.02B,,,,,302.00M,,302.00M,,,4.227B,44.55B,,167.04B,,167.04B,10.06B,,10.06B,,,672.00M,,46.44B,223.54B,268.08B,,19.00M,10.50B,6.001B,2.823B,,-5.913B,7.786B,,,
2001-09,,10.64B,6.875B,17.51B,4.562B,,,4.562B,2.626B,4.484B,7.11B,2.692B,5.427B,37.30B,,,,,,,60.15B,-24.33B,35.82B,,,,,,3.503B,200.90B,240.22B,277.53B,,15.26B,,,15.26B,22.59B,37.85B,,,,,283.00M,,283.00M,,,3.828B,41.96B,,166.09B,,166.09B,8.744B,,8.744B,,,672.00M,,46.70B,221.53B,263.49B,,19.00M,15.84B,5.97B,2.894B,,-5.575B,13.36B,,,
2001-06,,6.586B,12.18B,18.77B,4.862B,,,4.862B,2.688B,4.532B,7.22B,2.735B,5.466B,39.05B,,,,,,,59.75B,-24.33B,35.42B,,,,,,3.504B,211.57B,250.49B,289.55B,,15.59B,,,15.59B,23.98B,39.57B,,,,,226.00M,,226.00M,,,4.747B,44.54B,,173.94B,,173.94B,9.083B,,9.083B,,,673.00M,,47.55B,230.57B,275.12B,,19.00M,17.08B,5.98B,2.975B,,-6.35B,13.76B,,,
2001-03,,5.382B,12.48B,17.86B,4.069B,,2.538B,6.607B,2.837B,4.827B,7.664B,2.674B,5.683B,40.49B,,,,,,,60.46B,-24.33B,36.13B,,,,,,3.235B,204.73B,244.10B,284.59B,,15.79B,,,15.79B,22.77B,38.57B,,,,,249.00M,,249.00M,,,4.89B,43.71B,,167.12B,,167.12B,8.922B,,8.922B,,,673.00M,,48.10B,224.14B,267.84B,,19.00M,18.39B,6.035B,2.603B,,-5.768B,16.07B,,,
2000-12,,4.851B,13.12B,17.97B,6.272B,,,6.272B,,,7.514B,,7.557B,39.31B,,,,,,,61.84B,-24.33B,37.51B,,,,,,3.342B,203.23B,244.08B,283.39B,,15.08B,,,15.08B,23.37B,38.44B,,,,,277.00M,,277.00M,,,4.46B,43.18B,,165.28B,,165.28B,9.03B,,9.03B,,,673.00M,,46.62B,220.93B,264.11B,,19.00M,17.88B,6.174B,2.035B,,-3.432B,18.61B,,AOR,
2000-09,,5.662B,15.25B,20.91B,,,,6.575B,,,8.189B,,7.651B,43.32B,,,,,,,76.61B,-41.01B,35.60B,,,,,,,203.36B,238.96B,282.28B,,14.46B,,,14.46B,,14.46B,,,,,731.00M,,731.00M,,,27.40B,42.60B,,161.04B,,161.04B,9.81B,,9.81B,,,674.00M,,49.89B,220.74B,263.34B,,19.00M,17.37B,5.969B,1.176B,,-3.913B,18.27B,,,
2000-06,,8.664B,18.57B,27.23B,,,,5.766B,,,6.251B,,7.908B,47.16B,,,,,,,76.01B,-41.34B,34.68B,,,,,,,202.75B,237.42B,284.58B,,14.84B,,,14.84B,,14.84B,,,,,862.00M,,862.00M,,,27.54B,43.25B,,159.00B,,159.00B,8.821B,,8.821B,,,674.00M,,48.19B,216.02B,259.26B,,1.222B,22.82B,4.936B,1.404B,,-2.934B,24.64B,,,
2000-03,,5.758B,18.97B,24.73B,,,,6.213B,,,6.557B,,7.317B,44.82B,,,,,,,76.11B,-40.28B,35.83B,,,,,,,194.38B,230.21B,275.02B,,14.57B,,,14.57B,,14.57B,,,,,1.107B,,1.107B,,,24.25B,39.93B,,153.60B,,153.60B,8.17B,,8.17B,,,675.00M,,44.24B,206.00B,245.93B,,1.222B,26.08B,4.971B,1.399B,,-2.453B,28.42B,,,
1999-12,,4.381B,18.94B,23.32B,,,,7.571B,,,5.684B,3.762B,3.831B,44.17B,,,,,,,,,36.53B,,,,45.74B,115.13B,2.454B,26.22B,226.08B,270.25B,,14.29B,1.709B,7.328B,23.33B,18.49B,41.82B,,,,,1.338B,,1.338B,,,,43.16B,,150.32B,,150.32B,8.301B,6.775B,15.08B,,,,675.00M,29.28B,199.49B,242.64B,,1.222B,24.61B,5.049B,1.417B,,-1.856B,27.60B,,AOR,Restated
1999-09,,5.278B,21.66B,26.94B,,,,3.622B,,,7.218B,,7.938B,45.72B,,,,,,,68.20B,-26.84B,41.36B,,,,,,,180.31B,221.67B,267.39B,,21.46B,,,21.46B,,21.46B,,,,,1.429B,,1.429B,,,22.14B,45.03B,,143.36B,,143.36B,8.511B,,8.511B,,,675.00M,,42.89B,194.76B,239.79B,,1.222B,23.41B,5.017B,865.00M,,-1.861B,26.92B,,,
1999-06,,5.619B,,5.619B,,,,4.294B,,,6.347B,,26.86B,43.12B,,,,,,,66.62B,-26.84B,39.78B,,,,,,,178.41B,218.18B,261.30B,,17.44B,,,17.44B,,17.44B,,,,,1.348B,,1.348B,,,26.18B,44.97B,,142.28B,,142.28B,6.634B,,6.634B,,,676.00M,,40.50B,189.42B,234.39B,,,22.85B,,,,,26.24B,,,
1999-03,,5.93B,,5.93B,,,,2.668B,,,5.542B,,25.90B,40.04B,,,,,,,63.72B,-26.84B,36.88B,,,,,,,169.59B,206.48B,246.51B,,18.39B,,,18.39B,,18.39B,,,,,1.501B,,1.501B,,,21.53B,41.42B,,134.86B,,134.86B,6.499B,,6.499B,,,676.00M,,38.30B,179.66B,221.09B,,,21.08B,,,,,24.75B,,,
1998-12,,4.836B,20.12B,24.96B,,,,2.604B,2.887B,2.769B,5.656B,3.239B,3.405B,39.86B,0.00,409.00M,9.298B,43.56B,8.117B,2.774B,64.16B,-26.84B,37.32B,,,,44.54B,98.06B,3.175B,14.58B,197.68B,237.54B,,13.37B,1.404B,6.38B,21.15B,16.92B,38.08B,,,,,1.121B,,1.121B,,,,39.20B,,131.04B,,131.04B,6.239B,6.034B,12.27B,,,,677.00M,30.13B,174.94B,214.14B,,1.222B,19.66B,5.283B,1.085B,,-1.67B,23.41B,,AOR,Restated
1998-09,,6.382B,,6.382B,,,,3.013B,,,6.387B,,24.97B,40.75B,,,,,,,79.60B,-43.12B,36.48B,,,,,,,151.28B,187.76B,228.51B,,18.77B,,,18.77B,,18.77B,,,,,114.94B,,114.94B,,,20.31B,154.02B,,8.654B,,8.654B,5.856B,,5.856B,,,677.00M,,35.59B,50.10B,204.12B,,,19.18B,,,,,23.72B,,,
1998-06,,6.687B,,6.687B,,,,2.821B,,,5.551B,,24.50B,39.56B,,,,,,,78.66B,-42.81B,35.85B,,,,,,,152.86B,188.71B,228.27B,,11.98B,,,11.98B,,11.98B,,,,,116.60B,,116.60B,,,22.84B,151.43B,,7.365B,,7.365B,5.803B,,5.803B,,,678.00M,,39.93B,53.10B,204.52B,,,18.69B,,,,,23.07B,,,
1998-03,,8.228B,,8.228B,,,,2.993B,,,6.34B,,21.35B,38.91B,,,,,,,61.44B,-26.00B,35.44B,,,,,,,148.89B,184.33B,223.24B,,21.25B,,,21.25B,,21.25B,,,,,114.18B,,114.18B,,,18.91B,154.34B,,7.377B,,7.377B,5.633B,,5.633B,,,678.00M,,33.72B,46.73B,201.06B,,,16.82B,,,,,21.50B,,,
1997-12,,7.934B,14.52B,22.45B,,,,3.513B,,,5.468B,3.249B,3.782B,38.46B,,,,,,,,,34.59B,,,,4.158B,175.42B,3.712B,22.75B,240.63B,279.10B,,12.00B,1.358B,7.096B,20.45B,16.25B,36.70B,,,,,1.129B,,1.129B,,,,37.83B,,167.12B,,167.12B,5.557B,7.865B,13.42B,,,,678.00M,28.90B,210.53B,248.36B,,1.203B,25.23B,5.564B,39.00M,,-1.228B,30.73B,,AOR,Restated
1997-09,,7.144B,,7.144B,,,,3.663B,,,6.32B,,21.64B,38.77B,,,,,,,60.46B,-26.18B,34.28B,,,,,,,201.17B,235.46B,274.22B,,14.78B,,,14.78B,,14.78B,,,,,1.587B,,1.587B,,,20.07B,36.44B,,162.03B,,162.03B,5.181B,,5.181B,,,679.00M,,40.22B,207.43B,243.87B,,,23.95B,,,,,29.68B,,,
1997-06,,5.065B,,5.065B,,,,3.554B,,,6.136B,,21.77B,36.52B,,,,,,,59.67B,-26.18B,33.49B,,,,,,,201.40B,234.89B,271.42B,,13.96B,,,13.96B,,13.96B,,,,,1.624B,,1.624B,,,18.60B,34.18B,,162.23B,,162.23B,5.074B,,5.074B,,,679.00M,,40.14B,207.44B,241.62B,,,23.35B,,,,,29.11B,,,
1997-03,,5.798B,,5.798B,,,,3.90B,,,7.237B,,18.79B,35.72B,,,,,,,59.22B,-26.18B,33.04B,,,,,,,193.20B,226.23B,261.96B,,13.53B,,,13.53B,,13.53B,,,,,1.756B,,1.756B,,,19.45B,34.73B,,156.12B,,156.12B,4.818B,,4.818B,,,680.00M,,38.36B,199.29B,234.02B,,,21.33B,,,,,27.25B,,,
1996-12,,7.267B,11.84B,19.10B,,,,3.133B,,,6.656B,3.296B,3.193B,35.38B,,,,,,,,,33.53B,,,,4.79B,163.50B,4.429B,21.24B,227.49B,262.87B,,11.74B,508.00M,7.374B,19.62B,16.59B,36.20B,,,,,1.661B,,1.661B,,,,37.86B,,156.70B,,156.70B,5.563B,8.504B,14.07B,,,,680.00M,26.79B,198.24B,236.10B,,1.189B,20.33B,5.268B,,,-29.00M,26.76B,,AOR,Restated
1996-09,,8.756B,,8.756B,,,,3.634B,,,7.671B,,16.31B,36.37B,,,,,,,57.92B,-25.31B,32.60B,,,,,,,189.52B,222.13B,258.50B,,13.60B,,,13.60B,,13.60B,,,,,2.125B,,2.125B,,,17.66B,33.39B,,153.49B,,153.49B,5.674B,,5.674B,,,,,39.80B,198.96B,232.35B,,,19.60B,,,,,26.15B,,,
1996-06,,9.153B,,9.153B,,,,3.559B,,,6.908B,,15.00B,34.62B,,,,,,,57.08B,-25.31B,31.77B,,,,,,,194.18B,225.95B,260.57B,,14.11B,,,14.11B,,14.11B,,,,,1.913B,,1.913B,,,17.30B,33.32B,,156.78B,,156.78B,5.361B,,5.361B,,,,,39.27B,201.41B,234.73B,,,19.39B,,,,,25.84B,,,
1996-03,,8.14B,,8.14B,,,,3.597B,,,7.182B,,12.02B,30.94B,,,,,,,56.76B,-25.31B,31.45B,,,,,,,185.62B,217.06B,248.00B,,13.34B,,,13.34B,,13.34B,,,,,1.676B,,1.676B,,,13.94B,28.95B,,151.13B,,151.13B,5.329B,,5.329B,,,,,38.06B,194.51B,223.46B,,,17.91B,,,,,24.54B,,,
