,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2014-06,,,,,,,,,,,,,,,,,,,,4.75B,,-1.912B,,,,-459.00M,-3.652B,-6.023B,,3.344B,-2.165B,1.179B,,-862.00M,-862.00M,-494.00M,-494.00M,-9.00M,-186.00M,,12.98B,-1.459B,49.00M,11.57B,,,,10.98B,-9.803B,-862.00M,,AOR,Restated
2014-03,,,,,,,,,,,,,,,,,,,,2.22B,,-1.516B,,,,-1.583B,-2.563B,-5.662B,,3.486B,-1.023B,2.463B,,,,-493.00M,-493.00M,18.00M,1.988B,,14.47B,-1.454B,-31.00M,12.98B,,,,11.77B,-9.31B,,,AOR,Restated
2013-12,,,,,,,,,,,,,,,,,,,,315.00M,,-1.938B,,,,919.00M,-3.392B,-4.411B,,3.932B,300.00M,4.232B,,-49.00M,-49.00M,-395.00M,-395.00M,3.00M,3.791B,,14.75B,-305.00M,21.00M,14.47B,,,,11.60B,-7.365B,-49.00M,,AOR,Restated
2013-09,,,,,,,,,,,,,,,,,,,,3.84B,,-1.582B,,,-9.00M,534.00M,-3.20B,-4.257B,,1.073B,961.00M,2.034B,,-77.00M,-77.00M,-394.00M,-394.00M,104.00M,1.667B,,13.36B,1.25B,140.00M,14.75B,,,,8.649B,-6.615B,-77.00M,,AOR,Restated
2013-06,,,,,,,,,,,,,,,,,,,,6.078B,,-1.594B,,,0.00,-2.512B,-3.106B,-7.212B,,3.891B,-2.76B,1.131B,,-77.00M,-77.00M,-393.00M,-393.00M,47.00M,708.00M,,13.82B,-426.00M,-32.00M,13.36B,,,,9.055B,-7.924B,-77.00M,,AOR,Restated
2013-03,,,,,,,,,,,,,,,,,,,,211.00M,,-1.483B,,,9.00M,-409.00M,-1.968B,-3.851B,,3.694B,-1.428B,2.266B,,-10.00M,-10.00M,-392.00M,-392.00M,103.00M,1.967B,,15.66B,-1.673B,-166.00M,13.82B,,,,11.24B,-8.976B,-10.00M,,AOR,Restated
2012-12,,,,,,,,,,,,,,,,,,,,-361.00M,,-1.885B,,,-256.00M,1.671B,-1.197B,-1.667B,,995.00M,3.319B,4.314B,,-33.00M,-33.00M,-191.00M,-191.00M,-3.00M,4.087B,,13.54B,2.059B,61.00M,15.66B,,,,8.372B,-4.058B,-33.00M,,AOR,Restated
2012-09,,,,,,,,,,,,,,,,,,,,3.427B,,-1.319B,,,192.00M,-1.52B,-2.427B,-5.074B,,-827.00M,902.00M,75.00M,,-33.00M,-33.00M,-191.00M,-191.00M,114.00M,-35.00M,,15.10B,-1.682B,120.00M,13.54B,,,,5.115B,-5.04B,-33.00M,,AOR,Restated
2012-06,,,,,,,,,,,,,,,,,,,,3.904B,,-1.191B,,,59.00M,39.00M,-1.945B,-3.038B,,904.00M,-1.362B,-458.00M,,-32.00M,-32.00M,-191.00M,-191.00M,-36.00M,-717.00M,,15.24B,149.00M,-292.00M,15.10B,,,,9.839B,-10.30B,-32.00M,,AOR,Restated
2012-03,,,,,,,,,,,,,,,,,,,,2.075B,,-1.093B,,,5.00M,-2.313B,-1.11B,-4.511B,,2.154B,-1.651B,503.00M,,-27.00M,-27.00M,-190.00M,-190.00M,84.00M,370.00M,,17.15B,-2.066B,162.00M,15.24B,,,,10.32B,-9.815B,-27.00M,,AOR,Restated
2011-12,,,,,,,,,,,,,,,,,,,,-235.00M,,-1.158B,,,183.00M,-1.70B,-1.357B,-4.032B,,3.671B,1.289B,4.96B,,0.00,0.00,,0.00,13.00M,4.973B,,16.46B,775.00M,-87.00M,17.15B,,69.00M,,13.69B,-7.18B,0.00,,AOR,Restated
2011-09,,,,,,,,,,,,,,,,,,,,3.793B,,-1.113B,,,17.36B,-794.00M,-17.29B,-1.832B,,-3.066B,890.00M,-2.176B,,0.00,0.00,,0.00,-33.00M,-2.209B,,17.48B,-317.00M,-704.00M,16.46B,,-69.00M,,6.557B,-9.623B,0.00,,AOR,Restated
2011-06,,,,,,,,,,,,,,,,,,,,3.729B,,-1.093B,,,-17.21B,-2.381B,16.61B,-4.071B,,-3.848B,101.00M,-3.747B,,0.00,0.00,,0.00,24.00M,-3.723B,,21.32B,-4.065B,228.00M,17.48B,,,,9.245B,-13.09B,0.00,,AOR,Restated
2011-03,,,,,,,,,,,,,,,,,,,,2.497B,,-929.00M,,,0.00,7.30B,523.00M,6.894B,,-3.931B,561.00M,-3.37B,,0.00,0.00,,0.00,88.00M,-3.282B,,14.80B,6.109B,404.00M,21.32B,,,,9.268B,-13.20B,0.00,,AOR,Restated
2010-12,,,,,,,,,,,,,,,,,,,,1.239B,,-1.146B,,,550.00M,26.95B,-20.07B,6.288B,,-2.907B,-846.00M,-3.753B,109.00M,,109.00M,,,-7.207B,-10.85B,,17.99B,-3.324B,137.00M,14.80B,,,109.00M,5.017B,-9.678B,,,AOR,Restated
2010-09,,,,,,,,,,,,,,,,,,,,3.781B,,-919.00M,,,15.57B,-26.04B,9.168B,-2.224B,,-2.543B,-208.00M,-2.751B,388.00M,,388.00M,,,-34.00M,-2.397B,,18.32B,-840.00M,510.00M,17.99B,,,388.00M,10.52B,-13.06B,,,AOR,Restated
2010-06,,,,,,,,,,,,,,,,,,,,3.774B,,-959.00M,,,-7.728B,333.00M,10.03B,1.677B,,-11.68B,342.00M,-11.33B,312.00M,,312.00M,,,-40.00M,-11.06B,,24.36B,-5.61B,-424.00M,18.32B,,,312.00M,6.455B,-18.13B,,,AOR,Restated
2010-03,,,,,,,,,,,,,,,,,,,0.00,2.683B,,-1.068B,,,-6.979B,-354.00M,9.568B,1.167B,,321.00M,-1.042B,-721.00M,530.00M,,530.00M,,,79.00M,-112.00M,,20.89B,3.738B,-276.00M,24.36B,,,530.00M,8.827B,-8.506B,,,AOR,Restated
2009-12,,,,,,,,,,,,,,,,,,,,396.00M,,-1.069B,,,-4.265B,647.00M,8.434B,3.747B,,-5.472B,-295.00M,-5.767B,180.00M,,180.00M,,,-2.79B,-8.377B,,25.18B,-4.864B,-49.00M,20.89B,,,180.00M,10.35B,-16.12B,,,AOR,Restated
2009-09,,,,,,,,,,,,,,,,,,,,5.714B,,-944.00M,,,-7.683B,-6.229B,12.03B,-2.824B,,-1.729B,11.00M,-1.718B,619.00M,,619.00M,,,-223.00M,-1.322B,,23.40B,1.568B,837.00M,25.18B,,,619.00M,10.38B,-17.69B,,,AOR,Restated
2009-06,,,,,,,,,,,,,,,,,,,,5.351B,,-977.00M,,,-7.285B,3.494B,9.799B,5.031B,,-7.683B,-1.728B,-9.411B,1.651B,,1.651B,,,-470.00M,-8.23B,,20.64B,2.152B,606.00M,23.40B,,,1.651B,9.852B,-17.54B,,,AOR,Restated
2009-03,,,,,,,,,,,,,,,,,,,,4.016B,,-1.069B,,,-6.209B,-1.768B,9.711B,665.00M,,-945.00M,-3.869B,-4.814B,0.00,,0.00,,,-87.00M,-4.901B,,21.80B,-220.00M,-940.00M,20.64B,,,0.00,15.41B,-16.36B,,,AOR,Restated
2008-12,,,,,,,,,,,,,,,,,,,0.00,-3.448B,,-1.821B,,,-6.144B,28.00M,8.823B,886.00M,,1.067B,-698.00M,369.00M,93.00M,,93.00M,,,-73.00M,389.00M,,24.89B,-2.173B,-672.00M,22.05B,,,93.00M,14.60B,-13.53B,,,AOR,Restated
2008-09,,,,,,,,,,,,,,,,,,,0.00,1.108B,,-1.747B,,,-11.31B,2.792B,10.24B,-24.00M,,-2.533B,-3.373B,-5.906B,519.00M,,519.00M,,,-264.00M,-5.651B,,30.07B,-4.567B,-605.00M,24.89B,,,519.00M,6.839B,-9.372B,,,AOR,Restated
2008-06,,,,,,,,,,,,,,,,,,,-29.00M,1.105B,,-1.638B,,,-8.443B,-3.447B,11.29B,-2.146B,,-2.713B,-371.00M,-3.084B,81.00M,,81.00M,,,-138.00M,-2.797B,,33.75B,-3.838B,153.00M,30.07B,,,81.00M,9.576B,-12.29B,,,,Restated
2008-03,,,,,,,,,,,,,,,,,,,29.00M,1.056B,,-1.49B,,,-11.83B,452.00M,11.10B,-1.859B,,43.00M,-678.00M,-635.00M,63.00M,,63.00M,,,-129.00M,-1.045B,,35.28B,-1.848B,316.00M,33.75B,,,63.00M,11.15B,-11.11B,,,,Restated
2007-12,-2.723B,,,,,,,,,,,,,,,,-5.477B,-3.713B,10.00M,3.816B,,-1.807B,,,-55.68B,1.665B,53.42B,-2.403B,,2.121B,3.477B,5.598B,98.00M,0.00,98.00M,,,-239.00M,5.457B,,27.44B,6.896B,950.00M,35.28B,,,98.00M,9.095B,-6.974B,0.00,,AOR,Restated
2007-09,-434.00M,,,,,,,,,,,,,,,,-4.793B,-4.793B,10.00M,8.025B,,-1.578B,,2.637B,245.00M,-227.00M,-4.324B,-5.884B,,-8.439B,-2.558B,-6.998B,101.00M,0.00,101.00M,,,202.00M,-6.695B,,32.00B,-4.554B,-7.00M,27.44B,,,101.00M,24.02B,-32.46B,0.00,,AOR,Restated
2007-06,716.00M,,,,,,,,,,,,,,,,3.532B,3.532B,1.00M,4.249B,,-1.341B,,-1.341B,958.00M,2.829B,-3.094B,-648.00M,,,,1.333B,24.00M,0.00,24.00M,,,0.00,1.357B,,26.87B,4.958B,162.00M,32.00B,,,24.00M,,,0.00,,,
2007-03,-282.00M,,,,,,,,,,,,,,,,1.261B,1.261B,5.00M,984.00M,,-1.296B,,-1.296B,33.00M,4.539B,-798.00M,2.478B,,,,-5.332B,27.00M,-31.00M,-4.00M,,,-51.00M,-5.387B,,28.88B,-1.925B,-91.00M,26.87B,,,27.00M,,,-31.00M,,,
2006-12,,,,,,,,,,,,,,,,,,,-9.00M,-7.366B,,-1.606B,,,-59.79B,-6.903B,62.75B,-5.549B,,21.89B,-5.549B,16.34B,76.00M,-44.00M,32.00M,,0.00,-305.00M,16.07B,,25.50B,3.157B,226.00M,28.90B,,,76.00M,25.48B,-3.589B,-44.00M,,,Restated
2006-09,1.748B,,,,,,,,,,,,,,,,-11.46B,-11.46B,19.00M,7.285B,,-1.839B,,3.403B,40.00M,1.604B,-11.14B,-11.34B,,-237.00M,-276.00M,1.74B,121.00M,-42.00M,79.00M,,-94.00M,-123.00M,1.602B,,27.94B,-2.45B,-3.00M,25.50B,,,121.00M,32.78B,-33.01B,-42.00M,,,Restated
2006-06,-325.00M,,,,,,,,,,,,,,,,10.06B,10.06B,-8.00M,9.722B,,-1.565B,,-1.565B,-36.00M,2.311B,-4.88B,-4.17B,,,,1.171B,81.00M,14.00M,95.00M,,-188.00M,-37.00M,1.041B,,21.18B,6.593B,192.00M,27.94B,,,81.00M,,,14.00M,,,
2006-03,-1.423B,,,,,,,,,,,,,,,,1.406B,1.406B,-13.00M,-30.00M,,-1.838B,,-1.838B,50.00M,-2.234B,214.00M,-3.808B,,,,-3.424B,153.00M,-111.00M,42.00M,,-186.00M,126.00M,-3.442B,,28.41B,-7.28B,49.00M,21.18B,,,153.00M,,,-111.00M,,,
2005-12,-1.514B,,,,,,,,,,,,,,,,-17.77B,-17.77B,-16.00M,1.094B,,129.00M,,7.645B,-48.75B,2.755B,52.75B,6.891B,,,,-3.161B,198.00M,-123.00M,75.00M,,-186.00M,-125.00M,-3.397B,,23.94B,4.588B,-120.00M,28.39B,,,198.00M,,,-123.00M,,,Restated
2005-09,-644.00M,,,,,,,,,,,,,,,,5.59B,5.59B,65.00M,5.011B,,-4.073B,,-4.073B,30.51B,-5.847B,-24.85B,-4.32B,,,,-6.89B,513.00M,-447.00M,66.00M,,-185.00M,-22.00M,-7.031B,,30.13B,-6.34B,150.00M,23.94B,,,513.00M,,,-447.00M,,,
2005-06,946.00M,,,,,,,,,,,,,,,,8.225B,8.225B,-111.00M,9.06B,,-2.011B,,-2.011B,-29.92B,-65.00M,30.95B,-979.00M,,,,-983.00M,184.00M,14.00M,198.00M,,-184.00M,15.00M,-954.00M,,22.65B,7.127B,-389.00M,30.13B,,,184.00M,,,14.00M,,,
2005-03,1.212B,,,,,,,,,,,,,,,,3.953B,3.953B,111.00M,5.276B,,-1.561B,,-1.561B,39.00M,9.00M,5.737B,4.164B,,,,-9.20B,,-14.00M,-14.00M,,-183.00M,-21.00M,-9.418B,,22.76B,22.00M,-137.00M,22.65B,,,,,,-14.00M,,,
2004-12,-345.00M,,,,,,,,,,,,,,,,-6.847B,-15.20B,,2.111B,,-4.034B,5.944B,1.91B,-12.59B,5.193B,8.818B,3.009B,,,,4.354B,,-45.00M,-24.00M,,-184.00M,-87.00M,4.059B,,18.09B,9.179B,511.00M,23.51B,,,,,,-45.00M,,,
2004-09,266.00M,,,,,,,,,,,,,,,,7.109B,7.109B,,7.375B,,-2.116B,412.00M,-1.704B,-15.56B,11.00M,16.96B,-289.00M,,,,-5.088B,,-26.00M,-26.00M,,-183.00M,-14.00M,-5.311B,,16.78B,1.775B,139.00M,18.09B,,,,,,-26.00M,,,
2004-06,1.165B,,,,,,,,,,,,,,,,6.479B,6.479B,,7.644B,,-464.00M,25.00M,-439.00M,-34.63B,-555.00M,26.86B,-8.76B,,,,-506.00M,,-41.00M,-41.00M,,-183.00M,-23.00M,-753.00M,,18.73B,-1.869B,-72.00M,16.78B,,,,,,-41.00M,,,
2004-03,1.952B,,,,,,,,,,,,,,,,2.916B,2.916B,,4.868B,,-2.316B,100.00M,-2.216B,,232.00M,614.00M,-1.37B,,,,-7.652B,,-60.00M,-60.00M,,-183.00M,-12.00M,-7.907B,,23.21B,-4.409B,-73.00M,18.73B,,,,,,-60.00M,,,
2003-12,-385.00M,,,,,,,,,,,,,,,,-18.69B,-20.70B,,-2.179B,,-1.925B,0.00,-1.925B,,2.429B,-3.206B,-2.702B,,,,-980.00M,,43.00M,52.00M,,-184.00M,-85.00M,-1.197B,,27.89B,-6.078B,337.00M,23.21B,,,,,,43.00M,,,
2003-09,-25.00M,,,,,,,,,,,,-12.51B,,,,18.17B,18.17B,,5.637B,,-3.783B,1.421B,-2.362B,30.51B,-1.016B,-24.39B,2.739B,,,,2.029B,,-40.00M,-40.00M,,-183.00M,-40.00M,1.766B,,17.68B,10.14B,59.00M,27.89B,,,,,,-40.00M,,,
2003-06,412.00M,,,,,,,,,,,,5.635B,,,,,,,6.047B,,-2.037B,124.00M,-1.913B,-12.54B,-2.071B,8.68B,-7.842B,,,,-869.00M,,19.00M,19.00M,,-183.00M,996.00M,-37.00M,,19.20B,-1.832B,282.00M,17.68B,,,,,,19.00M,,,
2003-03,901.00M,,,,,,,,,,,,6.874B,,,,,,,7.775B,,-1.496B,157.00M,-1.339B,-17.97B,-34.00M,24.14B,4.803B,,,,-4.569B,,-22.00M,-22.00M,,-183.00M,-953.00M,-5.727B,,12.22B,6.851B,133.00M,19.20B,,,,,,-22.00M,,,
2002-12,1.506B,,,,,,,,,,,,-31.55B,,,,,,,-6.551B,,-2.364B,,-2.107B,-195.00M,130.00M,6.013B,3.841B,,,,18.05B,4.991B,-177.00M,4.814B,,-188.00M,-24.13B,-1.448B,,16.07B,-4.158B,180.00M,13.31B,,,4.991B,,,-177.00M,,,
2002-09,-326.00M,,,,,,,,,,,,5.741B,,,,,,,5.415B,,-1.611B,,-1.611B,-27.00M,-77.00M,1.772B,57.00M,,,,-11.14B,-4.796B,9.123B,4.327B,,-186.00M,4.632B,-2.371B,,13.10B,3.101B,-131.00M,16.07B,,,-4.796B,,,9.123B,,,
2002-06,-6.693B,,,,,,,,,,,,13.86B,,,,,,,7.168B,,-2.622B,,-2.622B,-30.00M,-53.00M,-4.584B,-7.289B,,,,6.268B,4.992B,-9.066B,-4.074B,,-185.00M,-5.178B,-3.169B,,16.02B,-3.29B,373.00M,13.10B,,,4.992B,,,-9.066B,,,
2002-03,6.169B,,,,,,,,,,,,-462.00M,,,,,,,5.707B,,-2.512B,,-2.512B,-37.00M,-131.00M,9.223B,6.543B,,,,-8.249B,,-57.00M,-57.00M,,-184.00M,5.091B,-3.399B,,7.218B,8.851B,-49.00M,16.02B,,,,,,-57.00M,,,
