,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,189.00M,,,,74.00M,74.00M,24.00M,19.00M,,-1.00M,-97.00M,-63.00M,,32.00M,-128.00M,180.00M,-73.00M,,,,-130.00M,-1.00M,,-204.00M,103.00M,,103.00M,,-50.00M,-50.00M,-61.00M,-61.00M,34.00M,-15.00M,11.00M,137.00M,-13.00M,124.00M,,935.00M,-832.00M,-50.00M,,
2017-12,267.00M,,,,73.00M,73.00M,-81.00M,25.00M,,-3.00M,38.00M,11.00M,,-12.00M,37.00M,323.00M,-82.00M,,,,-281.00M,-4.00M,,-366.00M,28.00M,,28.00M,,-115.00M,-115.00M,-61.00M,-61.00M,5.00M,-27.00M,-170.00M,350.00M,-213.00M,137.00M,,205.00M,-177.00M,-115.00M,,
2017-09,175.00M,,,,69.00M,69.00M,11.00M,17.00M,,3.00M,-5.00M,93.00M,,-2.00M,86.00M,362.00M,-63.00M,,,,-187.00M,3.00M,,-247.00M,-2.00M,,-2.00M,,-50.00M,-50.00M,-62.00M,-62.00M,28.00M,7.00M,-79.00M,314.00M,36.00M,350.00M,,0.00,-2.00M,-50.00M,,
2017-06,207.00M,,,,66.00M,66.00M,68.00M,20.00M,,-9.00M,11.00M,-64.00M,,-7.00M,-60.00M,294.00M,-65.00M,,,,-111.00M,6.00M,,-170.00M,-1.00M,,-1.00M,,-150.00M,-150.00M,-62.00M,-62.00M,51.00M,-15.00M,-177.00M,367.00M,-53.00M,314.00M,,,-1.00M,-150.00M,-8.00M,-46.00M
2017-03,175.00M,,,,62.00M,62.00M,11.00M,17.00M,,1.00M,-35.00M,-32.00M,,-5.00M,-72.00M,196.00M,-42.00M,,,,-1.00M,-4.00M,,-47.00M,-2.00M,,-2.00M,,-150.00M,-150.00M,-62.00M,-62.00M,46.00M,2.00M,-166.00M,384.00M,-17.00M,367.00M,,0.00,-2.00M,-150.00M,8.00M,46.00M
2016-12,167.00M,0.00,,43.00M,63.00M,63.00M,18.00M,17.00M,,13.00M,274.00M,-19.00M,,10.00M,265.00M,351.00M,-128.00M,,,,25.00M,21.00M,,-82.00M,-6.00M,,-6.00M,,-150.00M,-150.00M,-55.00M,-55.00M,10.00M,-90.00M,-291.00M,406.00M,-22.00M,384.00M,,0.00,-6.00M,-150.00M,-141.00M,-41.00M
2016-09,205.00M,0.00,,0.00,63.00M,63.00M,23.00M,16.00M,,-24.00M,-67.00M,-47.00M,,57.00M,-57.00M,301.00M,-61.00M,,,,-9.00M,-2.00M,,-72.00M,-2.00M,,-2.00M,,-50.00M,-50.00M,-57.00M,-57.00M,25.00M,-22.00M,-106.00M,283.00M,123.00M,406.00M,,0.00,-2.00M,-50.00M,20.00M,-34.00M
2016-06,209.00M,-118.00M,,-118.00M,61.00M,61.00M,-12.00M,18.00M,,8.00M,-104.00M,171.00M,,-3.00M,64.00M,311.00M,-57.00M,,,,275.00M,-1.00M,,217.00M,-63.00M,,-63.00M,,-275.00M,-275.00M,-56.00M,-56.00M,31.00M,-10.00M,-373.00M,128.00M,155.00M,283.00M,,1.204B,-1.267B,-275.00M,117.00M,22.00M
2016-03,115.00M,,,,62.00M,62.00M,8.00M,18.00M,,1.00M,-145.00M,-7.00M,,15.00M,-137.00M,153.00M,-47.00M,,,,-135.00M,-8.00M,,-190.00M,212.00M,,212.00M,,-115.00M,-115.00M,-55.00M,-55.00M,7.00M,-17.00M,32.00M,133.00M,-5.00M,128.00M,,665.00M,-453.00M,-115.00M,4.00M,53.00M
2015-12,200.00M,0.00,,0.00,74.00M,74.00M,-26.00M,13.00M,,10.00M,-48.00M,-15.00M,,-1.00M,-64.00M,272.00M,-94.00M,,,,-22.00M,-9.00M,,-125.00M,-63.00M,,-63.00M,,-50.00M,-50.00M,-54.00M,-54.00M,2.00M,28.00M,-137.00M,123.00M,10.00M,133.00M,,239.00M,-302.00M,-50.00M,70.00M,21.00M
2015-09,354.00M,-334.00M,,-334.00M,77.00M,77.00M,143.00M,12.00M,,1.00M,-51.00M,-25.00M,,-39.00M,-115.00M,212.00M,-52.00M,,,,-72.00M,10.00M,,-114.00M,-29.00M,,-29.00M,,-25.00M,-25.00M,-55.00M,-55.00M,3.00M,-19.00M,-125.00M,150.00M,-27.00M,123.00M,,385.00M,-414.00M,-25.00M,140.00M,52.00M
2015-06,129.00M,0.00,,0.00,75.00M,75.00M,-19.00M,15.00M,2.00M,-12.00M,-66.00M,85.00M,,-3.00M,16.00M,285.00M,-61.00M,,,,-6.00M,-1.00M,,-68.00M,-941.00M,,-941.00M,,-39.00M,-39.00M,-55.00M,-55.00M,20.00M,-26.00M,-1.041B,974.00M,-824.00M,150.00M,,440.00M,-1.381B,-39.00M,90.00M,45.00M
2015-03,70.00M,,,,78.00M,78.00M,14.00M,12.00M,-2.00M,7.00M,-97.00M,-110.00M,,1.00M,-206.00M,52.00M,-56.00M,,,,,1.00M,,-55.00M,949.00M,,949.00M,,-110.00M,-110.00M,-48.00M,-48.00M,35.00M,-41.00M,785.00M,192.00M,782.00M,974.00M,,1.389B,-440.00M,-110.00M,19.00M,54.00M
2014-12,200.00M,,,0.00,79.00M,79.00M,44.00M,13.00M,,-7.00M,-52.00M,-52.00M,,12.00M,-92.00M,309.00M,-89.00M,,,,-3.00M,1.00M,,-91.00M,-116.00M,,-116.00M,,-50.00M,-50.00M,-48.00M,-48.00M,23.00M,-5.00M,-196.00M,170.00M,22.00M,192.00M,,65.00M,-181.00M,-50.00M,91.00M,37.00M
2014-09,139.00M,,0.0,0.00,79.00M,79.00M,5.00M,13.00M,0.00,-3.00M,-69.00M,37.00M,,-6.00M,-38.00M,271.00M,-102.00M,,,,-2.00M,11.00M,,-93.00M,-92.00M,,-92.00M,,-25.00M,-25.00M,-48.00M,-48.00M,25.00M,-12.00M,-152.00M,144.00M,26.00M,170.00M,,215.00M,-307.00M,-25.00M,98.00M,51.00M
2014-06,142.00M,,,,81.00M,81.00M,-16.00M,13.00M,0.00,0.00,-39.00M,21.00M,,5.00M,-13.00M,280.00M,-49.00M,,,,-156.00M,0.00,,-205.00M,-11.00M,,-11.00M,,-25.00M,-25.00M,-48.00M,-48.00M,18.00M,-9.00M,-75.00M,144.00M,0.00,144.00M,,225.00M,-236.00M,-25.00M,129.00M,30.00M
2014-03,111.00M,,,,75.00M,75.00M,-10.00M,12.00M,0.00,-2.00M,-152.00M,-16.00M,,-9.00M,-177.00M,84.00M,-68.00M,,,,-567.00M,-1.00M,,-636.00M,590.00M,,590.00M,,-32.00M,-32.00M,-43.00M,-43.00M,12.00M,-18.00M,509.00M,187.00M,-43.00M,144.00M,,1.513B,-923.00M,-32.00M,9.00M,52.00M
2013-12,151.00M,-17.00M,,-17.00M,72.00M,72.00M,22.00M,4.00M,-1.00M,20.00M,5.00M,-114.00M,,2.00M,-107.00M,210.00M,-76.00M,,,0.00,-33.00M,4.00M,,-105.00M,-37.00M,,-37.00M,,-43.00M,-43.00M,-44.00M,-44.00M,40.00M,8.00M,-76.00M,158.00M,29.00M,187.00M,,106.00M,-143.00M,-43.00M,236.00M,31.00M
2013-09,414.00M,39.00M,,-435.00M,69.00M,69.00M,8.00M,7.00M,0.00,0.00,-39.00M,103.00M,,-5.00M,59.00M,187.00M,-50.00M,,,474.00M,30.00M,-2.00M,,452.00M,-130.00M,,-130.00M,,-482.00M,-482.00M,-46.00M,-46.00M,35.00M,-6.00M,-629.00M,148.00M,10.00M,158.00M,,212.00M,-342.00M,-482.00M,127.00M,52.00M
2013-06,174.00M,-22.00M,,-22.00M,72.00M,72.00M,-11.00M,12.00M,-2.00M,0.00,-81.00M,3.00M,,-4.00M,-82.00M,208.00M,-56.00M,,,,176.00M,1.00M,,121.00M,119.00M,,119.00M,,-450.00M,-450.00M,-47.00M,-47.00M,49.00M,-12.00M,-341.00M,134.00M,-12.00M,148.00M,,402.00M,-283.00M,-450.00M,121.00M,32.00M
2013-03,144.00M,,,,70.00M,70.00M,0.00,5.00M,-1.00M,-1.00M,-132.00M,-106.00M,,-4.00M,-242.00M,47.00M,-49.00M,,,,-90.00M,-1.00M,,-140.00M,44.00M,,44.00M,,-62.00M,-62.00M,-48.00M,-48.00M,14.00M,-8.00M,-60.00M,296.00M,-153.00M,134.00M,,176.00M,-132.00M,-62.00M,84.00M,52.00M
2012-12,65.47M,,,,71.70M,71.70M,6.861M,6.913M,-0.19M,-2.65M,-11.62M,110.82M,,-13.70M,85.50M,380.24M,-59.68M,,,0.00,-0.426M,18.10M,,-42.01M,-146.96M,,-146.96M,,-50.00M,-50.00M,-26.97M,-26.97M,18.06M,-11.24M,-217.12M,191.77M,121.12M,296.00M,,0.00,-146.96M,-50.00M,12.85M,33.62M
2012-09,171.54M,0.00,,0.00,71.27M,71.27M,11.44M,8.909M,0.119M,-5.614M,-49.46M,35.23M,,90.01M,75.78M,394.62M,-44.91M,,,0.00,-0.006M,0.467M,,-44.45M,-292.39M,,-292.39M,,-50.00M,-50.00M,-27.05M,-27.05M,53.37M,-16.07M,-332.14M,173.74M,18.03M,191.77M,,30.00M,-322.39M,-50.00M,89.34M,47.39M
2012-06,186.47M,,,,71.86M,71.86M,4.132M,14.11M,-0.631M,0.461M,-34.74M,-54.88M,,-2.374M,-92.00M,250.87M,-47.41M,,,,-0.012M,0.124M,,-47.30M,-112.33M,,-112.33M,,-50.00M,-50.00M,-27.08M,-27.08M,26.18M,-12.03M,-175.27M,145.44M,28.30M,173.74M,,320.00M,-432.33M,-50.00M,192.56M,32.21M
2012-03,168.52M,,,,72.17M,72.17M,-15.44M,20.07M,-3.298M,-0.197M,-147.17M,-4.17M,,-9.932M,-161.28M,161.27M,-30.00M,,,,-50.56M,-2.689M,,-83.24M,-102.31M,,-102.31M,,-50.00M,-50.00M,-26.90M,-26.90M,64.40M,17.34M,-97.47M,164.89M,-19.45M,145.44M,,365.00M,-467.31M,-50.00M,10.25M,49.78M
2011-12,199.24M,,,,71.57M,71.57M,25.74M,21.21M,0.575M,-233.73M,-35.89M,-16.65M,,3.575M,-48.96M,337.27M,-43.12M,,,,-0.482M,2.661M,,-40.94M,979.00M,-1.163B,-184.27M,,-50.00M,-50.00M,-16.17M,-16.17M,33.00M,-24.41M,-241.85M,110.82M,54.48M,165.00M,,30.67M,-214.94M,-50.00M,,
2011-09,181.89M,,,,73.35M,73.35M,-5.635M,15.60M,0.211M,-0.698M,-77.06M,72.88M,,8.722M,4.542M,337.64M,-39.26M,,,,-162.14M,7.301M,,-194.09M,-1.325B,1.163B,-161.28M,,-49.99M,-49.99M,-15.90M,-15.90M,6.788M,3.436M,-216.95M,184.22M,-73.39M,110.82M,,225.00M,-386.28M,-49.99M,,
2011-06,171.53M,,,,72.72M,72.72M,47.66M,16.25M,-0.106M,2.956M,-22.78M,-66.77M,,-230.55M,-320.10M,59.50M,-39.63M,,,,-1.136B,208.80M,,-967.21M,83.10M,,83.10M,,0.00,0.00,-15.79M,-15.79M,43.43M,-13.05M,97.69M,994.24M,-810.02M,184.22M,,615.00M,-531.90M,0.00,,
2011-03,-46.66M,,,,63.36M,63.36M,-38.77M,18.94M,-4.68M,239.47M,-171.28M,31.55M,,-8.747M,-148.47M,160.58M,-38.99M,,,,0.00,-1.762M,,-40.75M,1.241B,,1.241B,,-835.00M,-835.00M,-17.14M,-17.14M,53.79M,-17.98M,425.11M,449.30M,544.94M,994.24M,,1.818B,-576.89M,-835.00M,,
2010-12,174.23M,,,,63.52M,63.52M,-14.20M,8.885M,-0.86M,8.645M,-30.05M,59.52M,,1.052M,30.52M,339.59M,-69.11M,,,,0.00,-7.567M,,-76.68M,-166.91M,,-166.91M,,0.00,0.00,-71.32M,-17.10M,7.748M,-6.604M,-182.87M,369.26M,80.04M,449.30M,,0.00,-166.91M,0.00,,
2010-09,207.76M,,,,64.14M,64.14M,-0.971M,16.47M,-0.02M,3.056M,-86.71M,35.26M,,16.62M,-34.83M,330.07M,-47.44M,,,,0.00,-0.347M,,-47.79M,-1.091M,,-1.091M,,-324.23M,-324.23M,36.43M,-17.79M,0.613M,-18.42M,-360.91M,447.89M,-78.63M,369.26M,,0.00,-1.091M,-324.23M,,
2010-06,375.03M,,,,62.97M,62.97M,-7.265M,17.45M,-0.477M,-168.60M,-77.88M,-59.29M,,-4.90M,-142.07M,209.17M,-49.08M,,39.76M,,0.00,-0.365M,,-49.45M,-0.788M,,-0.788M,,-175.06M,-175.06M,-18.06M,-18.06M,40.17M,-21.34M,-175.07M,463.24M,-15.35M,447.89M,,0.00,-0.788M,-175.06M,,
2010-03,,,,,63.33M,63.33M,3.563M,11.13M,0.473M,179.86M,-115.29M,16.48M,,3.388M,-95.42M,239.22M,-39.76M,,-39.76M,,,-2.831M,,-42.59M,-0.699M,,-0.699M,,-250.71M,-250.71M,-18.37M,-18.37M,,2.145M,-267.64M,534.26M,-71.02M,463.24M,,0.00,-0.699M,-250.71M,,
2009-12,190.56M,,,18.80M,63.02M,63.02M,24.17M,21.73M,-2.35M,71.64M,-10.06M,-4.412M,,-12.79M,-27.26M,360.32M,-49.90M,,,,-1.692M,-10.68M,6.557M,-55.71M,134.79M,,134.79M,,-150.00M,-150.00M,-31.01M,-31.01M,40.54M,-11.71M,-17.38M,247.03M,287.22M,534.26M,,735.52M,-600.73M,-150.00M,,
2009-09,201.64M,,,10.90M,63.62M,63.62M,1.927M,20.16M,-1.40M,74.38M,-75.66M,81.83M,,-3.851M,2.32M,373.54M,-41.04M,,,,-4.551M,,-0.529M,-46.12M,-106.62M,,-106.62M,,-99.99M,-99.99M,-27.18M,-27.18M,29.35M,4.757M,-199.69M,119.29M,127.74M,247.03M,,0.00,-106.62M,-99.99M,,
2009-06,198.37M,,,2.404M,65.19M,65.19M,43.96M,20.14M,-1.79M,93.52M,-92.28M,-56.73M,,-281.98M,-431.00M,-9.207M,-36.39M,,,,-10.62M,0.326M,-6.028M,-52.71M,-0.588M,,-0.588M,,0.00,0.00,-52.08M,-33.04M,7.209M,3.408M,-23.01M,204.22M,-84.93M,119.29M,,460.00M,-460.59M,0.00,,
2009-03,175.66M,,,-2.404M,64.86M,64.86M,13.06M,13.03M,,81.43M,-136.11M,57.03M,,6.205M,-72.87M,272.76M,-39.61M,,,,-1.429M,-0.326M,,-41.36M,-0.597M,,-0.597M,,-250.00M,-250.00M,,-19.04M,10.02M,-21.50M,-281.12M,253.95M,-49.72M,204.22M,,50.00M,-50.60M,-250.00M,,
2008-12,169.81M,,,-25.53M,65.76M,65.76M,21.70M,70.58M,-2.42M,76.22M,-22.98M,20.80M,-8.688M,-2.332M,-13.20M,362.92M,-72.52M,,140.16M,,-11.27M,1.387M,,-82.40M,-458.94M,14.20M,-31.32M,-27.95M,-254.00M,-281.94M,,-52.49M,30.51M,21.99M,-313.26M,286.68M,-32.73M,253.95M,-27.95M,37.13M,-481.87M,-254.00M,,
2008-09,95.86M,,,25.53M,66.14M,66.14M,-15.09M,-36.84M,1.223M,205.38M,-46.03M,37.39M,8.688M,-13.33M,-13.29M,328.92M,-45.34M,,-140.16M,,-0.554M,-1.62M,,-47.51M,284.04M,4.167M,-125.21M,27.95M,,27.95M,,-7.679M,-11.56M,-21.62M,-138.12M,143.40M,143.28M,286.68M,27.95M,-20.04M,308.25M,,-193.21M,-99.63M
2008-06,176.21M,,,-3.653M,67.42M,67.42M,-3.476M,36.84M,-1.223M,56.10M,-61.82M,10.59M,-66.67M,2.979M,-114.92M,213.30M,-47.90M,-0.421M,46.50M,,-2.93M,-0.50M,,-51.75M,-284.04M,-4.167M,-172.74M,-6.447M,0.00,-6.447M,,-31.32M,11.56M,10.76M,-188.18M,170.02M,-26.62M,143.40M,-6.447M,20.04M,-308.25M,0.00,193.21M,99.63M
2008-03,139.61M,,,3.653M,65.26M,65.26M,-2.585M,,,106.65M,-151.79M,-48.47M,66.67M,-21.09M,-154.68M,157.91M,-46.92M,0.421M,-46.50M,,22.82M,6.465M,,-17.22M,,,-115.47M,6.447M,,6.447M,,-19.41M,,-9.831M,-138.26M,167.59M,2.428M,170.02M,6.447M,,,,,
2007-12,-5.251M,,,18.72M,68.62M,68.62M,-5.657M,,,273.37M,-0.915M,7.907M,-9.027M,7.60M,5.565M,355.38M,-76.18M,,-76.18M,,-32.43M,-0.503M,,-109.11M,,,-204.40M,11.53M,0.00,11.53M,,-19.36M,,-31.07M,-243.30M,164.62M,2.971M,167.59M,11.53M,,,0.00,,
2007-09,97.96M,,,3.073M,64.02M,64.02M,-3.598M,,,143.75M,-78.97M,54.88M,6.543M,3.539M,-14.01M,291.20M,-53.59M,,-53.59M,,-23.96M,2.725M,,-74.83M,,,-151.21M,42.13M,-40.66M,1.474M,,-19.30M,,-5.011M,-174.05M,122.30M,42.32M,164.62M,42.13M,,,-40.66M,,
2007-06,141.33M,,,5.544M,54.90M,54.90M,16.44M,,,85.37M,-91.43M,-22.82M,-62.20M,1.66M,-174.78M,128.79M,-49.21M,-1.925M,-51.13M,,-1.173B,-5.369M,,-1.229B,,,1.083B,9.708M,0.00,9.708M,,-19.26M,,-9.10M,1.064B,158.40M,-36.10M,122.30M,9.708M,,,0.00,,
2007-03,105.89M,,,7.478M,50.34M,50.34M,-8.758M,,,79.39M,-94.03M,-45.40M,67.90M,-11.25M,-82.79M,151.55M,-40.13M,1.925M,-38.20M,,-306.63M,-1.119M,,-345.95M,,,321.66M,17.55M,-105.00M,-87.45M,,-19.40M,,-11.66M,203.15M,149.64M,8.757M,158.40M,17.55M,,,-105.00M,,
2006-12,149.29M,,,21.34M,49.39M,49.39M,-5.452M,,,59.35M,23.80M,6.121M,-6.824M,9.083M,32.18M,306.09M,-59.90M,,-59.90M,,-5.159M,1.919M,,-63.14M,,,13.46M,10.64M,-196.40M,-185.75M,,-19.74M,,-6.388M,-198.42M,105.12M,44.52M,149.64M,10.64M,,,-196.40M,,
2006-09,160.52M,,,13.34M,49.39M,49.39M,-0.643M,,,71.88M,-105.89M,46.77M,2.601M,-3.273M,-59.79M,234.70M,-45.38M,,-45.38M,,-230.34M,0.152M,,-275.57M,,,19.13M,18.38M,-21.95M,-3.575M,,-19.71M,,-0.542M,-4.692M,150.68M,-45.56M,105.12M,18.38M,,,-21.95M,,
2006-06,131.98M,,,-73.32M,49.56M,49.56M,-28.55M,,,190.79M,-84.90M,30.37M,-49.29M,3.826M,-100.00M,170.45M,-45.96M,-0.003M,-45.96M,,-1.042M,-0.70M,,-47.70M,,,0.58M,21.76M,-150.00M,-128.24M,,-19.81M,,18.94M,-128.53M,156.46M,-5.782M,150.68M,21.76M,,,-150.00M,,
2006-03,144.64M,,,82.72M,49.06M,49.06M,-11.63M,,,,-106.24M,-1.916M,98.85M,-14.81M,-24.12M,240.66M,-42.19M,0.003M,-42.18M,,,14.19M,,-27.99M,,,-74.38M,51.54M,-103.98M,-52.44M,,-17.88M,,-3.645M,-148.34M,92.13M,64.33M,156.46M,51.54M,,,-103.98M,,
2005-12,130.33M,,,-189.98M,47.14M,47.14M,11.59M,,,269.49M,-15.96M,42.15M,-13.29M,21.94M,34.84M,303.41M,-45.94M,-0.074M,-46.01M,,-794.90M,-41.30M,41.40M,-840.81M,,,603.42M,13.49M,-199.70M,-186.21M,,-18.18M,,20.41M,419.44M,210.09M,-117.96M,92.13M,13.49M,,,-199.70M,,
2005-09,135.25M,,,221.06M,43.46M,43.46M,-0.491M,,,-138.84M,-59.10M,-20.80M,-1.576M,-1.293M,-82.77M,177.66M,-54.46M,0.074M,-54.39M,,0.00,23.66M,-41.40M,-72.13M,,,-0.042M,20.68M,-98.48M,-77.80M,,-18.26M,,-3.454M,-99.56M,204.11M,5.982M,210.09M,20.68M,,,-98.48M,,
2005-06,149.09M,,,-65.02M,43.00M,43.00M,5.554M,,,138.84M,-50.81M,66.14M,-55.78M,3.463M,-36.98M,234.48M,-68.49M,-0.011M,-68.50M,,0.00,-23.66M,0.50M,-91.66M,,,-0.063M,28.68M,-29.69M,-1.013M,,-12.47M,,-11.33M,-24.87M,86.16M,117.94M,204.11M,28.68M,,,-29.69M,,
2005-03,131.61M,,,75.11M,42.53M,42.53M,-15.99M,,,,-112.56M,-51.45M,86.02M,-19.24M,-97.23M,136.03M,-55.38M,0.011M,-55.37M,,-19.32M,,-0.50M,-75.19M,,,-0.403M,35.49M,-62.30M,-26.81M,,-20.76M,,,-47.98M,73.30M,12.86M,86.16M,35.49M,,,-62.30M,,
2004-12,126.07M,,,-220.16M,42.27M,42.27M,21.06M,,,,-17.52M,32.59M,-8.572M,-11.14M,-4.639M,263.57M,-41.98M,-7.551M,-49.53M,,,5.602M,,-43.93M,,,-0.11M,26.03M,-353.43M,-327.40M,,-15.17M,,-4.695M,-347.38M,201.04M,-127.73M,73.30M,26.03M,,,-353.43M,,
2004-09,130.14M,,,78.90M,42.54M,42.54M,21.64M,,,,-68.02M,-9.79M,21.16M,0.513M,-56.14M,217.08M,-43.30M,2.81M,-40.49M,,,-0.301M,,-40.79M,,,-0.271M,16.25M,-110.04M,-93.80M,,-15.27M,,-3.721M,-113.06M,137.80M,63.23M,201.04M,16.25M,,,-110.04M,,
2004-06,126.83M,,,80.36M,42.85M,42.85M,-1.671M,,,,-82.91M,63.43M,-38.99M,17.54M,-40.93M,207.43M,-45.71M,1.448M,-44.26M,,,-2.876M,3.614M,-43.52M,,,-0.357M,32.36M,-226.23M,-193.88M,,-15.51M,,-6.435M,-216.18M,190.08M,-52.27M,137.80M,32.36M,,,-226.23M,,
2004-03,116.15M,,,85.00M,41.07M,41.07M,11.42M,,,,-97.95M,-63.90M,27.57M,-8.666M,-142.94M,110.69M,-45.14M,3.293M,-41.84M,,,,-3.614M,-45.46M,,,-0.359M,34.48M,-44.87M,-10.39M,,-15.43M,,-3.94M,-30.12M,154.96M,35.12M,190.08M,34.48M,,,-44.87M,,
