,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2018-06,2.49B,2.49B,739.00M,1.751B,886.00M,275.00M,147.00M,-35.00M,57.00M,1.00M,-56.00M,17.00M,1.325B,426.00M,1.00M,57.00M,-56.00M,-24.00M,-56.00M,347.00M,-209.00M,555.00M,,555.00M,573.25M,551.00M,147.00M,404.00M,,0.40,,,0.4132,0.40,,0.40,,,0.4130,0.40,,1.380B,1.399B,,AOR,Restated
2018-03,2.379B,2.379B,672.00M,1.707B,860.00M,261.00M,141.00M,-19.00M,61.00M,1.00M,-60.00M,18.00M,1.28B,427.00M,1.00M,61.00M,-60.00M,-43.00M,-60.00M,323.00M,26.00M,298.00M,,298.00M,334.80M,525.00M,141.00M,384.00M,,0.22,,,0.2467,0.22,,0.21,,,0.2363,0.21,,1.376B,1.397B,,AOR,Restated
2017-12,2.408B,2.408B,674.00M,1.734B,886.00M,263.00M,141.00M,-108.00M,57.00M,1.00M,-56.00M,18.00M,1.308B,426.00M,1.00M,57.00M,-56.00M,-144.00M,-56.00M,227.00M,841.00M,-615.00M,,-615.00M,-531.60M,425.00M,141.00M,284.00M,,-0.45,,,-0.3893,-0.45,,-0.45,,,-0.3902,-0.45,,1.373B,1.395B,,AOR,Restated
2017-09,2.222B,2.222B,637.00M,1.585B,800.00M,254.00M,139.00M,1.00M,57.00M,3.00M,-54.00M,16.00M,1.209B,376.00M,3.00M,57.00M,-54.00M,-13.00M,-54.00M,309.00M,26.00M,283.00M,,283.00M,291.24M,505.00M,139.00M,366.00M,,0.21,,,0.2160,0.21,,0.20,,,0.2059,0.20,,1.372B,1.394B,,AOR,Restated
2017-06,2.257B,2.257B,632.00M,1.625B,815.00M,244.00M,142.00M,-182.00M,58.00M,,-58.00M,17.00M,1.218B,407.00M,,58.00M,-58.00M,-258.00M,-58.00M,91.00M,-55.00M,146.00M,,146.00M,294.80M,291.00M,142.00M,149.00M,,0.11,,,0.2186,0.11,,0.11,,,0.2170,0.11,,1.370B,1.391B,,AOR,Restated
2017-03,2.16B,2.16B,650.00M,1.51B,794.00M,235.00M,143.00M,43.00M,57.00M,1.00M,-56.00M,17.00M,1.189B,321.00M,1.00M,57.00M,-56.00M,40.00M,-56.00M,305.00M,15.00M,290.00M,,290.00M,249.11M,505.00M,143.00M,362.00M,,0.21,,,0.1801,0.21,,0.21,,,0.1806,0.21,,1.365B,1.390B,,AOR,Restated
2016-12,2.191B,2.191B,619.00M,1.572B,831.00M,256.00M,137.00M,-188.00M,58.00M,0.00,-58.00M,20.00M,1.244B,328.00M,0.00,58.00M,-58.00M,-181.00M,-58.00M,89.00M,-35.00M,124.00M,,124.00M,230.20M,284.00M,137.00M,147.00M,,0.09,,,0.1680,0.09,,0.09,,,0.1667,0.09,,1.362B,1.384B,,AOR,Restated
2016-09,2.105B,2.105B,594.00M,1.511B,772.00M,232.00M,136.00M,-3.00M,58.00M,0.00,-58.00M,20.00M,1.16B,351.00M,0.00,58.00M,-58.00M,-36.00M,-58.00M,257.00M,29.00M,228.00M,,228.00M,258.19M,451.00M,136.00M,315.00M,,0.17,,,0.1922,0.17,,0.17,,,0.1919,0.17,,1.361B,1.380B,,AOR,Restated
2016-06,2.126B,2.126B,639.00M,1.487B,779.00M,222.00M,135.00M,-665.00M,59.00M,1.00M,-58.00M,20.00M,1.156B,331.00M,1.00M,59.00M,-58.00M,-670.00M,-58.00M,-397.00M,-190.00M,-207.00M,,-207.00M,195.00M,-203.00M,135.00M,-338.00M,,-0.15,,,0.1462,-0.15,,-0.15,,,0.1462,-0.15,,1.357B,1.357B,,AOR,Restated
2016-03,1.964B,1.964B,573.00M,1.391B,716.00M,210.00M,136.00M,-17.00M,59.00M,3.00M,-56.00M,19.00M,1.081B,310.00M,3.00M,59.00M,-56.00M,-26.00M,-56.00M,228.00M,26.00M,202.00M,,202.00M,224.15M,423.00M,136.00M,287.00M,,0.15,,,0.1664,0.15,,0.15,,,0.1662,0.15,,1.350B,1.370B,,AOR,Restated
2015-12,1.978B,1.978B,573.00M,1.405B,778.00M,244.00M,134.00M,-503.00M,59.00M,3.00M,-56.00M,17.00M,1.173B,232.00M,3.00M,59.00M,-56.00M,-514.00M,-56.00M,-338.00M,-196.00M,-142.00M,,-142.00M,163.40M,-145.00M,134.00M,-279.00M,,-0.11,,,0.1169,-0.11,,-0.11,,,0.1169,-0.11,,1.346B,1.346B,,AOR,Restated
2015-09,1.888B,1.888B,539.00M,1.349B,729.00M,221.00M,131.00M,-550.00M,58.00M,1.00M,-57.00M,17.00M,1.098B,251.00M,1.00M,58.00M,-57.00M,-561.00M,-57.00M,-367.00M,-169.00M,-198.00M,,-198.00M,137.40M,-178.00M,131.00M,-309.00M,,-0.15,,,0.0996,-0.15,,-0.15,,,0.0996,-0.15,,1.344B,1.344B,,AOR,Restated
2015-06,1.843B,1.843B,540.00M,1.303B,700.00M,220.00M,116.00M,-30.00M,106.00M,0.00,-106.00M,18.00M,1.054B,249.00M,0.00,106.00M,-106.00M,-38.00M,-106.00M,105.00M,3.00M,102.00M,,102.00M,135.98M,327.00M,116.00M,211.00M,,0.08,,,0.1053,0.08,,0.08,,,0.1050,0.08,,1.341B,1.362B,,AOR,Restated
2015-03,1.768B,1.768B,520.00M,1.248B,668.00M,192.00M,113.00M,-234.00M,60.00M,0.00,-60.00M,17.00M,990.00M,258.00M,0.00,60.00M,-60.00M,-249.00M,-60.00M,-51.00M,-50.00M,-1.00M,,-1.00M,146.00M,122.00M,113.00M,9.00M,,-0.0008,,,0.1095,-0.0008,,-0.0008,,,0.1095,-0.0008,,1.334B,1.334B,,AOR,Restated
2014-12,1.887B,1.887B,559.00M,1.328B,752.00M,208.00M,111.00M,-724.00M,55.00M,2.00M,-53.00M,25.00M,1.096B,232.00M,2.00M,55.00M,-53.00M,-733.00M,-53.00M,-554.00M,-255.00M,-299.00M,,-299.00M,176.15M,-388.00M,111.00M,-499.00M,,0.07,,,0.4281,0.07,,0.06,,,0.4181,0.06,,1.327B,1.327B,,AOR,Restated
2014-09,1.846B,1.846B,550.00M,1.296B,741.00M,212.00M,109.00M,-149.00M,54.00M,1.00M,-53.00M,21.00M,1.083B,213.00M,1.00M,54.00M,-53.00M,-157.00M,-53.00M,3.00M,-40.00M,43.00M,,43.00M,144.40M,166.00M,109.00M,57.00M,,0.03,,,0.1065,0.03,,0.03,,,0.1052,0.03,,1.326B,1.348B,,AOR,Restated
2014-06,1.873B,1.873B,563.00M,1.31B,743.00M,206.00M,109.00M,-296.00M,53.00M,1.00M,-52.00M,25.00M,1.083B,227.00M,1.00M,53.00M,-52.00M,-279.00M,-52.00M,-104.00M,-108.00M,4.00M,,4.00M,183.40M,58.00M,109.00M,-51.00M,,0.0030,,,0.1386,0.0030,,0.0030,,,0.1364,0.0030,,1.323B,1.345B,,AOR,Restated
2014-03,1.774B,1.774B,537.00M,1.237B,666.00M,191.00M,109.00M,-34.00M,54.00M,1.00M,-53.00M,40.00M,1.006B,231.00M,1.00M,54.00M,-53.00M,-32.00M,-53.00M,146.00M,13.00M,133.00M,,133.00M,161.24M,309.00M,109.00M,200.00M,,0.10,,,0.1214,0.10,,0.10,,,0.1209,0.10,,1.322B,1.349B,,AOR,Restated
2013-12,1.838B,1.838B,556.00M,1.282B,724.00M,217.00M,105.00M,-85.00M,58.00M,1.00M,-57.00M,25.00M,1.071B,211.00M,1.00M,58.00M,-57.00M,-95.00M,-57.00M,59.00M,-49.00M,108.00M,,108.00M,167.80M,222.00M,105.00M,117.00M,,0.08,,,0.1250,0.08,,0.08,,,0.1250,0.08,,1.329B,1.329B,,AOR,Restated
2013-09,1.735B,1.735B,510.00M,1.225B,658.00M,217.00M,101.00M,-118.00M,137.00M,1.00M,-136.00M,28.00M,1.004B,221.00M,1.00M,137.00M,-136.00M,-125.00M,-136.00M,-40.00M,-35.00M,-5.00M,,-5.00M,76.90M,198.00M,101.00M,97.00M,,-0.0037,,,0.0574,-0.0037,,-0.0037,,,0.0574,-0.0037,,1.340B,1.340B,,AOR,Restated
2013-06,1.809B,1.809B,530.00M,1.279B,661.00M,223.00M,101.00M,-27.00M,65.00M,3.00M,-62.00M,47.00M,1.032B,247.00M,3.00M,65.00M,-62.00M,-33.00M,-62.00M,152.00M,22.00M,130.00M,,130.00M,155.71M,318.00M,101.00M,217.00M,,0.10,,,0.1191,0.10,,0.10,,,0.1189,0.10,,1.344B,1.359B,,AOR,Restated
2013-03,1.761B,1.761B,578.00M,1.183B,631.00M,204.00M,103.00M,-534.00M,65.00M,2.00M,-63.00M,41.00M,979.00M,204.00M,2.00M,65.00M,-63.00M,-535.00M,-63.00M,-394.00M,-40.00M,-354.00M,,-354.00M,127.33M,-226.00M,103.00M,-329.00M,,-0.26,,,0.0960,-0.26,,-0.26,,,0.0960,-0.26,,1.352B,1.352B,,AOR,Restated
2012-12,1.821B,1.821B,582.00M,1.239B,640.00M,238.00M,101.00M,-115.00M,64.00M,3.00M,-61.00M,28.00M,1.007B,232.00M,3.00M,64.00M,-61.00M,-119.00M,-61.00M,52.00M,-9.00M,61.00M,,61.00M,139.00M,217.00M,101.00M,116.00M,,0.04,,,0.0971,0.04,,0.04,,,0.0971,0.04,,1.366B,1.366B,,AOR,Restated
2012-09,1.735B,1.735B,558.00M,1.177B,589.00M,220.00M,99.00M,-834.00M,65.00M,1.00M,-64.00M,29.00M,937.00M,240.00M,1.00M,65.00M,-64.00M,-839.00M,-64.00M,-663.00M,1.00M,-664.00M,,-664.00M,171.16M,-499.00M,99.00M,-598.00M,,-0.48,,,0.1198,-0.48,,-0.48,,,0.1198,-0.48,,1.392B,1.392B,,AOR,Restated
2012-06,1.828B,1.828B,578.00M,1.25B,648.00M,213.00M,99.00M,-3.829B,64.00M,1.00M,-63.00M,48.00M,1.008B,242.00M,1.00M,64.00M,-63.00M,-3.797B,-63.00M,-3.618B,-40.00M,-3.578B,,-3.578B,177.23M,-3.455B,99.00M,-3.554B,,-2.51,,,0.1286,-2.51,,-2.51,,,0.1286,-2.51,,1.423B,1.423B,,AOR,Restated
2012-03,1.866B,1.866B,631.00M,1.235B,659.00M,215.00M,97.00M,-20.00M,69.00M,1.00M,-68.00M,48.00M,1.019B,216.00M,1.00M,69.00M,-68.00M,-25.00M,-68.00M,123.00M,10.00M,113.00M,,113.00M,136.89M,289.00M,97.00M,192.00M,,0.08,,,0.0965,0.08,,0.08,,,0.0964,0.08,,1.445B,1.454B,,AOR,Restated
2011-12,1.848B,1.848B,660.00M,1.188B,481.00M,230.00M,96.00M,711.00M,71.00M,,-64.00M,940.00M,1.747B,-559.00M,,71.00M,-64.00M,723.00M,-64.00M,100.00M,-7.00M,107.00M,,107.00M,-355.15M,267.00M,96.00M,171.00M,,0.07,,,-0.2448,0.07,,0.07,,,-0.2423,0.07,,1.468B,1.48B,,AOR,Restated
2011-09,1.874B,1.874B,680.00M,1.194B,665.00M,229.00M,97.00M,-38.00M,62.00M,,-62.00M,-8.00M,983.00M,211.00M,,62.00M,-62.00M,-38.00M,-62.00M,111.00M,-31.00M,142.00M,,142.00M,166.70M,270.00M,97.00M,173.00M,,0.09,0.00,,0.1063,0.09,,0.09,0.00,,0.1062,0.09,,1.514B,1.524B,,AOR,Restated
2011-06,1.975B,1.975B,688.00M,1.287B,694.00M,223.00M,96.00M,-43.00M,73.00M,,-73.00M,,1.013B,274.00M,,73.00M,-73.00M,-43.00M,-73.00M,158.00M,12.00M,146.00M,,146.00M,185.73M,327.00M,96.00M,231.00M,,0.10,0.00,,0.1260,0.10,,0.10,0.00,,0.1259,0.10,,1.529B,1.536B,,AOR,Restated
2011-03,1.925B,1.925B,631.00M,1.294B,647.00M,212.00M,132.00M,-715.00M,75.00M,,-75.00M,-760.00M,231.00M,1.063B,,75.00M,-75.00M,-715.00M,-75.00M,273.00M,227.00M,46.00M,,46.00M,510.75M,480.00M,132.00M,348.00M,,0.03,0.00,,0.3345,0.03,,0.03,0.00,,0.3325,0.03,,1.526B,1.536B,,AOR,Restated
2010-12,2.002B,2.002B,660.00M,1.342B,536.00M,225.00M,132.00M,86.00M,107.00M,,-94.00M,,1.078B,264.00M,,107.00M,-94.00M,59.00M,-94.00M,229.00M,-7.00M,236.00M,,236.00M,180.10M,468.00M,132.00M,336.00M,,0.16,,,0.1232,0.16,,0.16,,,0.1232,0.16,,1.520B,1.520B,,AOR,Restated
2010-09,1.916B,1.916B,623.00M,1.293B,673.00M,230.00M,129.00M,-7.00M,91.00M,,-91.00M,,1.032B,261.00M,,91.00M,-91.00M,-7.00M,-91.00M,163.00M,-27.00M,190.00M,,190.00M,194.55M,383.00M,129.00M,254.00M,,0.13,0.00,,0.1330,0.13,,0.12,0.00,,0.1230,0.12,,1.520B,1.529B,,AOR,
2010-06,1.928B,1.928B,654.00M,1.274B,691.00M,232.00M,124.00M,-5.00M,103.00M,,-103.00M,,1.047B,227.00M,,103.00M,-103.00M,-5.00M,-103.00M,119.00M,21.00M,98.00M,,98.00M,102.12M,346.00M,124.00M,222.00M,,0.06,0.00,,0.0627,0.06,,0.06,0.00,,0.0627,0.06,,1.517B,1.525B,,AOR,Restated
2010-03,1.96B,1.96B,663.00M,1.297B,679.00M,253.00M,128.00M,-1.719B,93.00M,,-93.00M,,1.06B,237.00M,,93.00M,-93.00M,-1.719B,-93.00M,-1.575B,14.00M,-1.589B,,-1.589B,-471.65M,-1.354B,128.00M,-1.482B,,-1.05,0.00,,-0.3122,-1.05,,-1.05,0.00,,-0.3122,-1.05,,1.514B,1.514B,,AOR,Restated
2009-12,2.079B,2.079B,709.00M,1.37B,690.00M,257.00M,130.00M,-2.039B,122.00M,,-128.00M,-523.00M,554.00M,816.00M,,122.00M,-128.00M,-2.039B,-128.00M,-1.347B,-271.00M,-1.076B,,-1.076B,552.78M,-1.095B,130.00M,-1.225B,,-0.71,0.00,,0.3682,-0.71,,-0.71,0.00,,0.3682,-0.71,,1.511B,1.511B,,AOR,Restated
2009-09,2.025B,2.025B,629.00M,1.396B,716.00M,258.00M,126.00M,-13.00M,91.00M,1.00M,-90.00M,236.00M,1.336B,60.00M,1.00M,91.00M,-90.00M,-13.00M,-90.00M,-44.00M,50.00M,-94.00M,,-94.00M,-85.55M,173.00M,126.00M,47.00M,,-0.06,0.00,,-0.0544,-0.06,,-0.06,0.00,,-0.0544,-0.06,,1.509B,1.509B,,AOR,Restated
2009-06,2.074B,2.074B,630.00M,1.444B,724.00M,263.00M,126.00M,-45.00M,92.00M,2.00M,-90.00M,16.00M,1.129B,315.00M,2.00M,92.00M,-90.00M,-45.00M,-90.00M,180.00M,22.00M,158.00M,,158.00M,197.50M,398.00M,126.00M,272.00M,,0.10,0.00,,0.1262,0.10,,0.10,0.00,,0.1261,0.10,,1.507B,1.514B,,AOR,Restated
2009-03,2.01B,2.01B,607.00M,1.403B,984.00M,257.00M,128.00M,-29.00M,102.00M,,-102.00M,,1.369B,34.00M,,102.00M,-102.00M,-29.00M,-102.00M,-97.00M,-84.00M,-13.00M,,-13.00M,5.85M,133.00M,128.00M,5.00M,,-0.01,0.00,,0.0025,-0.01,,-0.01,0.00,,0.0025,-0.01,,1.505B,1.505B,,AOR,Restated
2008-12,2.002B,2.002B,630.00M,1.372B,723.00M,257.00M,133.00M,-2.638B,107.00M,,-146.00M,0.00,1.113B,259.00M,,107.00M,-146.00M,-2.638B,-146.00M,-2.525B,-131.00M,-2.394B,,-2.394B,107.14M,-2.285B,133.00M,-2.418B,,-1.60,0.00,,0.0658,-1.60,,-1.60,0.00,,0.0658,-1.60,,1.502B,1.502B,,AOR,Restated
2008-09,1.978B,1.978B,655.00M,1.323B,995.00M,252.00M,131.00M,88.00M,112.00M,11.00M,-101.00M,,1.378B,-55.00M,11.00M,112.00M,-101.00M,88.00M,-101.00M,-68.00M,-6.00M,-62.00M,,-62.00M,-142.24M,175.00M,131.00M,44.00M,,-0.04,0.00,,-0.0935,-0.04,,-0.04,0.00,,-0.0935,-0.04,,1.501B,1.501B,,,Restated
2008-06,2.024B,2.024B,604.00M,1.42B,655.00M,253.00M,135.00M,-159.00M,,,,48.00M,1.091B,329.00M,,,,-159.00M,,100.00M,2.00M,98.00M,,98.00M,253.82M,464.00M,135.00M,329.00M,,0.07,0.00,,0.1740,0.07,,0.07,0.00,,0.1735,0.07,,1.498B,1.505B,,,
2008-03,2.046B,2.046B,580.00M,1.466B,661.00M,244.00M,143.00M,175.00M,,,,46.00M,1.094B,372.00M,,,,175.00M,,462.00M,140.00M,322.00M,,322.00M,200.03M,515.00M,143.00M,372.00M,,0.22,0.00,,0.1384,0.22,,0.21,0.00,,0.1287,0.21,,1.494B,1.500B,,,
2007-12,2.153B,2.153B,636.00M,1.517B,906.00M,256.00M,153.00M,-101.00M,,,,57.00M,1.372B,145.00M,,,,-101.00M,,-596.00M,-138.00M,-458.00M,,-458.00M,-380.39M,-334.00M,153.00M,-487.00M,,-0.31,0.00,,-0.2579,-0.31,,-0.31,0.00,,-0.2579,-0.31,,1.491B,1.491B,,,Restated
2007-09,2.048B,2.048B,575.00M,1.473B,719.00M,271.00M,155.00M,-440.00M,,,,400.00M,1.545B,-72.00M,,,,-440.00M,,-259.00M,13.00M,-272.00M,,-272.00M,14.00M,83.00M,155.00M,-72.00M,,-0.18,0.00,,0.0120,-0.18,,-0.18,0.00,,0.0120,-0.18,,1.490B,1.490B,,,
2007-06,2.071B,2.071B,563.00M,1.508B,803.00M,275.00M,158.00M,0.00,,,,,1.236B,272.00M,,,,,,126.00M,11.00M,115.00M,,115.00M,115.00M,430.00M,158.00M,272.00M,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,1.485B,1.500B,,,
2007-03,2.086B,2.086B,568.00M,1.518B,787.00M,294.00M,155.00M,18.00M,,,,,1.236B,282.00M,,,,18.00M,,159.00M,39.00M,120.00M,,120.00M,106.42M,437.00M,155.00M,282.00M,,0.08,0.00,,0.0709,0.08,,0.08,0.00,,0.0709,0.08,,1.50B,1.50B,,,
2006-12,2.065B,2.065B,526.00M,1.539B,758.00M,267.00M,174.00M,-94.00M,,,,54.00M,1.253B,286.00M,,,,-94.00M,,169.00M,-108.00M,277.00M,,277.00M,333.40M,460.00M,174.00M,286.00M,,0.38,0.00,,0.4184,0.38,,0.38,0.00,,0.4184,0.38,,1.470B,1.470B,,,
2006-09,2.026B,2.026B,630.00M,1.396B,719.00M,272.00M,153.00M,-58.00M,,,,57.00M,1.201B,195.00M,,,,-58.00M,,51.00M,-25.00M,76.00M,,76.00M,110.80M,348.00M,153.00M,195.00M,,0.05,0.00,,0.0729,0.05,,0.05,0.00,,0.0729,0.05,,1.52B,1.52B,,,
2006-06,2.11B,2.11B,677.00M,1.433B,728.00M,283.00M,165.00M,-4.332B,,,,65.00M,1.241B,192.00M,,,,-4.332B,,-4.186B,76.00M,-4.262B,,-4.262B,-1.663B,357.00M,165.00M,192.00M,,-3.21,0.00,,-1.252,-3.21,,-3.21,0.00,,-1.252,-3.21,,1.328B,1.328B,,,
2006-03,1.62B,1.62B,374.00M,1.246B,525.00M,186.00M,38.00M,-29.00M,,,,,749.00M,497.00M,,,,-29.00M,,431.00M,99.00M,332.00M,,332.00M,354.34M,535.00M,38.00M,497.00M,,0.40,0.00,,0.4269,0.40,,0.40,0.00,,0.4269,0.40,,830.00M,830.00M,,,
2005-12,1.54B,1.54B,342.00M,1.198B,468.00M,174.00M,38.00M,-48.00M,,,,53.00M,733.00M,465.00M,,,,-48.00M,,438.00M,104.00M,334.00M,,334.00M,370.60M,503.00M,38.00M,465.00M,,0.40,0.00,,0.4428,0.40,,0.40,0.00,,0.4428,0.40,,855.26M,855.26M,,,
2005-09,1.511B,1.511B,343.00M,1.168B,444.00M,181.00M,47.00M,-827.00M,,,,832.00M,1.504B,-336.00M,,,,-827.00M,,-352.00M,-83.00M,-269.00M,,-269.00M,363.00M,-289.00M,47.00M,-336.00M,,-0.33,0.00,,0.4453,-0.33,,-0.33,0.00,,0.4453,-0.33,,815.15M,815.15M,,,
2005-06,1.617B,1.617B,357.00M,1.26B,471.00M,166.00M,36.00M,-262.00M,,,,58.00M,731.00M,529.00M,,,,-262.00M,,311.00M,106.00M,205.00M,,205.00M,377.70M,565.00M,36.00M,529.00M,,0.25,0.00,,0.4606,0.25,,0.24,0.00,,0.4422,0.24,,820.00M,854.17M,,,
2005-03,1.615B,1.615B,344.00M,1.271B,495.00M,159.00M,31.00M,-69.00M,,,,,685.00M,586.00M,,,,-69.00M,,494.00M,136.00M,358.00M,,358.00M,408.00M,617.00M,31.00M,586.00M,,0.43,0.00,,0.4901,0.43,,0.42,0.00,,0.4787,0.42,,832.56M,852.38M,,,
2004-12,1.60B,1.60B,328.00M,1.272B,515.00M,158.00M,30.00M,-90.00M,,,,64.00M,767.00M,505.00M,,,,-90.00M,,459.00M,162.00M,297.00M,,297.00M,355.24M,535.00M,30.00M,505.00M,,0.36,0.00,,0.4308,0.36,,0.35,0.00,,0.4187,0.35,,822.90M,847.15M,,,
2004-09,1.482B,1.482B,309.00M,1.173B,504.00M,145.00M,34.00M,-123.00M,,,,132.00M,815.00M,358.00M,,,,-123.00M,,348.00M,90.00M,258.00M,,258.00M,349.19M,392.00M,34.00M,358.00M,,0.31,0.00,,0.4196,0.31,,0.30,0.00,,0.4060,0.30,,832.26M,860.00M,,,
2004-06,1.46B,1.46B,363.00M,1.097B,375.00M,132.00M,26.00M,-118.00M,,,,52.00M,585.00M,512.00M,,,,-118.00M,,432.00M,119.00M,313.00M,,313.00M,398.50M,538.00M,26.00M,512.00M,,0.37,0.00,,0.4711,0.37,,0.36,0.00,,0.4583,0.36,,845.95M,869.44M,,,
