,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,350.90M,29.00M,-0.40M,28.60M,,,16.90M,16.90M,18.70M,,,17.40M,,1.20M,,-298.50M,-39.30M,,,-119.70M,-457.50M,-23.80M,-14.20M,-14.20M,-1.50M,,-0.10M,192.40M,-24.60M,,-24.60M,,-22.50M,-22.50M,-47.10M,-47.10M,18.10M,-0.30M,-76.40M,974.00M,92.20M,1.066B,,799.70M,-824.30M,-22.50M
2017-12,188.80M,-9.70M,-2.30M,-12.00M,,,16.20M,16.20M,126.30M,,,13.60M,,1.20M,,-487.50M,24.80M,,,53.40M,-409.30M,-75.00M,-25.30M,-25.30M,-141.50M,,0.10M,-161.00M,255.50M,,255.50M,,-25.40M,-25.40M,-47.00M,-47.00M,14.60M,-12.00M,185.70M,1.024B,-50.30M,974.00M,,1.114B,-858.40M,-25.40M
2017-09,313.30M,20.30M,0.00,20.30M,,,14.30M,14.30M,18.80M,,,18.80M,-3.80M,1.10M,,276.40M,-40.50M,,,7.20M,243.10M,625.90M,0.80M,0.80M,0.00,0.00,10.80M,-43.00M,-59.30M,,-59.30M,,0.00,0.00,-37.40M,-37.40M,12.40M,3.80M,-80.50M,512.40M,502.40M,1.024B,,135.00M,-194.30M,0.00
2017-06,289.00M,5.40M,,5.40M,,,13.10M,13.10M,67.90M,,,14.30M,-1.80M,1.30M,,-523.30M,133.00M,,,-48.90M,-439.20M,-50.00M,-46.00M,-46.00M,0.00,-4.90M,3.30M,-47.60M,-296.50M,,-296.50M,,-60.60M,-60.60M,-37.50M,-37.50M,9.60M,1.80M,-383.20M,993.20M,-480.80M,512.40M,,700.00M,-996.50M,-60.60M
2017-03,229.20M,12.20M,0.00,12.20M,,,12.90M,12.90M,15.80M,,,16.80M,-8.20M,1.30M,,-300.90M,-31.40M,,,-55.20M,-387.50M,-107.50M,-35.30M,-35.30M,0.00,-3.90M,-2.90M,-42.10M,-0.20M,,-0.20M,,,,-37.40M,-37.40M,21.90M,8.20M,-7.50M,1.150B,-157.10M,993.20M,,0.00,-0.20M,
2016-12,206.90M,2.30M,,2.30M,,,14.40M,14.40M,8.30M,,,9.30M,-0.50M,1.30M,,-398.90M,27.90M,,,100.80M,-270.20M,-28.20M,-22.20M,-22.20M,-4.10M,,-5.00M,-31.30M,-54.30M,,-54.30M,,,,-37.30M,-37.30M,2.80M,-4.60M,-93.40M,1.303B,-152.90M,1.150B,,,-54.30M,
2016-09,283.70M,15.40M,,15.40M,,,19.60M,19.60M,28.60M,,,12.20M,-3.70M,1.30M,,221.30M,-29.70M,,,-20.60M,171.00M,535.30M,-12.90M,-12.90M,-82.20M,0.00,17.70M,-85.40M,-32.10M,,-32.10M,,0.00,0.00,-29.80M,-29.80M,10.60M,-2.20M,-53.50M,906.80M,396.40M,1.303B,,-26.30M,-5.80M,0.00
2016-06,249.80M,8.10M,,8.10M,,,13.80M,13.80M,17.10M,,,12.50M,-2.40M,1.30M,,-310.90M,132.00M,,,-59.60M,-238.50M,61.70M,-24.80M,-24.80M,0.00,0.00,4.30M,-20.50M,-364.60M,,-364.60M,,0.00,0.00,-29.70M,-29.70M,33.40M,2.40M,-358.50M,1.224B,-317.30M,906.80M,,8.70M,-373.30M,0.00
2016-03,195.10M,1.40M,,1.40M,,,14.00M,14.00M,16.20M,,,13.90M,-1.70M,1.40M,,-135.00M,8.40M,,,-85.30M,-211.90M,28.40M,-20.30M,-20.30M,0.00,35.80M,0.00,15.50M,-72.00M,,-72.00M,,,,-29.60M,-29.60M,11.40M,1.70M,-88.50M,1.269B,-44.60M,1.224B,,17.60M,-89.60M,
2015-12,157.70M,2.00M,,2.00M,,,13.60M,13.60M,13.40M,,,10.40M,-2.20M,1.40M,,-281.90M,-52.70M,,,136.80M,-197.80M,-1.50M,-20.10M,-20.10M,0.00,,-2.10M,-22.20M,-81.00M,,-81.00M,,,,-29.60M,-29.60M,17.00M,2.20M,-91.40M,1.384B,-115.10M,1.269B,,,-81.00M,
2015-09,238.90M,26.30M,,26.30M,,,14.40M,14.40M,-17.60M,,,10.50M,-5.00M,1.50M,,283.30M,38.90M,,,-89.20M,233.00M,511.80M,-12.80M,-12.80M,-2.20M,0.00,-1.60M,39.40M,7.20M,,7.20M,,,,-23.00M,-23.00M,37.80M,5.00M,27.00M,805.60M,578.20M,1.384B,,29.90M,-22.70M,
2015-06,221.40M,15.40M,,15.40M,,,14.30M,14.30M,3.30M,,,9.30M,-0.60M,1.40M,,74.00M,61.80M,,,-42.90M,92.90M,357.40M,-19.30M,-19.30M,-68.70M,-14.80M,-2.70M,-105.50M,-124.70M,,-124.70M,,,,-22.90M,-22.90M,3.00M,0.60M,-144.00M,697.70M,107.90M,805.60M,,210.50M,-335.20M,
2015-03,147.90M,12.60M,,12.60M,,,13.10M,13.10M,5.10M,,,11.00M,-5.50M,1.40M,,-156.50M,3.10M,,,-72.00M,-225.40M,-39.80M,-12.70M,-12.70M,,,-2.70M,-15.40M,212.90M,,212.90M,,,,-22.90M,-22.90M,16.40M,5.50M,211.90M,541.00M,156.70M,697.70M,,860.30M,-647.40M,
2014-12,142.50M,6.00M,,6.00M,,,12.30M,12.30M,12.30M,,,11.40M,-1.20M,1.30M,,-290.30M,-43.50M,,,20.20M,-313.60M,-129.00M,-11.30M,-11.30M,,,-2.60M,-13.90M,39.10M,,39.10M,,,,-22.80M,-22.80M,4.60M,1.20M,22.10M,661.80M,-120.80M,541.00M,,490.00M,-450.90M,
2014-09,166.20M,21.30M,,21.30M,,,11.80M,11.80M,13.60M,,,8.60M,1.00M,2.00M,,-344.60M,117.50M,,,-85.10M,-312.20M,-87.70M,-50.30M,-50.30M,-21.40M,,7.30M,-64.40M,218.30M,,218.30M,,,,-22.80M,-22.80M,2.10M,-1.00M,196.60M,617.30M,44.50M,661.80M,,741.30M,-523.00M,
2014-06,113.20M,56.80M,,56.80M,,,9.90M,9.90M,-12.90M,,,6.80M,0.30M,4.60M,,-524.00M,118.10M,,,-80.70M,-486.60M,-307.90M,-17.10M,-17.10M,-188.20M,0.00,58.60M,-146.70M,79.00M,,79.00M,,,,-13.70M,-13.70M,13.50M,-0.30M,78.50M,993.40M,-376.10M,617.30M,,189.30M,-110.30M,
2014-03,130.90M,4.50M,,4.50M,,,8.90M,8.90M,8.60M,,,5.40M,-1.00M,10.50M,,-291.90M,-105.60M,,,-28.40M,-425.90M,-258.10M,-14.50M,-14.50M,0.00,,0.80M,-13.70M,389.20M,,389.20M,,,,-12.10M,-12.10M,26.30M,1.00M,404.40M,860.80M,132.60M,993.40M,,497.00M,-107.80M,
2013-12,123.20M,2.60M,,2.60M,,,7.80M,7.80M,8.10M,,,5.40M,-0.90M,10.30M,,-271.30M,-14.10M,,,121.20M,-164.20M,-7.70M,-18.30M,-18.30M,-34.50M,,-4.50M,-57.30M,-55.80M,,-55.80M,,,,0.00,0.00,3.30M,0.90M,-51.60M,977.40M,-116.60M,860.80M,,0.00,-55.80M,
2013-09,139.50M,27.10M,,27.10M,,,6.70M,6.70M,51.40M,,,5.90M,-6.70M,10.00M,0.00,-312.30M,-3.10M,,,-11.50M,-326.90M,-93.00M,-17.40M,-17.40M,0.00,0.00,-10.70M,-28.10M,412.90M,,412.90M,,,,0.00,0.00,1.80M,,421.40M,638.00M,300.30M,977.40M,,415.90M,-3.00M,
2013-06,145.90M,0.80M,,0.80M,,,5.90M,5.90M,40.80M,,,5.50M,0.00,9.80M,0.00,-588.00M,80.10M,,,3.20M,-504.70M,-296.00M,-15.30M,-15.30M,0.00,1.40M,-15.10M,-29.00M,-197.70M,,-197.70M,,,,0.00,0.00,10.20M,,-187.50M,1.150B,-512.50M,638.00M,,-26.00M,-171.70M,
2013-03,111.00M,1.90M,,1.90M,,,5.30M,5.30M,3.50M,,,4.10M,0.00,9.50M,0.00,-311.00M,75.30M,,,-83.40M,-319.10M,-183.80M,-11.30M,-11.30M,0.00,96.60M,0.50M,85.80M,666.00M,,666.00M,,,,0.00,0.00,15.60M,,681.60M,566.90M,583.60M,1.150B,,818.00M,-152.00M,
2012-12,66.30M,1.10M,,1.10M,,,4.80M,4.80M,35.20M,,,3.50M,0.00,10.40M,14.40M,-839.60M,-12.80M,,,60.20M,-777.80M,-656.50M,-14.00M,-14.00M,-9.40M,181.30M,-5.70M,152.20M,81.60M,,81.60M,,,,-60.20M,-60.20M,2.10M,,23.50M,1.048B,-480.80M,566.90M,,100.00M,-18.40M,
2012-09,100.10M,1.50M,,1.50M,,,4.40M,4.40M,7.20M,,,3.80M,,10.50M,-1.50M,-233.90M,70.70M,,,-81.00M,-245.70M,-118.20M,-9.80M,-9.80M,-96.50M,-16.10M,-9.30M,-131.70M,385.30M,,385.30M,,,,-12.00M,-12.00M,20.60M,,393.90M,904.90M,144.00M,1.087B,,388.30M,-3.00M,
2012-06,787.90M,4.70M,,4.70M,,,4.60M,4.60M,-716.70M,,-2.20M,4.20M,,10.20M,0.00,-227.50M,44.90M,,,-4.70M,-187.30M,-94.60M,-18.30M,-18.30M,0.00,13.40M,-0.80M,-5.70M,328.70M,,328.70M,,,,-12.00M,-12.00M,8.70M,,325.40M,679.80M,225.10M,904.90M,,330.30M,-1.60M,
2012-03,40.60M,-0.20M,,-0.20M,,,4.80M,4.80M,0.00,,0.80M,5.10M,,9.90M,-0.50M,-154.60M,42.40M,,,-26.00M,-138.70M,-77.70M,-3.10M,-3.10M,0.00,-2.40M,2.30M,-3.20M,17.50M,,17.50M,,,,-11.90M,-11.90M,17.00M,,22.60M,738.10M,-58.30M,679.80M,,17.80M,-0.30M,
2011-12,27.70M,-0.10M,,-0.10M,,,5.00M,5.00M,0.00,,1.40M,5.00M,,9.80M,0.00,-30.40M,-44.40M,,,24.30M,-50.50M,-1.70M,-2.40M,-2.40M,0.00,-2.90M,2.90M,-2.40M,16.90M,,16.90M,,,,-11.90M,-11.90M,4.60M,,9.60M,732.60M,5.50M,738.10M,,29.50M,-12.60M,
2011-09,35.80M,56.20M,,45.50M,-14.90M,,5.00M,5.00M,0.00,-27.60M,-32.60M,4.30M,,-32.90M,1.60M,39.00M,0.50M,,,-14.50M,26.60M,94.20M,-3.50M,-3.50M,,-2.60M,-2.70M,-8.80M,,306.70M,-182.60M,-2.70M,0.00,-2.70M,,-11.90M,,,-193.80M,841.00M,-108.40M,732.60M,-2.70M,0.20M,-182.80M,0.00
2011-06,28.60M,0.00,,6.50M,5.00M,,5.00M,5.00M,0.00,9.50M,9.90M,3.30M,,22.70M,0.00,-60.60M,31.00M,,,-87.40M,-117.00M,-54.20M,-4.60M,-4.60M,,-6.80M,-5.40M,-16.80M,,-120.10M,-120.10M,1.50M,-38.60M,-37.10M,,-11.90M,,,-169.10M,1.081B,-240.10M,841.00M,1.50M,29.80M,-149.90M,-38.60M
2011-03,27.80M,0.00,,2.70M,5.00M,,5.00M,5.00M,,9.10M,14.30M,3.20M,,26.60M,0.30M,-74.30M,-78.90M,,-65.30M,85.50M,-132.70M,-70.60M,-4.50M,-4.50M,,2.80M,1.20M,-0.50M,,-57.60M,-57.60M,0.70M,,0.70M,,-12.00M,,,-68.90M,1.221B,-140.00M,1.081B,0.70M,0.00,-57.60M,
2010-12,-20.40M,-0.10M,,1.40M,4.90M,,4.90M,4.90M,,9.00M,8.40M,3.40M,,20.80M,1.70M,21.40M,-54.40M,,65.30M,8.80M,42.80M,49.50M,-3.70M,-3.70M,,-1.00M,7.50M,2.80M,,-129.00M,-129.00M,0.50M,,0.50M,,-12.00M,,,-140.50M,1.309B,-88.20M,1.221B,0.50M,0.00,-129.00M,
2010-09,-8.80M,,,-1.80M,4.80M,,4.80M,4.80M,0.00,8.60M,30.80M,3.60M,0.10M,43.10M,16.60M,82.30M,-63.40M,,,49.50M,85.00M,122.30M,-3.60M,-3.60M,,-0.90M,5.10M,0.60M,,-197.10M,-197.10M,-4.60M,0.00,-4.60M,-11.90M,-11.90M,,7.50M,-206.10M,1.392B,-83.20M,1.309B,-4.60M,-66.00M,-131.10M,0.00
2010-06,50.50M,,,8.30M,4.30M,,4.30M,4.30M,,8.10M,30.30M,3.20M,0.00,41.60M,-3.20M,170.50M,-28.60M,,,-84.10M,54.60M,159.30M,-7.90M,-7.90M,,-100.30M,-8.50M,-116.70M,,-278.30M,-278.30M,0.60M,0.00,0.60M,-12.00M,-12.00M,,0.00,-289.70M,1.640B,-247.10M,1.392B,0.60M,74.90M,-353.20M,0.00
2010-03,11.40M,,,0.00,4.40M,,4.40M,4.40M,2.90M,7.20M,2.40M,3.30M,-2.90M,10.00M,352.30M,-183.00M,51.70M,10.10M,-56.10M,4.10M,179.10M,207.80M,-5.20M,-5.20M,,-199.10M,2.80M,-201.50M,,-293.00M,-293.00M,4.00M,,4.00M,-11.90M,-11.90M,,-2.00M,-302.90M,1.936B,-296.60M,1.640B,4.00M,8.90M,-301.90M,
2009-12,192.00M,,,-1.60M,4.90M,,4.90M,4.90M,-2.90M,6.90M,1.20M,3.20M,,11.30M,-88.60M,75.00M,-16.10M,-10.10M,56.10M,,16.30M,220.00M,-2.50M,-2.50M,,0.00,2.10M,-0.40M,,-233.70M,-233.70M,,,,-11.90M,-11.90M,,4.90M,-240.70M,1.957B,-21.10M,1.936B,,,-233.70M,
2009-09,-234.90M,,,0.50M,5.00M,,5.00M,5.00M,165.40M,4.40M,192.50M,3.70M,0.00,432.60M,-168.20M,21.10M,60.50M,,,-11.10M,-97.70M,39.20M,0.00,0.00,,0.00,6.80M,6.80M,,-81.20M,-81.20M,,,0.00,-11.90M,-11.90M,4.40M,-2.30M,-91.00M,2.002B,-45.00M,1.957B,,0.00,-81.20M,
2009-06,-143.80M,,,4.00M,6.00M,,6.00M,6.00M,48.10M,2.90M,110.80M,3.60M,,-0.10M,-70.40M,179.70M,12.00M,,,-28.70M,92.60M,124.10M,-1.70M,-1.70M,,0.00,-60.70M,-62.40M,,436.40M,436.40M,,,,-11.80M,-11.80M,,0.80M,425.40M,1.515B,487.10M,2.002B,,487.50M,-51.10M,
2009-03,-108.50M,,,-8.40M,6.50M,-2.00M,4.50M,4.50M,,3.60M,48.20M,3.40M,,6.00M,0.00,201.70M,-23.10M,,,33.50M,212.10M,160.90M,-2.00M,-2.00M,,0.00,0.10M,-1.90M,0.00,-546.40M,-546.40M,-0.10M,,-0.10M,-23.80M,-11.90M,,1.50M,-556.90M,1.913B,-397.90M,1.515B,-0.10M,0.00,-546.40M,
2008-12,-62.60M,,,,8.20M,2.00M,10.20M,10.20M,,,56.20M,3.00M,0.00,-6.20M,621.70M,174.50M,-151.50M,,,171.70M,816.40M,817.00M,-2.50M,-2.50M,,,0.60M,-1.90M,,-277.50M,-277.50M,0.10M,,0.10M,,-11.90M,0.00,,-289.30M,1.387B,525.80M,1.913B,0.10M,,-277.50M,
2008-09,-799.80M,,,0.00,53.20M,,11.10M,11.10M,305.20M,1.90M,1.154B,3.90M,,2.587B,-676.20M,629.70M,256.80M,,-277.10M,-55.70M,-199.90M,479.00M,2.50M,2.50M,,,0.50M,3.00M,,80.30M,80.30M,,,,-23.80M,-23.80M,0.00,-2.40M,54.10M,851.20M,536.10M,1.387B,,117.10M,-36.80M,
2008-06,-399.30M,,,2.60M,-29.10M,-3.50M,9.50M,9.50M,26.80M,5.30M,330.50M,3.90M,2.00M,-1.086B,0.00,332.30M,4.30M,,277.10M,-204.80M,408.90M,387.50M,-2.30M,-2.30M,,,2.90M,0.60M,,-77.60M,-77.60M,-6.40M,,-6.40M,-118.20M,-23.70M,-2.00M,11.90M,-97.80M,560.90M,290.30M,851.20M,-6.40M,-77.60M,0.00,
2008-03,-1.306B,,,,14.20M,1.90M,16.10M,16.10M,394.50M,,1.080B,5.70M,-2.00M,835.20M,0.00,701.80M,-131.50M,,,-58.10M,512.20M,452.30M,-2.70M,-2.70M,,,,-2.70M,,-625.80M,21.60M,6.00M,,6.00M,,-47.20M,2.00M,-0.20M,-17.80M,129.10M,431.80M,560.90M,6.00M,282.00M,-907.80M,
2007-12,-128.80M,,,,14.90M,1.60M,16.50M,16.50M,-76.20M,,,,,248.00M,,475.90M,-296.30M,,,318.60M,498.20M,557.70M,-4.10M,-4.10M,,,,-4.10M,,,-647.40M,0.40M,,0.40M,,-47.30M,,0.20M,-694.10M,269.60M,-140.50M,129.10M,0.40M,,,
2007-09,-50.20M,,,0.00,-48.30M,-4.90M,11.20M,11.20M,-127.10M,,,,,-1.447B,,918.50M,-258.70M,123.30M,,-683.30M,599.20M,808.30M,-7.10M,-7.10M,,,,-7.10M,,,-530.90M,2.70M,,2.70M,,-47.20M,,-17.00M,-592.40M,60.80M,208.80M,269.60M,2.70M,,,
2007-06,-823.70M,,,12.10M,16.30M,1.50M,17.80M,17.80M,-361.90M,,,,,1.277B,,-176.70M,-24.60M,-454.30M,,607.50M,-48.10M,73.40M,-8.40M,-8.40M,,,,-8.40M,,,-200.30M,2.30M,,2.30M,,-47.10M,,22.30M,-222.80M,218.60M,-157.80M,60.80M,2.30M,,,
2007-03,51.70M,,,,16.30M,1.80M,18.10M,18.10M,3.00M,,,,,82.00M,,54.90M,-122.50M,454.30M,,-363.20M,23.50M,178.30M,-13.10M,-13.10M,,,,-13.10M,,,-45.90M,4.40M,,4.40M,,-47.10M,,2.20M,-86.40M,139.80M,78.80M,218.60M,4.40M,,,
2006-12,109.70M,,,,15.70M,1.60M,17.30M,17.30M,-3.00M,,,,,78.30M,,-59.10M,-286.70M,,,439.00M,93.20M,295.50M,-11.20M,-11.20M,,,,-11.20M,,,-939.10M,3.30M,,3.30M,,-47.00M,,250.70M,-732.10M,587.60M,-447.80M,139.80M,3.30M,,,
2006-09,277.70M,,,-10.60M,15.80M,1.60M,17.40M,17.40M,,,,,,286.80M,,428.80M,112.60M,,,-239.40M,302.00M,873.30M,-17.10M,-17.10M,,,,-17.10M,,,-138.50M,3.90M,0.00,3.90M,,-47.00M,,-247.10M,-428.70M,160.10M,427.50M,587.60M,3.90M,,,0.00
2006-06,292.70M,,,0.20M,14.30M,1.30M,15.60M,15.60M,,,,,,-0.10M,,-1.183B,115.40M,-527.40M,,538.10M,-1.057B,-748.40M,-31.10M,-31.10M,,,,-31.10M,,,687.40M,2.10M,0.00,2.10M,,-31.20M,,3.10M,661.40M,278.20M,-118.10M,160.10M,2.10M,,,0.00
2006-03,352.80M,,,10.70M,13.70M,1.20M,14.90M,14.90M,,,,,,,,-776.40M,-48.30M,143.20M,,,-681.50M,-303.10M,-16.70M,-16.70M,,,,-16.70M,,,400.20M,1.50M,0.00,1.50M,,-31.20M,,2.30M,372.80M,225.20M,53.00M,278.20M,1.50M,,,0.00
2005-12,310.10M,,,-0.30M,12.70M,1.10M,13.80M,13.80M,,,,,,,,-1.578B,-141.90M,384.20M,,,-1.336B,-1.013B,-18.40M,-18.40M,,,,-18.40M,,,163.70M,4.90M,-36.80M,-31.90M,,-28.20M,,2.80M,106.40M,1.150B,-924.60M,225.20M,4.90M,,,-36.80M
2005-09,563.80M,,,,13.60M,1.20M,14.80M,14.80M,,,,,,,,148.60M,296.60M,-543.60M,,,-98.40M,480.20M,-23.50M,-23.50M,,,,-23.50M,,,546.20M,3.30M,,3.30M,,-28.20M,,,521.30M,171.80M,978.00M,1.150B,3.30M,,,
2005-06,371.70M,,,,12.40M,1.00M,13.40M,13.40M,,,,,,,,-725.30M,196.30M,-242.90M,,,-771.90M,-386.80M,-15.90M,-15.90M,,,,-15.90M,,,21.00M,8.80M,,8.80M,,-28.10M,,,1.70M,572.80M,-401.00M,171.80M,8.80M,,,
2005-03,294.00M,,,,12.80M,1.10M,13.90M,13.90M,,,,,,,,-436.90M,119.50M,-145.50M,,,-462.90M,-155.00M,-14.70M,-14.70M,,,,-14.70M,,,400.50M,6.50M,,6.50M,,-21.50M,,,385.50M,357.00M,215.80M,572.80M,6.50M,,,
2004-12,241.00M,,,,14.00M,1.00M,15.00M,15.00M,,,,,,,,-841.60M,-23.20M,49.70M,,,-815.10M,-559.10M,-14.10M,-14.10M,,,,-14.10M,,,424.70M,6.20M,,6.20M,,-18.70M,,,412.20M,518.00M,-161.00M,357.00M,6.20M,,,
2004-09,349.63M,,,,15.22M,0.934M,16.15M,16.15M,,,,,,,,-77.05M,117.20M,-265.43M,,,-225.28M,140.51M,-15.94M,-15.94M,,,,-15.94M,,,168.15M,3.874M,,3.874M,,-18.68M,,,153.35M,240.09M,277.91M,518.00M,3.874M,,,
2004-06,251.30M,,,,12.51M,0.909M,13.42M,13.42M,,,,,,,,-498.79M,123.08M,7.59M,,,-368.12M,-103.41M,-14.64M,-14.64M,,,,-14.64M,,,156.96M,1.134M,,1.134M,,-18.64M,,,139.45M,218.69M,21.40M,240.09M,1.134M,,,
2004-03,188.56M,,,,10.40M,3.799M,14.20M,14.20M,,,,,,,,-327.21M,-8.203M,-174.79M,,,-510.20M,-307.44M,-13.40M,-13.40M,,,,-13.40M,,,388.89M,5.225M,,5.225M,,-18.74M,,,375.37M,164.16M,54.53M,218.69M,5.225M,,,
2003-12,185.61M,,,,11.48M,0.258M,11.73M,11.73M,,,,,,,,-508.06M,-40.97M,199.52M,,,-349.51M,-152.16M,-11.22M,-11.22M,,,,-11.22M,,,-249.70M,5.167M,,5.167M,,-10.84M,,,-255.37M,582.90M,-418.74M,164.16M,5.167M,,,
