,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,4.108B,1.808B,5.916B,2.493B,,2.493B,,,,,890.80M,,,895.90M,10.20B,,,,,,,,4.966B,-1.632B,3.335B,4.908B,3.794B,8.702B,1.580B,2.277B,26.09B,,2018-03,345.80M,231.90M,,577.70M,2.384B,2.962B,,3.30M,3.30M,3.30M,,,,3.152B,5.929B,,5.929B,1.331B,1.331B,-16.20M,1.64B,8.900B,12.05B,,17.33B,0.00,2.977B,-303.90M,14.05B,,2018-03,AOR,Restated
2017-12,1.574B,2.115B,3.689B,2.320B,,2.320B,,,,,902.70M,,,962.00M,7.873B,0.00,141.20M,1.214B,2.030B,,1.276B,80.60M,4.742B,-1.559B,3.182B,4.632B,3.880B,8.512B,3.489B,595.90M,23.65B,,2017-12,395.50M,68.20M,,463.70M,2.604B,3.067B,,3.20M,3.20M,3.20M,,,,3.368B,5.935B,,5.935B,122.60M,122.60M,-14.70M,1.629B,7.686B,11.05B,,15.81B,97.80M,2.977B,-318.40M,12.61B,,2017-12,AOR,Restated
2017-09,1.548B,1.960B,3.508B,2.086B,,2.086B,,,,,1.007B,,,967.00M,7.568B,,,,,,,,4.576B,-1.581B,2.996B,4.128B,4.019B,8.147B,4.362B,,23.07B,,2017-09,298.70M,121.30M,,420.00M,2.213B,2.633B,,,573.20M,573.20M,,,,3.448B,5.938B,,5.938B,120.70M,120.70M,-11.60M,716.90M,6.776B,10.22B,,16.11B,59.20M,2.977B,-329.40M,12.86B,,2017-09,AOR,Restated
2017-06,1.170B,1.724B,2.893B,2.133B,,2.133B,,,,,936.50M,,,1.146B,7.109B,,,,,,,,4.339B,-1.511B,2.828B,3.870B,4.051B,7.922B,3.901B,,21.76B,,2017-06,330.30M,52.60M,,382.90M,2.250B,2.633B,,,559.90M,559.90M,,,,3.380B,5.954B,,5.954B,100.80M,100.80M,-11.60M,750.90M,6.806B,10.19B,,14.88B,19.30M,2.977B,-338.80M,11.59B,,2017-06,AOR,Restated
2017-03,924.00M,1.956B,2.880B,1.826B,,1.826B,,,,,921.60M,,,1.232B,6.860B,,,,,,,,4.049B,-1.438B,2.611B,3.612B,4.104B,7.716B,4.010B,,21.20B,,2017-03,316.40M,70.00M,,386.40M,1.884B,2.270B,,,561.50M,561.50M,,,,2.992B,5.953B,,5.953B,94.50M,94.50M,-11.60M,688.80M,6.736B,9.728B,,14.78B,0.00,2.977B,-325.20M,11.48B,,2017-03,AOR,Restated
2016-12,2.326B,2.569B,4.895B,1.742B,,1.742B,,,,,1.002B,,,1.093B,8.732B,0.00,137.80M,1.108B,1.913B,,658.60M,123.70M,3.941B,-1.439B,2.502B,3.669B,3.808B,7.478B,4.165B,,22.88B,,2016-12,279.80M,231.90M,,511.70M,2.621B,3.132B,,4.70M,4.70M,4.70M,,,,3.420B,6.513B,,6.513B,93.10M,93.10M,-11.50M,722.50M,7.328B,10.75B,,15.07B,,2.612B,-319.90M,12.14B,,2016-12,AOR,Restated
2016-09,2.085B,2.231B,4.316B,1.773B,,1.773B,,,,,1.010B,,,993.10M,8.092B,,,,,,,,3.915B,-1.528B,2.387B,3.420B,3.870B,7.290B,4.336B,,22.10B,,2016-09,274.00M,208.80M,,482.80M,1.729B,2.212B,,,4.90M,4.90M,,,,2.500B,6.530B,,6.530B,98.70M,98.70M,-2.70M,862.10M,7.490B,9.990B,,15.03B,,2.612B,-300.90M,12.12B,,2016-09,AOR,Restated
2016-06,1.362B,2.435B,3.797B,1.627B,,1.627B,,,,,996.40M,,,1.027B,7.448B,,,,,,,,3.773B,-1.471B,2.302B,3.167B,3.968B,7.135B,4.631B,,21.51B,,2016-06,225.90M,212.80M,,438.70M,1.844B,2.283B,,,4.80M,4.80M,,,,2.516B,6.538B,,6.538B,105.60M,105.60M,-0.10M,951.00M,7.595B,10.11B,,14.23B,69.10M,2.612B,-282.80M,11.40B,,2016-06,AOR,Restated
2016-03,1.131B,2.455B,3.585B,1.710B,,1.710B,,,,,964.60M,,,941.10M,7.201B,,,,,,,,3.653B,-1.394B,2.259B,2.918B,4.012B,6.930B,4.284B,,20.67B,,2016-03,271.30M,496.50M,,767.80M,1.824B,2.591B,,,4.90M,4.90M,,,,2.777B,6.536B,,6.536B,117.80M,117.80M,1.30M,916.60M,7.57B,10.35B,,13.18B,18.40M,2.612B,-259.30M,10.33B,,2016-03,AOR,Restated
2015-12,1.308B,2.120B,3.428B,1.542B,,1.542B,,,,,893.40M,,,836.90M,6.700B,0.00,74.70M,1.036B,1.800B,,441.20M,166.60M,3.518B,-1.330B,2.188B,2.664B,4.085B,6.749B,3.868B,,19.50B,,2015-12,267.40M,208.70M,,476.10M,1.826B,2.302B,,4.80M,4.80M,4.80M,,,,2.578B,6.522B,,6.522B,124.90M,124.90M,2.10M,905.80M,7.552B,10.13B,,12.21B,0.00,2.612B,-224.00M,9.373B,,2015-12,AOR,Restated
2015-09,4.089B,1.753B,5.843B,1.328B,,1.648B,221.50M,537.70M,159.70M,0.021M,918.92M,,,861.88M,9.271B,,,,,,,,3.348B,-1.320B,2.028B,2.409B,4.181B,6.590B,2.840B,,20.73B,,2015-09,251.23M,458.67M,,709.90M,1.646B,2.356B,,,5.171M,5.171M,58.40M,58.40M,,2.634B,6.529B,,6.529B,136.76M,136.76M,-5.783M,643.02M,7.527B,10.16B,,12.00B,1.342B,2.612B,-157.42M,10.57B,,2015-09,AOR,Restated
2015-06,1.282B,1.087B,2.369B,1.311B,,1.635B,173.20M,516.70M,175.80M,0.038M,865.74M,,,750.04M,5.619B,,,,,,,,3.112B,-1.274B,1.838B,2.154B,4.295B,6.449B,2.853B,,16.76B,,2015-06,282.70M,457.77M,,740.47M,1.535B,2.276B,,3.262M,3.262M,3.262M,62.50M,62.50M,,2.556B,576.21M,,576.21M,138.40M,138.40M,0.421M,691.23M,1.630B,4.186B,,11.03B,4.251B,2.612B,-101.02M,12.57B,,2015-06,AOR,Restated
2015-03,1.478B,673.95M,2.152B,1.390B,,1.702B,139.70M,513.10M,172.60M,-0.051M,825.35M,,,579.60M,5.259B,,,,,,,,2.957B,-1.218B,1.740B,1.850B,4.353B,6.203B,2.018B,,15.22B,,2015-03,236.13M,322.08M,,558.20M,1.058B,1.616B,,3.254M,3.254M,3.254M,124.90M,124.90M,,1.946B,580.67M,,580.67M,130.56M,130.56M,2.687M,679.20M,1.604B,3.550B,,10.11B,4.242B,2.612B,-70.54M,11.67B,,2015-03,AOR,Restated
2014-12,1.205B,640.50M,1.845B,1.292B,,1.576B,,,,,804.00M,,,309.80M,4.535B,0.00,56.90M,947.70M,1.623B,,168.60M,155.50M,2.952B,-1.186B,1.766B,1.760B,4.028B,5.789B,2.225B,,14.31B,,2014-12,229.20M,168.10M,,397.30M,1.303B,1.700B,,3.10M,3.10M,3.10M,120.90M,120.90M,,2.218B,580.30M,,580.30M,52.20M,52.20M,5.00M,650.10M,1.283B,3.501B,,9.284B,4.196B,2.612B,-59.50M,10.81B,,2014-12,AOR,Restated
2014-09,1.186B,675.06M,1.861B,1.091B,,1.361B,133.80M,478.60M,140.70M,-0.037M,753.06M,,,396.47M,4.372B,,,,,,,,2.971B,-1.246B,1.724B,1.541B,4.130B,5.671B,1.937B,,13.70B,,2014-09,233.63M,159.64M,,393.27M,1.111B,1.504B,,3.22M,3.22M,3.22M,110.00M,110.00M,,1.941B,583.98M,,583.98M,90.36M,90.36M,3.189M,658.24M,1.333B,3.273B,,8.400B,4.150B,2.085B,-37.99M,10.43B,,2014-09,AOR,Restated
2014-06,863.20M,709.87M,1.573B,1.002B,,1.289B,124.80M,447.40M,143.70M,0.035M,715.94M,,,346.79M,3.925B,,,,,,,,2.967B,-1.211B,1.756B,1.365B,4.249B,5.614B,1.623B,,12.92B,,2014-06,224.93M,192.76M,,417.69M,1.076B,1.494B,,,3.386M,3.386M,145.00M,145.00M,,1.917B,586.09M,,586.09M,139.09M,139.09M,3.927M,711.01M,1.436B,3.353B,,7.544B,4.106B,2.062B,-26.68M,9.561B,,2014-06,AOR,Restated
2014-03,828.60M,431.61M,1.260B,1.018B,,1.297B,122.70M,421.20M,128.90M,-0.05M,672.75M,,,295.26M,3.525B,,,,,,,,2.908B,-1.164B,1.744B,1.233B,4.364B,5.597B,1.364B,,12.23B,,2014-03,212.81M,161.04M,,373.85M,813.30M,1.187B,,,3.55M,3.55M,205.40M,205.40M,,1.594B,591.01M,,591.01M,200.90M,200.90M,4.352M,702.95M,1.495B,3.089B,,6.829B,4.055B,1.725B,-22.36M,9.137B,,2014-03,AOR,Restated
2013-12,602.56M,620.17M,1.223B,824.41M,,1.077B,115.00M,435.40M,108.60M,0.003M,659.00M,,,226.13M,3.185B,0.00,59.70M,961.50M,1.564B,,144.20M,139.60M,2.869B,-1.118B,1.751B,1.233B,4.475B,5.708B,1.220B,,11.86B,,2013-12,219.91M,179.68M,,399.60M,839.10M,1.239B,,3.494M,3.494M,3.494M,172.70M,172.70M,,1.758B,592.40M,,592.40M,232.55M,232.55M,0.596M,320.65M,1.484B,3.242B,,6.349B,4.024B,1.725B,-27.74M,8.620B,,2013-12,AOR,Restated
2013-09,427.81M,240.88M,668.69M,891.40M,,1.155B,112.20M,389.80M,112.50M,-0.017M,614.48M,,,205.64M,2.644B,,,,,,,,2.880B,-1.074B,1.806B,1.211B,4.580B,5.791B,1.010B,,11.25B,,2013-09,166.71M,144.18M,,310.89M,702.20M,1.013B,,,3.385M,3.385M,240.70M,240.70M,,1.519B,694.89M,,694.89M,302.48M,302.48M,0.596M,608.51M,1.606B,3.125B,,5.892B,3.987B,1.725B,-29.32M,8.125B,,2013-09,AOR,Restated
2013-06,392.51M,275.16M,667.67M,861.46M,,1.111B,110.10M,347.20M,113.10M,-0.01M,570.39M,,,173.71M,2.523B,,,,,,,,2.818B,-1.030B,1.788B,1.211B,4.679B,5.890B,640.99M,,10.84B,,2013-06,163.09M,81.56M,,244.66M,675.50M,920.16M,,,3.188M,3.188M,167.40M,167.40M,,1.304B,726.39M,,726.39M,313.34M,313.34M,0.596M,595.67M,1.635B,2.939B,,5.404B,3.918B,1.366B,-55.14M,7.902B,,2013-06,AOR,Restated
2013-03,663.30M,2.968B,3.631B,753.61M,,1.021B,109.80M,276.10M,120.70M,-0.043M,506.56M,,,169.94M,5.329B,,,,,,,,2.721B,-983.80M,1.737B,1.211B,1.582B,2.792B,306.84M,,10.16B,,2013-03,165.21M,28.04M,,193.25M,593.50M,786.75M,,,203.32M,203.32M,157.10M,157.10M,,1.282B,711.83M,,711.83M,156.67M,156.67M,0.596M,674.94M,1.543B,2.825B,,4.914B,3.859B,1.366B,-67.98M,7.339B,,2013-03,AOR,Restated
2012-12,570.72M,1.135B,1.706B,686.85M,,955.24M,101.80M,244.90M,100.70M,-0.027M,447.37M,,,136.01M,3.244B,0.00,55.70M,902.50M,1.406B,,212.30M,107.30M,2.683B,-941.10M,1.742B,1.201B,1.632B,2.833B,2.311B,,10.13B,,2012-12,204.00M,20.07M,,224.06M,583.40M,807.46M,,453.40M,453.40M,453.40M,148.00M,148.00M,,1.657B,687.40M,,687.40M,217.27M,217.27M,2.272M,604.29M,1.509B,3.166B,,4.487B,3.855B,1.325B,-55.30M,6.962B,,2012-12,AOR,Restated
2012-09,451.72M,1.154B,1.606B,661.52M,,930.48M,101.90M,183.60M,107.40M,,392.90M,,,126.21M,3.055B,0.00,54.00M,839.70M,1.333B,,242.10M,105.80M,2.575B,-898.32M,1.677B,1.205B,1.681B,2.886B,2.013B,,9.631B,,2012-09,157.42M,44.25M,,201.68M,866.21M,1.068B,453.21M,,453.21M,453.21M,,,,1.521B,658.44M,,658.44M,249.58M,249.58M,2.388M,539.57M,1.448B,2.969B,,4.195B,3.819B,1.303B,-51.12M,6.660B,,2012-09,AOR,Restated
2012-06,456.81M,949.24M,1.406B,683.84M,,950.68M,92.90M,166.80M,103.20M,0.04M,362.94M,,,149.25M,2.869B,,,,,,,,2.478B,-854.70M,1.623B,1.198B,1.733B,2.931B,1.740B,,9.162B,,2012-06,159.15M,58.32M,,217.47M,762.35M,979.82M,453.04M,,453.04M,453.04M,,,,1.433B,641.57M,,641.57M,282.90M,282.90M,2.388M,534.36M,1.459B,2.892B,,3.796B,3.826B,1.303B,-50.56M,6.268B,,2012-06,AOR,Restated
2012-03,298.14M,978.47M,1.277B,684.24M,,941.59M,90.80M,163.52M,83.30M,,337.62M,,,122.13M,2.678B,,,,,,,,2.439B,-821.50M,1.617B,1.193B,1.784B,2.977B,1.841B,,9.114B,,2012-03,173.33M,50.07M,,223.40M,660.56M,883.96M,453.36M,,453.36M,453.36M,,,,1.337B,626.01M,,626.01M,324.26M,324.26M,2.647M,517.41M,1.468B,2.805B,,3.409B,4.217B,1.303B,-17.71M,6.306B,,2012-03,AOR,Restated
2011-12,514.54M,1.176B,1.691B,584.60M,,813.33M,83.80M,169.40M,73.60M,0.043M,326.84M,,,144.60M,2.975B,0.00,51.90M,597.90M,1.047B,,553.59M,102.70M,2.353B,-782.10M,1.571B,1.146B,1.608B,2.755B,1.748B,,9.050B,,2011-12,186.45M,45.94M,,232.39M,431.30M,663.69M,,3.30M,3.30M,3.30M,69.60M,69.60M,,912.89M,1.061B,,1.061B,248.64M,248.64M,1.488M,400.29M,1.710B,2.623B,,3.107B,4.185B,839.90M,-26.54M,6.425B,,2011-12,AOR,Restated
2011-09,575.14M,944.38M,1.520B,581.05M,,812.63M,63.60M,169.03M,78.30M,,310.93M,,,194.20M,2.837B,,,,,,,,2.321B,-749.10M,1.572B,1.146B,1.659B,2.805B,1.587B,,8.802B,,2011-09,159.20M,47.98M,,207.18M,674.74M,881.92M,3.422M,,3.422M,3.422M,,,,885.35M,1.061B,,1.061B,238.18M,238.18M,4.446M,384.45M,1.683B,2.569B,,2.807B,4.143B,728.50M,7.571M,6.229B,,2011-09,AOR,Restated
2011-06,697.53M,629.22M,1.327B,666.96M,,851.83M,59.80M,165.60M,82.85M,,308.25M,,,201.79M,2.689B,,,,,,,,2.484B,-771.10M,1.713B,1.146B,1.679B,2.825B,1.395B,,8.622B,,2011-06,170.75M,10.33M,,181.08M,641.27M,822.35M,131.98M,,131.98M,131.98M,,,,954.33M,1.063B,,1.063B,196.78M,196.78M,79.14M,351.68M,1.611B,2.566B,,2.455B,4.225B,728.50M,25.71M,5.977B,,2011-06,AOR,Restated
2011-03,790.68M,437.87M,1.229B,687.61M,7.70M,930.22M,62.10M,147.40M,85.76M,,295.26M,83.00M,66.80M,24.49M,2.628B,,,,,,,,,,1.674B,1.146B,1.732B,2.878B,1.114B,,8.294B,,2011-03,159.14M,93.48M,,252.62M,270.10M,522.72M,134.78M,,134.78M,134.78M,47.40M,47.40M,163.55M,978.85M,1.066B,,1.066B,218.50M,218.50M,70.14M,356.26M,1.640B,2.619B,,2.167B,3.975B,537.22M,-0.992M,5.604B,,2011-03,AOR,Restated
2010-12,759.60M,448.15M,1.208B,605.33M,7.30M,839.99M,59.00M,142.20M,87.87M,,289.07M,69.30M,112.20M,22.12M,2.540B,0.00,107.60M,670.20M,1.023B,,506.90M,100.80M,2.409B,-767.17M,1.642B,1.146B,1.773B,2.919B,991.30M,,8.092B,,2010-12,162.53M,84.52M,,247.05M,464.92M,711.97M,137.15M,,137.15M,137.15M,41.30M,41.30M,,1.050B,1.066B,,1.066B,200.95M,200.95M,52.94M,325.60M,1.593B,2.643B,,1.872B,3.895B,349.59M,-21.61M,5.397B,,2010-12,,Restated
2010-09,626.76M,197.84M,824.59M,616.70M,,838.32M,51.60M,126.00M,91.71M,,269.31M,,,198.91M,2.131B,,,,,,,,2.379B,-737.70M,1.642B,1.139B,1.715B,2.854B,767.26M,,7.394B,,2010-09,143.70M,115.69M,,259.39M,553.80M,813.18M,11.30M,,11.30M,11.30M,,,,824.48M,1.069B,,1.069B,174.62M,174.62M,39.51M,256.08M,1.499B,2.324B,,1.647B,3.856B,462.81M,-9.161M,5.031B,,2010-09,AOR,Restated
2010-06,720.96M,248.71M,969.67M,548.89M,,799.04M,49.10M,127.60M,91.18M,,267.88M,,,218.64M,2.255B,,,,,,,,2.275B,-703.60M,1.572B,1.139B,1.769B,2.908B,767.85M,,7.502B,,2010-06,144.48M,113.28M,,257.76M,487.80M,745.56M,10.10M,,10.10M,10.10M,,,,755.66M,1.070B,,1.070B,207.49M,207.49M,40.48M,257.98M,1.535B,2.291B,,1.405B,4.283B,488.98M,-28.42M,5.171B,,2010-06,AOR,Restated
2010-03,639.56M,513.12M,1.153B,560.78M,,766.00M,43.70M,155.70M,80.64M,,280.04M,,,210.30M,2.409B,,,,,,,,2.276B,-671.90M,1.605B,1.139B,1.822B,2.961B,1.243B,,8.217B,,2010-03,121.36M,108.97M,,230.33M,432.89M,663.22M,19.12M,,19.12M,19.12M,,,,682.33M,1.076B,,1.076B,248.90M,248.90M,41.22M,259.30M,1.584B,2.267B,,1.132B,5.268B,513.63M,22.87M,5.909B,,2010-03,AOR,Restated
2009-12,581.89M,681.84M,1.264B,551.21M,5.30M,760.90M,49.20M,174.00M,70.75M,,293.95M,52.60M,88.80M,20.62M,2.481B,0.00,111.20M,669.70M,918.90M,,506.70M,73.10M,2.280B,-642.52M,1.637B,1.139B,1.871B,3.010B,1.424B,,8.552B,,2009-12,118.53M,75.89M,,194.42M,334.96M,529.38M,19.76M,,19.76M,19.76M,38.70M,38.70M,,714.94M,1.080B,,1.080B,240.62M,240.62M,40.35M,254.20M,1.575B,2.290B,,1.069B,5.782B,679.92M,50.50M,6.222B,,2009-12,AOR,
2009-09,585.79M,821.89M,1.408B,551.00M,,744.27M,40.60M,168.40M,69.69M,,278.69M,,,141.62M,2.572B,,,,,,,,2.258B,-622.90M,1.635B,1.139B,1.927B,3.066B,1.754B,,9.026B,,2009-09,108.55M,59.96M,,168.51M,537.41M,705.92M,15.45M,,15.45M,15.45M,,,,721.37M,1.086B,,1.086B,289.65M,289.65M,33.62M,331.76M,1.707B,2.429B,,781.32M,6.184B,438.71M,37.11M,6.564B,,2009-09,AOR,Restated
2009-06,786.80M,836.27M,1.623B,511.29M,,709.49M,38.80M,173.40M,56.33M,,268.53M,,,143.18M,2.744B,,,,,,,,2.197B,-588.80M,1.609B,1.139B,1.979B,3.117B,1.307B,,8.777B,,2009-06,210.94M,81.59M,,292.54M,496.69M,789.23M,14.70M,,14.70M,14.70M,,,,803.93M,1.086B,,1.086B,310.96M,310.96M,33.17M,331.00M,1.728B,2.531B,,516.63M,6.143B,458.47M,11.29M,6.213B,,2009-06,AOR,Restated
2009-03,764.10M,637.22M,1.401B,481.21M,,661.88M,41.00M,182.60M,44.48M,,268.08M,,,149.37M,2.481B,,,,,,,,,,1.562B,1.139B,2.072B,3.210B,1.322B,,8.575B,,2009-03,104.27M,247.32M,,351.59M,429.69M,781.28M,26.49M,,26.49M,26.49M,,,,807.77M,1.083B,,1.083B,345.78M,345.78M,32.56M,318.49M,1.747B,2.555B,,388.02M,6.110B,478.04M,-32.35M,5.988B,,2009-03,AOR,Restated
2008-12,622.38M,719.59M,1.342B,446.66M,,653.59M,29.80M,180.00M,53.80M,,263.60M,,,198.84M,2.458B,0.00,108.80M,676.10M,846.60M,,420.20M,80.10M,2.132B,-537.05M,1.595B,1.139B,2.161B,3.300B,1.127B,,8.479B,,2008-12,107.42M,223.26M,29.99M,360.67M,378.89M,739.56M,27.67M,,27.67M,27.67M,,,,923.22M,1.085B,,1.085B,356.02M,356.02M,27.87M,280.37M,1.722B,2.645B,,270.18M,6.074B,527.10M,-11.11M,5.806B,,2008-12,AOR,Restated
2008-09,1.011B,376.10M,1.387B,484.64M,178.13M,859.31M,34.20M,168.76M,46.90M,,249.86M,,,143.12M,2.639B,,,,,,,,,,1.580B,1.138B,2.251B,3.388B,927.88M,,8.535B,,2008-09,123.51M,176.75M,178.13M,478.39M,497.26M,975.66M,10.22M,,10.22M,10.22M,,,,985.87M,1.042B,,1.042B,440.16M,440.16M,,298.27M,1.781B,2.767B,,75.36M,6.029B,369.57M,33.43M,5.768B,,2008-09,AOR,Restated
