,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2016-09,150.00M,3.00M,153.00M,1.157B,,178.00M,1.761B,335.00M,580.00M,,,325.00M,3.154B,1.249B,1.707B,42.48B,-8.573B,33.91B,429.00M,,429.00M,1.931B,352.00M,,44.16B,47.32B,1.113B,41.00M,1.154B,303.00M,1.457B,601.00M,,346.00M,947.00M,,947.00M,356.00M,356.00M,,831.00M,3.591B,1.006B,13.75B,,13.75B,10.16B,10.36B,,2.367B,52.00M,8.00M,,29.45B,33.04B,33.00M,9.557B,5.83B,1.038B,,-32.00M,14.27B
2016-06,862.00M,10.00M,872.00M,951.00M,,262.00M,1.578B,321.00M,192.00M,,,353.00M,3.499B,973.00M,1.86B,41.88B,-8.419B,33.46B,429.00M,2.00M,431.00M,1.913B,288.00M,,43.77B,47.27B,969.00M,46.00M,1.015B,238.00M,1.253B,708.00M,,746.00M,1.454B,,1.454B,358.00M,358.00M,,838.00M,3.903B,1.007B,13.75B,,13.75B,9.878B,10.08B,,2.611B,33.00M,8.00M,,29.41B,33.31B,33.00M,9.264B,5.807B,1.038B,,-33.00M,13.95B
2016-03,61.00M,10.00M,71.00M,1.085B,,373.00M,1.747B,342.00M,550.00M,,,309.00M,3.185B,964.00M,1.722B,41.25B,-8.279B,32.97B,429.00M,2.00M,431.00M,865.00M,198.00M,,42.40B,45.58B,909.00M,51.00M,960.00M,288.00M,1.248B,1.199B,,739.00M,1.938B,,1.938B,356.00M,356.00M,,894.00M,4.436B,1.014B,12.22B,,12.22B,9.77B,9.965B,,2.792B,92.00M,8.00M,,27.94B,32.38B,32.00M,9.236B,5.058B,1.038B,,-34.00M,13.19B
2015-12,944.00M,,944.00M,1.052B,,315.00M,1.882B,350.00M,177.00M,,,326.00M,3.836B,927.00M,1.247B,40.35B,-8.139B,32.21B,429.00M,2.00M,431.00M,884.00M,186.00M,,41.81B,45.64B,1.008B,62.00M,1.07B,233.00M,1.303B,1.529B,,739.00M,2.268B,,2.268B,354.00M,354.00M,,795.00M,4.72B,1.007B,12.01B,,12.01B,9.537B,9.736B,,3.096B,39.00M,9.00M,,27.86B,32.58B,32.00M,9.123B,5.03B,1.038B,,-34.00M,13.05B
2015-09,91.00M,3.00M,94.00M,1.194B,,243.00M,1.843B,338.00M,731.00M,,60.00M,245.00M,3.505B,662.00M,1.531B,39.50B,-8.03B,31.47B,429.00M,3.00M,432.00M,874.00M,242.00M,,41.47B,44.97B,1.092B,53.00M,1.145B,276.00M,1.421B,1.16B,,761.00M,1.921B,,1.921B,351.00M,351.00M,,736.00M,4.429B,944.00M,11.52B,,11.52B,9.598B,9.818B,,3.253B,17.00M,9.00M,,27.49B,31.92B,32.00M,9.137B,5.008B,1.038B,,-38.00M,13.04B
2015-06,709.00M,4.00M,713.00M,1.084B,,265.00M,1.70B,321.00M,307.00M,,173.00M,298.00M,3.679B,560.00M,1.399B,38.83B,-7.911B,30.92B,429.00M,3.00M,432.00M,848.00M,223.00M,,41.07B,44.75B,845.00M,52.00M,897.00M,231.00M,1.128B,1.245B,,460.00M,1.705B,,1.705B,348.00M,348.00M,,754.00M,3.935B,944.00M,11.92B,,11.92B,9.408B,9.573B,,3.606B,24.00M,9.00M,,28.02B,31.95B,32.00M,8.90B,4.993B,1.037B,,-39.00M,12.79B
2015-03,117.00M,6.00M,123.00M,1.444B,,160.00M,2.049B,332.00M,470.00M,,95.00M,329.00M,3.398B,497.00M,1.134B,38.01B,-7.797B,30.21B,429.00M,3.00M,432.00M,814.00M,215.00M,,40.58B,43.98B,937.00M,80.00M,1.017B,280.00M,1.297B,519.00M,,496.00M,1.015B,,1.015B,345.00M,345.00M,,750.00M,3.407B,949.00M,11.69B,,11.69B,9.257B,9.427B,,3.814B,24.00M,9.00M,,27.80B,31.21B,32.00M,8.871B,4.993B,1.034B,,-40.00M,12.76B
2014-12,699.00M,8.00M,707.00M,1.201B,,143.00M,2.058B,372.00M,163.00M,,,416.00M,3.716B,479.00M,1.144B,37.53B,-7.705B,29.83B,429.00M,3.00M,432.00M,816.00M,138.00M,,40.36B,44.07B,1.035B,72.00M,1.107B,227.00M,1.334B,800.00M,,560.00M,1.36B,,1.36B,344.00M,344.00M,,719.00M,3.757B,952.00M,11.55B,,11.55B,8.948B,9.129B,,4.096B,13.00M,9.00M,,27.73B,31.49B,32.00M,8.691B,4.991B,1.032B,,-45.00M,12.58B
2014-09,205.00M,8.00M,213.00M,1.28B,,211.00M,1.934B,343.00M,644.00M,,33.00M,352.00M,3.519B,436.00M,981.00M,36.81B,-7.569B,29.24B,429.00M,3.00M,432.00M,740.00M,185.00M,,37.15B,40.67B,972.00M,48.00M,1.02B,261.00M,1.281B,1.425B,,210.00M,1.635B,,1.635B,338.00M,338.00M,,619.00M,3.873B,884.00M,10.98B,1.00M,10.99B,8.817B,9.01B,,1.294B,3.00M,9.00M,,24.08B,27.95B,32.00M,8.794B,4.993B,1.032B,,-19.00M,12.71B
2014-06,774.00M,8.00M,782.00M,1.221B,,251.00M,1.916B,322.00M,146.00M,,43.00M,248.00M,3.457B,281.00M,1.103B,36.18B,-7.426B,28.75B,429.00M,3.00M,432.00M,693.00M,193.00M,,36.85B,40.31B,967.00M,69.00M,1.036B,292.00M,1.328B,1.531B,,45.00M,1.576B,,1.576B,333.00M,333.00M,,602.00M,3.839B,885.00M,11.08B,1.00M,11.08B,8.505B,8.699B,,1.481B,6.00M,,,24.02B,27.86B,32.00M,8.543B,4.993B,1.032B,,-20.00M,12.46B
2014-03,102.00M,3.00M,105.00M,1.566B,,220.00M,2.232B,303.00M,489.00M,,82.00M,273.00M,3.484B,631.00M,1.144B,35.99B,-7.305B,28.68B,429.00M,4.00M,433.00M,547.00M,253.00M,,37.00B,40.48B,1.079B,98.00M,1.177B,307.00M,1.484B,830.00M,,285.00M,1.115B,,1.115B,326.00M,326.00M,,651.00M,3.576B,885.00M,11.34B,1.00M,11.34B,8.564B,8.751B,,1.70B,4.00M,,,24.48B,28.06B,32.00M,8.515B,4.993B,1.032B,,-21.00M,12.43B
2013-12,674.00M,327.00M,1.001B,1.251B,,250.00M,2.005B,363.00M,136.00M,,122.00M,264.00M,3.891B,695.00M,1.429B,35.60B,-7.162B,28.44B,429.00M,4.00M,433.00M,461.00M,225.00M,,36.76B,40.65B,1.017B,476.00M,1.493B,341.00M,1.834B,1.451B,,485.00M,1.936B,,1.936B,321.00M,321.00M,,639.00M,4.73B,892.00M,10.49B,,10.49B,8.466B,8.636B,,1.922B,5.00M,0.00,,23.67B,28.40B,32.00M,8.338B,4.995B,1.034B,,-25.00M,12.24B
2013-09,74.00M,375.00M,449.00M,1.273B,,265.00M,1.955B,368.00M,521.00M,,186.00M,225.00M,3.704B,665.00M,1.479B,34.99B,-7.036B,27.96B,429.00M,4.00M,433.00M,444.00M,238.00M,,38.26B,41.96B,925.00M,379.00M,1.304B,417.00M,1.721B,1.22B,,483.00M,1.703B,,1.703B,316.00M,316.00M,,633.00M,4.373B,676.00M,10.49B,2.00M,10.50B,8.481B,8.529B,,4.011B,29.00M,,128.00M,25.42B,29.80B,32.00M,8.285B,4.99B,1.034B,,-46.00M,12.17B
2013-06,747.00M,405.00M,1.152B,1.211B,,318.00M,2.008B,321.00M,119.00M,,283.00M,220.00M,4.103B,564.00M,1.381B,34.46B,-6.915B,27.54B,429.00M,4.00M,433.00M,313.00M,227.00M,,37.82B,41.92B,997.00M,322.00M,1.319B,370.00M,1.689B,1.40B,,483.00M,1.883B,,1.883B,310.00M,310.00M,,622.00M,4.504B,684.00M,10.49B,2.00M,10.50B,8.28B,8.333B,,4.477B,32.00M,,120.00M,25.54B,30.04B,32.00M,8.001B,4.99B,1.031B,,-48.00M,11.88B
2013-03,132.00M,508.00M,640.00M,1.357B,,223.00M,1.969B,270.00M,422.00M,,440.00M,193.00M,3.934B,600.00M,1.369B,34.07B,-6.789B,27.28B,429.00M,2.00M,431.00M,351.00M,253.00M,,37.80B,41.74B,1.065B,144.00M,1.209B,420.00M,1.629B,1.021B,,405.00M,1.426B,,1.426B,307.00M,307.00M,,881.00M,4.243B,696.00M,10.55B,2.00M,10.56B,8.316B,8.377B,,4.59B,26.00M,,125.00M,25.60B,29.85B,32.00M,8.009B,4.989B,1.03B,,-50.00M,11.89B
2012-12,394.00M,70.00M,464.00M,1.222B,,238.00M,1.966B,330.00M,159.00M,,296.00M,236.00M,3.451B,623.00M,1.11B,33.58B,-6.641B,26.94B,429.00M,2.00M,431.00M,467.00M,216.00M,,37.76B,41.21B,1.215B,162.00M,1.377B,247.00M,1.624B,539.00M,,706.00M,1.245B,,1.245B,304.00M,304.00M,,772.00M,3.945B,704.00M,10.06B,2.00M,10.06B,8.372B,8.567B,,4.827B,31.00M,,,25.40B,29.34B,32.00M,7.997B,4.991B,1.037B,,-53.00M,11.87B
2012-09,69.00M,,69.00M,1.319B,,226.00M,1.986B,355.00M,433.00M,,113.00M,284.00M,3.24B,165.00M,1.298B,32.78B,-6.454B,26.32B,429.00M,3.00M,432.00M,462.00M,278.00M,,36.39B,39.63B,968.00M,108.00M,1.076B,206.00M,1.282B,340.00M,,930.00M,1.27B,,1.27B,308.00M,308.00M,,776.00M,3.724B,294.00M,9.839B,2.00M,9.841B,8.026B,8.096B,,4.039B,34.00M,,661.00M,24.07B,27.79B,32.00M,7.967B,4.991B,1.037B,,-50.00M,11.84B
2012-06,,,,1.034B,,228.00M,1.755B,337.00M,151.00M,,136.00M,1.723B,4.102B,31.01B,1.048B,32.06B,-6.327B,25.73B,429.00M,3.00M,432.00M,451.00M,252.00M,9.078B,35.95B,40.05B,813.00M,154.00M,967.00M,179.00M,1.146B,800.00M,,1.231B,2.031B,,2.031B,308.00M,308.00M,,804.00M,4.38B,305.00M,9.84B,2.00M,9.842B,7.743B,7.82B,539.00M,4.385B,51.00M,,1.148B,24.09B,28.47B,32.00M,7.704B,4.991B,1.035B,,-52.00M,11.58B
2012-03,,,,1.069B,,249.00M,1.697B,325.00M,431.00M,,285.00M,1.166B,3.904B,31.47B,39.00M,31.51B,-6.153B,25.35B,429.00M,3.00M,432.00M,440.00M,296.00M,9.276B,35.80B,39.70B,844.00M,229.00M,1.073B,212.00M,1.285B,,,1.03B,1.03B,,1.03B,306.00M,306.00M,,1.128B,3.84B,305.00M,10.04B,2.00M,10.04B,7.712B,7.795B,537.00M,4.605B,54.00M,,977.00M,24.32B,28.16B,32.00M,7.668B,4.991B,1.035B,,-51.00M,11.54B
2011-12,648.00M,,648.00M,1.123B,,313.00M,1.90B,356.00M,145.00M,,266.00M,323.00M,3.638B,148.00M,1.28B,31.20B,-6.11B,25.09B,429.00M,3.00M,432.00M,455.00M,165.00M,,35.58B,39.21B,955.00M,188.00M,1.143B,251.00M,1.394B,0.00,,530.00M,530.00M,,530.00M,303.00M,303.00M,,760.00M,2.987B,634.00M,10.14B,2.00M,10.14B,7.563B,7.627B,,5.016B,48.00M,213.00M,131.00M,24.58B,27.56B,32.00M,7.568B,4.991B,1.033B,,-58.00M,11.44B
2011-09,,,,1.177B,,306.00M,1.953B,375.00M,469.00M,,,661.00M,3.458B,30.66B,61.00M,30.72B,-6.018B,24.70B,429.00M,3.00M,432.00M,474.00M,267.00M,7.206B,33.08B,36.54B,1.062B,166.00M,1.228B,306.00M,1.534B,,,305.00M,305.00M,,305.00M,302.00M,302.00M,,818.00M,2.959B,294.00M,10.37B,2.00M,10.37B,7.11B,7.179B,,2.60B,30.00M,,1.435B,21.91B,24.87B,32.00M,7.553B,4.983B,1.017B,,-33.00M,11.67B
2011-06,,,,1.101B,84.00M,254.00M,1.954B,310.00M,147.00M,,,798.00M,3.209B,30.28B,54.00M,30.34B,-5.925B,24.41B,429.00M,3.00M,432.00M,426.00M,277.00M,7.261B,32.81B,36.02B,1.033B,156.00M,1.189B,155.00M,1.344B,,,5.00M,5.00M,,5.00M,299.00M,299.00M,,731.00M,2.473B,294.00M,10.67B,4.00M,10.67B,6.853B,6.922B,,2.666B,35.00M,,1.492B,22.08B,24.56B,32.00M,7.346B,4.977B,1.005B,,-35.00M,11.46B
2011-03,516.00M,,516.00M,1.178B,,331.00M,1.922B,245.00M,558.00M,,,349.00M,3.59B,29.98B,37.00M,30.01B,-5.944B,24.07B,429.00M,3.00M,432.00M,413.00M,309.00M,7.374B,32.60B,36.19B,967.00M,70.00M,1.037B,206.00M,1.243B,464.00M,,5.00M,469.00M,,469.00M,,,,870.00M,2.676B,278.00M,10.67B,5.00M,10.68B,6.871B,6.905B,,2.659B,52.00M,,1.497B,22.07B,24.74B,245.00M,7.356B,4.945B,1.001B,213.00M,-37.00M,11.44B
2010-12,338.00M,,338.00M,1.173B,,301.00M,2.099B,348.00M,341.00M,,162.00M,381.00M,3.669B,97.00M,1.481B,29.72B,-5.859B,23.86B,429.00M,3.00M,432.00M,403.00M,298.00M,,32.68B,36.35B,1.151B,90.00M,1.241B,155.00M,1.396B,,,5.00M,5.00M,,5.00M,289.00M,289.00M,,738.00M,2.53B,274.00M,10.67B,7.00M,10.68B,6.769B,6.815B,,3.287B,77.00M,,625.00M,22.54B,25.07B,31.00M,7.22B,4.915B,1.001B,,-40.00M,11.27B
2010-09,,,,1.161B,,508.00M,2.216B,364.00M,604.00M,,,706.00M,3.89B,27.95B,1.226B,29.18B,-5.707B,23.47B,429.00M,3.00M,432.00M,391.00M,289.00M,6.981B,31.56B,35.45B,1.068B,115.00M,1.183B,290.00M,1.473B,846.00M,,5.00M,851.00M,,851.00M,,,,823.00M,3.147B,172.00M,10.67B,8.00M,10.68B,6.229B,6.229B,,2.826B,127.00M,,1.433B,21.46B,24.61B,31.00M,7.16B,4.539B,1.001B,,-99.00M,10.84B
2010-06,,,,1.075B,,431.00M,2.14B,328.00M,131.00M,,,559.00M,3.158B,27.28B,1.477B,28.75B,-5.655B,23.10B,420.00M,3.00M,423.00M,402.00M,283.00M,7.026B,31.23B,34.39B,1.094B,44.00M,1.138B,243.00M,1.381B,153.00M,,305.00M,458.00M,,458.00M,,,,836.00M,2.675B,172.00M,10.55B,10.00M,10.56B,5.771B,5.795B,,3.012B,137.00M,,1.443B,21.12B,23.80B,30.00M,6.978B,4.473B,1.001B,,-38.00M,10.59B
2010-03,,,,1.186B,,440.00M,2.048B,303.00M,420.00M,,,313.00M,3.386B,26.82B,1.469B,28.29B,-5.554B,22.74B,420.00M,3.00M,423.00M,381.00M,320.00M,7.20B,31.06B,34.45B,978.00M,121.00M,1.099B,290.00M,1.389B,475.00M,,686.00M,1.161B,,1.161B,2.00M,19.00M,17.00M,949.00M,3.518B,169.00M,9.855B,11.00M,9.866B,5.727B,5.754B,,3.168B,179.00M,,1.243B,20.38B,23.90B,30.00M,6.963B,4.448B,1.001B,,-39.00M,10.55B
2009-12,260.00M,,260.00M,1.047B,,501.00M,2.122B,355.00M,131.00M,,,346.00M,3.214B,64.00M,1.428B,27.92B,-5.457B,22.46B,416.00M,4.00M,420.00M,385.00M,258.00M,,30.63B,33.84B,1.173B,51.00M,1.224B,156.00M,1.38B,,,731.00M,731.00M,,731.00M,274.00M,274.00M,,464.00M,2.94B,290.00M,9.854B,14.00M,9.868B,5.609B,5.641B,,3.363B,131.00M,,320.00M,20.44B,23.38B,30.00M,6.904B,4.42B,1.001B,,-42.00M,10.46B
2009-09,,,,1.043B,,216.00M,1.753B,398.00M,440.00M,,,484.00M,3.227B,27.27B,3.00M,27.27B,-5.322B,21.95B,416.00M,4.00M,420.00M,371.00M,301.00M,7.944B,30.98B,34.21B,928.00M,48.00M,976.00M,273.00M,1.249B,509.00M,,888.00M,1.397B,,1.397B,14.00M,35.00M,21.00M,831.00M,3.512B,175.00M,9.363B,13.00M,9.376B,5.353B,5.393B,,4.192B,122.00M,,1.286B,20.54B,24.06B,29.00M,6.865B,4.173B,1.001B,,-63.00M,10.16B
