,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-04,1.878B,1.878B,1.263B,615.00M,220.00M,153.00M,373.00M,25.00M,6.00M,-75.00M,44.00M,2.00M,-42.00M,,404.00M,211.00M,2.00M,44.00M,-42.00M,-53.00M,-42.00M,116.00M,43.00M,73.00M,-466.00M,,0.00,-393.00M,120.80M,265.00M,105.00M,160.00M,0.24,-1.55,,0.3988,-1.31,0.24,-1.55,,0.3988,-1.31,301.00M,301.00M,0.35
2018-01,2.18B,2.18B,1.414B,766.00M,228.00M,165.00M,393.00M,27.00M,4.00M,-132.00M,32.00M,0.00,-32.00M,,424.00M,342.00M,0.00,32.00M,-32.00M,-99.00M,-32.00M,211.00M,-74.00M,285.00M,,,0.00,285.00M,375.52M,322.00M,79.00M,243.00M,0.95,,,1.251,0.95,0.95,,,1.251,0.95,301.00M,301.00M,0.35
2017-10,2.161B,2.161B,1.378B,783.00M,219.00M,149.00M,368.00M,30.00M,4.00M,-2.00M,31.00M,1.00M,-30.00M,,402.00M,381.00M,1.00M,31.00M,-30.00M,31.00M,-30.00M,382.00M,107.00M,275.00M,,,0.00,275.00M,282.20M,495.00M,82.00M,413.00M,0.91,,,0.9339,0.91,0.91,,,0.9338,0.91,301.00M,302.00M,0.35
2017-07,-389.00M,-389.00M,-504.00M,115.00M,-7.00M,40.00M,33.00M,13.00M,-14.00M,201.00M,28.00M,-3.00M,-31.00M,,32.00M,83.00M,-3.00M,28.00M,-31.00M,388.00M,-31.00M,440.00M,85.00M,355.00M,,,0.00,318.00M,196.86M,552.00M,84.00M,468.00M,1.05,,,0.5264,1.05,1.04,,,0.5198,1.04,302.00M,304.00M,0.35
2017-04,1.853B,1.853B,1.188B,665.00M,212.00M,142.00M,354.00M,28.00M,5.00M,0.00,29.00M,1.00M,-28.00M,,387.00M,278.00M,1.00M,29.00M,-28.00M,20.00M,-28.00M,270.00M,94.00M,176.00M,,,0.00,176.00M,177.30M,379.00M,80.00M,299.00M,0.58,,,0.5843,0.58,0.58,,,0.5843,0.58,304.00M,306.00M,0.35
2017-01,2.171B,2.171B,1.36B,811.00M,240.00M,141.00M,381.00M,25.00M,5.00M,-211.00M,29.00M,1.00M,-28.00M,,411.00M,400.00M,1.00M,29.00M,-28.00M,-195.00M,-28.00M,177.00M,76.00M,101.00M,,,,101.00M,228.80M,283.00M,77.00M,206.00M,0.33,,,0.7476,0.33,0.33,,,0.7436,0.33,306.00M,309.00M,0.35
2016-10,2.202B,2.202B,1.351B,851.00M,230.00M,125.00M,355.00M,27.00M,5.00M,-1.00M,29.00M,1.00M,-28.00M,,387.00M,464.00M,1.00M,29.00M,-28.00M,-7.00M,-28.00M,429.00M,137.00M,292.00M,,,0.00,292.00M,292.68M,535.00M,77.00M,458.00M,0.95,,,0.9522,0.95,0.94,,,0.9422,0.94,308.00M,310.00M,0.35
2016-07,1.687B,1.687B,993.00M,694.00M,175.00M,119.00M,294.00M,19.00M,,-115.00M,29.00M,1.00M,-28.00M,,333.00M,361.00M,1.00M,29.00M,-28.00M,-398.00M,-28.00M,-65.00M,16.00M,-81.00M,,,0.00,-81.00M,-12.00M,44.00M,80.00M,-36.00M,-0.26,,,-0.0367,-0.26,-0.26,,,-0.0381,-0.26,309.00M,311.00M,0.312
2016-04,1.87B,1.87B,1.21B,660.00M,228.00M,154.00M,382.00M,31.00M,,-2.00M,29.00M,1.00M,-28.00M,,413.00M,247.00M,1.00M,29.00M,-28.00M,21.00M,-28.00M,240.00M,55.00M,185.00M,,,0.00,185.00M,186.54M,345.00M,76.00M,269.00M,0.6,,,0.605,0.6,0.59,,,0.595,0.59,309.00M,311.00M,0.312
2016-01,2.201B,2.201B,1.382B,819.00M,223.00M,146.00M,369.00M,23.00M,,-9.00M,28.00M,1.00M,-27.00M,,392.00M,427.00M,1.00M,28.00M,-27.00M,-13.00M,-27.00M,387.00M,122.00M,265.00M,,,0.00,265.00M,271.16M,493.00M,78.00M,415.00M,0.85,,,0.8699,0.85,0.85,,,0.8698,0.85,310.00M,312.00M,0.312
2015-10,2.203B,2.203B,1.448B,755.00M,226.00M,156.00M,382.00M,32.00M,,-21.00M,29.00M,1.00M,-28.00M,,414.00M,341.00M,1.00M,29.00M,-28.00M,-26.00M,-28.00M,287.00M,93.00M,194.00M,,,0.00,194.00M,208.20M,390.00M,74.00M,316.00M,0.63,,,0.6758,0.63,0.62,,,0.6655,0.62,310.00M,312.00M,0.312
2015-07,1.693B,1.693B,1.131B,562.00M,189.00M,193.00M,382.00M,34.00M,,-99.00M,27.00M,0.00,-27.00M,,433.00M,129.00M,0.00,27.00M,-27.00M,-86.00M,-27.00M,16.00M,-1.00M,17.00M,,,0.00,17.00M,76.40M,123.00M,80.00M,43.00M,0.22,0.0,,0.4122,0.22,0.22,0.0,,0.4116,0.22,309.00M,310.00M,0.312
2015-04,1.90B,1.90B,1.218B,682.00M,213.00M,142.00M,355.00M,30.00M,,-9.00M,29.00M,1.00M,-28.00M,,385.00M,297.00M,1.00M,29.00M,-28.00M,-12.00M,-28.00M,257.00M,78.00M,179.00M,,,0.00,179.00M,185.26M,360.00M,74.00M,286.00M,0.58,,,0.6001,0.58,0.57,,,0.5901,0.57,311.00M,312.00M,0.312
2015-01,2.234B,2.234B,1.491B,743.00M,239.00M,135.00M,374.00M,25.00M,,0.00,26.00M,1.00M,-25.00M,,399.00M,344.00M,1.00M,26.00M,-25.00M,-7.00M,-25.00M,312.00M,90.00M,222.00M,,,0.00,222.00M,222.00M,412.00M,74.00M,338.00M,0.71,,,0.71,0.71,0.71,,,0.71,0.71,313.00M,314.00M,0.312
2014-10,2.255B,2.255B,1.46B,795.00M,243.00M,131.00M,374.00M,28.00M,,0.00,26.00M,1.00M,-25.00M,,402.00M,393.00M,1.00M,26.00M,-25.00M,-4.00M,-25.00M,364.00M,116.00M,248.00M,,,0.00,248.00M,248.00M,465.00M,75.00M,390.00M,0.79,,,0.79,0.79,0.78,,,0.78,0.78,314.00M,316.00M,0.312
2014-07,1.852B,1.852B,1.148B,704.00M,183.00M,152.00M,335.00M,34.00M,,-20.00M,31.00M,1.00M,-30.00M,,387.00M,317.00M,1.00M,31.00M,-30.00M,-8.00M,-30.00M,279.00M,96.00M,183.00M,0.00,,2.00M,185.00M,198.12M,393.00M,83.00M,310.00M,0.44,0.0,,0.4818,0.44,0.43,0.0,,0.4715,0.43,314.00M,316.00M,0.312
