,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,2.565B,50.07B,52.64B,1.429B,1.429B,54.07B,633.80M,1.009B,1.359B,2.368B,13.16B,51.96B,69.16B,218.66B,,18.40M,18.40M,18.40M,,157.20M,23.90M,181.10M,181.10M,,,199.50M,3.265B,3.265B,697.20M,697.20M,,65.80M,85.70M,4.048B,209.28B,,4.70M,6.876B,9.545B,6.231B,,,,-882.50M,9.312B,,AOR,Restated
2015-09,2.514B,50.25B,52.76B,1.402B,1.402B,54.16B,611.60M,1.005B,1.399B,2.404B,13.05B,51.83B,69.01B,215.37B,,16.70M,16.70M,16.70M,,,221.60M,221.60M,221.60M,,,238.30M,3.286B,3.286B,878.80M,878.80M,,65.50M,78.00M,4.243B,205.68B,,4.70M,6.735B,9.524B,6.119B,,,,-524.40M,9.620B,,AOR,Restated
2015-06,2.264B,49.13B,51.39B,1.283B,1.283B,52.67B,601.90M,970.70M,1.269B,2.240B,12.90B,50.58B,67.37B,222.27B,,16.00M,16.00M,16.00M,,,26.60M,26.60M,26.60M,,,42.60M,3.316B,3.316B,819.70M,819.70M,,69.20M,71.60M,4.207B,212.51B,,4.60M,6.548B,9.474B,6.006B,,,,-326.60M,9.693B,,AOR,Restated
2015-03,1.452B,49.90B,51.35B,1.23B,1.23B,52.58B,607.40M,981.00M,1.291B,2.272B,12.73B,51.35B,67.97B,222.49B,,12.00M,12.00M,12.00M,,,27.20M,27.20M,27.20M,,,39.20M,2.515B,2.515B,968.50M,968.50M,,69.50M,65.00M,3.548B,212.00B,,4.70M,6.420B,9.976B,6.006B,0.10M,,,28.00M,10.42B,,AOR,Restated
2014-12,1.864B,49.79B,51.66B,1.213B,1.213B,52.87B,590.20M,1.007B,1.324B,2.331B,12.64B,51.24B,67.88B,219.09B,,11.50M,11.50M,11.50M,,0.00,28.00M,28.00M,28.00M,,,39.50M,2.531B,2.531B,1.035B,1.035B,,48.00M,58.00M,3.624B,208.86B,,4.70M,6.114B,9.946B,5.931B,0.10M,,,50.40M,10.18B,,AOR,Restated
2014-09,1.271B,49.75B,51.02B,1.189B,1.189B,52.21B,590.10M,1.034B,1.361B,2.396B,12.58B,51.17B,67.79B,216.42B,,18.10M,18.10M,18.10M,,,126.30M,126.30M,126.30M,,,144.40M,2.529B,2.529B,1.151B,1.151B,,52.60M,56.10M,3.736B,206.05B,,4.70M,5.945B,9.917B,5.930B,0.10M,,,380.10M,10.32B,,AOR,Restated
2014-06,1.742B,50.39B,52.13B,1.232B,1.232B,53.37B,574.00M,1.085B,1.418B,2.504B,12.43B,51.84B,68.39B,218.32B,,9.30M,9.30M,9.30M,,,148.60M,148.60M,148.60M,,,157.90M,2.529B,2.529B,1.080B,1.080B,,57.50M,282.40M,3.892B,207.86B,,4.70M,5.816B,9.839B,5.858B,0.10M,,,599.40M,10.40B,,AOR,Restated
2014-03,1.393B,50.18B,51.58B,1.199B,1.199B,52.78B,546.00M,1.075B,1.422B,2.497B,12.32B,51.48B,67.91B,211.19B,,6.40M,6.40M,6.40M,,,148.80M,148.80M,148.80M,,,155.20M,2.516B,2.516B,889.70M,889.70M,,70.00M,280.20M,3.686B,201.14B,,4.70M,5.605B,9.813B,5.797B,0.10M,,,361.80M,9.988B,,AOR,Restated
2013-12,2.372B,48.87B,51.24B,1.241B,1.241B,52.48B,500.70M,1.100B,1.459B,2.559B,12.39B,50.15B,66.74B,208.19B,,5.20M,5.20M,5.20M,,117.80M,32.80M,150.60M,150.60M,,,155.80M,2.601B,2.601B,824.00M,824.00M,,92.80M,247.20M,3.673B,198.41B,,4.70M,5.405B,9.799B,5.708B,0.10M,,,183.20M,9.684B,,AOR,Restated
2013-09,1.707B,49.03B,50.74B,1.161B,1.161B,51.90B,479.10M,1.128B,1.497B,2.625B,12.73B,50.27B,67.17B,201.69B,,7.90M,7.90M,7.90M,,,175.50M,175.50M,175.50M,,,183.40M,2.593B,2.593B,634.60M,634.60M,,95.00M,234.50M,3.462B,192.31B,,4.70M,5.250B,9.749B,5.708B,0.10M,,,-17.70M,9.278B,,AOR,Restated
2013-06,1.110B,49.33B,50.44B,1.219B,1.219B,51.66B,476.40M,1.138B,1.517B,2.656B,12.99B,50.55B,67.71B,196.51B,,7.20M,7.20M,7.20M,,,175.30M,175.30M,175.30M,,,182.50M,2.579B,2.579B,578.70M,578.70M,,105.50M,53.60M,3.211B,187.10B,,4.70M,5.125B,9.820B,5.646B,0.10M,,,-0.50M,9.303B,,AOR,Restated
