,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,459.50M,-67.40M,-32.10M,-99.50M,,,50.60M,50.60M,,65.00M,19.20M,-166.40M,83.30M,,85.50M,,,-170.40M,563.30M,,891.70M,,-17.60M,,-17.60M,,-27.60M,-1.381B,,-1.362B,,22.90M,-10.40M,12.50M,12.10M,-196.90M,-184.80M,,,,-148.50M,,-148.50M,797.00M,476.20M,,2.336B,6.30M,2.342B,,12.10M,12.90M,-0.40M,-196.90M,,AOR,Restated
2018-03,402.50M,25.10M,-34.70M,-9.60M,,,50.60M,50.60M,,73.00M,21.60M,-91.80M,-57.00M,,45.80M,,,143.60M,300.20M,,746.50M,,-26.00M,,-26.00M,,-113.90M,-570.60M,,-979.90M,,17.70M,38.00M,55.70M,32.50M,-199.60M,-167.10M,,,,-147.30M,,-147.30M,357.00M,98.30M,,2.471B,-135.10M,2.336B,,32.50M,56.00M,-0.30M,-199.60M,,AOR,Restated
2017-12,842.90M,39.90M,4.90M,44.80M,,,50.90M,50.90M,,60.80M,20.50M,-139.00M,44.00M,,-620.40M,,,15.00M,-321.60M,,559.30M,,-31.50M,,-31.50M,,0.00,-496.80M,,-735.10M,,2.50M,-20.40M,-17.90M,19.40M,-2.30M,17.10M,,,,-141.50M,,-141.50M,-6.10M,-148.40M,,2.795B,-324.20M,2.471B,,19.40M,-2.10M,-15.80M,-2.30M,,AOR,Restated
2017-09,813.20M,-676.60M,-11.20M,-687.80M,,,49.30M,49.30M,,66.90M,18.20M,-95.50M,-144.40M,,362.80M,,,63.30M,1.635B,,1.800B,,-29.20M,,-29.20M,,0.00,-960.50M,,-813.40M,,-56.20M,14.70M,-41.50M,29.80M,-48.90M,-19.10M,,,,-135.80M,,-135.80M,-1.20M,-197.60M,,2.006B,788.60M,2.795B,,29.80M,4.90M,-46.40M,-48.90M,,AOR,Restated
2017-06,314.80M,95.90M,-13.00M,82.90M,,,47.40M,47.40M,,54.60M,21.90M,-117.00M,30.30M,,42.90M,,,-18.60M,901.60M,,1.306B,,-60.30M,,-60.30M,,0.00,-229.30M,,-673.30M,,0.00,-17.40M,-17.40M,42.50M,-26.40M,16.10M,,,,-132.70M,,-132.70M,-27.20M,-161.20M,,1.535B,471.70M,2.006B,,42.50M,-7.60M,-9.80M,-26.40M,,AOR,Restated
2017-03,353.60M,16.60M,-48.90M,-32.30M,,,48.10M,48.10M,,52.30M,22.10M,-134.50M,-44.10M,,50.30M,,,-286.80M,213.60M,,522.90M,,-43.80M,,-43.80M,,0.00,-1.599B,,-1.831B,,0.00,7.60M,7.60M,70.80M,-142.80M,-72.00M,,,,-130.00M,,-130.00M,317.60M,123.20M,,2.720B,-1.185B,1.535B,,70.80M,7.60M,0.00,-142.80M,,AOR,Restated
2016-12,338.20M,43.40M,,42.80M,,,47.00M,47.00M,,21.10M,25.70M,-262.80M,29.80M,,-29.80M,,,,718.50M,,930.50M,,-45.80M,,-45.80M,,,-446.20M,,-656.30M,,-154.20M,12.00M,-142.20M,12.10M,-32.10M,-20.00M,,,,-123.80M,,-123.80M,513.20M,227.20M,,2.218B,501.40M,2.720B,,12.10M,645.10M,-787.30M,-32.10M,,AOR,Restated
2016-09,327.40M,-44.20M,,-44.20M,,,46.40M,46.40M,,92.40M,18.60M,88.50M,11.20M,,-35.30M,,,,272.60M,,801.70M,,-34.40M,,-34.40M,,,-385.70M,,-823.60M,,7.30M,13.50M,20.80M,14.50M,-35.50M,-21.00M,,,,-117.90M,,-117.90M,102.80M,-15.30M,,2.255B,-37.20M,2.218B,,14.50M,7.30M,13.50M,-35.50M,,AOR,Restated
2016-06,327.00M,-33.70M,,-33.70M,,,47.40M,47.40M,,72.00M,17.80M,127.30M,-66.50M,,53.80M,,,,672.30M,,1.230B,,-30.50M,,-30.50M,,,-1.490B,,-1.821B,,0.50M,-97.00M,-96.50M,1.20M,-104.10M,-102.90M,,,,-112.80M,,-112.80M,1.015B,703.10M,,2.143B,112.50M,2.255B,,1.20M,0.50M,-97.00M,-104.10M,,AOR,Restated
2016-03,369.20M,-136.60M,,-136.60M,,,45.80M,45.80M,,99.60M,22.30M,-256.60M,124.20M,,57.10M,,,,751.80M,,895.50M,,-44.20M,,-44.20M,,,-1.783B,,-1.853B,,3.20M,-59.90M,-56.70M,10.00M,-105.60M,-95.60M,,,,-110.40M,,-110.40M,798.60M,535.90M,,2.565B,-421.90M,2.143B,,10.00M,3.20M,-59.90M,-105.60M,,AOR,Restated
2015-12,258.30M,41.10M,,138.90M,,,43.70M,43.70M,,47.60M,17.80M,-200.80M,-46.10M,,28.80M,,,,748.60M,,1.054B,,-40.10M,,-40.10M,,2.50M,-1.401B,,-1.401B,,4.50M,-40.20M,-35.70M,4.60M,-112.40M,-107.80M,,0.00,0.00,-110.80M,0.00,-110.80M,651.60M,397.30M,,2.514B,50.60M,2.565B,,4.60M,-35.70M,0.00,-112.40M,,AOR,Restated
2015-09,300.90M,-38.40M,,-38.40M,,,66.00M,66.00M,,121.60M,16.40M,-25.50M,-117.20M,,-19.90M,,,,764.60M,,1.206B,,-29.00M,,-29.00M,,-293.70M,-254.40M,,-829.70M,,-29.80M,197.20M,167.40M,41.90M,-112.60M,-70.70M,,0.00,0.00,-111.90M,0.00,-111.90M,-110.90M,-126.10M,,2.264B,249.80M,2.514B,,41.90M,200.20M,-32.80M,-112.60M,,AOR,Restated
2015-06,264.90M,114.60M,,114.60M,,,41.70M,41.70M,,40.10M,18.50M,-165.00M,-60.00M,,-8.00M,,,,1.172B,,1.486B,,-34.50M,,-34.50M,,,-377.50M,,-707.60M,,794.30M,0.10M,794.40M,11.70M,-0.20M,11.50M,,-550.00M,-550.00M,-112.00M,-8.30M,-120.30M,-102.10M,33.50M,,1.452B,812.40M,2.264B,,11.70M,794.30M,0.10M,-550.20M,,AOR,Restated
2015-03,429.10M,-66.20M,,-66.20M,,,41.60M,41.60M,,61.50M,31.80M,-91.70M,11.80M,,-67.40M,,,,224.80M,,630.90M,,-32.80M,,-32.80M,,,-6.40M,,-229.50M,,-16.70M,-0.10M,-16.80M,17.90M,-75.40M,-57.50M,,,,-106.30M,-8.20M,-114.50M,-624.50M,-813.30M,,1.864B,-411.90M,1.452B,,17.90M,3.10M,-19.90M,-75.40M,,AOR,Restated
2014-12,280.30M,26.30M,,26.30M,,,46.70M,46.70M,,84.40M,16.90M,86.10M,-58.10M,,-28.40M,34.90M,,,364.60M,,905.30M,,-18.50M,,-18.50M,,0.00,-210.40M,,-345.40M,,2.00M,-97.80M,-95.80M,7.90M,-0.20M,7.70M,,0.00,0.00,-99.90M,-8.30M,-108.20M,229.50M,33.20M,,1.271B,593.10M,1.864B,,7.90M,2.00M,-97.80M,-0.20M,,AOR,Restated
2014-09,252.80M,46.40M,,46.40M,,,41.30M,41.30M,,139.80M,19.10M,-175.90M,34.10M,,90.00M,0.00,,,496.80M,,820.30M,,-24.20M,,-24.20M,,0.00,-50.90M,,-330.70M,,8.90M,-20.20M,-11.30M,43.50M,-72.70M,-29.20M,,0.00,0.00,-99.90M,-8.20M,-108.10M,-812.50M,-961.10M,,1.742B,-471.50M,1.271B,,43.50M,9.10M,-20.40M,-72.70M,,AOR,Restated
2014-06,319.20M,-86.80M,,-86.80M,,,41.00M,41.00M,,68.10M,17.70M,-119.30M,-23.10M,,99.90M,8.10M,,,546.10M,,786.00M,,-43.50M,,-43.50M,,,501.40M,,338.70M,,13.40M,0.00,13.40M,10.00M,-60.80M,-50.80M,,0.00,0.00,-94.10M,-16.50M,-110.60M,-627.50M,-775.50M,,1.393B,349.20M,1.742B,,10.00M,13.40M,0.00,-60.80M,,AOR,Restated
2014-03,324.10M,-0.60M,,-0.60M,,,40.50M,40.50M,,74.90M,21.60M,-274.60M,74.00M,,14.40M,0.30M,,,405.40M,,591.30M,,-49.80M,,-49.80M,,,-619.10M,,-835.30M,,-86.10M,-0.30M,-86.40M,16.10M,-89.00M,-72.90M,,,,-82.70M,0.00,-82.70M,-492.70M,-734.70M,,2.372B,-978.70M,1.393B,,16.10M,14.00M,-100.40M,-89.00M,,AOR,Restated
2013-12,250.40M,43.30M,,43.30M,,,39.40M,39.40M,,51.10M,16.80M,-151.00M,-88.10M,,36.10M,0.00,,,573.30M,,823.30M,,-36.70M,,-36.70M,,0.00,-81.60M,,206.50M,,8.10M,-23.60M,-15.50M,45.60M,-0.20M,45.40M,,,,-76.70M,-8.30M,-85.00M,-310.00M,-365.10M,,1.707B,664.70M,2.372B,,45.60M,-9.50M,-6.00M,-0.20M,,AOR,Restated
2013-09,259.10M,50.90M,,50.90M,,,39.30M,39.30M,,34.40M,15.50M,-337.40M,0.70M,,39.30M,0.00,,,552.50M,,614.30M,,-10.80M,,-10.80M,,0.00,263.40M,,489.80M,,14.70M,-0.10M,14.60M,42.40M,-62.00M,-19.60M,,,,-76.50M,-16.50M,-93.00M,-409.50M,-507.50M,,1.110B,596.60M,1.707B,,42.40M,14.90M,-0.30M,-62.00M,,AOR,Restated
2013-06,236.60M,80.10M,,80.10M,,,40.30M,40.30M,,46.00M,16.80M,-621.20M,-53.20M,,-0.20M,0.20M,,,389.10M,,187.70M,,-11.90M,-6.70M,-18.60M,,0.00,288.30M,,-397.20M,,-205.90M,131.70M,-74.20M,17.50M,-0.50M,17.00M,,,,-67.60M,-8.20M,-75.80M,-208.20M,-341.20M,,1.661B,-550.70M,1.110B,,17.50M,137.30M,-211.50M,-0.50M,,AOR,Restated
2013-03,190.00M,50.90M,,50.90M,,,34.90M,34.90M,,55.60M,19.40M,89.00M,8.70M,,136.50M,0.00,,,156.10M,,595.90M,,,6.70M,6.70M,,-1.268B,-185.30M,,-1.525B,,3.10M,0.00,3.10M,20.30M,-90.90M,-70.60M,,,,-67.60M,,-67.60M,-1.451B,-1.586B,,4.177B,-2.516B,1.661B,,20.30M,3.50M,-0.40M,-90.90M,,AOR,Restated
2012-12,226.70M,-32.90M,,-32.90M,,,33.00M,33.00M,,67.30M,13.60M,-360.00M,4.90M,,48.00M,0.10M,,,759.40M,,707.10M,,-3.30M,,-3.30M,,-17.90M,391.40M,,107.90M,,442.00M,12.20M,454.20M,4.20M,0.00,4.20M,,,,-61.70M,-16.50M,-78.20M,703.00M,1.083B,,2.279B,1.898B,4.177B,,4.20M,890.50M,-436.30M,0.00,,AOR,Restated
2012-09,198.80M,-87.70M,,-87.70M,,,32.90M,32.90M,,84.00M,12.70M,-167.00M,-16.70M,,-11.20M,24.20M,,,798.00M,,871.70M,,-10.90M,,-10.90M,,0.00,-656.30M,,-892.40M,,593.20M,-236.50M,356.70M,13.00M,-69.50M,-56.50M,,,,-61.60M,-8.30M,-69.90M,422.80M,653.10M,,1.647B,632.40M,2.279B,,13.00M,438.30M,-81.60M,-69.50M,,AOR,Restated
2012-06,178.60M,-0.20M,,-0.20M,,,33.40M,33.40M,,72.90M,12.40M,-103.40M,-14.90M,,14.20M,15.70M,,,406.60M,,600.30M,,-7.40M,,-7.40M,,-62.50M,-111.20M,,-136.30M,,7.40M,163.00M,170.40M,2.60M,-139.00M,-136.40M,,,,-53.70M,0.00,-53.70M,-449.60M,-469.30M,,1.652B,-5.30M,1.647B,,2.60M,163.60M,6.80M,-139.00M,,AOR,Restated
2012-03,221.30M,6.70M,,6.70M,,,32.80M,32.80M,,-129.30M,25.10M,156.80M,97.30M,,-32.60M,2.00M,,,588.30M,,901.70M,,-17.30M,,-17.30M,,0.00,-93.70M,,-690.50M,,0.20M,-7.50M,-7.30M,9.10M,-64.20M,-55.10M,,,,-54.30M,-8.20M,-62.50M,-1.268B,-1.393B,,2.834B,-1.182B,1.652B,,9.10M,1.00M,-8.30M,-64.20M,,AOR,Restated
2011-12,142.00M,71.30M,,71.30M,,,32.50M,32.50M,-39.30M,48.50M,10.90M,-131.50M,-30.40M,,,,-868.70M,,693.50M,,827.90M,,-24.30M,,-24.30M,,-270.50M,158.90M,43.80M,-113.00M,,-10.50M,33.90M,23.40M,2.70M,-100.00M,-97.30M,,,,,-8.30M,-222.00M,980.70M,684.80M,,1.434B,1.400B,2.834B,,2.70M,0.60M,22.80M,-100.00M,,AOR,Restated
2011-09,74.50M,30.70M,,30.70M,,,28.10M,28.10M,43.60M,122.80M,11.50M,-24.60M,-21.20M,,,,242.70M,,-186.70M,,99.90M,,-14.10M,,-14.10M,,0.00,-713.30M,-43.80M,-883.00M,,-17.30M,-30.70M,-48.00M,12.40M,-220.20M,-207.80M,,,,,-8.20M,-8.20M,311.70M,47.70M,,2.170B,-735.40M,1.434B,,12.40M,-41.90M,-6.10M,-220.20M,,AOR,Restated
2011-06,249.20M,-37.70M,,-37.70M,,,27.90M,27.90M,-45.30M,62.30M,11.80M,51.90M,-36.40M,,,,316.90M,,269.90M,,590.00M,,-14.40M,,-14.40M,,0.00,-18.80M,,78.00M,,9.40M,-0.20M,9.20M,1.70M,-230.30M,-228.60M,,,,,-8.30M,-8.30M,-254.90M,-482.60M,,1.984B,185.40M,2.170B,,1.70M,24.50M,-15.10M,-230.30M,,AOR,Restated
2011-03,208.80M,58.00M,,58.00M,,,31.40M,31.40M,41.00M,37.80M,9.20M,569.30M,-42.20M,,,,309.10M,,240.00M,,1.196B,,-4.10M,,-4.10M,,,520.20M,,715.90M,,6.20M,0.20M,6.40M,9.10M,-5.90M,3.20M,,,,,-8.20M,-8.20M,-1.806B,-1.805B,,1.877B,106.80M,1.984B,,9.10M,20.00M,-13.80M,-5.90M,,AOR,Restated
2010-12,181.70M,57.60M,,57.60M,,,33.50M,33.50M,-22.10M,57.10M,13.50M,-385.40M,-71.50M,,,,-1.005B,,926.30M,,862.20M,,-10.10M,,-10.10M,,0.00,-164.20M,,-278.40M,,-44.00M,-25.40M,-69.40M,0.60M,-0.30M,0.30M,,,,,-8.30M,-184.50M,-721.60M,-975.20M,,2.269B,-391.40M,1.877B,,0.60M,-76.30M,34.00M,-0.30M,,AOR,Restated
2010-09,151.30M,20.70M,,20.70M,,,71.90M,71.90M,5.30M,61.70M,10.80M,-15.80M,1.50M,,,,416.40M,,139.30M,,445.20M,,-2.80M,,-2.80M,,0.00,518.80M,,738.90M,,40.50M,-0.90M,39.60M,10.90M,-0.30M,10.60M,,,,,-8.20M,-8.20M,-784.60M,-742.60M,,1.827B,441.50M,2.269B,,10.90M,51.20M,-38.70M,-0.30M,,AOR,Restated
2010-06,144.20M,66.40M,,66.40M,,,29.40M,29.40M,-20.80M,77.10M,12.60M,69.50M,-20.30M,,,,332.30M,,452.70M,,831.10M,,-4.40M,,-4.40M,,,-87.60M,,29.00M,,-5.50M,-3.20M,-8.70M,0.80M,-0.30M,0.50M,,,,,-8.30M,-8.30M,-646.00M,-662.50M,,1.630B,197.60M,1.827B,,0.80M,-18.90M,10.20M,-0.30M,,AOR,Restated
2010-03,203.60M,45.50M,,45.50M,,,29.90M,29.90M,37.60M,72.80M,10.70M,313.90M,-12.00M,,,,255.90M,,-60.80M,,653.20M,,-4.20M,,-4.20M,,,-690.20M,,-462.00M,,0.20M,31.20M,31.40M,8.30M,-1.70M,6.60M,,,,,-8.20M,-8.20M,-831.70M,-801.90M,,2.240B,-610.70M,1.630B,,8.30M,48.00M,-16.60M,-1.70M,,AOR,Restated
2009-12,154.90M,113.20M,,113.20M,-104.40M,-70.40M,-36.30M,-36.30M,-62.30M,,10.30M,-46.90M,-20.80M,,,,341.30M,,223.50M,,448.60M,,-5.60M,,-5.60M,,0.00,-324.70M,58.40M,-129.40M,,-2.30M,-7.70M,-10.00M,0.00,0.00,0.00,,,,,-8.30M,-167.80M,-1.142B,-1.32B,,3.241B,-1.001B,2.240B,,0.00,0.00,395.10M,0.00,,AOR,Restated
2009-09,204.20M,66.60M,,66.60M,35.60M,34.20M,69.80M,69.80M,-21.00M,,10.40M,24.00M,-50.80M,,,,369.50M,,25.50M,,379.50M,,-4.10M,,-4.10M,,0.00,-379.50M,12.70M,-76.60M,,-449.10M,-51.70M,-500.80M,-31.40M,-0.40M,-31.80M,,,,,-8.20M,-8.20M,-849.40M,-1.390B,,4.328B,-1.087B,3.241B,,-31.40M,-4.90M,-495.90M,-0.40M,,AOR,Restated
2009-06,164.00M,155.20M,,155.20M,35.50M,-48.90M,-13.40M,-13.40M,140.80M,,11.20M,-460.90M,-12.40M,,,,538.20M,,468.10M,,465.00M,,-3.30M,,-3.30M,,-11.50M,781.20M,-37.50M,1.219B,,733.20M,-373.40M,359.80M,1.150B,-0.70M,1.150B,,,,,-8.30M,-8.30M,-1.557B,-55.50M,,2.700B,1.629B,4.328B,,1.150B,722.30M,-362.50M,-0.70M,,AOR,Restated
2009-03,122.60M,63.30M,,63.30M,33.30M,85.10M,118.40M,118.40M,8.20M,,5.30M,496.20M,-42.90M,,,,281.90M,,135.90M,,949.90M,,-13.20M,,-13.20M,,-34.20M,-126.50M,-3.30M,13.40M,,-4.90M,27.70M,22.80M,4.00M,-3.00M,1.00M,,,,,-8.20M,-8.20M,-887.30M,-871.70M,,2.608B,91.60M,2.700B,,4.00M,27.70M,-4.90M,-3.00M,,AOR,Restated
2008-12,-3.60M,226.00M,,226.00M,-105.40M,-212.60M,-173.00M,-173.00M,-126.20M,,-1.30M,-555.90M,-49.20M,,,,647.20M,,617.90M,,357.60M,,-1.10M,-68.70M,-69.80M,,0.00,1.043B,,1.101B,,-64.50M,153.50M,89.00M,4.90M,0.00,4.90M,,,,,-8.30M,-125.00M,-1.089B,-1.120B,,2.269B,339.00M,2.608B,,4.90M,-62.40M,-66.00M,0.00,,AOR,Restated
2008-09,108.70M,230.60M,,230.60M,35.60M,86.20M,121.80M,121.80M,-73.40M,,6.40M,21.20M,-13.00M,,,,663.10M,,378.80M,,794.10M,,-43.20M,22.70M,-20.50M,,0.00,-1.170B,,-1.692B,,-23.50M,136.60M,113.10M,7.90M,-0.30M,7.60M,,,,,-8.20M,-8.20M,1.530B,1.642B,,1.524B,744.50M,2.269B,,7.90M,-16.10M,129.20M,-0.30M,,AOR,Restated
2008-06,183.10M,111.50M,,111.50M,36.00M,57.10M,93.10M,93.10M,-54.60M,,9.20M,-254.70M,-0.90M,,,,576.60M,,-12.30M,,75.30M,,-28.40M,28.80M,0.40M,,-18.00M,-1.346B,,-1.358B,,11.00M,48.80M,59.80M,14.30M,0.00,14.30M,,,,,-8.30M,-8.30M,1.621B,1.686B,,1.121B,403.80M,1.524B,,14.30M,42.40M,17.40M,0.00,,AOR,Restated
2008-03,177.60M,126.00M,,126.00M,33.80M,69.30M,103.10M,103.10M,34.50M,,17.20M,173.70M,23.90M,,,,507.30M,,365.70M,,997.80M,,-32.30M,17.20M,-15.10M,,-2.30M,-806.10M,,-968.80M,,1.60M,-121.50M,-119.90M,9.30M,-6.10M,3.20M,,,,,-8.20M,-8.20M,-127.80M,-252.70M,,1.344B,-223.70M,1.121B,,9.30M,44.00M,-163.90M,-6.10M,,AOR,Restated
2007-12,46.00M,332.50M,,332.50M,-86.20M,-292.20M,-248.20M,-248.20M,-166.30M,,20.30M,-1.058B,-42.60M,,,,683.30M,,633.80M,0.30M,-82.80M,,-34.20M,,-34.20M,,-7.00M,-1.408B,134.60M,-1.667B,,-81.00M,233.30M,152.30M,24.10M,-320.10M,-296.00M,,,,,-16.50M,-252.10M,931.70M,535.80M,,2.559B,-1.214B,1.344B,,24.10M,-8.30M,-43.30M,-320.10M,,AOR,Restated
2007-09,240.70M,89.30M,,89.30M,20.80M,141.70M,162.50M,162.50M,69.30M,,15.20M,150.10M,47.80M,,,,609.70M,,395.50M,0.80M,1.123B,,-18.10M,,-18.10M,,-69.10M,-1.512B,-26.50M,-1.795B,,-19.80M,-3.30M,-23.10M,11.00M,-212.20M,-201.20M,,,,,-8.20M,-8.20M,1.604B,1.372B,,1.858B,700.20M,2.559B,,11.00M,0.20M,-23.30M,-212.20M,,AOR,Restated
2007-06,312.30M,-93.00M,,-93.00M,32.90M,70.60M,103.50M,103.50M,20.10M,,37.30M,-411.40M,-106.20M,118.30M,2.00M,,983.70M,,726.80M,1.40M,697.00M,,-16.10M,-0.50M,-16.60M,,0.00,207.10M,-55.10M,-340.10M,,-8.20M,-1.10M,-9.30M,20.50M,-117.90M,-97.40M,,,,,0.00,0.00,131.60M,24.60M,,1.476B,381.50M,1.858B,,20.50M,4.10M,-13.40M,-117.90M,,AOR,Restated
2007-03,265.30M,,,,32.50M,79.90M,112.40M,112.40M,6.60M,,,786.40M,292.80M,-118.30M,-2.00M,,,,54.20M,,1.225B,,-30.00M,0.50M,-29.50M,,,-669.00M,,-698.50M,,-5.80M,-25.00M,-30.80M,18.00M,-106.10M,-88.10M,,,,,-16.50M,-16.50M,-505.30M,-640.70M,,1.591B,-114.30M,1.476B,,18.00M,4.20M,-35.00M,-106.10M,,AOR,Restated
2006-12,264.00M,23.10M,,23.10M,-79.90M,-184.60M,-163.20M,-163.20M,155.70M,,,-1.342B,-667.20M,364.20M,19.50M,-289.00M,1.926B,,977.20M,,227.50M,,5.30M,-22.90M,-17.60M,,-732.00M,-43.30M,174.10M,-1.120B,,600.20M,-30.80M,569.40M,14.60M,-0.10M,14.50M,,,,,-8.20M,-222.90M,726.60M,1.087B,,1.397B,194.20M,1.591B,,14.60M,600.40M,359.50M,-0.10M,,AOR,Restated
2006-09,258.80M,-23.10M,,-23.10M,32.50M,48.00M,80.50M,80.50M,48.80M,,,2.305B,-25.20M,-119.20M,-803.80M,-7.10M,-784.30M,,-1.859B,,810.80M,,-14.50M,11.50M,-3.00M,,-31.70M,-2.808B,2.116B,-726.60M,,-21.30M,-310.10M,-331.40M,13.30M,-4.50M,8.80M,,,,,0.00,0.00,418.50M,95.90M,,1.217B,179.70M,1.397B,,13.30M,-7.40M,-324.00M,-4.50M,,AOR,Restated
