,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-12,228.69M,228.69M,165.99M,62.70M,,,30.00M,6.407M,,-2.046M,,,,,36.40M,26.30M,,,,-2.046M,,24.37M,9.153M,15.21M,,15.21M,16.49M,31.80M,5.504M,26.30M,0.21,0.0,0.2274,0.21,0.2,0.0,0.2171,0.2,73.34M,74.56M,
2001-09,217.12M,217.12M,164.78M,52.34M,,,26.59M,5.296M,,,,,,,31.89M,20.45M,,,,,,20.61M,7.523M,13.09M,,13.09M,13.09M,27.26M,6.808M,20.45M,0.18,0.0,0.18,0.18,0.17,0.0,0.17,0.17,74.31M,76.92M,
2001-06,180.90M,180.90M,139.34M,41.56M,,,28.09M,5.004M,,0.425M,,,,-17.60M,15.50M,26.06M,,,,0.425M,,9.812M,3.611M,6.201M,,6.201M,5.932M,31.03M,4.967M,26.06M,0.04,0.0,0.0364,0.04,0.04,0.0,0.0364,0.04,74.13M,74.13M,
2001-03,190.90M,190.90M,144.47M,46.43M,,,28.23M,5.202M,,0.538M,,,,-0.538M,32.90M,13.53M,,,,0.538M,,15.22M,5.116M,10.10M,,10.10M,9.744M,19.82M,6.289M,13.53M,0.14,0.0,0.1351,0.14,0.14,0.0,0.1352,0.14,73.47M,74.55M,
2000-12,189.55M,189.55M,138.79M,50.76M,,,26.60M,3.47M,,-19.74M,,,,-0.457M,29.62M,21.15M,,,,-19.74M,,1.909M,1.089M,0.82M,,0.82M,12.67M,26.74M,5.59M,21.15M,0.01,0.0,0.1711,0.01,0.01,0.0,0.1702,0.01,73.52M,73.95M,
2000-09,193.33M,193.33M,140.22M,53.12M,,,26.55M,3.958M,,,,,,,36.68M,16.43M,,,,,,16.61M,6.073M,10.53M,,10.53M,10.53M,22.61M,6.176M,16.43M,0.14,0.0,0.14,0.14,0.14,0.0,0.14,0.14,75.24M,75.24M,
2000-06,146.75M,146.75M,151.23M,-4.478M,,,20.40M,6.122M,,,,,,12.83M,22.37M,-26.85M,,,,,,-11.38M,-3.316M,-8.066M,,-8.066M,-8.066M,-21.59M,5.258M,-26.85M,-0.14,0.0,-0.14,-0.14,-0.14,0.0,-0.14,-0.14,73.44M,73.55M,
2000-03,184.53M,184.53M,142.28M,42.25M,,,23.48M,2.799M,,,,,,-5.987M,26.28M,15.97M,,,,,,9.977M,3.602M,6.375M,,6.375M,6.375M,21.96M,5.987M,15.97M,0.09,0.0,0.09,0.09,0.09,0.0,0.09,0.09,73.37M,73.54M,
1999-12,200.70M,200.70M,147.00M,53.70M,,,25.20M,3.90M,,,,,,,34.70M,19.00M,,,,,,17.00M,6.00M,11.00M,,11.00M,11.00M,24.60M,5.60M,19.00M,0.15,0.0,0.15,0.15,0.15,0.0,0.15,0.15,73.33M,73.33M,
1999-09,212.30M,212.30M,157.10M,55.20M,,,28.50M,3.50M,,,,,,,37.40M,17.80M,,,,,,15.30M,5.30M,10.00M,,10.00M,10.00M,23.20M,5.40M,17.80M,0.14,0.0,0.14,0.14,0.14,0.0,0.14,0.14,71.43M,71.43M,
1999-06,207.67M,207.67M,199.03M,8.636M,,,20.79M,3.867M,,1.392M,,,,,4.207M,4.429M,,,,1.392M,,-3.204M,-0.25M,-3.00M,,-3.00M,-4.283M,9.029M,4.60M,4.429M,-0.04,0.0,-0.0571,-0.04,-0.04,0.0,-0.0571,-0.04,75.00M,75.00M,
1999-03,251.43M,251.43M,188.70M,62.73M,,,35.00M,3.50M,,-2.00M,,,,,43.40M,19.33M,,,,-2.00M,,14.30M,4.60M,9.70M,,9.70M,11.06M,24.23M,4.90M,19.33M,0.13,0.0,0.1482,0.13,0.13,0.0,0.1482,0.13,74.62M,74.62M,
1998-12,226.10M,226.10M,165.80M,60.30M,,,36.90M,3.90M,,-0.70M,,,,,46.80M,13.50M,,,,-0.70M,,10.00M,2.90M,7.10M,,7.10M,7.597M,19.50M,6.00M,13.50M,0.1,0.0,0.107,0.1,0.1,0.0,0.107,0.1,71.00M,71.00M,
1998-09,212.30M,212.30M,171.40M,40.90M,,,44.80M,3.60M,,-1.00M,,,,,54.00M,-13.10M,,,,-1.00M,,-17.30M,-4.90M,-12.40M,,-12.40M,-11.68M,-7.50M,5.60M,-13.10M,-0.17,0.0,-0.1602,-0.17,-0.17,0.0,-0.1602,-0.17,72.94M,72.94M,
1998-06,214.40M,214.40M,157.70M,56.70M,,,171.70M,6.60M,,,,,,,185.20M,-128.50M,,,,,,-124.90M,-36.20M,-88.70M,,-88.70M,-88.70M,-121.60M,6.90M,-128.50M,-1.14,0.0,-1.14,-1.14,-1.14,0.0,-1.14,-1.14,51.80M,51.80M,
