,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2013-12,1.864B,1.864B,1.120B,744.14M,70.48M,34.72M,105.19M,29.23M,0.00,,,-5.949M,,137.84M,606.30M,,,-5.949M,,-5.949M,600.35M,21.90M,578.44M,-0.018M,,578.44M,778.11M,171.81M,606.30M,,0.00,,,5.88,5.88,4.69,0.00,,4.69,,2013-12,85.06M,111.81M,,2013-12,AOR,Restated
2013-09,148.82M,148.82M,92.46M,56.36M,101.34M,43.02M,144.36M,26.52M,-9.014M,,,-10.75M,,174.25M,-117.89M,,,-10.75M,-3.642M,-10.75M,-132.28M,-8.185M,-124.10M,-0.025M,,-120.68M,-70.70M,47.19M,-117.89M,,0.00,,,-1.362,-1.40,-1.40,0.00,,-1.40,,2013-09,88.82M,88.82M,,2013-09,AOR,Restated
2013-06,142.67M,142.67M,93.84M,48.82M,41.60M,32.86M,74.46M,20.87M,,,,-11.23M,,98.39M,-49.56M,,,-11.23M,,-11.23M,-60.80M,1.087M,-61.88M,-0.03M,,-61.88M,-3.13M,46.43M,-49.56M,,0.00,,,-0.71,-0.71,-0.7114,-0.0003,,-0.71,,2013-06,86.99M,86.99M,,2013-06,AOR,Restated
2013-03,299.49M,299.49M,154.32M,145.17M,51.75M,40.37M,92.12M,21.18M,0.00,,,-7.201M,,116.10M,29.06M,,,-7.201M,,-7.201M,21.27M,0.103M,21.17M,1.303M,,21.17M,73.62M,44.56M,29.06M,,0.01,,,0.23,0.24,0.23,0.01,,0.24,,2013-03,86.18M,86.18M,,2013-03,AOR,Restated
2012-12,415.77M,415.77M,216.30M,199.47M,60.72M,32.88M,93.60M,22.37M,0.00,,,-8.094M,,118.48M,80.99M,,,-8.094M,,-8.094M,72.90M,2.021M,70.88M,0.488M,,70.88M,132.27M,51.28M,80.99M,,0.00,,,0.76,0.76,0.66,0.00,,0.66,,2012-12,85.74M,111.76M,,2012-12,AOR,Restated
2012-09,273.08M,273.08M,158.49M,114.60M,65.85M,30.81M,96.66M,19.32M,0.00,,,-7.419M,,118.53M,-3.933M,,,-7.419M,,-7.419M,-11.35M,1.085M,-12.44M,-0.054M,,-12.44M,46.15M,50.08M,-3.933M,,0.00,,,-0.15,-0.15,-0.15,-0.0006,,-0.15,,2012-09,85.40M,85.40M,,2012-09,AOR,Restated
2012-06,226.14M,226.14M,186.73M,39.41M,79.01M,43.20M,122.21M,15.31M,,,,-8.049M,,140.29M,-100.88M,,,-8.049M,,-8.049M,-108.93M,1.841M,-110.77M,-0.066M,,-110.77M,1.584M,102.47M,-100.88M,,0.00,,,-1.30,-1.30,-1.30,0.00,,-1.30,,2012-06,85.01M,85.01M,,2012-06,AOR,Restated
2012-03,148.08M,148.08M,116.47M,31.62M,40.06M,35.13M,75.20M,14.82M,,,,-6.413M,,92.76M,-61.14M,,,-6.413M,,-6.413M,-66.51M,-0.505M,-66.00M,-0.831M,,-66.00M,-24.86M,36.29M,-61.14M,,0.00,,,-0.80,-0.80,-0.80,0.00,,-0.80,,2012-03,84.42M,84.42M,,2012-03,AOR,Restated
2011-12,236.32M,236.32M,126.47M,109.86M,40.23M,29.70M,69.93M,16.82M,,,,-6.19M,,89.61M,20.25M,,,-6.19M,,-6.19M,14.06M,-0.127M,14.18M,-0.081M,,14.18M,56.16M,35.91M,20.25M,,0.00,,,0.16,0.16,0.16,0.00,,0.16,,2011-12,83.56M,83.56M,,2011-12,AOR,Restated
2011-09,107.03M,107.03M,74.70M,32.33M,28.77M,25.78M,54.56M,16.00M,,,,-4.333M,,73.84M,-41.51M,,,-4.333M,,-4.333M,-45.84M,1.419M,-47.26M,-0.11M,,-47.26M,-25.92M,15.59M,-41.51M,,0.00,,,-0.57,-0.57,-0.57,0.00,,-0.57,,2011-09,82.94M,82.94M,,2011-09,AOR,Restated
2011-06,334.38M,334.38M,211.22M,123.16M,74.68M,30.58M,105.26M,16.52M,,,,-3.68M,,125.02M,-1.863M,,,-3.68M,,-3.68M,-5.543M,3.076M,-8.619M,-0.094M,,-8.619M,74.15M,76.02M,-1.863M,,0.00,,,-0.11,-0.11,-0.11,0.00,,-0.11,,2011-06,82.50M,82.50M,,2011-06,AOR,Restated
