,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2015-12,185.50M,,,39.20M,39.20M,33.70M,7.60M,41.30M,41.30M,,,10.80M,-0.70M,-10.60M,15.10M,-32.70M,-19.00M,,,-44.10M,-80.70M,,184.80M,,-40.20M,0.20M,0.20M,0.00,-51.30M,,-91.30M,,,161.00M,161.00M,,-127.40M,-127.40M,-95.60M,-95.60M,4.00M,0.70M,-57.30M,,1.427B,36.20M,-14.30M,1.449B,,,,,,-127.40M,,AOR,Restated
2015-09,201.30M,,,34.90M,34.80M,33.50M,8.10M,41.60M,41.60M,,,10.10M,-0.20M,-9.10M,12.70M,42.50M,-36.10M,,,79.70M,98.80M,,348.00M,,-39.70M,0.10M,0.10M,0.00,-135.90M,,-175.50M,,0.00,0.00,0.00,,-193.60M,-193.60M,-86.80M,-86.80M,4.80M,0.20M,-275.40M,,1.567B,-102.90M,-37.00M,1.427B,,,,0.00,,-193.60M,,AOR,Restated
2015-06,206.10M,,,35.10M,35.10M,33.50M,7.70M,41.20M,41.20M,,,10.20M,-5.60M,-10.80M,-20.50M,-10.40M,26.70M,,,14.30M,10.10M,,286.30M,,-25.20M,1.80M,1.80M,0.00,45.20M,,21.80M,,0.00,0.00,0.00,,-111.80M,-111.80M,-87.40M,-87.40M,32.80M,5.60M,-160.80M,,1.403B,147.30M,17.00M,1.567B,,,,0.00,,-111.80M,,AOR,Restated
2015-03,206.00M,,,35.20M,35.20M,32.20M,6.90M,39.10M,39.10M,,,10.40M,-2.20M,-12.70M,8.00M,-10.30M,37.10M,,,-25.40M,9.40M,,285.20M,,-18.00M,0.10M,0.10M,0.00,-18.30M,,-36.20M,,594.30M,-508.00M,86.30M,,-124.60M,-124.60M,-87.80M,-87.80M,18.00M,0.60M,-107.50M,,1.292B,141.50M,-30.50M,1.403B,,,,594.30M,,-124.60M,,AOR,Restated
2014-12,214.20M,,,36.10M,36.10M,33.90M,6.70M,40.60M,40.60M,,,10.80M,-4.40M,-8.40M,73.20M,-24.30M,-10.40M,,,-59.20M,-20.70M,,268.20M,,-40.00M,0.10M,0.10M,-21.20M,4.10M,,-57.00M,,,183.00M,183.00M,,-168.40M,-168.40M,-88.10M,-88.10M,4.70M,4.40M,-64.40M,,1.191B,146.80M,-46.20M,1.292B,,,,,,-168.40M,,AOR,Restated
2014-09,248.70M,,,32.90M,33.50M,30.90M,7.20M,38.10M,38.10M,-7.20M,,10.40M,-0.80M,-9.50M,-68.80M,55.20M,-52.10M,,,78.40M,12.70M,,325.90M,,-44.60M,0.10M,0.10M,0.00,-56.20M,0.00,-100.70M,,,45.10M,45.10M,,-140.50M,-140.50M,-79.60M,-79.60M,3.80M,0.80M,-170.40M,,1.175B,54.80M,-38.60M,1.191B,,,,,,-140.50M,,AOR,Restated
2014-06,199.70M,,,33.50M,33.50M,33.10M,7.00M,40.10M,40.10M,0.00,,10.20M,-10.50M,-7.50M,26.00M,14.80M,19.30M,,,-24.50M,35.60M,,301.10M,,-38.10M,0.10M,0.10M,0.00,-88.70M,0.00,-126.70M,,0.00,-62.60M,-62.60M,,-127.40M,-127.40M,-80.00M,-80.00M,20.80M,10.50M,-238.70M,,1.240B,-64.30M,-0.40M,1.175B,,,,0.00,,-127.40M,,AOR,Restated
2014-03,180.30M,,,33.20M,33.20M,30.10M,8.30M,38.40M,38.40M,0.10M,,10.40M,-7.90M,-13.90M,-38.30M,-23.50M,30.40M,,,-6.40M,-37.80M,,202.80M,,-22.70M,0.00,0.00,-13.40M,-121.00M,0.00,-157.10M,,0.00,91.50M,91.50M,,-107.80M,-107.80M,-80.40M,-80.40M,35.80M,7.90M,-53.00M,,1.246B,-7.30M,1.10M,1.240B,,,,0.00,,-107.80M,,AOR,Restated
2013-12,198.10M,,,33.30M,33.30M,28.40M,7.50M,35.90M,35.90M,,,11.50M,-10.70M,-11.20M,27.40M,-33.60M,-18.30M,,,-28.90M,-53.40M,,203.50M,,-35.60M,0.20M,0.20M,-68.10M,8.00M,-3.40M,-98.90M,,,72.00M,72.00M,,-110.00M,-110.00M,-80.50M,-80.50M,48.10M,10.70M,-59.70M,,1.201B,44.90M,0.20M,1.246B,,,,,,-110.00M,,AOR,Restated
2013-09,215.30M,-0.30M,,42.60M,42.30M,28.70M,7.40M,36.10M,36.10M,-6.40M,,9.80M,-9.30M,-10.90M,-17.60M,10.50M,42.20M,,,39.00M,74.10M,,351.00M,,-59.30M,0.20M,0.20M,0.00,-0.10M,0.00,-59.20M,,,-41.00M,-41.00M,,-83.40M,-83.40M,-72.40M,-72.40M,56.50M,9.30M,-131.00M,,1.025B,160.80M,15.40M,1.201B,,0.00,,,,-83.40M,,AOR,Restated
