,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,940.10M,548.60M,1.489B,1.149B,1.149B,166.60M,180.40M,223.30M,570.30M,,167.50M,3.376B,,,,,2.117B,,2.117B,-1.579B,537.30M,1.078B,222.50M,1.301B,,296.70M,326.80M,2.462B,5.838B,,837.40M,113.30M,94.80M,,1.046B,15.30M,1.061B,0.80M,0.80M,,0.80M,261.60M,261.60M,170.60M,1.754B,1.227B,,1.227B,,,844.50M,,568.20M,2.640B,4.393B,,181.40M,5.852B,1.670B,5.118B,,,,-1.140B,1.444B,,AOR,Restated
2018-03,1.434B,613.40M,2.047B,1.163B,1.163B,163.50M,185.90M,221.00M,570.40M,,160.10M,3.941B,,,,,2.135B,,2.135B,-1.578B,557.20M,1.104B,230.90M,1.335B,,332.50M,347.80M,2.573B,6.514B,,824.30M,,112.30M,,936.60M,12.30M,948.90M,308.50M,308.50M,,308.50M,286.40M,286.40M,127.40M,1.878B,1.230B,,1.230B,,,873.60M,,585.20M,2.689B,4.566B,,181.40M,5.881B,1.660B,4.693B,,,,-1.082B,1.947B,,AOR,Restated
2017-12,1.547B,1.100B,2.648B,1.150B,1.150B,156.80M,178.70M,235.30M,570.80M,,165.70M,4.534B,,,,,2.078B,,2.078B,-1.512B,565.80M,1.082B,234.00M,1.316B,,334.80M,407.90M,2.625B,7.159B,,759.00M,,86.10M,,845.10M,15.10M,860.20M,840.00M,840.00M,,840.00M,267.50M,267.50M,124.60M,2.287B,1.239B,,1.239B,,,880.60M,,596.00M,2.716B,5.002B,,181.40M,5.760B,1.643B,4.252B,,,,-1.176B,2.156B,,AOR,Restated
2017-09,1.411B,1.125B,2.536B,1.136B,1.136B,172.00M,168.00M,218.70M,558.70M,,191.00M,4.421B,0.00,5.20M,351.60M,1.607B,,131.70M,2.096B,-1.512B,583.90M,1.078B,238.00M,1.316B,325.70M,443.60M,72.10M,2.741B,7.162B,,812.00M,,75.30M,,887.30M,16.90M,904.20M,600.40M,600.40M,,600.40M,240.60M,240.60M,128.00M,2.146B,1.243B,,1.243B,,,892.50M,,216.40M,2.352B,4.498B,,181.40M,6.103B,1.638B,4.08B,,,,-1.179B,2.664B,,AOR,Restated
2017-06,1.549B,1.065B,2.615B,1.112B,1.112B,172.80M,173.10M,239.60M,585.50M,,144.50M,4.456B,,,,,2.048B,,2.048B,-1.480B,568.80M,1.070B,231.90M,1.302B,,640.50M,248.10M,2.759B,7.216B,,785.60M,97.60M,87.40M,,970.60M,16.20M,986.80M,598.40M,598.40M,,598.40M,245.40M,245.40M,113.30M,2.196B,1.244B,,1.244B,,,1.401B,,196.10M,2.841B,5.038B,,181.40M,5.899B,1.626B,4.064B,,,,-1.464B,2.178B,,AOR,Restated
2017-03,1.441B,1.093B,2.534B,1.083B,1.083B,155.50M,172.60M,215.10M,543.20M,,158.10M,4.317B,,,,,2.010B,,2.010B,-1.443B,567.20M,1.063B,239.20M,1.302B,,634.00M,243.90M,2.748B,7.065B,,744.00M,,93.60M,,837.60M,16.90M,854.50M,623.40M,623.40M,,623.40M,247.10M,247.10M,104.40M,2.025B,1.24B,,1.24B,,,1.403B,,199.20M,2.842B,4.867B,,181.40M,5.877B,1.615B,3.968B,,,,-1.508B,2.198B,,AOR,Restated
2016-12,1.595B,888.00M,2.483B,1.036B,1.036B,154.70M,159.30M,227.70M,541.70M,,426.40M,4.487B,,,,,1.959B,,1.959B,-1.396B,562.60M,1.052B,246.20M,1.298B,,617.30M,128.80M,2.607B,7.094B,,683.20M,,105.70M,,788.90M,16.20M,805.10M,658.60M,658.60M,,658.60M,226.40M,226.40M,349.60M,2.204B,1.241B,,1.241B,,,1.404B,,195.50M,2.841B,5.045B,,181.40M,5.786B,1.603B,3.932B,,,,-1.589B,2.050B,,AOR,Restated
2016-09,1.526B,902.80M,2.429B,1.079B,1.079B,152.80M,158.00M,215.80M,526.60M,,150.20M,4.185B,0.00,4.50M,333.70M,1.536B,,108.40M,1.983B,-1.404B,578.30M,1.074B,255.30M,1.329B,,633.90M,374.80M,2.916B,7.101B,,719.60M,,71.70M,,791.30M,16.90M,808.20M,448.60M,448.60M,,448.60M,214.50M,214.50M,359.00M,1.976B,1.516B,,1.516B,,,1.430B,,188.70M,3.135B,5.111B,,181.40M,5.668B,1.588B,3.909B,,,,-1.539B,1.990B,,AOR,Restated
2016-06,1.509B,923.40M,2.433B,1.022B,1.022B,151.50M,177.30M,227.50M,556.30M,,142.40M,4.154B,,,,,1.953B,,1.953B,-1.386B,567.00M,1.016B,213.40M,1.230B,,512.70M,392.60M,2.702B,6.856B,,692.90M,93.80M,80.30M,,867.00M,16.20M,883.20M,354.00M,354.00M,,354.00M,214.70M,214.70M,103.60M,1.699B,1.522B,,1.522B,,,1.104B,,408.90M,3.035B,4.734B,,181.40M,5.483B,1.577B,3.792B,,,,-1.328B,2.121B,,AOR,Restated
2016-03,1.396B,913.60M,2.310B,1.028B,1.028B,157.20M,180.50M,232.00M,569.70M,,155.40M,4.063B,,,,,1.931B,,1.931B,-1.360B,571.60M,1.023B,218.60M,1.242B,,509.60M,153.90M,2.477B,6.540B,,662.20M,,74.50M,,736.70M,16.90M,753.60M,277.60M,277.60M,,277.60M,226.80M,226.80M,95.20M,1.505B,1.513B,,1.513B,,,1.107B,,198.60M,2.819B,4.324B,,181.40M,5.480B,1.564B,3.684B,,,,-1.326B,2.216B,,AOR,Restated
2015-12,1.449B,770.60M,2.220B,1.016B,1.016B,149.80M,177.90M,234.50M,562.20M,,159.40M,3.957B,,,,,1.911B,,1.911B,-1.325B,586.30M,1.020B,221.00M,1.241B,,496.10M,139.20M,2.462B,6.420B,,633.20M,,114.70M,,747.90M,16.20M,764.10M,161.00M,161.00M,,161.00M,217.10M,217.10M,98.40M,1.383B,1.493B,,1.493B,,,1.110B,,197.00M,2.800B,4.183B,,181.40M,5.407B,1.555B,3.567B,,,,-1.339B,2.236B,,AOR,Restated
2015-09,1.427B,721.90M,2.149B,1.041B,1.041B,152.40M,157.50M,225.70M,535.60M,,171.00M,3.897B,0.00,4.50M,319.00M,1.484B,,97.60M,1.905B,-1.299B,605.60M,1.029B,229.50M,1.258B,,494.80M,149.20M,2.508B,6.405B,,693.90M,,85.80M,,779.70M,16.90M,796.60M,,,,,200.80M,200.80M,105.30M,1.328B,1.501B,,1.501B,,,1.117B,,202.70M,2.820B,4.148B,,181.40M,5.317B,1.552B,3.459B,,,,-1.335B,2.257B,,AOR,Restated
2015-06,1.567B,590.60M,2.158B,1.084B,1.084B,178.80M,171.20M,249.40M,599.40M,151.80M,181.60M,4.175B,,,,,1.896B,,1.896B,-1.305B,590.70M,1.043B,241.20M,1.284B,,193.60M,162.80M,2.232B,6.406B,,716.10M,87.20M,69.10M,,872.40M,16.20M,888.60M,,,,,212.00M,212.00M,105.60M,1.416B,1.492B,,1.492B,,,727.20M,,215.10M,2.434B,3.850B,,181.40M,5.115B,1.542B,3.267B,,,,-1.015B,2.556B,,AOR,Restated
2015-03,1.403B,634.70M,2.038B,1.060B,1.060B,183.00M,160.50M,252.10M,595.60M,152.80M,199.70M,4.046B,,,,,1.870B,,1.870B,-1.272B,598.00M,1.029B,246.90M,1.276B,,191.50M,169.20M,2.234B,6.280B,,686.10M,,66.10M,,752.20M,17.40M,769.60M,,,,,209.80M,209.80M,103.30M,1.279B,1.505B,,1.505B,,,726.30M,,202.70M,2.434B,3.714B,,181.40M,5.084B,1.527B,3.185B,,,,-1.041B,2.566B,,AOR,Restated
2014-12,1.292B,620.80M,1.913B,1.107B,1.107B,188.40M,154.80M,250.30M,593.50M,158.30M,161.30M,3.932B,,,,,1.870B,,1.870B,-1.257B,612.40M,1.047B,250.30M,1.297B,,198.30M,161.80M,2.270B,6.202B,,652.20M,,120.70M,,772.90M,15.00M,787.90M,508.00M,508.00M,,508.00M,198.80M,198.80M,103.60M,1.771B,905.60M,,905.60M,,,753.00M,,203.50M,1.862B,3.633B,,181.40M,4.966B,1.514B,3.076B,,,,-1.016B,2.569B,,AOR,Restated
2014-09,1.191B,628.50M,1.820B,1.216B,1.216B,191.20M,156.90M,240.30M,588.40M,163.50M,146.70M,3.934B,0.00,3.70M,315.90M,1.451B,,118.20M,1.888B,-1.256B,632.90M,1.051B,246.20M,1.297B,,205.70M,154.70M,2.290B,6.224B,,704.60M,,78.20M,,782.80M,15.60M,798.40M,325.00M,325.00M,,325.00M,196.50M,196.50M,94.50M,1.692B,900.40M,,900.40M,,,767.90M,,205.80M,1.874B,3.566B,,181.40M,4.840B,1.512B,2.927B,,,,-948.00M,2.658B,,AOR,Restated
2014-06,1.175B,574.40M,1.750B,1.178B,1.178B,200.10M,171.00M,284.30M,655.40M,157.80M,167.20M,3.908B,,,,,1.899B,,1.899B,-1.289B,610.40M,1.069B,248.80M,1.318B,,142.20M,166.70M,2.237B,6.145B,,737.80M,80.00M,50.00M,,867.80M,15.00M,882.80M,279.90M,279.90M,,279.90M,235.00M,235.00M,98.40M,1.713B,905.40M,,905.40M,,,594.20M,,210.90M,1.710B,3.423B,,181.40M,4.590B,1.502B,2.791B,,,,-760.60M,2.722B,,AOR,Restated
2014-03,1.240B,485.80M,1.726B,1.204B,1.204B,221.70M,164.10M,281.70M,667.50M,161.30M,170.60M,3.929B,,,,,1.872B,,1.872B,-1.262B,610.30M,1.064B,248.50M,1.312B,,139.80M,166.30M,2.229B,6.158B,,724.40M,,53.80M,,778.20M,15.60M,793.80M,342.50M,342.50M,,342.50M,248.10M,248.10M,107.60M,1.697B,905.40M,,905.40M,,,591.80M,,214.00M,1.711B,3.408B,,181.40M,4.551B,1.489B,2.696B,,,,-775.60M,2.750B,,AOR,Restated
2013-12,1.246B,364.60M,1.611B,1.169B,1.169B,208.00M,165.60M,272.00M,645.60M,157.70M,136.50M,3.720B,,,,,1.847B,,1.847B,-1.236B,610.30M,1.053B,240.80M,1.294B,,145.90M,171.20M,2.221B,5.941B,,685.60M,,88.70M,,774.30M,15.00M,789.30M,251.00M,251.00M,,251.00M,222.60M,222.60M,106.40M,1.539B,905.10M,,905.10M,,,597.00M,,212.20M,1.714B,3.253B,,181.40M,4.451B,1.471B,2.622B,,,,-793.20M,2.688B,,AOR,Restated
2013-09,1.201B,372.70M,1.574B,1.186B,1.186B,199.80M,167.20M,248.40M,615.40M,189.50M,115.30M,3.680B,0.00,3.70M,304.50M,1.430B,,90.20M,1.829B,-1.213B,616.00M,1.023B,212.80M,1.236B,,147.30M,165.60M,2.165B,5.845B,,721.80M,,73.60M,,795.40M,15.60M,811.00M,179.00M,179.00M,,179.00M,210.90M,210.90M,107.00M,1.545B,905.10M,,905.10M,,,595.90M,,213.40M,1.714B,3.259B,,181.40M,4.333B,1.456B,2.568B,,,,-817.70M,2.586B,,AOR,Restated
2013-06,1.025B,372.30M,1.397B,1.155B,1.155B,201.70M,163.90M,253.40M,619.00M,192.10M,121.90M,3.485B,,,,,1.799B,,1.799B,-1.218B,581.40M,1.011B,208.70M,1.219B,,324.70M,160.70M,2.286B,5.771B,,677.10M,72.10M,49.10M,,798.30M,15.00M,813.30M,220.00M,220.00M,,220.00M,225.10M,225.10M,106.70M,1.552B,905.10M,,905.10M,,,1.087B,,219.50M,2.211B,3.764B,,181.40M,4.118B,1.442B,2.546B,,,,-1.188B,2.008B,,AOR,Restated
2013-03,967.10M,363.60M,1.331B,1.139B,1.139B,218.00M,162.60M,259.40M,640.00M,204.80M,122.30M,3.437B,,,,,1.781B,,1.781B,-1.196B,585.00M,1.005B,210.40M,1.216B,,331.60M,150.70M,2.283B,5.720B,,648.90M,,41.70M,,690.60M,15.60M,706.20M,236.00M,236.00M,,236.00M,243.00M,243.00M,106.60M,1.470B,905.00M,,905.00M,,,1.091B,,233.50M,2.230B,3.699B,,181.40M,4.059B,1.432B,2.455B,,,,-1.197B,2.020B,,AOR,Restated
2012-12,954.30M,350.00M,1.304B,1.126B,1.126B,211.50M,158.60M,276.50M,646.60M,200.50M,115.50M,3.393B,,,,,1.821B,,1.821B,-1.241B,579.50M,1.025B,216.80M,1.242B,,345.30M,151.60M,2.318B,5.711B,,660.10M,,64.40M,,724.50M,15.00M,739.50M,253.00M,253.00M,,253.00M,224.00M,224.00M,119.40M,1.488B,905.00M,,905.00M,,,1.110B,,240.50M,2.255B,3.743B,,181.40M,3.950B,1.419B,2.402B,,,,-1.180B,1.968B,,AOR,Restated
2012-09,903.90M,350.00M,1.254B,1.187B,1.187B,207.00M,149.50M,262.50M,619.00M,208.60M,118.70M,3.388B,0.00,3.70M,292.50M,1.437B,,65.70M,1.799B,-1.212B,587.10M,948.80M,209.50M,1.158B,,351.10M,152.50M,2.249B,5.636B,,716.30M,,51.80M,,768.10M,15.60M,783.70M,157.00M,157.00M,,157.00M,204.10M,204.10M,140.40M,1.532B,905.00M,,905.00M,,,1.106B,,242.40M,2.253B,3.785B,,181.40M,3.859B,1.417B,2.380B,,,,-1.225B,1.852B,,AOR,Restated
2012-06,805.60M,350.00M,1.156B,,1.139B,215.90M,155.90M,263.00M,634.80M,196.30M,135.80M,3.262B,1.755B,,,,,,1.755B,-1.191B,563.90M,933.80M,209.90M,1.144B,,259.00M,148.10M,2.121B,5.382B,,486.30M,66.30M,41.50M,,594.10M,72.00M,666.10M,,270.00M,,270.00M,226.00M,226.00M,226.30M,1.556B,905.00M,,905.00M,,,751.50M,,247.00M,1.904B,3.460B,,181.40M,3.665B,1.406B,2.292B,,,,-1.038B,1.922B,,AOR,Restated
2012-03,811.80M,312.50M,1.124B,,1.15B,228.30M,161.80M,274.00M,664.10M,208.40M,123.80M,3.271B,,,,,,,1.761B,-1.196B,565.70M,952.80M,215.90M,1.169B,,284.90M,138.90M,2.164B,5.435B,,450.70M,,50.20M,,500.90M,74.90M,575.80M,,259.00M,,259.00M,244.90M,244.90M,223.10M,1.482B,905.00M,,905.00M,,,762.00M,,255.30M,1.922B,3.404B,,181.40M,3.602B,1.395B,2.174B,,,,-973.50M,2.031B,,AOR,Restated
2011-12,884.00M,150.00M,1.034B,,1.045B,244.70M,156.40M,276.20M,677.30M,202.30M,155.60M,3.114B,,,,,,,1.717B,-1.158B,559.10M,942.10M,212.80M,1.155B,,307.00M,136.40M,2.165B,5.279B,,447.10M,,56.10M,,503.20M,139.20M,642.40M,,350.00M,,350.00M,215.30M,215.30M,147.10M,1.513B,905.00M,,905.00M,,,763.60M,,242.90M,1.912B,3.424B,,181.40M,3.496B,1.386B,2.180B,,,,-1.028B,1.855B,,AOR,Restated
2011-09,988.90M,0.00,988.90M,1.063B,1.063B,237.30M,139.40M,265.00M,641.70M,199.60M,181.50M,3.075B,0.00,3.80M,277.20M,1.365B,,74.70M,1.720B,-1.159B,561.40M,952.60M,218.00M,1.171B,,336.20M,141.60M,2.210B,5.285B,,609.10M,,71.00M,,680.10M,15.60M,695.70M,,,,,189.00M,189.00M,125.60M,1.330B,905.00M,,905.00M,,,1.059B,,242.70M,2.207B,3.537B,,181.40M,3.383B,1.381B,2.205B,,,,-992.90M,1.748B,,AOR,Restated
2011-06,1.022B,,1.022B,,1.045B,275.00M,162.00M,253.50M,690.50M,185.70M,152.30M,3.096B,1.768B,,,,,,1.768B,-1.223B,544.20M,968.60M,224.80M,1.193B,,317.30M,133.80M,2.232B,5.328B,,478.90M,60.90M,46.70M,,586.50M,15.00M,601.50M,,,,,205.50M,205.50M,301.80M,1.339B,905.00M,,905.00M,,,946.40M,,239.90M,2.091B,3.431B,,181.40M,3.181B,1.372B,2.129B,,,,-708.10M,1.897B,,AOR,Restated
2011-03,1.020B,,1.020B,,1.006B,230.50M,149.20M,242.20M,621.90M,182.50M,117.40M,2.948B,,,,,,,1.735B,-1.204B,531.30M,926.10M,210.20M,1.136B,,315.30M,145.50M,2.163B,5.111B,,472.70M,,48.80M,,521.50M,15.60M,537.10M,,,,,202.70M,202.70M,240.20M,1.177B,904.90M,,904.90M,,,938.80M,,233.40M,2.077B,3.254B,,181.40M,3.112B,1.362B,2.028B,,,,-770.30M,1.857B,,AOR,Restated
2010-12,769.30M,,769.30M,,950.90M,226.20M,138.00M,248.40M,612.60M,173.30M,125.60M,2.632B,,,,,,,1.717B,-1.186B,530.70M,908.20M,210.30M,1.118B,,323.80M,143.60M,2.147B,4.779B,,422.60M,,34.70M,123.50M,580.80M,0.00,580.80M,,,,,211.00M,211.00M,328.30M,1.120B,904.90M,,904.90M,,,931.00M,,236.80M,2.073B,3.193B,,181.40M,2.996B,1.350B,2.112B,,,,-830.00M,1.586B,,AOR,Restated
2010-09,813.40M,,813.40M,,859.00M,215.00M,144.10M,244.20M,603.30M,170.20M,140.70M,2.587B,0.00,4.80M,270.40M,1.387B,,60.30M,1.722B,-1.186B,536.90M,912.50M,217.30M,1.130B,,324.50M,142.20M,2.162B,4.748B,,435.70M,,,,435.70M,,435.70M,,,,,,,786.60M,1.222B,904.90M,,904.90M,,,923.40M,,237.30M,2.066B,3.288B,,181.40M,2.912B,1.344B,2.136B,,,,-841.20M,1.460B,,AOR,Restated
2010-06,826.00M,,826.00M,,826.40M,216.10M,140.30M,220.10M,576.50M,164.00M,125.70M,2.519B,0.00,4.80M,274.90M,1.407B,,42.00M,1.729B,-1.216B,513.00M,879.40M,216.90M,1.096B,,303.50M,152.20M,2.096B,4.614B,,398.40M,49.70M,55.00M,265.90M,769.00M,0.00,769.00M,,,,,191.60M,191.60M,266.10M,1.227B,904.80M,,904.80M,,,850.60M,,256.40M,2.012B,3.238B,,181.40M,2.791B,1.332B,2.128B,,,,-800.40M,1.376B,,AOR,Restated
2010-03,817.20M,,817.20M,,791.80M,188.80M,135.00M,200.70M,524.50M,194.40M,108.60M,2.436B,0.00,4.80M,275.60M,1.420B,,34.10M,1.734B,-1.224B,510.00M,889.40M,218.00M,1.107B,,296.90M,160.40M,2.106B,4.542B,,379.30M,,33.30M,-49.00M,363.60M,15.70M,379.30M,,,,,199.60M,199.60M,536.80M,1.116B,904.80M,,904.80M,,,847.00M,,255.40M,2.007B,3.123B,,181.40M,2.774B,1.319B,2.086B,,,,-769.60M,1.419B,,AOR,Restated
2009-12,716.30M,,716.30M,,769.30M,176.70M,119.90M,172.10M,468.70M,193.40M,109.40M,2.257B,0.00,4.80M,275.80M,1.107B,328.80M,39.50M,1.756B,-1.236B,519.10M,911.10M,227.70M,1.139B,,298.30M,154.30M,2.142B,4.399B,,326.40M,,29.30M,-44.30M,311.40M,15.00M,326.40M,,,,,177.30M,177.30M,491.30M,995.00M,904.80M,,904.80M,,,849.00M,,282.60M,2.036B,3.031B,,181.40M,2.693B,1.305B,2.085B,,,,-726.80M,1.367B,,AOR,Restated
2009-09,643.80M,,643.80M,,726.30M,160.90M,109.10M,166.40M,436.40M,174.40M,153.90M,2.135B,0.00,4.70M,276.70M,1.441B,,36.50M,1.759B,-1.227B,532.50M,913.20M,230.90M,1.144B,,307.60M,156.00M,2.171B,4.306B,,313.30M,,,,313.30M,,313.30M,,,,,,,633.90M,947.20M,904.70M,,904.70M,,,848.90M,,288.50M,2.042B,2.989B,,181.40M,2.667B,1.305B,2.110B,,,,-727.50M,1.316B,,AOR,Restated
