,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-06,995.00M,995.00M,670.00M,325.00M,244.00M,,11.00M,,,,244.00M,81.00M,,,,11.00M,,75.00M,-15.00M,90.00M,,,,,90.00M,83.40M,128.00M,47.00M,81.00M,,0.48,0.00,,0.4444,0.48,,0.47,0.00,,0.4353,0.47,,185.50M,190.40M,0.165,,,
2002-03,958.00M,958.00M,659.00M,299.00M,235.00M,,7.00M,,,,235.00M,64.00M,,,,7.00M,,54.00M,-4.00M,58.00M,3.00M,,,,61.00M,53.80M,118.00M,54.00M,64.00M,,0.31,0.02,,0.2872,0.33,,0.31,0.02,,0.2878,0.33,,184.50M,188.90M,0.165,,,
2001-12,939.00M,939.00M,647.00M,292.00M,240.00M,,4.00M,,,,240.00M,52.00M,,,,4.00M,,40.00M,11.00M,29.00M,,-108.00M,,,-79.00M,26.10M,105.00M,53.00M,52.00M,,0.16,-0.59,-0.0000,0.1442,-0.43,,0.16,-0.59,-0.5873,0.1445,-0.43,,183.90M,186.60M,0.165,,,
2001-09,976.00M,976.00M,706.00M,270.00M,250.00M,,17.00M,,,,250.00M,20.00M,,,,17.00M,,20.00M,8.00M,12.00M,0.00,,,,12.00M,1.80M,85.00M,65.00M,20.00M,,0.04,-0.0001,,-0.0159,-0.94,,0.04,-0.0001,,-0.0151,-0.94,,182.60M,185.10M,0.165,,,
2001-06,1.027B,1.027B,797.00M,230.00M,272.00M,,6.00M,,,,272.00M,-42.00M,,,,6.00M,,-56.00M,-29.00M,-27.00M,61.00M,,,,34.00M,-30.60M,28.00M,70.00M,-42.00M,,-0.15,0.33,,-0.1697,0.18,,-0.15,0.33,,-0.1697,0.18,,183.10M,183.10M,0.255,,,
2001-03,1.17B,1.178B,785.00M,393.00M,263.00M,,8.00M,,,,263.00M,130.00M,,,,8.00M,,102.00M,31.00M,71.00M,54.00M,,,,125.00M,65.43M,200.00M,70.00M,130.00M,,0.39,0.29,,0.3595,0.68,,0.38,0.29,,0.3499,0.67,,182.40M,185.30M,0.255,,,
2000-12,1.107B,1.107B,744.00M,363.00M,256.00M,,13.00M,,,,256.00M,107.00M,,,,13.00M,,102.00M,33.00M,69.00M,65.00M,,,,134.00M,60.21M,174.00M,67.00M,107.00M,,0.38,0.36,,0.3318,0.74,,0.38,0.35,,0.3324,0.73,,182.50M,184.70M,0.255,,,
2000-09,-603.00M,-603.00M,-227.00M,-376.00M,92.00M,,-15.00M,,,,-179.00M,-197.00M,,,,-15.00M,,-221.00M,-74.00M,-147.00M,,,,,145.00M,-137.02M,-197.00M,-1.00M,-197.00M,,-0.72,1.591,,-0.6672,-0.72,,-0.72,1.591,,-0.6678,-0.72,,188.90M,191.30M,0.255,,,
2000-06,1.82B,1.82B,1.161B,659.00M,327.00M,,32.00M,,,,421.00M,238.00M,,,,32.00M,,252.00M,82.00M,170.00M,,,,,170.00M,148.41M,377.00M,139.00M,238.00M,,0.91,0.00,,0.7947,0.91,,0.90,0.00,,0.7858,0.90,,187.20M,189.00M,0.255,,,
2000-03,1.169B,1.169B,675.00M,494.00M,262.00M,,28.00M,,,,354.00M,140.00M,,,,28.00M,,151.00M,49.00M,102.00M,62.00M,,,,164.00M,83.09M,232.00M,68.00M,140.00M,,0.54,0.33,,0.4402,0.87,,0.53,0.32,,0.4315,0.85,,189.50M,192.00M,0.255,,,
1999-12,1.099B,1.099B,653.00M,446.00M,240.00M,,7.00M,,,,304.00M,142.00M,,,,7.00M,,128.00M,41.00M,87.00M,70.00M,,,,157.00M,82.24M,206.00M,64.00M,142.00M,,0.46,0.37,,0.4350,0.83,,0.45,0.36,,0.4253,0.81,,190.00M,192.90M,0.255,,,
1999-09,1.926B,1.926B,1.243B,683.00M,351.00M,,,,,,452.00M,231.00M,,,,,,227.00M,72.00M,155.00M,0.00,,,,155.00M,155.00M,332.00M,101.00M,231.00M,,-0.76,0.0052,,-0.76,-0.65,,-0.76,0.0052,,-0.76,-0.65,,190.15M,191.96M,0.255,,,
1999-06,1.808B,1.808B,1.16B,648.00M,330.00M,,21.00M,,,,415.00M,233.00M,,,,21.00M,,233.00M,83.00M,150.00M,,,,,150.00M,136.48M,318.00M,85.00M,233.00M,,0.79,0.00,,0.7191,0.79,,0.77,0.00,,0.7005,0.77,,190.80M,194.50M,0.255,,,
1999-03,1.701B,1.701B,1.10B,601.00M,298.00M,,25.00M,,,,381.00M,220.00M,,,,25.00M,,221.00M,78.00M,143.00M,,,,,143.00M,126.82M,303.00M,83.00M,220.00M,,0.75,0.00,,0.6652,0.75,,0.74,0.00,,0.6563,0.74,,190.67M,193.24M,0.255,,,
1998-12,1.608B,1.608B,1.067B,541.00M,291.00M,,46.00M,,,,359.00M,182.00M,,,,46.00M,,209.00M,75.00M,134.00M,-20.00M,,,,114.00M,104.51M,250.00M,68.00M,182.00M,,0.71,-0.11,,0.5548,0.60,,0.70,-0.11,,0.5474,0.59,,190.00M,193.22M,0.255,,,
1998-09,1.812B,1.812B,739.00M,1.073B,212.00M,,-474.00M,,,,384.00M,689.00M,,,,-474.00M,,192.00M,63.00M,129.00M,-255.00M,,,,-143.00M,447.47M,758.00M,69.00M,689.00M,,0.64,-1.29,,2.041,-0.65,,0.64,-1.29,,2.041,-0.65,,227.36M,227.36M,0.255,,,
1998-06,1.664B,1.664B,1.657B,7.00M,472.00M,,28.00M,,,,472.00M,-465.00M,,,,28.00M,,-455.00M,-35.00M,-420.00M,-62.00M,,,,-482.00M,-445.85M,-381.00M,84.00M,-465.00M,,-2.15,-0.32,,-2.282,-2.47,,-2.15,-0.32,,-2.282,-2.47,,195.14M,195.14M,0.255,,,
1998-03,1.674B,1.674B,1.092B,582.00M,320.00M,,20.00M,,,,398.00M,184.00M,,,,20.00M,,191.00M,69.00M,122.00M,-13.00M,,,,109.00M,109.23M,262.00M,78.00M,184.00M,,0.61,-0.07,,0.5467,0.54,,0.60,-0.07,,0.5367,0.54,,201.85M,201.85M,0.255,,,
1997-12,1.602B,1.602B,1.041B,561.00M,302.00M,103.00M,20.00M,,,,480.00M,81.00M,,,,20.00M,,97.00M,37.00M,60.00M,29.00M,-17.00M,,,72.00M,47.63M,156.00M,75.00M,81.00M,,0.29,0.15,0.00,0.2299,0.35,,0.29,0.15,-0.0826,0.2299,0.35,,205.71M,205.71M,0.255,,,
1997-09,1.718B,1.718B,1.135B,583.00M,320.00M,,38.00M,,,,428.00M,155.00M,,,,38.00M,,186.00M,69.00M,117.00M,-8.00M,,,,109.00M,93.10M,240.00M,85.00M,155.00M,,0.56,-0.03,,0.4454,0.53,,0.55,-0.03,,0.4359,0.53,,208.64M,209.55M,0.29,,,
1997-06,1.613B,1.613B,1.005B,608.00M,313.00M,,40.00M,,,,432.00M,176.00M,,,,40.00M,,206.00M,86.00M,120.00M,47.00M,,,,167.00M,96.00M,295.00M,-15.00M,176.00M,,0.56,0.23,,0.4465,0.79,,0.56,0.22,,0.4479,0.78,,211.39M,214.10M,0.29,,,
1997-03,1.899B,1.899B,1.244B,655.00M,339.00M,,20.00M,,,,420.00M,235.00M,,,,20.00M,,249.00M,94.00M,155.00M,34.00M,,,,189.00M,142.55M,316.00M,81.00M,235.00M,,0.72,0.15,,0.6627,0.87,,0.72,0.15,,0.6627,0.87,,217.24M,217.24M,0.29,,,
1996-12,2.608B,2.608B,1.801B,807.00M,390.00M,,20.00M,,,,532.00M,275.00M,,,,20.00M,,290.00M,111.00M,179.00M,,,,,179.00M,166.66M,417.00M,142.00M,275.00M,,0.82,0.00,,0.7634,0.82,,0.82,0.00,,0.7634,0.82,,218.29M,218.29M,0.29,,,
1996-09,469.00M,469.00M,360.00M,109.00M,183.00M,,-36.00M,,,,187.00M,-78.00M,,,,-36.00M,,-120.00M,-86.00M,-34.00M,131.00M,,,,97.00M,-12.40M,-74.00M,4.00M,-78.00M,,-0.16,0.61,,-0.0602,0.45,,-0.18,0.57,,-0.0871,0.39,,216.52M,232.42M,0.29,,,
1996-06,1.891B,1.891B,1.22B,671.00M,324.00M,,12.00M,,,,439.00M,232.00M,,,,12.00M,,240.00M,94.00M,146.00M,77.00M,,,,223.00M,138.70M,347.00M,5.00M,232.00M,,0.67,0.35,,0.6366,1.02,,0.67,0.35,,0.6366,1.02,,218.63M,218.63M,0.29,,,
1996-03,3.464B,3.464B,2.444B,1.02B,473.00M,,,,,,620.00M,400.00M,,,,,,350.00M,138.00M,212.00M,2.00M,,,,214.00M,212.00M,547.00M,147.00M,400.00M,,0.97,0.01,,0.97,0.98,,0.96,0.01,,0.96,0.97,,218.37M,220.62M,0.29,,,
1995-12,3.094B,3.094B,2.175B,919.00M,411.00M,,,,,,556.00M,363.00M,,,,,,316.00M,123.00M,193.00M,-1.00M,,,,192.00M,193.00M,508.00M,145.00M,363.00M,,0.90,-0.01,,0.90,0.89,,0.88,-0.01,,0.88,0.87,,215.73M,220.69M,0.29,,,
1995-09,-3.499B,-3.499B,-2.973B,-526.40M,-76.60M,,-24.70M,,,,-152.10M,-374.30M,,,,-24.70M,,-293.50M,-108.40M,-185.10M,,,,,188.90M,-169.52M,-449.80M,-75.50M,-374.30M,,-0.85,1.73,,-0.7775,0.88,,-0.85,1.73,,-0.7775,0.88,,214.80M,214.80M,0.27,,,
1995-06,3.452B,3.452B,2.513B,939.80M,445.80M,,32.60M,,,,594.10M,345.70M,,,,32.60M,,326.40M,129.40M,197.00M,,,,0.10M,197.00M,177.32M,494.00M,148.30M,345.70M,,0.90,0.00,,0.8101,0.90,,0.88,0.00,,0.7921,0.88,,218.78M,223.75M,0.27,,,
1995-03,3.361B,3.361B,2.433B,928.00M,444.70M,,17.40M,,,,583.60M,344.40M,,,,17.40M,,317.20M,125.80M,191.40M,,,,,191.40M,180.90M,483.30M,138.90M,344.40M,,0.88,0.00,,0.8317,0.88,,0.87,0.00,,0.8223,0.87,,217.50M,220.00M,0.27,,,
1994-12,2.623B,2.623B,1.911B,711.70M,319.10M,,22.70M,,,,438.40M,273.30M,,,,22.70M,,272.90M,108.20M,164.70M,,,,,164.70M,151.00M,392.60M,119.30M,273.30M,,0.76,0.00,,0.6968,0.76,,0.74,0.00,,0.6784,0.74,,216.71M,222.57M,0.27,,,
1994-09,2.97B,2.97B,2.138B,831.60M,393.50M,,,,,,526.60M,305.00M,,,,,,241.00M,76.00M,165.00M,,,,,165.00M,165.00M,438.10M,133.10M,305.00M,,0.75,0.00,,0.75,0.75,,0.74,0.00,,0.74,0.74,,219.52M,222.42M,0.27,,,
1994-06,2.872B,2.872B,2.092B,779.80M,369.20M,,12.30M,,,,494.30M,285.50M,,,,12.30M,,274.20M,109.30M,164.90M,,,,,164.90M,157.50M,410.60M,125.10M,285.50M,,0.74,0.00,,0.7068,0.74,,0.73,0.00,,0.6973,0.73,,222.84M,225.89M,0.25,,,
1994-03,2.762B,2.762B,2.039B,722.50M,335.40M,,14.10M,,,,454.30M,268.20M,,,,14.10M,,257.30M,102.60M,154.70M,,,,,154.70M,146.22M,387.10M,118.90M,268.20M,,0.70,0.00,,0.6616,0.70,,0.69,0.00,,0.6522,0.69,,221.00M,224.20M,0.25,,,
1993-12,2.601B,2.601B,1.911B,689.60M,313.50M,,15.60M,,,,430.30M,259.30M,,,,15.60M,,248.80M,99.30M,149.50M,,,,,149.50M,140.13M,376.10M,116.80M,259.30M,,0.68,0.00,,0.6374,0.68,,0.66,0.00,,0.6186,0.66,,219.85M,226.52M,0.25,,,
1993-09,2.844B,2.844B,2.089B,754.60M,409.60M,,23.90M,,,,536.30M,218.30M,,,,23.90M,,219.60M,69.60M,150.00M,,,,,150.00M,133.67M,345.00M,126.70M,218.30M,,0.68,0.00,,0.6058,0.68,,0.67,0.00,,0.5969,0.67,,220.14M,223.40M,0.25,,,
1993-06,2.813B,2.813B,2.090B,723.70M,345.20M,,17.20M,,,,467.90M,255.80M,,,,17.20M,,245.40M,98.20M,147.20M,,,,,147.20M,136.88M,378.50M,122.70M,255.80M,,0.66,0.00,,0.6137,0.66,,0.65,0.00,,0.6044,0.65,,223.03M,226.46M,0.25,,,
1993-03,2.694B,2.694B,2.010B,683.50M,328.10M,,22.10M,,,,450.10M,233.40M,,,,22.10M,,227.30M,90.40M,136.90M,,,,,136.90M,123.59M,355.40M,122.00M,233.40M,,0.63,0.00,,0.5687,0.63,,0.62,0.00,,0.5597,0.62,,217.30M,220.81M,0.23,,,
1992-12,2.489B,2.489B,1.858B,630.50M,291.30M,,17.70M,,,,410.80M,219.70M,,,,17.70M,,211.80M,84.00M,127.80M,,,,,127.80M,117.12M,339.20M,119.50M,219.70M,,0.58,0.00,,0.5315,0.58,,0.57,0.00,,0.5224,0.57,,220.34M,224.21M,0.23,,,
1992-09,2.889B,2.889B,2.170B,718.80M,345.80M,,11.40M,,,,492.00M,226.80M,,,,11.40M,,210.30M,72.20M,138.10M,,0.00,,,138.10M,130.61M,373.00M,146.20M,226.80M,,0.62,0.00,0.00,0.5867,0.62,,0.62,0.00,0.0073,0.5873,0.62,,225.03M,229.05M,0.23,,,
1992-06,2.703B,2.703B,2.042B,660.80M,334.00M,,23.30M,,,,467.10M,193.70M,,,,23.30M,,190.30M,67.70M,122.60M,,,,,122.60M,107.59M,326.80M,133.10M,193.70M,,0.55,0.00,,0.4827,0.55,,0.55,0.00,,0.4827,0.55,,222.91M,222.91M,0.23,,,
1992-03,2.758B,2.758B,2.115B,642.80M,335.10M,,29.50M,,,,477.10M,165.70M,,,,29.50M,,168.30M,69.30M,99.00M,,,,,99.00M,81.30M,307.70M,142.00M,165.70M,,0.45,0.00,,0.3695,0.45,,0.43,0.00,,0.3531,0.43,,220.00M,230.23M,0.23,,,
1991-12,2.560B,2.560B,1.924B,636.10M,316.90M,,53.20M,,,,453.70M,182.40M,,,,53.20M,,209.50M,86.20M,123.30M,,,,,123.30M,91.38M,319.20M,136.80M,182.40M,,0.54,0.00,,0.4002,0.54,,0.54,0.00,,0.4002,0.54,,228.33M,228.33M,0.23,,,
1991-09,3.021B,3.021B,2.284B,736.80M,353.60M,,81.60M,,,,509.90M,226.90M,,,,81.60M,,277.50M,125.10M,152.40M,,,,,152.40M,103.44M,383.20M,156.30M,226.90M,,0.66,0.00,,0.4474,0.66,,0.66,0.00,,0.4474,0.66,,230.34M,230.34M,0.215,,,
1991-06,2.978B,2.978B,2.226B,752.30M,347.00M,,28.80M,,,,496.50M,255.80M,,,,28.80M,,252.00M,100.60M,151.40M,,,,,151.40M,134.10M,405.30M,149.50M,255.80M,,0.65,0.00,,0.5757,0.65,,0.64,0.00,,0.5669,0.64,,232.92M,236.56M,0.215,,,
1991-03,2.990B,2.990B,2.232B,758.70M,351.60M,,35.30M,,,,499.80M,258.90M,,,,35.30M,,255.80M,100.60M,155.20M,,,,,155.20M,133.78M,407.10M,148.20M,258.90M,,0.66,0.00,,0.5689,0.66,,0.65,0.00,,0.5603,0.65,,235.15M,238.77M,0.215,,,
1990-12,2.938B,2.938B,2.201B,737.10M,333.00M,,14.60M,,,,480.40M,256.70M,,,,14.60M,,238.20M,96.70M,141.50M,,,,,141.50M,132.74M,404.10M,147.40M,256.70M,,0.60,0.00,,0.5629,0.60,,0.59,0.00,,0.5535,0.59,,235.83M,239.83M,0.215,,,
1990-09,3.217B,3.217B,2.410B,807.00M,384.60M,,-0.20M,,,,556.20M,250.80M,,,,-0.20M,,214.70M,80.80M,133.90M,,,,0.10M,133.90M,134.02M,422.40M,171.60M,250.80M,,0.56,0.00,,0.5605,0.56,,0.56,0.00,,0.5605,0.56,,239.69M,240.06M,0.215,,,
1990-06,3.126B,3.126B,2.255B,871.20M,431.30M,,37.40M,,,,582.30M,288.90M,,,,37.40M,,291.50M,120.30M,171.20M,,,,0.10M,171.20M,148.76M,439.90M,151.00M,288.90M,,0.71,0.00,,0.6169,0.71,,0.69,0.00,,0.5995,0.69,,240.99M,247.97M,0.195,,,
1990-03,3.151B,3.151B,2.364B,786.50M,304.20M,,30.10M,,,,483.20M,303.30M,,,,30.10M,,296.30M,122.90M,173.40M,,,,,173.40M,155.34M,482.30M,179.00M,303.30M,,0.70,0.00,,0.6271,0.70,,0.70,0.00,,0.6271,0.70,,247.71M,247.71M,0.195,,,
1989-12,2.885B,2.885B,2.168B,716.90M,329.00M,,16.50M,,,,447.40M,269.50M,,,,16.50M,,249.50M,103.70M,145.80M,,,,,145.80M,135.90M,387.90M,118.40M,269.50M,,0.59,0.00,,0.5499,0.59,,0.58,0.00,,0.5406,0.58,,247.12M,251.38M,0.195,,,
1989-09,3.275B,3.275B,2.537B,738.20M,404.70M,,44.70M,,,,572.20M,166.00M,,,,44.70M,,175.60M,49.50M,126.10M,,,,0.10M,126.10M,94.00M,333.50M,167.50M,166.00M,,0.50,0.00,,0.3733,0.50,,0.50,0.00,,0.3738,0.50,,253.44M,254.38M,0.195,,,
1989-06,3.212B,3.212B,2.379B,832.90M,376.50M,,20.10M,,,,525.50M,307.40M,,,,20.10M,,291.90M,113.80M,178.10M,,,,0.10M,178.10M,165.84M,456.40M,149.00M,307.40M,,0.70,0.00,,0.6518,0.70,,0.69,0.00,,0.6425,0.69,,254.29M,257.97M,0.195,,,
1989-03,3.162B,3.162B,,,,,,,,,,3.162B,,,,,,,,270.70M,,,,,270.70M,,3.162B,,3.162B,,1.05,0.00,,1.05,1.05,,1.04,0.00,,1.04,1.04,,261.10M,261.10M,0.18,,,
1988-12,2.869B,2.869B,,,,,,,,,,2.869B,,,,,,,,160.00M,,,,,160.00M,,2.869B,,2.869B,,0.62,0.00,,0.62,0.62,,0.61,0.00,,0.61,0.61,,263.26M,263.26M,0.18,,,
1988-09,3.157B,3.157B,,,,,,,,,,-7.787B,,,,,,,,185.90M,,,,,185.90M,,-7.787B,,-7.787B,,,,,,,,,,,,,,279.60M,279.60M,0.18,,,
1988-06,3.073B,3.073B,,,,,,,,,,3.073B,,,,,,,,214.70M,,,,,214.70M,,3.073B,,3.073B,,0.82,0.00,,0.82,0.82,,0.80,0.00,,0.80,0.80,,263.26M,263.26M,0.18,,,
1988-03,3.035B,3.035B,,,,,,,,,,3.035B,,,,,,,,218.40M,,,,,218.40M,,3.035B,,3.035B,,0.81,0.00,,0.81,0.81,,0.81,0.00,,0.81,0.81,,263.26M,263.26M,0.18,,,
1987-12,2.682B,2.682B,,,,,,,,,,2.682B,,,,,,,,192.90M,,,,,192.90M,,2.682B,,2.682B,,0.71,0.00,,0.71,0.71,,0.70,0.00,,0.70,0.70,,263.26M,263.26M,0.165,,,
1987-09,3.066B,3.066B,,,,,,,,,,-7.857B,,,,,,,,140.00M,,,,,140.00M,,-7.857B,,-7.857B,,,,,,,,,,,,,,279.50M,279.50M,0.165,,,
1987-06,3.021B,3.021B,,,,,,,,,,3.021B,,,,,,,,170.10M,,,,,170.10M,,3.021B,,3.021B,,0.61,0.00,,0.61,0.61,,0.60,0.00,,0.60,0.60,,287.78M,287.78M,0.165,,,
1987-03,3.168B,3.168B,,,,,,,,,,3.168B,,,,,,,,175.60M,,,,,175.60M,,3.168B,,3.168B,,0.62,0.00,,0.62,0.62,,0.61,0.00,,0.61,0.61,,287.78M,287.78M,0.165,,,
1986-12,2.868B,2.868B,,,,,,,,,,2.868B,,,,,,,,149.40M,,,,,149.40M,,2.868B,,2.868B,,0.51,0.00,,0.51,0.51,,0.51,0.00,,0.51,0.51,,295.46M,295.46M,0.1500,,,
1986-09,3.326B,3.326B,,,,,,,,,,-7.905B,,,,,,,,161.80M,,,,,161.80M,,-7.905B,,-7.905B,,,,,,,,,,,,,,295.48M,295.48M,0.1500,,,
1986-06,3.126B,3.126B,,,,,,,,,,3.126B,,,,,,,,163.30M,,,,,163.30M,,3.126B,,3.126B,,0.54,0.00,,0.54,0.54,,0.54,0.00,,0.54,0.54,,305.80M,305.80M,0.1500,,,
1986-03,3.077B,3.077B,,,,,,,,,,3.077B,,,,,,,,160.30M,,,,,160.30M,,3.077B,,3.077B,,0.52,0.00,,0.52,0.52,,0.51,0.00,,0.51,0.51,,306.96M,306.96M,0.1400,,,
1985-12,2.767B,2.767B,,,,,,,,,,2.767B,,,,,,,,125.80M,,,,,125.80M,,2.767B,,2.767B,,0.41,0.00,,0.41,0.41,,0.40,0.00,,0.40,0.40,,306.27M,306.27M,,,,
1985-09,3.184B,3.184B,,,,,,,,,,-7.126B,,,,,,,,140.00M,,,,,140.00M,,-7.126B,,-7.126B,,,,,,,,,,,,,,294.95M,294.95M,,,,
1985-06,2.948B,2.948B,,,,,,,,,,2.948B,,,,,,,,160.20M,,,,,160.20M,,2.948B,,2.948B,,0.52,0.00,,0.52,0.52,,0.52,0.00,,0.52,0.52,,305.83M,305.83M,,,,
1985-03,2.842B,2.842B,,,,,,,,,,2.842B,,,,,,,,154.60M,,,,,154.60M,,2.842B,,2.842B,,0.51,0.00,,0.51,0.51,,0.50,0.00,,0.50,0.50,,303.57M,303.57M,,,,
1984-12,2.363B,2.363B,,,,,,,,,,2.363B,,,,,,,,140.50M,,,,,140.50M,,2.363B,,2.363B,,0.46,0.00,,0.46,0.46,,0.45,0.00,,0.45,0.45,,305.33M,305.33M,,,,
1984-09,2.613B,2.613B,,,,,,,,,,-5.911B,,,,,,,,139.00M,,,,,139.00M,,-5.911B,,-5.911B,,,,,,,,,,,,,,305.33M,305.33M,,,,
1984-06,2.365B,2.365B,,,,,,,,,,2.365B,,,,,,,,132.90M,,,,,132.90M,,2.365B,,2.365B,,0.42,0.00,,0.42,0.42,,0.42,0.00,,0.42,0.42,,312.20M,312.20M,,,,
1984-03,2.317B,2.317B,,,,,,,,,,2.317B,,,,,,,,132.70M,,,,,132.70M,,2.317B,,2.317B,,0.42,0.00,,0.42,0.42,,0.41,0.00,,0.41,0.41,,312.20M,312.20M,,,,
