,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2016-12,786.70M,797.00M,568.60M,228.40M,18.20M,25.10M,51.40M,,-51.70M,,128.00M,100.40M,,51.40M,-51.70M,29.00M,-51.70M,77.70M,12.20M,65.50M,-0.30M,,,2.50M,65.20M,50.16M,232.00M,98.10M,129.10M,,0.28,0.00,,0.2125,0.28,,0.28,0.00,,0.2125,0.28,,227.40M,227.40M,0.2938,,AOR,Restated
2016-09,913.20M,924.60M,545.60M,379.00M,-70.60M,25.90M,48.80M,0.10M,-48.70M,,130.00M,249.00M,0.10M,48.80M,-48.70M,-61.40M,-48.70M,138.90M,7.50M,131.40M,-0.40M,,,2.60M,131.00M,198.19M,291.80M,104.10M,187.70M,,0.57,0.00,,0.8640,0.57,,0.57,0.00,,0.8640,0.57,,227.20M,227.20M,0.2938,,AOR,Restated
2016-06,745.30M,754.60M,498.90M,255.70M,15.30M,25.00M,48.00M,0.00,-48.00M,,127.10M,128.60M,0.00,48.00M,-48.00M,24.40M,-48.00M,105.00M,18.10M,86.90M,-0.50M,,,2.50M,86.40M,74.23M,255.10M,102.10M,153.00M,,0.3718,-0.0022,,0.3160,0.37,,0.3718,-0.0022,,0.3160,0.37,,227.00M,227.00M,0.2938,,AOR,Restated
2016-03,834.30M,843.80M,569.10M,274.70M,13.20M,26.30M,48.00M,0.20M,-47.80M,,128.80M,145.90M,0.20M,48.00M,-47.80M,23.70M,-47.80M,121.80M,21.60M,100.20M,-1.10M,,,2.60M,99.10M,89.34M,272.30M,102.50M,169.80M,,0.43,0.00,,0.3821,0.43,,0.43,-0.0048,,0.3821,0.43,,226.80M,226.80M,0.2938,,AOR,Restated
2015-12,729.40M,740.10M,534.40M,205.70M,11.80M,25.10M,47.60M,0.30M,-47.30M,,126.50M,79.20M,0.30M,47.60M,-47.30M,16.70M,-47.30M,48.60M,10.90M,37.70M,-1.10M,,,2.50M,36.60M,28.55M,210.00M,113.80M,96.20M,,0.155,-0.005,,0.1146,0.15,,0.155,-0.005,,0.1146,0.15,,226.60M,226.60M,0.275,,AOR,Restated
2015-09,887.20M,898.90M,538.10M,360.80M,9.70M,25.60M,46.40M,0.10M,-46.30M,,124.90M,235.90M,0.10M,46.40M,-46.30M,20.80M,-46.30M,210.40M,27.80M,182.60M,-0.10M,,,2.60M,182.50M,174.18M,356.10M,99.30M,256.80M,,0.79,0.00,,0.7528,0.79,,0.79,0.00,,0.7528,0.79,,226.40M,226.40M,0.275,,AOR,Restated
2015-06,706.90M,717.20M,481.30M,235.90M,8.60M,26.50M,46.50M,0.20M,-46.30M,,126.90M,109.00M,0.20M,46.50M,-46.30M,19.90M,-46.30M,82.60M,11.20M,71.40M,-1.30M,,,2.50M,70.10M,63.97M,229.50M,100.40M,129.10M,,0.31,-0.01,,0.2772,0.30,,0.31,-0.01,,0.2772,0.30,,226.20M,226.20M,0.275,,AOR,Restated
2015-03,886.10M,897.40M,617.80M,279.60M,6.80M,26.50M,46.60M,0.10M,-46.50M,,126.70M,152.90M,0.10M,46.60M,-46.50M,13.30M,-46.50M,119.70M,20.50M,99.20M,0.00,,,2.60M,99.20M,93.56M,266.50M,100.20M,166.30M,,0.435,0.00,,0.4096,0.435,,0.435,0.00,,0.4096,0.435,,222.20M,222.20M,0.275,,AOR,Restated
2014-12,790.90M,804.10M,587.80M,216.30M,9.00M,25.30M,45.70M,0.00,-45.70M,,125.00M,91.30M,0.00,45.70M,-45.70M,15.20M,-45.70M,60.80M,-1.90M,62.70M,-0.20M,,,2.50M,62.50M,56.85M,260.40M,153.90M,106.50M,,0.27,0.00,,0.2436,0.27,,0.27,0.00,,0.2436,0.27,,222.00M,222.00M,0.255,,AOR,Restated
2014-09,830.60M,843.10M,525.60M,317.50M,8.30M,25.60M,44.60M,0.20M,-44.40M,,122.70M,194.80M,0.20M,44.60M,-44.40M,19.80M,-44.40M,170.20M,12.40M,157.80M,-1.90M,,,2.60M,155.90M,150.11M,311.90M,97.10M,214.80M,,0.70,-0.01,,0.6653,0.69,,0.70,-0.01,,0.6653,0.69,,221.60M,221.60M,0.255,,AOR,Restated
2014-06,736.40M,750.30M,527.10M,223.20M,8.40M,24.10M,45.20M,,-45.20M,,119.90M,103.30M,,45.20M,-45.20M,19.70M,-45.20M,77.80M,13.20M,64.60M,-0.30M,,,2.50M,64.30M,57.63M,218.80M,95.80M,123.00M,,0.28,0.00,,0.2485,0.28,,0.28,0.00,,0.2485,0.28,,221.60M,221.60M,0.255,,AOR,Restated
2014-03,939.30M,952.80M,677.00M,275.80M,9.10M,26.10M,45.20M,1.70M,-43.50M,,121.60M,154.20M,1.70M,45.20M,-43.50M,20.50M,-43.50M,131.20M,20.60M,110.60M,,,,2.60M,110.60M,102.93M,271.90M,95.50M,176.40M,,0.485,,,0.4504,0.485,,0.485,,,0.4504,0.485,,221.60M,221.60M,0.255,,AOR,Restated
2013-12,818.80M,832.60M,605.20M,227.40M,9.70M,25.30M,45.20M,-1.30M,-46.50M,,118.80M,108.60M,-1.30M,45.20M,-46.50M,20.70M,-46.50M,82.80M,13.70M,69.10M,-1.00M,,,2.60M,68.10M,61.00M,232.60M,104.60M,128.00M,,0.30,-0.005,,0.2635,0.295,,0.30,-0.005,,0.2635,0.295,,221.60M,221.60M,0.235,,AOR,Restated
2013-09,855.30M,866.60M,548.20M,318.40M,8.50M,24.90M,42.50M,0.60M,-41.90M,,117.00M,201.40M,0.60M,42.50M,-41.90M,19.60M,-41.90M,179.10M,17.60M,161.50M,-1.30M,,,2.60M,160.20M,153.83M,323.50M,101.90M,221.60M,,0.715,-0.005,,0.6804,0.71,,0.715,-0.005,,0.6804,0.71,,221.60M,221.60M,0.235,,AOR,Restated
2013-06,703.30M,718.00M,498.80M,219.20M,7.00M,23.30M,42.50M,0.30M,-42.20M,,116.00M,103.20M,0.30M,42.50M,-42.20M,17.90M,-42.20M,78.90M,10.50M,68.40M,-0.60M,,,2.50M,67.80M,62.33M,223.70M,102.30M,121.40M,,0.295,0.00,,0.2676,0.295,,0.295,0.00,,0.2676,0.295,,221.60M,221.60M,0.235,,AOR,Restated
2013-03,847.70M,859.60M,620.20M,239.40M,5.60M,26.10M,42.60M,0.80M,-41.80M,,118.70M,120.70M,0.80M,42.60M,-41.80M,16.30M,-41.80M,95.20M,12.10M,83.10M,-3.00M,,,10.20M,80.10M,78.21M,240.10M,102.30M,137.80M,,0.33,-0.015,,0.3079,0.315,,0.33,-0.015,,0.3079,0.315,,221.60M,221.60M,0.235,,AOR,Restated
2012-12,738.40M,750.90M,539.60M,211.30M,7.50M,24.70M,40.90M,1.60M,-39.30M,,109.70M,101.60M,1.60M,40.90M,-39.30M,18.40M,-39.30M,80.70M,5.60M,75.10M,-2.80M,,,4.00M,72.30M,68.12M,220.30M,98.70M,121.60M,,0.32,-0.01,,0.2885,0.31,,0.32,-0.01,,0.2885,0.31,,221.92M,221.92M,0.225,,AOR,Restated
2012-09,874.30M,887.60M,566.60M,321.00M,5.80M,23.70M,38.30M,0.70M,-37.60M,,107.30M,213.70M,0.70M,38.30M,-37.60M,16.20M,-37.60M,192.30M,39.30M,153.00M,1.70M,,,4.00M,154.70M,148.38M,327.90M,97.30M,230.60M,,0.67,0.01,,0.6492,0.68,,0.67,0.01,,0.6492,0.68,,221.54M,221.56M,0.225,,AOR,Restated
2012-06,676.40M,690.30M,476.20M,214.10M,4.80M,24.50M,38.60M,0.60M,-38.00M,,105.30M,108.80M,0.60M,38.60M,-38.00M,15.40M,-38.00M,86.20M,16.80M,69.40M,0.40M,,,3.90M,69.80M,65.54M,219.10M,94.30M,124.80M,,0.30,0.00,,0.2826,0.30,,0.30,0.00,,0.2826,0.30,,221.51M,221.54M,0.225,,AOR,Restated
2012-03,753.20M,765.70M,561.80M,203.90M,3.80M,25.30M,38.90M,1.10M,-37.80M,,108.30M,95.60M,1.10M,38.90M,-37.80M,13.20M,-37.80M,71.00M,27.70M,43.30M,-4.40M,,,4.00M,38.90M,40.98M,207.50M,97.60M,109.90M,,0.18,-0.02,,0.1695,0.16,,0.18,-0.02,,0.1695,0.16,,221.43M,221.48M,0.225,,AOR,Restated
2011-12,713.90M,760.80M,1.040B,-279.30M,3.40M,23.60M,38.60M,2.10M,-36.50M,,-385.30M,106.00M,2.10M,38.60M,-36.50M,13.10M,-36.50M,82.60M,14.70M,67.90M,-6.90M,,,4.00M,61.00M,65.11M,259.00M,137.80M,121.20M,,0.29,-0.035,,0.2774,0.255,,0.29,-0.035,,0.2774,0.255,,221.92M,221.92M,0.2125,,AOR,Restated
2011-09,870.90M,870.90M,404.20M,466.70M,2.80M,24.80M,38.80M,0.60M,-38.20M,,257.30M,209.40M,0.60M,38.80M,-38.20M,12.90M,-38.20M,184.10M,43.30M,140.80M,-14.90M,,,3.90M,125.90M,138.66M,304.20M,81.30M,222.90M,,0.615,-0.065,,0.6053,0.55,,0.615,-0.0673,,0.6053,0.55,,221.29M,221.39M,0.2125,,AOR,Restated
2011-06,712.50M,712.50M,362.80M,349.70M,2.70M,24.70M,40.40M,0.80M,-39.60M,,279.10M,70.60M,0.80M,40.40M,-39.60M,12.30M,-39.60M,43.30M,-11.20M,54.50M,0.80M,,,4.20M,55.30M,52.74M,165.90M,82.20M,83.70M,,0.225,0.005,,0.2171,0.23,,0.225,0.0036,,0.2171,0.23,,221.25M,221.35M,0.2125,,AOR,Restated
2011-03,877.20M,877.20M,481.80M,395.40M,3.10M,25.10M,40.50M,0.80M,-39.70M,,268.10M,127.30M,0.80M,40.50M,-39.70M,13.00M,-39.70M,100.60M,22.40M,78.20M,1.50M,,,6.20M,79.70M,75.79M,219.90M,78.80M,141.10M,,0.325,0.005,,0.3141,0.33,,0.325,0.005,,0.3141,0.33,,221.14M,221.26M,0.2125,,AOR,Restated
2010-12,635.90M,678.60M,1.039B,-360.80M,3.60M,20.90M,40.60M,3.70M,-36.90M,,-464.50M,103.70M,3.70M,40.60M,-36.90M,13.00M,-36.90M,79.80M,25.90M,53.90M,-1.90M,,,4.70M,52.00M,51.47M,248.60M,128.20M,120.40M,,0.225,-0.01,,0.214,0.215,,0.225,-0.01,,0.2140,0.215,,221.05M,221.20M,0.1975,,AOR,Restated
2010-09,951.70M,951.70M,421.70M,530.00M,5.00M,24.20M,41.90M,0.60M,-41.30M,,283.40M,246.60M,0.60M,41.90M,-41.30M,14.30M,-41.30M,219.60M,64.10M,155.50M,-1.80M,,,4.60M,153.70M,151.96M,337.00M,75.50M,261.50M,,0.685,-0.01,,0.6690,0.675,,0.685,-0.01,,0.6690,0.675,,220.94M,221.09M,0.1975,,AOR,Restated
2010-06,741.60M,741.60M,365.50M,376.10M,5.50M,25.00M,39.60M,0.50M,-39.10M,,275.40M,100.70M,0.50M,39.60M,-39.10M,15.10M,-39.10M,75.70M,23.00M,52.70M,-0.20M,,,4.70M,52.50M,48.87M,180.80M,65.50M,115.30M,,0.215,0.00,,0.1977,0.215,,0.215,0.00,,0.1977,0.215,,220.82M,220.98M,0.1975,,AOR,Restated
2010-03,890.20M,890.20M,492.40M,397.80M,3.90M,25.70M,40.70M,0.80M,-39.90M,,288.80M,109.00M,0.80M,40.70M,-39.90M,13.70M,-39.90M,82.80M,34.70M,48.10M,0.00,,,4.70M,48.10M,45.56M,198.40M,74.90M,123.50M,,0.195,0.00,,0.1835,0.195,,0.195,0.00,,0.1835,0.195,,220.74M,220.90M,0.1975,,AOR,Restated
2009-12,853.70M,853.70M,410.30M,443.40M,4.80M,23.90M,41.10M,0.50M,-40.60M,,342.70M,100.70M,0.50M,41.10M,-40.60M,14.10M,-40.60M,74.20M,17.30M,56.90M,1.40M,,,4.70M,58.30M,53.22M,189.20M,73.90M,115.30M,,0.24,0.005,,0.2233,0.245,,0.24,0.005,,0.2233,0.245,,220.60M,220.78M,0.1875,,AOR,Restated
2009-09,884.00M,884.00M,405.30M,478.70M,-188.90M,24.90M,42.40M,1.20M,-41.20M,224.90M,319.30M,159.40M,1.20M,42.40M,-41.20M,-179.40M,-41.20M,-61.20M,-22.20M,-39.00M,-0.70M,,,4.60M,-39.70M,81.38M,50.70M,49.00M,-18.80M,,-0.20,0.00,,0.3457,-0.20,,-0.20,0.00,,0.3457,-0.20,,220.58M,220.58M,0.1875,,AOR,Restated
2009-06,740.80M,740.80M,350.00M,390.80M,11.30M,25.50M,35.70M,1.50M,-34.20M,236.70M,328.40M,62.40M,1.50M,35.70M,-34.20M,19.90M,-34.20M,48.10M,14.40M,33.70M,0.10M,,,4.70M,33.80M,25.78M,160.70M,76.90M,83.80M,,0.13,0.00,,0.0941,0.13,,0.13,0.00,,0.0941,0.13,,220.53M,220.70M,0.1875,,AOR,Restated
2009-03,949.90M,949.90M,580.20M,369.70M,9.50M,25.90M,35.70M,1.70M,-34.00M,205.00M,296.00M,73.70M,1.70M,35.70M,-34.00M,18.70M,-34.00M,58.40M,-18.90M,77.30M,,,,4.70M,77.30M,71.12M,169.90M,75.80M,94.10M,,0.33,0.00,,0.3020,0.33,,0.33,0.00,,0.3020,0.33,,220.44M,220.61M,0.1875,,AOR,Restated
2008-12,882.00M,882.00M,449.20M,432.80M,8.90M,24.70M,35.80M,4.10M,-31.70M,256.40M,341.80M,91.00M,4.10M,35.80M,-31.70M,17.80M,-31.70M,77.10M,21.40M,55.70M,-0.40M,,,4.70M,55.30M,49.27M,183.30M,70.40M,112.90M,,0.23,0.00,,0.2008,0.23,,0.23,0.00,,0.2009,0.23,,220.36M,220.59M,0.175,,,Restated
2008-09,980.30M,980.30M,413.30M,567.00M,8.40M,25.80M,30.00M,2.80M,-27.20M,292.80M,376.50M,190.50M,2.80M,30.00M,-27.20M,18.00M,-27.20M,181.30M,67.60M,113.70M,-0.60M,,,4.60M,113.10M,108.43M,280.80M,69.50M,211.30M,,0.495,-0.005,,0.4711,0.49,,0.4945,-0.005,,0.4706,0.49,,220.36M,220.63M,0.175,,,Restated
2008-06,827.40M,827.40M,412.40M,415.00M,4.20M,26.20M,30.30M,4.20M,-26.10M,245.10M,333.00M,82.00M,4.20M,30.30M,-26.10M,11.40M,-26.10M,67.30M,10.80M,56.50M,9.00M,,,4.70M,65.50M,52.97M,182.50M,84.90M,97.60M,,0.235,0.04,,0.2190,0.275,,0.2348,0.04,,0.2188,0.275,,220.34M,220.64M,0.175,,,Restated
2008-03,992.00M,992.00M,555.70M,436.30M,3.20M,26.10M,29.70M,7.10M,-22.60M,223.50M,311.20M,125.10M,7.10M,29.70M,-22.60M,10.70M,-22.60M,113.20M,40.40M,72.80M,,,,4.70M,72.80M,70.74M,204.50M,61.60M,142.90M,,0.31,0.00,,0.3007,0.31,,0.31,0.00,,0.3007,0.31,,220.30M,220.61M,0.175,,,Restated
2007-12,871.40M,871.40M,347.10M,524.30M,7.60M,27.10M,,,,90.10M,182.60M,341.70M,,,,7.60M,,319.20M,120.90M,198.30M,-5.10M,,,,193.20M,193.58M,454.40M,112.70M,341.70M,,0.89,-0.02,,0.8686,0.87,,0.885,-0.02,,0.8636,0.865,,220.12M,220.49M,0.1588,,,
2007-09,907.30M,907.30M,323.60M,583.70M,7.20M,26.80M,,,,288.00M,380.10M,203.60M,,,,7.20M,,181.40M,65.20M,116.20M,3.40M,,,,119.60M,111.59M,268.90M,41.90M,203.60M,,0.525,0.015,,0.5042,0.54,,0.525,0.015,,0.5042,0.54,,221.76M,222.11M,0.1588,,,
2007-06,746.20M,746.20M,292.90M,453.30M,7.00M,27.00M,,,,263.30M,356.30M,97.00M,,,,7.00M,,75.90M,30.90M,45.00M,3.60M,,,,48.60M,40.45M,174.40M,77.40M,97.00M,,0.20,0.015,,0.1798,0.215,,0.20,0.015,,0.1799,0.215,,225.56M,226.05M,0.1588,,,
2007-03,912.70M,912.70M,280.30M,632.40M,7.50M,27.80M,,,,417.80M,511.60M,120.80M,,,,7.50M,,104.00M,38.80M,65.20M,-1.30M,,,,63.90M,60.50M,198.80M,78.00M,120.80M,,0.275,0.00,,0.2546,0.275,,0.275,0.00,,0.2547,0.275,,230.84M,231.51M,0.1588,,,
2006-12,841.30M,841.30M,-36.50M,877.80M,239.40M,27.80M,,,,679.20M,772.50M,105.30M,,,,239.40M,,296.90M,119.60M,177.30M,1.80M,,,4.70M,179.10M,33.66M,181.60M,76.30M,105.30M,,0.82,0.005,,0.2001,0.825,,0.82,0.005,,0.2018,0.825,,231.70M,232.36M,0.1438,,,
2006-09,890.40M,890.40M,436.70M,453.70M,1.20M,26.50M,,,,192.30M,283.20M,170.50M,,,,1.20M,,142.30M,49.90M,92.40M,-0.90M,,,4.60M,91.50M,91.62M,245.80M,75.30M,170.50M,,0.375,-0.04,,0.3717,0.335,,0.375,-0.04,,0.3717,0.335,,234.22M,235.00M,0.1438,,,
2006-06,696.80M,696.80M,328.70M,368.10M,9.50M,27.10M,,,,178.60M,270.20M,97.90M,,,,9.50M,,83.50M,32.70M,50.80M,-0.70M,,,4.70M,50.10M,45.02M,172.60M,74.70M,97.90M,,0.195,0.00,,0.1704,0.195,,0.195,-0.0030,,0.1704,0.1929,,234.61M,235.38M,0.1438,,,
2006-03,930.90M,930.90M,528.50M,402.40M,-77.20M,26.80M,,,,188.80M,282.60M,119.80M,,,,-77.20M,,18.60M,0.80M,17.80M,-14.70M,,,4.70M,3.10M,91.68M,198.90M,79.10M,119.80M,,0.055,-0.06,,0.3706,-0.005,,0.055,-0.0626,,0.3698,-0.0068,,234.07M,234.69M,0.1438,,,
2005-12,906.80M,906.80M,249.40M,657.40M,-28.40M,25.90M,,,,600.00M,704.50M,-47.10M,,,,-28.40M,,-108.30M,-47.10M,-61.20M,-2.70M,,,4.70M,-63.90M,-44.16M,47.60M,94.70M,-47.10M,,-0.265,-0.01,,-0.1921,-0.275,,-0.265,-0.01,,-0.1923,-0.275,,233.90M,234.28M,0.1312,,,
2005-09,874.20M,874.20M,307.80M,566.40M,15.00M,25.40M,,,,330.30M,436.10M,130.30M,,,,15.00M,,109.50M,9.90M,99.60M,12.90M,,-4.60M,,112.50M,85.96M,226.00M,95.70M,130.30M,,0.425,0.055,,0.3665,0.48,,0.425,0.055,,0.3667,0.48,,233.28M,234.07M,0.1312,,,
2005-06,699.80M,699.80M,300.60M,399.20M,16.30M,23.30M,,,,307.70M,412.20M,-13.00M,,,,16.30M,,-29.30M,-25.30M,-4.00M,-50.00M,,,4.70M,-54.00M,-13.78M,81.60M,94.60M,-13.00M,,-0.035,-0.215,,-0.0771,-0.25,,-0.0374,-0.215,,-0.0795,-0.2524,,232.57M,232.57M,0.1312,,,
2005-03,798.80M,798.80M,388.40M,410.40M,2.30M,26.40M,,,,232.50M,339.00M,71.40M,,,,2.30M,,41.00M,9.60M,31.40M,-24.30M,,,4.70M,7.10M,29.64M,166.80M,95.40M,71.40M,,0.115,-0.105,,0.1074,0.01,,0.1147,-0.105,,0.1072,0.01,,232.06M,232.74M,0.1312,,,
2004-12,742.30M,742.30M,578.80M,163.50M,-1.10M,24.60M,,,,-38.70M,66.20M,97.30M,,,,-1.10M,,78.20M,20.60M,57.60M,-14.90M,,,,42.70M,58.41M,193.00M,95.70M,97.30M,,0.25,-0.065,,0.2535,0.185,,0.25,-0.065,,0.2535,0.185,,234.42M,234.42M,0.1312,,,
2004-09,693.60M,693.60M,195.20M,498.40M,4.60M,24.00M,,,,231.10M,334.30M,164.10M,,,,4.60M,,130.30M,37.90M,92.40M,-10.60M,,-4.60M,,81.80M,89.14M,293.30M,129.20M,164.10M,,0.405,-0.045,,0.3907,0.36,,0.40,-0.045,,0.3858,0.355,,228.49M,229.41M,0.125,,,
2004-06,599.70M,599.70M,220.60M,379.10M,1.00M,25.50M,,,,192.30M,296.40M,82.70M,,,,1.00M,,49.80M,15.80M,34.00M,-47.10M,,,,-13.10M,33.32M,161.30M,58.30M,82.70M,,0.15,-0.21,,0.1470,-0.06,,0.15,-0.21,,0.1470,-0.06,,224.16M,224.96M,0.125,,,
