,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2012-12,98.80M,,,0.00,0.00,93.50M,93.50M,43.60M,,-36.10M,-80.40M,-18.60M,,109.60M,-38.50M,0.40M,,-18.30M,,181.50M,,-229.50M,,,-2.60M,,-6.10M,-238.20M,,249.80M,-58.60M,191.20M,,-48.20M,-48.20M,-68.90M,-68.90M,4.50M,0.70M,79.30M,,13.00M,22.60M,35.60M,,,251.80M,-2.00M,-48.20M,,,,AOR,Restated
2012-09,156.10M,,,-100.00M,-100.00M,94.40M,94.40M,108.40M,,-42.30M,22.50M,-7.10M,,105.60M,33.90M,12.20M,,167.10M,,383.70M,,-163.50M,,,-6.50M,,-8.80M,-178.80M,,-8.30M,-106.30M,-114.60M,,-28.00M,-28.00M,-69.10M,-69.10M,6.70M,,-205.00M,,13.10M,-0.10M,13.00M,,,0.00,-8.30M,-28.00M,,,,AOR,Restated
2012-06,119.30M,,,,,93.20M,93.20M,73.30M,,-35.40M,84.70M,-23.40M,,12.30M,-13.10M,-42.70M,,17.80M,,268.20M,,-171.70M,,,-4.00M,,-6.50M,-182.20M,,-2.00M,2.20M,0.20M,,-47.80M,-47.80M,-69.20M,-69.20M,25.70M,0.10M,-91.00M,,18.10M,-5.00M,13.10M,,,0.00,-2.00M,-47.80M,,,,AOR,Restated
2012-03,172.10M,,,,,90.60M,90.60M,67.90M,,-50.20M,11.50M,70.40M,,-66.80M,29.80M,15.20M,,60.10M,,340.50M,,-142.30M,,,-2.60M,,14.50M,-130.40M,,-8.00M,-112.60M,-120.60M,,-29.20M,-29.20M,-69.10M,-69.10M,12.90M,-0.10M,-206.10M,,14.10M,4.00M,18.10M,,,,-8.00M,-29.20M,,,,AOR,Restated
2011-12,116.00M,,,-20.00M,-20.00M,87.50M,87.50M,214.70M,,-50.30M,-106.30M,-14.00M,,-102.90M,-1.80M,17.00M,,-182.10M,,165.80M,,-218.60M,-38.50M,-38.50M,,6.60M,14.90M,-242.20M,,-1.90M,173.20M,171.30M,,-58.80M,-58.80M,-60.00M,-60.00M,20.00M,2.90M,75.40M,,15.10M,-1.00M,14.10M,,,0.00,-1.90M,-58.80M,,,,AOR,Restated
2011-09,129.80M,,,-135.00M,-135.00M,79.70M,79.70M,78.90M,,15.60M,45.30M,-28.90M,,6.80M,-28.90M,15.70M,,10.00M,,179.00M,,-265.10M,0.00,0.00,,-2.00M,-15.70M,-282.80M,,292.20M,-45.70M,246.50M,,-83.50M,-83.50M,-60.50M,-60.50M,4.80M,1.00M,108.30M,,10.60M,4.50M,15.10M,,,300.00M,-7.80M,-83.50M,,,,AOR,Restated
2011-06,109.50M,,,0.00,0.00,85.00M,85.00M,65.10M,,-35.50M,132.00M,-54.70M,,29.20M,-22.80M,-50.20M,,33.50M,,257.60M,,-211.60M,0.20M,0.20M,,-2.00M,-9.70M,-223.10M,,-451.90M,260.90M,-191.00M,,-26.70M,-26.70M,-60.70M,-60.70M,16.60M,1.90M,-259.90M,,236.00M,-225.40M,10.60M,,,0.00,-451.90M,-26.70M,,,,AOR,Restated
2011-03,170.90M,,,-122.40M,-122.40M,84.20M,84.20M,71.90M,,46.70M,-40.90M,94.70M,,-8.70M,33.00M,61.60M,,139.70M,,391.00M,,-135.50M,38.30M,38.30M,,-2.60M,-44.60M,-144.40M,,415.00M,-376.40M,38.60M,,-24.90M,-24.90M,-60.80M,-60.80M,13.00M,-1.00M,-35.10M,,24.50M,211.50M,236.00M,,,420.00M,-5.00M,-24.90M,,,,AOR,Restated
2010-12,125.90M,8.50M,,0.00,8.50M,79.80M,79.80M,105.90M,151.80M,-267.20M,-161.80M,43.20M,,16.10M,-23.70M,-29.00M,107.20M,-48.00M,,156.70M,,-252.60M,-63.80M,-63.80M,,3.90M,94.20M,-223.50M,,-1.80M,139.30M,137.50M,,-28.10M,-28.10M,-46.70M,-46.70M,14.90M,2.50M,80.10M,,11.20M,13.30M,24.50M,,,0.00,-1.80M,-28.10M,,,,AOR,Restated
2010-09,112.20M,-3.00M,,0.00,-3.00M,80.20M,80.20M,-8.30M,-55.20M,31.50M,38.90M,-32.10M,,5.60M,17.40M,36.30M,6.50M,72.60M,,230.00M,,-166.50M,0.30M,0.30M,,0.00,31.50M,-134.70M,,-26.40M,-1.80M,-28.20M,,-59.60M,-59.60M,-46.80M,-46.80M,32.80M,7.20M,-94.60M,,10.50M,0.70M,11.20M,,,0.00,-26.40M,-59.60M,,,,AOR,Restated
2010-06,88.70M,-2.80M,,0.00,-2.80M,85.50M,85.50M,2.20M,-47.20M,20.50M,106.20M,-54.40M,,-55.00M,8.20M,-38.40M,6.50M,-26.90M,,120.00M,,-184.50M,63.50M,63.50M,,0.00,16.80M,-104.20M,,-1.80M,42.40M,40.60M,,-37.10M,-37.10M,-46.70M,-46.70M,23.30M,2.50M,-17.40M,,12.80M,-1.60M,10.50M,,,0.00,-1.80M,-37.10M,,,,AOR,Restated
2010-03,129.70M,-2.70M,,0.00,-2.70M,71.90M,71.90M,5.10M,-49.40M,56.80M,-33.70M,42.30M,,11.90M,12.20M,53.10M,6.50M,92.30M,,303.70M,,-194.60M,,,,-3.90M,27.40M,-171.10M,,268.30M,-347.10M,-78.80M,,-31.80M,-31.80M,-46.80M,-46.80M,19.90M,-3.20M,-140.70M,,20.90M,-8.10M,12.80M,,,530.00M,-261.70M,-31.80M,,,,AOR,Restated
2009-12,118.70M,,31.10M,0.00,31.10M,79.10M,79.10M,65.50M,,178.90M,-126.00M,9.70M,,90.70M,-37.00M,-23.40M,38.60M,-47.40M,,195.20M,,-261.50M,,,,-7.80M,9.20M,-260.10M,,230.90M,-112.90M,118.00M,,-8.60M,-8.60M,-39.40M,-39.40M,4.50M,0.90M,75.40M,,9.70M,10.50M,20.20M,,,250.00M,-19.10M,-8.60M,,,,AOR,Restated
2009-09,58.50M,,-37.70M,-289.30M,-327.00M,90.00M,90.00M,107.30M,,336.80M,68.90M,-74.50M,,-109.20M,43.80M,23.60M,-15.50M,-62.90M,,202.70M,,-189.70M,,,,-6.60M,25.10M,-171.20M,,-148.70M,157.80M,9.10M,,-10.50M,-10.50M,-39.50M,-39.50M,6.20M,1.10M,-33.60M,,11.80M,-2.10M,9.70M,,,-177.90M,-148.70M,-10.50M,,,,AOR,Restated
2009-06,63.70M,,-3.00M,,-3.00M,90.20M,90.20M,17.40M,,-66.60M,241.30M,-63.20M,,-19.70M,9.10M,-70.10M,11.60M,109.00M,,210.70M,,-192.00M,,,,-5.20M,35.40M,-161.80M,,-1.60M,-11.10M,-12.70M,,-4.90M,-4.90M,-39.40M,-39.40M,3.30M,0.30M,-53.40M,,17.10M,-4.50M,11.80M,,,-11.10M,-1.60M,-4.90M,,,,AOR,Restated
2009-03,141.50M,,-2.90M,,-2.90M,87.60M,87.60M,-2.80M,,-264.50M,-73.10M,93.40M,,-37.50M,8.90M,58.20M,11.50M,61.40M,,20.30M,,-171.40M,,,,-6.30M,34.70M,-143.00M,,-40.20M,189.00M,148.80M,,-5.60M,-5.60M,-39.50M,-39.50M,3.00M,0.60M,107.30M,,32.50M,-15.40M,17.10M,,,200.50M,-51.70M,-5.60M,,,,AOR,Restated
2008-12,100.40M,,-2.60M,,-2.60M,82.20M,82.20M,141.20M,,39.20M,-200.80M,14.80M,,38.60M,-55.70M,-14.90M,-49.00M,-267.00M,,93.40M,,-247.50M,,,,-7.90M,30.80M,-224.60M,,488.40M,-311.90M,176.50M,,-3.10M,-3.10M,-31.60M,-31.60M,1.60M,-3.00M,140.40M,,23.30M,9.20M,32.50M,,,796.50M,-620.00M,-3.10M,,,,,Restated
2008-09,77.50M,,-5.00M,,-5.00M,85.50M,85.50M,31.60M,,-108.30M,101.80M,-80.50M,,-14.60M,-11.40M,-0.10M,-7.20M,-12.00M,,69.30M,,-246.90M,,,,-8.00M,107.60M,-147.30M,,145.10M,-35.20M,109.90M,,-5.00M,-5.00M,-31.60M,-31.60M,2.40M,-1.00M,74.70M,,26.60M,-3.30M,23.30M,,,111.80M,-1.90M,-5.00M,,,,,Restated
2008-06,58.00M,,-2.00M,,-2.00M,82.00M,82.00M,133.70M,,-35.90M,213.30M,-43.90M,,-154.60M,-3.20M,-21.10M,3.60M,-5.90M,,229.90M,,-293.80M,,,,-9.40M,39.70M,-263.50M,,129.70M,-57.00M,72.70M,,-9.40M,-9.40M,-31.50M,-31.50M,4.90M,-0.70M,36.00M,,24.20M,2.40M,26.60M,,,99.00M,-26.30M,-9.40M,,,,,Restated
2008-03,123.20M,,-3.20M,,-3.20M,82.40M,82.40M,-9.90M,,-156.50M,-106.80M,126.20M,,91.50M,18.70M,44.10M,134.10M,307.80M,,343.80M,,-348.20M,,,,0.00,77.30M,-270.90M,,-148.00M,105.70M,-42.30M,,-5.50M,-5.50M,-31.60M,-31.60M,2.70M,0.60M,-76.10M,,27.40M,-3.20M,24.20M,,,105.70M,-148.00M,-5.50M,,,,,Restated
2007-12,94.30M,,,,-26.70M,,56.60M,43.30M,,-59.10M,-206.00M,49.00M,,41.50M,-41.80M,11.40M,-62.70M,-208.60M,,-100.20M,,-345.50M,5.50M,-340.00M,,,183.20M,-156.80M,,,,-181.60M,5.50M,-12.10M,-6.60M,,-29.20M,,1.80M,-215.60M,,500.00M,-472.60M,27.40M,,5.50M,,,-12.10M,140.60M,93.20M,,,
2007-09,82.90M,,,,-2.00M,,96.60M,0.70M,,45.50M,57.20M,-101.20M,,43.40M,34.00M,-63.90M,-16.10M,-46.60M,,177.10M,,-293.50M,941.60M,648.10M,,,-437.70M,210.40M,,,,105.40M,0.60M,-1.00M,-0.40M,,-29.20M,,0.00,75.80M,,36.70M,463.30M,500.00M,,0.60M,,,-1.00M,9.00M,4.70M,,,
2007-06,57.50M,,,,-1.70M,,89.80M,-3.70M,,39.00M,185.80M,-68.80M,,-8.50M,-15.00M,-96.30M,-85.40M,-88.20M,,92.70M,,-280.70M,16.00M,-264.70M,,,-27.80M,-292.50M,,,,254.30M,9.10M,-16.70M,-7.60M,,-29.30M,,-5.00M,212.40M,,24.10M,12.60M,36.70M,,9.10M,,,-16.70M,121.40M,83.80M,,,
2007-03,100.90M,,,,-3.70M,,95.00M,-19.90M,,32.90M,-73.90M,152.30M,,-66.30M,17.40M,70.90M,57.30M,157.70M,,362.90M,,-291.80M,,-291.80M,,,-12.50M,-304.30M,,,,-29.70M,20.90M,-38.00M,-17.10M,,-29.20M,,4.50M,-71.50M,,37.00M,-12.90M,24.10M,,20.90M,,,-38.00M,20.60M,9.70M,,,
2006-12,77.00M,,,,-2.40M,,93.20M,-28.50M,,27.10M,-224.00M,10.50M,,115.00M,-22.20M,-16.20M,-7.60M,-144.50M,-0.20M,21.70M,,-244.30M,33.40M,-210.90M,,,-63.70M,-289.20M,,,,322.00M,14.30M,-26.20M,-11.90M,,-26.90M,,0.10M,283.30M,,21.20M,15.80M,37.00M,,14.30M,,,-26.20M,15.10M,58.20M,,,
2006-09,70.80M,,,,2.20M,,91.60M,0.00,,9.60M,65.60M,-84.80M,,5.40M,18.10M,-84.20M,28.70M,-51.20M,4.70M,127.70M,,-263.50M,27.50M,-236.00M,,0.00,-12.80M,-248.80M,,,,154.00M,4.90M,-8.70M,-3.80M,,-26.90M,,0.90M,124.20M,,18.10M,3.10M,21.20M,,4.90M,,,-8.70M,92.80M,14.40M,,,
