,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2018-03,170.75M,,,,,11.89M,11.89M,23.48M,3.419M,8.451M,-0.793M,,-237.17M,13.08M,,,175.90M,-48.18M,,169.01M,,-15.43M,,,-1.00M,,0.452M,-15.98M,,2018-03,-191.30M,,-59.49M,-59.49M,-26.35M,-26.35M,2.723M,,-274.42M,,2018-03,306.17M,,184.79M,,2018-03,768.00M,-959.30M,-59.49M,0.631M,30.11M,,2018-03,Restated
2017-12,77.41M,,,,,12.31M,12.31M,294.45M,60.66M,7.178M,-0.351M,,188.98M,-56.86M,,,-173.18M,-41.06M,,410.60M,,-8.503M,,,-1.03M,,-0.942M,-10.48M,,2017-12,-18.77M,,-250.51M,-250.51M,-26.73M,-26.73M,4.955M,,-291.06M,,2017-12,197.10M,,306.17M,,2017-12,1.941B,-1.960B,-250.51M,-2.331M,-11.52M,,2017-12,Restated
2017-09,177.54M,,,,,12.67M,12.67M,47.02M,2.146M,5.634M,0.098M,,-271.61M,95.65M,,,7.016M,-168.94M,,76.15M,,-6.656M,,,-4.175M,,2.645M,-8.186M,,2017-09,170.27M,,-259.99M,-259.99M,-27.80M,-27.80M,6.799M,,-110.72M,,2017-09,239.86M,,197.10M,,2017-09,775.20M,-604.93M,-259.99M,6.226M,9.157M,,2017-09,Restated
2017-06,100.75M,,,,,12.81M,12.81M,41.62M,125.57M,6.71M,-2.091M,,-219.38M,98.25M,,,-27.72M,-148.85M,,136.52M,,-6.896M,,,-3.03M,,1.72M,-8.206M,,2017-06,12.24M,,-300.30M,-300.30M,-29.11M,-29.11M,4.848M,,-312.32M,,2017-06,423.86M,,239.86M,,2017-06,110.00M,-97.76M,-300.30M,9.937M,-10.47M,,2017-06,Restated
2017-03,91.52M,,,,,13.21M,13.21M,39.23M,3.535M,14.16M,0.555M,,-267.01M,-71.36M,,,215.98M,-122.40M,,39.80M,,-9.996M,,,-14.80M,,1.423M,-23.38M,,2017-03,-192.31M,,-105.52M,-105.52M,-29.10M,-29.10M,11.12M,,-315.81M,,2017-03,723.25M,,423.86M,,2017-03,,-192.31M,-105.52M,1.043M,12.83M,,2017-03,Restated
2016-12,273.17M,,,,,13.79M,13.79M,135.81M,6.172M,2.415M,-2.879M,,203.08M,-8.046M,,,-249.40M,-54.36M,,374.78M,,-8.744M,,,-0.49M,,7.627M,-1.607M,,2016-12,171.62M,,-252.36M,-252.36M,-30.37M,-30.37M,0.00,,-111.11M,,2016-12,461.19M,,723.25M,,2016-12,63.72M,107.90M,-252.36M,2.743M,,,2016-12,Restated
2016-09,128.47M,,,,,13.51M,13.51M,81.19M,2.663M,2.907M,5.225M,,-289.76M,28.19M,,,41.20M,-220.37M,,13.60M,,-9.507M,,,-0.713M,,0.00,-10.22M,,2016-09,478.35M,,-250.04M,-250.04M,-31.28M,-31.28M,5.103M,,202.14M,,2016-09,255.67M,,461.19M,,2016-09,1.271B,-792.52M,-250.04M,,,,2016-09,Restated
2016-06,117.76M,,,,,13.59M,13.59M,67.76M,10.52M,7.551M,-5.179M,,-428.51M,23.11M,,,-63.80M,-469.19M,,-257.19M,,-11.58M,,,-0.249M,,4.22M,-7.613M,,2016-06,-418.82M,,-48.06M,-48.06M,-31.45M,-31.45M,0.69M,,-497.64M,,2016-06,1.018B,,255.67M,,2016-06,132.51M,-551.33M,-48.06M,-1.212M,,,2016-06,Restated
2016-03,83.30M,,,,,13.11M,13.11M,50.03M,,9.355M,4.447M,,-381.91M,32.00M,,,126.75M,-223.16M,,-62.92M,,-9.46M,,,-443.54M,,1.253M,-451.75M,,2016-03,841.61M,,-52.74M,-52.74M,-31.57M,-31.57M,0.052M,,757.35M,,2016-03,775.44M,,1.018B,,2016-03,1.212B,-369.96M,-52.74M,1.212M,,,2016-03,Restated
2015-12,228.03M,,,,,12.50M,12.50M,140.34M,,4.613M,-16.16M,,-82.02M,-186.88M,,,-204.56M,-473.47M,,-92.69M,,-11.39M,,,-0.454M,,-2.339M,-14.18M,,2015-12,159.70M,,0.00,0.00,-28.06M,-28.06M,0.164M,,131.80M,,2015-12,734.15M,,775.44M,,2015-12,127.64M,32.06M,0.00,-0.74M,,,2015-12,Restated
2015-09,107.77M,,,,,11.87M,11.87M,68.30M,,5.485M,1.981M,,-349.60M,184.14M,,,-83.74M,-249.20M,,-53.80M,,-10.93M,,,,,-0.981M,-11.92M,,2015-09,485.80M,,-120.67M,-120.67M,-28.77M,-28.77M,3.149M,,339.50M,,2015-09,460.36M,,734.15M,,2015-09,623.09M,-137.29M,-120.67M,0.74M,,,2015-09,Restated
2015-06,103.32M,,,,,10.79M,10.79M,62.25M,,6.374M,4.509M,,-254.68M,7.642M,,,-105.92M,-352.96M,,-165.71M,,-8.598M,,,0.00,,10.02M,1.42M,,2015-06,-186.29M,,-214.11M,-214.11M,-29.51M,-29.51M,0.626M,,-429.28M,,2015-06,1.054B,,460.36M,,2015-06,0.00,-186.29M,-214.11M,,,,2015-06,Restated
2015-03,54.97M,,,,,11.06M,11.06M,40.80M,,8.28M,4.81M,,-230.99M,-28.79M,,,114.46M,-145.32M,,-25.40M,,-14.52M,,,,,4.632M,-9.885M,,2015-03,-72.68M,,-107.96M,-107.96M,-29.62M,-29.62M,6.596M,,-203.65M,,2015-03,1.293B,,1.054B,,2015-03,,-72.68M,-107.96M,,,,2015-03,Restated
2014-12,217.09M,,2.659M,2.659M,,11.00M,11.00M,59.31M,,8.002M,-10.78M,,46.63M,-102.95M,,,-136.09M,-192.41M,,106.05M,,-6.902M,,,-4.959M,,-41.16M,-53.02M,,2014-12,68.65M,,-97.88M,-97.88M,-18.70M,-18.70M,9.593M,,-38.34M,,2014-12,1.222B,,1.309B,,2014-12,34.58M,34.07M,-97.88M,,,,2014-12,Restated
2014-09,140.54M,,-0.234M,-0.234M,,9.96M,9.96M,79.43M,,4.493M,1.562M,,-134.71M,38.63M,,,-12.13M,-108.20M,,127.55M,,-8.867M,-0.098M,-0.098M,-77.46M,,84.72M,-9.284M,,2014-09,2.59M,,-51.43M,-51.43M,-18.79M,-18.79M,0.245M,,-67.39M,,2014-09,1.171B,,1.222B,,2014-09,0.00,2.59M,-51.43M,,,,2014-09,Restated
2014-06,41.88M,,-1.287M,-1.287M,,9.962M,9.962M,32.94M,,8.275M,3.393M,,-181.05M,109.82M,,,-41.05M,-112.28M,,-17.11M,,-15.16M,0.075M,0.075M,0.00,,-26.58M,-40.46M,,2014-06,32.55M,,-53.61M,-53.61M,-19.09M,-19.09M,0.494M,,-39.65M,,2014-06,1.268B,,1.171B,,2014-06,,32.55M,-53.61M,,,,2014-06,Restated
2014-03,74.82M,,-1.138M,7.446M,,8.942M,8.942M,52.09M,,8.522M,3.256M,,-68.81M,-84.15M,,,89.28M,-63.68M,,91.40M,,-17.86M,0.023M,0.023M,-0.009M,,-8.381M,-19.85M,,2014-03,-319.84M,,-50.10M,-50.10M,-19.06M,-19.06M,5.295M,,-383.72M,,2014-03,1.580B,,1.268B,,2014-03,,-319.84M,-50.10M,,,,2014-03,Restated
2013-12,220.05M,,-1.411M,-1.411M,,8.453M,8.453M,12.33M,,8.91M,-2.02M,,176.02M,-105.84M,,,0.013M,70.20M,,326.19M,,-10.54M,-0.009M,-0.009M,1.057M,,-18.19M,-27.89M,,2013-12,-12.04M,,-37.72M,-37.72M,-19.06M,-19.06M,0.862M,,-67.96M,,2013-12,1.350B,,1.580B,,2013-12,,-12.04M,-37.72M,,,,2013-12,Restated
2013-09,2.282B,,-0.39M,3.468M,,8.05M,8.05M,-2.109B,,5.805M,3.328M,,56.12M,26.37M,,,-56.38M,26.11M,,219.88M,,-7.337M,0.00,0.00,-0.25M,,-3.129M,-10.72M,,2013-09,30.96M,,-83.49M,-83.49M,-19.32M,-19.32M,0.005M,,-71.84M,,2013-09,1.213B,,1.350B,,2013-09,,30.96M,-83.49M,,-2.309M,,2013-09,Restated
2013-06,36.42M,,0.638M,23.71M,,7.745M,7.745M,0.00,,8.624M,5.951M,,-66.84M,80.04M,,,-31.20M,-18.00M,,64.44M,,-5.639M,-0.05M,-0.05M,-0.214M,,-0.283M,-6.186M,,2013-06,-449.50M,,-0.02M,-0.02M,0.00,0.00,11.01M,,-438.52M,,2013-06,1.593B,,1.213B,,2013-06,,-449.50M,-0.02M,,2.309M,,2013-06,Restated
2013-03,81.76M,,1.163M,1.163M,,7.339M,7.339M,0.00,,7.141M,3.035M,,99.76M,-10.80M,,,81.22M,170.18M,,270.62M,,-5.378M,0.059M,0.059M,-0.593M,,4.523M,-1.189M,,2013-03,-82.38M,,-6.427M,-6.427M,0.00,0.00,7.537M,,-81.27M,,2013-03,1.405B,,1.593B,,2013-03,,-82.38M,-6.427M,,,,2013-03,Restated
2012-12,58.74M,,0.042M,32.11M,,7.749M,7.749M,0.00,4.572M,8.529M,5.102M,,294.25M,-46.44M,,,-25.70M,222.10M,,338.91M,,-3.345M,2.881M,2.881M,-15.19M,,2.657M,-12.66M,,2012-12,-490.51M,,0.00,0.00,0.00,0.00,5.377M,,-485.14M,,2012-12,1.564B,,1.405B,,2012-12,35.80M,-526.31M,0.00,,,,2012-12,Restated
2012-09,116.63M,,1.157M,1.157M,,7.45M,7.45M,0.00,3.405M,5.482M,4.404M,,88.75M,24.84M,,,-42.43M,71.16M,,209.69M,,-3.60M,0.078M,0.078M,-0.408M,,9.925M,5.995M,,2012-09,10.11M,,-0.053M,-0.053M,0.00,0.00,27.43M,,37.49M,,2012-09,1.310B,,1.564B,,2012-09,102.60M,-92.49M,-0.053M,,,,2012-09,Restated
2012-06,42.44M,,0.708M,0.708M,,7.435M,7.435M,,3.322M,5.167M,0.429M,,26.25M,60.59M,,,-49.49M,37.35M,,96.85M,,-3.239M,0.152M,0.152M,-0.809M,,4.676M,3.476M,,2012-06,-1.52M,,-0.063M,-0.063M,,,0.00,,-1.583M,,2012-06,1.212B,,1.310B,,2012-06,-1.52M,,-0.063M,,,,2012-06,Restated
2012-03,-11.67M,,1.522M,1.522M,,7.393M,7.393M,,5.896M,3.719M,0.421M,,45.97M,-22.63M,,,84.06M,107.40M,,114.69M,,-3.758M,4.475M,4.475M,-0.049M,,12.23M,12.90M,,2012-03,1.92M,,-0.845M,-0.845M,,,0.00,,1.075M,,2012-03,1.083B,,1.212B,,2012-03,1.92M,,-0.845M,,,,2012-03,Restated
2011-12,13.82M,,0.744M,2.845M,,7.469M,7.469M,,24.37M,2.526M,9.447M,,229.12M,-107.58M,,,-4.776M,116.77M,,177.24M,,-6.076M,1.106M,1.106M,,3.30M,2.123M,0.381M,,2011-12,-252.78M,,-0.815M,-0.815M,,,,,-253.60M,,2011-12,1.159B,,1.083B,,2011-12,0.00,-321.13M,-0.815M,-5.665M,-29.46M,,2011-12,Restated
2011-09,-224.21M,,4.905M,4.905M,,7.656M,7.656M,,251.96M,3.039M,89.01M,,6.733M,-69.21M,,,-10.52M,-73.00M,,59.36M,,-4.314M,0.271M,0.271M,,-4.491M,18.94M,10.41M,,2011-09,0.48M,0.00,-0.065M,-0.065M,,,,,0.415M,,2011-09,1.089B,,1.159B,,2011-09,0.00,68.83M,-0.065M,1.814M,23.54M,,2011-09,Restated
2011-06,,,-1.164M,2.373M,,8.003M,8.003M,,,5.895M,-48.25M,,-170.65M,23.88M,,,9.057M,-137.71M,,-169.69M,,-4.72M,6.737M,6.737M,,1.883M,5.727M,9.627M,,2011-06,-55.52M,,-0.987M,-0.987M,,,,,-56.51M,,2011-06,1.305B,,1.089B,,2011-06,,-55.52M,-0.987M,0.929M,-17.92M,,2011-06,Restated
2011-03,,,-0.698M,-0.698M,,8.97M,8.97M,,,5.51M,-38.02M,,-10.32M,-127.63M,,,112.54M,-25.40M,,-49.64M,,-6.128M,2.441M,2.441M,,-0.692M,-109.67M,-114.05M,,2011-03,-13.31M,,-0.969M,-0.969M,,,,,-14.28M,,2011-03,1.483B,,1.305B,,2011-03,,-13.31M,-0.969M,2.922M,23.83M,,2011-03,Restated
2010-12,-1.097B,,0.814M,39.73M,,10.73M,10.73M,,214.44M,4.601M,844.63M,-818.00M,36.87M,-321.39M,,,878.65M,-223.87M,,-206.46M,,-3.532M,0.54M,0.54M,,12.77M,8.71M,-0.173M,,2010-12,-934.50M,-8.668M,-0.908M,-9.576M,,,,,-935.41M,,2010-12,2.623B,,1.483B,,2010-12,18.39M,-952.90M,-0.908M,-884.60M,5.496M,,2010-12,Restated
2010-09,,,5.22M,5.22M,,10.57M,10.57M,,654.92M,11.00M,-933.35M,-50.55M,-96.07M,234.97M,,,111.81M,200.16M,,-51.48M,,-2.949M,0.172M,0.172M,,7.382M,0.20M,4.805M,,2010-09,-75.35M,0.051M,-1.366M,-1.315M,,,,,-76.67M,,2010-09,2.747B,,2.623B,,2010-09,-75.40M,0.049M,-1.366M,-5.507M,8.459M,,2010-09,Restated
2010-06,12.49M,,-3.527M,-3.527M,,11.47M,11.47M,,1.375M,8.376M,92.67M,104.54M,130.90M,-88.74M,,,-97.07M,49.64M,,172.50M,,-5.373M,0.592M,0.592M,,-19.50M,0.851M,-23.43M,,2010-06,15.42M,0.528M,-0.052M,0.476M,,,,,15.90M,,2010-06,2.582B,,2.747B,,2010-06,16.76M,-1.334M,-0.052M,103.88M,-6.575M,,2010-06,Restated
2010-03,-12.49M,,0.094M,0.094M,,12.89M,12.89M,,,8.109M,7.586M,764.01M,-100.46M,-78.87M,,,76.70M,661.38M,,677.57M,,-3.325M,0.476M,0.476M,,-0.654M,2.842M,-0.661M,,2010-03,40.12M,8.089M,-1.697M,6.392M,,,,,46.51M,,2010-03,1.858B,,2.582B,,2010-03,40.25M,-0.13M,-1.697M,786.23M,10.99M,,2010-03,Restated
2009-12,-116.90M,-57.20M,49.67M,-7.43M,,14.90M,14.90M,,1.482B,10.74M,-638.36M,-916.10M,453.50M,-55.29M,-10.46M,,144.47M,-383.89M,,398.84M,,-13.79M,0.504M,0.504M,0.00,-13.81M,,-18.49M,,2009-12,172.97M,2.177M,-0.929M,1.248M,,,,,-48.01M,,2009-12,1.517B,-0.57M,1.860B,,2009-12,,172.97M,-0.929M,-5.674M,16.06M,,2009-12,Restated
2009-09,-361.39M,4.17M,0.786M,52.36M,,14.54M,14.54M,,0.00,18.70M,163.99M,-3.219M,-92.23M,34.23M,10.46M,,93.11M,42.35M,,-69.44M,,-3.138M,0.435M,0.435M,1.749B,-2.158M,,1.744B,,2009-09,-1.790B,2.014M,-4.85M,-2.836M,,,,,-1.793B,,2009-09,1.636B,-1.09M,1.517B,,2009-09,,-1.790B,-4.85M,-1.167M,22.57M,,2009-09,Restated
2009-06,-189.46M,53.03M,-50.43M,-13.30M,,11.82M,11.82M,,0.00,8.413M,115.42M,2.62M,78.86M,23.15M,0.00,,71.68M,176.31M,,109.20M,,-2.596M,0.566M,0.566M,,-2.05M,,-4.08M,,2009-06,-217.18M,0.127M,-0.058M,0.069M,,,,,-217.11M,,2009-06,1.746B,2.235M,1.636B,,2009-06,,-217.18M,-0.058M,1.463M,-15.46M,,2009-06,Restated
2009-03,-514.82M,,50.53M,50.53M,,12.98M,12.98M,,,8.485M,361.46M,363.91M,53.89M,-219.50M,0.00,,173.81M,372.12M,,290.75M,,-19.72M,0.546M,0.546M,,-8.324M,,-27.50M,,2009-03,-171.06M,0.464M,-1.547M,-1.083M,,,,,-172.14M,,2009-03,1.655B,-0.575M,1.746B,,2009-03,,-171.06M,-1.547M,362.57M,19.20M,,2009-03,Restated
2008-12,-338.16M,,13.96M,13.96M,,16.44M,16.44M,248.20M,,3.545M,368.79M,-341.82M,547.16M,-163.62M,0.00,,96.94M,138.66M,,457.08M,,-4.371M,0.411M,0.411M,0.00,-0.949M,,-4.909M,,2008-12,40.38M,2.676M,-1.236M,1.44M,,-10.27M,,,31.56M,,2008-12,1.174B,-2.353M,1.655B,,2008-12,,40.38M,-1.236M,10.96M,-18.88M,,2008-12,Restated
2008-09,-280.39M,,-0.857M,-0.854M,,18.71M,18.71M,-78.64M,,10.48M,264.95M,25.96M,217.10M,-1.882M,0.00,,98.53M,339.71M,,273.97M,,-3.063M,0.396M,0.396M,0.00,-5.834M,,-8.501M,,2008-09,-70.10M,1.284M,-0.408M,0.876M,,-10.29M,,,-79.52M,,2008-09,988.34M,-0.404M,1.174B,,2008-09,,-70.10M,-0.408M,2.63M,19.25M,,2008-09,Restated
2008-06,-854.56M,,7.877M,4.697M,,19.11M,19.11M,-63.66M,,12.73M,914.52M,0.037M,238.92M,-3.034M,,,0.722M,236.65M,,269.49M,,-6.181M,1.708M,1.708M,,-28.49M,,-33.78M,,2008-06,-309.34M,0.136M,0.00,0.136M,,-10.26M,,,-319.46M,,2008-06,1.071B,0.929M,988.34M,,2008-06,,-309.34M,0.00,-2.087M,-13.57M,,2008-06,Restated
2008-03,,,-3.746M,1.025M,,19.72M,19.72M,,,12.35M,-33.13M,205.42M,111.50M,-292.40M,,,195.37M,219.89M,,219.85M,,-5.263M,2.799M,2.799M,,-7.11M,,-8.755M,,2008-03,-186.76M,0.447M,-3.616M,-3.169M,,-10.30M,,,-200.23M,,2008-03,1.060B,-0.013M,1.071B,,2008-03,,-186.76M,-3.616M,183.16M,23.20M,,2008-03,Restated
2007-12,-874.66M,,,78.78M,19.74M,19.74M,19.74M,596.30M,,,479.66M,,922.54M,-154.08M,,-1.283M,-173.42M,593.76M,,893.59M,,-15.72M,10.08M,-5.639M,,-1.734M,-42.80M,-50.17M,,2007-12,126.93M,1.982M,-1.02M,0.962M,,-10.28M,,-2.474M,115.13M,,2007-12,101.79M,-0.019M,1.060B,,2007-12,,,-1.02M,,,,2007-12,
2007-09,-787.87M,,,50.74M,20.84M,20.84M,20.84M,-262.00M,,,1.144B,,219.58M,-106.91M,,127.52M,-88.45M,151.73M,,317.44M,,-21.79M,4.518M,-17.27M,,-60.64M,0.233M,-77.67M,,2007-09,-202.10M,0.26M,-0.112M,0.148M,,-10.24M,,-0.417M,-212.61M,,2007-09,74.65M,-0.024M,101.79M,,2007-09,,,-0.112M,,,,2007-09,
2007-06,-507.55M,,,63.46M,21.61M,21.61M,21.61M,-268.78M,,,710.69M,,-334.87M,156.78M,,-33.15M,-3.093M,-214.33M,,-194.91M,,-16.30M,2.748M,-13.55M,,-13.28M,26.94M,0.104M,,2007-06,159.95M,3.178M,-0.351M,2.827M,,-10.23M,,-0.033M,152.51M,,2007-06,116.95M,0.00,74.65M,,2007-06,,,-0.351M,,,,2007-06,
2007-03,-85.67M,,,1.478M,21.66M,21.66M,21.66M,7.644M,,,151.29M,,-184.89M,-292.34M,,-72.50M,655.46M,105.74M,,202.14M,,-16.31M,2.419M,-13.89M,,-81.68M,1.899M,-93.68M,,2007-03,-533.56M,2.442M,-4.762M,-2.32M,,-10.24M,,3.447M,-542.67M,,2007-03,551.29M,-0.136M,116.95M,,2007-03,,,-4.762M,,,,2007-03,
2006-12,-8.412M,,,94.78M,25.17M,25.17M,25.17M,-130.72M,,,281.22M,,1.196B,-215.70M,,4.385M,-247.58M,737.14M,,999.18M,,-20.18M,12.14M,-8.04M,,78.82M,-37.46M,16.76M,,2006-12,-553.24M,3.526M,-2.799M,0.727M,,-10.19M,,4.025M,-558.67M,,2006-12,94.63M,-0.61M,551.29M,,2006-12,,,-2.799M,,,,2006-12,
2006-09,190.22M,,,-0.354M,20.52M,20.52M,20.52M,-27.06M,,,108.32M,,-243.99M,-101.33M,,-43.60M,-115.98M,-504.90M,,-213.25M,,-24.05M,6.415M,-17.64M,,-32.30M,6.125M,-43.82M,,2006-09,274.18M,1.372M,-19.88M,-18.51M,,-10.20M,,0.877M,246.35M,,2006-09,104.46M,0.892M,94.63M,,2006-09,,,-19.88M,,,,2006-09,
2006-06,243.02M,,,-11.19M,19.62M,19.62M,19.62M,-18.97M,,,100.80M,,-1.014B,101.42M,,-134.45M,56.47M,-990.21M,,-656.92M,,-39.13M,0.259M,-38.87M,,-7.237M,29.61M,-16.50M,,2006-06,716.08M,1.124M,-49.91M,-48.79M,,-10.22M,,1.794M,657.46M,,2006-06,121.01M,-0.596M,104.46M,,2006-06,,,-49.91M,,,,2006-06,
2006-03,262.64M,,,-13.74M,18.36M,18.36M,18.36M,18.92M,,,,,-1.090B,-165.37M,,,573.02M,-682.72M,,-396.53M,,-15.26M,0.275M,-14.99M,,-30.07M,1.725M,-43.33M,,2006-03,-385.07M,2.328M,-49.70M,-47.37M,,-10.27M,,,-441.32M,,2006-03,1.002B,-0.071M,121.01M,,2006-03,,,-49.70M,,,,2006-03,
2005-12,574.54M,,,90.72M,16.70M,16.70M,16.70M,19.67M,,,-53.26M,,317.98M,51.47M,,6.88M,-29.96M,-130.40M,,517.98M,,-27.81M,145.20M,117.38M,,130.90M,-189.07M,59.21M,,2005-12,322.39M,5.417M,-102.18M,-96.76M,,-10.13M,,,215.50M,,2005-12,209.44M,0.139M,1.002B,,2005-12,,,-102.18M,,,,2005-12,
2005-09,395.42M,,,-19.89M,44.81M,16.11M,16.11M,-11.00M,,,23.56M,,-697.86M,224.74M,,59.72M,-149.14M,-562.55M,,-158.34M,,-23.41M,-11.09M,-34.50M,,-162.07M,135.16M,-61.41M,,2005-09,13.15M,2.66M,-19.95M,-17.29M,,-10.46M,,,-14.60M,,2005-09,443.80M,-0.016M,209.44M,,2005-09,,,-19.95M,,,,2005-09,
