,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2008-03,1.071B,,1.071B,,,,,,,,6.180B,,,,,7.251B,0.00,19.51M,,19.51M,,19.51M,,,,,,,105.91M,1.671B,,2008-03,360.57M,,,360.57M,1.085B,1.446B,257.14M,257.14M,,,,108.10M,1.811B,,3.479B,,3.479B,,,,3.612B,5.423B,,2008-03,2.574M,-0.094M,-3.342M,-3.436M,3.624B,,2008-03,,Restated
2007-12,1.060B,,1.060B,118.19M,,263.16M,381.35M,,5.772B,1.064B,6.836B,143.23M,,,,8.421B,0.00,464.80M,341.03M,805.83M,-217.10M,588.73M,5.654M,110.70M,116.36M,,,,105.91M,993.88M,,2007-12,418.64M,,,418.64M,75.78M,494.42M,440.61M,440.61M,,,,126.76M,1.062B,,3.478B,,3.478B,,,,4.844B,5.906B,,2007-12,2.571M,-0.451M,-4.432M,-4.883M,4.320B,,2007-12,,
2007-09,101.79M,,101.79M,,,,,,,,8.131B,,,,,8.233B,,,,,,,40.07M,112.77M,152.84M,,,,702.21M,1.845B,,2007-09,560.90M,,,560.90M,1.051B,1.612B,311.08M,311.08M,,,,128.04M,2.051B,,3.478B,,3.478B,,,,3.693B,5.744B,,2007-09,2.559M,-0.445M,-3.576M,-4.021M,5.189B,,2007-09,,
2007-06,74.65M,,74.65M,,,,,,,,9.089B,,,,,9.164B,,,,,,,375.68M,114.83M,490.51M,,,,440.21M,1.857B,,2007-06,609.80M,,,609.80M,1.115B,1.725B,506.07M,506.07M,,,,273.10M,2.504B,,3.478B,,3.478B,,,,3.478B,5.981B,,2007-06,2.559M,-0.167M,-3.473M,-3.64M,5.970B,,2007-06,,
2007-03,116.95M,,116.95M,,,,,,,,9.423B,,,,,9.540B,,,,,,,375.68M,116.89M,492.57M,,,,171.43M,1.947B,,2007-03,586.12M,,,586.12M,995.13M,1.581B,286.59M,286.59M,,,,275.36M,2.143B,,3.538B,,3.538B,,,,3.538B,5.681B,,2007-03,2.56M,-0.471M,-3.364M,-3.835M,6.470B,,2007-03,,
2006-12,551.29M,,551.29M,,,,,,,,9.374B,,,,,9.926B,0.00,43.61M,,43.61M,,43.61M,375.68M,118.95M,494.63M,,,,170.52M,2.542B,,2006-12,576.32M,,,576.32M,1.404B,1.980B,814.71M,814.71M,,,,66.27M,2.861B,,3.538B,,3.538B,,,,3.738B,6.600B,,2006-12,2.553M,-0.316M,-2.67M,-2.986M,6.577B,,2006-12,,
2006-09,94.63M,,94.63M,,,,,,,,10.83B,,,,84.78M,11.01B,0.00,506.52M,,506.52M,,506.52M,377.04M,121.02M,498.06M,,,,,1.905B,,2006-09,883.22M,,,883.22M,1.238B,2.121B,1.288B,1.288B,,,,402.11M,3.811B,,3.538B,,3.538B,,,,3.538B,7.349B,,2006-09,2.546M,,,-4.131M,6.567B,,2006-09,,
2006-06,104.46M,,104.46M,,,,,,,,10.68B,,,,54.79M,10.84B,0.00,459.34M,,459.34M,,459.34M,377.04M,123.08M,500.12M,,,,,1.829B,,2006-06,938.72M,,,938.72M,1.157B,2.096B,1.092B,1.092B,,,,504.77M,3.692B,,3.537B,,3.537B,9.479M,9.479M,,3.547B,7.239B,,2006-06,2.55M,,,-4.045M,6.385B,,2006-06,,
2006-03,121.01M,,121.01M,,,,,,,,9.791B,,,,,9.912B,0.00,373.90M,,373.90M,,373.90M,375.94M,125.14M,501.08M,,,,,1.916B,,2006-03,876.86M,,,876.86M,1.170B,2.047B,471.52M,471.52M,,,,586.47M,3.105B,,3.387B,,3.387B,28.05M,28.05M,,3.415B,6.520B,,2006-03,2.566M,,,-3.316M,6.183B,,2006-03,,
2005-12,1.002B,,1.002B,,,,,,,,8.756B,,,,,9.758B,0.00,334.40M,,334.40M,,334.40M,307.69M,127.20M,434.90M,,,,12.69M,2.521B,,2005-12,789.40M,,,789.40M,1.403B,2.192B,893.00M,893.00M,,,,239.93M,3.325B,,3.387B,,3.387B,,,,3.779B,7.104B,,2005-12,2.57M,,,-5.496M,5.957B,,2005-12,,
2005-09,214.90M,,214.90M,,,,,,,,9.380B,,,,,9.594B,0.00,275.00M,,275.00M,,275.00M,,442.24M,442.24M,,,,,1.972B,,2005-09,2.148B,,,2.148B,,2.148B,461.74M,461.74M,,,,,2.609B,,3.511B,,3.511B,,,,4.207B,6.816B,,2005-09,2.585M,,,-9.822M,5.467B,,2005-09,,
2005-06,450.77M,,450.77M,,,,,,,,8.704B,,,,,9.154B,0.00,292.36M,,292.36M,,292.36M,,444.30M,444.30M,,,,,1.740B,,2005-06,1.942B,,,1.942B,,1.942B,455.84M,455.84M,,,,,2.398B,,3.511B,,3.511B,,,,4.149B,6.547B,,2005-06,1.292M,,,-10.54M,5.084B,,2005-06,,
2005-03,350.72M,,350.72M,,,,,,,,8.091B,,,,,8.442B,0.00,360.10M,,360.10M,,360.10M,,441.08M,441.08M,,,,,1.658B,,2005-03,1.780B,,,1.780B,,1.780B,338.67M,338.67M,,,,,2.119B,,3.510B,,3.510B,,,,4.012B,6.131B,,2005-03,1.29M,,,-12.68M,4.770B,,2005-03,,
2004-12,314.63M,,314.63M,,,,,,,,7.391B,,,,,7.705B,0.00,337.12M,,337.12M,,337.12M,,443.15M,443.15M,,,,,1.921B,,2004-12,1.862B,,,1.862B,,1.862B,617.42M,617.42M,,,,,2.479B,,2.862B,,2.862B,,,,3.405B,5.885B,,2004-12,1.279M,,,-14.42M,4.522B,,2004-12,,
2004-09,116.41M,,116.41M,,,,,,,,7.727B,,,,,7.843B,0.00,407.46M,,407.46M,,407.46M,,445.21M,445.21M,,,,,1.391B,,2004-09,2.134B,,,2.134B,,2.134B,854.34M,854.34M,,,,,2.989B,,2.861B,,2.861B,13.03M,13.03M,,2.996B,5.984B,,2004-09,1.276M,,,-40.69M,4.103B,,2004-09,,
2004-06,90.32M,,90.32M,,,,,,,,6.801B,,,,,6.891B,,,,,,,,447.27M,447.27M,,,,,1.607B,,2004-06,2.007B,,,2.007B,,2.007B,417.22M,417.22M,,109.16M,109.16M,,2.534B,,2.574B,,2.574B,25.75M,25.75M,,2.600B,5.133B,,2004-06,1.269M,,,-41.50M,3.811B,,2004-06,,
2004-03,464.41M,,464.41M,,,,,,,,6.009B,,,,,6.474B,,,,,,,,449.34M,449.34M,,,,,1.431B,,2004-03,1.822B,,,1.822B,,1.822B,255.74M,255.74M,,38.28M,38.28M,,2.116B,,2.574B,,2.574B,39.98M,39.98M,,2.614B,4.729B,,2004-03,1.268M,,,-37.14M,3.625B,,2004-03,,
2003-12,401.88M,,401.88M,,,,,,,,5.511B,,,,,5.913B,,,,,,,,451.40M,451.40M,,,,8.799M,1.699B,,2003-12,452.65M,,,452.65M,1.071B,1.524B,479.29M,479.29M,,18.02M,18.02M,372.51M,2.394B,,2.151B,,2.151B,,,,2.230B,4.624B,,2003-12,1.252M,,,-39.80M,3.448B,,2003-12,,
2003-09,312.15M,,312.15M,,,,,,,,5.474B,,,,,5.786B,0.00,62.32M,,62.32M,,62.32M,,453.46M,453.46M,,,,41.58M,1.531B,,2003-09,1.871B,,,1.871B,,1.871B,468.07M,468.07M,,,,,2.339B,,2.254B,,2.254B,,,,2.382B,4.721B,,2003-09,0.616M,,,-42.45M,3.153B,,2003-09,,
2003-06,391.09M,,391.09M,,,,,,,,5.018B,,,,,5.409B,0.00,60.00M,,60.00M,,60.00M,,455.52M,455.52M,,,,,1.404B,,2003-06,1.638B,,,1.638B,,1.638B,381.36M,381.36M,,,,,2.019B,,2.270B,,2.270B,,,,2.326B,4.345B,,2003-06,0.616M,,,-38.06M,2.984B,,2003-06,,
2003-03,479.58M,,479.58M,,,,,,,,4.604B,,,,49.75M,5.134B,,,,,,,,457.58M,457.58M,,,,4.948M,1.207B,,2003-03,1.377B,,,1.377B,,1.377B,343.72M,343.72M,,,,41.68M,1.762B,,2.210B,,2.210B,,,,2.210B,3.972B,,2003-03,0.611M,,,-45.92M,2.831B,,2003-03,,
2002-12,613.17M,,613.17M,,,,,,,,4.294B,,,,,4.907B,,,,,,,,459.65M,459.65M,,,,11.74M,1.494B,,2002-12,376.65M,,,376.65M,906.29M,1.283B,559.62M,559.62M,,,,265.82M,2.108B,,1.913B,,1.913B,,,,2.003B,4.112B,,2002-12,1.222M,,,-45.24M,2.760B,,2002-12,,
2002-09,212.08M,,212.08M,,,,,,,,4.439B,,,,,4.651B,,,,,,,,461.18M,461.18M,,,,51.35M,1.155B,,2002-09,1.425B,,,1.425B,,1.425B,301.70M,301.70M,,,,,1.727B,,1.918B,,1.918B,,,,1.999B,3.726B,,2002-09,0.612M,,,-45.09M,2.593B,,2002-09,,
2002-06,212.77M,,212.77M,,,,,,,,4.245B,,,,,4.458B,,,,,,,,463.22M,463.22M,,,,57.78M,1.128B,,2002-06,1.329B,,,1.329B,,1.329B,272.92M,272.92M,,,,,1.602B,,1.949B,,1.949B,,,,2.037B,3.639B,,2002-06,0.611M,,,-43.36M,2.468B,,2002-06,,
2002-03,59.77M,,59.77M,,,,,,,,3.972B,,,,,4.032B,,,,,,,,465.26M,465.26M,,,,40.49M,1.070B,,2002-03,1.099B,,,1.099B,,1.099B,386.26M,386.26M,,,,,1.486B,,1.723B,,1.723B,,,,1.746B,3.232B,,2002-03,0.607M,,,-35.04M,2.376B,,2002-03,,
2001-12,72.14M,,72.14M,,,,,,,,3.834B,,,,,3.906B,,,,,,,,467.30M,467.30M,,,,67.02M,1.271B,,2001-12,333.84M,,,333.84M,618.26M,952.11M,523.68M,523.68M,,,,200.21M,1.676B,,1.723B,,1.723B,,,,1.758B,3.434B,,2001-12,0.592M,,,-17.83M,2.277B,,2001-12,,
2001-09,59.75M,,59.75M,,,,,,,,4.002B,,,,,4.062B,,,,,,,,450.86M,450.86M,,,,23.70M,1.185B,,2001-09,1.253B,,,1.253B,,1.253B,337.80M,337.80M,,,,,1.590B,,1.895B,,1.895B,,,,1.961B,3.551B,,2001-09,0.439M,,,-2.409M,2.170B,,2001-09,,
2001-06,101.80M,,101.80M,,,,,,,,2.290B,,,,,2.392B,,,,,,,,,,,,,44.74M,791.18M,,2001-06,750.99M,,,750.99M,,750.99M,196.19M,196.19M,,,,,947.17M,,884.92M,,884.92M,,,,921.02M,1.868B,,2001-06,0.422M,,,-2.781M,1.359B,,2001-06,,
2001-03,199.34M,,199.34M,,,,,,,,2.049B,,,,,2.249B,,,,,,,,,,,,,42.76M,751.56M,,2001-03,650.46M,,,650.46M,,650.46M,209.83M,209.83M,,,,,860.29M,,886.24M,,886.24M,,,,887.01M,1.747B,,2001-03,0.421M,,,-5.779M,1.296B,,2001-03,,
2000-12,183.98M,,183.98M,,,,,,,,1.897B,,,,,2.081B,,,,,,,30.45M,,30.45M,,,,56.57M,718.62M,,2000-12,220.92M,,,220.92M,487.26M,708.18M,242.60M,242.60M,,,,,950.78M,,677.60M,,677.60M,,,,687.77M,1.639B,,2000-12,0.416M,,,0.185M,1.248B,,2000-12,,
2000-09,32.13M,,32.13M,,,,,,,,2.053B,,,,,2.085B,,,,,,,,,,,,,,,,2000-09,811.99M,,,811.99M,,811.99M,188.66M,188.66M,,,,,1.001B,,685.85M,,685.85M,,,,755.66M,1.756B,,2000-09,0.407M,,,0.238M,1.140B,,2000-09,,
2000-06,30.72M,,30.72M,,,,,,,,1.984B,,,,,2.014B,,,,,,,,,,,,,,,,2000-06,714.35M,,,714.35M,,714.35M,238.03M,238.03M,,,,,952.38M,,701.22M,,701.22M,,,,763.95M,1.716B,,2000-06,0.405M,,,-0.062M,1.107B,,2000-06,,
2000-03,38.86M,,38.86M,,,,,,,,1.993B,,,,,2.031B,,,,,,,,,,,,,,,,2000-03,658.82M,,,658.82M,,658.82M,357.09M,357.09M,,,,,1.016B,,524.64M,,524.64M,,,,581.91M,1.598B,,2000-03,0.421M,,,-0.286M,1.096B,,2000-03,,
1999-12,51.80M,,51.80M,,,,,,,,1.793B,,,,,1.844B,,,,,,,,,,,,,,,,1999-12,207.40M,,,207.40M,,207.40M,214.00M,214.00M,,,,,421.40M,,526.00M,,526.00M,,,,972.70M,1.394B,,1999-12,0.40M,,,-0.30M,1.093B,,1999-12,,
1999-09,30.60M,,30.60M,,,,,,,,1.879B,,,,,1.910B,,,,,,,,,,,,,,,,1999-09,702.00M,,,702.00M,,702.00M,313.60M,313.60M,,,,,1.016B,,518.40M,,518.40M,,,,579.40M,1.595B,,1999-09,,,,,1.024B,,1999-09,,
1999-06,25.40M,,25.40M,,,,,,,,1.724B,,,,,1.749B,,,,,,,,,,,,,,,,1999-06,622.50M,,,622.50M,,622.50M,259.40M,259.40M,,,,,881.90M,,540.90M,,540.90M,,,,605.50M,1.487B,,1999-06,,,,,980.20M,,1999-06,,
1999-03,44.50M,,44.50M,,,,,,,,1.583B,,,,,1.627B,,,,,,,,,,,,,,,,1999-03,566.80M,,,566.80M,,566.80M,174.30M,174.30M,,,,,741.10M,,541.80M,,541.80M,,,,614.20M,1.355B,,1999-03,,,,,944.60M,,1999-03,,
1998-12,125.20M,,125.20M,,,,,,,,1.455B,,,,,1.580B,,,,,,,,,,,,,,,,1998-12,575.40M,,,575.40M,,575.40M,217.10M,217.10M,,,,,792.50M,,542.00M,,542.00M,,,,635.90M,1.428B,,1998-12,0.40M,,,1.10M,921.40M,,1998-12,,
1998-09,172.10M,,172.10M,,,,,,,,1.403B,,,,,1.575B,,,,,,,,,,,,,,,,1998-09,621.40M,,,621.40M,,621.40M,117.50M,117.50M,,,,,738.90M,,569.30M,,569.30M,,,,671.00M,1.410B,,1998-09,,,,,883.00M,,1998-09,,
1998-06,304.40M,,304.40M,,,,,,,,1.197B,,,,,1.501B,,,,,,,,,,,,,,,,1998-06,508.60M,,,508.60M,,508.60M,147.20M,147.20M,,,,,655.80M,,572.60M,,572.60M,,,,687.50M,1.343B,,1998-06,,,,,856.80M,,1998-06,,
