,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2001-07,2.192B,2.192B,1.500B,691.97M,,614.95M,69.25M,,,,,614.95M,77.02M,,,,69.25M,,126.55M,55.00M,71.55M,,,-11.30M,71.55M,85.38M,77.02M,,2001-07,0.17,0.0728,0.17,,2001-07,0.16,0.0647,0.16,,435.83M,0.075,,2001-07,,
2001-04,2.127B,2.127B,1.456B,670.55M,,607.79M,5.906M,,,,,607.79M,62.76M,,,,5.906M,,54.69M,24.00M,30.69M,,,-5.685M,30.69M,65.32M,62.76M,,2001-04,0.07,0.0619,0.07,,2001-04,0.07,0.0619,0.07,,438.44M,0.075,,2001-04,,
2001-01,2.539B,2.539B,1.734B,805.60M,,543.23M,-61.22M,,,,,358.30M,447.29M,,,,-61.22M,,386.25M,169.00M,217.25M,,,-35.33M,238.25M,76.07M,447.29M,,2001-01,0.51,0.5810,0.51,,2001-01,0.49,0.5570,0.49,,548.42M,0.075,,2001-01,,
2000-10,2.169B,2.169B,1.365B,804.18M,,637.96M,6.85M,,,,,702.06M,102.12M,,,,6.85M,,87.23M,38.00M,49.23M,,,-6.911M,49.23M,62.17M,102.12M,,2000-10,0.12,0.1103,0.12,,2000-10,0.11,0.1007,0.11,,441.37M,0.075,,2000-10,,
2000-07,2.289B,2.289B,1.547B,742.42M,,585.34M,11.06M,,,,,585.34M,157.07M,,,,11.06M,,139.57M,62.00M,77.57M,,,-15.90M,77.57M,68.10M,157.07M,,2000-07,0.18,0.1645,0.18,,2000-07,0.17,0.1551,0.17,,446.23M,0.075,,2000-07,,
2000-04,2.125B,2.125B,1.427B,698.05M,,571.00M,9.77M,,,,,571.00M,127.05M,,,,9.77M,,111.95M,49.00M,62.95M,,,-10.86M,62.95M,64.66M,127.05M,,2000-04,0.15,0.1364,0.15,,2000-04,0.14,0.1268,0.14,,445.31M,0.075,,2000-04,,
2000-01,3.329B,3.329B,2.014B,1.315B,,638.10M,40.60M,,,,,701.80M,613.40M,,,,40.60M,,587.30M,253.00M,334.30M,,,-46.00M,334.30M,63.70M,613.40M,,2000-01,0.69,0.6473,0.69,,2000-01,0.66,0.6176,0.66,,575.02M,0.075,,2000-01,,
1999-10,2.064B,2.064B,1.322B,742.10M,,585.10M,20.70M,,,,,649.60M,92.50M,,,,20.70M,,86.70M,46.00M,40.70M,,,-6.00M,40.70M,64.50M,92.50M,,1999-10,0.10,0.0695,0.10,,1999-10,0.09,0.0625,0.09,,452.22M,0.075,,1999-10,,
1999-07,2.268B,2.268B,1.466B,802.10M,,602.10M,-0.60M,,,,,670.50M,131.60M,,,,-0.60M,,97.40M,45.00M,52.40M,,,-13.60M,52.40M,68.40M,131.60M,,1999-07,0.12,0.1208,0.12,,1999-07,0.11,0.1108,0.11,,460.45M,0.075,,1999-07,,
1999-04,2.105B,2.105B,1.369B,735.60M,,590.80M,15.30M,,,,,666.20M,69.40M,,,,15.30M,,60.50M,27.00M,33.50M,,,-7.40M,33.50M,75.40M,69.40M,,1999-04,0.08,0.0581,0.08,,1999-04,0.07,0.0508,0.07,,478.57M,0.075,,1999-04,,
1999-01,3.274B,3.274B,2.080B,1.194B,,651.90M,15.60M,,,,,723.80M,470.10M,,,,15.60M,,429.30M,186.00M,243.30M,,,-36.90M,243.30M,71.90M,470.10M,,1999-01,0.58,0.5593,0.58,,1999-01,0.56,0.5399,0.56,,465.68M,0.065,,1999-01,,
1998-10,2.000B,2.000B,1.313B,686.50M,,535.80M,12.60M,,,,,605.50M,81.00M,,,,12.60M,,70.40M,31.00M,39.40M,,,-6.10M,39.40M,69.70M,81.00M,,1998-10,0.09,0.0727,0.09,,1998-10,0.09,0.0727,0.09,,437.78M,0.065,,1998-10,,
1998-07,2.083B,2.083B,1.399B,684.40M,,538.30M,1.667B,,,,,608.00M,76.40M,,,,1.667B,,1.714B,30.00M,1.684B,,,-12.60M,1.684B,69.70M,76.40M,,1998-07,3.57,0.0985,3.57,,1998-07,3.47,0.0957,3.47,,485.39M,0.065,,1998-07,,
