,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2007-10,218.00M,,218.00M,462.00M,462.00M,161.00M,1.631B,1.792B,,320.00M,2.792B,,,,,,,,3.746B,-1.893B,1.853B,1.759B,696.00M,2.455B,,236.00M,4.544B,7.336B,,2007-10,,673.00M,763.00M,1.436B,,,,,,,,,14.00M,1.45B,2.908B,,2.908B,126.00M,126.00M,61.00M,714.00M,3.748B,2007-10,262.00M,4.423B,1.551B,4.202B,43.00M,2.077B,,2007-10,,
2007-07,1.193B,,1.193B,275.00M,275.00M,232.00M,1.236B,1.468B,,286.00M,3.222B,,,,,,,,3.596B,-1.866B,1.73B,1.714B,672.00M,2.386B,,234.00M,4.35B,7.572B,,2007-07,,611.00M,697.00M,1.308B,,,,,,,,,151.00M,1.459B,2.908B,,2.908B,103.00M,103.00M,62.00M,629.00M,3.64B,2007-07,262.00M,4.465B,1.549B,3.881B,16.00M,2.411B,,2007-07,,
2007-04,194.00M,,194.00M,155.00M,155.00M,,,1.816B,,405.00M,2.57B,,,,,,,,4.352B,-2.407B,1.945B,1.724B,652.00M,2.376B,,143.00M,4.464B,7.034B,,2007-04,,476.00M,716.00M,1.192B,,,256.00M,,256.00M,,,,19.00M,1.467B,1.665B,,1.665B,141.00M,141.00M,76.00M,674.00M,2.48B,2007-04,262.00M,4.26B,1.548B,3.073B,14.00M,3.011B,,2007-04,,
2007-01,500.00M,,500.00M,176.00M,176.00M,,,1.77B,,325.00M,2.771B,0.00,51.00M,1.671B,2.366B,,219.00M,,4.307B,-2.445B,1.862B,1.676B,642.00M,2.318B,,142.00M,4.322B,7.093B,,2007-01,,593.00M,301.00M,894.00M,,,8.00M,,8.00M,273.00M,273.00M,,534.00M,1.709B,1.665B,,1.665B,173.00M,173.00M,71.00M,520.00M,2.358B,2007-01,262.00M,4.277B,1.565B,3.132B,-17.00M,2.955B,,2007-01,,
2006-10,178.00M,,178.00M,178.00M,178.00M,,,2.175B,,361.00M,2.892B,,,,,,,,4.129B,-2.377B,1.752B,1.381B,441.00M,1.822B,,161.00M,3.735B,6.627B,,2006-10,,784.00M,704.00M,1.488B,,,232.00M,,232.00M,,,,39.00M,1.759B,1.666B,,1.666B,144.00M,144.00M,51.00M,470.00M,2.28B,2006-10,262.00M,3.893B,1.569B,3.187B,,2.537B,,2006-10,,
2006-07,651.00M,,651.00M,138.00M,138.00M,,,1.493B,,270.00M,2.552B,,,,,,,,4.062B,-2.37B,1.692B,1.358B,443.00M,1.801B,,144.00M,3.637B,6.189B,,2006-07,,594.00M,702.00M,1.296B,,,,,,,,,25.00M,1.321B,1.665B,,1.665B,156.00M,156.00M,33.00M,452.00M,2.273B,2006-07,262.00M,3.929B,1.572B,3.201B,,2.562B,,2006-07,,
2006-04,722.42M,,722.42M,126.80M,126.80M,,,1.353B,,247.22M,2.449B,,,,,,,,4.006B,-2.352B,1.655B,1.357B,445.48M,1.802B,,145.71M,3.602B,6.052B,,2006-04,,511.77M,671.73M,1.184B,,,,,,,,,61.86M,1.245B,1.669B,,1.669B,158.26M,158.26M,33.17M,441.64M,2.269B,2006-04,261.93M,3.875B,1.578B,3.211B,,2.504B,,2006-04,,
2006-01,1.208B,,1.208B,182.00M,182.00M,,,1.16B,,234.00M,2.784B,,,,,,,,3.998B,-2.383B,1.615B,1.357B,447.00M,1.804B,,143.00M,3.562B,6.346B,,2006-01,,535.00M,790.00M,1.325B,,,,,,,,,250.00M,1.575B,1.669B,,1.669B,146.00M,146.00M,33.00M,452.00M,2.267B,2006-01,262.00M,3.833B,1.597B,3.221B,,2.471B,,2006-01,,
2005-10,155.41M,,155.41M,170.79M,170.79M,,,1.613B,,309.01M,2.248B,,,,,,,,3.938B,-2.323B,1.615B,,1.803B,1.803B,,135.54M,3.554B,5.802B,,2005-10,,664.90M,677.94M,1.343B,,,,,,,,,21.56M,1.364B,1.647B,,1.647B,188.06M,188.06M,33.34M,462.06M,2.297B,2005-10,261.93M,3.335B,1.634B,3.124B,,2.107B,,2005-10,,
2005-07,719.10M,,719.10M,120.38M,120.38M,,,1.176B,,238.54M,2.254B,,,,,,,,3.871B,-2.313B,1.558B,,1.805B,1.805B,,142.96M,3.506B,5.760B,,2005-07,,518.96M,651.49M,1.170B,,,,,,,,,85.04M,1.255B,1.647B,,1.647B,177.19M,177.19M,32.78M,440.85M,2.265B,2005-07,261.93M,3.408B,1.637B,3.100B,,2.207B,,2005-07,,
2005-04,686.24M,,686.24M,123.27M,123.27M,,,1.188B,,248.30M,2.246B,,,,,,,,3.845B,-2.320B,1.525B,,1.799B,1.799B,,132.23M,3.456B,5.702B,,2005-04,,505.16M,615.97M,1.121B,,,,,,,,,51.64M,1.173B,1.647B,,1.647B,176.21M,176.21M,32.14M,437.81M,2.261B,2005-04,261.93M,3.354B,1.639B,3.019B,,2.236B,,2005-04,,
2005-01,1.161B,,1.161B,128.51M,128.51M,,,1.142B,,253.55M,2.684B,,,,,,,,3.782B,-2.298B,1.484B,,1.799B,1.799B,,120.79M,3.404B,6.089B,,2005-01,,495.54M,725.84M,1.221B,,,,,,,,,229.30M,1.451B,1.647B,,1.647B,176.82M,176.82M,32.50M,446.76M,2.270B,2005-01,261.93M,3.393B,1.649B,2.969B,,2.335B,,2005-01,,
2004-10,2.135B,,2.135B,134.58M,134.58M,,,1.562B,,252.49M,4.084B,,,,,,,,3.838B,-2.287B,1.551B,,1.747B,1.747B,,119.26M,3.417B,7.501B,,2004-10,,622.43M,625.72M,1.248B,,,,,,,,,73.64M,1.322B,1.146B,,1.146B,142.08M,142.08M,,430.93M,1.719B,2004-10,261.93M,3.558B,1.647B,1.007B,,4.460B,,2004-10,,
2004-07,2.100B,,2.100B,101.44M,101.44M,,,1.122B,,230.09M,3.553B,,,,,,,,3.801B,-2.285B,1.516B,,1.748B,1.748B,,127.81M,3.392B,6.946B,,2004-07,,542.97M,670.14M,1.213B,,,,,,,,,122.13M,1.335B,648.29M,,648.29M,134.37M,134.37M,,409.85M,1.193B,2004-07,261.93M,3.541B,1.670B,1.055B,,4.418B,,2004-07,,
2004-04,1.945B,,1.945B,123.11M,123.11M,,,1.003B,,231.09M,3.303B,,,,3.765B,,,,3.765B,-2.294B,1.471B,,1.750B,1.750B,,172.24M,3.394B,6.697B,,2004-04,,397.66M,621.18M,1.019B,,,,,,,,,101.11M,1.120B,648.26M,,648.26M,148.45M,148.45M,,411.52M,1.208B,2004-04,261.93M,3.451B,1.670B,1.015B,,4.368B,,2004-04,,
2004-01,3.13B,,3.13B,112.00M,112.00M,,,943.00M,,248.00M,4.433B,0.00,420.00M,1.09B,2.213B,,21.00M,,3.744B,-2.284B,1.46B,,1.752B,1.752B,,235.00M,3.447B,7.88B,,2004-01,,428.00M,681.00M,1.109B,,,,,,,,,279.00M,1.388B,648.00M,,648.00M,134.00M,134.00M,,444.00M,1.226B,2004-01,262.00M,3.417B,1.674B,87.00M,,5.266B,,2004-01,,
2003-10,1.818B,,1.818B,345.06M,345.06M,,,1.388B,,244.07M,3.795B,,,,3.718B,,,,3.718B,-2.252B,1.466B,,1.755B,1.755B,,259.61M,3.481B,7.276B,,2003-10,,548.46M,532.80M,1.081B,,,,,,,,,86.21M,1.167B,648.18M,,648.18M,112.79M,112.79M,,436.93M,1.198B,2003-10,261.68M,3.082B,1.685B,117.48M,,4.910B,,2003-10,,
2003-07,2.240B,,2.240B,105.69M,105.69M,,,1.075B,,219.50M,3.640B,,,,3.688B,,,,3.688B,-2.218B,1.469B,,1.755B,1.755B,,316.56M,3.540B,7.180B,,2003-07,,489.91M,550.81M,1.041B,,,,,,,,,70.92M,1.112B,648.14M,,648.14M,110.10M,110.10M,,434.98M,1.193B,2003-07,261.68M,3.003B,1.687B,77.02M,,4.875B,,2003-07,,
2003-04,2.243B,,2.243B,120.00M,120.00M,,,955.00M,,228.00M,3.546B,,,,3.651B,,,,3.651B,-2.193B,1.458B,,1.757B,1.757B,,349.00M,3.564B,7.11B,,2003-04,,368.00M,533.00M,901.00M,,,,,,,,,111.00M,1.012B,648.00M,,648.00M,119.00M,119.00M,,442.00M,1.209B,2003-04,262.00M,2.952B,1.702B,27.00M,,4.889B,,2003-04,,
2003-01,2.262B,,2.262B,151.00M,151.00M,,,966.00M,,227.00M,3.606B,0.00,1.363B,346.00M,1.90B,,22.00M,,3.631B,-2.139B,1.492B,,1.758B,1.758B,,390.00M,3.64B,7.246B,,2003-01,,456.00M,607.00M,1.063B,,,,,,,,,196.00M,1.259B,547.00M,,547.00M,125.00M,125.00M,,455.00M,1.127B,2003-01,261.00M,2.906B,1.693B,,,4.86B,,2003-01,,
2002-10,885.38M,,885.38M,112.11M,112.11M,,,1.410B,,263.07M,2.671B,,,,,,,,3.116B,-1.753B,1.363B,,1.766B,1.766B,,347.42M,3.476B,6.147B,,2002-10,,411.74M,600.40M,1.012B,,,,,,,,,40.90M,1.053B,248.06M,,248.06M,90.54M,90.54M,,229.58M,568.18M,2002-10,261.40M,2.593B,1.671B,,,4.526B,,2002-10,,
2002-07,1.167B,,1.167B,81.47M,81.47M,,,1.090B,,246.45M,2.585B,,,,,,,,3.074B,-1.720B,1.354B,1.315B,451.89M,1.767B,,432.42M,3.553B,6.138B,,2002-07,,384.36M,624.33M,1.009B,,,,,,,,,29.72M,1.038B,248.03M,,248.03M,98.25M,98.25M,,218.58M,564.86M,2002-07,261.10M,2.617B,1.657B,,,4.535B,,2002-07,,
2002-04,1.255B,,1.255B,78.00M,78.00M,,,919.00M,,252.00M,2.504B,,,,,,,,3.036B,-1.69B,1.346B,1.315B,454.00M,1.769B,,460.00M,3.575B,6.079B,,2002-04,,234.00M,595.00M,829.00M,,,150.00M,,150.00M,,,,53.00M,1.032B,248.00M,,248.00M,107.00M,107.00M,,221.00M,576.00M,2002-04,261.00M,2.585B,1.668B,43.00M,,4.471B,,2002-04,,
2002-01,1.375B,,1.375B,79.00M,79.00M,,,966.00M,,262.00M,2.682B,0.00,675.00M,365.00M,1.956B,,22.00M,,3.018B,-1.659B,1.359B,,152.00M,152.00M,67.00M,459.00M,2.037B,4.719B,,2002-01,,245.00M,648.00M,893.00M,,,150.00M,,150.00M,,,,276.00M,1.319B,250.00M,,250.00M,,,177.00M,229.00M,479.00M,2002-01,216.00M,2.552B,53.00M,77.00M,,2.744B,,2002-01,,
2001-10,317.87M,,317.87M,127.15M,127.15M,,,1.343B,,304.60M,2.093B,,,,,,,,3.233B,-1.842B,1.391B,,,,79.43M,593.14M,2.064B,4.157B,,2001-10,,386.77M,550.11M,936.88M,,,150.00M,,150.00M,,,,13.85M,1.101B,250.00M,,250.00M,,,142.36M,235.58M,485.58M,2001-10,216.10M,2.254B,60.92M,102.60M,,2.428B,,2001-10,,
2001-07,327.47M,,327.47M,79.17M,79.17M,,,1.154B,,340.57M,1.901B,,,,,,,,3.288B,-1.842B,1.446B,,,,108.36M,547.00M,2.101B,4.002B,,2001-07,,315.94M,531.08M,847.02M,,,150.00M,,150.00M,,2.615M,2.615M,,999.63M,250.00M,,250.00M,,,140.70M,222.84M,472.84M,2001-07,216.10M,2.204B,62.70M,93.87M,,2.389B,,2001-07,,
2001-04,288.95M,,288.95M,82.19M,82.19M,,,1.130B,,318.80M,1.820B,,,,,,,,3.204B,-1.794B,1.410B,,,,132.03M,501.92M,2.044B,3.864B,,2001-04,,246.47M,516.23M,762.70M,,,,,,,12.00M,12.00M,,774.71M,400.00M,,400.00M,,,137.02M,226.43M,626.43M,2001-04,216.10M,2.166B,84.26M,140.96M,,2.325B,,2001-04,,
2001-01,564.00M,,564.00M,94.00M,94.00M,,,1.157B,,253.00M,2.068B,,,,,,,,3.145B,-1.75B,1.395B,,,,132.00M,493.00M,2.02B,4.088B,,2001-01,,273.00M,,273.00M,,,,,,,,,727.00M,1.00B,400.00M,,400.00M,,,143.00M,229.00M,629.00M,2001-01,216.00M,2.168B,84.00M,151.00M,,2.316B,,2001-01,,
2000-10,6.174M,,6.174M,,122.36M,,,1.582B,,341.59M,2.052B,,,,,,,,3.101B,-1.749B,1.353B,,,,,604.66M,1.957B,4.009B,,2000-10,,411.36M,,411.36M,,,274.08M,,274.08M,,,,561.41M,1.247B,400.00M,,400.00M,,,101.56M,172.82M,572.82M,2000-10,215.82M,1.964B,75.17M,167.07M,,2.088B,,2000-10,,
2000-07,321.50M,,321.50M,102.81M,102.81M,,,1.215B,,295.02M,1.934B,,,,,,,,2.983B,-1.730B,1.254B,,,,,628.88M,1.883B,3.817B,,2000-07,,311.54M,,311.54M,,,150.00M,,150.00M,,,,573.59M,1.035B,400.00M,,400.00M,,,101.72M,180.70M,580.70M,2000-07,215.82M,1.947B,64.68M,128.63M,,2.099B,,2000-07,,
2000-04,484.09M,,484.09M,,77.17M,,,1.245B,,196.63M,2.003B,,,,,,,,2.939B,-1.697B,1.242B,,,,,616.24M,1.858B,3.861B,,2000-04,,271.87M,,271.87M,,,150.00M,,150.00M,,,,540.82M,962.69M,400.00M,,400.00M,,,122.61M,183.79M,583.79M,2000-04,215.72M,1.905B,70.40M,,,2.191B,,2000-04,,
2000-01,817.00M,,817.00M,109.00M,109.00M,,,1.051B,,308.00M,2.285B,,,,,,,,2.945B,-1.715B,1.23B,,,,,611.00M,1.841B,4.126B,,2000-01,,256.00M,,256.00M,,,250.00M,,250.00M,,,,730.00M,1.236B,400.00M,,400.00M,,,119.00M,224.00M,624.00M,2000-01,190.00M,6.109B,178.00M,4.33B,,2.147B,,2000-01,,
1999-10,173.30M,,173.30M,,129.70M,,,1.519B,,179.80M,2.001B,,,,,,,,2.944B,-1.689B,1.255B,,,,,631.30M,1.886B,3.888B,,1999-10,,391.20M,,391.20M,,,200.00M,,200.00M,,,,657.90M,1.249B,650.00M,,650.00M,,,51.70M,56.50M,706.50M,1999-10,189.70M,5.874B,162.60M,4.346B,,1.880B,,1999-10,,
1999-07,490.30M,,490.30M,,72.80M,,,1.238B,,272.50M,2.074B,,,,,,,,3.116B,-1.716B,1.400B,,,,,553.20M,1.954B,4.028B,,1999-07,,305.80M,,305.80M,,,200.00M,,200.00M,,,,770.30M,1.276B,750.00M,,750.00M,,,54.40M,59.50M,809.50M,1999-07,189.70M,5.890B,164.60M,4.356B,,1.888B,,1999-07,,
1999-04,491.40M,,491.40M,,72.10M,,,1.270B,,165.10M,1.999B,,,,,,,,3.057B,-1.686B,1.371B,,,,,912.00M,2.283B,4.282B,,1999-04,,204.70M,,204.70M,,,100.00M,,100.00M,,,,702.20M,1.007B,550.00M,,550.00M,,,55.60M,410.40M,960.40M,1999-04,,5.536B,,,,2.259B,,1999-04,,
1999-01,870.30M,,870.30M,,77.70M,,,1.218B,,151.70M,2.318B,,,,,,,,3.014B,-1.652B,1.362B,,,,,869.71M,2.232B,4.550B,,1999-01,,289.90M,,289.90M,,,100.00M,,100.00M,,,,858.00M,1.248B,550.00M,,550.00M,,,110.90M,407.61M,957.61M,1999-01,,5.537B,,,,2.233B,,1999-01,,
1998-10,64.80M,,64.80M,,101.50M,,,1.664B,,92.20M,1.923B,,,,,,,,3.172B,-1.641B,1.531B,,,,,834.80M,2.366B,4.288B,,1998-10,,419.90M,,419.90M,,,100.00M,,100.00M,,,,735.20M,1.255B,550.00M,,550.00M,,,94.10M,409.30M,959.30M,1998-10,,5.316B,,,,1.980B,,1998-10,,
1998-07,498.90M,,498.90M,,81.10M,,,1.236B,,81.00M,1.897B,,,,,,,,3.058B,-1.596B,1.462B,,,,,778.20M,2.240B,4.137B,,1998-07,,264.90M,,264.90M,,,,,,,,,715.70M,980.60M,650.00M,,650.00M,,,99.30M,406.10M,1.056B,1998-07,,5.306B,,,,2.001B,,1998-07,,
1998-04,687.90M,,687.90M,,81.60M,,,1.153B,,92.40M,2.015B,,,,,,,,3.098B,-1.606B,1.492B,,,,,742.40M,2.234B,4.249B,,1998-04,,277.20M,,277.20M,,,,,,,,,697.70M,974.90M,650.00M,,650.00M,,,105.60M,407.80M,1.058B,1998-04,,3.657B,,,,2.111B,,1998-04,,
