,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2011-09,323.93M,323.93M,165.10M,158.83M,,102.40M,,0.079M,-0.079M,,111.73M,47.10M,0.079M,-0.079M,,-0.079M,47.02M,17.60M,29.42M,,,29.42M,29.42M,56.44M,9.337M,2011-09,0.0593,0.00,,0.0593,2011-09,0.0593,0.00,,0.0593,2011-09,494.60M,494.81M,2011-09,AOR,Restated
2011-06,320.44M,320.44M,159.64M,160.79M,,101.76M,,0.178M,-0.178M,,111.04M,49.75M,0.178M,-0.178M,,-0.178M,49.57M,18.51M,31.06M,,,31.06M,31.06M,59.03M,9.288M,2011-06,0.0622,0.00,,0.0622,2011-06,0.0622,0.00,,0.0622,2011-06,496.95M,497.18M,2011-06,AOR,Restated
2011-03,271.64M,271.64M,140.90M,130.74M,,91.50M,,,-0.192M,,100.70M,30.05M,,-0.192M,,-0.192M,29.86M,11.22M,18.64M,,,18.64M,18.64M,39.25M,9.20M,2011-03,0.0385,0.00,,0.0385,2011-03,0.0385,0.00,,0.0385,2011-03,497.72M,498.05M,2011-03,AOR,Restated
2010-12,279.93M,279.93M,147.62M,132.31M,,92.50M,,,-0.172M,,101.87M,30.44M,,-0.172M,,-0.172M,30.14M,10.94M,19.21M,,,19.21M,19.21M,39.80M,9.365M,2010-12,0.0385,,,0.0385,2010-12,0.0385,,,0.0385,2010-12,496.72M,497.12M,2010-12,AOR,Restated
2010-09,305.12M,305.12M,156.06M,149.05M,,98.91M,,0.10M,-0.10M,,107.98M,41.07M,0.10M,-0.10M,,-0.10M,40.97M,15.46M,25.51M,,,25.51M,25.51M,50.14M,9.076M,2010-09,0.0504,0.00,,0.0504,2010-09,0.0504,0.00,,0.0504,2010-09,498.09M,498.68M,2010-09,AOR,Restated
2010-06,298.80M,298.80M,148.43M,150.38M,,96.96M,,,-0.066M,,105.93M,44.44M,,-0.066M,,-0.066M,44.38M,16.68M,27.70M,,,27.70M,27.70M,53.41M,8.967M,2010-06,0.0563,0.00,,0.0563,2010-06,0.0563,0.00,,0.0563,2010-06,501.41M,502.19M,2010-06,AOR,Restated
2010-03,253.04M,253.04M,130.98M,122.07M,,84.92M,,0.099M,-0.099M,,93.92M,28.15M,0.099M,-0.099M,,-0.099M,28.05M,10.47M,17.58M,,,17.58M,17.58M,37.15M,9.00M,2010-03,0.0356,0.00,,0.0356,2010-03,0.0356,0.00,,0.0356,2010-03,502.23M,503.18M,2010-03,AOR,Restated
2009-12,259.57M,259.57M,136.56M,123.00M,,88.56M,,,-0.118M,,97.60M,25.40M,,-0.118M,,-0.118M,22.34M,2.383M,19.96M,,,19.96M,19.96M,31.51M,9.045M,2009-12,0.0395,0.00,,0.0395,2009-12,0.0395,0.00,,0.0395,2009-12,501.00M,502.33M,2009-12,AOR,Restated
2009-09,286.85M,286.85M,147.44M,139.42M,,93.23M,,,-0.159M,0.03M,102.58M,36.83M,,-0.159M,,-0.159M,36.67M,13.94M,22.73M,,,22.73M,22.73M,46.15M,9.321M,2009-09,0.0454,0.00,,0.0454,2009-09,0.0454,0.00,,0.0454,2009-09,501.82M,503.35M,2009-09,AOR,Restated
2009-06,284.57M,284.57M,141.63M,142.93M,,91.81M,,,-0.259M,-0.018M,101.16M,41.77M,,-0.259M,,-0.259M,41.51M,16.03M,25.48M,,,25.48M,25.48M,51.15M,9.374M,2009-06,0.0514,0.00,,0.0514,2009-06,0.0514,0.00,,0.0514,2009-06,504.13M,505.69M,2009-06,AOR,Restated
2009-03,242.97M,242.97M,125.37M,117.60M,,81.99M,,0.428M,-0.428M,-0.005M,91.41M,26.19M,0.428M,-0.428M,,-0.428M,25.76M,9.953M,15.81M,,,15.81M,15.81M,35.62M,9.429M,2009-03,0.0316,0.00,,0.0316,2009-03,0.0316,0.00,,0.0316,2009-03,507.02M,508.62M,2009-03,AOR,Restated
2008-12,248.08M,248.08M,133.05M,115.03M,,84.12M,-0.023M,,,,93.22M,21.81M,,,-0.023M,,20.87M,8.321M,12.55M,,,12.55M,12.57M,31.07M,9.096M,2008-12,0.0237,0.00,,0.0237,2008-12,0.0237,0.00,,0.0237,2008-12,532.68M,532.68M,2008-12,AOR,Restated
2008-09,277.91M,277.91M,145.42M,132.50M,,91.44M,0.154M,,,,100.47M,32.02M,,,0.154M,,32.00M,12.20M,19.80M,,,19.80M,19.71M,41.06M,9.031M,2008-09,0.0395,0.00,,0.0393,2008-09,0.0395,0.00,,0.0393,2008-09,502.37M,506.74M,2008-09,,
2008-06,284.50M,284.50M,146.08M,138.42M,,92.03M,0.014M,,,,100.72M,37.71M,,,0.014M,,37.33M,14.59M,22.74M,,,22.74M,22.73M,46.39M,8.685M,2008-06,0.0454,0.00,,0.0454,2008-06,0.0454,0.00,,0.0454,2008-06,503.06M,507.12M,2008-06,,
2008-03,210.08M,210.08M,110.36M,99.72M,,70.76M,0.021M,,,,77.39M,22.33M,,,0.021M,,22.75M,8.907M,13.84M,,,13.84M,13.83M,28.96M,6.631M,2008-03,0.0277,0.00,,0.0276,2008-03,0.0277,0.00,,0.0276,2008-03,503.15M,508.28M,2008-03,,
2007-12,215.95M,215.95M,117.20M,98.76M,,74.63M,-0.061M,,,,81.22M,17.54M,,,-0.061M,,18.22M,6.29M,11.93M,,,11.93M,11.97M,24.12M,6.586M,2007-12,0.0244,0.00,,0.0244,2007-12,0.0237,0.00,,0.0238,2007-12,505.49M,511.54M,2007-12,,
2007-09,238.12M,238.12M,123.03M,115.09M,,78.15M,0.017M,,,,85.04M,30.05M,,,0.017M,,30.53M,11.77M,18.76M,,,18.76M,18.75M,36.93M,6.885M,2007-09,0.0369,0.00,,0.0369,2007-09,0.0369,0.00,,0.0369,2007-09,505.80M,511.20M,2007-09,,
2007-06,239.62M,239.62M,121.60M,118.02M,,76.79M,0.089M,,,,83.70M,34.32M,,,0.089M,,34.93M,13.69M,21.24M,,,21.24M,21.18M,41.23M,6.911M,2007-06,0.0421,0.00,,0.0420,2007-06,0.0408,0.00,,0.0407,2007-06,508.61M,513.91M,2007-06,,
2007-03,201.23M,201.23M,106.84M,94.40M,,67.04M,0.007M,,,,73.73M,20.67M,,,0.007M,,21.23M,8.435M,12.79M,,,12.79M,12.79M,27.36M,6.686M,2007-03,0.0257,0.00,,0.0257,2007-03,0.0257,0.00,,0.0257,2007-03,511.22M,521.91M,2007-03,,
2006-12,204.65M,204.65M,112.61M,92.04M,,69.24M,0.066M,,,,75.70M,16.34M,,,0.066M,,16.95M,6.407M,10.54M,,,10.54M,10.50M,22.80M,6.46M,2006-12,0.0211,0.00,,0.0210,2006-12,0.0198,0.00,,0.0197,2006-12,509.60M,521.89M,2006-12,,
2006-09,227.82M,227.82M,119.21M,108.61M,,74.47M,0.017M,,,,81.13M,27.48M,,,0.017M,,27.82M,10.79M,17.04M,,,17.04M,17.03M,34.14M,6.662M,2006-09,0.0329,0.00,,0.0329,2006-09,0.0329,0.00,,0.0329,2006-09,509.30M,521.69M,2006-09,,
2006-06,232.22M,232.22M,119.04M,113.19M,,74.37M,-0.002M,,,,81.31M,31.87M,,,-0.002M,,32.22M,12.89M,19.33M,,,19.33M,19.33M,38.82M,6.945M,2006-06,0.0382,0.00,,0.0382,2006-06,0.0369,0.00,,0.0369,2006-06,513.00M,525.81M,2006-06,,
2006-03,194.19M,194.19M,107.01M,87.17M,,62.50M,,,,,69.29M,17.88M,,,,,18.17M,7.269M,10.90M,,,10.90M,10.90M,24.67M,6.793M,2006-03,0.0211,0.00,,0.0211,2006-03,0.0211,0.00,,0.0211,2006-03,513.91M,528.40M,2006-03,,
2005-12,194.83M,194.83M,121.53M,73.30M,,55.93M,0.438M,,,,62.40M,10.90M,,,0.438M,,11.62M,4.264M,7.352M,,,7.352M,7.075M,17.37M,6.472M,2005-12,0.0145,0.00,,0.0139,2005-12,0.0145,0.00,,0.0140,2005-12,513.30M,523.59M,2005-12,,
2005-09,209.35M,209.35M,106.40M,102.95M,,72.26M,,,,,78.06M,24.89M,,,,,25.38M,10.28M,15.10M,,,15.10M,15.10M,30.69M,5.80M,2005-09,0.0290,0.00,,0.0290,2005-09,0.0290,0.00,,0.0290,2005-09,517.26M,531.88M,2005-09,,
2005-06,214.33M,214.33M,114.29M,100.03M,,67.59M,4.722M,,,,73.64M,26.39M,,,4.722M,,31.47M,12.74M,18.72M,,,18.72M,15.89M,32.44M,6.045M,2005-06,0.0369,0.00,,0.0314,2005-06,0.0356,0.00,,0.0302,2005-06,515.90M,531.78M,2005-06,,
2005-03,183.92M,183.92M,100.25M,83.67M,,58.67M,-0.003M,,,,64.63M,19.03M,,,-0.003M,,19.49M,7.896M,11.60M,,,11.60M,11.60M,25.00M,5.963M,2005-03,0.0224,0.00,,0.0224,2005-03,0.0224,0.00,,0.0224,2005-03,515.93M,532.04M,2005-03,,
2004-12,183.82M,183.82M,99.75M,84.07M,,65.48M,10.26M,,,,71.85M,12.22M,,,10.26M,,22.59M,8.721M,13.87M,,0.00,13.87M,7.571M,18.59M,6.364M,2004-12,0.0270,0.00,0.00,0.0151,2004-12,0.0257,0.00,0.0001,0.0143,2004-12,529.38M,553.99M,2004-12,,
2004-09,203.92M,203.92M,105.04M,98.89M,,70.08M,0.315M,,,,76.33M,22.56M,,,0.315M,,22.94M,9.311M,13.63M,,,13.63M,13.44M,28.81M,6.249M,2004-09,0.0263,0.00,,0.0260,2004-09,0.0250,0.00,,0.0247,2004-09,518.08M,533.06M,2004-09,,
2004-06,207.70M,207.70M,105.44M,102.26M,,69.16M,14.14M,,,,74.92M,27.34M,,,14.14M,,41.53M,17.72M,23.81M,,,23.81M,15.32M,33.10M,5.764M,2004-06,0.0457,0.00,,0.0293,2004-06,0.0448,0.00,,0.0288,2004-06,518.87M,532.55M,2004-06,,
2004-03,160.42M,160.42M,86.54M,73.87M,,52.77M,-0.001M,,,,57.42M,16.45M,,,-0.001M,,16.60M,6.732M,9.866M,,-6.204M,3.662M,9.867M,21.11M,4.657M,2004-03,0.0198,-0.0119,0.00,0.0198,2004-03,0.0184,-0.0119,-0.0120,0.0184,2004-03,515.97M,531.29M,2004-03,,
2003-12,158.52M,158.52M,86.71M,71.82M,,58.61M,,,,,63.53M,8.281M,,,,,10.13M,5.308M,4.825M,,,4.825M,4.825M,13.20M,4.921M,2003-12,0.0092,0.00,,0.0092,2003-12,0.0083,0.00,,0.0083,2003-12,514.06M,527.55M,2003-12,,
2003-09,178.26M,178.26M,96.08M,82.18M,,61.43M,,,,,66.49M,15.69M,,,,,15.81M,6.006M,9.80M,,,9.80M,9.80M,20.75M,5.065M,2003-09,0.0193,0.00,,0.0193,2003-09,0.0184,0.00,,0.0184,2003-09,513.89M,523.90M,2003-09,,
2003-06,185.10M,185.10M,95.55M,89.56M,,62.25M,,,,,67.29M,22.26M,,,,,22.36M,8.497M,13.86M,,,13.86M,13.86M,27.30M,5.037M,2003-06,0.0272,0.00,,0.0272,2003-06,0.0263,0.00,,0.0263,2003-06,513.91M,528.57M,2003-06,,
2003-03,155.12M,155.12M,84.08M,71.04M,,54.22M,,,,,59.38M,11.67M,,,,,11.73M,4.458M,7.274M,,,7.274M,7.274M,16.82M,5.156M,2003-03,0.0140,0.00,,0.0140,2003-03,0.0138,0.00,,0.0138,2003-03,511.58M,525.23M,2003-03,,
2002-12,153.87M,153.87M,86.07M,67.80M,,56.53M,,,,,61.86M,5.938M,,,,,6.009M,2.284M,3.725M,,,3.725M,3.725M,11.28M,5.337M,2002-12,0.0070,0.00,,0.0070,2002-12,0.0070,0.00,,0.0070,2002-12,510.08M,518.16M,2002-12,,
2002-09,174.06M,174.06M,94.40M,79.66M,,63.48M,,,,,68.90M,10.76M,,,,,10.89M,4.139M,6.754M,,,6.754M,6.754M,16.18M,5.425M,2002-09,0.0132,0.00,,0.0132,2002-09,0.0132,0.00,,0.0132,2002-09,511.27M,513.92M,2002-09,,
2002-06,184.19M,184.19M,97.20M,86.98M,,62.72M,,,,,68.17M,18.82M,,,,,18.86M,7.166M,11.69M,,,11.69M,11.69M,24.26M,5.446M,2002-06,0.0229,0.00,,0.0229,2002-06,0.0229,0.00,,0.0229,2002-06,514.40M,517.98M,2002-06,,
2002-03,153.30M,153.30M,84.02M,69.28M,,55.84M,,,,,61.26M,8.016M,,,,,7.967M,3.027M,4.94M,,,4.94M,4.94M,13.44M,5.427M,2002-03,0.0094,0.00,,0.0094,2002-03,0.0094,0.00,,0.0094,2002-03,514.29M,517.63M,2002-03,,
2001-12,150.16M,150.16M,84.21M,65.95M,,58.28M,,,,,63.54M,2.407M,,,,,2.605M,0.99M,1.615M,,,1.615M,1.615M,7.666M,5.259M,2001-12,0.0026,0.00,,0.0026,2001-12,0.0026,0.00,,0.0026,2001-12,513.74M,515.29M,2001-12,,
2001-09,169.81M,169.81M,95.12M,74.69M,,62.66M,,,,,67.80M,6.884M,,,,,6.884M,2.616M,4.268M,,,4.268M,4.268M,12.02M,5.14M,2001-09,0.0082,0.00,,0.0082,2001-09,0.0082,0.00,,0.0082,2001-09,515.59M,517.94M,2001-09,,
2001-06,181.35M,181.35M,98.72M,82.63M,,63.31M,,,,,68.05M,14.58M,,,,,14.58M,5.539M,9.038M,,,9.038M,9.038M,19.32M,4.744M,2001-06,0.0176,0.00,,0.0176,2001-06,0.0174,0.00,,0.0174,2001-06,515.64M,518.04M,2001-06,,
