,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2017-12,33.74M,,13.90M,13.90M,9.25M,2.993M,,13.13M,,,,,,,-17.86M,,45.98M,,2017-12,-7.463M,,0.082M,-2.308M,,0.372M,-9.581M,,2017-12,,,,-0.053M,-0.053M,-46.84M,-46.84M,,,-46.89M,,2017-12,113.40M,-10.49M,107.05M,,2017-12,,,-0.053M,,,,2017-12,AOR
2017-09,51.43M,,14.31M,14.31M,1.712M,3.031M,,-0.463M,,,,,,,-5.202M,,69.48M,,2017-09,-5.995M,,0.192M,-121.72M,,-0.228M,-127.75M,,2017-09,,,,-0.504M,-0.504M,-25.06M,-25.06M,,,-25.57M,,2017-09,194.84M,-83.84M,113.40M,,2017-09,,,-0.504M,,,,2017-09,AOR
2017-06,53.69M,,13.55M,13.55M,2.212M,3.108M,,-0.135M,,,,,,,-11.79M,,63.14M,,2017-06,-5.768M,,0.077M,-3.145M,,0.234M,-8.602M,,2017-06,,,,-0.209M,-0.209M,-25.06M,-25.06M,,,-25.27M,,2017-06,162.48M,29.27M,194.84M,,2017-06,,,-0.209M,,,,2017-06,AOR
2017-03,40.27M,,13.77M,13.77M,5.462M,3.267M,,-0.13M,,,,,,,-5.93M,,56.77M,,2017-03,-5.454M,,0.168M,-3.02M,,0.061M,-8.245M,,2017-03,,,,-7.48M,-7.48M,-25.06M,-25.06M,,,-32.54M,,2017-03,142.78M,15.99M,162.48M,,2017-03,,,-7.48M,,,,2017-03,AOR
2016-12,38.01M,,12.82M,12.82M,-8.202M,2.986M,-0.163M,9.416M,,,,,,,19.28M,,68.37M,,2016-12,-5.953M,,0.50M,-5.484M,,0.715M,-10.22M,,2016-12,,,,-0.025M,-0.025M,-43.50M,-43.50M,,0.163M,-43.36M,,2016-12,139.26M,14.79M,142.78M,,2016-12,,,-0.025M,,,,2016-12,AOR
2016-09,49.65M,,13.08M,13.08M,0.659M,3.049M,-0.428M,-0.113M,,,,,,,-9.03M,,61.64M,,2016-09,-7.139M,,0.097M,-5.786M,,0.052M,-12.78M,,2016-09,,,,-12.44M,-12.44M,-21.82M,-21.82M,,0.428M,-33.83M,,2016-09,126.46M,15.03M,139.26M,,2016-09,,,-12.44M,,,,2016-09,AOR
2016-06,47.78M,,12.35M,12.35M,0.128M,3.055M,-0.089M,-0.589M,,,,,,,-10.40M,,55.18M,,2016-06,-11.03M,,0.065M,-13.93M,,0.988M,-23.91M,,2016-06,,,,-9.82M,-9.82M,-21.83M,-21.83M,,0.089M,-31.56M,,2016-06,131.24M,-0.295M,126.46M,,2016-06,,,-9.82M,,,,2016-06,AOR
2016-03,31.93M,,11.64M,11.64M,4.167M,3.325M,-3.019M,0.002M,,,,,,,-7.309M,,41.34M,,2016-03,-8.956M,,0.037M,-21.11M,,0.093M,-29.94M,,2016-03,,,,-8.779M,-8.779M,-21.86M,-21.86M,,3.019M,-27.62M,,2016-03,134.57M,-16.21M,131.24M,,2016-03,,,-8.779M,,,,2016-03,AOR
2015-12,31.75M,,8.957M,8.957M,2.803M,2.736M,-0.183M,11.86M,,,,,,,1.631M,,52.53M,,2015-12,-10.88M,,0.402M,-2.071M,,0.193M,-12.36M,,2015-12,,,,0.00,0.00,-39.32M,-39.32M,,0.183M,-39.14M,,2015-12,134.31M,1.038M,134.57M,,2015-12,,,0.00,,,,2015-12,AOR
2015-09,45.05M,,11.16M,11.16M,-1.199M,3.255M,-0.082M,-1.285M,,,,,,,-5.737M,,54.57M,,2015-09,-10.88M,,0.038M,-0.554M,,1.515M,-9.884M,,2015-09,,,,0.00,0.00,-17.48M,-17.48M,,0.082M,-17.40M,,2015-09,109.68M,27.29M,134.31M,,2015-09,,,0.00,,,,2015-09,AOR
2015-06,45.07M,,11.24M,11.24M,0.41M,3.254M,0.60M,-0.271M,,,,,,,-17.16M,,45.20M,,2015-06,-9.419M,,0.207M,-2.592M,,0.271M,-11.53M,,2015-06,,,,-0.916M,-0.916M,-17.48M,-17.48M,,-0.60M,-18.99M,,2015-06,93.39M,14.68M,109.68M,,2015-06,,,-0.916M,,,,2015-06,AOR
2015-03,30.28M,,10.78M,10.78M,1.479M,2.865M,-2.281M,-0.136M,,,,,,,-0.437M,,44.05M,,2015-03,-8.311M,,0.12M,-28.24M,,0.269M,-36.17M,,2015-03,,,,-6.491M,-6.491M,-17.48M,-17.48M,,2.281M,-21.69M,,2015-03,108.37M,-13.81M,93.39M,,2015-03,,,-6.491M,,,,2015-03,AOR
2014-12,29.92M,0.564M,10.02M,10.02M,9.572M,2.625M,-0.211M,6.529M,,,,,,,-20.36M,,36.72M,,2014-12,-6.045M,,0.294M,-3.675M,,0.976M,-8.45M,,2014-12,,,,-0.016M,-0.016M,-29.80M,-29.80M,,0.211M,-29.61M,,2014-12,114.22M,-1.341M,108.37M,,2014-12,,,-0.016M,,,,2014-12,AOR
2014-09,41.12M,-0.564M,11.44M,11.44M,-1.641M,2.587M,-0.078M,0.205M,,,,,,,9.862M,,67.42M,,2014-09,-11.22M,,0.271M,0.00,,-0.046M,-11.00M,,2014-09,,,,-22.71M,-22.71M,-15.33M,-15.33M,,0.078M,-37.96M,,2014-09,101.52M,18.46M,114.22M,,2014-09,,,-22.71M,,,,2014-09,AOR
2014-06,40.86M,,10.61M,10.61M,-1.033M,2.602M,-1.069M,-0.309M,,,,,,,-4.342M,,48.83M,,2014-06,-6.315M,,-0.09M,-6.085M,,0.662M,-11.83M,,2014-06,,,,-6.149M,-6.149M,-15.31M,-15.31M,,1.069M,-20.39M,,2014-06,83.13M,16.61M,101.52M,,2014-06,,,-6.149M,,,,2014-06,AOR
2014-03,25.77M,,10.21M,10.21M,1.542M,2.765M,-3.386M,-0.59M,,,,,,,3.57M,,41.18M,,2014-03,-5.156M,,0.09M,-53.58M,,0.446M,-58.20M,,2014-03,,,,-6.64M,-6.64M,-15.30M,-15.30M,,3.386M,-18.56M,,2014-03,118.22M,-35.57M,83.13M,,2014-03,,,-6.64M,,,,2014-03,AOR
2013-12,27.96M,,9.566M,9.566M,-0.041M,2.618M,-0.187M,7.028M,,,,,,,-8.822M,,35.15M,,2013-12,-5.338M,,0.102M,-0.489M,,-0.056M,-5.781M,,2013-12,,,,-0.018M,-0.018M,-26.23M,-26.23M,0.00,0.187M,-26.06M,,2013-12,116.73M,3.308M,118.22M,,2013-12,,,-0.018M,,,,2013-12,AOR
2013-09,36.20M,,10.08M,10.08M,-0.566M,2.717M,-0.403M,-0.26M,,,,,,,2.396M,,54.38M,,2013-09,-3.68M,,,-9.526M,,0.195M,-13.01M,,2013-09,,,,-4.56M,-4.56M,-13.14M,-13.14M,0.00,0.403M,-17.29M,,2013-09,91.60M,24.07M,116.73M,,2013-09,,,-4.56M,,,,2013-09,AOR
2013-06,35.99M,,9.768M,9.768M,-0.284M,2.546M,-0.452M,-0.034M,,,,,,,-15.72M,,34.36M,,2013-06,-4.875M,,,-1.688M,,0.177M,-6.386M,,2013-06,,,,-4.667M,-4.667M,-13.15M,-13.15M,0.00,0.452M,-17.36M,,2013-06,82.48M,10.60M,91.60M,,2013-06,,,-4.667M,,,,2013-06,AOR
2013-03,23.18M,,9.894M,9.894M,1.247M,2.546M,-2.68M,-0.029M,,,,,,,4.723M,,38.79M,,2013-03,-4.739M,,0.00,-0.929M,,0.056M,-5.612M,,2013-03,,,,-4.478M,-4.478M,-13.15M,-13.15M,0.006M,2.68M,-14.94M,,2013-03,65.08M,18.24M,82.48M,,2013-03,,,-4.478M,,,,2013-03,AOR
2012-12,22.91M,,9.229M,9.229M,-6.622M,2.369M,-0.20M,6.55M,,,,,,,-9.854M,,21.81M,,2012-12,-7.286M,,,-14.54M,,0.544M,-20.96M,,2012-12,,,,0.00,0.00,-29.17M,-29.17M,0.00,0.20M,-28.97M,,2012-12,93.71M,-28.13M,65.08M,,2012-12,,,0.00,,,,2012-12,AOR
2012-09,32.21M,,9.465M,9.465M,1.792M,2.376M,-0.099M,-0.216M,,,,,,,-4.355M,,46.51M,,2012-09,-4.335M,,,-0.386M,,0.139M,-4.582M,,2012-09,,,,0.00,0.00,-11.67M,-11.67M,0.00,0.099M,-11.57M,,2012-09,62.06M,30.35M,93.71M,,2012-09,,,0.00,,,,2012-09,AOR
2012-06,33.13M,,9.613M,9.613M,0.454M,2.377M,-0.342M,-0.013M,,,,,,,-11.67M,,36.52M,,2012-06,-3.705M,,,-3.273M,,0.23M,-6.748M,,2012-06,,,,-15.25M,-15.25M,-11.71M,-11.71M,0.00,0.342M,-26.62M,,2012-06,59.68M,3.151M,62.06M,,2012-06,,,-15.25M,,,,2012-06,AOR
2012-03,23.08M,,9.767M,9.767M,2.506M,2.372M,-2.59M,-0.058M,,,,,,,1.90M,,37.09M,,2012-03,-3.714M,,,-6.826M,,0.142M,-10.40M,,2012-03,,,,-4.688M,-4.688M,-11.73M,-11.73M,0.00,2.59M,-13.82M,,2012-03,46.28M,12.87M,59.68M,,2012-03,,,-4.688M,,,,2012-03,AOR
2011-12,21.60M,,9.678M,9.678M,0.784M,1.91M,-0.097M,-0.117M,,,,,,,4.969M,,39.54M,,2011-12,-5.271M,,,-2.148M,,0.54M,-6.73M,,2011-12,-26.00M,20.50M,,-1.39M,-1.39M,-10.22M,-10.22M,0.05M,0.097M,-16.96M,,2011-12,30.22M,15.85M,46.28M,,2011-12,,0.00,-1.39M,,,,2011-12,AOR
2011-09,79.12M,,9.337M,9.337M,-1.423M,1.881M,-2.132M,-49.93M,,,,,,,-1.471M,,40.77M,,2011-09,-5.781M,,,-1.276M,,0.007M,-7.05M,,2011-09,0.00,-9.50M,,-10.69M,-10.69M,-30.89M,-10.26M,0.008M,2.132M,-28.32M,,2011-09,25.82M,5.40M,30.22M,,2011-09,,-10.00M,-10.69M,,,,2011-09,AOR
2011-06,,,9.288M,9.288M,0.936M,1.882M,-0.068M,30.75M,,,,,,,-3.619M,,41.39M,,2011-06,-4.255M,,,-3.573M,,0.052M,-7.776M,,2011-06,-0.018M,-10.00M,,-10.42M,-10.42M,,-10.31M,0.011M,0.068M,-30.67M,,2011-06,23.34M,2.94M,25.82M,,2011-06,,-15.02M,-10.42M,,,,2011-06,AOR
2011-03,,,9.20M,9.20M,0.487M,1.882M,-0.07M,18.53M,,,,,,,2.06M,,32.95M,,2011-03,-3.345M,,,-4.413M,,0.16M,-7.598M,,2011-03,-0.02M,-5.50M,,-7.71M,-7.71M,,-10.32M,,0.07M,-23.48M,,2011-03,20.91M,1.878M,23.34M,,2011-03,,-1.02M,-7.71M,,,,2011-03,AOR
2010-12,90.00M,,9.365M,9.365M,5.445M,1.679M,-0.215M,-71.12M,,,,,,,-6.807M,,31.63M,,2010-12,-6.246M,,,-13.87M,,-0.136M,-20.11M,,2010-12,-4.032M,1.50M,,-0.119M,-0.119M,,-8.809M,0.004M,0.215M,-11.24M,,2010-12,20.25M,0.285M,20.91M,,2010-12,,1.968M,-0.119M,,,,2010-12,AOR
2010-09,-45.28M,,9.076M,9.076M,-3.602M,1.638M,-0.522M,70.46M,,,,,,,-1.666M,,33.38M,,2010-09,-2.268M,,,-18.72M,,0.012M,-20.97M,,2010-09,-0.035M,5.00M,,-8.25M,-8.25M,,-8.856M,0.00,0.522M,-11.62M,,2010-09,19.29M,0.79M,20.25M,,2010-09,,-6.035M,-8.25M,,,,2010-09,AOR
2010-06,27.70M,,8.967M,8.967M,0.147M,2.346M,-0.059M,0.056M,,,,,,,-10.38M,,30.80M,,2010-06,-2.982M,,,-1.549M,,-0.177M,-4.708M,,2010-06,-0.039M,-10.00M,,-16.86M,-16.86M,,-8.924M,0.009M,0.059M,-20.76M,,2010-06,14.15M,5.335M,19.29M,,2010-06,,-0.039M,-16.86M,,,,2010-06,AOR
2010-03,17.58M,,9.00M,9.00M,0.085M,1.875M,-0.389M,-0.239M,,,,,,,0.153M,,28.24M,,2010-03,-1.54M,,,-0.624M,,0.308M,-1.856M,,2010-03,-0.118M,6.00M,,-4.462M,-4.462M,,-8.932M,0.242M,0.389M,-21.88M,,2010-03,9.504M,4.501M,14.15M,,2010-03,,-0.118M,-4.462M,,,,2010-03,AOR
2009-12,19.96M,2.935M,9.045M,9.045M,-1.848M,1.45M,-0.046M,3.166M,8.053M,0.22M,-16.41M,1.897M,-9.609M,-0.162M,-16.01M,,18.65M,,2009-12,-5.923M,0.088M,0.047M,-5.542M,,-0.039M,-11.37M,,2009-12,-0.094M,-13.60M,,-4.127M,-4.127M,,-6.925M,0.401M,0.046M,-24.30M,,2009-12,26.22M,-17.02M,9.504M,,2009-12,,-15.09M,-4.127M,13.85M,0.079M,,2009-12,AOR
2009-09,22.73M,0.03M,9.321M,9.321M,2.282M,1.45M,-0.047M,1.921M,-4.746M,1.004M,4.915M,-5.115M,-0.23M,-5.42M,-9.592M,,28.10M,,2009-09,-3.694M,,0.00,-2.381M,,0.003M,-6.072M,,2009-09,-0.112M,-9.40M,,-2.606M,-2.606M,,-6.932M,0.00,0.047M,-19.00M,,2009-09,22.58M,3.023M,26.22M,,2009-09,,-10.11M,-2.606M,15.01M,0.169M,,2009-09,AOR
2009-06,25.48M,-0.018M,9.374M,9.374M,,1.45M,-0.093M,3.317M,-12.95M,0.515M,10.59M,1.853M,4.34M,-0.405M,3.947M,,43.46M,,2009-06,-2.646M,-0.018M,0.009M,-1.58M,,0.036M,-4.199M,,2009-06,-0.134M,-13.00M,,-12.13M,-12.13M,,-6.97M,0.00,0.093M,-32.14M,,2009-06,14.96M,7.118M,22.58M,,2009-06,,-7.134M,-12.13M,15.74M,0.412M,,2009-06,AOR
2009-03,15.81M,-0.005M,9.429M,9.429M,,1.45M,0.00,1.36M,-0.252M,-0.699M,-7.796M,-0.799M,2.56M,-0.42M,-7.406M,,20.64M,,2009-03,-3.477M,0.018M,0.00,-1.463M,,,-4.922M,,2009-03,-0.131M,3.00M,,-10.24M,-10.24M,,-7.026M,0.092M,,-14.31M,,2009-03,13.72M,1.405M,14.96M,,2009-03,,-3.131M,-10.24M,1.838M,0.371M,,2009-03,AOR
2008-12,12.55M,0.518M,9.096M,9.096M,0.962M,,,9.546M,-0.203M,0.015M,-11.76M,-4.733M,-6.87M,-0.239M,-23.79M,,13.13M,,2008-12,-4.673M,0.004M,,-16.14M,,,-20.49M,,2008-12,,,-0.326M,-13.11M,-13.44M,,-6.058M,,-2.221M,6.547M,,2008-12,16.33M,-0.81M,13.72M,,2008-12,-0.326M,,-13.11M,,,,2008-12,AOR
2008-09,19.80M,-0.159M,9.031M,9.031M,-0.33M,,,1.145M,6.019M,-0.896M,-7.969M,1.104M,-4.519M,2.259M,-4.002M,,25.49M,,2008-09,-3.056M,0.077M,,-0.433M,,-0.225M,-3.637M,,2008-09,,,0.08M,-0.865M,-0.785M,,-6.302M,,2.30M,-20.40M,,2008-09,15.27M,1.456M,16.33M,,2008-09,0.08M,,-0.865M,,,,2008-09,
2008-06,22.74M,-0.316M,8.685M,8.685M,-0.404M,,,1.06M,-15.41M,0.412M,14.42M,0.522M,5.975M,-1.071M,4.851M,,36.61M,,2008-06,-4.327M,-0.018M,,-134.41M,,0.225M,-138.53M,,2008-06,,,0.00,-4.45M,-4.45M,,-6.309M,,0.06M,45.91M,,2008-06,71.36M,-56.01M,15.27M,,2008-06,0.00,,-4.45M,,,,2008-06,
2008-03,13.84M,-0.209M,6.631M,6.631M,-0.228M,,,0.978M,-0.209M,0.047M,-6.848M,-0.653M,3.723M,-1.562M,-5.502M,,15.51M,,2008-03,-2.759M,0.083M,,-1.381M,,,-4.057M,,2008-03,,,0.246M,-4.816M,-4.57M,,-6.30M,,0.005M,-11.03M,,2008-03,71.28M,0.423M,71.36M,,2008-03,0.246M,,-4.816M,,,,2008-03,
2007-12,11.93M,-0.058M,6.586M,6.586M,-2.356M,,,0.695M,8.734M,-0.302M,-0.828M,-0.052M,-17.16M,3.033M,-6.577M,,10.22M,,2007-12,-2.732M,0.008M,,-0.647M,,,-3.371M,,2007-12,,,0.005M,-11.08M,-11.07M,,-5.058M,,0.113M,-16.40M,,2007-12,81.82M,-9.547M,71.28M,,2007-12,0.005M,,-11.08M,,,,2007-12,
2007-09,18.76M,-0.045M,6.885M,6.885M,1.056M,,,0.809M,0.817M,0.615M,-0.512M,1.236M,4.325M,-0.873M,5.608M,,33.08M,,2007-09,-3.413M,0.021M,,-1.607M,,,-4.999M,,2007-09,,,0.50M,-0.027M,0.473M,,-5.034M,,0.00,-4.642M,,2007-09,57.04M,23.44M,81.82M,,2007-09,0.50M,,-0.027M,,,,2007-09,
2007-06,21.24M,-0.182M,6.911M,6.911M,0.236M,,,1.03M,-11.74M,-0.049M,8.479M,0.382M,2.081M,-0.812M,-1.662M,,27.57M,,2007-06,-3.956M,0.052M,,-3.246M,,,-7.15M,,2007-06,,,0.198M,-15.39M,-15.19M,,-4.92M,,0.065M,-19.83M,,2007-06,54.99M,0.589M,57.04M,,2007-06,0.198M,,-15.39M,,,,2007-06,
2007-03,12.79M,0.001M,6.686M,6.686M,2.097M,,,-2.382M,2.251M,-0.29M,-7.117M,-2.771M,4.233M,2.387M,-1.307M,,17.89M,,2007-03,-6.143M,0.006M,,-1.097M,,,-7.234M,,2007-03,,,0.681M,-15.48M,-14.80M,,-5.32M,,2.859M,-18.92M,,2007-03,63.34M,-8.269M,54.99M,,2007-03,0.681M,,-15.48M,,,,2007-03,
2006-12,10.54M,-0.613M,6.46M,6.46M,0.863M,,,,5.963M,-0.004M,3.172M,1.776M,-16.16M,8.515M,3.261M,,22.34M,,2006-12,-3.072M,0.265M,,-5.037M,,,-7.844M,,2006-12,,,0.651M,0.00,0.651M,,-4.235M,,0.001M,-3.78M,,2006-12,53.79M,10.72M,63.34M,,2006-12,0.651M,,0.00,,,,2006-12,
2006-09,17.04M,0.757M,6.662M,6.662M,1.934M,,,,-0.142M,0.148M,3.331M,1.048M,4.567M,-6.802M,2.15M,,28.54M,,2006-09,-4.306M,0.169M,,-0.03M,,,-4.167M,,2006-09,,,0.054M,-2.465M,-2.411M,,-4.234M,,-0.687M,-7.505M,,2006-09,37.22M,16.87M,53.79M,,2006-09,0.054M,,-2.465M,,,,2006-09,
2006-06,19.33M,-0.764M,6.945M,6.945M,1.806M,,,,-12.77M,0.354M,-3.145M,-0.738M,0.358M,-4.541M,-20.48M,,6.836M,,2006-06,-5.918M,0.401M,,-1.058M,,,-6.575M,,2006-06,,,0.10M,-12.90M,-12.80M,,-4.28M,,0.208M,-17.26M,,2006-06,53.23M,-17.00M,37.22M,,2006-06,0.10M,,-12.90M,,,,2006-06,
2006-03,10.90M,-0.005M,6.793M,6.793M,1.404M,,,,3.164M,0.183M,3.275M,-0.172M,4.03M,-2.09M,8.39M,,27.48M,,2006-03,-5.433M,,,-3.962M,,,-9.395M,,2006-03,,,0.281M,-4.092M,-3.811M,,-4.276M,,0.243M,-7.844M,,2006-03,43.06M,10.25M,53.23M,,2006-03,0.281M,,-4.092M,,,,2006-03,
2005-12,7.352M,-1.733M,6.472M,6.472M,1.568M,,,,7.503M,0.849M,-1.524M,2.894M,-15.32M,,-5.594M,,8.065M,,2005-12,-8.542M,0.002M,,-24.22M,,,-32.12M,,2005-12,,,0.086M,-8.995M,-8.909M,,-3.41M,,-0.421M,-12.74M,,2005-12,79.49M,-36.79M,43.06M,,2005-12,0.086M,,-8.995M,,,,2005-12,
2005-09,15.10M,-5.181M,5.80M,5.80M,1.171M,,,4.176M,0.589M,0.775M,0.466M,1.768M,0.834M,2.788M,7.22M,,28.29M,,2005-09,-2.796M,-0.292M,,-1.416M,0.629M,,-3.875M,,2005-09,,,0.34M,-10.21M,-9.868M,,-3.446M,,1.625M,-11.69M,,2005-09,65.18M,12.72M,79.49M,,2005-09,0.34M,,-10.21M,,,,2005-09,
2005-06,18.73M,-0.54M,6.045M,6.045M,-2.433M,,,-4.176M,-4.898M,0.484M,5.722M,-0.637M,1.442M,1.206M,3.319M,,20.94M,,2005-06,-7.786M,1.044M,,-0.585M,-0.629M,,-7.956M,,2005-06,,,2.889M,-0.501M,2.388M,,-3.422M,,-1.20M,-2.234M,,2005-06,55.89M,10.75M,65.18M,,2005-06,2.889M,,-0.501M,,,,2005-06,
2005-03,11.60M,0.201M,5.963M,5.963M,3.347M,,,,1.097M,0.277M,0.229M,-2.957M,3.70M,-3.994M,-1.648M,,19.46M,,2005-03,-6.417M,,,-1.021M,,,-7.438M,,2005-03,,,,-10.60M,-10.60M,,-3.436M,,0.554M,-13.49M,,2005-03,56.74M,-1.466M,55.89M,,2005-03,,,-10.60M,,,,2005-03,
2004-12,13.87M,-10.04M,6.364M,6.364M,5.759M,,,,1.892M,2.145M,3.254M,5.057M,-16.77M,,-4.42M,,11.53M,,2004-12,-7.497M,10.25M,,5.325M,0.00,,8.495M,,2004-12,,,0.281M,,-0.656M,,-2.737M,,-1.266M,-4.659M,,2004-12,40.89M,15.37M,56.74M,,2004-12,0.281M,,,,,,2004-12,
2004-09,5.658M,6.022M,6.249M,6.249M,-1.421M,,,,-0.59M,1.155M,3.162M,-0.394M,4.368M,,7.701M,,24.21M,,2004-09,-2.956M,0.005M,,-0.26M,0.00,,-3.211M,,2004-09,,,1.734M,,1.734M,,-2.736M,,-0.901M,-1.903M,,2004-09,21.86M,19.10M,40.89M,,2004-09,1.734M,,,,,,2004-09,
