,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,,SECFilingLinks,AsOriginallyReported,Restated
2009-09,26.22M,,26.22M,73.09M,,73.09M,10.34M,10.34M,,17.63M,14.14M,141.42M,,,,,,,,77.22M,189.36M,143.25M,332.61M,9.599M,16.67M,8.008M,444.11M,585.53M,,2009-09,77.81M,94.43M,45.00M,,45.00M,0.263M,45.26M,95.36M,95.36M,25.61M,260.66M,,0.06M,0.06M,,,71.58M,,,71.64M,332.30M,,166.00M,20.85M,,,,,2009-09,AOR,Restated
2009-06,22.58M,,22.58M,70.50M,,70.50M,11.20M,11.20M,,18.74M,8.999M,132.02M,,,,,,,,77.18M,188.83M,146.30M,335.13M,10.17M,17.03M,7.114M,446.63M,578.64M,,2009-06,74.63M,93.87M,55.00M,,55.00M,0.314M,55.31M,95.36M,95.36M,23.22M,267.76M,,0.085M,0.085M,,,73.43M,,,73.51M,341.27M,,152.66M,19.37M,,,,,2009-06,AOR,Restated
2009-03,14.96M,,14.96M,60.64M,,60.64M,11.56M,11.56M,,19.89M,10.92M,117.96M,,,,,,,,78.32M,188.10M,149.67M,337.78M,8.946M,17.51M,6.396M,448.96M,566.92M,,2009-03,64.89M,83.60M,62.00M,,62.00M,0.356M,62.36M,90.78M,90.78M,28.56M,265.30M,,0.12M,0.12M,,,73.30M,,,73.42M,338.72M,,145.28M,18.11M,,,,,2009-03,AOR,Restated
2008-12,13.72M,,13.72M,59.07M,,59.07M,10.89M,10.89M,,20.02M,13.14M,116.84M,0.00,20.82M,39.83M,117.09M,,177.74M,-99.11M,78.62M,187.27M,25.72M,212.98M,11.12M,17.89M,135.06M,455.68M,572.52M,,2008-12,77.19M,95.97M,65.00M,,65.00M,,65.00M,88.29M,88.29M,23.57M,272.83M,,,,,,71.26M,,,71.26M,344.08M,,145.06M,18.09M,,,,,2008-12,AOR,Restated
2008-09,16.33M,,16.33M,69.75M,,69.75M,,11.12M,,18.32M,8.32M,123.84M,,,,,,168.34M,-90.38M,77.96M,182.83M,150.48M,333.31M,,8.309M,33.87M,453.46M,577.30M,,2008-09,73.86M,93.89M,,,42.16M,,42.16M,99.30M,99.30M,24.13M,259.49M,,0.36M,0.36M,,,,,54.39M,54.75M,314.24M,,150.74M,16.98M,,,,,2008-09,,
2008-06,15.27M,,15.27M,75.21M,,75.21M,,10.26M,,17.93M,9.767M,128.44M,,,,,,169.18M,-90.38M,78.80M,183.08M,156.11M,339.19M,,8.02M,34.35M,460.37M,588.81M,,2008-06,59.99M,96.43M,,,54.82M,,54.82M,98.84M,98.84M,31.97M,282.06M,,0.46M,0.46M,,,,,56.81M,57.27M,339.33M,,148.61M,15.80M,,4.547M,-20.34M,,2008-06,,
2008-03,71.36M,,71.36M,53.91M,,53.91M,,8.715M,,17.90M,9.115M,161.00M,,,,,,167.20M,-90.38M,76.82M,126.30M,70.02M,196.32M,,7.676M,32.92M,313.73M,474.73M,,2008-03,53.03M,71.59M,,,0.798M,,0.798M,85.25M,85.25M,26.81M,184.45M,,0.757M,0.757M,,,,,52.98M,53.74M,238.18M,,125.53M,15.12M,,4.776M,-9.79M,,2008-03,,
2007-12,71.28M,,71.28M,54.46M,,54.46M,,8.846M,,17.16M,8.495M,160.24M,0.00,20.81M,35.40M,111.54M,,167.75M,-90.38M,77.37M,126.68M,72.29M,198.97M,,7.576M,31.07M,314.99M,475.23M,,2007-12,65.43M,84.57M,,,1.186M,,1.186M,81.68M,81.68M,20.27M,187.70M,,0.601M,0.601M,,,,,53.37M,53.97M,241.68M,,121.78M,15.18M,,5.74M,-9.79M,,2007-12,,
2007-09,81.82M,,81.82M,61.43M,,61.43M,,8.244M,,16.97M,8.382M,176.85M,,,,155.50M,,155.50M,-77.87M,77.63M,126.58M,74.81M,201.38M,,12.59M,14.96M,306.57M,483.41M,,2007-09,55.81M,78.40M,,,1.24M,,1.24M,90.19M,90.19M,26.63M,196.46M,,0.881M,0.881M,,,,,61.41M,62.29M,258.75M,,159.15M,14.27M,,5.758M,-21.97M,,2007-09,,
2007-06,57.04M,,57.04M,62.12M,,62.12M,,8.74M,,18.53M,9.621M,156.05M,,,,,,155.50M,-77.87M,77.63M,125.97M,76.05M,202.02M,,12.89M,14.78M,307.32M,463.37M,,2007-06,62.07M,86.78M,,,1.27M,,1.27M,85.75M,85.75M,20.19M,193.99M,,1.013M,1.013M,,,,,60.06M,61.08M,255.06M,,145.42M,13.08M,4.103M,4.418M,-21.97M,,2007-06,,
2007-03,54.99M,,54.99M,50.71M,,50.71M,,8.691M,,19.60M,9.971M,143.97M,,,,154.72M,,154.72M,-77.87M,76.85M,125.23M,75.14M,200.38M,,12.96M,14.03M,304.21M,448.18M,,2007-03,55.41M,72.37M,,,1.183M,,1.183M,83.67M,83.67M,26.41M,183.64M,,0.939M,0.939M,,,,,58.74M,59.68M,243.32M,,143.59M,12.34M,3.439M,2.957M,-21.97M,,2007-03,,
2006-12,63.34M,,63.34M,52.69M,,52.69M,,8.401M,,19.44M,7.20M,151.07M,0.00,20.76M,30.37M,98.88M,,150.01M,-77.87M,72.14M,133.61M,68.61M,202.22M,,14.07M,13.68M,302.10M,453.18M,,2006-12,70.14M,86.45M,,,0.498M,,0.498M,79.44M,79.44M,18.82M,185.21M,,0.124M,0.124M,,,,,56.39M,56.51M,241.72M,,149.62M,11.74M,2.898M,,,,2006-12,,
2006-09,53.79M,,53.79M,57.82M,,57.82M,,8.398M,,21.05M,8.975M,150.03M,,,,140.89M,,140.89M,-68.80M,72.09M,134.02M,67.54M,201.56M,,16.87M,13.64M,304.16M,454.18M,,2006-09,67.94M,82.03M,,,0.623M,,0.623M,88.94M,88.94M,23.26M,194.86M,,0.197M,0.197M,,,,,60.24M,60.44M,255.31M,,143.34M,10.42M,2.898M,,,,2006-09,,
2006-06,37.22M,,37.22M,56.62M,,56.62M,,8.545M,,23.98M,10.02M,136.39M,,,,139.71M,,139.71M,-68.80M,70.91M,134.01M,71.06M,205.06M,,16.26M,14.60M,306.83M,443.22M,,2006-06,69.66M,84.40M,,,0.705M,,0.705M,84.38M,84.38M,23.72M,193.21M,,0.287M,0.287M,,,,,61.68M,61.97M,255.18M,,132.87M,9.651M,2.771M,,,,2006-06,,
