,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2005-03,1.059B,1.059B,36.00M,454.00M,490.00M,,,-21.00M,469.00M,207.00M,274.00M,246.00M,95.00M,151.00M,-6.00M,,,145.00M,163.89M,54.00M,384.00M,0.11,0.0,,,0.1197,0.11,0.11,0.0,,,0.1197,0.11,1.326B,1.326B,0.02
2004-12,1.06B,1.06B,33.00M,447.00M,480.00M,,,,480.00M,-718.00M,258.00M,160.00M,58.00M,102.00M,-49.00M,,,53.00M,102.00M,59.00M,260.00M,0.03,0.01,,,0.03,0.04,0.03,0.01,,,0.03,0.04,1.338B,1.338B,0.02
2004-09,1.00B,1.00B,43.00M,455.00M,498.00M,,,-112.00M,386.00M,185.00M,245.00M,72.00M,26.00M,46.00M,-87.00M,,,-41.00M,117.56M,58.00M,144.00M,0.03,-0.06,,,0.0825,-0.03,0.03,-0.06,,,0.0825,-0.03,1.364B,1.364B,0.02
2004-06,1.034B,1.034B,46.00M,493.00M,539.00M,,,-2.00M,537.00M,261.00M,224.00M,169.00M,62.00M,107.00M,6.00M,,,113.00M,108.27M,53.00M,220.00M,0.08,0.0,,,0.0809,0.08,0.08,0.0,,,0.0809,0.08,1.373B,1.373B,0.02
2004-03,1.108B,1.108B,62.00M,482.00M,544.00M,,,,544.00M,361.00M,209.00M,244.00M,85.00M,159.00M,2.00M,,,161.00M,159.00M,56.00M,298.00M,0.12,0.0,,,0.12,0.12,0.12,0.0,,,0.12,0.12,1.375B,1.375B,0.013999999999999999
2003-12,1.118B,1.118B,38.00M,460.00M,498.00M,,,,498.00M,47.00M,193.00M,234.00M,86.00M,148.00M,,,,148.00M,148.00M,72.00M,292.00M,0.11,0.0,,,0.11,0.11,0.11,0.0,,,0.11,0.11,1.311B,1.373B,0.013999999999999999
2003-09,1.051B,1.051B,32.00M,445.00M,477.00M,,,,477.00M,45.00M,181.00M,197.00M,73.00M,124.00M,3.00M,,,127.00M,124.00M,65.00M,252.00M,0.09,0.0,,,0.09,0.09,0.09,0.0,,,0.09,0.09,1.366B,1.366B,0.013999999999999999
2003-06,1.018B,1.018B,21.00M,449.00M,470.00M,,,,470.00M,43.00M,180.00M,182.00M,56.00M,126.00M,,,,126.00M,126.00M,71.00M,246.00M,0.1,0.0,,,0.1,0.1,0.09,0.0,,,0.09,0.09,1.36B,1.36B,0.011000000000000001
2003-03,900.00M,900.00M,48.00M,417.00M,465.00M,,,,465.00M,33.00M,175.00M,97.00M,23.00M,74.00M,-3.00M,,,71.00M,74.00M,76.00M,161.00M,0.05,0.0,,,0.05,0.05,0.05,0.0,,,0.05,0.05,1.357B,1.357B,0.011000000000000001
2002-12,952.00M,952.00M,-35.00M,411.00M,376.00M,,,-205.00M,171.00M,37.00M,176.00M,-54.00M,-13.00M,-41.00M,,,,-79.00M,114.65M,78.00M,8.00M,-0.02,-0.04,,0.0,0.095,-0.06,-0.02,-0.04,,0.0,0.095,-0.06,1.354B,1.354B,0.011000000000000001
2002-09,1.031B,1.031B,51.00M,472.00M,523.00M,,,-160.00M,363.00M,47.00M,209.00M,-5.00M,-1.00M,-4.00M,,,,-4.00M,124.00M,81.00M,81.00M,0.0,0.0,,,0.0943,0.0,0.0,0.0,,,0.0943,0.0,1.358B,1.358B,0.011000000000000001
2002-06,1.037B,1.037B,51.00M,470.00M,521.00M,,,,521.00M,49.00M,213.00M,161.00M,60.00M,101.00M,-3.00M,,,98.00M,101.00M,79.00M,251.00M,0.08,-0.01,,,0.08,0.07,0.08,-0.01,,,0.08,0.07,1.385B,1.385B,0.011000000000000001
2002-03,1.059B,1.059B,53.00M,485.00M,538.00M,,,-27.00M,511.00M,51.00M,221.00M,130.00M,48.00M,82.00M,,12.00M,,94.00M,99.03M,83.00M,224.00M,0.06,0.01,0.0,,0.0723,0.07,0.06,0.01,0.0086,,0.0723,0.07,1.389B,1.389B,0.011000000000000001
2001-12,998.00M,998.00M,58.00M,418.00M,476.00M,,,,476.00M,63.00M,192.00M,13.00M,-2.00M,15.00M,,,,-13.00M,15.00M,103.00M,133.00M,-0.02,0.01,,0.0002,-0.02,-0.01,-0.02,0.01,,0.0002,-0.02,-0.01,1.387B,1.387B,0.011000000000000001
2001-09,1.023B,1.023B,41.00M,475.00M,516.00M,,,,516.00M,42.00M,230.00M,26.00M,13.00M,13.00M,,,,13.00M,13.00M,102.00M,227.00M,0.01,0.0,,,0.01,0.01,0.01,0.0,,,0.01,0.01,1.395B,1.395B,0.011000000000000001
2001-06,1.071B,1.071B,50.00M,494.00M,544.00M,,,,544.00M,55.00M,232.00M,-26.00M,-7.00M,-19.00M,,,,102.00M,-19.00M,99.00M,231.00M,-0.01,0.08,,0.083,-0.01,0.07,-0.01,0.08,,0.083,-0.01,0.07,1.457B,1.457B,0.011000000000000001
2001-03,1.20B,1.20B,94.00M,493.00M,587.00M,,,,587.00M,95.00M,257.00M,164.00M,67.00M,97.00M,,,,97.00M,97.00M,100.00M,496.00M,0.07,0.0,,,0.07,0.07,0.07,0.0,,,0.07,0.07,1.386B,1.41B,0.011000000000000001
2000-12,1.335B,1.335B,89.00M,539.00M,628.00M,,,,628.00M,100.00M,306.00M,226.00M,87.00M,139.00M,,,,139.00M,139.00M,91.00M,583.00M,0.0,0.1,,,0.0,0.1,0.0,0.1,,,0.0,0.1,1.213B,1.425B,0.011000000000000001
2000-09,1.323B,1.323B,62.00M,613.00M,675.00M,,,,675.00M,97.00M,315.00M,240.00M,98.00M,142.00M,,,,142.00M,142.00M,79.00M,599.00M,0.1,0.0,,,0.1,0.1,0.1,0.0,,,0.1,0.1,1.415B,1.415B,0.011000000000000001
2000-06,1.403B,1.403B,77.00M,600.00M,677.00M,,,,677.00M,128.00M,319.00M,253.00M,116.00M,137.00M,,,,137.00M,137.00M,84.00M,585.00M,0.1,0.0,,,0.1,0.1,0.09,0.0,,,0.09,0.09,1.407B,1.407B,0.0093
2000-03,1.571B,1.571B,101.00M,591.00M,692.00M,,,,692.00M,245.00M,264.00M,479.00M,195.00M,284.00M,,,,284.00M,284.00M,54.00M,745.00M,0.23,0.0,,,0.23,0.23,0.22,0.0,,,0.22,0.22,1.232B,1.278B,0.0093
1999-12,1.274B,1.274B,78.48M,530.78M,609.27M,,,,609.27M,138.95M,233.55M,314.84M,124.70M,190.15M,,,,190.15M,190.15M,48.32M,576.50M,0.16,0.0,,,0.16,0.16,0.16,0.0,,,0.16,0.16,1.123B,1.373B,0.0093
1999-09,1.016B,1.016B,59.28M,434.53M,493.82M,,,,493.82M,92.90M,210.88M,235.86M,91.76M,144.11M,,,,144.11M,144.11M,47.00M,462.86M,0.11,0.0,,,0.11,0.11,0.1,0.0,,,0.1,0.1,1.376B,1.376B,0.0093
1999-06,1.116B,1.116B,56.04M,468.81M,524.85M,,,,524.85M,136.84M,196.80M,281.88M,111.35M,170.53M,,,,170.53M,170.53M,50.77M,488.11M,0.12,0.0,,,0.12,0.12,0.12,0.0,,,0.12,0.12,1.421B,1.421B,0.0093
1999-03,951.60M,951.60M,52.60M,390.20M,442.80M,,,,442.80M,131.30M,149.90M,236.10M,93.20M,142.90M,,,,142.90M,142.90M,34.90M,409.60M,0.12,0.0,,,0.12,0.12,0.11,0.0,,,0.11,0.11,1.411B,1.411B,0.0093
1998-12,,,,,,,,,,,,,,106.40M,,,,106.40M,106.40M,33.90M,,0.0833,0.0,,,0.0833,0.0833,0.08,0.0,,,0.08,0.08,1.306B,1.307B,0.0093
1998-09,705.30M,705.30M,34.00M,290.70M,324.70M,,,,324.70M,74.80M,124.00M,162.50M,64.70M,97.80M,,,,97.80M,97.80M,35.10M,329.50M,0.09,0.0,,,0.09,0.09,0.08,0.0,,,0.08,0.08,1.087B,1.222B,0.0089
1998-06,638.00M,638.00M,27.60M,278.80M,306.40M,,,,306.40M,59.10M,116.30M,125.80M,49.50M,76.30M,,,,76.30M,76.30M,35.30M,286.40M,0.07,0.0,,,0.07,0.07,0.07,0.0,,,0.07,0.07,1.09B,1.09B,0.0089
