,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,14.14B,51.83B,65.97B,21.15B,894.00M,22.05B,,88.02B,,,,,,,,,1.54B,1.227B,101.00M,1.328B,16.39B,,16.39B,178.01B,,199.30B,248.32B,32.21B,32.21B,2.468B,34.68B,0.00,0.00,0.00,34.68B,4.069B,59.00M,4.128B,190.18B,194.31B,228.99B,2.808B,15.22B,4.397B,2.837B,2.793B,,,-260.00M,19.33B
2017-12,14.22B,50.00B,64.21B,21.45B,649.00M,22.10B,126.00M,86.44B,167.00M,810.00M,2.075B,,142.00M,357.00M,3.551B,-2.08B,1.471B,1.227B,108.00M,1.335B,16.50B,26.00M,16.48B,171.84B,76.00M,191.21B,243.27B,32.53B,32.53B,2.81B,35.34B,15.00B,15.00B,15.00B,50.34B,4.692B,61.00M,4.753B,169.66B,174.41B,224.75B,2.808B,14.41B,4.353B,2.892B,2.793B,,,-152.00M,18.52B
2017-09,12.25B,48.06B,60.32B,18.46B,665.00M,19.13B,,79.44B,,,,,,,,,1.392B,1.227B,115.00M,1.342B,16.26B,26.00M,16.23B,162.86B,,183.40B,230.71B,36.91B,36.91B,2.249B,39.16B,5.00B,5.00B,5.00B,44.16B,3.205B,63.00M,3.268B,165.26B,168.53B,212.69B,2.798B,13.96B,4.365B,2.993B,2.783B,,,-106.00M,18.03B
2017-06,9.575B,45.63B,55.21B,17.99B,910.00M,18.90B,,74.11B,,,,,,,,,1.335B,1.227B,125.00M,1.352B,15.84B,26.00M,15.82B,153.70B,,173.64B,220.60B,34.97B,34.97B,2.021B,36.99B,300.00M,300.00M,300.00M,37.29B,3.454B,64.00M,3.518B,162.30B,165.82B,203.11B,2.798B,13.50B,4.336B,3.028B,2.783B,,,-112.00M,17.49B
2017-03,9.475B,50.59B,60.06B,16.73B,721.00M,17.45B,,77.51B,,,,,,,,,1.305B,1.227B,135.00M,1.362B,15.57B,26.00M,15.55B,159.12B,,178.66B,227.06B,36.91B,36.91B,2.162B,39.07B,600.00M,600.00M,600.00M,39.67B,3.452B,66.00M,3.518B,166.89B,170.41B,210.08B,2.798B,13.07B,4.30B,3.053B,2.783B,,,-132.00M,16.98B
2016-12,10.83B,77.36B,88.19B,17.93B,728.00M,18.66B,90.00M,106.94B,168.00M,807.00M,1.891B,,26.00M,342.00M,3.234B,-1.935B,1.299B,1.227B,144.00M,1.371B,15.43B,26.00M,15.40B,153.26B,143.00M,171.41B,223.38B,38.30B,38.30B,2.331B,40.63B,0.00,0.00,0.00,40.63B,2.876B,,2.876B,163.45B,166.33B,206.96B,2.798B,12.65B,4.267B,3.13B,2.783B,,,-163.00M,16.42B
2016-09,10.43B,75.79B,86.22B,16.38B,947.00M,17.33B,,103.55B,,,,,,,,,1.266B,1.227B,154.00M,1.381B,14.88B,26.00M,14.86B,142.70B,,161.50B,209.34B,36.46B,36.46B,1.902B,38.36B,3.001B,3.001B,3.001B,41.36B,2.806B,70.00M,2.876B,149.63B,152.51B,193.87B,2.207B,12.26B,4.254B,3.283B,2.192B,,,31.00M,15.47B
2016-06,12.98B,74.23B,87.20B,16.82B,1.008B,17.83B,,105.03B,,,,,,,,,1.242B,1.227B,163.00M,1.39B,14.70B,31.00M,14.67B,130.06B,,148.65B,198.05B,36.07B,36.07B,1.82B,37.89B,5.00B,5.00B,5.00B,42.89B,2.804B,72.00M,2.876B,137.30B,140.17B,183.06B,2.204B,11.88B,4.223B,3.302B,2.189B,,,-17.00M,14.99B
2016-03,10.46B,71.52B,81.97B,15.96B,1.105B,17.07B,,99.04B,,,,,,,,,1.159B,1.227B,172.00M,1.399B,14.45B,33.00M,14.42B,125.06B,,143.22B,191.00B,35.13B,35.13B,1.989B,37.12B,800.00M,800.00M,800.00M,37.92B,2.803B,74.00M,2.877B,135.69B,138.57B,176.48B,2.201B,11.57B,4.189B,3.324B,2.186B,,,-120.00M,14.51B
2015-12,11.98B,65.65B,77.62B,17.94B,582.00M,18.52B,101.00M,96.25B,110.00M,771.00M,1.711B,,18.00M,322.00M,2.932B,-1.787B,1.145B,1.227B,181.00M,1.408B,14.36B,31.00M,14.33B,116.37B,145.00M,133.36B,183.70B,35.77B,35.77B,2.151B,37.92B,,,,37.92B,2.802B,75.00M,2.877B,129.50B,132.38B,170.30B,1.474B,11.25B,4.152B,3.343B,1.459B,,,-134.00M,13.40B
2015-09,10.37B,66.35B,76.72B,17.09B,583.00M,17.67B,,94.39B,,,,,,,,,1.126B,1.227B,192.00M,1.419B,14.28B,31.00M,14.25B,107.36B,,125.12B,170.40B,33.75B,33.75B,1.549B,35.30B,,,,35.30B,2.816B,77.00M,2.893B,119.02B,121.91B,157.21B,1.472B,10.95B,4.16B,3.407B,1.457B,,,19.00M,13.20B
2015-06,9.017B,63.42B,72.43B,16.62B,917.00M,17.54B,,89.97B,,,,,,,,,1.091B,1.227B,204.00M,1.431B,14.05B,36.00M,14.01B,101.77B,,119.19B,163.63B,34.00B,34.00B,1.401B,35.40B,,,,35.40B,2.815B,79.00M,2.894B,112.91B,115.80B,151.20B,889.00M,10.66B,4.124B,3.428B,874.00M,,,174.00M,12.42B
2015-03,9.011B,61.37B,70.38B,16.01B,457.00M,16.47B,,86.85B,,,,,,,,,1.058B,1.227B,216.00M,1.443B,13.64B,38.00M,13.60B,98.34B,,115.30B,160.17B,34.03B,34.03B,1.586B,35.61B,,,,35.61B,2.814B,81.00M,2.895B,109.50B,112.40B,148.01B,888.00M,10.41B,4.085B,3.458B,873.00M,,,231.00M,12.16B
2014-12,11.36B,54.78B,66.15B,16.21B,469.00M,16.68B,110.00M,82.93B,107.00M,673.00M,1.775B,,64.00M,310.00M,2.929B,-1.89B,1.039B,1.227B,227.00M,1.454B,13.44B,42.00M,13.40B,89.76B,0.00,105.71B,154.64B,36.31B,36.31B,1.816B,38.12B,,,,38.12B,1.816B,83.00M,1.899B,102.82B,104.71B,142.84B,887.00M,10.20B,4.05B,3.497B,872.00M,,,165.00M,11.80B
2014-09,8.588B,52.20B,60.79B,15.42B,458.00M,15.87B,,76.66B,,,,,,,,,991.00M,1.227B,233.00M,1.46B,13.12B,40.00M,13.08B,86.78B,,103.09B,147.44B,35.23B,35.23B,1.496B,36.73B,,,,36.73B,1.90B,,1.90B,97.34B,99.24B,135.97B,887.00M,9.949B,4.05B,3.576B,872.00M,,,163.00M,11.47B
2014-06,6.832B,53.20B,60.04B,14.67B,522.00M,15.19B,,75.23B,,,,,,,,,883.00M,1.227B,244.00M,1.471B,12.91B,41.00M,12.87B,86.28B,,102.28B,143.40B,33.21B,33.21B,1.433B,34.64B,,,,34.64B,1.901B,,1.901B,95.69B,97.59B,132.23B,886.00M,9.715B,4.012B,3.629B,871.00M,,,186.00M,11.17B
2014-03,7.173B,53.08B,60.25B,14.57B,482.00M,15.05B,,75.31B,,,,,,,,,820.00M,1.227B,255.00M,1.482B,12.64B,48.00M,12.59B,85.66B,,101.29B,144.07B,34.23B,34.23B,1.532B,35.76B,,,,35.76B,1.902B,,1.902B,95.59B,97.49B,133.25B,885.00M,9.492B,3.982B,3.652B,870.00M,,,108.00M,10.82B
2013-12,7.728B,51.62B,59.35B,14.45B,509.00M,14.96B,85.00M,74.39B,70.00M,460.00M,1.655B,,95.00M,300.00M,2.58B,-1.79B,790.00M,1.227B,266.00M,1.493B,12.47B,48.00M,12.42B,82.51B,28.00M,97.29B,143.64B,36.80B,36.80B,1.586B,38.39B,,,,38.39B,1.814B,89.00M,1.903B,92.97B,94.88B,133.26B,884.00M,9.253B,3.951B,3.716B,869.00M,,,9.00M,10.38B
2013-09,7.362B,51.86B,59.23B,13.12B,511.00M,13.64B,,72.86B,,,,,,,,,738.00M,1.227B,278.00M,1.505B,12.17B,52.00M,12.12B,80.57B,,95.69B,140.21B,35.74B,35.74B,1.328B,37.07B,,,,37.07B,1.814B,90.00M,1.904B,91.19B,93.09B,130.16B,883.00M,9.034B,3.964B,3.874B,868.00M,,,46.00M,10.05B
2013-06,6.234B,48.41B,54.65B,12.82B,395.00M,13.22B,,67.87B,,,,,,,,,711.00M,1.231B,290.00M,1.521B,11.79B,57.00M,11.73B,74.72B,,89.44B,135.91B,39.00B,39.00B,1.21B,40.21B,,,,40.21B,1.63B,,1.63B,84.34B,85.98B,126.19B,882.00M,8.83B,3.932B,3.927B,867.00M,,,3.00M,9.72B
2013-03,6.931B,48.81B,55.74B,12.45B,467.00M,12.92B,,68.66B,,,,,,,,,681.00M,1.231B,302.00M,1.533B,11.36B,59.00M,11.30B,72.27B,,86.58B,133.32B,38.04B,38.04B,1.453B,39.49B,,,,39.49B,1.631B,,1.631B,82.42B,84.06B,123.55B,881.00M,8.674B,3.911B,3.99B,866.00M,,,300.00M,9.776B
2012-12,12.66B,46.12B,58.79B,14.02B,333.00M,14.36B,114.00M,73.26B,59.00M,456.00M,1.693B,,7.00M,287.00M,2.502B,-1.827B,675.00M,1.228B,319.00M,1.547B,10.78B,56.00M,10.73B,65.01B,0.00,78.03B,133.64B,41.40B,41.40B,1.641B,43.04B,,,,43.04B,1.537B,95.00M,1.632B,79.38B,81.01B,124.05B,880.00M,8.554B,3.881B,4.024B,865.00M,,,298.00M,9.589B
2012-09,33.56B,,33.56B,,,12.52B,,46.08B,,,,,,,,,672.00M,1.159B,292.00M,1.451B,10.16B,57.00M,10.10B,58.57B,,71.57B,117.66B,,36.21B,1.455B,37.66B,,,,37.66B,1.776B,,1.776B,68.76B,70.53B,108.19B,879.00M,8.442B,3.89B,4.058B,864.00M,,,312.00M,9.465B
2012-06,30.81B,,30.81B,,,12.27B,,43.08B,,,,,,,,,677.00M,1.165B,304.00M,1.469B,9.89B,51.00M,9.839B,55.98B,,68.73B,111.82B,33.16B,33.16B,1.285B,34.45B,,,,34.45B,1.999B,,1.999B,66.26B,68.26B,102.71B,878.00M,8.28B,3.87B,4.072B,863.00M,,,154.00M,9.11B
2012-03,33.70B,,33.70B,,,11.80B,,45.49B,,,,,,,,,684.00M,1.164B,316.00M,1.48B,9.862B,50.00M,9.812B,53.23B,,65.99B,111.48B,37.58B,37.58B,1.31B,38.89B,,,,38.89B,2.00B,,2.00B,62.26B,64.26B,103.14B,409.00M,8.097B,3.842B,4.087B,394.00M,,,76.00M,8.337B
2011-12,8.679B,33.96B,42.64B,11.54B,230.00M,11.77B,153.00M,54.57B,59.00M,446.00M,1.658B,,17.00M,307.00M,2.487B,-1.802B,685.00M,1.161B,326.00M,1.487B,9.936B,54.00M,9.882B,49.72B,27.00M,61.89B,108.55B,36.59B,36.59B,1.397B,37.98B,,,,37.98B,1.901B,100.00M,2.001B,60.85B,62.86B,100.84B,15.00M,7.978B,3.826B,4.113B,,,,8.00M,7.714B
2011-09,33.38B,,33.38B,,,11.64B,,45.03B,,,,,,,,,665.00M,1.138B,332.00M,1.47B,9.837B,53.00M,9.784B,45.18B,,57.88B,102.91B,37.95B,37.95B,1.218B,39.17B,,,,39.17B,2.002B,,2.002B,54.08B,56.08B,95.25B,15.00M,7.892B,3.822B,4.13B,,,,56.00M,7.655B
2011-06,30.31B,,30.31B,,,12.10B,,42.41B,,,,,,,,,639.00M,631.00M,,631.00M,9.57B,50.00M,9.52B,43.42B,,55.16B,97.57B,35.27B,35.27B,1.222B,36.50B,,,,36.50B,2.004B,,2.004B,52.34B,54.34B,90.84B,14.00M,7.745B,3.087B,4.157B,,,,45.00M,6.734B
2011-03,28.62B,,28.62B,,,11.81B,,40.42B,,,,,,,,,627.00M,631.00M,,631.00M,9.217B,53.00M,9.164B,43.08B,,54.46B,94.88B,33.73B,33.73B,1.40B,35.13B,,,,35.13B,2.005B,,2.005B,51.26B,53.26B,88.40B,14.00M,7.58B,3.061B,4.202B,,,,34.00M,6.487B
2010-12,4.931B,,4.931B,,,11.65B,,16.58B,57.00M,438.00M,1.516B,,15.00M,282.00M,2.308B,-1.684B,624.00M,631.00M,54.00M,685.00M,8.963B,53.00M,8.91B,42.09B,,75.99B,92.57B,32.25B,32.25B,1.496B,33.75B,,,,33.75B,2.006B,,2.006B,50.59B,52.60B,86.34B,14.00M,7.409B,3.034B,4.247B,,,,16.00M,6.226B
2010-09,25.77B,,25.77B,,,10.35B,,36.12B,,,,,,,,,610.00M,528.00M,,528.00M,8.349B,50.00M,8.299B,40.75B,,51.18B,87.30B,,29.16B,1.26B,30.42B,,,,30.42B,2.008B,,2.008B,48.84B,50.84B,81.26B,14.00M,7.363B,2.912B,4.257B,,,,3.00M,6.035B
2010-06,28.38B,,28.38B,,,10.38B,,38.76B,,,,,,,,,617.00M,528.00M,,528.00M,7.925B,51.00M,7.874B,33.57B,,43.53B,82.30B,,27.82B,1.40B,29.22B,,,,29.22B,1.308B,,1.308B,45.89B,47.20B,76.42B,14.00M,7.31B,2.888B,4.268B,,,,-65.00M,5.879B
2010-03,25.80B,,25.80B,,,9.907B,,35.71B,,,,,,,,,628.00M,528.00M,,528.00M,7.719B,53.00M,7.666B,32.71B,,42.63B,78.34B,,27.97B,1.336B,29.30B,,,,29.30B,1.309B,,1.309B,42.06B,43.36B,72.67B,14.00M,7.177B,2.866B,4.275B,,,,-111.00M,5.671B
2009-12,26.61B,,26.61B,,,9.187B,,35.80B,57.00M,428.00M,620.00M,854.00M,4.00M,296.00M,2.259B,-1.618B,641.00M,528.00M,,528.00M,7.497B,45.00M,7.452B,29.88B,,39.63B,75.43B,,28.62B,1.407B,30.03B,,,,30.03B,1.512B,,1.512B,38.82B,40.33B,70.36B,14.00M,7.243B,2.298B,4.291B,,,,-191.00M,5.073B
2009-09,25.56B,,25.56B,,,8.449B,,34.00B,,,,,,,,,646.00M,528.00M,,528.00M,6.979B,,6.979B,24.94B,,33.98B,67.98B,,24.69B,1.377B,26.06B,,,,26.06B,1.516B,,1.516B,35.50B,37.02B,63.08B,14.00M,7.149B,2.278B,4.292B,,,,-246.00M,4.903B
2009-06,24.89B,,24.89B,,,8.194B,,33.08B,,,,,,,,,650.00M,528.00M,,528.00M,6.708B,,6.708B,20.31B,,29.18B,62.26B,,23.07B,1.315B,24.38B,,,,24.38B,1.56B,,1.56B,31.70B,33.26B,57.65B,14.00M,7.019B,2.253B,4.31B,,,,-362.00M,4.614B
2009-03,22.45B,,22.45B,,,7.149B,,29.60B,,,,,,,,,649.00M,528.00M,,528.00M,6.496B,,6.496B,16.59B,,25.30B,54.90B,,21.78B,1.359B,23.14B,,,,23.14B,816.00M,,816.00M,26.64B,27.45B,50.60B,14.00M,6.883B,2.234B,4.33B,,,,-500.00M,4.301B
2008-12,20.13B,,20.13B,,,7.888B,,28.02B,57.00M,414.00M,612.00M,846.00M,14.00M,251.00M,2.194B,-1.533B,661.00M,528.00M,,528.00M,6.105B,20.00M,6.085B,15.32B,,23.66B,51.68B,,21.36B,1.534B,22.89B,,,,22.89B,883.00M,,883.00M,23.84B,24.72B,47.61B,14.00M,6.735B,2.214B,4.349B,,,,-553.00M,4.061B
2008-09,5.323B,,5.323B,,,11.65B,,16.97B,,,,,,,,,633.00M,,,528.00M,5.592B,16.00M,5.576B,14.23B,,22.03B,52.76B,,23.96B,,23.96B,,,,23.96B,881.00M,,881.00M,21.96B,22.84B,48.70B,14.00M,6.496B,2.213B,4.375B,,,,-285.00M,4.063B
2008-06,5.239B,,5.239B,,,13.44B,,18.67B,,,,,,,,,623.00M,,,528.00M,4.977B,12.00M,4.965B,13.28B,,20.33B,48.36B,,22.29B,,22.29B,,,,22.29B,882.00M,,882.00M,19.91B,20.79B,44.47B,14.00M,6.261B,2.172B,4.414B,,,,-142.00M,3.891B
2008-03,4.791B,,4.791B,,,12.18B,,16.97B,,,,,,,,,628.00M,,,528.00M,4.181B,,4.181B,10.26B,,16.51B,44.55B,,23.00B,,23.00B,,,,23.00B,903.00M,,903.00M,15.56B,16.46B,40.99B,14.00M,6.024B,2.135B,4.476B,,,,-135.00M,3.562B
2007-12,6.764B,,6.764B,,,13.04B,,19.80B,,,,,,,,,617.00M,,,525.00M,3.494B,7.00M,3.487B,8.201B,,13.68B,42.29B,,22.21B,,22.21B,,,,22.21B,899.00M,,899.00M,13.82B,14.72B,38.55B,14.00M,5.776B,2.107B,4.148B,,,,-17.00M,3.732B
2007-09,4.869B,,4.869B,,,11.98B,,16.85B,,,,,,,,,604.00M,,,525.00M,3.118B,,3.118B,7.991B,,13.06B,39.31B,,21.20B,,21.20B,,,,21.20B,625.00M,,625.00M,12.47B,13.10B,35.92B,14.00M,5.526B,2.075B,4.209B,,,,-12.00M,3.394B
2007-06,3.471B,,3.471B,,,12.36B,,15.83B,,,,,,,,,609.00M,,,524.00M,2.77B,,2.77B,8.249B,,24.02B,49.00B,,21.20B,,21.20B,,,,21.20B,384.00M,,384.00M,11.68B,12.07B,43.93B,14.00M,5.308B,1.985B,2.177B,,,,-56.00M,5.074B
2007-03,3.257B,,3.257B,,,11.49B,,14.75B,,,,,,,,,606.00M,,,523.00M,2.481B,,2.481B,6.812B,,21.98B,47.28B,,21.13B,,21.13B,,,,21.13B,387.00M,,387.00M,11.44B,11.83B,42.34B,14.00M,5.078B,1.925B,2.053B,,,,-29.00M,4.935B
2006-12,4.507B,,4.507B,,,11.58B,,16.08B,,,,,,,,,602.00M,,,419.00M,2.368B,4.00M,2.364B,6.386B,,22.05B,48.99B,,22.44B,,22.44B,,,,22.44B,388.00M,,388.00M,11.02B,11.41B,43.98B,14.00M,4.901B,1.868B,1.739B,,1.00M,-37.00M,-36.00M,5.008B
2006-09,3.873B,,3.873B,,,11.11B,,14.98B,,,,,,,,,698.00M,,,945.00M,9.137B,,9.137B,20.28B,,32.16B,47.14B,,21.97B,,21.97B,640.00M,640.00M,640.00M,22.61B,441.00M,,441.00M,17.90B,18.34B,42.51B,14.00M,4.498B,1.867B,1.713B,,,,-32.00M,4.634B
2006-06,3.029B,,3.029B,,,11.56B,,14.59B,,,,,,,,,705.00M,,,947.00M,8.951B,,8.951B,20.58B,,32.27B,46.87B,,23.25B,,23.25B,1.597B,1.597B,1.597B,24.85B,466.00M,,466.00M,15.67B,16.13B,42.26B,14.00M,4.27B,1.838B,1.459B,,,,-61.00M,4.602B
2006-03,2.223B,,2.223B,,,11.55B,,13.77B,,,,,,,,,773.00M,,,950.00M,8.683B,,8.683B,22.43B,,33.85B,47.62B,,25.53B,,25.53B,809.00M,809.00M,809.00M,26.34B,509.00M,,509.00M,14.89B,15.40B,42.99B,14.00M,4.058B,1.806B,1.199B,,,,-47.00M,4.632B
2005-12,1.905B,,1.905B,,,11.60B,,13.50B,,,,,,,,,699.00M,,,419.00M,1.966B,3.00M,1.963B,19.39B,,33.85B,47.35B,,26.22B,,26.22B,,,,26.22B,462.00M,,462.00M,6.969B,7.431B,42.90B,14.00M,3.847B,1.827B,1.124B,,,,-114.00M,4.45B
2005-09,1.889B,,1.889B,,,10.95B,,12.84B,,,,,,,,,825.00M,,,954.00M,8.262B,28.00M,8.234B,21.52B,,32.53B,45.37B,,25.49B,,25.49B,842.00M,842.00M,842.00M,26.33B,537.00M,,537.00M,12.91B,13.45B,41.02B,14.00M,3.692B,1.79B,1.081B,,,,-66.00M,4.349B
2005-06,2.616B,,2.616B,,,10.40B,,13.02B,,,,,,,,,852.00M,,,959.00M,7.612B,,7.612B,23.06B,,33.46B,46.48B,,27.18B,,27.18B,1.158B,1.158B,1.158B,28.34B,565.00M,,565.00M,11.98B,12.55B,42.16B,14.00M,3.529B,1.775B,941.00M,,,,-59.00M,4.318B
2005-03,2.14B,,2.14B,,,10.28B,,12.42B,,,,,,,,,874.00M,,,961.00M,7.202B,27.00M,7.175B,24.01B,,33.99B,46.40B,,28.06B,,28.06B,792.00M,792.00M,792.00M,28.85B,577.00M,,577.00M,11.43B,12.00B,42.13B,14.00M,3.372B,1.773B,811.00M,,,,-73.00M,4.275B
2004-12,2.778B,,2.778B,,,10.32B,,13.10B,,,,,,,,,903.00M,,,964.00M,6.869B,27.00M,6.842B,24.35B,,34.03B,47.13B,,28.98B,,28.98B,663.00M,663.00M,663.00M,29.65B,585.00M,,585.00M,11.12B,11.70B,42.75B,14.00M,3.258B,1.769B,591.00M,,,,-64.00M,4.386B
2004-09,2.096B,,2.096B,,,9.484B,,11.58B,,,,,,,,,932.00M,,,958.00M,7.261B,,7.261B,4.304B,,34.36B,45.94B,,28.30B,,28.30B,840.00M,840.00M,840.00M,29.14B,611.00M,,611.00M,10.20B,10.81B,41.38B,14.00M,3.256B,1.763B,366.00M,,,,-112.00M,4.555B
2004-06,2.547B,,2.547B,,,9.623B,,12.17B,,,,,,,,,942.00M,,,1.201B,6.813B,,6.813B,25.28B,,35.15B,47.32B,,29.97B,,29.97B,679.00M,679.00M,679.00M,30.65B,645.00M,,645.00M,10.04B,10.69B,42.59B,14.00M,3.334B,1.759B,235.00M,,,,-140.00M,4.732B
2004-03,2.414B,,2.414B,,,9.762B,,12.18B,,,,,,,,,943.00M,,,1.205B,6.069B,,6.069B,25.05B,,34.11B,46.28B,,29.56B,,29.56B,755.00M,755.00M,755.00M,30.32B,779.00M,,779.00M,9.271B,10.05B,41.62B,14.00M,3.254B,1.758B,249.00M,,,,-115.00M,4.662B
2003-12,2.832B,,2.832B,,,9.137B,,11.97B,,,,,,,,,956.00M,,,979.00M,5.765B,,5.765B,25.37B,,33.90B,45.87B,,30.00B,,30.00B,996.00M,996.00M,996.00M,31.00B,772.00M,,772.00M,8.308B,9.08B,41.40B,14.00M,3.125B,1.749B,319.00M,,,,-108.00M,4.461B
2003-09,2.515B,,2.515B,,,7.972B,,10.49B,,,,,,,,,976.00M,,,605.00M,5.616B,,5.616B,25.16B,,33.27B,43.76B,,29.44B,,29.44B,1.402B,1.402B,1.402B,30.85B,776.00M,,776.00M,6.508B,7.284B,39.45B,14.00M,3.007B,1.747B,348.00M,,,,-108.00M,4.312B
