,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-09,1.958B,2.11B,1.418B,692.00M,92.00M,,92.00M,,-23.00M,21.00M,9.00M,-12.00M,150.00M,242.00M,450.00M,9.00M,21.00M,-12.00M,-21.00M,-12.00M,417.00M,158.00M,259.00M,,,259.00M,273.29M,533.00M,95.00M,438.00M,,2.10,,,2.216,2.10,,2.09,,,2.205,2.09,,123.47M,124.22M,0.30,,AOR,Restated
2017-06,1.945B,2.102B,1.349B,753.00M,102.00M,,102.00M,,-24.00M,22.00M,9.00M,-13.00M,140.00M,242.00M,511.00M,9.00M,22.00M,-13.00M,-24.00M,-13.00M,474.00M,181.00M,293.00M,,,293.00M,307.84M,586.00M,90.00M,496.00M,,2.37,,,2.490,2.37,,2.36,,,2.479,2.36,,123.57M,124.33M,0.30,,AOR,Restated
2017-03,1.602B,1.74B,1.33B,410.00M,83.00M,,83.00M,,-39.00M,21.00M,7.00M,-14.00M,131.00M,214.00M,196.00M,7.00M,21.00M,-14.00M,-40.00M,-14.00M,142.00M,49.00M,93.00M,,,93.00M,118.54M,253.00M,90.00M,163.00M,,0.75,,,0.9568,0.75,,0.75,,,0.9555,0.75,,123.50M,124.30M,0.30,,AOR,Restated
2016-12,1.592B,1.518B,1.053B,465.00M,86.00M,,86.00M,,-81.00M,18.00M,7.00M,-11.00M,100.00M,186.00M,279.00M,7.00M,18.00M,-11.00M,-66.00M,-11.00M,202.00M,105.00M,97.00M,,,97.00M,145.60M,302.00M,82.00M,220.00M,,0.92,,,1.314,0.92,,0.92,,,1.311,0.92,,123.28M,124.38M,0.275,,AOR,Restated
2016-09,1.353B,1.566B,994.00M,572.00M,58.00M,,58.00M,,-22.00M,5.00M,7.00M,2.00M,92.00M,150.00M,422.00M,7.00M,5.00M,2.00M,-22.00M,2.00M,402.00M,146.00M,256.00M,,,256.00M,270.01M,508.00M,101.00M,407.00M,,2.08,,,2.194,2.08,,2.07,,,2.183,2.07,,123.15M,123.83M,0.275,,AOR,Restated
2016-06,1.29B,1.494B,926.00M,568.00M,55.00M,,55.00M,,-14.00M,2.00M,7.00M,5.00M,81.00M,136.00M,432.00M,7.00M,2.00M,5.00M,-17.00M,5.00M,420.00M,160.00M,260.00M,,,260.00M,268.67M,514.00M,92.00M,422.00M,,2.11,,,2.180,2.11,,2.10,,,2.170,2.10,,123.25M,123.99M,0.275,,AOR,Restated
2016-03,1.157B,1.347B,914.00M,433.00M,49.00M,,49.00M,,0.00,5.00M,6.00M,1.00M,94.00M,143.00M,290.00M,6.00M,5.00M,1.00M,1.00M,1.00M,292.00M,108.00M,184.00M,,,184.00M,184.00M,385.00M,88.00M,297.00M,,1.47,,,1.47,1.47,,1.46,,,1.46,1.46,,124.55M,125.33M,0.275,,AOR,Restated
2015-12,1.203B,1.377B,942.00M,435.00M,51.00M,,51.00M,,-32.00M,1.00M,5.00M,4.00M,97.00M,148.00M,287.00M,5.00M,1.00M,4.00M,-32.00M,4.00M,259.00M,68.00M,191.00M,,,191.00M,214.60M,344.00M,84.00M,260.00M,,1.52,,,1.708,1.52,,1.51,,,1.696,1.51,,125.80M,126.89M,0.20,,AOR,Restated
2015-09,1.327B,1.515B,947.00M,568.00M,53.00M,,53.00M,,0.00,1.00M,5.00M,4.00M,82.00M,135.00M,433.00M,5.00M,1.00M,4.00M,,4.00M,437.00M,163.00M,274.00M,,,274.00M,274.00M,519.00M,81.00M,438.00M,,2.15,,,2.15,2.15,,2.14,,,2.14,2.14,,127.31M,128.20M,0.20,,AOR,Restated
2015-06,1.261B,1.437B,917.00M,520.00M,54.00M,,54.00M,,0.00,3.00M,6.00M,3.00M,94.00M,148.00M,372.00M,6.00M,3.00M,3.00M,1.00M,3.00M,376.00M,142.00M,234.00M,,,234.00M,234.00M,458.00M,79.00M,379.00M,,1.80,,,1.80,1.80,,1.79,,,1.79,1.79,,129.24M,130.26M,0.20,,AOR,Restated
2015-03,1.11B,1.269B,895.00M,374.00M,53.00M,,53.00M,,,3.00M,5.00M,2.00M,83.00M,136.00M,238.00M,5.00M,3.00M,2.00M,,2.00M,240.00M,91.00M,149.00M,,,149.00M,149.00M,319.00M,76.00M,243.00M,,1.13,,,1.13,1.13,,1.12,,,1.12,1.12,,131.12M,132.23M,0.20,,AOR,Restated
2014-12,1.142B,1.306B,970.00M,336.00M,45.00M,,45.00M,,,6.00M,6.00M,0.00,79.00M,124.00M,212.00M,6.00M,6.00M,0.00,30.00M,0.00,242.00M,94.00M,148.00M,,,148.00M,148.00M,324.00M,76.00M,248.00M,,1.12,,,1.12,1.12,,1.11,,,1.11,1.11,,132.33M,133.73M,0.125,,AOR,Restated
2014-09,1.281B,1.465B,1.027B,438.00M,55.00M,,55.00M,,,7.00M,5.00M,-2.00M,67.00M,122.00M,316.00M,5.00M,7.00M,-2.00M,2.00M,-2.00M,316.00M,118.00M,198.00M,,,198.00M,198.00M,398.00M,75.00M,323.00M,,1.47,,,1.47,1.47,,1.45,,,1.45,1.45,,134.86M,136.16M,0.125,,AOR,Restated
2014-06,1.206B,1.375B,978.00M,397.00M,53.00M,,53.00M,,,8.00M,5.00M,-3.00M,81.00M,134.00M,263.00M,5.00M,8.00M,-3.00M,5.00M,-3.00M,265.00M,100.00M,165.00M,,,165.00M,165.00M,346.00M,73.00M,273.00M,,1.20,,,1.20,1.20,,1.19,,,1.19,1.19,,137.27M,138.71M,0.125,,AOR,Restated
2014-03,1.064B,1.222B,954.00M,268.00M,46.00M,,46.00M,,,7.00M,5.00M,-2.00M,81.00M,127.00M,141.00M,5.00M,7.00M,-2.00M,13.00M,-2.00M,152.00M,58.00M,94.00M,,,94.00M,94.00M,229.00M,70.00M,159.00M,,0.69,,,0.69,0.69,,0.68,,,0.68,0.68,,137.33M,138.82M,0.125,,AOR,Restated
2013-12,1.059B,1.21B,962.00M,248.00M,42.00M,,42.00M,,,8.00M,4.00M,-4.00M,76.00M,118.00M,130.00M,4.00M,8.00M,-4.00M,-1.00M,-4.00M,125.00M,47.00M,78.00M,,,78.00M,78.00M,200.00M,67.00M,133.00M,,0.56,,,0.56,0.56,,0.555,,,0.555,0.555,,138.73M,140.87M,0.10,,AOR,Restated
2013-09,1.20B,1.557B,971.00M,586.00M,47.00M,,47.00M,,,7.00M,5.00M,-2.00M,69.00M,116.00M,470.00M,5.00M,7.00M,-2.00M,-5.00M,-2.00M,463.00M,174.00M,289.00M,,,289.00M,289.00M,537.00M,67.00M,470.00M,,2.07,,,2.07,2.07,,2.04,,,2.04,2.04,,139.56M,141.38M,0.10,,AOR,Restated
2013-06,1.118B,1.256B,966.00M,290.00M,51.00M,,51.00M,,,9.00M,4.00M,-5.00M,65.00M,116.00M,174.00M,4.00M,9.00M,-5.00M,,-5.00M,169.00M,65.00M,104.00M,,,104.00M,104.00M,245.00M,67.00M,178.00M,,0.75,,,0.75,0.75,,0.74,,,0.74,0.74,,140.50M,142.32M,0.00,,AOR,Restated
2013-03,1.004B,1.133B,964.00M,169.00M,38.00M,,38.00M,,,11.00M,4.00M,-7.00M,67.00M,105.00M,64.00M,4.00M,11.00M,-7.00M,2.00M,-7.00M,59.00M,22.00M,37.00M,,,37.00M,37.00M,139.00M,69.00M,70.00M,,0.26,,,0.26,0.26,,0.255,,,0.255,0.255,,140.86M,142.83M,0.00,,AOR,Restated
2012-12,1.006B,1.132B,957.00M,175.00M,37.00M,,37.00M,,,9.00M,4.00M,-5.00M,64.00M,101.00M,74.00M,4.00M,9.00M,-5.00M,3.00M,-5.00M,72.00M,28.00M,44.00M,,,44.00M,44.00M,150.00M,69.00M,81.00M,,0.31,,,0.31,0.31,,0.305,,,0.305,0.305,,140.55M,141.92M,0.00,,AOR,Restated
2012-09,1.133B,1.272B,898.00M,374.00M,46.00M,,46.00M,,,11.00M,5.00M,-6.00M,59.00M,105.00M,269.00M,5.00M,11.00M,-6.00M,2.00M,-6.00M,265.00M,102.00M,163.00M,,,163.00M,163.00M,342.00M,66.00M,276.00M,,1.15,,,1.15,1.15,,1.135,,,1.135,1.135,,141.93M,143.77M,0.00,,AOR,Restated
2012-06,1.082B,1.214B,993.00M,221.00M,44.00M,,44.00M,,,14.00M,5.00M,-9.00M,61.00M,105.00M,116.00M,5.00M,14.00M,-9.00M,2.00M,-9.00M,109.00M,41.00M,68.00M,,,68.00M,68.00M,188.00M,65.00M,123.00M,,0.475,,,0.475,0.475,,0.465,,,0.465,0.465,,141.99M,144.40M,0.00,,AOR,Restated
2012-03,920.00M,1.039B,862.00M,177.00M,41.00M,,41.00M,,,12.00M,5.00M,-7.00M,64.00M,105.00M,72.00M,5.00M,12.00M,-7.00M,1.00M,-7.00M,66.00M,25.00M,41.00M,,,41.00M,41.00M,142.00M,64.00M,78.00M,,0.285,,,0.285,0.285,,0.28,,,0.28,0.28,,142.38M,145.32M,0.00,,AOR,Restated
2011-12,543.50M,1.044B,1.802B,-757.00M,42.00M,,-748.60M,,-3.50M,11.40M,3.60M,-7.80M,61.50M,-871.30M,114.30M,3.60M,11.40M,-7.80M,-5.50M,-7.80M,101.00M,36.50M,64.50M,,,64.50M,66.74M,175.20M,62.80M,112.40M,,0.45,,,0.4657,0.45,,0.435,,,0.4502,0.435,,142.23M,146.67M,0.00,,AOR,Restated
2011-09,1.198B,1.198B,624.50M,573.60M,47.40M,264.20M,311.60M,,-0.80M,23.60M,4.50M,-19.10M,54.60M,428.40M,145.20M,4.50M,23.60M,-19.10M,-0.80M,-19.10M,125.30M,47.80M,77.50M,,,77.50M,77.99M,211.10M,62.20M,148.90M,,0.54,0.00,,0.5434,0.54,,0.53,0.00,,0.5334,0.53,,143.91M,146.48M,0.00,,AOR,Restated
2011-06,1.110B,1.110B,599.20M,511.00M,45.80M,260.70M,306.50M,,-25.50M,20.00M,7.90M,-12.10M,58.20M,426.40M,84.60M,7.90M,20.00M,-12.10M,-25.50M,-12.10M,47.00M,18.20M,28.80M,,,28.80M,44.43M,128.70M,61.70M,67.00M,,0.20,0.00,,0.3086,0.20,,0.195,0.00,,0.3013,0.195,,143.93M,146.95M,0.00,,AOR,Restated
2011-03,965.20M,965.20M,394.80M,570.40M,39.80M,265.70M,305.50M,,-9.20M,23.40M,9.40M,-14.00M,60.70M,426.50M,143.90M,9.40M,23.40M,-14.00M,-9.20M,-14.00M,120.70M,46.50M,74.20M,,,74.20M,79.86M,204.40M,60.30M,144.10M,,0.515,0.00,,0.5543,0.515,,0.505,0.00,,0.5434,0.505,,143.98M,147.36M,0.00,,AOR,Restated
2010-12,498.20M,958.20M,1.687B,-728.80M,37.90M,,-743.70M,,-17.10M,20.60M,1.60M,-19.00M,55.20M,-860.50M,131.70M,1.60M,20.60M,-19.00M,-9.10M,-19.00M,103.60M,38.90M,64.70M,,,64.70M,75.38M,182.20M,58.00M,124.20M,,0.4475,,,0.5216,0.4475,,0.435,,,0.5071,0.435,,144.09M,148.10M,0.00,,AOR,Restated
2010-09,1.068B,1.068B,436.00M,632.00M,44.30M,263.20M,307.50M,,1.80M,29.50M,9.00M,-20.50M,49.80M,415.10M,216.90M,9.00M,29.50M,-20.50M,1.80M,-20.50M,198.20M,75.80M,122.40M,,,122.40M,121.29M,285.50M,57.80M,227.70M,,0.8525,0.00,,0.8448,0.8525,,0.83,0.00,,0.8225,0.83,,143.59M,147.32M,0.00,,AOR,Restated
2010-06,976.20M,976.20M,460.90M,515.30M,38.20M,261.20M,299.40M,,1.30M,26.30M,9.30M,-17.00M,48.20M,405.60M,109.70M,9.30M,26.30M,-17.00M,1.30M,-17.00M,94.00M,35.40M,58.60M,,,58.60M,57.79M,178.30M,58.00M,120.30M,,0.41,0.00,,0.4043,0.41,,0.40,0.00,,0.3945,0.40,,142.79M,146.79M,0.00,,AOR,Restated
2010-03,829.60M,829.60M,409.10M,420.50M,33.60M,257.20M,290.80M,,0.90M,25.60M,9.20M,-16.40M,47.80M,394.80M,25.70M,9.20M,25.60M,-16.40M,0.90M,-16.40M,10.20M,4.90M,5.30M,,,5.30M,4.715M,92.00M,56.20M,35.80M,,0.0375,0.00,,0.0334,0.0375,,0.0375,0.00,,0.0335,0.0375,,142.67M,145.57M,0.00,,AOR,Restated
2009-12,846.10M,846.10M,178.30M,667.80M,34.50M,272.60M,307.10M,,5.90M,26.50M,9.80M,-16.70M,59.80M,423.80M,244.00M,9.80M,26.50M,-16.70M,5.90M,-16.70M,42.00M,17.90M,24.10M,,,24.10M,20.26M,125.40M,56.90M,68.50M,,0.17,0.00,,0.1429,0.17,,0.1675,0.00,,0.1407,0.1675,,141.27M,142.96M,0.00,,AOR,Restated
2009-09,967.40M,967.40M,203.90M,763.50M,37.00M,270.20M,307.20M,,-0.80M,25.90M,9.70M,-16.20M,49.70M,412.50M,351.00M,9.70M,25.90M,-16.20M,-0.80M,-16.20M,142.80M,55.20M,87.60M,,,87.60M,88.09M,224.30M,55.60M,168.70M,,0.62,0.00,,0.6235,0.62,,0.615,0.00,,0.6184,0.615,,141.10M,142.72M,0.00,,AOR,Restated
2009-06,843.90M,843.90M,143.70M,700.20M,35.30M,301.80M,337.10M,,-3.50M,23.30M,7.80M,-15.50M,55.50M,446.50M,253.70M,7.80M,23.30M,-15.50M,-3.50M,-15.50M,47.70M,18.60M,29.10M,,,29.10M,31.24M,124.90M,53.90M,71.00M,,0.20,0.00,,0.2147,0.20,,0.1975,0.00,,0.2121,0.1975,,145.42M,146.36M,0.00,,AOR,Restated
2009-03,742.40M,742.40M,180.00M,562.40M,25.00M,255.30M,280.30M,,-1.00M,25.00M,8.30M,-16.70M,56.80M,389.90M,172.50M,8.30M,25.00M,-16.70M,-1.00M,-16.70M,-29.60M,-10.40M,-19.20M,,,-19.20M,-18.55M,48.20M,52.80M,-4.60M,,-0.1325,0.00,,-0.1280,-0.1325,,-0.1325,0.00,,-0.1280,-0.1325,,145.30M,145.30M,0.00,,AOR,Restated
2008-12,947.90M,827.10M,373.70M,453.40M,26.80M,238.90M,265.70M,,-10.10M,23.30M,10.90M,-12.40M,51.50M,368.90M,84.50M,10.90M,23.30M,-12.40M,-10.10M,-12.40M,-120.00M,-44.80M,-75.20M,,,-75.20M,-68.87M,-45.00M,51.70M,-96.70M,,-0.5175,0.00,,-0.4738,-0.5175,,-0.5175,0.00,,-0.4738,-0.5175,,144.89M,144.89M,0.00,,AOR,
2008-09,1.026B,1.065B,602.60M,462.60M,41.70M,238.40M,280.10M,,-7.40M,20.00M,10.70M,-9.30M,52.70M,384.90M,77.70M,10.70M,20.00M,-9.30M,-7.40M,-9.30M,-133.00M,-46.50M,-86.50M,,,-86.50M,-81.69M,-60.90M,52.10M,-113.00M,,-0.60,0.00,,-0.5666,-0.60,,-0.60,0.00,,-0.5666,-0.60,,144.28M,144.28M,0.00,,AOR,Restated
2008-06,891.20M,930.80M,229.30M,701.50M,44.10M,239.50M,283.60M,,0.10M,18.90M,10.50M,-8.40M,61.50M,396.60M,304.90M,10.50M,18.90M,-8.40M,0.10M,-8.40M,98.20M,35.10M,63.10M,,,63.10M,63.04M,168.60M,51.50M,117.10M,,0.4375,0.00,,0.4371,0.4375,,0.435,0.00,,0.4346,0.435,,144.24M,145.02M,0.00,,AOR,Restated
2008-03,839.50M,839.50M,303.00M,536.50M,34.50M,248.30M,282.80M,,0.20M,16.90M,10.30M,-6.60M,57.20M,389.30M,147.20M,10.30M,16.90M,-6.60M,0.20M,-6.60M,-58.40M,-21.10M,-37.30M,,,-37.30M,-37.43M,7.80M,49.30M,-41.50M,,-0.2525,0.00,,-0.2534,-0.2525,,-0.2525,0.00,,-0.2534,-0.2525,,148.10M,148.10M,0.00,,AOR,Restated
2007-12,853.40M,853.40M,406.10M,447.30M,37.70M,246.80M,284.50M,,-2.90M,14.80M,11.90M,-2.90M,62.80M,392.40M,54.90M,11.90M,14.80M,-2.90M,-2.90M,-2.90M,9.60M,2.20M,7.40M,,,7.40M,9.635M,69.50M,45.10M,24.40M,,0.0525,0.00,,0.0668,0.0525,,0.0525,0.00,,0.0668,0.0525,,156.80M,156.80M,0.00,,AOR,Restated
2007-09,988.80M,988.80M,256.20M,732.60M,42.70M,244.00M,286.70M,,-0.30M,15.70M,13.80M,-1.90M,55.70M,389.00M,343.60M,13.80M,15.70M,-1.90M,-0.30M,-1.90M,134.80M,53.00M,81.80M,,,81.80M,81.98M,197.10M,46.60M,150.50M,,0.505,0.00,,0.5061,0.505,,0.5025,0.00,,0.5036,0.5025,,161.93M,163.10M,0.00,,AOR,Restated
2007-06,904.40M,904.40M,225.40M,679.00M,41.10M,240.40M,281.50M,,-4.40M,22.50M,20.50M,-2.00M,69.90M,395.20M,283.80M,20.50M,22.50M,-2.00M,-4.40M,-2.00M,75.00M,28.90M,46.10M,,,46.10M,48.80M,141.30M,43.80M,97.50M,,0.285,0.00,,0.3017,0.285,,0.2825,0.00,,0.2991,0.2825,,161.80M,163.13M,0.00,,AOR,Restated
2007-03,717.00M,759.40M,198.20M,561.20M,39.00M,247.50M,286.50M,,-0.20M,13.90M,14.40M,0.50M,54.90M,383.30M,177.90M,14.40M,13.90M,0.50M,-0.20M,0.50M,-17.80M,-7.50M,-10.30M,,,-10.30M,-10.17M,38.00M,41.90M,-3.90M,,-0.065,0.00,,-0.0642,-0.065,,-0.065,0.00,,-0.0642,-0.065,,161.46M,161.46M,0.00,,AOR,Restated
2006-12,790.30M,790.30M,,,36.70M,859.50M,896.20M,,7.00M,,,,-1.987B,-1.047B,775.00M,,,,7.00M,,-16.60M,-5.00M,-11.60M,,,-11.60M,-16.49M,127.40M,43.40M,84.00M,,-0.0725,0.00,,-0.1029,-0.0725,,-0.0725,0.00,,-0.1029,-0.0725,,160.96M,160.96M,0.00,,AOR,Restated
2006-09,935.70M,935.70M,,,44.70M,37.60M,82.30M,,7.30M,,,,836.90M,959.70M,-24.00M,,,,7.30M,,-22.90M,-5.50M,-17.40M,,,-17.40M,-22.95M,16.50M,40.50M,-24.00M,,-0.11,0.00,,-0.1447,-0.11,,-0.11,0.00,,-0.1447,-0.11,,159.82M,159.82M,0.00,,AOR,Restated
2006-06,873.00M,873.00M,,,46.40M,39.60M,86.00M,36.70M,5.00M,,,,670.20M,792.90M,80.10M,,,,5.00M,,81.10M,25.60M,55.50M,,,55.50M,52.08M,116.80M,36.70M,80.10M,,0.365,0.00,,0.3425,0.365,,0.345,0.00,,0.3237,0.345,,152.11M,160.30M,0.00,,AOR,Restated
2006-03,735.40M,735.40M,,,41.60M,-4.90M,36.70M,,3.80M,,,,787.00M,860.60M,-125.20M,,,,3.80M,,-129.40M,-50.30M,-79.10M,,,-79.10M,-81.42M,-88.30M,36.90M,-125.20M,,-0.59,0.00,,-0.6074,-0.59,,-0.59,0.00,,-0.6074,-0.59,,133.86M,133.86M,0.00,,AOR,Restated
2005-12,730.60M,730.60M,,,39.60M,1.597B,-229.30M,37.60M,23.10M,,,,697.00M,505.30M,1.809B,,,,23.10M,,-56.30M,-23.30M,-33.00M,0.00,,-33.00M,-46.86M,1.880B,37.60M,1.842B,,-1.13,0.83,0.00,-1.243,-0.30,,-1.13,0.83,0.0242,-1.233,-0.30,,122.24M,134.09M,0.00,,AOR,Restated
2005-09,845.70M,845.70M,,,45.90M,-15.10M,30.80M,36.30M,1.20M,,,,625.50M,692.60M,153.10M,,,,1.20M,,146.80M,56.60M,90.20M,0.00,,90.20M,89.46M,189.40M,36.30M,153.10M,,0.82,0.00,0.00,0.8133,0.82,,0.6775,0.00,0.00,0.6721,0.6775,,110.01M,135.43M,0.00,,AOR,Restated
2005-06,756.50M,756.50M,500.90M,255.60M,39.20M,132.30M,171.50M,35.30M,-13.40M,,,,595.90M,802.70M,-547.10M,,,,-13.40M,,29.70M,12.30M,17.40M,,,17.40M,25.44M,-511.80M,35.30M,-547.10M,,0.16,0.00,,0.2339,0.16,,0.14,0.00,,0.2004,0.14,,108.80M,133.09M,0.00,,AOR,Restated
2005-03,642.50M,642.50M,,,37.40M,30.60M,68.00M,34.20M,-2.10M,,,,513.00M,615.20M,27.30M,,,,-2.10M,,17.00M,7.10M,9.90M,-90.40M,,-80.50M,11.16M,61.50M,34.20M,27.30M,,0.09,-0.8325,-0.0000,0.1016,-0.7425,,0.085,-0.8325,-0.8325,0.0945,-0.7425,,108.59M,132.63M,0.00,,AOR,Restated
