,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,4.00M,,,,94.00M,94.00M,,,8.00M,,8.00M,,,,,316.00M,-116.00M,200.00M,306.00M,,-235.00M,,-235.00M,63.00M,8.00M,-164.00M,,-120.00M,-120.00M,,-13.00M,-13.00M,-40.00M,-40.00M,,17.00M,-156.00M,,197.00M,-14.00M,183.00M,,,0.00,-120.00M,-13.00M,0.00,24.00M,,AOR,Restated
2017-12,315.00M,,,,97.00M,97.00M,,,12.00M,,12.00M,,,,,-178.00M,26.00M,-191.00M,233.00M,,-185.00M,,-185.00M,158.00M,40.00M,13.00M,,-132.00M,-132.00M,,-25.00M,-25.00M,-37.00M,-37.00M,,1.00M,-193.00M,,144.00M,53.00M,197.00M,,,,-132.00M,-25.00M,306.00M,152.00M,,AOR,Restated
2017-09,259.00M,,,,95.00M,95.00M,,,18.00M,,18.00M,,,,,-161.00M,62.00M,-99.00M,273.00M,,-329.00M,,-329.00M,130.00M,28.00M,-171.00M,,-106.00M,-106.00M,,-28.00M,-28.00M,-37.00M,-37.00M,,15.00M,-156.00M,,198.00M,-54.00M,144.00M,,,,-106.00M,-28.00M,-143.00M,-110.00M,,AOR,Restated
2017-06,293.00M,,,,90.00M,90.00M,,,12.00M,,12.00M,,,,,20.00M,199.00M,219.00M,614.00M,,-296.00M,,-296.00M,-197.00M,10.00M,-483.00M,,-58.00M,-58.00M,,-22.00M,-22.00M,-37.00M,-37.00M,,1.00M,-116.00M,,183.00M,15.00M,198.00M,,,,-58.00M,-22.00M,12.00M,16.00M,,AOR,Restated
2017-03,93.00M,,,,90.00M,90.00M,,,13.00M,,13.00M,,,,,364.00M,-90.00M,274.00M,470.00M,,-216.00M,,-216.00M,-272.00M,,-488.00M,,-101.00M,-101.00M,,,,-37.00M,-37.00M,,11.00M,-127.00M,,328.00M,-145.00M,183.00M,,,,-101.00M,,2.00M,26.00M,,AOR,Restated
2016-12,97.00M,,,,82.00M,82.00M,,,7.00M,,7.00M,,,,,-113.00M,153.00M,-6.00M,180.00M,,-169.00M,,-169.00M,139.00M,0.00,-1.981B,,342.00M,342.00M,,0.00,0.00,-34.00M,-34.00M,,3.00M,311.00M,,1.818B,-1.49B,328.00M,,,498.00M,-156.00M,0.00,138.00M,12.00M,,AOR,Restated
2016-09,256.00M,,,,101.00M,101.00M,,,6.00M,,6.00M,,,,,-85.00M,29.00M,-56.00M,307.00M,,-169.00M,,-169.00M,116.00M,2.00M,-51.00M,,1.51B,1.51B,,0.00,0.00,-34.00M,-34.00M,,5.00M,1.481B,,81.00M,1.737B,1.818B,,,1.546B,-36.00M,0.00,139.00M,4.00M,,AOR,Restated
2016-06,260.00M,,,,92.00M,92.00M,,,4.00M,,4.00M,,,,,2.00M,16.00M,18.00M,374.00M,,-221.00M,,-221.00M,-35.00M,2.00M,-254.00M,,-21.00M,-21.00M,,-66.00M,-66.00M,-34.00M,-34.00M,,4.00M,-117.00M,,78.00M,3.00M,81.00M,,,,-21.00M,-66.00M,169.00M,0.00,,AOR,Restated
2016-03,184.00M,,,,88.00M,88.00M,,,9.00M,,9.00M,,,,,199.00M,45.00M,244.00M,525.00M,,-119.00M,,-119.00M,-218.00M,1.00M,-336.00M,,-36.00M,-36.00M,,-127.00M,-127.00M,-34.00M,-34.00M,,13.00M,-184.00M,,73.00M,5.00M,78.00M,,,,-36.00M,-127.00M,13.00M,8.00M,,AOR,Restated
2015-12,191.00M,,,,84.00M,84.00M,,,3.00M,,3.00M,,,,,-91.00M,121.00M,77.00M,355.00M,,-163.00M,,-163.00M,-94.00M,54.00M,-203.00M,,-23.00M,-23.00M,,-124.00M,-124.00M,-24.00M,-24.00M,,4.00M,-167.00M,,88.00M,-15.00M,73.00M,,,0.00,-23.00M,-124.00M,87.00M,-1.00M,,AOR,Restated
2015-09,274.00M,,,,81.00M,81.00M,,,8.00M,,8.00M,,,,,-80.00M,57.00M,-23.00M,340.00M,,-109.00M,,-109.00M,-23.00M,-1.00M,-133.00M,,-35.00M,-35.00M,,-119.00M,-119.00M,-26.00M,-26.00M,,16.00M,-164.00M,,45.00M,43.00M,88.00M,,,0.00,-35.00M,-119.00M,154.00M,1.00M,,AOR,Restated
2015-06,234.00M,,,,79.00M,79.00M,,,5.00M,,5.00M,,,,,26.00M,31.00M,57.00M,375.00M,,-280.00M,,-280.00M,109.00M,-2.00M,-173.00M,,-23.00M,-23.00M,,-160.00M,-160.00M,-26.00M,-26.00M,,1.00M,-208.00M,,51.00M,-6.00M,45.00M,,,,-23.00M,-160.00M,108.00M,1.00M,,AOR,Restated
2015-03,149.00M,,,,76.00M,76.00M,,,9.00M,,9.00M,,,,,183.00M,97.00M,280.00M,514.00M,,-279.00M,,-279.00M,-144.00M,2.00M,-421.00M,,-35.00M,-35.00M,,-102.00M,-102.00M,-26.00M,-26.00M,,14.00M,-149.00M,,107.00M,-56.00M,51.00M,,,,-35.00M,-102.00M,,7.00M,,AOR,Restated
2014-12,148.00M,,,,76.00M,76.00M,,,-21.00M,,-21.00M,,,,,-72.00M,117.00M,-65.00M,138.00M,,-135.00M,,-135.00M,198.00M,14.00M,77.00M,,-22.00M,-22.00M,,-106.00M,-106.00M,-17.00M,-17.00M,,3.00M,-142.00M,,34.00M,73.00M,107.00M,,,0.00,-22.00M,-106.00M,141.00M,2.00M,,AOR,Restated
2014-09,198.00M,,,,75.00M,75.00M,,,6.00M,,6.00M,,,,,-104.00M,82.00M,-22.00M,257.00M,,-209.00M,,-209.00M,175.00M,-2.00M,-36.00M,,-33.00M,-33.00M,,-159.00M,-159.00M,-17.00M,-17.00M,,0.00,-209.00M,,22.00M,12.00M,34.00M,,,0.00,-33.00M,-159.00M,92.00M,10.00M,,AOR,Restated
2014-06,165.00M,,,,73.00M,73.00M,,,17.00M,,17.00M,,,,,58.00M,80.00M,138.00M,393.00M,,-257.00M,,-257.00M,-152.00M,-9.00M,-418.00M,,24.00M,24.00M,,-53.00M,-53.00M,-17.00M,-17.00M,,3.00M,-43.00M,,90.00M,-68.00M,22.00M,,,51.00M,-27.00M,-53.00M,87.00M,5.00M,,AOR,Restated
2014-03,94.00M,,,,70.00M,70.00M,,,4.00M,,4.00M,,,,,185.00M,-111.00M,74.00M,242.00M,,-93.00M,,-93.00M,-78.00M,7.00M,-164.00M,,-37.00M,-37.00M,,-30.00M,-30.00M,-17.00M,-17.00M,,16.00M,-68.00M,,80.00M,10.00M,90.00M,,,,-37.00M,-30.00M,6.00M,11.00M,,AOR,Restated
2013-12,78.00M,,,,67.00M,67.00M,,,6.00M,,-218.00M,,,,,-64.00M,283.00M,200.00M,159.00M,,-171.00M,,-171.00M,153.00M,0.00,-18.00M,,-22.00M,-22.00M,,-76.00M,-76.00M,-14.00M,-14.00M,,10.00M,-102.00M,,41.00M,39.00M,80.00M,,,0.00,-22.00M,-76.00M,49.00M,4.00M,,AOR,Restated
2013-09,289.00M,,,,67.00M,67.00M,,,9.00M,,9.00M,,,,,-97.00M,-38.00M,-135.00M,230.00M,,-137.00M,,-137.00M,-27.00M,-4.00M,-168.00M,,-30.00M,-30.00M,,-32.00M,-32.00M,-14.00M,-14.00M,,-2.00M,-78.00M,,57.00M,-16.00M,41.00M,,,0.00,-30.00M,-32.00M,94.00M,10.00M,,AOR,Restated
2013-06,104.00M,,,,67.00M,67.00M,,,3.00M,,3.00M,,,,,33.00M,173.00M,206.00M,380.00M,,-155.00M,,-155.00M,-214.00M,8.00M,-361.00M,,-21.00M,-21.00M,,-32.00M,-32.00M,0.00,0.00,,-4.00M,-57.00M,,95.00M,-38.00M,57.00M,,,0.00,-21.00M,-32.00M,0.00,6.00M,,AOR,Restated
2013-03,37.00M,,,,69.00M,69.00M,,,14.00M,,14.00M,,,,,157.00M,-65.00M,92.00M,212.00M,,-103.00M,,-103.00M,-41.00M,-7.00M,-151.00M,,-88.00M,-88.00M,,-19.00M,-19.00M,0.00,0.00,,19.00M,-88.00M,,122.00M,-27.00M,95.00M,,,,-88.00M,-19.00M,6.00M,15.00M,,AOR,Restated
2012-12,44.00M,,,,69.00M,69.00M,,,2.00M,,2.00M,,,,-28.00M,-49.00M,68.00M,0.00,115.00M,,-169.00M,,-169.00M,28.00M,10.00M,-131.00M,,-84.00M,-84.00M,8.00M,-8.00M,0.00,0.00,0.00,,195.00M,111.00M,,27.00M,95.00M,122.00M,,8.00M,-49.00M,-35.00M,-8.00M,29.00M,6.00M,,AOR,Restated
2012-09,163.00M,,,,66.00M,66.00M,,,2.00M,,2.00M,,,,-17.00M,-84.00M,53.00M,-48.00M,183.00M,,-100.00M,,-100.00M,-3.00M,0.00,-103.00M,,-75.00M,-75.00M,9.00M,-26.00M,-17.00M,0.00,0.00,,4.00M,-88.00M,,35.00M,-8.00M,27.00M,,9.00M,0.00,-75.00M,-26.00M,49.00M,15.00M,,AOR,Restated
2012-06,68.00M,,,,65.00M,65.00M,,,1.00M,,1.00M,,,,70.00M,13.00M,55.00M,138.00M,272.00M,,-183.00M,,-183.00M,-55.00M,0.00,-238.00M,,-57.00M,-57.00M,10.00M,-17.00M,-7.00M,,,,17.00M,-47.00M,,48.00M,-13.00M,35.00M,,10.00M,49.00M,-106.00M,-17.00M,3.00M,9.00M,,AOR,Restated
2012-03,41.00M,,,,64.00M,64.00M,,,5.00M,,5.00M,,,,-25.00M,165.00M,-67.00M,73.00M,183.00M,,-122.00M,,-122.00M,-52.00M,1.00M,-173.00M,,-59.00M,-59.00M,4.00M,-9.00M,-5.00M,,,,,-64.00M,,102.00M,-54.00M,48.00M,,4.00M,,-59.00M,-9.00M,-3.00M,16.00M,,AOR,Restated
2011-12,64.50M,-38.90M,,,62.80M,62.80M,,,7.50M,,7.50M,,,-101.90M,,-71.70M,150.90M,-8.70M,87.20M,,-201.50M,,-201.50M,156.50M,80.60M,35.60M,,-85.20M,-85.20M,2.30M,-18.40M,-16.10M,,,,12.50M,-88.80M,,67.50M,34.00M,102.00M,,2.30M,0.50M,-85.70M,-18.40M,5.80M,8.00M,,AOR,Restated
2011-09,77.50M,2.00M,,,62.20M,62.20M,,,2.20M,,2.20M,,,44.10M,,-53.40M,105.50M,96.20M,240.10M,,-53.40M,,-53.40M,-115.80M,-27.50M,-196.70M,,-16.40M,-16.40M,1.80M,-28.30M,-26.50M,,,,0.00,-42.90M,,67.00M,0.50M,67.50M,,1.80M,106.50M,-122.90M,-28.30M,2.10M,26.30M,,AOR,Restated
2011-06,28.80M,26.80M,,,61.70M,61.70M,,,0.60M,,0.60M,,,14.60M,,9.10M,108.30M,132.00M,249.90M,,-92.00M,,-92.00M,-101.10M,-15.00M,-208.10M,,-36.20M,-36.20M,6.60M,-7.00M,-0.40M,,,,1.60M,-35.00M,,60.20M,6.80M,67.00M,,6.60M,,-36.20M,-7.00M,0.10M,14.60M,,AOR,Restated
2011-03,74.20M,10.10M,,,60.30M,60.30M,,,6.70M,,6.70M,,,43.20M,,163.00M,-238.70M,-32.50M,118.80M,,-149.10M,,-149.10M,132.40M,-17.10M,-33.80M,,-89.20M,-89.20M,8.30M,-26.30M,-18.00M,,,,-7.10M,-114.30M,,89.50M,-29.30M,60.20M,,8.30M,,-89.20M,-26.30M,0.00,25.10M,,AOR,Restated
2010-12,64.70M,-13.20M,,,58.00M,58.00M,,,-1.60M,,2.40M,,,,,-39.70M,-20.60M,-74.30M,46.60M,,-60.10M,-4.70M,-64.80M,59.10M,9.70M,4.00M,,-89.70M,-89.70M,7.90M,-13.80M,-5.90M,,,,6.00M,-89.60M,,129.20M,-39.00M,90.00M,,7.90M,0.00,-89.70M,-13.80M,-4.90M,26.70M,,AOR,Restated
2010-09,122.40M,9.80M,,,57.80M,57.80M,,,1.90M,,1.90M,,,,,-67.00M,47.90M,-19.10M,172.80M,,-42.10M,1.40M,-40.70M,-18.20M,-0.20M,-59.10M,,-100.40M,-100.40M,8.10M,-4.90M,3.20M,,,,4.60M,-92.60M,,108.10M,21.10M,129.20M,,8.10M,0.00,-100.40M,-4.90M,0.10M,31.80M,,AOR,Restated
2010-06,58.60M,3.40M,,,58.00M,58.00M,,,3.70M,,3.70M,,,,,60.10M,95.30M,155.40M,279.10M,,-85.90M,1.90M,-84.00M,-108.90M,0.90M,-192.00M,,-91.10M,-91.10M,9.90M,-15.80M,-5.90M,,,,0.30M,-96.70M,,117.70M,-9.60M,108.10M,,9.90M,,-91.10M,-15.80M,4.80M,18.90M,,AOR,Restated
2010-03,5.30M,,,,56.20M,56.20M,,,5.00M,,5.00M,,,,,102.60M,-114.60M,-12.00M,54.50M,,-25.90M,1.40M,-24.50M,-23.00M,-0.40M,-47.90M,,-39.80M,-39.80M,11.10M,-10.50M,0.60M,,,,-13.90M,-53.10M,,164.20M,-46.50M,117.70M,,11.10M,,-39.80M,-10.50M,0.00,28.60M,,AOR,Restated
2009-12,24.10M,8.80M,,,56.90M,56.90M,,,1.70M,,-97.50M,,,,,-98.90M,13.30M,-91.00M,-12.90M,,-91.10M,1.60M,-89.50M,28.40M,-3.00M,-64.10M,,49.20M,49.20M,9.40M,0.00,9.40M,,,,12.60M,71.20M,,170.00M,-5.80M,164.20M,,9.40M,83.40M,-34.20M,0.00,-0.10M,17.00M,,AOR,Restated
2009-09,87.60M,-10.00M,,,55.60M,55.60M,,,2.60M,,8.80M,,,,,-24.40M,62.00M,37.60M,182.20M,,-38.80M,5.10M,-33.70M,-92.00M,-5.00M,-130.70M,,-31.00M,-31.00M,0.80M,-12.00M,-11.20M,,,,-2.60M,-44.80M,,163.30M,6.70M,170.00M,,0.80M,29.00M,-60.00M,-12.00M,0.00,29.30M,,AOR,Restated
2009-06,29.10M,5.20M,,,53.90M,53.90M,,,2.20M,,10.10M,,,,,21.90M,-14.70M,7.20M,113.10M,,-82.30M,,-82.30M,-145.40M,0.90M,-226.80M,,53.30M,53.30M,0.80M,-11.80M,-11.00M,,,,-2.40M,39.90M,,237.10M,-73.80M,163.30M,,0.80M,98.60M,-45.30M,-11.80M,8.90M,19.60M,,AOR,Restated
2009-03,-19.20M,4.80M,,,52.80M,52.80M,,,5.40M,,5.40M,,,,,26.90M,-60.60M,-33.70M,10.10M,,-226.20M,,-226.20M,-8.60M,-1.00M,-235.80M,,-57.50M,-57.50M,2.00M,0.00,2.00M,,,,235.20M,179.70M,,283.10M,-46.00M,237.10M,,2.00M,64.00M,-121.50M,0.00,0.00,28.70M,,AOR,Restated
2008-12,-75.20M,16.40M,,,51.70M,51.70M,26.40M,,2.60M,,-0.40M,26.30M,33.50M,,,-63.50M,-61.00M,15.20M,23.30M,,-2.30M,,-2.30M,23.30M,4.50M,25.50M,,-26.40M,-26.40M,1.40M,0.00,1.40M,,,,,-25.00M,,259.30M,23.80M,283.10M,,1.40M,97.90M,-124.30M,0.00,0.40M,18.70M,,AOR,
2008-09,-86.50M,26.60M,,,52.10M,52.10M,-40.30M,,2.80M,,206.50M,22.00M,-15.00M,,,-131.30M,,-124.30M,36.90M,,-126.40M,,-126.40M,1.80M,6.50M,-118.10M,,160.50M,160.50M,0.90M,0.00,0.90M,,,,,161.40M,,179.10M,80.20M,259.30M,,0.90M,255.50M,-95.00M,0.00,-3.70M,21.20M,,AOR,Restated
2008-06,63.10M,35.30M,,,51.50M,51.50M,13.90M,,2.50M,,-198.20M,-27.00M,-27.10M,,,52.20M,98.00M,96.10M,69.70M,,-140.00M,,-140.00M,-127.40M,0.30M,-267.10M,,172.10M,172.10M,0.80M,-8.30M,-7.50M,,,,,164.60M,,211.90M,-32.80M,179.10M,,0.80M,238.90M,-66.80M,-8.30M,0.00,16.80M,,AOR,Restated
2008-03,-37.30M,5.80M,,,49.30M,49.30M,,,5.50M,,5.50M,,,,,109.10M,-98.00M,11.10M,34.40M,,-144.10M,,-144.10M,-84.10M,6.60M,-221.60M,,234.50M,234.50M,0.90M,-40.60M,-39.70M,,,,,194.80M,,204.30M,7.60M,211.90M,,0.90M,291.60M,-57.10M,-40.60M,3.90M,14.30M,,AOR,Restated
2007-12,7.40M,3.50M,,,45.10M,45.10M,,,2.70M,,22.70M,18.80M,27.40M,,-38.10M,54.30M,-22.90M,39.50M,108.60M,,-175.10M,,-175.10M,193.60M,2.50M,21.00M,,51.50M,51.50M,0.70M,-57.80M,-57.10M,,,,,-5.60M,,80.30M,124.00M,204.30M,,0.70M,85.80M,-34.30M,-57.80M,-1.50M,16.30M,,AOR,Restated
2007-09,81.10M,10.60M,,,46.60M,46.60M,,,4.20M,,-10.90M,32.30M,-15.30M,,-4.20M,-87.50M,49.30M,-25.40M,106.20M,,-186.10M,-54.10M,-240.20M,28.10M,67.30M,-144.80M,,-35.30M,-35.30M,1.00M,-5.00M,-4.00M,,,,,-39.30M,,158.20M,-77.90M,80.30M,,1.00M,0.00,-35.30M,-5.00M,0.90M,15.20M,,AOR,Restated
2007-06,46.10M,-3.00M,,,43.80M,43.80M,4.80M,,2.90M,0.50M,13.80M,-30.80M,10.00M,,-6.20M,86.90M,34.30M,94.20M,203.10M,,-219.20M,54.10M,-165.10M,-25.90M,-10.50M,-201.50M,,-5.00M,-5.00M,1.10M,0.00,1.10M,,,-0.50M,,-4.40M,,161.00M,-2.80M,158.20M,,1.10M,32.70M,-37.70M,0.00,0.00,17.20M,,AOR,Restated
2007-03,-10.30M,3.00M,,,41.90M,41.90M,-4.80M,,2.50M,-0.50M,-13.30M,-24.10M,-26.70M,,,96.40M,,45.60M,64.10M,,-254.00M,,-254.00M,-24.00M,1.50M,-276.50M,,138.50M,138.50M,3.70M,0.00,3.70M,,,0.50M,,142.70M,,230.70M,-69.70M,161.00M,,3.70M,163.40M,-24.90M,0.00,4.10M,9.90M,,AOR,Restated
2006-12,-11.60M,24.40M,,,43.40M,43.40M,,,,,-53.40M,11.60M,22.30M,30.40M,84.10M,18.40M,-108.70M,58.10M,60.90M,,-165.60M,3.00M,-162.60M,171.80M,-3.20M,6.00M,,1.90M,1.90M,8.50M,0.00,8.50M,,,,-3.00M,11.50M,,152.30M,78.40M,230.70M,,8.50M,163.40M,-161.50M,0.00,,,,AOR,Restated
2006-09,-17.40M,-4.00M,-73.60M,,40.50M,40.50M,18.50M,,,,129.20M,11.30M,8.10M,-11.90M,41.70M,-130.30M,65.80M,-15.30M,151.50M,,-216.30M,0.30M,-216.00M,10.10M,15.60M,-190.30M,,46.10M,46.10M,4.00M,0.00,4.00M,,,,0.50M,50.60M,,140.50M,11.80M,152.30M,,4.00M,58.00M,-11.90M,0.00,-0.80M,-24.40M,,AOR,Restated
2006-06,55.50M,4.00M,73.60M,,36.70M,36.70M,-18.50M,,,,36.10M,-17.60M,-21.30M,28.50M,-41.70M,156.30M,-65.80M,38.40M,152.20M,,-127.20M,0.10M,-127.10M,-90.60M,1.80M,-215.90M,,44.70M,44.70M,16.50M,,16.50M,,,,2.50M,63.70M,,140.50M,0.00,140.50M,,16.50M,64.60M,-19.90M,,0.80M,24.40M,,AOR,Restated
2006-03,-79.10M,,,,36.90M,36.90M,,,,,200.40M,-15.30M,-20.40M,-47.00M,,9.70M,,-73.00M,85.20M,,-173.00M,0.20M,-172.80M,38.10M,1.90M,-132.80M,,113.10M,113.10M,1.40M,,1.40M,,,,,114.50M,,73.60M,66.90M,140.50M,,1.40M,122.40M,-9.30M,,,,,AOR,Restated
2005-12,-33.00M,34.80M,-105.80M,,37.60M,37.60M,-17.10M,,,,111.40M,5.90M,15.00M,-68.70M,28.40M,1.30M,-24.80M,-42.90M,91.10M,,-101.80M,-5.40M,-107.20M,-191.10M,-2.80M,-301.10M,,109.20M,109.20M,-13.90M,,-13.90M,,,,161.60M,256.90M,,26.70M,46.90M,73.60M,,-13.90M,73.80M,35.40M,,-1.80M,-35.50M,,AOR,Restated
2005-09,90.20M,-58.30M,36.30M,,36.30M,36.30M,51.80M,,,,-31.50M,-4.30M,-8.40M,51.80M,-8.40M,0.80M,-31.30M,0.20M,88.70M,,-71.60M,2.00M,-69.60M,-25.00M,-2.60M,-97.20M,,-8.90M,-8.90M,11.70M,,11.70M,,,,1.20M,4.00M,,31.20M,-4.50M,26.70M,,11.70M,0.00,-8.90M,,0.70M,9.50M,,AOR,Restated
2005-06,17.40M,23.50M,69.50M,,35.30M,35.30M,16.90M,,,,-15.00M,-6.20M,-2.70M,10.60M,-20.00M,-22.30M,56.10M,15.50M,93.60M,,-139.40M,3.40M,-136.00M,-94.80M,1.60M,-229.20M,,2.10M,2.10M,1.20M,,1.20M,,,,,3.30M,,163.50M,-132.30M,31.20M,,1.20M,20.00M,-17.90M,,1.10M,26.00M,,AOR,Restated
2005-03,-80.50M,,,,34.20M,34.20M,,,,,65.50M,-20.20M,-17.30M,6.30M,,8.70M,,-22.50M,-3.30M,,-111.70M,,-111.70M,247.80M,10.30M,146.40M,,-8.60M,-8.60M,1.00M,,1.00M,,,,,-7.60M,,28.00M,135.50M,163.50M,,1.00M,0.00,-8.60M,,,,,AOR,Restated
2004-12,-72.40M,0.60M,36.80M,14.30M,51.10M,51.10M,-30.90M,,,,-23.70M,21.10M,13.80M,-30.90M,-7.20M,129.00M,,125.80M,50.50M,,-44.20M,1.30M,-42.90M,-103.40M,-0.30M,-146.60M,,-16.70M,-16.70M,6.10M,,6.10M,,,,,-10.60M,,126.90M,-106.70M,54.30M,,6.10M,0.00,-16.70M,,0.20M,14.90M,,AOR,
2004-09,101.50M,-31.60M,35.70M,13.20M,48.90M,48.90M,41.60M,,,,-132.50M,0.60M,10.30M,41.60M,10.30M,4.00M,,66.80M,94.70M,,-47.80M,6.70M,-41.10M,-57.40M,7.40M,-91.10M,,-48.40M,-48.40M,0.70M,,0.70M,,,,,-47.70M,,171.00M,-44.10M,126.90M,,0.70M,0.00,-48.40M,,-3.30M,10.10M,,AOR,Restated
