,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,,102.00M,1.466B,1.568B,411.00M,411.00M,57.00M,180.00M,,,2.216B,,1.291B,9.584B,-3.091B,6.493B,1.943B,130.00M,2.073B,,,,273.00M,8.839B,11.06B,,115.00M,115.00M,828.00M,943.00M,,314.00M,,314.00M,1.779B,1.779B,,,3.036B,1.998B,,1.998B,437.00M,1.11B,1.547B,464.00M,417.00M,4.426B,7.462B,,1.00M,4.373B,198.00M,544.00M,-435.00M,3.593B,,AOR,Restated
2018-03,,177.00M,1.351B,1.528B,350.00M,350.00M,62.00M,174.00M,,,2.114B,,1.287B,9.414B,-3.011B,6.403B,1.943B,132.00M,2.075B,,,,256.00M,8.734B,10.85B,,102.00M,102.00M,732.00M,834.00M,,387.00M,,387.00M,1.771B,1.771B,,,2.992B,2.062B,,2.062B,372.00M,1.102B,1.474B,458.00M,423.00M,4.417B,7.409B,,1.00M,4.219B,190.00M,531.00M,-440.00M,3.439B,,AOR,Restated
2017-12,,194.00M,1.427B,1.621B,341.00M,341.00M,57.00M,133.00M,,,2.152B,,1.222B,9.275B,-2.991B,6.284B,1.943B,133.00M,2.076B,,,,234.00M,8.594B,10.75B,,120.00M,120.00M,818.00M,938.00M,,307.00M,,307.00M,1.441B,1.441B,,,2.686B,2.262B,,2.262B,370.00M,1.09B,1.46B,453.00M,425.00M,4.60B,7.286B,,1.00M,4.193B,164.00M,518.00M,-380.00M,3.46B,,AOR,Restated
2017-09,,144.00M,1.596B,1.74B,301.00M,301.00M,57.00M,116.00M,,,2.214B,,1.187B,9.308B,-3.078B,6.23B,1.934B,135.00M,2.069B,,,,226.00M,8.525B,10.74B,,97.00M,97.00M,1.231B,1.328B,,334.00M,,334.00M,1.103B,1.103B,,,2.765B,2.367B,,2.367B,682.00M,682.00M,1.364B,323.00M,429.00M,4.483B,7.248B,,1.00M,4.117B,156.00M,494.00M,-289.00M,3.491B,,AOR,Restated
2017-06,,198.00M,1.724B,1.922B,326.00M,326.00M,52.00M,125.00M,,,2.425B,,1.158B,9.061B,-3.059B,6.002B,1.94B,137.00M,2.077B,,,,216.00M,8.295B,10.72B,,95.00M,95.00M,1.287B,1.382B,,337.00M,,337.00M,1.255B,1.255B,,,2.974B,2.469B,,2.469B,598.00M,652.00M,1.25B,336.00M,427.00M,4.482B,7.456B,,1.00M,3.888B,135.00M,466.00M,-294.00M,3.264B,,AOR,Restated
2017-03,,183.00M,1.527B,1.71B,321.00M,321.00M,50.00M,132.00M,,,2.213B,,1.139B,8.817B,-3.008B,5.809B,1.942B,139.00M,2.081B,,,,199.00M,8.089B,10.30B,,95.00M,95.00M,1.19B,1.285B,,332.00M,,332.00M,1.218B,1.218B,,,2.835B,2.531B,,2.531B,509.00M,641.00M,1.15B,334.00M,438.00M,4.453B,7.288B,,1.00M,3.629B,126.00M,443.00M,-299.00M,3.014B,,AOR,Restated
2016-12,,328.00M,1.252B,1.58B,302.00M,302.00M,47.00M,121.00M,,,2.05B,,1.103B,8.595B,-2.929B,5.666B,1.934B,143.00M,2.077B,,,,169.00M,7.912B,9.962B,,92.00M,92.00M,1.275B,1.367B,,319.00M,,319.00M,849.00M,849.00M,,,2.535B,2.645B,,2.645B,463.00M,640.00M,1.103B,331.00M,417.00M,4.496B,7.031B,,1.00M,3.568B,110.00M,443.00M,-305.00M,2.931B,,AOR,Restated
2016-09,16.00M,1.818B,1.408B,3.226B,232.00M,232.00M,44.00M,98.00M,,,3.60B,,1.021B,7.908B,-2.877B,5.031B,,,,,,,68.00M,5.099B,8.699B,,71.00M,71.00M,992.00M,1.063B,,275.00M,,275.00M,785.00M,785.00M,,,2.123B,1.861B,,1.861B,733.00M,491.00M,1.224B,272.00M,355.00M,3.712B,5.835B,,1.00M,3.488B,103.00M,444.00M,-284.00M,2.864B,,AOR,Restated
2016-06,0.00,81.00M,1.526B,1.607B,254.00M,254.00M,45.00M,97.00M,,,2.003B,,994.00M,7.743B,-2.784B,4.959B,,,,,,,73.00M,5.032B,7.035B,,78.00M,78.00M,996.00M,1.074B,,117.00M,,117.00M,870.00M,870.00M,,,2.061B,509.00M,,509.00M,721.00M,480.00M,1.201B,271.00M,366.00M,2.347B,4.408B,,1.00M,3.266B,91.00M,444.00M,-287.00M,2.627B,,AOR,Restated
2016-03,3.00M,78.00M,1.486B,1.564B,235.00M,235.00M,45.00M,79.00M,,,1.923B,,967.00M,7.529B,-2.699B,4.83B,,,,,,,76.00M,4.906B,6.829B,,63.00M,63.00M,1.022B,1.085B,,116.00M,,116.00M,868.00M,868.00M,,,2.069B,531.00M,,531.00M,678.00M,467.00M,1.145B,270.00M,359.00M,2.305B,4.374B,,1.00M,3.039B,86.00M,377.00M,-294.00M,2.455B,,AOR,Restated
2015-12,4.00M,73.00M,1.255B,1.328B,212.00M,212.00M,51.00M,72.00M,,,1.663B,,955.00M,7.416B,-2.614B,4.802B,0.00,,0.00,,,,65.00M,4.867B,6.53B,,63.00M,63.00M,959.00M,1.022B,,114.00M,,114.00M,669.00M,669.00M,,,1.805B,569.00M,,569.00M,682.00M,431.00M,1.113B,270.00M,362.00M,2.314B,4.119B,,1.00M,2.89B,73.00M,250.00M,-303.00M,2.411B,,AOR,Restated
2015-09,3.00M,88.00M,1.17B,1.258B,205.00M,205.00M,52.00M,74.00M,126.00M,,1.715B,,936.00M,7.268B,-2.534B,4.734B,,,,,,,115.00M,4.849B,6.564B,,61.00M,61.00M,916.00M,977.00M,,117.00M,,117.00M,760.00M,760.00M,,,1.854B,593.00M,,593.00M,746.00M,416.00M,1.162B,249.00M,341.00M,2.345B,4.199B,,1.00M,2.724B,70.00M,127.00M,-303.00M,2.365B,,AOR,Restated
2015-06,5.00M,45.00M,1.147B,1.192B,194.00M,194.00M,58.00M,87.00M,123.00M,,1.654B,,915.00M,7.165B,-2.46B,4.705B,,,,,,,121.00M,4.826B,6.48B,,56.00M,56.00M,915.00M,971.00M,,116.00M,,116.00M,840.00M,840.00M,,,1.927B,629.00M,,629.00M,718.00M,401.00M,1.119B,247.00M,339.00M,2.334B,4.261B,,1.00M,2.474B,56.00M,8.00M,-304.00M,2.219B,,AOR,Restated
2015-03,5.00M,51.00M,1.261B,1.312B,187.00M,187.00M,52.00M,102.00M,123.00M,,1.776B,,899.00M,6.881B,-2.384B,4.497B,,,,,,,137.00M,4.634B,6.41B,,57.00M,57.00M,891.00M,948.00M,,118.00M,,118.00M,814.00M,814.00M,,,1.88B,650.00M,,650.00M,753.00M,382.00M,1.135B,247.00M,332.00M,2.364B,4.244B,,1.00M,2.266B,211.00M,7.00M,-305.00M,2.166B,,AOR,Restated
2014-12,4.00M,107.00M,1.11B,1.217B,259.00M,259.00M,58.00M,105.00M,,,1.639B,,896.00M,6.616B,-2.317B,4.299B,,,,,,,126.00M,4.425B,6.064B,,62.00M,62.00M,861.00M,923.00M,,117.00M,,117.00M,631.00M,631.00M,,,1.671B,686.00M,,686.00M,633.00M,374.00M,1.007B,246.00M,327.00M,2.266B,3.937B,,1.00M,2.144B,296.00M,4.00M,-310.00M,2.127B,,AOR,Restated
2014-09,5.00M,34.00M,1.309B,1.343B,178.00M,178.00M,64.00M,100.00M,114.00M,,1.799B,,883.00M,6.494B,-2.25B,4.244B,,,,,,,193.00M,4.437B,6.236B,,68.00M,68.00M,881.00M,949.00M,,115.00M,,115.00M,703.00M,703.00M,,,1.767B,710.00M,,710.00M,738.00M,356.00M,1.094B,124.00M,312.00M,2.24B,4.007B,,1.00M,2.012B,399.00M,5.00M,-178.00M,2.229B,,AOR,Restated
2014-06,2.00M,22.00M,1.488B,1.51B,203.00M,203.00M,61.00M,134.00M,112.00M,,2.02B,,867.00M,6.291B,-2.189B,4.102B,,,,,,,192.00M,4.294B,6.314B,,71.00M,71.00M,872.00M,943.00M,,114.00M,,114.00M,807.00M,807.00M,,,1.864B,745.00M,,745.00M,725.00M,342.00M,1.067B,123.00M,315.00M,2.25B,4.114B,,1.00M,1.831B,551.00M,5.00M,-178.00M,2.20B,,AOR,Restated
2014-03,5.00M,90.00M,1.33B,1.42B,212.00M,212.00M,58.00M,124.00M,120.00M,,1.934B,,853.00M,6.068B,-2.138B,3.93B,,,,,,,197.00M,4.127B,6.061B,,75.00M,75.00M,818.00M,893.00M,,113.00M,,113.00M,749.00M,749.00M,,,1.755B,721.00M,,721.00M,725.00M,334.00M,1.059B,122.00M,309.00M,2.211B,3.966B,,69.00M,1.684B,524.00M,1.00M,-181.00M,2.095B,,AOR,Restated
2013-12,9.00M,80.00M,1.25B,1.33B,152.00M,152.00M,60.00M,107.00M,113.00M,,1.762B,,838.00M,5.961B,-2.068B,3.893B,,,,,,,183.00M,4.076B,5.838B,,64.00M,64.00M,835.00M,899.00M,,117.00M,,117.00M,564.00M,564.00M,,,1.58B,754.00M,,754.00M,709.00M,335.00M,1.044B,123.00M,308.00M,2.229B,3.809B,,1.00M,1.607B,606.00M,2.00M,-183.00M,2.029B,,AOR,Restated
2013-09,3.00M,41.00M,1.404B,1.445B,182.00M,182.00M,60.00M,105.00M,123.00M,,1.935B,,857.00M,5.826B,-2.034B,3.792B,,,,,9.00M,,126.00M,3.927B,5.862B,,60.00M,60.00M,852.00M,912.00M,,111.00M,,111.00M,627.00M,627.00M,,,1.65B,782.00M,,782.00M,554.00M,295.00M,849.00M,461.00M,318.00M,2.41B,4.06B,,70.00M,1.542B,625.00M,21.00M,-414.00M,1.802B,,AOR,Restated
2013-06,4.00M,57.00M,1.372B,1.429B,195.00M,195.00M,59.00M,114.00M,175.00M,,1.986B,,867.00M,5.715B,-1.99B,3.725B,,,,,13.00M,,128.00M,3.866B,5.852B,,71.00M,71.00M,851.00M,922.00M,,110.00M,,110.00M,724.00M,724.00M,,,1.756B,814.00M,,814.00M,496.00M,455.00M,951.00M,470.00M,318.00M,2.553B,4.309B,,70.00M,1.268B,629.00M,,-424.00M,1.543B,,AOR,Restated
2013-03,27.00M,95.00M,1.17B,1.265B,188.00M,188.00M,61.00M,132.00M,172.00M,,1.839B,,862.00M,5.564B,-1.925B,3.639B,,,,,23.00M,,143.00M,3.805B,5.644B,,101.00M,101.00M,700.00M,801.00M,,106.00M,,106.00M,691.00M,691.00M,,,1.598B,840.00M,,840.00M,492.00M,441.00M,933.00M,479.00M,332.00M,2.584B,4.182B,,70.00M,1.164B,657.00M,,-429.00M,1.462B,,AOR,Restated
2012-12,28.00M,122.00M,1.13B,1.252B,130.00M,130.00M,58.00M,123.00M,148.00M,,1.737B,,855.00M,5.472B,-1.863B,3.609B,,,,,39.00M,,120.00M,3.768B,5.505B,,65.00M,65.00M,741.00M,806.00M,,161.00M,,161.00M,534.00M,534.00M,,,1.501B,871.00M,,871.00M,446.00M,443.00M,889.00M,489.00M,334.00M,2.583B,4.084B,,70.00M,1.127B,660.00M,0.00,-436.00M,1.421B,,AOR,Restated
2012-09,,27.50M,1.158B,1.186B,,185.40M,52.50M,116.10M,141.50M,,1.716B,848.50M,,5.353B,-1.805B,3.548B,,,,0.00,43.10M,,129.00M,3.720B,5.436B,,70.20M,70.20M,544.80M,615.00M,,167.20M,,167.20M,583.60M,583.60M,,,1.529B,898.90M,,898.90M,484.90M,423.40M,908.30M,447.90M,213.00M,2.468B,3.997B,,70.20M,1.082B,660.30M,0.00,-373.60M,1.439B,,AOR,Restated
2012-06,,35.40M,1.15B,1.185B,,169.40M,47.80M,121.70M,152.10M,,1.698B,857.10M,,5.288B,-1.741B,3.547B,,,,0.00,39.30M,,138.50M,3.725B,5.424B,,110.80M,110.80M,568.20M,679.00M,,183.40M,,183.40M,667.20M,667.20M,,,1.664B,957.10M,,957.10M,447.50M,414.00M,861.50M,452.90M,204.80M,2.476B,4.141B,,70.70M,918.90M,674.20M,0.00,-380.80M,1.283B,,AOR,Restated
2012-03,,48.20M,1.093B,1.141B,,168.30M,45.30M,100.90M,142.50M,,1.657B,851.40M,,5.231B,-1.727B,3.504B,,,,0.00,72.80M,,148.60M,3.725B,5.382B,,129.00M,129.00M,556.30M,685.30M,,210.10M,,210.10M,654.00M,654.00M,,,1.673B,1.037B,,1.037B,405.20M,406.20M,811.40M,458.40M,184.10M,2.491B,4.164B,,71.20M,851.40M,677.80M,0.00,-382.40M,1.218B,,AOR,Restated
2011-12,62.00M,102.00M,1.039B,1.141B,136.00M,136.00M,44.00M,94.00M,134.00M,,1.596B,,762.00M,5.038B,-1.665B,3.373B,,,,,70.00M,,128.00M,3.571B,5.167B,,104.00M,104.00M,709.00M,813.00M,,208.00M,,208.00M,489.00M,489.00M,,,1.51B,1.099B,,1.099B,363.00M,410.00M,773.00M,463.00M,148.00M,2.483B,3.993B,,76.00M,811.00M,802.00M,125.00M,-390.00M,1.174B,,AOR,Restated
2011-09,,67.50M,1.198B,1.266B,,148.30M,44.30M,106.70M,130.20M,,1.726B,730.10M,,4.996B,-1.646B,3.350B,,,,0.00,47.20M,,136.60M,3.534B,5.260B,,88.00M,88.00M,527.70M,615.70M,,213.60M,,213.60M,541.10M,541.10M,,,1.518B,1.179B,,1.179B,398.20M,394.00M,792.20M,336.30M,170.30M,2.478B,3.996B,,37.80M,746.60M,843.30M,107.40M,-256.00M,1.264B,,AOR,Restated
2011-06,,67.00M,1.086B,1.154B,,167.80M,52.60M,104.00M,126.40M,,1.676B,621.70M,,4.853B,-1.603B,3.250B,,,,0.00,84.90M,,223.30M,3.558B,5.234B,,71.30M,71.30M,572.10M,643.40M,,253.90M,,253.90M,594.50M,594.50M,,,1.628B,1.155B,,1.155B,347.90M,386.70M,734.60M,361.20M,148.60M,2.399B,4.027B,,37.70M,669.10M,838.90M,79.20M,-260.00M,1.206B,,AOR,Restated
2011-03,,60.20M,982.30M,1.042B,,161.20M,45.70M,111.40M,116.30M,,1.596B,614.30M,,4.764B,-1.562B,3.202B,,,,0.00,101.60M,,211.60M,3.515B,5.111B,,59.20M,59.20M,554.00M,613.20M,,169.80M,,169.80M,585.40M,585.40M,,,1.484B,1.275B,,1.275B,321.30M,387.70M,709.00M,364.10M,108.60M,2.457B,3.941B,,37.40M,640.30M,828.30M,72.20M,-263.70M,1.170B,,AOR,Restated
2010-12,,89.50M,1.119B,1.208B,120.10M,120.10M,45.10M,106.70M,120.50M,,1.662B,647.80M,,4.658B,-1.510B,3.148B,,,,0.00,69.90M,,136.30M,3.355B,5.017B,,60.20M,60.20M,544.30M,604.50M,,221.20M,,221.20M,422.40M,422.40M,,,1.425B,1.313B,,1.313B,279.90M,403.50M,683.40M,367.10M,123.00M,2.486B,3.911B,,37.00M,566.10M,815.50M,46.00M,-267.20M,1.105B,,AOR,Restated
2010-09,,129.20M,1.188B,1.318B,,139.60M,41.60M,99.70M,129.80M,39.90M,1.768B,624.10M,,4.603B,-1.456B,3.147B,,,,0.00,57.10M,,147.70M,3.352B,5.120B,,50.80M,50.80M,725.40M,776.20M,,233.80M,,233.80M,,,,462.00M,1.472B,1.390B,,1.390B,251.70M,396.80M,648.50M,403.40M,132.60M,2.575B,4.047B,,36.80M,501.30M,805.70M,32.40M,-237.90M,1.074B,,AOR,Restated
2010-06,,108.10M,1.165B,1.273B,,145.20M,48.50M,103.70M,137.40M,31.70M,1.739B,,628.40M,4.587B,-1.423B,3.164B,,,,0.00,41.20M,,162.70M,3.368B,5.107B,,58.00M,58.00M,699.40M,757.40M,,154.30M,,154.30M,,,,529.00M,1.441B,1.57B,,1.57B,207.80M,407.10M,614.90M,409.70M,131.80M,2.726B,4.167B,,36.50M,378.90M,792.00M,27.80M,-239.70M,939.90M,,AOR,Restated
2010-03,,117.70M,1.054B,1.171B,,137.30M,49.10M,102.10M,133.00M,58.90M,1.652B,635.90M,,4.523B,-1.387B,3.136B,,,,0.00,48.10M,,180.00M,3.364B,5.016B,,53.30M,53.30M,659.10M,712.40M,,158.20M,,158.20M,,,,468.90M,1.340B,1.657B,,1.657B,170.10M,419.10M,589.20M,412.80M,131.60M,2.791B,4.130B,,36.20M,320.30M,779.70M,13.80M,-237.00M,885.40M,,AOR,Restated
2009-12,,164.20M,1.028B,1.192B,,111.80M,45.80M,98.10M,120.30M,66.20M,1.634B,,631.30M,4.507B,-1.339B,3.168B,,,,0.00,50.80M,,143.20M,3.362B,4.996B,,63.30M,63.30M,683.90M,747.20M,,156.00M,,156.00M,,,,366.30M,1.270B,1.699B,,1.699B,151.10M,435.10M,586.20M,421.00M,148.20M,2.855B,4.124B,,35.80M,315.00M,767.00M,5.70M,-240.00M,872.10M,,AOR,Restated
2009-09,,170.00M,1.060B,1.230B,,128.30M,47.40M,98.20M,138.70M,43.60M,1.686B,620.20M,,4.423B,-1.287B,3.136B,,,,0.00,35.30M,,148.60M,3.320B,5.006B,,55.10M,55.10M,680.10M,735.20M,,545.60M,,545.60M,,,,1.70M,1.282B,1.658B,,1.658B,93.30M,454.00M,547.30M,582.70M,162.20M,2.950B,4.232B,,43.50M,290.90M,927.20M,184.80M,-303.00M,773.80M,,AOR,Restated
2009-06,,163.30M,958.50M,1.122B,,156.50M,43.60M,74.40M,158.20M,39.40M,1.594B,627.10M,,4.401B,-1.247B,3.154B,,,,0.00,39.90M,,153.30M,3.347B,4.941B,,52.50M,52.50M,695.00M,747.50M,,588.80M,,588.80M,,,,4.10M,1.340B,1.670B,,1.670B,46.10M,454.30M,500.40M,583.30M,159.10M,2.912B,4.253B,,43.30M,203.30M,924.50M,172.80M,-309.90M,688.40M,,AOR,Restated
2009-03,,237.10M,805.90M,1.043B,,113.50M,43.40M,82.30M,170.30M,13.40M,1.466B,618.20M,,4.353B,-1.226B,3.127B,,,,0.00,27.50M,,158.40M,3.313B,4.779B,,63.80M,63.80M,652.10M,715.90M,,564.00M,,564.00M,,,,5.70M,1.286B,1.619B,,1.619B,37.20M,424.70M,461.90M,589.40M,165.50M,2.836B,4.122B,,43.30M,174.20M,921.70M,161.00M,-320.90M,657.30M,,AOR,Restated
2008-12,,283.10M,794.30M,1.077B,,116.70M,51.90M,82.00M,164.40M,16.50M,1.509B,608.60M,309.80M,4.349B,-1.182B,3.168B,,,,0.00,35.90M,,123.10M,3.327B,4.836B,,59.60M,59.60M,659.30M,718.90M,,617.60M,,617.60M,,,,24.10M,1.361B,1.596B,,1.596B,36.70M,421.30M,458.00M,584.70M,174.10M,2.813B,4.174B,,43.20M,193.40M,915.00M,161.40M,-328.30M,661.90M,,AOR,
2008-09,,259.20M,808.20M,1.067B,,143.00M,83.50M,84.70M,130.20M,169.90M,1.679B,603.80M,397.10M,4.359B,-1.141B,3.218B,,,,0.00,29.90M,,139.80M,3.387B,5.066B,,81.10M,81.10M,642.60M,723.70M,,715.70M,,715.70M,,,,101.10M,1.540B,1.613B,,1.613B,151.80M,407.80M,559.60M,,427.00M,2.600B,4.140B,,43.10M,268.60M,911.10M,161.40M,-135.70M,925.70M,,AOR,Restated
2008-06,,179.10M,826.90M,1.006B,,165.00M,59.70M,95.30M,63.40M,344.60M,1.734B,590.90M,438.40M,4.248B,-1.107B,3.142B,,,,0.00,71.90M,,147.80M,3.362B,5.096B,,84.20M,84.20M,659.90M,744.10M,,794.40M,,794.40M,,,,111.30M,1.650B,1.445B,,1.445B,128.10M,442.50M,570.60M,,420.00M,2.436B,4.085B,,42.90M,359.10M,902.40M,161.40M,-132.80M,1.010B,,AOR,Restated
2008-03,,211.90M,709.90M,921.80M,,158.80M,47.00M,98.40M,105.00M,210.80M,1.542B,578.90M,,4.120B,-1.064B,3.057B,,,,0.00,18.30M,74.60M,85.80M,3.235B,4.777B,,97.30M,97.30M,649.80M,747.10M,155.00M,155.00M,106.70M,261.70M,,,,473.60M,1.482B,1.38B,,1.38B,132.90M,429.30M,562.20M,,395.40M,2.338B,3.82B,,42.90M,296.00M,899.10M,153.10M,-127.80M,957.10M,,AOR,Restated
2007-12,,204.30M,618.50M,822.80M,,138.00M,46.60M,85.40M,84.90M,212.60M,1.390B,574.50M,430.00M,3.986B,-1.023B,2.962B,,,,0.00,11.80M,,126.50M,3.101B,4.491B,,101.50M,101.50M,619.90M,721.40M,,540.40M,,540.40M,,,,111.90M,1.374B,1.125B,,1.125B,131.20M,413.60M,544.80M,276.20M,146.20M,2.092B,3.466B,,42.80M,329.30M,899.10M,112.50M,-133.30M,1.025B,,AOR,Restated
