,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2018-03,2.477B,,-4.00M,,,501.00M,501.00M,,,20.00M,45.00M,,59.00M,-1.492B,283.00M,,-746.00M,-103.00M,,2.096B,38.00M,3.136B,,2018-03,-414.00M,27.00M,-367.00M,-20.00M,,503.00M,119.00M,,2018-03,1.316B,1.316B,,-3.00B,-3.00B,-1.006B,-1.006B,51.00M,-206.00M,,2018-03,8.887B,410.00M,9.235B,,2018-03,,2.687B,-1.371B,-3.00B,2018-03,AOR,Restated
2017-12,3.32B,,-21.00M,,,577.00M,577.00M,,,38.00M,51.00M,,95.00M,330.00M,-603.00M,,-213.00M,318.00M,,-989.00M,-1.157B,2.903B,,2017-12,-435.00M,62.00M,-373.00M,0.00,,241.00M,-457.00M,,2017-12,331.00M,331.00M,,-1.736B,-1.736B,-842.00M,-842.00M,20.00M,-14.00M,,2017-12,8.569B,205.00M,8.813B,,2017-12,,1.201B,-870.00M,-1.736B,2017-12,AOR,Restated
2017-09,1.81B,,,,,514.00M,514.00M,,,29.00M,53.00M,,60.00M,-958.00M,236.00M,,829.00M,-189.00M,,1.012B,930.00M,3.396B,,2017-09,-399.00M,5.00M,-394.00M,0.00,,176.00M,-218.00M,,2017-09,-25.00M,-25.00M,,-2.50B,-2.50B,-855.00M,-855.00M,51.00M,-6.00M,,2017-09,8.737B,-157.00M,8.569B,,2017-09,,2.00M,-27.00M,-2.50B,2017-09,AOR,Restated
2017-06,1.749B,,2.00M,,,488.00M,488.00M,,,23.00M,48.00M,,75.00M,-170.00M,455.00M,,-485.00M,-31.00M,,2.795B,2.564B,4.949B,,2017-06,-570.00M,16.00M,-423.00M,-131.00M,,-577.00M,-1.123B,,2017-06,-20.00M,-20.00M,,-2.50B,-2.50B,-852.00M,-852.00M,66.00M,-5.00M,,2017-06,8.19B,515.00M,8.737B,,2017-06,,2.00M,-22.00M,-2.50B,2017-06,AOR,Restated
2017-03,1.579B,,-2.00M,,,468.00M,468.00M,,,23.00M,50.00M,,65.00M,-601.00M,-1.491B,,334.00M,-117.00M,,1.79B,-85.00M,2.098B,,2017-03,-466.00M,9.00M,-457.00M,,,198.00M,-260.00M,,2017-03,838.00M,838.00M,,-2.50B,-2.50B,-868.00M,-868.00M,174.00M,-107.00M,,2017-03,8.795B,-625.00M,8.19B,,2017-03,,872.00M,-34.00M,-2.50B,2017-03,AOR,Restated
2016-12,1.77B,,-3.00M,,,525.00M,525.00M,,,29.00M,46.00M,,150.00M,1.168B,-330.00M,,-514.00M,,,188.00M,312.00M,2.829B,,2016-12,-599.00M,24.00M,-575.00M,,,-541.00M,-1.414B,,2016-12,-521.00M,-521.00M,,-500.00M,-500.00M,-672.00M,-672.00M,129.00M,-10.00M,,2016-12,8.986B,-159.00M,8.801B,,2016-12,,2.00M,-523.00M,-500.00M,2016-12,AOR,Restated
2016-09,2.279B,,1.00M,,,474.00M,474.00M,,,11.00M,47.00M,,77.00M,-484.00M,1.33B,,496.00M,,,-1.029B,313.00M,3.202B,,2016-09,-595.00M,1.00M,-594.00M,,,-20.00M,-614.00M,,2016-09,-569.00M,-569.00M,,-1.00B,-1.00B,-676.00M,-676.00M,45.00M,-4.00M,,2016-09,8.605B,384.00M,8.986B,,2016-09,,0.00,-569.00M,-1.00B,2016-09,AOR,Restated
2016-06,-234.00M,,13.00M,,,447.00M,447.00M,,,17.00M,46.00M,,55.00M,498.00M,3.06B,,459.00M,,,-1.171B,2.846B,3.19B,,2016-06,-671.00M,2.00M,-669.00M,,,-241.00M,-912.00M,,2016-06,1.069B,1.069B,,-2.00B,-2.00B,-691.00M,-691.00M,105.00M,-27.00M,,2016-06,7.886B,734.00M,8.605B,,2016-06,,1.208B,-139.00M,-2.00B,2016-06,AOR,Restated
2016-03,1.219B,,-4.00M,,,443.00M,443.00M,,,33.00M,51.00M,,82.00M,-726.00M,-56.00M,,493.00M,,,-260.00M,-549.00M,1.275B,,2016-03,-748.00M,11.00M,-737.00M,,,289.00M,-438.00M,,2016-03,-13.00M,-13.00M,,-3.501B,-3.501B,-717.00M,-717.00M,42.00M,-76.00M,,2016-03,11.30B,-3.428B,7.886B,,2016-03,,115.00M,-128.00M,-3.501B,2016-03,AOR,Restated
2015-12,1.026B,,1.00M,,,484.00M,484.00M,,,43.00M,48.00M,-18.00M,132.00M,255.00M,1.076B,,-1.098B,,,1.17B,1.403B,3.119B,,2015-12,-623.00M,18.00M,-605.00M,,-8.00M,-274.00M,-881.00M,,2015-12,964.00M,964.00M,,-750.00M,-750.00M,-608.00M,-608.00M,68.00M,15.00M,,2015-12,9.383B,1.927B,11.30B,,2015-12,,985.00M,-21.00M,-750.00M,2015-12,AOR,Restated
2015-09,1.704B,,1.00M,,,437.00M,437.00M,,,50.00M,47.00M,-15.00M,92.00M,-863.00M,209.00M,,151.00M,,,1.046B,543.00M,2.859B,,2015-09,-561.00M,4.00M,-557.00M,,0.00,-7.00M,-553.00M,,2015-09,-18.00M,-18.00M,,-1.50B,-1.50B,-618.00M,-618.00M,55.00M,12.00M,,2015-09,9.157B,237.00M,9.383B,,2015-09,,0.00,-18.00M,-1.50B,2015-09,AOR,Restated
2015-06,1.11B,,0.00,,,453.00M,453.00M,,,57.00M,44.00M,-12.00M,61.00M,64.00M,-573.00M,,763.00M,,,1.33B,1.584B,3.297B,,2015-06,-692.00M,20.00M,-672.00M,,-23.00M,483.00M,-198.00M,,2015-06,-33.00M,-33.00M,,-2.001B,-2.001B,-625.00M,-625.00M,45.00M,9.00M,,2015-06,8.655B,494.00M,9.157B,,2015-06,,0.00,-33.00M,-2.001B,2015-06,AOR,Restated
2015-03,1.336B,,-1.00M,,,459.00M,459.00M,,,17.00M,50.00M,-112.00M,74.00M,-358.00M,-1.822B,,-52.00M,,,497.00M,-1.735B,88.00M,,2015-03,-574.00M,,-574.00M,,,352.00M,-214.00M,,2015-03,-52.00M,-52.00M,,-2.50B,-2.50B,-639.00M,-639.00M,231.00M,25.00M,,2015-03,11.73B,-3.061B,8.655B,,2015-03,,761.00M,-813.00M,-2.50B,2015-03,AOR,Restated
2014-12,1.466B,,12.00M,,,528.00M,528.00M,,,89.00M,43.00M,-10.00M,170.00M,141.00M,95.00M,,-514.00M,,,2.978B,2.70B,4.998B,,2014-12,-668.00M,7.00M,-661.00M,,0.00,2.065B,1.433B,,2014-12,166.00M,166.00M,,-1.001B,-1.001B,-519.00M,-519.00M,50.00M,5.00M,,2014-12,6.655B,5.132B,11.73B,,2014-12,,857.00M,-691.00M,-1.001B,2014-12,AOR,Restated
2014-09,1.362B,,0.00,,,478.00M,478.00M,,,104.00M,51.00M,-7.00M,58.00M,-71.00M,-1.023B,,-105.00M,,,92.00M,-1.107B,939.00M,,2014-09,-622.00M,10.00M,-612.00M,,0.00,361.00M,-247.00M,,2014-09,-36.00M,-36.00M,,-1.002B,-1.002B,-525.00M,-525.00M,32.00M,1.00M,,2014-09,7.533B,-838.00M,6.655B,,2014-09,,20.00M,-56.00M,-1.002B,2014-09,AOR,Restated
2014-06,1.654B,,-2.00M,,,452.00M,452.00M,,,7.00M,49.00M,-29.00M,37.00M,-436.00M,-1.353B,,905.00M,,,525.00M,-359.00M,1.809B,,2014-06,-449.00M,2.00M,-447.00M,,-163.00M,1.485B,875.00M,,2014-06,-63.00M,-63.00M,,-1.498B,-1.498B,-531.00M,-531.00M,152.00M,-156.00M,,2014-06,6.942B,588.00M,7.533B,,2014-06,,34.00M,-97.00M,-1.498B,2014-06,AOR,Restated
2014-03,964.00M,,,,,448.00M,448.00M,,,29.00M,52.00M,-68.00M,24.00M,-384.00M,-2.049B,,-35.00M,,,2.131B,-337.00M,1.112B,,2014-03,-497.00M,15.00M,-482.00M,,,888.00M,406.00M,,2014-03,-706.00M,-706.00M,,-2.50B,-2.50B,-540.00M,-540.00M,109.00M,-31.00M,,2014-03,9.088B,-2.15B,6.942B,,2014-03,,51.00M,-757.00M,-2.50B,2014-03,AOR,Restated
2013-12,1.233B,,1.00M,,,521.00M,521.00M,,,58.00M,50.00M,-42.00M,476.00M,295.00M,-1.931B,,-20.00M,,,739.00M,-917.00M,1.38B,,2013-12,-778.00M,4.00M,-634.00M,,0.00,-298.00M,-1.072B,,2013-12,-13.00M,-13.00M,,-1.002B,-1.002B,-365.00M,-365.00M,226.00M,-102.00M,,2013-12,10.04B,-948.00M,9.088B,,2013-12,,24.00M,-37.00M,-1.002B,2013-12,AOR,Restated
2013-09,1.16B,,1.00M,,,458.00M,458.00M,,,12.00M,49.00M,-39.00M,15.00M,-421.00M,-1.017B,,439.00M,,,2.151B,1.152B,2.808B,,2013-09,-484.00M,3.00M,-481.00M,,0.00,-230.00M,-711.00M,,2013-09,-20.00M,-20.00M,,-799.00M,-799.00M,-367.00M,-367.00M,387.00M,36.00M,,2013-09,8.694B,1.334B,10.04B,,2013-09,,16.00M,-36.00M,-799.00M,2013-09,AOR,Restated
2013-06,1.087B,,0.00,,,436.00M,436.00M,,,0.00,49.00M,-24.00M,-24.00M,51.00M,386.00M,,645.00M,,,861.00M,1.943B,3.467B,,2013-06,-455.00M,11.00M,-444.00M,,0.00,-2.113B,-2.557B,,2013-06,417.00M,417.00M,,-1.00B,-1.00B,-368.00M,-368.00M,408.00M,18.00M,,2013-06,8.335B,385.00M,8.694B,,2013-06,,516.00M,-99.00M,-1.00B,2013-06,AOR,Restated
2013-03,1.106B,,-22.00M,,,429.00M,429.00M,,,26.00M,58.00M,-23.00M,50.00M,-413.00M,-3.00B,,-479.00M,,,2.792B,-1.10B,524.00M,,2013-03,-521.00M,33.00M,-488.00M,,-26.00M,-300.00M,-814.00M,,2013-03,-1.247B,-1.247B,,,,-367.00M,-367.00M,76.00M,-167.00M,,2013-03,10.34B,-1.995B,8.335B,,2013-03,,15.00M,-1.262B,,2013-03,AOR,Restated
2012-12,978.00M,,-7.00M,,,498.00M,498.00M,,,25.00M,45.00M,-2.00M,129.00M,-24.00M,-1.093B,,1.266B,,,2.352B,2.501B,4.167B,,2012-12,-496.00M,68.00M,-427.00M,-1.00M,-106.00M,1.37B,836.00M,,2012-12,-777.00M,-777.00M,,,,-332.00M,-332.00M,24.00M,-158.00M,,2012-12,6.582B,3.76B,10.34B,,2012-12,,26.00M,-803.00M,,2012-12,AOR,Restated
2012-09,1.035B,,1.00M,,,465.00M,465.00M,,,14.00M,49.00M,-4.00M,195.00M,498.00M,-1.851B,,586.00M,,,608.00M,-159.00M,1.596B,,2012-09,-428.00M,13.00M,-415.00M,0.00,0.00,-590.00M,-1.005B,,2012-09,-30.00M,-30.00M,,,,-332.00M,-332.00M,25.00M,0.00,,2012-09,6.305B,254.00M,6.582B,,2012-09,,10.00M,-40.00M,,2012-09,AOR,Restated
2012-06,967.00M,,2.00M,,,422.00M,422.00M,,,9.00M,49.00M,1.00M,210.00M,439.00M,-2.24B,,674.00M,,,375.00M,-752.00M,908.00M,,2012-06,-362.00M,12.00M,-344.00M,-6.00M,-18.00M,-217.00M,-585.00M,,2012-06,-418.00M,-418.00M,,,,-330.00M,-330.00M,43.00M,-5.00M,,2012-06,6.718B,-387.00M,6.305B,,2012-06,,4.00M,-422.00M,,2012-06,AOR,Restated
2012-03,925.00M,,,,,426.00M,426.00M,,,36.00M,50.00M,-40.00M,150.00M,-533.00M,-497.00M,,-526.00M,,,846.00M,-710.00M,837.00M,,2012-03,-424.00M,4.00M,-420.00M,,,-2.583B,-3.003B,,2012-03,-791.00M,-791.00M,,,,-328.00M,-328.00M,28.00M,-96.00M,,2012-03,10.05B,-3.353B,6.718B,,2012-03,,20.00M,-811.00M,,2012-03,AOR,Restated
2011-12,,,-3.00M,,,438.00M,438.00M,,,69.00M,45.00M,-1.00M,-2.532B,613.00M,-1.767B,,403.00M,,-1.996B,3.655B,908.00M,2.931B,,2011-12,-571.00M,40.00M,-531.00M,,0.00,2.044B,1.513B,,2011-12,764.00M,411.00M,,,,,-312.00M,8.00M,-453.00M,,2011-12,5.954B,4.098B,10.05B,,2011-12,,,-35.00M,,2011-12,AOR,Restated
2011-09,,,-5.00M,,,421.00M,421.00M,,,34.00M,45.00M,-3.00M,1.078B,-164.00M,-3.356B,,132.00M,,1.37B,897.00M,-1.121B,449.00M,,2011-09,-380.00M,35.00M,-345.00M,0.00,-26.00M,469.00M,98.00M,,2011-09,-44.00M,679.00M,,,,,-312.00M,26.00M,0.00,,2011-09,5.05B,940.00M,5.954B,,2011-09,,,-44.00M,,2011-09,AOR,Restated
2011-06,,,-19.00M,,,816.00M,432.00M,,,6.00M,45.00M,-10.00M,1.001B,-114.00M,-2.267B,,633.00M,,586.00M,1.303B,141.00M,1.596B,,2011-06,-345.00M,5.00M,-340.00M,0.00,0.00,-1.609B,-1.949B,,2011-06,-39.00M,-31.00M,,,,,-311.00M,56.00M,7.00M,,2011-06,5.67B,-632.00M,5.05B,,2011-06,,,-39.00M,,2011-06,AOR,Restated
2011-03,,,3.00M,,,,384.00M,,,10.00M,51.00M,-22.00M,684.00M,-633.00M,-2.622B,,233.00M,,40.00M,919.00M,-2.063B,-953.00M,,2011-03,-417.00M,14.00M,-403.00M,,-16.00M,3.126B,2.707B,,2011-03,-812.00M,-1.19B,,,,,-309.00M,24.00M,7.00M,,2011-03,5.359B,286.00M,5.67B,,2011-03,,,-812.00M,,2011-03,AOR,Restated
2010-12,1.17B,,0.00,-1.101B,-169.00M,476.00M,476.00M,,-15.00M,47.00M,43.00M,-2.00M,436.00M,1.426B,-2.701B,,349.00M,,303.00M,-416.00M,-1.039B,1.116B,,2010-12,-400.00M,16.00M,-384.00M,0.00,-65.00M,2.138B,1.649B,,2010-12,7.00M,-23.00M,,,,-1.253B,-308.00M,-1.00M,15.00M,,2010-12,2.864B,2.448B,5.359B,,2010-12,,,-34.00M,,2010-12,AOR,Restated
2010-09,837.00M,,-14.00M,358.00M,58.00M,416.00M,416.00M,,5.00M,107.00M,42.00M,-2.00M,77.00M,126.00M,-1.261B,,495.00M,,-237.00M,1.264B,387.00M,1.855B,,2010-09,-284.00M,25.00M,-257.00M,-2.00M,-843.00M,-1.486B,-2.588B,,2010-09,-567.00M,-426.00M,,,,637.00M,-308.00M,30.00M,-163.00M,,2010-09,4.468B,-1.60B,2.864B,,2010-09,,,-567.00M,,2010-09,AOR,
2010-06,787.00M,,4.00M,393.00M,56.00M,449.00M,449.00M,,5.00M,5.00M,64.00M,-7.00M,8.00M,-255.00M,-1.592B,,48.00M,,155.00M,595.00M,-1.049B,266.00M,,2010-06,-257.00M,19.00M,-238.00M,,0.00,347.00M,149.00M,,2010-06,-37.00M,-154.00M,,,,-319.00M,-319.00M,42.00M,,,2010-06,4.517B,-16.00M,4.468B,,2010-06,,,-37.00M,,2010-06,AOR,Restated
2010-03,519.00M,,4.00M,350.00M,55.00M,405.00M,405.00M,,5.00M,15.00M,66.00M,-8.00M,42.00M,-572.00M,-1.833B,,89.00M,,-221.00M,1.204B,-1.333B,-285.00M,,2010-03,-186.00M,3.00M,-183.00M,,-24.00M,-3.834B,-4.041B,,2010-03,-51.00M,-45.00M,,,,-318.00M,-318.00M,16.00M,,,2010-03,9.215B,-4.673B,4.517B,,2010-03,,,-51.00M,,2010-03,AOR,Restated
2009-12,-44.00M,,40.00M,412.00M,55.00M,467.00M,467.00M,,5.00M,85.00M,58.00M,0.00,1.37B,427.00M,-943.00M,,208.00M,,-680.00M,2.219B,1.231B,3.212B,,2009-12,-221.00M,2.00M,-219.00M,,0.00,-1.466B,-1.645B,,2009-12,1.894B,1.894B,,0.00,0.00,,-305.00M,2.00M,-42.00M,,2009-12,6.095B,3.116B,9.215B,,2009-12,,2.189B,-295.00M,0.00,2009-12,AOR,Restated
2009-09,-1.571B,,14.00M,381.00M,53.00M,434.00M,434.00M,,3.00M,16.00M,59.00M,0.00,111.00M,397.00M,1.011B,,273.00M,,,450.00M,2.131B,1.197B,,2009-09,-229.00M,2.00M,-227.00M,,-592.00M,-36.00M,-1.303B,,2009-09,1.891B,1.891B,,0.00,0.00,,-305.00M,13.00M,-14.00M,,2009-09,4.599B,1.479B,6.095B,,2009-09,,1.929B,-38.00M,0.00,2009-09,AOR,Restated
2009-06,1.005B,,-5.00M,331.00M,50.00M,381.00M,381.00M,,2.00M,29.00M,61.00M,0.00,18.00M,-880.00M,-1.511B,,1.512B,,1.21B,-821.00M,-490.00M,1.001B,,2009-06,-294.00M,-2.00M,-296.00M,,-17.00M,65.00M,-248.00M,,2009-06,-131.00M,-131.00M,,0.00,0.00,,-305.00M,-5.00M,10.00M,,2009-06,4.237B,322.00M,4.599B,,2009-06,,16.00M,-147.00M,0.00,2009-06,AOR,Restated
2009-03,610.00M,,11.00M,335.00M,49.00M,384.00M,384.00M,,2.00M,21.00M,60.00M,-5.00M,72.00M,-335.00M,-82.00M,,475.00M,,-1.21B,190.00M,-962.00M,193.00M,,2009-03,-442.00M,25.00M,-417.00M,,-30.00M,-151.00M,-598.00M,,2009-03,1.756B,1.756B,,-50.00M,-50.00M,,-305.00M,0.00,-10.00M,,2009-03,3.268B,986.00M,4.237B,,2009-03,,1.827B,-71.00M,-50.00M,2009-03,AOR,Restated
2008-12,-2.73B,,-30.00M,373.00M,44.00M,417.00M,417.00M,,3.00M,29.00M,50.00M,0.00,2.716B,-24.00M,-4.498B,,700.00M,,941.00M,785.00M,-2.096B,-1.641B,,2008-12,-472.00M,18.00M,-427.00M,-27.00M,-474.00M,2.643B,1.715B,,2008-12,96.00M,96.00M,,-354.00M,-354.00M,,-291.00M,1.00M,-411.00M,,2008-12,4.186B,-885.00M,3.268B,,2008-12,,8.00M,88.00M,-354.00M,2008-12,AOR,Restated
2008-09,677.00M,,0.00,309.00M,41.00M,350.00M,350.00M,,4.00M,21.00M,61.00M,-55.00M,-2.00M,442.00M,-1.021B,,-444.00M,,-895.00M,420.00M,-1.498B,-442.00M,,2008-09,-425.00M,0.00,-422.00M,-3.00M,-396.00M,1.395B,574.00M,,2008-09,-672.00M,-672.00M,,-519.00M,-519.00M,,-295.00M,2.00M,-26.00M,,2008-09,5.619B,-1.378B,4.186B,,2008-09,,0.00,-672.00M,-519.00M,2008-09,AOR,Restated
2008-06,850.00M,,4.00M,321.00M,41.00M,362.00M,362.00M,,2.00M,0.00,53.00M,-2.00M,102.00M,-553.00M,-45.00M,,-12.00M,,-1.279B,267.00M,-1.622B,-251.00M,,2008-06,-546.00M,7.00M,-391.00M,-148.00M,-54.00M,-40.00M,-538.00M,,2008-06,-122.00M,-122.00M,,-906.00M,-906.00M,,-300.00M,26.00M,2.00M,,2008-06,7.707B,-2.089B,5.619B,,2008-06,,0.00,-122.00M,-906.00M,2008-06,,Restated
2008-03,1.203B,0.00,-6.00M,322.00M,40.00M,362.00M,362.00M,,2.00M,0.00,45.00M,-43.00M,56.00M,699.00M,-604.00M,,628.00M,,113.00M,-522.00M,314.00M,1.933B,,2008-03,-409.00M,9.00M,-400.00M,,-40.00M,672.00M,137.00M,,2008-03,-27.00M,-27.00M,,-1.158B,-1.158B,,-306.00M,15.00M,43.00M,,2008-03,7.042B,637.00M,7.707B,,2008-03,,5.00M,-32.00M,-1.158B,2008-03,,Restated
2007-12,-3.025B,-60.00M,-85.00M,359.00M,36.00M,395.00M,395.00M,,-8.00M,46.00M,21.00M,-3.00M,4.143B,-1.229B,-1.431B,,458.00M,,1.622B,989.00M,409.00M,1.893B,,2007-12,-479.00M,37.00M,-412.00M,-30.00M,0.00,-1.783B,-2.225B,,2007-12,-387.00M,-387.00M,,-958.00M,-958.00M,,-270.00M,13.00M,3.00M,,2007-12,8.948B,-1.931B,7.042B,,2007-12,,12.00M,-399.00M,-958.00M,2007-12,AOR,Restated
2007-09,1.098B,22.00M,-554.00M,299.00M,33.00M,332.00M,332.00M,,7.00M,5.00M,266.00M,-141.00M,14.00M,1.598B,234.00M,,-440.00M,,747.00M,154.00M,2.293B,3.329B,,2007-09,-569.00M,5.00M,-412.00M,-152.00M,0.00,117.00M,-385.00M,,2007-09,-979.00M,-96.00M,-151.00M,-871.00M,-1.022B,,-274.00M,196.00M,34.00M,,2007-09,7.156B,1.782B,8.948B,,2007-09,-151.00M,28.00M,-1.007B,-871.00M,2007-09,,Restated
2007-06,1.05B,,257.00M,357.00M,43.00M,400.00M,400.00M,,,,,,70.00M,-530.00M,-82.00M,,1.142B,,,1.329B,1.859B,3.634B,,2007-06,-414.00M,17.00M,-397.00M,,0.00,-128.00M,-531.00M,,2007-06,,-66.00M,60.00M,-586.00M,-526.00M,,-276.00M,,76.00M,,2007-06,4.836B,2.311B,7.156B,,2007-06,60.00M,,,-586.00M,2007-06,,
