,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,23.38B,23.38B,18.82B,4.558B,997.00M,997.00M,764.00M,4.00M,102.00M,-102.00M,,1.761B,2.797B,102.00M,-102.00M,144.00M,-102.00M,2.839B,362.00M,2.477B,,,,2.477B,2.409B,2.941B,,2018-03,4.19,,4.19,,2018-03,4.15,,4.15,,2018-03,1.71,,2018-03,AOR,Restated
2017-12,24.77B,24.77B,19.88B,4.889B,1.205B,1.205B,762.00M,,93.00M,-93.00M,,1.967B,2.922B,93.00M,-93.00M,88.00M,-93.00M,2.917B,-403.00M,3.32B,,,,3.32B,3.299B,3.01B,,2017-12,5.25,,5.25,,2017-12,5.18,,5.18,,2017-12,1.42,,2017-12,AOR,Restated
2017-09,24.22B,24.22B,19.96B,4.267B,918.00M,918.00M,768.00M,,87.00M,-87.00M,,1.686B,2.581B,87.00M,-87.00M,89.00M,-87.00M,2.583B,773.00M,1.81B,,,,1.81B,1.776B,2.67B,,2017-09,3.03,,3.03,,2017-09,2.99,,2.99,,2017-09,1.42,,2017-09,AOR,Restated
2017-06,23.05B,23.05B,18.70B,4.349B,1.043B,1.043B,813.00M,-2.00M,93.00M,-93.00M,,1.856B,2.493B,93.00M,-93.00M,62.00M,-93.00M,2.462B,713.00M,1.749B,,,,1.749B,1.723B,2.555B,,2017-06,2.91,,2.91,,2017-06,2.87,,2.87,,2017-06,1.42,,2017-06,AOR,Restated
2017-03,21.96B,21.96B,18.07B,3.888B,929.00M,929.00M,836.00M,2.00M,87.00M,-87.00M,,1.765B,2.123B,87.00M,-87.00M,109.00M,-87.00M,2.145B,566.00M,1.579B,,,,1.579B,1.518B,2.232B,,2017-03,2.57,,2.57,,2017-03,2.54,,2.54,,2017-03,1.42,,2017-03,AOR,Restated
2016-12,22.21B,22.21B,17.70B,4.511B,996.00M,996.00M,725.00M,3.00M,79.00M,-79.00M,,1.721B,2.79B,79.00M,-79.00M,-393.00M,-79.00M,2.318B,548.00M,1.77B,,,,1.77B,1.704B,2.397B,,2016-12,2.63,,2.63,,2016-12,2.59,,2.59,,2016-12,1.09,,2016-12,AOR,Restated
2016-09,23.90B,23.90B,19.90B,3.994B,923.00M,923.00M,857.00M,-1.00M,81.00M,-81.00M,,1.78B,2.214B,81.00M,-81.00M,70.00M,-81.00M,2.203B,-76.00M,2.279B,,,,2.279B,2.213B,2.284B,,2016-09,3.64,,3.64,,2016-09,3.60,,3.60,,2016-09,1.09,,2016-09,AOR,Restated
2016-06,24.76B,24.76B,22.32B,2.43B,806.00M,806.00M,2.127B,-13.00M,73.00M,-73.00M,,2.933B,-503.00M,73.00M,-73.00M,97.00M,-73.00M,-479.00M,-245.00M,-234.00M,,,,-234.00M,-284.40M,-406.00M,,2016-06,-0.37,,-0.37,,2016-06,-0.37,,-0.37,,2016-06,1.09,,2016-06,AOR,Restated
2016-03,22.63B,22.63B,19.10B,3.535B,888.00M,888.00M,917.00M,4.00M,73.00M,-73.00M,,1.805B,1.73B,73.00M,-73.00M,84.00M,-73.00M,1.741B,522.00M,1.219B,,,,1.219B,1.178B,1.814B,,2016-03,1.85,,1.85,,2016-03,1.83,,1.83,,2016-03,1.09,,2016-03,AOR,Restated
2015-12,23.57B,23.57B,20.64B,2.931B,931.00M,931.00M,905.00M,,72.00M,-72.00M,,1.836B,1.095B,72.00M,-72.00M,76.00M,-72.00M,1.099B,73.00M,1.026B,,,,1.026B,963.45M,1.171B,,2015-12,1.52,,1.52,,2015-12,1.51,,1.51,,2015-12,0.91,,2015-12,AOR,Restated
2015-09,25.85B,25.85B,21.60B,4.249B,889.00M,889.00M,857.00M,-1.00M,67.00M,-67.00M,,1.746B,2.503B,67.00M,-67.00M,51.00M,-67.00M,2.487B,783.00M,1.704B,,,,1.704B,1.651B,2.554B,,2015-09,2.50,,2.50,,2015-09,2.47,,2.47,,2015-09,0.91,,2015-09,AOR,Restated
2015-06,24.54B,24.54B,21.35B,3.193B,760.00M,760.00M,800.00M,,75.00M,-75.00M,,1.56B,1.633B,75.00M,-75.00M,65.00M,-75.00M,1.623B,513.00M,1.11B,,,,1.11B,1.076B,1.698B,,2015-06,1.61,,1.61,,2015-06,1.59,,1.59,,2015-06,0.91,,2015-06,AOR,Restated
2015-03,22.15B,22.15B,18.50B,3.653B,945.00M,945.00M,769.00M,1.00M,61.00M,-61.00M,,1.714B,1.939B,61.00M,-61.00M,68.00M,-61.00M,1.946B,610.00M,1.336B,,,,1.336B,1.281B,2.007B,,2015-03,1.89,,1.89,,2015-03,1.87,,1.87,,2015-03,0.91,,2015-03,AOR,Restated
2014-12,24.47B,24.47B,20.71B,3.757B,1.04B,1.04B,755.00M,-12.00M,81.00M,-81.00M,,1.795B,1.962B,81.00M,-81.00M,49.00M,-81.00M,1.93B,464.00M,1.466B,,,,1.466B,1.418B,2.011B,,2014-12,2.05,0.00,2.05,,2014-12,2.02,0.00,2.02,,2014-12,0.73,,2014-12,AOR,Restated
2014-09,23.78B,23.78B,20.08B,3.709B,932.00M,932.00M,750.00M,,79.00M,-79.00M,,1.682B,2.027B,79.00M,-79.00M,83.00M,-79.00M,2.031B,669.00M,1.362B,,,,1.362B,1.300B,2.11B,,2014-09,1.88,,1.88,,2014-09,1.86,,1.86,,2014-09,0.73,,2014-09,AOR,Restated
2014-06,22.04B,22.04B,18.67B,3.375B,918.00M,918.00M,733.00M,2.00M,81.00M,-81.00M,,1.651B,1.724B,81.00M,-81.00M,74.00M,-81.00M,1.717B,64.00M,1.653B,,,,1.653B,1.592B,1.798B,,2014-06,2.26,,2.26,,2014-06,2.24,,2.24,,2014-06,0.73,,2014-06,AOR,Restated
2014-03,20.46B,20.46B,17.30B,3.169B,877.00M,877.00M,809.00M,,92.00M,-92.00M,,1.686B,1.483B,92.00M,-92.00M,68.00M,-92.00M,1.459B,494.00M,965.00M,,,,965.00M,926.00M,1.551B,,2014-03,1.30,,1.30,,2014-03,1.28,,1.28,,2014-03,0.73,,2014-03,AOR,Restated
2013-12,23.78B,23.78B,20.39B,3.397B,1.10B,1.10B,848.00M,-1.00M,96.00M,-96.00M,,1.948B,1.449B,96.00M,-96.00M,81.00M,-96.00M,1.434B,201.00M,1.233B,0.00,,,1.233B,1.176B,1.53B,,2013-12,1.63,0.00,1.63,,2013-12,1.61,0.00,1.61,,2013-12,0.485,,2013-12,AOR,Restated
2013-09,22.13B,22.13B,18.67B,3.456B,956.00M,956.00M,755.00M,-1.00M,95.00M,-95.00M,,1.711B,1.745B,95.00M,-95.00M,77.00M,-95.00M,1.727B,567.00M,1.16B,-2.00M,,,1.158B,1.121B,1.822B,,2013-09,1.53,0.00,1.53,,2013-09,1.51,0.00,1.51,,2013-09,0.485,,2013-09,AOR,Restated
2013-06,21.82B,21.82B,18.45B,3.365B,929.00M,929.00M,763.00M,,96.00M,-96.00M,,1.692B,1.673B,96.00M,-96.00M,56.00M,-96.00M,1.633B,546.00M,1.087B,1.00M,,,1.088B,1.058B,1.729B,,2013-06,1.43,0.00,1.43,,2013-06,1.41,0.00,1.41,,2013-06,0.485,,2013-06,AOR,Restated
2013-03,18.89B,18.89B,15.76B,3.137B,971.00M,971.00M,705.00M,22.00M,99.00M,-99.00M,,1.676B,1.461B,99.00M,-99.00M,76.00M,-99.00M,1.438B,332.00M,1.106B,,,,1.106B,1.054B,1.537B,,2013-03,1.45,0.00,1.45,,2013-03,1.44,0.00,1.44,,2013-03,0.485,,2013-03,AOR,Restated
2012-12,22.30B,22.30B,19.05B,3.256B,943.00M,943.00M,753.00M,7.00M,112.00M,-112.00M,,1.696B,1.56B,112.00M,-112.00M,87.00M,-112.00M,1.535B,557.00M,978.00M,0.00,,,978.00M,937.22M,1.647B,,2012-12,1.29,0.00,1.29,,2012-12,1.28,0.00,1.28,,2012-12,0.44,,2012-12,AOR,Restated
2012-09,20.01B,20.01B,16.80B,3.209B,916.00M,916.00M,853.00M,-1.00M,110.00M,-110.00M,,1.769B,1.44B,110.00M,-110.00M,136.00M,-110.00M,1.466B,432.00M,1.034B,-2.00M,,,1.032B,950.10M,1.576B,,2012-09,1.36,0.00,1.36,,2012-09,1.35,0.00,1.35,,2012-09,0.44,,2012-09,AOR,Restated
2012-06,20.00B,20.00B,16.75B,3.259B,903.00M,903.00M,857.00M,-2.00M,106.00M,-106.00M,,1.76B,1.499B,106.00M,-106.00M,53.00M,-106.00M,1.446B,479.00M,967.00M,,,,967.00M,938.23M,1.552B,,2012-06,1.28,0.00,1.28,,2012-06,1.27,0.00,1.27,,2012-06,0.44,,2012-06,AOR,Restated
2012-03,19.38B,19.38B,16.07B,3.309B,955.00M,955.00M,835.00M,,114.00M,-114.00M,,1.79B,1.519B,114.00M,-114.00M,58.00M,-114.00M,1.463B,539.00M,924.00M,-1.00M,,,923.00M,894.93M,1.577B,,2012-03,1.23,0.00,1.23,,2012-03,1.22,0.00,1.22,,2012-03,0.44,,2012-03,AOR,Restated
2011-12,19.56B,19.56B,16.28B,3.273B,,864.00M,913.00M,-72.00M,103.00M,-103.00M,,1.979B,1.294B,103.00M,-103.00M,253.00M,-103.00M,1.444B,57.00M,1.387B,6.00M,,,1.393B,1.456B,1.547B,,2011-12,1.86,0.01,1.87,,2011-12,1.84,0.01,1.85,,2011-12,0.42,,2011-12,AOR,Restated
2011-09,17.73B,17.73B,14.36B,3.37B,,807.00M,901.00M,49.00M,121.00M,-121.00M,-52.00M,1.656B,1.714B,121.00M,-121.00M,49.00M,-121.00M,1.642B,548.00M,1.094B,4.00M,,,1.098B,1.061B,1.763B,,2011-09,1.47,0.00,1.47,,2011-09,1.46,0.00,1.46,,2011-09,0.42,,2011-09,AOR,Restated
2011-06,16.54B,16.54B,13.20B,3.343B,,870.00M,1.047B,34.00M,123.00M,-123.00M,-88.00M,1.829B,1.514B,123.00M,-123.00M,34.00M,-123.00M,1.425B,483.00M,942.00M,-1.00M,,,941.00M,919.53M,1.548B,,2011-06,1.27,0.00,1.27,,2011-06,1.25,0.00,1.25,,2011-06,0.42,,2011-06,AOR,Restated
2011-03,14.91B,14.91B,12.05B,2.861B,,866.00M,1.057B,13.00M,130.00M,-130.00M,-62.00M,1.861B,1.00B,130.00M,-130.00M,13.00M,-130.00M,883.00M,295.00M,588.00M,-2.00M,,,586.00M,579.34M,1.013B,,2011-03,0.79,0.00,0.79,,2011-03,0.78,0.00,0.78,,2011-03,0.42,,2011-03,AOR,Restated
2010-12,16.55B,16.55B,13.41B,3.137B,,977.00M,1.134B,-23.00M,132.00M,-132.00M,,2.298B,839.00M,132.00M,-132.00M,296.00M,-132.00M,1.003B,-163.00M,1.166B,-2.00M,,,1.164B,1.181B,1.135B,,2010-12,1.59,-0.01,1.58,,2010-12,1.57,-0.01,1.56,,2010-12,0.42,,2010-12,AOR,Restated
2010-09,16.97B,16.97B,13.75B,3.221B,,936.00M,986.00M,1.00M,130.00M,-130.00M,-74.00M,1.848B,1.373B,130.00M,-130.00M,1.00M,-130.00M,1.244B,407.00M,837.00M,0.00,,,837.00M,836.33M,1.374B,,2010-09,1.13,0.00,1.13,,2010-09,1.12,0.00,1.12,,2010-09,0.42,,2010-09,AOR,
2010-06,15.57B,15.57B,12.54B,3.033B,,778.00M,1.001B,34.00M,132.00M,-132.00M,-54.00M,1.725B,1.308B,132.00M,-132.00M,34.00M,-132.00M,1.21B,421.00M,789.00M,-2.00M,,,787.00M,766.83M,1.342B,,2010-06,1.07,0.00,1.07,,2010-06,1.06,0.00,1.06,,2010-06,0.42,,2010-06,AOR,Restated
2010-03,15.22B,15.22B,12.14B,3.072B,,953.00M,1.00B,-2.00M,122.00M,-122.00M,-55.00M,1.898B,1.174B,122.00M,-122.00M,-2.00M,-122.00M,1.05B,531.00M,519.00M,0.00,,,519.00M,520.30M,1.172B,,2010-03,0.71,0.00,0.71,,2010-03,0.70,0.00,0.70,,2010-03,0.42,,2010-03,AOR,Restated
2009-12,17.94B,17.94B,14.51B,3.429B,,780.00M,1.002B,-57.00M,110.00M,-110.00M,-70.00M,1.712B,1.717B,110.00M,-110.00M,-57.00M,-110.00M,1.55B,267.00M,1.283B,-15.00M,,,1.268B,1.330B,1.66B,,2009-12,1.81,-0.02,1.79,,2009-12,1.80,-0.02,1.78,,2009-12,0.42,,2009-12,AOR,Restated
2009-09,16.69B,16.69B,14.48B,2.208B,,868.00M,3.574B,-4.00M,92.00M,-92.00M,-83.00M,4.359B,-2.151B,92.00M,-92.00M,-4.00M,-92.00M,-2.247B,-687.00M,-1.56B,-4.00M,,,-1.564B,-1.557B,-2.155B,,2009-09,-2.22,-0.01,-2.23,,2009-09,-2.22,-0.01,-2.23,,2009-09,0.42,,2009-09,AOR,Restated
2009-06,17.15B,17.15B,13.81B,3.347B,,925.00M,960.00M,47.00M,80.00M,-80.00M,-67.00M,1.818B,1.529B,80.00M,-80.00M,47.00M,-80.00M,1.496B,499.00M,997.00M,1.00M,,,998.00M,965.68M,1.576B,,2009-06,1.42,0.00,1.42,,2009-06,1.41,0.00,1.41,,2009-06,0.42,,2009-06,AOR,Restated
2009-03,16.50B,16.50B,13.74B,2.757B,,791.00M,970.00M,-36.00M,57.00M,-57.00M,-29.00M,1.732B,1.025B,57.00M,-57.00M,-36.00M,-57.00M,932.00M,317.00M,615.00M,-5.00M,,,610.00M,638.76M,989.00M,,2009-03,0.88,-0.01,0.87,,2009-03,0.87,-0.01,0.86,,2009-03,0.42,,2009-03,AOR,Restated
2008-12,12.66B,12.66B,11.26B,1.40B,,734.00M,957.00M,-6.00M,57.00M,-57.00M,-239.00M,1.452B,-52.00M,57.00M,-57.00M,-6.00M,-57.00M,-310.00M,-224.00M,-86.00M,0.00,,,-86.00M,-82.10M,-253.00M,,2008-12,-0.10,0.00,-0.10,,2008-12,-0.10,0.00,-0.10,,2008-12,0.40,,2008-12,AOR,Restated
2008-09,15.29B,15.29B,12.54B,2.752B,,740.00M,937.00M,55.00M,49.00M,-49.00M,,1.677B,1.075B,49.00M,-49.00M,55.00M,-49.00M,1.153B,470.00M,683.00M,12.00M,,,695.00M,647.25M,1.202B,,2008-09,0.95,0.02,0.97,,2008-09,0.94,0.02,0.96,,2008-09,0.40,,2008-09,AOR,Restated
2008-06,16.96B,16.96B,13.94B,3.02B,,835.00M,1.005B,102.00M,50.00M,-50.00M,-2.00M,1.838B,1.182B,50.00M,-50.00M,102.00M,-50.00M,1.299B,448.00M,851.00M,1.00M,,,852.00M,784.18M,1.349B,,2008-06,1.18,0.00,1.18,,2008-06,1.16,0.00,1.16,,2008-06,0.40,,2008-06,,Restated
2008-03,15.99B,15.99B,12.60B,3.385B,,775.00M,869.00M,100.00M,46.00M,-46.00M,-58.00M,1.586B,1.799B,46.00M,-46.00M,100.00M,-46.00M,1.853B,647.00M,1.206B,5.00M,,,1.211B,1.141B,1.899B,,2008-03,1.63,0.01,1.64,,2008-03,1.61,0.01,1.62,,2008-03,0.40,,2008-03,,Restated
2007-12,17.48B,17.48B,14.54B,2.932B,,796.00M,993.00M,189.00M,-168.00M,168.00M,-88.00M,1.701B,1.231B,-168.00M,168.00M,189.00M,168.00M,1.588B,561.00M,1.027B,6.00M,,,1.033B,904.77M,1.42B,,2007-12,1.38,0.00,1.38,,2007-12,1.35,0.00,1.36,,2007-12,0.35,,2007-12,AOR,Restated
2007-09,16.52B,16.52B,13.13B,3.383B,,931.00M,869.00M,117.00M,120.00M,-120.00M,-11.00M,1.789B,1.594B,120.00M,-120.00M,117.00M,-120.00M,1.591B,482.00M,1.109B,5.00M,,,1.114B,1.027B,1.711B,,2007-09,1.46,0.01,1.47,,2007-09,1.43,0.01,1.44,,2007-09,0.35,,2007-09,,Restated
2007-06,17.03B,17.03B,13.54B,3.492B,,976.00M,989.00M,177.00M,,,23.00M,1.988B,1.504B,,,177.00M,,1.585B,536.00M,1.049B,1.00M,,,1.05B,931.86M,1.504B,,2007-06,1.38,0.00,1.38,,2007-06,1.35,0.00,1.35,,2007-06,0.35,,2007-06,,
2007-03,15.36B,15.36B,12.19B,3.178B,,828.00M,999.00M,128.00M,,,40.00M,1.867B,1.311B,,,128.00M,,1.354B,481.00M,873.00M,4.00M,,,877.00M,790.47M,1.311B,,2007-03,1.14,0.01,1.15,,2007-03,1.12,0.01,1.13,,2007-03,0.35,,2007-03,,
2006-12,17.54B,17.54B,14.72B,2.823B,,1.094B,937.00M,642.00M,,,-318.00M,1.713B,1.11B,,,642.00M,,1.239B,259.00M,980.00M,,,,989.00M,472.20M,1.304B,,2006-12,1.28,0.01,1.29,,2006-12,1.27,0.01,1.28,,2006-12,0.30,,2006-12,AOR,Restated
2006-09,14.74B,14.74B,11.80B,2.936B,,834.00M,833.00M,-126.00M,,,46.00M,1.713B,1.223B,,,-126.00M,,988.00M,294.00M,694.00M,,,,694.00M,782.51M,1.223B,,2006-09,0.90,0.00,0.90,,2006-09,0.89,0.00,0.89,,2006-09,0.30,,2006-09,,
2006-06,14.99B,14.99B,12.51B,2.474B,,1.162B,739.00M,-426.00M,,,627.00M,2.528B,-54.00M,,,-426.00M,,-9.00M,151.00M,-160.00M,,,,-160.00M,95.60M,-54.00M,,2006-06,-0.21,0.00,-0.21,,2006-06,-0.21,0.00,-0.21,,2006-06,0.30,,2006-06,,
2006-03,14.26B,14.26B,11.40B,2.86B,,1.081B,748.00M,104.00M,,,70.00M,1.899B,961.00M,,,104.00M,,976.00M,284.00M,692.00M,,,,692.00M,618.26M,961.00M,,2006-03,0.90,0.00,0.90,,2006-03,0.88,0.00,0.88,,2006-03,0.30,,2006-03,,
2005-12,13.90B,13.90B,12.13B,1.769B,,939.00M,601.00M,78.00M,,,,1.833B,-64.00M,,,78.00M,,608.00M,144.00M,464.00M,17.00M,,,460.00M,404.47M,845.00M,,2005-12,0.61,-0.01,0.60,,2005-12,0.59,-0.01,0.58,,2005-12,0.25,,2005-12,AOR,Restated
2005-09,12.36B,12.36B,10.42B,1.936B,,1.172B,521.00M,726.00M,,,-520.00M,1.173B,763.00M,,,726.00M,,812.00M,-201.00M,1.013B,-2.00M,,,1.011B,577.40M,763.00M,,2005-09,1.28,0.00,1.28,,2005-09,1.26,0.00,1.26,,2005-09,0.25,,2005-09,,
2005-06,14.68B,14.68B,12.05B,2.634B,,1.046B,591.00M,-8.00M,,,179.00M,1.816B,818.00M,,,-8.00M,,815.00M,244.00M,571.00M,-50.00M,,,521.00M,576.60M,818.00M,,2005-06,0.72,0.00,0.72,,2005-06,0.70,0.00,0.70,,2005-06,0.25,,2005-06,,
2005-03,12.68B,12.68B,10.38B,2.298B,,1.071B,492.00M,25.00M,,,48.00M,1.611B,687.00M,,,25.00M,,584.00M,70.00M,514.00M,,21.00M,,535.00M,492.00M,687.00M,,2005-03,0.65,0.02,0.67,,2005-03,0.64,0.02,0.66,,2005-03,0.25,,2005-03,,
2004-12,13.31B,13.31B,12.28B,1.039B,,899.00M,414.00M,-5.00M,,,-282.00M,1.031B,8.00M,,,-5.00M,,-9.00M,-191.00M,182.00M,4.00M,,,186.00M,185.00M,316.00M,,2004-12,0.24,0.00,0.24,,2004-12,0.23,0.00,0.23,,2004-12,0.20,,2004-12,AOR,Restated
2004-09,13.15B,13.15B,11.16B,1.988B,,947.00M,469.00M,45.00M,,,61.00M,1.477B,511.00M,,,45.00M,,445.00M,7.00M,438.00M,18.00M,,,456.00M,393.71M,511.00M,,2004-09,0.54,0.02,0.56,,2004-09,0.54,0.02,0.56,,2004-09,0.20,,2004-09,,
2004-06,13.09B,13.09B,10.88B,2.213B,,988.00M,522.00M,96.00M,,,59.00M,1.569B,644.00M,,,96.00M,,625.00M,39.00M,586.00M,21.00M,,,607.00M,495.99M,644.00M,,2004-06,0.72,0.03,0.75,,2004-06,0.72,0.03,0.75,,2004-06,0.20,,2004-06,,
2004-03,12.90B,12.90B,10.71B,2.192B,,823.00M,474.00M,172.00M,,,71.00M,1.368B,824.00M,,,172.00M,,899.00M,285.00M,614.00M,9.00M,,,623.00M,496.53M,824.00M,,2004-03,0.76,0.01,0.77,,2004-03,0.76,0.01,0.77,,2004-03,0.17,,2004-03,,
2003-12,13.16B,13.16B,11.59B,1.57B,,727.00M,440.00M,378.00M,,,-1.142B,25.00M,1.545B,,,378.00M,,1.009B,-114.00M,1.123B,9.00M,,,1.132B,896.20M,1.127B,,2003-12,1.41,0.01,1.42,,2003-12,1.40,0.01,1.41,,2003-12,0.17,,2003-12,AOR,Restated
2003-09,12.18B,12.18B,10.43B,1.757B,,847.00M,413.00M,14.00M,,,71.00M,1.331B,426.00M,,,14.00M,,338.00M,90.00M,248.00M,8.00M,,,256.00M,237.73M,426.00M,,2003-09,0.31,0.01,0.32,,2003-09,0.31,0.01,0.32,,2003-09,0.17,,2003-09,,
2003-06,12.72B,12.72B,11.62B,1.096B,,907.00M,437.00M,43.00M,,,64.00M,1.408B,-312.00M,,,43.00M,,-387.00M,-187.00M,-200.00M,8.00M,,,-192.00M,-225.80M,-312.00M,,2003-06,-0.25,0.01,-0.24,,2003-06,-0.25,0.01,-0.24,,2003-06,0.17,,2003-06,,
2003-03,12.26B,12.26B,10.53B,1.725B,,726.00M,361.00M,-881.00M,,,1.008B,2.095B,-370.00M,,,-881.00M,,-447.00M,31.00M,-478.00M,,,,-478.00M,50.60M,-370.00M,,2003-03,-0.60,0.00,-0.60,,2003-03,-0.60,0.00,-0.60,,2003-03,0.17,,2003-03,,
2002-12,13.69B,13.69B,11.85B,1.845B,,740.00M,424.00M,32.00M,,,92.00M,1.256B,589.00M,,,-1.00M,,849.00M,259.00M,590.00M,,0.00,,590.00M,567.76M,671.00M,,2002-12,-1.54,2.28,0.74,,2002-12,-1.54,2.28,0.73,,2002-12,0.17,,2002-12,AOR,Restated
2002-09,12.69B,12.69B,11.02B,1.665B,,728.00M,371.00M,2.00M,,,4.00M,1.103B,562.00M,,,-6.00M,,375.00M,3.00M,372.00M,,,,372.00M,370.02M,562.00M,,2002-09,0.47,0.00,0.47,,2002-09,0.46,0.00,0.46,,2002-09,0.17,,2002-09,,
2002-06,13.86B,13.86B,11.53B,2.325B,,737.00M,385.00M,70.00M,,,-72.00M,1.05B,1.275B,,,100.00M,,1.124B,345.00M,779.00M,,,,779.00M,730.49M,1.275B,,2002-06,0.97,0.00,0.97,,2002-06,0.96,0.00,0.96,,2002-06,0.17,,2002-06,,
