,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2009-06,302.50M,,302.50M,,112.46M,7.187M,56.02M,26.03M,89.24M,,5.862M,,16.25M,526.32M,0.0,9.423M,38.99M,416.59M,,13.03M,5.238M,483.28M,-325.28M,157.99M,490.83M,20.12M,510.96M,,53.51M,10.48M,732.94M,1.259B,49.56M,49.56M,23.40M,72.97M,,,100.00M,100.00M,18.97M,191.93M,47.12M,,47.12M,,,5.402M,52.52M,244.45M,42.22M,-455.80M,1.465B,35.93M,-1.18M,1.015B
2009-03,261.95M,,261.95M,,112.13M,5.684M,56.48M,29.58M,91.75M,,5.962M,,14.84M,486.63M,0.0,9.423M,38.91M,427.90M,,13.61M,5.079M,494.93M,-331.35M,163.58M,483.67M,18.57M,502.24M,,52.01M,9.839M,727.67M,1.214B,48.10M,48.10M,21.03M,69.13M,,,100.00M,100.00M,14.16M,183.29M,47.12M,,47.12M,,,4.965M,52.08M,235.37M,41.73M,-475.65M,1.450B,35.77M,-1.18M,978.93M
2008-12,243.70M,,243.70M,108.87M,108.87M,5.582M,58.40M,34.57M,98.55M,12.37M,5.962M,,,469.44M,0.0,14.50M,39.71M,417.90M,,31.38M,,503.49M,-328.36M,175.13M,483.67M,19.82M,503.49M,,53.18M,10.44M,742.24M,1.212B,52.58M,52.58M,32.73M,85.31M,,,50.00M,50.00M,,135.31M,97.12M,,97.12M,,,4.994M,102.11M,237.42M,41.46M,-471.06M,1.441B,35.71M,-1.18M,974.27M
2008-09,225.10M,,225.10M,146.71M,146.71M,8.005M,64.30M,31.48M,103.79M,,5.962M,,13.09M,494.66M,0.0,14.41M,39.71M,407.47M,,29.84M,,491.44M,-318.08M,173.36M,483.67M,19.75M,503.42M,,53.19M,11.47M,741.44M,1.236B,58.53M,58.53M,32.11M,90.64M,,,50.00M,50.00M,8.103M,148.74M,137.62M,,137.62M,,,5.527M,143.14M,291.88M,41.40M,-493.08M,1.431B,33.92M,-1.18M,944.22M
2008-06,248.02M,,248.02M,169.29M,169.29M,7.57M,58.91M,29.64M,96.12M,,5.962M,,10.28M,529.67M,0.0,13.88M,40.00M,404.78M,,24.87M,,483.52M,-311.88M,171.64M,489.96M,21.16M,511.12M,,14.54M,14.05M,711.34M,1.241B,69.24M,69.24M,29.17M,98.41M,,,50.00M,50.00M,8.444M,156.85M,200.00M,,200.00M,,,5.773M,205.77M,362.62M,41.22M,-547.87M,1.420B,33.58M,-1.719M,878.38M
2008-03,222.16M,,222.16M,164.60M,164.60M,8.15M,52.31M,33.81M,94.27M,,6.302M,,8.926M,496.26M,0.0,13.88M,39.97M,392.68M,,23.79M,,470.32M,-301.44M,168.88M,491.93M,22.57M,514.50M,,14.53M,14.12M,712.03M,1.208B,76.69M,76.69M,28.97M,105.66M,,,50.00M,50.00M,8.306M,163.96M,200.00M,,200.00M,,,6.879M,206.88M,370.84M,40.72M,-568.34M,1.400B,33.47M,-1.718M,837.45M
2007-12,198.71M,2.464M,201.18M,166.65M,166.65M,8.276M,55.14M,22.50M,85.91M,,6.302M,,9.299M,469.34M,0.0,13.85M,39.79M,378.82M,,21.62M,,454.08M,-291.58M,162.50M,495.43M,22.52M,517.95M,,14.52M,13.48M,708.44M,1.178B,69.23M,69.23M,29.95M,99.18M,,,50.00M,50.00M,10.20M,159.38M,200.00M,,200.00M,,,7.305M,207.30M,366.68M,40.50M,-585.01M,1.390B,33.18M,-0.951M,811.10M
2007-09,241.58M,5.70M,247.28M,167.32M,167.32M,6.624M,48.13M,27.36M,82.11M,,6.502M,,10.51M,513.72M,0.0,13.82M,39.73M,368.04M,,12.67M,,434.25M,-280.74M,153.52M,480.89M,13.44M,494.33M,,14.46M,13.88M,676.19M,1.190B,56.42M,56.42M,28.39M,84.81M,,,99.34M,99.34M,13.08M,197.22M,200.00M,,200.00M,,,6.338M,206.34M,403.56M,40.28M,-604.09M,1.382B,31.86M,-0.214M,786.35M
2007-06,153.20M,74.90M,228.10M,164.34M,164.34M,7.851M,49.79M,26.15M,83.78M,,6.502M,,8.50M,491.22M,0.0,13.72M,62.60M,328.69M,,18.74M,,423.76M,-271.87M,151.89M,491.87M,13.98M,505.85M,,0.555M,15.02M,673.32M,1.165B,57.68M,57.68M,29.73M,87.41M,,,99.34M,99.34M,15.47M,202.21M,200.00M,,200.00M,,,6.959M,206.96M,409.17M,40.04M,-626.08M,1.373B,30.94M,-0.599M,755.38M
2007-03,152.45M,64.05M,216.50M,161.19M,161.19M,8.725M,46.37M,21.09M,76.19M,,6.302M,,8.004M,468.18M,0.0,13.50M,61.46M,315.31M,,22.60M,,412.86M,-263.94M,148.92M,492.72M,14.51M,507.23M,,0.743M,15.74M,672.63M,1.141B,60.70M,60.70M,29.31M,90.00M,,,89.41M,89.41M,17.76M,197.17M,200.00M,,200.00M,,,6.658M,206.66M,403.83M,39.89M,-637.50M,1.366B,30.84M,-0.599M,736.99M
