,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-09,984.60M,984.60M,485.70M,498.90M,56.40M,91.80M,5.00M,0.20M,,,,153.20M,345.70M,,,2.00M,,347.70M,66.40M,281.30M,,281.30M,281.14M,411.10M,65.40M,345.70M,1.53,,,1.5290000000000001,1.53,1.51,,,1.5090000000000001,1.51,183.40M,185.80M,0.32
2017-06,900.80M,900.80M,447.20M,453.60M,49.50M,92.00M,7.10M,-0.20M,,,,148.60M,305.00M,,,1.80M,,306.80M,60.60M,246.20M,,246.20M,246.36M,367.70M,62.70M,305.00M,1.34,,,1.341,1.34,1.32,,,1.321,1.32,184.20M,186.60M,0.28
2017-03,851.70M,851.70M,426.30M,425.40M,47.80M,89.40M,7.00M,0.00,,,,144.20M,281.20M,,,0.20M,,281.40M,56.50M,224.90M,,224.90M,224.90M,344.10M,62.90M,281.20M,1.22,,,1.22,1.22,1.2,,,1.2,1.2,184.80M,187.10M,0.28
2016-12,914.30M,914.30M,450.40M,463.90M,50.90M,82.00M,8.50M,-0.60M,,,,141.40M,322.50M,,,-1.40M,,321.10M,63.30M,257.80M,,257.80M,258.28M,386.30M,63.80M,322.50M,1.39,,,1.393,1.39,1.38,,,1.383,1.38,184.80M,187.30M,0.28
2016-09,835.40M,835.40M,411.00M,424.40M,53.30M,73.20M,6.40M,0.40M,,,,132.90M,291.50M,,,-0.40M,,291.10M,44.30M,246.80M,,246.80M,246.46M,352.70M,61.20M,291.50M,1.33,,,1.328,1.33,1.31,,,1.308,1.31,185.40M,188.80M,0.28
2016-06,751.70M,751.70M,373.40M,378.30M,46.90M,77.90M,10.00M,-4.90M,,,,134.80M,243.50M,,,-7.30M,,236.20M,51.20M,185.00M,,185.00M,188.84M,308.10M,64.60M,243.50M,0.98,,,1.0,0.98,0.97,,,0.99,0.97,188.70M,191.70M,0.26
2016-03,775.10M,775.10M,384.70M,390.40M,44.00M,79.80M,8.60M,-0.30M,,,,132.40M,258.00M,,,-2.90M,,255.10M,47.00M,208.10M,,208.10M,208.34M,320.10M,62.10M,258.00M,1.09,,,1.091,1.09,1.08,,,1.081,1.08,190.20M,193.30M,0.26
2015-12,926.80M,926.80M,454.70M,472.10M,51.70M,81.50M,8.40M,88.50M,,,,141.60M,330.50M,,,87.70M,,418.20M,62.90M,355.30M,,355.30M,280.08M,390.40M,59.90M,330.50M,1.87,,,1.475,1.87,1.82,,,1.4340000000000002,1.82,190.40M,194.70M,0.26
2015-09,880.80M,880.80M,444.60M,436.20M,47.40M,82.40M,8.30M,-0.50M,,,,138.10M,298.10M,,,-1.90M,,296.20M,67.00M,229.20M,,229.20M,229.59M,352.30M,54.20M,298.10M,1.21,,,1.212,1.21,1.18,,,1.182,1.18,189.50M,194.90M,0.26
2015-06,810.00M,810.00M,416.90M,393.10M,48.60M,76.80M,8.40M,-0.50M,,,,133.80M,259.30M,,,0.10M,,259.40M,52.00M,207.40M,,207.40M,207.80M,309.60M,50.30M,259.30M,1.09,,,1.092,1.09,1.06,,,1.062,1.06,190.00M,195.40M,0.13
2015-03,762.10M,762.10M,409.90M,352.20M,47.40M,75.50M,8.30M,-1.10M,,,,131.20M,221.00M,,,-0.50M,,220.50M,54.00M,166.50M,,166.50M,167.33M,268.10M,47.10M,221.00M,0.88,,,0.8844,0.88,0.85,,,0.8543,0.85,189.90M,195.20M,0.13
2014-12,805.50M,805.50M,432.50M,373.00M,47.90M,68.50M,8.50M,-1.30M,,,,124.90M,248.10M,,,-0.60M,,247.50M,52.30M,195.20M,,195.20M,196.23M,292.30M,44.20M,248.10M,1.03,,,1.035,1.03,1.01,,,1.015,1.01,188.70M,194.20M,0.13
2014-09,718.30M,718.30M,394.20M,324.10M,50.30M,68.00M,7.40M,-0.30M,,,,125.70M,198.40M,,,-0.20M,,198.20M,23.30M,174.90M,,174.90M,175.16M,236.10M,37.70M,198.40M,0.93,,,0.9314,0.93,0.9,,,0.9014,0.9,187.80M,193.80M,0.11
2014-06,587.00M,587.00M,322.80M,264.20M,45.80M,64.20M,5.70M,0.00,,,,115.70M,148.50M,,,,,148.50M,37.10M,111.40M,,111.40M,111.40M,178.30M,29.80M,148.50M,0.59,,,0.59,0.59,0.58,,,0.58,0.58,187.50M,193.20M,0.11
2014-03,481.00M,481.00M,268.60M,212.40M,41.90M,61.60M,6.30M,0.00,,,,109.80M,102.60M,,,-0.10M,,102.50M,25.60M,76.90M,,76.90M,76.90M,130.50M,27.90M,102.60M,0.41,,,0.41,0.41,0.4,,,0.4,0.4,187.40M,192.20M,0.0
2013-12,505.20M,505.20M,283.20M,222.00M,41.10M,58.40M,6.50M,0.00,,,,106.00M,116.00M,,,,,116.00M,21.50M,94.50M,,94.50M,94.50M,143.30M,27.30M,116.00M,0.51,,,0.51,0.51,0.49,,,0.49,0.49,186.20M,191.20M,0.0
2013-09,477.00M,477.00M,267.90M,209.10M,41.60M,55.30M,6.70M,0.00,,,,103.60M,105.50M,,,0.30M,,105.80M,21.60M,84.20M,,84.20M,84.20M,131.10M,25.60M,105.50M,0.45,,,0.45,0.45,0.44,,,0.44,0.44,185.40M,190.40M,0.0
2013-06,436.10M,436.10M,247.90M,188.20M,40.30M,56.60M,7.00M,0.00,,,,103.90M,84.30M,,,0.20M,,84.50M,18.80M,65.70M,,65.70M,65.70M,109.70M,25.40M,84.30M,0.35,,,0.35,0.35,0.34,,,0.34,0.34,186.60M,191.20M,0.0
2013-03,425.20M,425.20M,248.50M,176.70M,39.70M,56.30M,7.20M,-4.80M,,,,103.20M,73.50M,,,-6.20M,,67.30M,5.60M,61.70M,,61.70M,66.10M,99.20M,25.70M,73.50M,0.33,,,0.3533,0.33,0.32,,,0.3428,0.32,188.70M,193.10M,0.0
2012-12,453.70M,453.70M,261.10M,192.60M,38.10M,58.10M,8.20M,-1.60M,,,,104.40M,88.20M,,,-1.40M,,86.80M,20.30M,66.50M,,66.50M,67.73M,114.90M,26.70M,88.20M,0.35,,,0.3565,0.35,0.34,,,0.3463,0.34,189.40M,194.00M,0.0
2012-09,421.10M,421.10M,243.40M,177.70M,37.80M,56.60M,8.50M,0.00,,,,102.90M,74.80M,,,-0.60M,,74.70M,13.20M,61.50M,,61.50M,61.50M,108.60M,25.90M,82.70M,0.33,,,0.33,0.33,0.32,,,0.32,0.32,187.90M,193.90M,0.0
2012-06,389.00M,389.00M,223.70M,165.30M,37.50M,56.10M,8.60M,-1.10M,0.00,0.00,,102.20M,63.10M,0.00,0.00,-1.00M,0.00,62.10M,12.80M,49.30M,,49.30M,50.17M,87.80M,25.70M,62.10M,0.26,,,0.2647,0.26,0.26,,,0.2645,0.26,186.30M,192.50M,0.0
2012-03,364.70M,364.70M,212.40M,152.30M,40.20M,53.00M,9.30M,-6.00M,0.10M,-0.10M,,102.50M,49.80M,0.10M,-0.10M,-6.30M,-0.10M,43.40M,9.40M,34.00M,,34.00M,38.99M,70.64M,27.14M,43.50M,0.18,,,0.2069,0.18,0.18,,,0.2061,0.18,185.20M,191.00M,0.0
2011-12,393.74M,393.74M,221.89M,171.85M,42.91M,46.94M,6.312M,-0.72M,0.481M,-0.481M,,96.16M,75.69M,0.481M,-0.481M,-0.545M,-0.481M,74.66M,17.54M,57.13M,,57.13M,57.68M,99.10M,23.96M,75.14M,0.31,,,0.313,0.31,0.3,,,0.3029,0.3,183.96M,189.68M,0.0
2011-09,402.29M,402.29M,227.74M,174.56M,39.13M,47.37M,9.454M,-0.74M,0.437M,-0.437M,,95.96M,78.60M,0.437M,-0.437M,-0.24M,-0.437M,77.92M,13.70M,64.22M,,64.22M,64.83M,104.92M,26.57M,78.36M,0.35,0.0,,0.3533,0.35,0.34,0.0,,0.3432,0.34,183.67M,190.92M,0.0
2011-06,356.08M,356.08M,199.85M,156.22M,35.45M,43.07M,4.006M,-1.477M,0.465M,-0.465M,,82.52M,73.70M,0.465M,-0.465M,-1.477M,-0.465M,71.76M,20.21M,51.55M,,51.55M,52.61M,91.83M,19.60M,72.22M,0.28,0.0,,0.2858,0.28,0.27,0.0,,0.2755,0.27,183.75M,191.38M,0.0
2011-03,325.41M,325.41M,184.43M,140.98M,31.46M,39.62M,1.638M,-0.317M,0.461M,-0.461M,,72.72M,68.26M,0.461M,-0.461M,-0.317M,-0.461M,67.48M,17.52M,49.96M,,49.96M,50.19M,84.58M,16.64M,67.95M,0.27,0.0,,0.2713,0.27,0.26,0.0,,0.2612,0.26,183.47M,191.96M,0.0
2010-12,335.12M,335.12M,186.58M,148.54M,30.61M,38.54M,1.602M,-0.445M,0.537M,-0.537M,,70.75M,77.79M,0.537M,-0.537M,-0.445M,-0.537M,76.74M,15.87M,60.87M,,60.87M,61.22M,92.46M,15.19M,77.27M,0.34,0.0,,0.342,0.34,0.32,0.0,,0.3219,0.32,180.71M,188.54M,0.0
2010-09,313.28M,313.28M,177.12M,136.16M,33.69M,35.41M,1.634M,0.30M,0.627M,-0.627M,,70.73M,65.43M,0.627M,-0.627M,-0.045M,-0.627M,64.76M,17.95M,46.80M,,46.80M,46.59M,82.13M,16.74M,65.38M,0.26,,,0.2588,0.26,0.25,,,0.2488,0.25,177.42M,184.74M,0.0
2010-06,275.37M,275.37M,157.10M,118.27M,29.45M,34.88M,1.501M,1.104M,0.867M,-0.867M,,65.83M,52.43M,0.867M,-0.867M,1.104M,-0.867M,52.67M,17.93M,34.74M,,34.74M,34.01M,66.94M,13.41M,53.54M,0.2,0.0,,0.1959,0.2,0.19,0.0,,0.186,0.19,175.50M,183.89M,0.0
2010-03,238.06M,238.06M,138.20M,99.85M,27.98M,32.06M,1.50M,-0.281M,1.183M,-1.183M,,61.54M,38.31M,1.183M,-1.183M,-0.281M,-1.183M,36.85M,9.104M,27.74M,,27.74M,27.96M,50.91M,12.88M,38.03M,0.16,0.0,,0.1612,0.16,0.15,0.0,,0.1512,0.15,174.45M,182.92M,0.0
2009-12,245.14M,245.14M,142.58M,102.55M,26.73M,31.79M,1.501M,-0.162M,1.569M,-1.569M,,60.02M,42.53M,1.569M,-1.569M,-0.162M,-1.569M,40.80M,12.79M,28.01M,,28.01M,28.12M,54.74M,12.37M,42.37M,0.16,0.0,,0.1606,0.16,0.16,0.0,,0.1606,0.16,172.72M,179.40M,0.0
2009-09,228.15M,228.15M,135.62M,92.53M,26.31M,31.09M,2.175M,-1.68M,1.938M,-1.938M,,59.58M,32.95M,1.938M,-1.938M,0.073M,-1.938M,31.09M,-27.25M,58.34M,,58.34M,59.43M,45.62M,12.60M,33.02M,0.35,,,0.3564,0.35,0.34,,,0.3462,0.34,170.28M,177.11M,0.0
2009-06,191.21M,191.21M,114.26M,76.95M,24.22M,29.67M,1.548M,-0.032M,1.999M,-1.999M,,55.43M,21.52M,1.999M,-1.999M,-0.032M,-1.999M,19.49M,0.75M,18.74M,,18.74M,18.77M,34.21M,12.72M,21.49M,0.11,0.0,,0.1102,0.11,0.11,0.0,,0.1102,0.11,167.06M,169.52M,0.0
2009-03,172.99M,172.99M,108.12M,64.88M,22.79M,28.60M,1.246M,-16.00M,1.897M,-1.897M,,52.64M,12.24M,1.897M,-1.897M,-16.00M,-1.897M,-5.653M,0.025M,-5.678M,,-5.678M,4.719M,9.094M,12.85M,-3.756M,-0.03,0.0,,0.0326,-0.03,-0.03,0.0,,0.0326,-0.03,166.00M,166.00M,0.0
2008-12,210.23M,210.23M,126.36M,83.87M,27.10M,34.64M,1.149M,6.315M,2.456M,-2.456M,,62.89M,20.97M,2.456M,-2.456M,6.315M,-2.456M,24.83M,1.247M,23.58M,,23.58M,17.59M,39.65M,12.36M,27.29M,0.14,0.0,,0.1036,0.14,0.14,0.0,,0.1037,0.14,164.86M,165.19M,0.0
2008-09,232.57M,232.57M,138.74M,93.82M,25.40M,38.78M,1.101M,-6.417M,,,,65.28M,28.55M,,,-6.417M,,20.44M,-34.35M,54.79M,,54.79M,58.96M,41.66M,13.11M,28.55M,0.34,0.0,,0.3654,0.34,0.34,0.0,,0.3647,0.34,164.01M,169.05M,0.0
2008-06,215.21M,215.21M,128.78M,86.43M,25.98M,36.56M,1.101M,1.064M,,,,63.64M,22.80M,,,1.064M,,22.20M,1.737M,20.47M,,20.47M,19.49M,36.09M,13.29M,22.80M,0.13,0.0,,0.1239,0.13,0.12,0.0,,0.114,0.12,162.10M,164.65M,0.0
2008-03,201.71M,201.71M,121.34M,80.37M,23.35M,36.58M,1.871M,1.883M,,,,61.80M,18.57M,,,1.883M,,18.68M,2.01M,16.67M,,16.67M,14.99M,32.24M,13.67M,18.57M,0.1,0.0,,0.0896,0.1,0.1,0.0,,0.0897,0.1,161.16M,162.98M,0.0
2007-12,210.53M,210.53M,128.20M,82.34M,25.29M,34.09M,1.932M,2.05M,,,,61.31M,21.02M,,,2.05M,,20.87M,1.789M,19.08M,,19.08M,17.20M,34.35M,13.33M,21.02M,0.12,0.0,,0.1083,0.12,0.12,0.0,,0.1085,0.12,160.32M,162.84M,0.0
2007-09,190.45M,190.45M,115.72M,74.74M,22.30M,33.73M,0.536M,3.05M,,,,56.56M,18.17M,,,3.05M,,18.56M,-3.435M,21.99M,,21.99M,20.01M,29.62M,11.46M,18.17M,0.14,0.0,,0.1276,0.14,0.14,0.0,,0.1276,0.14,159.50M,160.42M,0.0
2007-06,175.05M,175.05M,106.42M,68.63M,24.87M,30.55M,0.536M,2.509M,,,,55.96M,12.67M,,,2.509M,,12.62M,1.194M,11.42M,,11.42M,9.151M,23.72M,11.04M,12.67M,0.07,0.0,,0.0557,0.07,0.07,0.0,,0.0558,0.07,158.61M,160.03M,0.0
2007-03,180.21M,180.21M,111.51M,68.70M,23.75M,31.38M,0.536M,2.903M,,,,55.67M,13.03M,,,2.903M,,11.82M,-0.375M,12.20M,,12.20M,10.31M,23.88M,10.84M,13.03M,0.08,0.0,,0.0683,0.08,0.08,0.0,,0.0684,0.08,160.69M,161.97M,0.0
2006-12,196.03M,196.03M,120.71M,75.32M,24.03M,30.41M,0.536M,-3.318M,,,,54.98M,20.34M,,,-3.318M,,13.77M,1.736M,12.04M,,12.04M,14.94M,30.69M,10.35M,20.34M,0.07,0.0,,0.088,0.07,0.07,0.0,,0.0878,0.07,161.18M,162.88M,0.0
2006-09,193.13M,193.13M,147.87M,45.26M,60.50M,40.50M,0.536M,-25.18M,,,,101.54M,-56.28M,,,-25.18M,,-84.77M,11.60M,-96.37M,,-96.37M,-81.26M,-45.36M,10.93M,-56.28M,-0.6,0.0,,-0.5058,-0.6,-0.6,0.0,,-0.5058,-0.6,160.28M,160.28M,0.0
2006-06,197.06M,197.06M,123.71M,73.35M,26.33M,40.62M,0.536M,1.822M,,,,67.49M,5.859M,,,1.822M,,4.45M,1.445M,3.005M,,3.005M,1.775M,16.41M,10.56M,5.859M,0.02,0.0,,0.0123,0.02,0.02,0.0,,0.0124,0.02,159.70M,160.88M,0.0
2006-03,185.23M,185.23M,115.88M,69.35M,25.71M,40.56M,0.536M,2.43M,,,,66.80M,2.547M,,,2.43M,,0.531M,-0.395M,0.926M,,0.926M,-0.532M,13.34M,10.79M,2.547M,0.01,0.0,,0.0008,0.01,0.01,0.0,,0.0009,0.01,159.08M,159.63M,0.0
2005-12,198.32M,198.32M,123.60M,74.72M,23.25M,42.43M,0.536M,2.319M,,,,66.22M,8.504M,,,2.319M,,7.011M,2.724M,4.287M,,4.287M,2.869M,18.58M,10.08M,8.504M,0.03,0.0,,0.0211,0.03,0.027,0.0,,0.0181,0.027,158.57M,158.83M,0.0
2005-09,190.17M,190.17M,120.89M,69.28M,25.04M,36.60M,0.536M,1.729M,,,,62.18M,7.098M,,,1.729M,,5.081M,2.02M,3.061M,,3.061M,2.019M,17.36M,10.26M,7.098M,0.02,0.0,,0.0134,0.02,0.02,0.0,,0.0135,0.02,158.33M,159.56M,0.0
2005-06,191.53M,191.53M,113.66M,77.87M,25.74M,39.82M,0.536M,1.536M,,,,66.10M,11.77M,,,1.536M,,9.623M,2.234M,7.389M,,7.389M,6.210M,21.74M,9.975M,11.77M,0.05,0.0,,0.0425,0.05,0.05,0.0,,0.0426,0.05,157.81M,158.68M,0.0
2005-03,190.50M,190.50M,117.91M,72.60M,25.06M,38.68M,0.545M,1.067M,,,,64.28M,8.32M,,,1.067M,,5.752M,4.508M,1.244M,,1.244M,0.6038M,18.73M,10.41M,8.32M,0.01,0.0,,0.0059,0.01,0.01,0.0,,0.006,0.01,157.24M,158.44M,0.0
2004-12,220.16M,220.16M,132.14M,88.02M,27.22M,37.11M,0.737M,1.121M,,,,65.07M,22.94M,,,1.121M,,20.53M,6.616M,13.92M,,13.92M,13.16M,33.52M,10.58M,22.94M,0.09,0.0,,0.0851,0.09,0.0876,0.0,,0.0828,0.0876,156.44M,158.90M,0.0
2004-09,218.07M,218.07M,121.74M,96.32M,32.16M,42.98M,0.737M,-1.067M,,,1.607M,77.49M,18.84M,,,-1.067M,,15.82M,1.186M,14.63M,,14.63M,15.62M,29.92M,11.08M,18.84M,0.1,0.0,,0.1067,0.1,0.1,0.0,,0.1067,0.1,146.41M,146.41M,0.0
2004-06,207.38M,207.38M,126.53M,80.85M,25.31M,36.96M,0.768M,0.396M,,,,63.04M,17.81M,,,0.396M,,14.60M,1.567M,13.03M,,13.03M,12.68M,28.09M,10.28M,17.81M,0.09,0.0,,0.0877,0.09,0.08,0.0,,0.0777,0.08,153.06M,155.27M,0.0
2004-03,183.47M,183.47M,114.17M,69.30M,21.15M,35.99M,0.769M,-15.46M,,,15.76M,73.67M,-4.37M,,,-15.46M,,-9.47M,-0.049M,-9.421M,,-9.421M,5.955M,5.371M,9.741M,-4.37M,-0.06,0.0,,0.0429,-0.06,-0.06,0.0,,0.0429,-0.06,149.40M,149.40M,0.0
2003-12,175.11M,175.11M,105.54M,69.57M,20.36M,38.06M,0.769M,0.453M,,,,59.20M,10.37M,,,0.453M,,5.452M,1.28M,4.172M,,4.172M,3.825M,20.32M,9.947M,10.37M,0.03,0.0,,0.0277,0.03,0.0276,0.0,,0.0253,0.0276,148.78M,151.00M,0.0
2003-09,150.03M,150.03M,97.42M,52.61M,17.02M,37.92M,1.076M,-34.91M,,,,90.52M,-37.91M,,,-34.91M,,-43.88M,-0.95M,-42.93M,0.00,-42.93M,-8.776M,-26.76M,11.15M,-37.91M,-0.31,0.02,0.0,-0.0707,-0.29,-0.31,0.02,0.0231,-0.0707,-0.29,142.74M,142.74M,0.0
2003-06,150.20M,150.20M,94.12M,56.08M,19.71M,36.43M,1.075M,0.282M,,,,57.21M,-1.136M,,,0.282M,,-5.923M,0.263M,-6.186M,,-6.186M,-6.355M,9.746M,10.88M,-1.136M,-0.04,0.0,,-0.0412,-0.04,-0.04,0.0,,-0.0412,-0.04,138.73M,138.73M,0.0
2003-03,157.36M,157.36M,93.84M,63.52M,23.24M,40.11M,1.108M,0.626M,,,,64.45M,-0.933M,,,0.626M,,-5.354M,0.601M,-5.955M,,-5.955M,-6.331M,9.976M,10.91M,-0.933M,-0.04,0.0,,-0.0427,-0.04,-0.04,0.0,,-0.0427,-0.04,138.14M,138.14M,0.0
2002-12,160.19M,160.19M,95.07M,65.12M,20.25M,37.30M,1.127M,0.823M,,,,58.68M,6.44M,,,0.823M,,1.529M,0.738M,0.791M,-397.14M,-396.35M,0.2972M,16.95M,10.51M,6.44M,0.01,-2.88,-0.0,0.0064,-2.87,0.01,-2.88,-2.88,0.0064,-2.87,137.90M,137.90M,0.0
2002-09,150.67M,150.67M,89.96M,60.71M,18.08M,37.15M,1.127M,-1.417M,,,1.419M,57.77M,2.941M,,,-1.417M,,-1.284M,0.199M,-1.483M,,-1.483M,-0.6328M,16.61M,13.67M,2.941M,-0.0108,,,-0.0046,-0.0108,-0.0108,,,-0.0046,-0.0108,137.59M,137.59M,0.0
2002-06,112.98M,112.98M,92.92M,20.06M,10.38M,31.65M,3.579M,-180.45M,,,114.84M,160.45M,-140.39M,,,-180.45M,,-206.00M,-24.06M,-181.94M,,-181.94M,-22.57M,-136.81M,3.579M,-140.39M,-1.92,0.0,,-0.2338,-1.92,-1.92,0.0,,-0.2338,-1.92,94.52M,94.52M,0.0
2002-03,28.19M,28.19M,21.89M,6.304M,9.827M,12.31M,,2.335M,,,,22.14M,-15.84M,,,2.335M,,-12.69M,-4.188M,-8.499M,,-8.499M,-10.06M,-10.36M,5.472M,-15.84M,-0.2,0.0,,-0.2354,-0.2,-0.2,0.0,,-0.2354,-0.2,44.24M,44.24M,0.0
2001-12,33.09M,33.09M,21.94M,11.16M,5.546M,9.557M,,-2.128M,,,,15.10M,-3.948M,,,-2.128M,,-4.895M,-1.615M,-3.28M,,-3.28M,-1.854M,1.319M,5.267M,-3.948M,-0.07,0.0,,-0.0377,-0.07,-0.07,0.0,,-0.0377,-0.07,44.16M,44.16M,0.0
2001-09,33.00M,33.00M,22.36M,10.64M,6.063M,9.906M,,,,,,15.97M,-5.326M,,,,,-3.861M,-1.274M,-2.587M,,-2.587M,-2.587M,-5.326M,-5.535M,-5.326M,-0.06,0.0,,-0.06,-0.06,-0.06,0.0,,-0.06,-0.06,44.04M,44.04M,0.0
2001-06,93.76M,93.76M,77.81M,15.95M,10.64M,32.18M,3.937M,0.052M,,,,46.75M,-30.80M,,,0.052M,,-142.08M,3.549M,-34.30M,,-34.30M,-34.33M,-15.00M,15.80M,-30.80M,-1.64,0.0,,-1.64,-1.64,-1.64,0.0,,-1.64,-1.64,86.62M,86.62M,0.0
2001-03,54.00M,54.00M,33.70M,20.29M,9.318M,9.783M,,,,,,19.10M,1.192M,,,,,3.834M,0.449M,3.385M,,3.385M,3.385M,5.71M,4.518M,1.192M,0.08,0.0,,0.08,0.08,0.08,0.0,,0.08,0.08,43.47M,44.73M,0.0
2000-12,78.68M,78.68M,42.33M,36.36M,11.40M,9.534M,,,,,,20.94M,15.42M,,,,,17.55M,5.966M,11.58M,,11.58M,11.58M,19.75M,4.333M,15.42M,0.27,0.0,,0.27,0.27,0.26,0.0,,0.26,0.26,43.15M,44.78M,0.0
2000-09,73.20M,73.20M,39.45M,33.75M,10.84M,8.814M,,,,,,19.65M,14.09M,,,,,16.01M,5.443M,10.57M,,10.57M,10.57M,17.68M,3.589M,14.09M,0.25,0.0,,0.25,0.25,0.24,0.0,,0.24,0.24,42.87M,44.74M,0.0
