,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-04,475.20M,,475.20M,,,,3.248B,3.248B,,,,318.60M,4.042B,,,,,,,,6.572B,-3.322B,3.250B,5.024B,3.460B,8.484B,8.00M,,43.60M,11.79B,15.83B,1.182B,81.70M,1.263B,,1.263B,,,,,,,654.00M,1.917B,5.040B,,5.040B,976.20M,976.20M,,495.40M,6.554B,8.471B,,,,,,7.356B
2018-01,1.098B,,1.098B,,90.40M,90.40M,3.169B,3.169B,218.80M,,,,4.576B,0.0,208.00M,1.092B,3.003B,,228.80M,1.860B,6.393B,-3.192B,3.201B,5.025B,3.475B,8.500B,,,55.30M,11.76B,16.33B,1.175B,208.10M,1.383B,160.00M,1.543B,,915.90M,,915.90M,,,245.10M,2.859B,4.762B,,4.762B,985.20M,1.122B,,363.80M,6.291B,9.150B,2.40M,4.667B,2.545B,,-32.30M,7.182B
2017-10,400.10M,0.00,400.10M,,,,3.398B,3.398B,,,,174.70M,3.973B,,,,,,,,6.239B,-3.060B,3.179B,5.024B,3.503B,8.527B,8.60M,,42.90M,11.76B,15.73B,1.181B,0.00,1.181B,,1.181B,,165.90M,,165.90M,,,692.70M,2.040B,5.557B,,5.557B,1.472B,1.472B,,499.30M,7.574B,9.614B,,,,,,6.116B
2017-07,693.30M,4.00M,697.30M,,,,2.928B,2.928B,,,,3.815B,3.815B,,,,,,,,,,,5.025B,,5.025B,,,11.72B,11.72B,15.53B,1.196B,0.00,1.196B,,1.196B,,,,,,,2.085B,2.085B,,,,,,,7.587B,7.587B,9.672B,,,,,,5.860B
2017-04,1.155B,4.00M,1.159B,,,,2.878B,2.878B,,,,4.278B,4.278B,,,,,,,,,,,5.022B,,5.022B,,,11.72B,11.72B,15.99B,1.224B,221.30M,1.445B,,1.445B,,,,,,,2.241B,2.241B,,,,,,,8.145B,8.145B,10.39B,,,,,,5.609B
2017-01,866.40M,4.00M,870.40M,55.90M,82.00M,137.90M,2.866B,2.866B,63.90M,,,,3.938B,0.0,193.80M,1.045B,2.735B,,146.00M,1.690B,5.810B,-2.694B,3.116B,5.024B,3.574B,8.597B,9.00M,,41.60M,11.76B,15.70B,1.120B,253.10M,1.373B,154.50M,1.527B,,152.10M,,152.10M,,,231.70M,2.106B,6.170B,,6.170B,1.459B,1.582B,,383.80M,8.206B,10.31B,2.40M,2.953B,2.472B,,-37.60M,5.390B
2016-10,733.80M,4.00M,737.80M,,,,3.274B,3.274B,,,0.00,4.342B,4.342B,,,,,,,,,,,5.023B,,5.023B,,0.00,11.85B,11.85B,16.20B,1.266B,0.00,1.266B,,1.266B,,,,,,,2.134B,2.134B,,,,,,,9.013B,9.013B,11.15B,,,,,,5.048B
2016-07,1.093B,4.00M,1.097B,,,,2.975B,2.975B,,,0.00,4.449B,4.449B,,,,,,,,,,,5.024B,,5.024B,,,11.88B,11.88B,16.33B,1.352B,0.00,1.352B,,1.352B,,,,,,,2.18B,2.18B,,,,,,,9.292B,9.292B,11.47B,,,,,,4.857B
2016-04,929.70M,4.00M,933.70M,,,,2.930B,2.930B,,0.00,0.00,4.172B,4.172B,,,,,,,,,,,5.025B,,5.025B,,0.00,11.89B,11.89B,16.06B,1.260B,46.20M,1.306B,,1.306B,,,,,,,2.049B,2.049B,,,,,,,9.342B,9.342B,11.39B,,,,,,4.670B
2016-01,736.10M,4.00M,740.10M,76.90M,77.80M,154.70M,2.886B,2.886B,155.60M,,,,3.936B,0.0,180.80M,906.00M,2.458B,,196.20M,1.557B,5.298B,-2.172B,3.126B,5.022B,3.675B,8.697B,12.10M,,130.80M,11.97B,15.90B,1.252B,156.00M,1.408B,156.70M,1.565B,,108.00M,,108.00M,,,227.00M,2.095B,7.238B,,7.238B,1.587B,1.689B,,400.30M,9.399B,11.49B,2.40M,2.056B,2.391B,,-43.10M,4.407B
2015-10,1.107B,4.00M,1.111B,,,,3.185B,3.185B,,,96.60M,4.531B,4.628B,,,,,,,,,,3.141B,5.024B,,5.024B,,19.20M,8.911B,12.07B,16.70B,1.259B,21.10M,1.280B,,1.280B,,,,,,,2.161B,2.161B,,,,,,,10.40B,10.40B,12.56B,,,,,,4.142B
2015-07,1.302B,4.00M,1.306B,,,,2.825B,2.825B,,,85.50M,307.60M,4.525B,,,,,,,,,,3.152B,4.983B,3.727B,8.710B,,0.00,178.60M,12.04B,16.57B,1.152B,0.00,1.152B,,1.152B,,83.00M,,83.00M,,,837.80M,2.073B,8.266B,,8.266B,1.655B,1.655B,,524.20M,10.44B,12.52B,,,,,,4.047B
2015-04,870.40M,,870.40M,,,,1.094B,1.094B,,7.244B,19.80M,2.072B,9.336B,,,,,,,,,,1.226B,166.10M,,166.10M,,38.60M,269.00M,1.534B,10.87B,515.60M,25.30M,540.90M,,540.90M,,,,,,,1.015B,1.015B,,,,,,,7.983B,7.983B,8.998B,,,,,,1.871B
2015-01,864.10M,,864.10M,0.00,11.00M,11.00M,1.036B,1.036B,55.50M,,28.30M,,1.995B,0.0,79.00M,336.90M,1.385B,,100.90M,1.068B,2.970B,-1.760B,1.210B,164.60M,1.50M,166.10M,78.90M,32.80M,9.80M,1.498B,3.493B,433.60M,82.60M,516.20M,135.10M,651.30M,,,,,,,101.70M,861.60M,682.70M,,682.70M,,91.90M,,65.00M,846.10M,1.708B,2.10M,1.774B,43.00M,,-34.10M,1.785B
2014-10,407.60M,,407.60M,,,,1.305B,1.305B,,,22.10M,1.774B,1.796B,,,,,,,,,,1.193B,168.70M,,168.70M,,52.90M,325.30M,1.572B,3.368B,545.00M,14.30M,559.30M,,559.30M,,,,,,,866.50M,866.50M,,,,,,,916.10M,916.10M,1.783B,,,,,,1.585B
2014-07,467.70M,,467.70M,,,,1.084B,1.084B,,,17.10M,1.646B,1.663B,,,,,,,,,,1.153B,169.80M,,169.80M,,42.20M,287.90M,1.484B,3.147B,524.20M,2.70M,526.90M,,526.90M,,,,,,,783.00M,783.00M,,,,,,,915.60M,915.60M,1.699B,,,,,,1.448B
2014-04,387.10M,,387.10M,,,,1.043B,1.043B,,,14.20M,92.80M,1.537B,,,,,,,,,,1.116B,169.60M,,169.60M,,30.30M,105.60M,1.421B,2.958B,447.00M,81.10M,528.10M,,528.10M,,,,,,,196.40M,724.50M,757.00M,,757.00M,,,,153.20M,915.70M,1.640B,,,,,,1.318B
2014-01,267.70M,,267.70M,,,,1.035B,1.035B,56.60M,,18.90M,,1.378B,0.0,65.20M,319.80M,1.307B,,57.40M,960.70M,2.710B,-1.616B,1.094B,169.30M,2.50M,171.80M,87.90M,30.30M,9.40M,1.393B,2.772B,393.90M,73.70M,467.60M,2.00M,469.60M,,12.80M,,12.80M,0.00,,108.60M,686.30M,757.00M,,757.00M,,86.30M,,66.10M,914.90M,1.601B,2.10M,1.175B,10.70M,,-16.90M,1.171B
2013-10,147.10M,,147.10M,,,,1.237B,1.237B,,,20.00M,1.468B,1.488B,,,,,,,,,,1.102B,171.60M,,171.60M,,23.30M,269.80M,1.395B,2.883B,526.40M,0.00,526.40M,,526.40M,,,,,,,766.80M,766.80M,,,,,,,1.157B,1.157B,1.924B,,,,,,959.00M
2013-07,413.70M,,413.70M,,,,1.018B,1.018B,,,16.70M,1.516B,1.533B,,,,,,,,,,1.066B,171.70M,,171.70M,,35.40M,273.20M,1.375B,2.908B,418.80M,18.40M,437.20M,,437.20M,,,,,,,671.80M,671.80M,,,,,,,410.60M,410.60M,1.082B,,,,,,1.826B
2013-04,383.30M,,383.30M,,,,1.010B,1.010B,,,14.50M,1.475B,1.490B,,,,,,,,,,1.018B,172.90M,,172.90M,,29.40M,274.40M,1.322B,2.812B,392.60M,72.00M,464.60M,,464.60M,,,,,,,663.00M,663.00M,,,,,,,409.10M,409.10M,1.072B,,,,,,1.740B
2013-01,399.90M,,399.90M,,,,971.70M,971.70M,79.40M,,22.50M,,1.474B,0.0,51.40M,223.90M,1.174B,,107.90M,876.20M,2.434B,-1.473B,960.70M,173.30M,,173.30M,,28.30M,116.20M,1.278B,2.752B,346.50M,111.40M,457.90M,,457.90M,,14.30M,,14.30M,,,104.90M,676.20M,257.00M,,257.00M,,83.00M,,62.90M,408.50M,1.085B,2.20M,1.666B,0.30M,,-1.50M,1.667B
2012-10,222.40M,,222.40M,,,,1.133B,1.133B,,,,1.408B,1.408B,,,,,,,,,,932.40M,173.30M,,173.30M,,19.40M,279.00M,1.231B,2.639B,420.00M,34.30M,454.30M,,454.30M,,,,,,,701.00M,701.00M,,,,,,,399.40M,399.40M,1.100B,,,,,,1.539B
2012-07,379.80M,0.00,379.80M,,,,891.70M,891.70M,,,,1.322B,1.322B,,,,,,,,,,879.80M,173.10M,,173.10M,,23.80M,274.50M,1.178B,2.500B,352.40M,21.80M,374.20M,,374.20M,,,,,,,580.80M,580.80M,,,,,,,395.90M,395.90M,976.70M,,,,,,1.523B
2012-04,382.30M,0.00,382.30M,,,,875.00M,875.00M,,,,1.304B,1.304B,,,,,,,,,,848.80M,174.00M,,174.00M,,19.20M,278.70M,1.147B,2.451B,319.10M,44.40M,363.50M,,363.50M,,,,,,,816.00M,816.00M,,,,,,,154.50M,154.50M,970.50M,,,,,,1.481B
2012-01,288.30M,,288.30M,,,,867.40M,867.40M,27.50M,,26.20M,,1.209B,0.0,38.20M,209.80M,1.076B,,48.70M,783.60M,2.156B,-1.330B,825.30M,173.10M,,173.10M,,16.80M,104.00M,1.119B,2.329B,286.70M,96.90M,383.60M,,383.60M,,15.50M,,15.50M,,,100.70M,581.00M,250.00M,,250.00M,,77.90M,,59.60M,403.00M,984.00M,1.10M,1.344B,0.00,,-0.60M,1.345B
2011-10,280.20M,0.00,280.20M,,,,,1.005B,,,,46.90M,1.332B,,,,,,,,,,816.50M,173.50M,,173.50M,,15.00M,93.70M,1.099B,2.431B,351.90M,10.70M,362.60M,,362.60M,,15.50M,,15.50M,,,209.00M,587.10M,250.00M,,250.00M,,,,132.00M,397.20M,984.30M,,,,,,1.447B
2011-07,421.60M,123.80M,545.40M,,,,,813.90M,,,,49.00M,1.408B,,,,,,,,,,783.10M,175.00M,,175.00M,,17.80M,94.70M,1.071B,2.479B,302.70M,8.50M,311.20M,,311.20M,,15.50M,,15.50M,,,169.10M,495.80M,250.00M,,250.00M,,,,129.90M,395.40M,891.20M,,,,,,1.588B
2011-04,371.30M,139.00M,510.30M,,,,,771.20M,,,,44.00M,1.326B,,,,,,,,,,760.20M,175.00M,,175.00M,,25.10M,95.50M,1.056B,2.381B,276.00M,41.60M,317.60M,,317.60M,,16.50M,,16.50M,,,170.60M,504.70M,250.00M,,250.00M,,,,124.50M,389.90M,894.60M,,,,,,1.487B
2011-01,311.20M,174.80M,486.00M,,,,803.10M,803.10M,27.90M,,16.30M,,1.333B,0.0,35.10M,192.30M,980.90M,,30.80M,706.30M,1.945B,-1.204B,741.10M,173.10M,,173.10M,,38.00M,95.00M,1.047B,2.380B,261.40M,85.60M,347.00M,,347.00M,,16.50M,,16.50M,,,92.80M,532.80M,250.00M,,250.00M,,73.00M,,50.50M,388.70M,921.50M,1.20M,1.458B,,,-0.40M,1.459B
2010-10,309.50M,82.50M,392.00M,,,,,934.90M,,,,39.50M,1.366B,,,,,,,,,,741.40M,133.30M,,133.30M,,40.00M,81.00M,995.70M,2.362B,303.20M,19.50M,322.70M,,322.70M,,16.50M,,16.50M,,,227.30M,566.50M,250.00M,,250.00M,14.80M,14.80M,,118.60M,383.40M,949.90M,,,,,,1.412B
2010-07,429.30M,51.00M,480.30M,,,,,751.60M,,,,29.80M,1.262B,,,,,,,,,,724.10M,133.30M,,133.30M,,52.70M,85.50M,995.60M,2.257B,288.60M,27.80M,316.40M,,316.40M,,16.50M,,16.50M,,,159.00M,491.90M,250.00M,,250.00M,15.20M,15.20M,,118.70M,383.90M,875.80M,,,,,,1.382B
2010-04,338.60M,51.50M,390.10M,,,,,707.70M,,,,47.00M,1.145B,,,,,,,,,,719.40M,133.30M,,133.30M,,43.50M,101.70M,997.90M,2.143B,258.60M,37.70M,296.30M,,296.30M,,17.50M,,17.50M,,,154.40M,468.20M,250.00M,,250.00M,15.00M,15.00M,,116.50M,381.50M,849.70M,,,,,,1.293B
2010-01,571.60M,27.80M,599.40M,,,,,679.80M,20.20M,,6.20M,,1.306B,0.0,29.40M,180.20M,895.50M,,55.50M,634.20M,1.795B,-1.080B,714.30M,133.30M,,133.30M,,35.00M,101.50M,984.10M,2.290B,219.90M,48.60M,268.50M,,268.50M,,17.50M,,17.50M,26.70M,26.70M,163.20M,475.90M,250.00M,,250.00M,,,14.40M,120.20M,384.60M,860.50M,0.90M,1.431B,0.00,,-2.40M,1.429B
2009-10,342.10M,,342.10M,,,,,846.20M,,,,32.40M,1.221B,,,,,,,,,,705.10M,133.30M,,133.30M,,34.40M,87.00M,959.80M,2.180B,261.40M,11.50M,272.90M,,272.90M,,17.50M,,17.50M,,,178.20M,468.60M,250.00M,,250.00M,15.40M,15.40M,,121.60M,387.00M,855.60M,,,,,,1.325B
2009-07,358.20M,,358.20M,,,,,741.20M,,,,67.60M,1.167B,,,,,,,,,,698.60M,133.30M,,133.30M,,47.90M,88.30M,968.10M,2.135B,273.80M,8.80M,282.60M,,282.60M,,17.50M,,17.50M,,,141.80M,441.90M,250.00M,,250.00M,16.10M,16.10M,,116.70M,382.80M,824.70M,,,,,,1.310B
2009-04,355.20M,,355.20M,,,,,688.20M,,,,65.80M,1.109B,,,,,,,,,,705.00M,133.30M,,133.30M,,41.50M,84.70M,964.50M,2.074B,208.60M,42.90M,251.50M,,251.50M,,17.60M,,17.60M,,,145.30M,414.40M,250.00M,,250.00M,15.00M,15.00M,,112.80M,377.80M,792.20M,,,,,,1.282B
2009-01,364.40M,0.00,364.40M,,,,,675.80M,25.30M,,7.70M,,1.073B,0.0,29.40M,181.90M,856.00M,,22.40M,590.90M,1.681B,-970.30M,710.30M,133.30M,,133.30M,,33.00M,85.90M,962.50M,2.036B,192.90M,46.90M,239.80M,,239.80M,,17.60M,,17.60M,,,152.50M,409.90M,250.00M,,250.00M,14.70M,14.70M,,107.90M,372.60M,782.50M,0.90M,1.217B,38.00M,,-2.60M,1.253B
2008-10,78.60M,,78.60M,,,,,836.50M,,,,45.60M,960.70M,,,,,,,,1.557B,-831.50M,725.80M,,144.30M,144.30M,,22.90M,68.00M,961.00M,1.922B,238.40M,,238.40M,,238.40M,,17.60M,,17.60M,,,155.90M,411.90M,250.00M,,250.00M,,,,119.70M,369.70M,781.60M,,,,,1.140B,1.140B
2008-07,114.60M,,114.60M,,,,,717.10M,,,,64.10M,895.80M,,,,,,,,1.558B,-831.50M,726.10M,,145.40M,145.40M,,26.30M,71.10M,968.90M,1.865B,272.80M,,272.80M,,272.80M,,18.00M,,18.00M,,,121.10M,411.90M,250.00M,,250.00M,,,,116.50M,366.50M,778.40M,,,,,1.086B,1.086B
2008-04,84.20M,,84.20M,,,,,652.70M,,,,60.20M,797.10M,,,,,,,,1.565B,-831.50M,733.70M,,146.60M,146.60M,,22.60M,71.10M,974.00M,1.771B,204.40M,,204.40M,,204.40M,,18.50M,,18.50M,,,148.90M,371.80M,250.00M,,250.00M,,,,111.90M,361.90M,733.70M,,,,,1.037B,1.037B
2008-01,40.60M,40.50M,81.10M,,,,,641.20M,49.20M,,17.30M,,788.80M,0.0,29.40M,707.80M,785.00M,,52.90M,,1.575B,-831.50M,743.60M,133.30M,,133.30M,,38.70M,83.30M,998.90M,1.788B,200.40M,,200.40M,,200.40M,,18.50M,,18.50M,,,187.00M,405.90M,250.00M,,250.00M,,,,143.40M,393.40M,799.30M,0.90M,987.40M,,,0.10M,988.40M
2007-10,30.00M,,30.00M,,,,,801.00M,,,,63.10M,894.10M,,,,,,,,1.447B,-698.00M,748.70M,,149.10M,149.10M,,,76.00M,973.80M,1.868B,257.60M,,257.60M,,257.60M,,18.50M,,18.50M,,,158.10M,434.20M,335.20M,,335.20M,,,,113.70M,448.90M,883.10M,,,,,984.80M,984.80M
2007-07,43.50M,,43.50M,,,,,651.70M,,144.00M,,53.60M,892.80M,,,,,,,,1.423B,-698.00M,725.40M,,148.90M,148.90M,,,69.90M,944.20M,1.837B,230.70M,,230.70M,,230.70M,,18.50M,,18.50M,,,139.20M,388.40M,250.00M,,250.00M,,,,95.30M,345.30M,733.70M,,,,,1.103B,1.103B
2007-04,59.80M,128.70M,188.50M,,,,,599.70M,,,,50.00M,838.20M,,,,,,,,1.413B,-698.00M,715.30M,,145.50M,145.50M,,,63.90M,924.70M,1.763B,186.70M,,186.70M,,186.70M,,18.80M,,18.80M,,,120.00M,325.50M,250.00M,,250.00M,,,,89.50M,339.50M,665.00M,,,,,1.098B,1.098B
2007-01,85.00M,,85.00M,,,,,605.00M,,221.80M,,56.10M,967.90M,0.0,29.40M,154.70M,1.191B,,38.30M,,1.413B,-698.00M,715.30M,,146.60M,146.60M,,,52.40M,914.30M,1.882B,198.10M,,198.10M,,198.10M,,18.80M,,18.80M,,,175.30M,392.20M,250.00M,,250.00M,,,,72.30M,322.30M,714.50M,1.00M,1.167B,,,0.10M,1.168B
2006-10,58.10M,60.80M,118.90M,,,,,793.80M,,,,24.60M,937.30M,,,,,,,,1.280B,-558.08M,721.50M,,147.70M,147.70M,,,44.50M,913.70M,1.851B,230.00M,,230.00M,,230.00M,,18.80M,,18.80M,,,124.00M,372.80M,250.00M,,250.00M,,,,69.60M,319.60M,692.40M,,,,,1.159B,1.159B
2006-07,49.00M,131.40M,180.40M,,,,,671.00M,,,,23.50M,874.90M,,,,,,,,1.269B,-558.08M,710.50M,,145.60M,145.60M,,,44.30M,900.40M,1.775B,211.80M,,211.80M,,211.80M,,18.80M,,18.80M,,,110.30M,340.90M,250.00M,,250.00M,,,,70.60M,320.60M,661.50M,,,,,1.114B,1.114B
2006-04,64.20M,223.20M,287.40M,,,,,633.80M,,,,25.00M,946.20M,,,,,,,,1.261B,-558.08M,702.90M,,144.80M,144.80M,,,43.90M,891.60M,1.838B,187.30M,,187.30M,,187.30M,,19.00M,,19.00M,,,138.20M,344.50M,250.00M,,250.00M,,,,75.90M,325.90M,670.40M,,,,,1.167B,1.167B
2006-01,65.80M,274.00M,339.80M,,,,,576.50M,,,,27.40M,943.70M,0.0,29.39M,572.73M,608.41M,,29.36M,,1.240B,-558.08M,681.80M,,129.30M,129.30M,,,43.60M,854.70M,1.798B,135.60M,,135.60M,,135.60M,,19.00M,,19.00M,,,140.90M,295.50M,250.00M,,250.00M,,,,80.60M,330.60M,626.10M,,,,,1.172B,1.172B
2005-10,95.20M,34.57M,129.77M,,,,,750.35M,,,,36.23M,916.34M,,,,,,,,1.129B,-435.29M,693.99M,,130.80M,130.80M,,,28.03M,852.83M,1.769B,211.43M,,211.43M,,211.43M,,19.00M,,19.00M,,,123.60M,354.03M,250.00M,,250.00M,,,,84.35M,334.35M,688.39M,1.064M,1.073B,6.493M,,0.016M,1.081B
2005-07,14.53M,151.02M,165.55M,,,,,629.83M,,,,33.82M,829.20M,,,,,,,,1.127B,-435.29M,691.63M,,130.94M,130.94M,,,28.05M,850.61M,1.680B,120.37M,,120.37M,,120.37M,,19.00M,,19.00M,,,108.43M,247.80M,250.00M,,250.00M,,,,84.81M,334.81M,582.62M,1.085M,1.042B,54.06M,,-0.06M,1.097B
2005-04,65.54M,104.70M,170.23M,,,,,644.32M,,,,39.41M,853.97M,,,,,,,,1.122B,-435.29M,686.30M,,131.29M,131.29M,,,23.02M,840.62M,1.695B,137.82M,,137.82M,,137.82M,,19.00M,,19.00M,,,133.80M,290.62M,250.00M,,250.00M,,,,85.26M,335.26M,625.89M,1.084M,1.015B,53.15M,,-0.343M,1.069B
2005-01,106.53M,211.28M,317.81M,,,,,615.48M,28.52M,,8.072M,,969.89M,0.0,28.87M,520.54M,550.92M,,20.35M,,1.121B,-435.29M,685.39M,,129.03M,129.03M,,,8.367M,822.78M,1.793B,124.20M,,124.20M,,124.20M,,19.00M,,19.00M,,,151.16M,294.36M,250.00M,0.534M,250.53M,42.08M,42.08M,,41.50M,334.10M,628.46M,1.13M,985.79M,177.68M,,-0.395M,1.164B
2004-10,87.84M,10.00M,97.84M,,,,,775.29M,,,,45.28M,918.41M,,,,,,,,975.74M,-314.59M,661.15M,,124.59M,124.59M,,,8.455M,794.19M,1.713B,173.86M,,173.86M,,173.86M,,19.00M,,19.00M,,,114.80M,307.66M,250.00M,,250.00M,,,,78.58M,328.58M,636.24M,1.128M,902.14M,173.73M,,-0.635M,1.076B
