,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2015-04,2.177B,2.177B,1.428B,748.90M,516.10M,,,122.20M,-122.20M,516.10M,232.80M,122.20M,-122.20M,2.60M,-122.20M,113.20M,43.70M,69.50M,,69.50M,69.50M,288.20M,52.80M,235.40M,0.34,,,0.34,0.34,0.34,,,0.34,0.34,206.20M,207.10M
2015-01,2.476B,2.476B,1.558B,918.10M,534.50M,,,54.30M,-54.30M,534.50M,383.60M,54.30M,-54.30M,-4.70M,-54.30M,324.60M,118.10M,206.50M,,206.50M,206.50M,433.30M,54.40M,378.90M,1.16,,,1.16,1.16,1.16,,,1.16,1.16,205.70M,207.00M
2014-10,2.095B,2.095B,1.370B,725.30M,505.60M,,,9.30M,-9.30M,505.60M,219.70M,9.30M,-9.30M,-1.10M,-9.30M,209.30M,76.30M,133.00M,,133.00M,133.00M,269.50M,50.90M,218.60M,0.65,,,0.65,0.65,0.64,,,0.64,0.64,205.60M,206.60M
2014-07,2.031B,2.031B,1.337B,694.10M,489.10M,,,8.40M,-8.40M,489.10M,205.00M,8.40M,-8.40M,,-8.40M,196.60M,75.10M,121.50M,,121.50M,121.50M,254.90M,49.90M,205.00M,0.59,,,0.59,0.59,0.59,,,0.59,0.59,205.80M,206.60M
2014-04,2.000B,2.000B,1.304B,696.60M,464.70M,,,8.10M,-8.10M,464.70M,231.90M,8.10M,-8.10M,,-8.10M,223.80M,85.50M,138.30M,,138.30M,138.30M,282.60M,50.70M,231.90M,0.67,,,0.67,0.67,0.67,,,0.67,0.67,206.80M,207.70M
2014-01,2.235B,2.235B,1.410B,825.20M,477.00M,,,9.00M,-9.00M,477.00M,348.20M,9.00M,-9.00M,-0.10M,-9.00M,339.10M,126.00M,213.10M,,213.10M,213.10M,398.30M,50.20M,348.10M,1.02,,,1.02,1.02,1.02,,,1.02,1.02,208.20M,209.20M
2013-10,1.885B,1.885B,1.225B,659.90M,455.60M,,,5.20M,-5.20M,455.60M,204.30M,5.20M,-5.20M,-0.30M,-5.20M,198.80M,73.40M,125.40M,,125.40M,125.40M,252.60M,48.60M,204.00M,0.58,,,0.58,0.58,0.58,,,0.58,0.58,216.60M,217.60M
2013-07,1.855B,1.855B,1.206B,648.70M,447.40M,,,0.70M,-0.70M,447.40M,201.30M,0.70M,-0.70M,0.20M,-0.70M,200.80M,76.10M,124.70M,,124.70M,124.70M,248.10M,46.60M,201.50M,0.56,,,0.56,0.56,0.56,,,0.56,0.56,223.40M,224.30M
2013-04,1.866B,1.866B,1.210B,656.00M,439.40M,,,0.60M,-0.60M,439.40M,216.60M,0.60M,-0.60M,-0.40M,-0.60M,215.60M,82.10M,133.50M,,133.50M,133.50M,261.30M,45.10M,216.20M,0.6,,,0.6,0.6,0.59,,,0.59,0.59,224.20M,225.20M
2013-01,2.246B,2.246B,1.395B,850.80M,487.30M,,,0.40M,-0.40M,487.30M,363.50M,0.40M,-0.40M,-0.20M,-0.40M,362.90M,134.30M,228.60M,,228.60M,228.60M,410.20M,46.90M,363.30M,1.01,,,1.01,1.01,1.01,,,1.01,1.01,225.70M,227.40M
2012-10,1.720B,1.720B,1.121B,599.60M,415.40M,,,0.80M,-0.80M,415.40M,184.20M,0.80M,-0.80M,60.70M,-0.80M,244.10M,88.70M,155.40M,,155.40M,155.40M,288.50M,43.60M,244.90M,0.68,,,0.68,0.68,0.68,,,0.68,0.68,228.80M,230.00M
2012-07,1.705B,1.705B,1.105B,599.60M,415.20M,,,1.10M,-1.10M,415.20M,184.40M,1.10M,-1.10M,,-1.10M,183.30M,64.10M,119.20M,,119.20M,119.20M,227.40M,43.00M,184.40M,0.52,,,0.52,0.52,0.51,,,0.51,0.51,231.30M,232.60M
2012-04,1.724B,1.724B,1.121B,602.70M,414.70M,,,0.50M,-0.50M,414.70M,188.00M,0.50M,-0.50M,1.10M,-0.50M,188.60M,72.50M,116.10M,,116.10M,116.10M,230.90M,41.80M,189.10M,0.5,,,0.5,0.5,0.5,,,0.5,0.5,231.50M,232.80M
2012-01,1.946B,1.946B,1.211B,734.50M,432.50M,,,0.70M,-0.70M,432.50M,302.00M,0.70M,-0.70M,0.20M,-0.70M,301.50M,113.60M,187.90M,,187.90M,187.90M,346.20M,44.00M,302.20M,0.805,,,0.805,0.805,0.8,,,0.8,0.8,233.10M,235.20M
2011-10,1.597B,1.597B,1.036B,560.60M,395.70M,,,0.60M,-0.60M,395.70M,164.90M,0.60M,-0.60M,-0.10M,-0.60M,164.20M,59.70M,104.50M,,104.50M,104.50M,205.90M,41.10M,164.80M,0.44,,,0.44,0.44,0.43,,,0.43,0.43,239.60M,241.50M
2011-07,1.542B,1.542B,1.00B,542.40M,388.90M,,,0.70M,-0.70M,388.90M,153.50M,0.70M,-0.70M,-0.50M,-0.70M,152.30M,57.40M,94.90M,,94.90M,94.90M,192.60M,39.60M,153.00M,0.39,,,0.39,0.39,0.39,,,0.39,0.39,244.60M,244.60M
2011-04,1.546B,1.546B,1.005B,540.80M,379.10M,,,0.90M,-0.90M,379.10M,161.70M,0.90M,-0.90M,0.70M,-0.90M,161.50M,60.50M,101.00M,,101.00M,101.00M,201.60M,39.20M,162.40M,0.41,,,0.41,0.41,0.41,,,0.41,0.41,245.20M,247.00M
2011-01,1.725B,1.725B,1.077B,647.90M,389.20M,,,,-1.00M,389.20M,258.70M,,-1.00M,0.40M,-1.00M,258.10M,95.60M,162.50M,,162.50M,162.50M,306.30M,42.10M,264.20M,0.64,,,0.64,0.64,0.64,,,0.64,0.64,249.60M,251.80M
2010-10,1.427B,1.427B,920.60M,506.00M,365.10M,,5.40M,,-1.60M,365.10M,140.90M,,-1.60M,5.40M,-1.60M,144.70M,51.50M,93.20M,,93.20M,89.72M,179.80M,38.90M,140.90M,0.365,0.0,,0.3513,0.365,0.365,0.0,,0.3514,0.365,253.80M,255.60M
2010-07,1.378B,1.378B,894.40M,483.50M,355.70M,,-1.20M,1.60M,-1.60M,355.70M,127.80M,1.60M,-1.60M,-1.20M,-1.60M,125.00M,47.00M,78.00M,,78.00M,78.75M,166.00M,39.40M,126.60M,0.305,0.0,,0.3079,0.305,0.305,0.0,,0.3079,0.305,254.60M,256.20M
2010-04,1.353B,1.353B,902.40M,450.20M,347.60M,,0.90M,1.40M,-1.40M,347.60M,102.60M,1.40M,-1.40M,0.90M,-1.40M,102.10M,38.50M,63.60M,,63.60M,63.04M,142.80M,39.30M,103.50M,0.245,0.0,,0.2428,0.245,0.245,0.0,,0.2428,0.245,258.60M,260.60M
2010-01,1.559B,1.559B,980.20M,578.40M,360.00M,,,,-9.10M,360.00M,218.40M,,-9.10M,,-9.10M,216.90M,81.90M,135.00M,,135.00M,135.00M,259.70M,41.30M,218.40M,0.505,,,0.505,0.505,0.5,,,0.5,0.5,264.60M,266.40M
2009-10,1.249B,1.249B,807.50M,441.20M,333.60M,,0.00,,1.60M,333.60M,107.60M,,1.60M,,1.60M,106.00M,37.80M,68.20M,,68.20M,68.20M,146.20M,38.60M,107.60M,0.255,0.0,,0.255,0.255,0.255,0.0,,0.255,0.255,267.80M,269.60M
2009-07,1.223B,1.223B,801.00M,421.80M,332.60M,,0.00,,-1.30M,332.60M,89.20M,,-1.30M,,-1.30M,87.90M,31.00M,56.90M,,56.90M,56.90M,128.30M,39.10M,89.20M,0.21,0.0,,0.21,0.21,0.21,0.0,,0.21,0.21,269.20M,270.80M
2009-04,1.201B,1.201B,785.70M,415.40M,317.80M,,0.00,,-0.80M,317.80M,97.60M,,-0.80M,,-0.80M,96.80M,36.40M,60.40M,,60.40M,60.40M,136.40M,38.80M,97.60M,0.2233,0.0,,0.2233,0.2233,0.22,0.0,,0.22,0.22,271.50M,273.30M
2009-01,1.386B,1.386B,893.30M,493.20M,328.00M,,,,-0.90M,328.00M,165.20M,,-0.90M,,-0.90M,164.30M,59.10M,105.20M,,105.20M,105.20M,209.70M,41.90M,167.80M,0.3867,0.0,,0.3867,0.3867,0.3867,0.0,,0.3867,0.3867,271.80M,274.20M
2008-10,1.114B,1.114B,734.60M,379.40M,310.10M,,,,-2.30M,310.10M,69.30M,,-2.30M,,-2.30M,67.00M,23.90M,43.10M,,43.10M,43.10M,107.60M,38.30M,69.30M,0.16,0.0,,0.16,0.16,0.1567,0.0,,0.1567,0.1567,271.50M,273.00M
2008-07,1.093B,1.093B,730.00M,363.10M,301.50M,,,,-1.90M,301.50M,61.60M,,-1.90M,,-1.90M,59.70M,22.10M,37.60M,,37.60M,37.60M,101.30M,39.70M,61.60M,0.14,0.0,,0.14,0.14,0.14,0.0,,0.14,0.14,270.60M,271.50M
2008-04,1.051B,1.051B,694.80M,356.50M,286.80M,,,,-1.60M,286.80M,69.70M,,-1.60M,,-1.60M,68.10M,24.50M,43.60M,,43.60M,43.60M,111.50M,41.80M,69.70M,0.16,0.0,,0.16,0.16,0.16,0.0,,0.16,0.16,269.70M,270.60M
2008-01,1.299B,1.299B,833.30M,465.30M,310.90M,,,,,310.90M,154.40M,,,,,150.80M,56.10M,94.70M,,94.70M,94.70M,195.80M,41.40M,154.40M,0.3367,0.0,,0.3367,0.3367,0.3333,0.0,,0.3333,0.3333,273.30M,273.90M
2007-10,997.80M,997.80M,653.90M,343.90M,283.70M,,,,,283.70M,60.20M,,,,,56.50M,20.60M,35.90M,,35.90M,35.90M,99.80M,39.60M,60.20M,0.1267,0.0,,0.1267,0.1267,0.1267,0.0,,0.1267,0.1267,285.60M,287.10M
2007-07,971.20M,971.20M,644.60M,326.60M,273.20M,,,,,273.20M,53.40M,,,,,51.80M,19.20M,32.60M,,32.60M,32.60M,92.40M,39.00M,53.40M,0.11,0.0,,0.11,0.11,0.11,0.0,,0.11,0.11,296.36M,296.36M
2007-04,975.00M,975.00M,649.70M,325.30M,263.00M,,,,,263.00M,62.30M,,,,,60.70M,22.60M,38.10M,,38.10M,38.10M,101.60M,39.30M,62.30M,0.1267,0.0,,0.1267,0.1267,0.1267,0.0,,0.1267,0.1267,300.79M,300.79M
2007-01,1.319B,1.319B,848.60M,470.30M,314.20M,,,,,314.20M,156.10M,,,,,153.40M,55.80M,97.60M,,97.60M,97.60M,201.40M,45.30M,156.10M,0.3167,0.0,,0.3167,0.3167,0.3167,0.0,,0.3167,0.3167,302.40M,305.10M
2006-10,910.40M,910.40M,602.90M,307.50M,254.20M,,,,,254.20M,53.30M,,,,,50.60M,18.10M,32.50M,,32.50M,32.50M,92.90M,39.60M,53.30M,0.1067,0.0,,0.1067,0.1067,0.1067,0.0,,0.1067,0.1067,306.60M,308.40M
2006-07,883.60M,883.60M,590.30M,293.30M,245.30M,,,,,245.30M,48.00M,,,,,46.30M,17.30M,29.00M,,29.00M,29.00M,85.80M,37.80M,48.00M,0.0933,0.0,,0.0933,0.0933,0.0933,0.0,,0.0933,0.0933,310.71M,310.71M
2006-04,856.50M,856.50M,570.40M,286.10M,232.70M,,,,,232.70M,53.40M,,,,,52.60M,19.70M,32.90M,,32.90M,32.90M,89.70M,36.30M,53.40M,0.1033,0.0,,0.1033,0.1033,0.1033,0.0,,0.1033,0.1033,318.39M,318.39M
2006-01,1.079B,1.079B,698.66M,380.36M,243.92M,,,,,243.92M,136.44M,,,,,134.72M,48.20M,86.52M,,86.52M,86.52M,173.16M,36.72M,136.44M,0.27,0.0,,0.27,0.27,0.2667,0.0,,0.2667,0.2667,319.92M,320.51M
2005-10,796.80M,796.80M,520.50M,276.30M,224.10M,,,,,224.10M,52.20M,,,,,50.00M,18.90M,31.10M,,31.10M,31.10M,88.10M,35.90M,52.20M,0.0967,0.0,,0.0967,0.0967,0.0967,0.0,,0.0967,0.0967,321.90M,322.80M
2005-07,769.00M,769.00M,507.60M,261.40M,214.90M,,,,,214.90M,46.50M,,,,,43.70M,16.40M,27.30M,,27.30M,27.30M,82.10M,35.60M,46.50M,0.0833,0.0,,0.0833,0.0833,0.0833,0.0,,0.0833,0.0833,327.60M,327.60M
2005-04,749.09M,749.09M,494.85M,254.24M,206.17M,,,,,206.17M,48.07M,,,,,46.79M,17.78M,29.01M,,29.01M,29.01M,80.57M,32.50M,48.07M,0.0867,0.0,,0.0867,0.0867,0.0867,0.0,,0.0867,0.0867,334.75M,334.75M
2005-01,987.48M,987.48M,636.75M,350.73M,218.51M,,,,,218.51M,132.22M,,,,,131.00M,47.35M,83.65M,,83.65M,83.65M,164.93M,32.71M,132.22M,0.2467,0.0,,0.2467,0.2467,0.2433,0.0,,0.2433,0.2433,338.84M,340.90M
2004-10,723.97M,723.97M,465.57M,258.40M,204.81M,,,,,204.81M,53.59M,,,,,51.83M,19.97M,31.85M,,31.85M,31.85M,87.35M,33.76M,53.59M,0.0933,0.0,,0.0933,0.0933,0.0933,0.0,,0.0933,0.0933,338.67M,340.12M
2004-07,704.23M,704.23M,455.76M,248.48M,199.39M,,0.301M,,,199.39M,49.08M,,,0.301M,,48.15M,18.56M,29.59M,,29.59M,29.41M,81.47M,32.39M,49.08M,0.0867,0.0,,0.0861,0.0867,0.0867,0.0,,0.0861,0.0867,341.45M,341.45M
2004-04,710.33M,710.33M,457.29M,253.04M,194.38M,,,,,194.38M,58.66M,,,,,57.19M,22.04M,35.15M,,35.15M,35.15M,89.09M,30.43M,58.66M,0.1033,0.0,,0.1033,0.1033,0.1033,0.0,,0.1033,0.1033,340.16M,340.16M
2004-01,893.06M,893.06M,557.15M,335.92M,204.78M,,,,,204.78M,131.14M,,,,,129.80M,49.97M,79.83M,,79.83M,79.83M,164.14M,33.00M,131.14M,0.2333,0.0,,0.2333,0.2333,0.23,0.0,,0.23,0.23,343.45M,344.10M
2003-10,665.21M,665.21M,421.61M,243.60M,183.23M,,-0.011M,,,183.23M,60.36M,,,-0.011M,,58.80M,22.64M,36.16M,,36.16M,36.17M,86.52M,26.16M,60.36M,0.1033,0.0,,0.1034,0.1033,0.1033,0.0,,0.1034,0.1033,345.11M,349.28M
2003-07,626.03M,626.03M,404.92M,221.11M,173.51M,,0.665M,,,173.51M,47.60M,,,0.665M,,46.83M,18.03M,28.80M,,28.80M,28.39M,72.37M,24.77M,47.60M,0.0833,0.0,,0.0822,0.0833,0.0833,0.0,,0.0822,0.0833,345.59M,345.59M
2003-04,615.57M,615.57M,397.78M,217.79M,163.30M,,0.083M,,,163.30M,54.49M,,,0.083M,,53.33M,20.53M,32.80M,,32.80M,32.74M,77.66M,23.17M,54.49M,0.0967,0.0,,0.0965,0.0967,0.0967,0.0,,0.0965,0.0967,339.26M,339.26M
2002-12,827.48M,827.48M,511.45M,316.04M,174.45M,,0.142M,,,174.45M,141.58M,,,0.142M,,141.43M,54.45M,86.98M,,86.98M,86.89M,165.44M,23.85M,141.58M,0.2514,,,0.2512,0.2514,0.2514,0.0,,0.2512,0.2514,338.34M,342.43M
2002-09,513.50M,513.50M,330.92M,182.58M,148.49M,,-1.382M,,,148.49M,34.10M,,,-1.382M,,32.32M,12.44M,19.88M,,19.88M,20.73M,52.28M,18.18M,34.10M,0.0567,0.0,,0.0591,0.0567,0.0567,0.0,,0.0591,0.0567,350.79M,350.79M
2002-06,498.58M,498.58M,318.39M,180.19M,138.06M,,-0.824M,,,138.06M,42.13M,,,-0.824M,,41.04M,15.80M,25.24M,,25.24M,25.74M,60.01M,17.88M,42.13M,0.0733,0.0,,0.0748,0.0733,0.0733,0.0,,0.0748,0.0733,344.14M,344.14M
2002-03,489.62M,489.62M,316.46M,173.16M,121.33M,,0.595M,,,137.05M,36.11M,,,0.595M,,36.67M,14.12M,22.55M,,22.55M,22.19M,51.84M,15.72M,36.11M,0.0667,0.0,,0.0656,0.0667,0.0667,0.0,,0.0656,0.0667,338.28M,338.28M
2001-12,714.85M,714.85M,441.73M,273.11M,133.27M,,0.251M,,,859.25M,-586.14M,,,0.251M,,123.80M,47.71M,76.09M,,76.09M,75.93M,-571.16M,14.98M,-586.14M,0.2267,0.0,,0.2262,0.2267,0.2233,0.0,,0.2229,0.2233,335.71M,348.03M
2001-09,444.74M,444.74M,290.45M,154.30M,114.51M,,-1.379M,,,128.48M,25.82M,,,-1.379M,,23.68M,9.126M,14.55M,,14.55M,15.40M,39.78M,13.96M,25.82M,0.0433,0.0,,0.0459,0.0433,0.0433,0.0,,0.0459,0.0433,335.82M,335.82M
2001-06,440.36M,440.36M,283.27M,157.09M,108.85M,,0.197M,,,121.84M,35.24M,,,0.197M,,35.24M,13.58M,21.66M,,21.66M,21.54M,48.23M,12.99M,35.24M,0.0633,0.0,,0.063,0.0633,0.0633,0.0,,0.063,0.0633,341.97M,341.97M
2001-03,387.32M,387.32M,255.86M,131.46M,101.69M,,-0.792M,,,113.52M,17.94M,,,-0.792M,,17.53M,6.751M,10.78M,,10.78M,11.27M,29.77M,11.83M,17.94M,0.0333,0.0,,0.0348,0.0333,0.0333,0.0,,0.0348,0.0333,323.49M,323.49M
2000-12,599.17M,599.17M,365.09M,234.08M,113.94M,,0.00,,,127.02M,107.06M,,,0.00,,105.43M,40.76M,64.67M,0.00,64.67M,64.67M,120.15M,13.08M,107.06M,0.22,0.0,0.0,0.22,0.22,0.1933,0.0,0.0,0.1933,0.1933,323.26M,333.97M
2000-09,377.32M,377.32M,238.33M,138.99M,92.02M,,,,,102.66M,36.33M,,,,,35.53M,13.68M,21.85M,,21.85M,21.85M,46.97M,10.64M,36.33M,0.07,0.0,,0.07,0.07,0.0633,0.0,,0.0633,0.0633,318.34M,340.50M
2000-06,384.50M,384.50M,246.46M,138.04M,90.96M,,-1.10M,,,100.52M,37.53M,,,-1.10M,,35.81M,14.27M,21.54M,0.337M,21.15M,22.20M,47.91M,10.39M,37.53M,0.0667,0.0,-0.0013,0.0688,0.0667,0.0633,0.0,-0.0013,0.0653,0.0633,304.84M,335.24M
2000-03,291.60M,291.60M,187.66M,103.94M,72.14M,,,,,80.00M,23.94M,,,,,24.10M,9.276M,14.82M,,14.82M,14.82M,31.80M,7.862M,23.94M,0.0533,0.0,,0.0533,0.0533,0.0489,0.0,,0.0489,0.0489,277.86M,303.12M
1999-12,606.22M,606.22M,381.12M,225.10M,108.34M,,-0.05M,,,118.95M,106.15M,,,-0.05M,,102.31M,37.63M,64.68M,,64.68M,64.71M,116.76M,10.61M,106.15M,0.1867,0.0,,0.1868,0.1867,0.17,0.0,,0.1701,0.17,344.77M,378.72M
1999-09,265.40M,265.40M,167.30M,98.10M,64.00M,,,,,71.10M,27.00M,,,,,26.20M,10.10M,16.10M,,16.10M,16.10M,34.10M,7.10M,27.00M,0.0567,0.0,,0.0567,0.0567,0.0533,0.0,,0.0533,0.0533,284.12M,301.88M
1999-06,253.30M,253.30M,159.50M,93.80M,61.70M,,-1.10M,,,68.60M,25.20M,,,-1.10M,,23.40M,8.90M,14.50M,,14.50M,15.18M,32.10M,6.88M,25.20M,0.05,0.0,,0.0524,0.05,0.0467,0.0,,0.0489,0.0467,290.00M,310.71M
1999-03,227.04M,227.04M,146.18M,80.86M,56.12M,,,,,62.34M,18.52M,,,,,18.04M,6.945M,11.09M,,11.09M,11.09M,24.74M,6.22M,18.52M,0.04,0.0,,0.04,0.04,0.0367,0.0,,0.0367,0.0367,276.81M,305.44M
