,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2016-07,170.10M,,,161.90M,161.90M,-10.70M,0.00,,20.20M,,,,,,,,27.80M,369.30M,-180.00M,,0.40M,,0.00,,-179.60M,-33.20M,-33.20M,,,,8.30M,-2.20M,-27.10M,929.70M,162.60M,0.90M,1.093B,,,-33.20M,,233.50M,43.20M
2016-04,232.70M,,,162.30M,162.30M,-20.40M,0.00,,32.40M,,,,,,,,-96.00M,311.00M,-175.90M,,1.10M,,82.00M,,-92.80M,-20.80M,-20.80M,,,,14.40M,-18.40M,-24.80M,736.10M,193.40M,0.20M,929.70M,,,-20.80M,,85.50M,131.80M
2016-01,229.00M,,,175.10M,175.10M,93.00M,,,15.40M,,,,,,,,265.80M,831.50M,-143.60M,,0.90M,0.00,41.30M,,-101.80M,-1.040B,-1.040B,,,,7.70M,-67.30M,-1.100B,1.107B,-370.40M,-0.40M,736.10M,,3.930B,-4.971B,,4.70M,43.80M
2015-10,81.90M,,,174.90M,174.90M,-49.80M,,,-5.20M,,,,,,,,-206.40M,-4.60M,-169.60M,,-0.10M,-2.10M,-12.00M,12.00M,-171.70M,-20.80M,-20.80M,,,,2.30M,-1.10M,-19.60M,1.302B,-195.90M,0.30M,1.107B,,0.00,-20.80M,,4.00M,236.50M
2015-07,-98.00M,,,84.80M,84.80M,-18.80M,,,37.40M,,,,,,,,-180.20M,-174.80M,-100.40M,,-0.30M,-6.526B,0.00,7.232B,606.10M,84.60M,84.60M,,,,1.30M,-84.00M,1.90M,870.40M,433.20M,-1.10M,1.302B,,1.020B,-935.20M,,79.20M,192.10M
2015-04,69.50M,,,52.80M,52.80M,1.20M,,,24.80M,,,,,,,,2.10M,150.40M,-66.90M,,0.00,,0.00,-7.244B,-7.311B,7.180B,7.180B,,,,2.60M,-16.20M,7.167B,864.10M,6.00M,0.30M,870.40M,,7.180B,0.00,,50.50M,14.60M
2015-01,206.50M,,,54.40M,54.40M,14.10M,,,-29.50M,,,,,,,,270.50M,554.30M,-71.20M,,-0.10M,0.00,0.00,0.10M,-71.20M,0.00,0.00,,,,1.10M,-26.90M,-25.80M,407.60M,457.30M,-0.80M,864.10M,,0.00,0.00,,74.20M,16.70M
2014-10,133.00M,,,50.90M,50.90M,-16.00M,,,8.10M,,,,,,,,-152.80M,23.20M,-94.20M,-0.30M,1.40M,0.00,9.00M,-0.10M,-83.90M,0.00,0.00,,,,1.10M,0.00,1.10M,467.70M,-59.60M,-0.50M,407.60M,,0.00,0.00,,80.60M,0.30M
2014-07,121.40M,,,49.90M,49.90M,-14.80M,,,7.90M,,,,,,,,2.70M,167.10M,-88.30M,0.00,0.00,0.00,,,-88.30M,0.00,0.00,,,,1.40M,0.20M,1.60M,387.10M,80.40M,0.20M,467.70M,,0.00,0.00,,167.90M,16.70M
2014-04,138.30M,,,50.70M,50.70M,-1.40M,,,17.80M,,,,,,,,-7.20M,198.20M,-71.90M,0.30M,0.30M,,0.00,,-71.60M,-12.80M,-12.80M,,,,1.90M,3.40M,-7.50M,267.70M,119.10M,0.30M,387.10M,,0.00,-12.80M,,49.60M,0.20M
2014-01,213.10M,,,50.20M,50.20M,-0.20M,,,-28.00M,,,,,,,,155.30M,427.40M,-47.10M,,-0.80M,,-8.80M,0.30M,-55.60M,-250.00M,-250.00M,,0.00,0.00,-5.00M,6.20M,-248.80M,147.10M,123.00M,-2.40M,267.70M,,0.00,-250.00M,0.00,76.30M,11.70M
2013-10,125.40M,,,48.60M,48.60M,6.90M,,,9.40M,,,,,,,,-123.90M,66.40M,-84.50M,0.00,0.00,,0.00,0.00,-84.50M,750.00M,750.00M,,-1.00B,-1.00B,1.50M,0.00,-248.50M,413.70M,-266.60M,0.00,147.10M,,770.00M,-20.00M,-1.00B,85.50M,0.90M
2013-07,124.70M,,,46.60M,46.60M,,,,-0.50M,,,,,,,,0.20M,171.00M,-96.40M,0.00,0.00,,0.00,-0.30M,-96.70M,-1.50M,-1.50M,,-43.70M,-43.70M,1.50M,0.60M,-43.10M,383.30M,31.20M,-0.80M,413.70M,,,-1.50M,-43.70M,137.40M,1.00M
2013-04,133.50M,,,45.10M,45.10M,,,,23.70M,,,,,,,,-73.00M,129.30M,-103.20M,0.00,0.00,,15.00M,,-88.20M,0.00,0.00,,-68.40M,-68.40M,2.00M,9.00M,-57.40M,399.90M,-16.30M,-0.30M,383.30M,,,0.00,-68.40M,74.00M,0.90M
2013-01,228.60M,0.00,0.00,46.90M,46.90M,,,,-28.50M,,,,,,,,90.10M,364.90M,-76.50M,,,0.00,-11.00M,0.30M,-87.20M,6.70M,6.70M,,-104.90M,-104.90M,1.20M,-3.00M,-100.00M,222.40M,177.70M,-0.20M,399.90M,,7.00M,-0.30M,-104.90M,101.30M,0.90M
2012-10,155.40M,-60.80M,-60.80M,43.60M,43.60M,,,,9.20M,,,,,,,,-113.80M,33.60M,-96.60M,,,62.30M,0.00,0.00,-34.30M,0.00,0.00,,-158.80M,-158.80M,1.50M,0.20M,-157.10M,379.80M,-157.80M,0.40M,222.40M,,0.00,0.00,-158.80M,232.60M,2.40M
2012-07,119.20M,,,43.00M,43.00M,,,,3.10M,,,,,,,,-20.00M,145.30M,-74.70M,,,,0.00,-0.30M,-75.00M,-1.20M,-1.20M,,-72.00M,-72.00M,1.40M,0.50M,-71.30M,382.30M,-1.00M,-1.50M,379.80M,,,-1.20M,-72.00M,61.40M,0.60M
2012-04,116.10M,,,41.80M,41.80M,,,,20.90M,,,,,,,,-44.30M,134.50M,-65.40M,,,,0.00,,-65.40M,,,,-4.50M,-4.50M,5.90M,23.60M,25.00M,288.30M,94.10M,-0.10M,382.30M,,,,-4.50M,-61.40M,-0.60M
2012-01,187.90M,0.00,0.00,44.00M,44.00M,,,,-44.90M,,,,,,,,138.30M,367.80M,-53.30M,,,0.00,-11.00M,0.20M,-64.10M,,,,-300.00M,-300.00M,1.60M,4.80M,-295.60M,280.20M,8.10M,0.00,288.30M,,,,-300.00M,-469.60M,-5.70M
2011-10,104.50M,0.00,0.00,41.10M,41.10M,,,,8.80M,,,,,,,,-94.90M,59.50M,-75.50M,,,0.00,123.80M,,48.30M,,,,-249.50M,-249.50M,1.30M,0.00,-248.20M,421.60M,-140.40M,-1.00M,280.20M,,,,-249.50M,56.30M,0.50M
2011-07,94.90M,,,39.60M,39.60M,,,,16.70M,,,,,,,,-48.30M,102.90M,-63.00M,,,,15.20M,-0.40M,-48.20M,,,,-7.80M,-7.80M,4.10M,-0.70M,-4.40M,371.30M,50.30M,0.00,421.60M,,,,-7.80M,85.50M,0.60M
2011-04,101.00M,,,39.20M,39.20M,,,,23.80M,,,,,,,,-7.70M,156.30M,-58.30M,,,,35.80M,0.40M,-22.10M,,,,-88.60M,-88.60M,3.90M,9.70M,-75.00M,311.20M,59.20M,0.90M,371.30M,,,,-88.60M,59.50M,1.40M
2011-01,397.30M,,,42.10M,42.10M,,,,-244.00M,,,,,,,,134.60M,343.90M,-32.20M,,,,-106.70M,0.20M,-188.10M,,,,-141.20M,-141.20M,1.80M,1.10M,-153.40M,309.50M,2.40M,-0.70M,311.20M,,,,-141.20M,-388.60M,-11.40M
2010-10,,,,38.90M,38.90M,,,,107.40M,,,,,,,,-125.30M,21.00M,-56.60M,,,,-31.60M,0.00,-88.20M,,,,-55.10M,-55.10M,2.30M,0.20M,-52.60M,429.30M,-119.80M,0.00,309.50M,,,,-55.10M,48.40M,1.70M
2010-07,-63.60M,,,39.40M,39.40M,,,,141.60M,,,,,,,,0.60M,118.00M,-45.00M,,,,16.10M,-0.20M,-29.10M,,,,0.00,0.00,2.70M,-0.90M,1.80M,338.60M,90.70M,0.00,429.30M,,,,0.00,67.10M,1.60M
2010-04,63.60M,,,39.30M,39.30M,,,,26.30M,,,,,,,,-93.40M,35.80M,-45.10M,,,,-23.60M,,-68.70M,,,,-220.80M,-220.80M,13.30M,7.40M,-200.10M,571.60M,-233.00M,0.00,338.60M,,,,-220.80M,49.40M,1.60M
2010-01,135.00M,,,41.30M,41.30M,,,,-12.40M,,,,,,,,173.40M,358.40M,-51.00M,,,,-43.60M,,-94.60M,,,,-36.10M,-36.10M,1.80M,0.40M,-34.30M,342.10M,229.50M,,571.60M,,,,-36.10M,44.10M,1.60M
2009-10,68.20M,,,38.60M,38.60M,,,,17.20M,,,,,,,,-35.40M,88.60M,-45.80M,,,,0.00,,-45.80M,,,,-69.30M,-69.30M,9.60M,0.80M,-58.90M,358.20M,-16.10M,,342.10M,,,,-69.30M,24.40M,1.70M
2009-07,56.90M,,,39.10M,39.10M,,,,0.00,,,,,,,,-16.60M,79.40M,-33.90M,,,,-4.00M,,-37.90M,,,,-45.70M,-45.70M,5.20M,2.00M,-38.50M,355.20M,3.00M,,358.20M,,,,-45.70M,70.30M,1.60M
2009-04,60.40M,,,38.80M,38.80M,,,,2.00M,,,,,,,,-46.60M,54.60M,-34.10M,,,,-0.10M,,-34.20M,,,,-39.60M,-39.60M,9.30M,0.70M,-29.60M,364.40M,-9.20M,,355.20M,,,,-39.60M,44.70M,2.20M
2009-01,105.20M,,,41.90M,41.90M,,,,-22.70M,,,,,,,,175.50M,316.60M,-27.50M,,,,-10.10M,0.40M,-37.20M,,,,0.00,0.00,5.60M,2.00M,6.40M,78.60M,285.80M,,364.40M,,,,0.00,25.60M,1.90M
2008-10,43.10M,,,38.30M,38.30M,,,,7.30M,,,,,,,,-93.30M,-4.60M,-38.80M,,,,-0.30M,-0.10M,-39.20M,,,-8.80M,0.00,-8.80M,16.00M,0.60M,7.80M,114.60M,-36.00M,,78.60M,-8.80M,,,0.00,12.30M,2.50M
2008-07,37.60M,,,39.70M,39.70M,,,,6.60M,,,,,,,,-27.30M,56.60M,-32.70M,,,,-0.10M,-0.20M,-33.00M,,,8.80M,0.00,8.80M,-1.80M,-0.20M,6.80M,84.20M,30.40M,,114.60M,8.80M,,,0.00,58.20M,2.50M
2008-04,43.60M,,,41.80M,41.80M,,,,33.70M,,,,,,,,-84.60M,34.50M,-32.70M,,,,40.20M,-0.10M,7.40M,,,,0.00,0.00,1.80M,-0.10M,1.70M,40.60M,43.60M,,84.20M,,,,0.00,44.30M,2.80M
2008-01,94.70M,,,41.40M,41.40M,,,,25.00M,,,,,,,197.10M,171.90M,286.20M,-36.30M,,-36.30M,875.30M,-924.20M,,-85.20M,,-85.30M,1.30M,-105.90M,-104.60M,,-0.50M,-190.40M,30.00M,10.60M,,40.60M,1.30M,,,-105.90M,,
2007-10,35.90M,,,39.60M,39.60M,,,,-9.80M,,,,,,,-79.70M,-79.70M,-14.00M,-70.40M,,-70.40M,-875.30M,1.019B,4.80M,78.40M,,85.10M,5.00M,-169.10M,-164.10M,,1.10M,-77.90M,43.50M,-13.50M,,30.00M,5.00M,,,-169.10M,,
2007-07,32.60M,,,39.00M,39.00M,,,,-1.70M,,,,,,,-5.30M,-5.30M,64.60M,-49.10M,,-49.10M,,-15.20M,-4.80M,-69.10M,,-0.30M,27.40M,-44.70M,-17.30M,,5.80M,-11.80M,59.80M,-16.30M,,43.50M,27.40M,,,-44.70M,,
2007-04,38.10M,,,39.30M,39.30M,,,,5.80M,,,,,,,-52.70M,-52.70M,30.50M,-39.80M,,-39.80M,,93.00M,,53.20M,,-0.10M,37.90M,-153.30M,-115.40M,,6.60M,-108.90M,85.00M,-25.20M,,59.80M,37.90M,,,-153.30M,,
2007-01,97.60M,,,45.30M,45.30M,,,,24.20M,,,,,,,96.00M,176.90M,322.10M,-84.80M,,-84.80M,49.90M,-170.30M,,-205.20M,,-0.10M,8.10M,-100.00M,-91.90M,,2.00M,-90.00M,58.10M,26.90M,,85.00M,8.10M,,,-100.00M,,
2006-10,32.50M,,,39.60M,39.60M,,,,-4.50M,,,,,,,-82.30M,-82.30M,-14.70M,-56.00M,,-56.00M,0.00,70.70M,1.10M,15.80M,,0.00,17.50M,-11.80M,5.70M,,2.30M,8.00M,49.00M,9.10M,,58.10M,17.50M,,,-11.80M,,
2006-07,29.00M,,,37.80M,37.80M,,,,-2.40M,,,,,,,-36.50M,-36.50M,27.90M,-46.00M,,-46.00M,-3.30M,91.70M,-1.10M,41.30M,,-0.40M,4.40M,-88.60M,-84.20M,,0.20M,-84.40M,64.20M,-15.20M,,49.00M,4.40M,,,-88.60M,,
2006-04,32.90M,,,36.30M,36.30M,,,,-5.50M,,,,,,,13.80M,13.80M,77.50M,-42.60M,,-42.60M,-50.80M,50.80M,,-42.60M,,-0.10M,10.30M,-47.80M,-37.50M,,1.10M,-36.50M,65.80M,-1.60M,,64.20M,10.30M,,,-47.80M,,
2006-01,86.52M,,9.264M,36.72M,36.72M,,,,15.10M,,,,,,,68.69M,115.05M,241.15M,-21.05M,,-21.05M,,-269.32M,15.20M,-278.81M,,4.699M,3.567M,0.002M,3.569M,,,8.268M,95.20M,-29.40M,,65.83M,3.567M,,,0.002M,,
2005-10,31.10M,,,35.90M,35.90M,,,,-6.70M,,,,,,,-5.30M,-5.30M,55.00M,-43.70M,,-43.70M,,131.60M,-11.90M,76.00M,,-1.80M,1.50M,-50.00M,-48.50M,,,-50.30M,14.50M,80.70M,,95.20M,1.50M,,,-50.00M,,
2005-07,27.30M,,4.90M,35.60M,35.60M,,,,-8.40M,,,,,,,-21.60M,-21.60M,37.80M,-40.60M,,-40.60M,,-61.50M,14.80M,-87.30M,,-1.80M,2.40M,-2.10M,0.30M,,,-1.50M,65.50M,-51.00M,,14.50M,2.40M,,,-2.10M,,
2005-04,29.00M,,-4.90M,32.50M,32.50M,,,,,,,,,,,-25.40M,-25.40M,31.20M,-33.90M,,-33.90M,,106.60M,-18.10M,54.60M,,-1.70M,3.20M,-128.30M,-125.10M,,,-126.80M,106.50M,-41.00M,,65.50M,3.20M,,,-128.30M,,
2005-01,83.65M,,5.997M,32.71M,32.71M,,,,-27.69M,,159.81M,,,,,-34.83M,146.69M,256.93M,-33.83M,,-33.83M,,-201.28M,1.925M,-240.03M,,-2.035M,3.819M,0.00,3.819M,,,1.784M,87.84M,18.69M,,106.53M,3.819M,,,0.00,,
2004-10,31.85M,,-11.77M,33.76M,33.76M,,,,27.69M,,-126.61M,,,,,34.89M,-91.73M,-10.19M,-54.71M,,-54.71M,,112.30M,-1.674M,55.92M,,-1.224M,2.102M,-18.28M,-16.18M,,,-17.40M,59.51M,28.33M,,87.84M,2.102M,,,-18.28M,,
2004-07,29.59M,,7.838M,32.39M,32.39M,,,,,,-123.04M,,,,,35.14M,-87.90M,-18.08M,-38.06M,,-38.06M,,20.50M,0.00,-17.55M,,-1.173M,4.356M,-9.421M,-5.065M,,,-6.238M,101.38M,-41.87M,,59.51M,4.356M,,,-9.421M,,
2004-04,35.15M,,3.936M,30.43M,30.43M,,,,,,,,,,,-21.69M,-21.69M,47.83M,-55.19M,,-55.19M,,-58.32M,-0.251M,-113.75M,,99.20M,4.828M,-20.91M,-16.08M,,,83.12M,84.19M,17.19M,,101.38M,4.828M,,,-20.91M,,
2004-01,79.83M,,3.051M,33.00M,33.00M,1.748M,,,-0.001M,,138.04M,-1.484M,-53.88M,-0.746M,39.22M,,120.40M,238.02M,-58.18M,,-58.18M,-1.068M,-5.595M,0.108M,-64.74M,,-41.87M,2.588M,,-35.46M,,,-77.33M,67.14M,95.95M,,84.19M,2.588M,,,,,
2003-10,36.16M,,3.94M,26.16M,26.16M,7.052M,,,0.001M,,-149.82M,0.137M,70.93M,6.037M,2.012M,,-70.70M,2.604M,-79.41M,-0.001M,-79.41M,0.00,0.00,-3.052M,-82.46M,,36.97M,9.676M,,9.676M,,,46.65M,100.35M,-33.21M,,67.14M,9.676M,,,,,
2003-07,28.80M,,2.454M,24.77M,24.77M,6.824M,,,,,9.079M,-1.448M,6.071M,-6.735M,-12.41M,,-5.443M,57.40M,-35.83M,-0.028M,-35.86M,-99.56M,87.18M,,-48.24M,,-7.108M,8.417M,,8.417M,,,1.309M,89.87M,10.48M,,100.35M,8.417M,,,,,
2003-04,32.80M,,1.266M,23.17M,23.17M,4.057M,,,,,-58.46M,2.795M,-52.26M,-0.408M,-7.253M,,-115.59M,-54.30M,-63.34M,0.029M,-63.31M,,-23.66M,,-86.97M,,-7.657M,1.494M,,1.494M,,,-6.163M,237.30M,-147.43M,,89.87M,1.494M,,,,,
2002-12,86.98M,,0.096M,23.85M,23.85M,18.98M,,,,,176.21M,0.507M,-63.74M,-0.183M,42.73M,,157.53M,287.44M,-38.66M,0.202M,-38.46M,0.813M,-20.32M,-0.815M,-58.78M,,-1.118M,1.177M,,1.177M,,,0.059M,81.43M,228.72M,,213.29M,1.177M,,,,,
2002-09,19.88M,,2.379M,18.18M,18.18M,-1.442M,,,,,-152.53M,6.234M,38.71M,4.855M,12.30M,,-90.44M,-51.44M,-37.09M,-0.237M,-37.32M,0.00,11.00M,6.688M,-19.64M,,-0.968M,1.057M,,1.057M,,-6.654M,-6.565M,159.08M,-77.64M,,81.43M,1.057M,,,,,
2002-06,25.24M,,9.463M,17.88M,17.88M,0.567M,,,,,-9.496M,1.632M,-8.303M,-5.322M,-16.97M,,-38.46M,14.68M,-36.41M,-0.083M,-36.50M,-0.813M,-16.50M,0.813M,-53.00M,,-6.973M,23.32M,,23.32M,,0.00,16.35M,181.04M,-21.96M,,159.08M,23.32M,,,,,
2002-03,22.55M,,2.142M,15.72M,15.72M,-1.673M,,,,,-75.37M,-1.666M,34.69M,-0.349M,-32.54M,,-75.23M,-36.49M,-31.28M,0.334M,-30.95M,,,-0.813M,-31.76M,,-0.937M,6.921M,,6.921M,,6.654M,12.64M,236.65M,-55.61M,,181.04M,6.921M,,,,,
2001-12,76.09M,,1.169M,14.98M,14.98M,-2.672M,,,1.318M,,141.91M,2.451M,-67.07M,2.205M,21.56M,,119.24M,210.12M,-23.50M,0.05M,-23.45M,,,,-23.45M,,-0.901M,6.044M,-0.003M,6.041M,,,5.14M,44.84M,191.81M,,236.65M,6.044M,,,-0.003M,,
2001-09,14.55M,,3.188M,13.96M,13.96M,-1.536M,,,0.458M,,-103.77M,8.123M,41.03M,-1.66M,16.35M,,-39.93M,-9.306M,-35.23M,0.014M,-35.22M,,,,-35.22M,,-0.906M,3.373M,-3.772M,-0.399M,,,-1.305M,90.67M,-45.83M,,44.84M,3.373M,,,-3.772M,,
2001-06,21.66M,,-0.018M,12.99M,12.99M,-2.115M,,,-0.462M,,20.30M,-1.254M,12.76M,-0.316M,3.454M,,34.94M,66.99M,-36.51M,0.021M,-36.49M,,,,-36.49M,,-6.89M,1.077M,,1.077M,,,-5.813M,65.98M,24.69M,,90.67M,1.077M,,,,,
2001-03,10.78M,,1.455M,11.83M,11.83M,0.104M,,,0.004M,,-96.22M,1.274M,6.532M,-0.229M,-24.61M,,-113.25M,-89.08M,-26.32M,0.013M,-26.31M,,,,-26.31M,,-1.104M,1.311M,,1.311M,,,0.207M,181.17M,-115.18M,,65.98M,1.311M,,,,,
2000-12,64.67M,,-15.50M,13.08M,13.08M,-0.088M,,,,,91.37M,,-11.93M,-4.447M,60.27M,,135.26M,197.44M,-23.42M,0.072M,-23.35M,,,,-23.35M,,-17.80M,1.315M,,1.315M,,,-16.49M,23.95M,157.60M,,181.55M,1.315M,,,,,
2000-09,21.85M,,16.12M,10.64M,10.64M,-2.92M,,,,,-65.54M,,10.01M,-10.30M,-10.60M,,-76.42M,-30.73M,-27.09M,0.057M,-27.03M,,,,-27.03M,,16.07M,10.23M,,10.23M,,,26.30M,55.42M,-31.46M,,23.95M,10.23M,,,,,
2000-06,20.67M,,0.504M,10.39M,10.39M,-0.456M,,,,,-11.02M,,4.867M,-2.517M,-1.01M,,-9.682M,21.42M,-28.25M,0.077M,-28.17M,,,,-28.17M,,-33.50M,9.433M,,9.433M,,,-24.07M,81.17M,-30.82M,,55.42M,9.433M,,,,,
2000-03,14.82M,,-0.078M,7.862M,7.862M,0.17M,,,,,-80.66M,,0.71M,1.879M,-25.18M,,-103.24M,-80.47M,-16.28M,0.065M,-16.22M,,,,-16.22M,,-2.246M,3.586M,,3.586M,,,1.34M,176.51M,-95.35M,,81.17M,3.586M,,,,,
