,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2016-09,6.286B,,,1.407B,,1.407B,1.407B,274.00M,,4.982B,676.00M,1.941B,4.336B,,-16.98B,-10.03B,4.192B,,,,5.953B,-1.014B,-60.04B,16.92B,-780.00M,16.14B,,-2.295B,-2.295B,,,,-2.069B,-1.848B,57.54B,19.71B,1.694B,-14.00M,21.39B,,35.65B,-19.50B,-2.295B,549.00M,2.639B
2016-06,6.20B,,,1.336B,,1.336B,1.336B,-329.00M,,-1.749B,-7.292B,3.59B,-3.30B,,-1.382B,-8.384B,-1.524B,,,,7.131B,-738.00M,-17.48B,4.884B,-496.00M,4.388B,,-2.84B,-2.84B,,,,-2.174B,-72.00M,20.58B,18.21B,1.568B,-70.00M,19.71B,,19.85B,-15.46B,-2.84B,814.00M,2.154B
2016-03,5.52B,,,1.289B,,1.289B,1.289B,906.00M,,419.00M,-11.12B,124.00M,-7.464B,,-12.89B,-31.34B,-21.38B,,,,9.08B,162.00M,-34.58B,-842.00M,807.00M,-35.00M,,-1.696B,-1.696B,,,,-1.946B,-3.021B,53.58B,20.49B,-2.38B,102.00M,18.21B,,16.52B,-16.56B,-1.696B,447.00M,2.129B
2015-12,5.434B,,,1.273B,,1.273B,1.273B,1.863B,,-218.00M,11.25B,-9.941B,2.528B,,2.729B,6.564B,16.17B,,,,13.57B,789.00M,27.26B,-6.497B,-10.21B,-16.71B,,-1.219B,-1.219B,0.00,,0.00,-2.195B,-4.036B,-44.00B,21.26B,-573.00M,-195.00M,20.49B,0.00,9.368B,31.75B,-1.219B,2.552B,1.596B
2015-09,6.804B,,,1.248B,,1.248B,1.248B,-620.00M,,3.364B,11.26B,-3.988B,-6.947B,,13.32B,13.65B,25.12B,,,,10.27B,891.00M,2.251B,4.466B,-23.45B,-18.99B,,-1.248B,-1.248B,1.119B,,1.119B,-1.944B,-801.00M,-30.08B,24.10B,-2.709B,-128.00M,21.26B,1.119B,39.82B,-58.81B,-1.248B,1.038B,2.322B
2015-06,6.29B,,,1.238B,,1.238B,1.238B,57.00M,,-3.873B,181.00M,-2.95B,10.92B,,4.501B,12.65B,17.30B,,,,11.75B,79.00M,101.62B,8.183B,-12.28B,-4.093B,,-1.249B,-1.249B,3.382B,,3.382B,-1.964B,-374.00M,-117.77B,22.82B,1.151B,123.00M,24.10B,3.382B,2.029B,-6.122B,-1.249B,5.225B,1.701B
2015-03,5.914B,,,1.181B,,1.181B,1.181B,33.00M,,-1.356B,-27.00M,-6.482B,-10.20B,,24.86B,8.148B,14.88B,,,,10.39B,1.944B,-24.15B,6.212B,-11.88B,-5.673B,,-1.90B,-1.90B,1.392B,,1.392B,-1.77B,-1.147B,4.337B,27.83B,-4.934B,-76.00M,22.82B,1.392B,28.40B,-34.07B,-1.90B,608.00M,1.601B
2014-12,4.931B,48.00M,48.00M,1.186B,,1.186B,1.186B,2.468B,-1.681B,731.00M,4.156B,-3.283B,-19.01B,,38.36B,20.22B,28.75B,,,-24.00M,15.54B,2.22B,-70.01B,8.47B,4.875B,13.34B,,-1.51B,-1.51B,-1.00M,,-1.00M,-1.912B,3.604B,44.17B,25.37B,2.907B,-448.00M,27.83B,-1.00M,29.13B,-15.78B,-1.51B,939.00M,2.186B
2014-09,5.565B,-6.00M,-6.00M,1.147B,,1.147B,1.147B,-646.00M,539.00M,-2.545B,5.008B,7.608B,-8.953B,,-10.92B,-7.26B,-2.449B,,,43.00M,-11.50B,387.00M,2.308B,4.929B,-6.752B,-1.823B,,-1.489B,-1.489B,1.599B,,1.599B,-1.718B,1.229B,-1.375B,27.52B,-1.516B,-635.00M,25.37B,1.599B,11.04B,-12.86B,-1.489B,453.00M,2.001B
2014-06,5.98B,-12.00M,-12.00M,1.218B,,1.218B,1.218B,-292.00M,524.00M,2.026B,-3.711B,-538.00M,5.653B,,-15.91B,-14.51B,-4.371B,,,-19.00M,-7.254B,154.00M,-29.53B,-5.223B,4.633B,-590.00M,,-1.375B,-1.375B,3.354B,,3.354B,-1.806B,-2.305B,35.12B,26.32B,1.219B,-17.00M,27.52B,3.354B,19.04B,-19.63B,-1.375B,-270.00M,2.915B
2014-03,5.269B,-30.00M,-30.00M,1.208B,,1.208B,1.208B,2.832B,618.00M,6.097B,-9.09B,2.271B,13.14B,,-8.50B,-2.177B,14.67B,,,0.00,4.606B,-580.00M,-68.41B,5.064B,6.486B,11.55B,,-386.00M,-386.00M,3.895B,,3.895B,-1.554B,-4.13B,40.32B,39.77B,-13.42B,-25.00M,26.32B,3.895B,28.55B,-17.00B,-386.00M,270.00M,1.092B
2013-12,5.241B,659.00M,659.00M,1.69B,-444.00M,1.246B,1.246B,5.499B,-1.734B,-1.756B,1.147B,-23.28B,6.588B,,-632.00M,-16.17B,-6.914B,,,62.00M,2.945B,1.575B,38.60B,6.276B,958.00M,7.234B,,-299.00M,-299.00M,0.00,0.00,0.00,-1.782B,974.00M,-22.92B,30.66B,8.767B,340.00M,39.77B,0.00,14.20B,-6.965B,-299.00M,484.00M,2.298B
2013-09,-380.00M,-26.00M,-26.00M,1.511B,140.00M,1.651B,1.651B,473.00M,507.00M,440.00M,16.00B,-2.242B,1.188B,,9.319B,24.26B,26.38B,,,-17.00M,2.187B,-580.00M,-46.86B,-7.132B,-3.101B,-10.23B,,-740.00M,-740.00M,1.497B,-1.80B,-303.00M,-1.547B,-5.092B,21.14B,29.21B,662.00M,788.00M,30.66B,1.497B,5.188B,-15.42B,-2.54B,334.00M,2.54B
2013-06,6.496B,-124.00M,-124.00M,1.283B,152.00M,1.435B,1.435B,346.00M,586.00M,-1.587B,-6.796B,21.87B,-5.295B,,51.54B,61.32B,68.52B,,,-8.00M,3.252B,-932.00M,-86.79B,3.674B,1.594B,5.268B,,-1.172B,-1.172B,1.498B,,1.498B,-1.485B,-3.764B,1.928B,45.52B,-16.34B,32.00M,29.21B,1.498B,26.91B,-21.64B,-1.172B,2.335B,1.978B
2013-03,6.529B,-509.00M,-509.00M,822.00M,152.00M,974.00M,974.00M,1.821B,641.00M,-36.00M,-12.69B,-2.104B,-1.955B,,26.67B,9.927B,19.96B,,,-37.00M,268.00M,-891.00M,-55.46B,20.23B,3.333B,23.56B,,-2.578B,-2.578B,878.00M,,878.00M,-1.242B,-3.464B,28.18B,53.72B,-7.311B,-888.00M,45.52B,878.00M,40.03B,-16.47B,-2.578B,349.00M,2.757B
2012-12,5.692B,-102.00M,-102.00M,1.97B,-566.00M,1.404B,1.404B,375.00M,522.00M,-1.956B,2.415B,-10.48B,-2.878B,,-154.00M,-11.10B,-4.511B,,,-2.00M,-3.716B,-1.701B,-50.10B,8.638B,3.628B,12.27B,,0.00,0.00,0.00,0.00,0.00,-1.478B,4.828B,54.09B,53.34B,-529.00M,909.00M,53.72B,0.00,38.05B,-25.79B,0.00,501.00M,2.381B
2012-09,5.708B,-458.00M,-458.00M,1.112B,182.00M,1.294B,1.294B,-715.00M,582.00M,1.204B,5.289B,-5.352B,1.607B,,-27.61B,-26.06B,-16.66B,,,0.00,-4.956B,-357.00M,-3.759B,2.14B,6.775B,8.915B,,0.00,0.00,1.234B,0.00,1.234B,-1.223B,1.435B,28.75B,44.87B,8.336B,141.00M,53.34B,1.234B,30.29B,-21.38B,0.00,705.00M,2.975B
2012-06,4.96B,-1.014B,-1.014B,1.026B,191.00M,1.217B,1.217B,1.914B,609.00M,1.634B,-2.872B,2.415B,-2.253B,,35.16B,32.45B,41.98B,,,120.00M,24.75B,-895.00M,-20.60B,-18.79B,-5.354B,-24.15B,,-1.437B,-1.437B,0.00,,0.00,-1.469B,-7.765B,-30.48B,55.38B,-9.102B,-1.415B,44.87B,0.00,8.449B,-32.60B,-1.437B,844.00M,2.755B
2012-03,4.924B,-536.00M,-536.00M,1.039B,193.00M,1.232B,1.232B,-444.00M,832.00M,-5.319B,-3.10B,353.00M,-1.159B,,6.757B,2.851B,4.266B,,,-30.00M,-11.12B,-447.00M,-45.36B,-2.186B,4.266B,2.08B,,-216.00M,-216.00M,0.00,,0.00,-1.024B,1.913B,35.35B,59.60B,-5.744B,1.525B,55.38B,0.00,18.79B,-16.71B,-216.00M,,3.05B
2011-12,3.728B,-47.00M,-1.981B,1.081B,207.00M,1.288B,1.288B,2.176B,580.00M,2.487B,10.60B,2.817B,3.342B,-23.01B,25.20B,18.95B,29.41B,,,65.00M,-37.29B,-63.00M,-1.085B,-15.67B,-6.615B,-22.28B,,-8.863B,-8.863B,,,0.00,-1.269B,7.421B,-24.66B,56.77B,3.67B,-834.00M,59.60B,,16.82B,-25.26B,-8.863B,2.383B,2.98B
2011-09,4.262B,-607.00M,520.00M,1.053B,212.00M,1.265B,1.265B,-1.162B,538.00M,-1.487B,8.202B,19.39B,-19.97B,30.64B,-36.82B,1.446B,7.793B,,,51.00M,-16.87B,-6.00M,-23.86B,-6.289B,1.176B,-5.113B,,3.575B,3.575B,,,0.00,-1.061B,-5.933B,43.04B,30.47B,26.97B,-673.00M,56.77B,,8.398B,-14.69B,3.575B,1.017B,3.201B
2011-06,5.431B,-837.00M,1.117B,1.066B,212.00M,1.278B,1.278B,893.00M,727.00M,2.316B,-1.10B,10.60B,-2.501B,6.252B,37.88B,51.13B,64.70B,,,1.00M,20.62B,6.00M,-80.00B,4.917B,-625.00M,4.292B,,-3.48B,-3.48B,,,,-1.319B,-828.00M,22.00B,23.47B,6.704B,293.00M,30.47B,,19.80B,-14.88B,-3.48B,4.037B,3.926B
2011-03,5.555B,-102.00M,-1.249B,1.057B,217.00M,1.274B,1.274B,-214.00M,830.00M,4.372B,-9.051B,2.396B,3.673B,-13.88B,-855.00M,-17.72B,-5.979B,,,-15.00M,-13.28B,,-65.81B,-10.19B,13.29B,3.10B,,-95.00M,-95.00M,,,,-246.00M,-496.00M,67.33B,27.57B,-4.461B,363.00M,23.47B,,17.06B,-27.25B,-95.00M,716.00M,3.618B
2010-12,4.831B,-1.253B,-5.679B,1.04B,240.00M,1.28B,1.28B,800.00M,724.00M,1.072B,-6.916B,13.94B,16.43B,-49.22B,20.80B,-4.96B,1.111B,,,-264.00M,12.64B,-1.373B,33.28B,-1.291B,-4.675B,-5.966B,,-2.999B,-2.999B,,0.00,0.00,-484.00M,5.67B,-30.64B,23.96B,3.748B,-141.00M,27.57B,,16.10B,-24.26B,-2.999B,1.341B,3.431B
2010-09,4.418B,-102.00M,209.00M,1.055B,218.00M,1.273B,1.273B,-1.201B,753.00M,11.38B,-1.911B,4.449B,-10.20B,29.82B,-92.80B,-70.65B,-50.59B,,,-4.64B,-19.11B,-431.00M,-52.95B,-5.041B,-1.231B,-6.272B,,135.00M,135.00M,,-352.00M,-352.00M,-257.00M,-2.135B,93.75B,32.81B,-9.792B,946.00M,23.96B,,18.19B,-23.23B,-217.00M,3.045B,2.61B
2010-06,4.795B,-1.00B,1.812B,973.00M,235.00M,1.208B,1.208B,-527.00M,833.00M,-1.798B,-7.375B,7.171B,-13.93B,4.369B,28.41B,18.65B,28.33B,,,-2.00M,36.28B,1.175B,87.54B,-19.76B,-10.06B,-29.83B,,-135.00M,-135.00M,,,,-492.00M,130.00M,-114.35B,31.42B,1.522B,-138.00M,32.81B,,8.542B,-28.30B,-135.00M,3.133B,3.513B
2010-03,3.326B,-610.00M,693.00M,961.00M,243.00M,1.204B,1.204B,-40.00M,941.00M,-1.351B,16.64B,-8.237B,-4.746B,15.03B,-13.08B,5.611B,17.39B,,,-4.00M,2.051B,515.00M,-13.86B,-17.77B,9.102B,-8.667B,,,0.00,,,,-253.00M,-2.879B,2.023B,26.21B,5.555B,-339.00M,31.42B,,12.35B,-30.12B,,2.228B,2.85B
2009-12,3.278B,-381.00M,2.077B,1.356B,256.00M,1.612B,1.612B,-1.368B,920.00M,-1.034B,-7.453B,-5.929B,5.572B,-19.88B,26.84B,-856.00M,11.91B,,,-157.00M,12.73B,-95.00M,-8.24B,-16.09B,2.163B,-13.93B,0.00,-25.00B,-25.00B,,25.00B,25.00B,-489.00M,-116.00M,1.479B,21.07B,5.152B,-14.00M,26.21B,0.00,8.60B,44.67B,0.00,1.323B,5.12B
2009-09,3.588B,-184.00M,2.481B,743.00M,254.00M,997.00M,997.00M,22.00M,763.00M,8.721B,1.582B,-5.667B,9.263B,2.32B,-24.55B,-17.05B,7.625B,,,78.00M,8.26B,14.16B,1.33B,-4.18B,-15.67B,-19.85B,0.00,25.00B,25.00B,,-25.00B,-25.00B,-252.00M,-3.302B,-13.31B,25.13B,-4.355B,290.00M,21.07B,0.00,4.645B,-24.50B,0.00,274.00M,3.292B
2009-06,2.721B,-347.00M,5.86B,798.00M,265.00M,1.063B,1.063B,-1.07B,884.00M,3.587B,-9.161B,6.243B,14.05B,-29.01B,49.31B,31.43B,52.50B,,,73.00M,-9.153B,-8.993B,32.64B,4.089B,-28.67B,-24.58B,5.756B,-25.00B,-19.24B,,,,-849.00M,-1.204B,-86.94B,26.68B,-1.797B,249.00M,25.13B,5.756B,20.33B,-44.91B,-25.00B,3.119B,2.933B
2009-03,2.141B,-198.00M,-43.00M,411.00M,275.00M,686.00M,686.00M,-1.206B,788.00M,-5.107B,8.72B,-21.10B,3.671B,-32.74B,86.35B,44.90B,50.76B,,,-91.00M,-126.01B,5.399B,3.626B,-934.00M,-25.02B,-25.95B,,,,,,,-1.832B,-1.561B,-54.31B,26.90B,73.00M,-287.00M,26.68B,,17.75B,-43.70B,,718.00M,5.53B
2008-12,702.00M,-257.00M,232.00M,830.00M,326.00M,1.156B,1.156B,337.00M,552.00M,1.134B,43.70B,-78.08B,-16.75B,34.10B,-3.707B,-20.73B,-9.307B,,,28.82B,24.40B,-26.69B,-64.14B,12.43B,-49.34B,-36.91B,0.00,,0.00,25.00B,,25.00B,-1.884B,-3.747B,46.15B,54.35B,-27.30B,-152.00M,26.90B,25.00B,-33.69B,-12.40B,,-2.831B,-27.55B
2008-09,527.00M,-623.00M,651.00M,810.00M,305.00M,1.115B,1.115B,-1.835B,697.00M,-18.81B,-36.51B,80.76B,-8.753B,-23.43B,8.23B,20.30B,8.432B,,,1.718B,-81.01B,281.00M,-165.45B,-10.93B,68.55B,57.62B,11.50B,,11.50B,1.746B,,1.746B,-1.364B,874.00M,179.73B,32.26B,22.72B,-621.00M,54.35B,13.25B,67.92B,-10.29B,,567.00M,8.09B
2008-06,2.003B,-2.187B,-816.00M,1.503B,632.00M,1.212B,1.212B,-730.00M,1.388B,-4.928B,3.031B,-1.669B,-8.122B,13.38B,-1.902B,20.39B,26.40B,,,-358.00M,13.21B,47.10B,14.41B,6.185B,-47.54B,-41.36B,,,156.00M,6.00B,,6.00B,-1.344B,405.00M,-55.34B,46.89B,-14.53B,-105.00M,32.26B,6.00B,18.68B,-22.52B,,2.264B,19.46B
2008-03,2.373B,-33.00M,-33.00M,,,923.00M,923.00M,-409.00M,,10.39B,,,,,,-15.67B,-2.423B,,,802.00M,-47.67B,-21.62B,-68.49B,2.026B,37.52B,39.54B,,,-156.00M,,,,-1.319B,481.00M,77.29B,40.14B,6.373B,371.00M,46.89B,,19.51B,-17.48B,,,
2007-12,2.971B,-148.00M,-148.00M,,,1.061B,1.061B,1.825B,,6.485B,,,,,,-41.44B,-29.25B,,,0.00,13.61B,-45.41B,-31.80B,50.46B,-52.67B,-2.208B,,,-1.686B,,,,-1.316B,1.883B,68.30B,32.77B,7.261B,117.00M,40.14B,,59.43B,-8.968B,,,
2007-09,3.373B,-237.00M,-237.00M,,,957.00M,957.00M,-381.00M,,8.694B,,,,,,-27.36B,-14.96B,,,0.00,-32.35B,19.35B,-13.00B,14.17B,-16.34B,-2.169B,,,-1.92B,,,,-1.331B,534.00M,25.10B,35.45B,-2.859B,176.00M,32.77B,,24.25B,-10.08B,,,
2007-06,4.234B,223.00M,873.00M,,,927.00M,927.00M,-1.191B,,1.323B,,,,,,-21.00B,-14.84B,,,-70.00M,40.17B,-56.57B,-16.47B,14.16B,-3.902B,10.25B,,,-1.228B,,,,-1.197B,139.00M,34.84B,31.84B,3.527B,86.00M,35.45B,,29.64B,-15.48B,,,
2007-03,4.787B,-2.00M,-652.00M,,,876.00M,876.00M,1.054B,,1.68B,,,,,,-59.26B,-51.52B,,,,-9.217B,-2.629B,-11.85B,8.351B,65.08B,73.43B,,,-3.344B,,,,-1.207B,472.00M,54.74B,40.41B,-8.621B,45.00M,31.84B,,23.23B,-14.88B,,,
2006-12,4.526B,236.00M,-900.00M,,,997.00M,997.00M,-3.613B,,1.883B,,,,,,-17.41B,-14.52B,,,-467.00M,30.84B,-24.38B,5.995B,4.257B,-23.86B,-19.60B,,,-537.00M,,,0.00,-1.209B,274.00M,12.62B,36.28B,4.102B,31.00M,40.41B,,13.36B,-9.104B,,,
2006-09,3.297B,-121.00M,-121.00M,,,860.00M,860.00M,173.00M,,10.21B,,,,,,4.254B,18.68B,,,1.315B,-12.56B,-20.22B,-31.46B,2.756B,18.42B,21.17B,,,-409.00M,,,0.00,-1.209B,3.707B,10.69B,38.39B,-2.098B,-13.00M,36.28B,,11.19B,-8.434B,,,
2006-06,3.54B,312.00M,396.00M,,,883.00M,883.00M,1.076B,,-5.873B,,,,,,-35.59B,-35.57B,,,0.00,-17.38B,-21.30B,-38.69B,12.40B,53.40B,65.81B,,,-296.00M,,,-139.00M,-1.213B,-24.04B,75.62B,36.90B,1.36B,127.00M,38.39B,,19.82B,-7.413B,,,
2006-03,3.081B,116.00M,32.00M,,,837.00M,837.00M,554.00M,,1.892B,,,,,,-24.56B,-18.17B,,,-663.00M,-39.88B,5.064B,-35.47B,3.038B,943.00M,3.981B,,,-1.037B,,,,-1.215B,26.61B,53.82B,36.67B,179.00M,54.00M,36.90B,,12.35B,-9.316B,,,
2005-12,2.698B,540.00M,-659.00M,,,1.063B,1.063B,-1.26B,,1.38B,,,,,,7.499B,10.72B,,,-536.00M,25.41B,-34.55B,-9.684B,7.054B,-24.78B,-17.73B,,,-948.00M,,,200.00M,-1.209B,3.064B,2.64B,33.04B,3.677B,-43.00M,36.67B,,11.73B,-4.672B,,,
2005-09,2.527B,79.00M,79.00M,,,1.034B,1.034B,507.00M,,7.407B,,,,,,-14.37B,-2.814B,,,-90.00M,-2.943B,-6.486B,-9.519B,749.00M,12.06B,12.81B,,,-209.00M,,,-200.00M,-1.22B,369.00M,10.40B,35.09B,-1.93B,-126.00M,33.04B,,8.927B,-8.178B,,,
2005-06,994.00M,-105.00M,96.00M,,,1.056B,1.056B,-1.50B,,-5.029B,,,,,,-22.22B,-26.61B,,,-109.00M,15.01B,-1.976B,12.92B,3.142B,11.93B,15.08B,,,-647.00M,,,,-1.222B,-8.848B,11.28B,37.59B,-2.404B,-97.00M,35.09B,,7.272B,-4.13B,,,
2005-03,2.264B,822.00M,621.00M,,,1.165B,1.165B,462.00M,,992.00M,,,,,,-17.04B,-11.54B,,,-304.00M,-13.84B,7.48B,-6.662B,5.893B,1.543B,7.436B,,,-1.126B,,,,-1.227B,9.283B,20.74B,35.17B,2.546B,-121.00M,37.59B,,15.80B,-9.903B,,,
