,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,24.83B,414.81B,,414.81B,72.66B,,72.66B,735.08B,14.38B,47.50B,7.034B,54.53B,934.42B,13.38B,,921.05B,650.47B,1.759T,2.610T,192.30B,,192.30B,192.30B,27.49B,,27.49B,27.49B,398.87B,274.45B,274.45B,1.487T,,1.898T,2.354T,30.17B,183.86B,89.21B,45.95B,26.07B,,,-1.063B,256.20B
2017-12,25.90B,431.30B,,431.30B,67.73B,,67.73B,697.46B,14.16B,,,54.39B,930.70B,13.60B,,917.09B,631.80B,1.731T,2.534T,102.73B,86.66B,189.38B,189.38B,,51.80B,51.80B,51.80B,400.10B,284.08B,284.08B,1.444T,,1.852T,2.278T,30.17B,177.68B,90.58B,42.60B,26.07B,,,-119.00M,255.69B
2017-09,21.99B,457.80B,,457.80B,61.76B,,61.76B,705.02B,14.22B,47.31B,6.546B,53.86B,913.76B,13.54B,,900.22B,683.71B,1.756T,2.563T,196.76B,,196.76B,196.76B,24.25B,,24.25B,24.25B,390.40B,288.58B,288.58B,1.439T,,1.856T,2.305T,30.17B,175.83B,90.70B,37.98B,26.07B,,,-309.00M,258.38B
2017-06,21.78B,449.16B,,449.16B,64.04B,,64.04B,731.77B,14.21B,47.30B,6.58B,53.88B,908.77B,13.36B,,895.40B,670.52B,1.741T,2.563T,189.16B,,189.16B,189.16B,22.21B,,22.21B,22.21B,376.99B,292.97B,292.97B,1.439T,,1.866T,2.305T,30.17B,171.49B,90.60B,33.37B,26.07B,,,-392.00M,258.48B
2017-03,20.48B,460.40B,,460.40B,60.04B,,60.04B,711.00B,14.23B,47.29B,6.926B,54.22B,895.97B,13.41B,,882.56B,684.36B,1.743T,2.546T,183.20B,,183.20B,183.20B,14.91B,,14.91B,14.91B,381.42B,289.49B,289.49B,1.423T,,1.848T,2.290T,30.17B,166.66B,90.40B,30.42B,26.07B,,,-923.00M,255.86B
2016-12,23.87B,389.64B,,389.64B,52.33B,,52.33B,736.01B,14.13B,47.29B,6.958B,54.25B,894.76B,13.78B,,880.99B,597.11B,1.659T,2.491T,109.84B,80.70B,190.54B,190.54B,11.74B,,11.74B,11.74B,367.95B,295.24B,295.24B,1.375T,,1.807T,2.237T,30.17B,162.44B,91.63B,28.85B,26.07B,,,-1.175B,254.19B
2016-09,21.39B,417.59B,,417.59B,64.33B,,64.33B,714.56B,14.21B,47.30B,5.824B,53.13B,888.05B,14.20B,,873.85B,647.24B,1.697T,2.521T,190.41B,,190.41B,190.41B,12.26B,,12.26B,12.26B,371.16B,309.42B,309.42B,1.376T,,1.829T,2.267T,30.17B,157.87B,92.10B,27.27B,26.07B,,,1.474B,254.33B
2016-06,19.71B,365.30B,,365.30B,64.91B,,64.91B,667.48B,14.26B,47.30B,5.989B,53.29B,872.80B,14.23B,,858.58B,659.40B,1.695T,2.466T,184.64B,,184.64B,184.64B,17.28B,,17.28B,17.28B,367.96B,295.63B,295.63B,1.331T,,1.786T,2.214T,30.17B,153.75B,91.97B,25.07B,26.07B,,,1.618B,252.42B
2016-03,18.21B,378.41B,,378.41B,57.65B,,57.65B,659.28B,14.20B,47.31B,6.598B,53.91B,847.31B,13.99B,,833.32B,651.48B,1.662T,2.424T,176.93B,,176.93B,176.93B,17.49B,,17.49B,17.49B,355.42B,290.75B,290.75B,1.322T,,1.760T,2.174T,30.17B,149.73B,91.78B,22.29B,26.07B,,,782.00M,250.16B
2015-12,20.49B,360.50B,,360.50B,46.60B,,46.60B,619.68B,14.36B,47.32B,7.623B,54.95B,837.30B,13.56B,,823.74B,634.67B,1.633T,2.352T,177.64B,,177.64B,177.64B,15.56B,,15.56B,15.56B,345.88B,288.65B,288.65B,1.280T,,1.695T,2.104T,30.17B,146.42B,92.50B,21.69B,26.07B,,,192.00M,247.57B
2015-09,21.26B,397.45B,,397.45B,57.93B,,57.93B,673.85B,14.71B,47.40B,7.752B,55.16B,809.46B,13.47B,,795.99B,668.37B,1.638T,2.417T,187.99B,,187.99B,187.99B,19.66B,,19.66B,19.66B,387.96B,292.94B,292.94B,1.273T,,1.708T,2.171T,30.17B,143.05B,92.32B,20.54B,26.07B,,,751.00M,245.73B
2015-06,24.10B,422.90B,,422.90B,69.64B,,69.64B,705.39B,15.07B,47.48B,8.662B,56.14B,791.25B,13.92B,,777.33B,695.66B,1.646T,2.450T,191.75B,,191.75B,191.75B,42.24B,,42.24B,42.24B,414.88B,286.69B,286.69B,1.287T,,1.713T,2.208T,29.02B,138.29B,92.20B,19.40B,24.92B,,,1.102B,241.20B
2015-03,22.82B,529.20B,,529.20B,70.01B,,70.01B,900.13B,14.96B,47.45B,7.769B,55.22B,764.18B,14.06B,,750.12B,648.54B,1.569T,2.577T,202.16B,,202.16B,202.16B,55.66B,,55.66B,55.66B,454.39B,280.61B,280.61B,1.368T,,1.807T,2.341T,25.60B,134.05B,92.24B,18.44B,21.49B,,,2.43B,235.86B
2014-12,27.83B,512.31B,,512.31B,70.08B,,70.08B,798.19B,15.13B,47.65B,8.628B,56.28B,757.34B,14.18B,,743.15B,746.99B,1.664T,2.572T,206.94B,,206.94B,206.94B,66.34B,,66.34B,66.34B,465.38B,276.38B,276.38B,1.363T,,1.793T,2.341T,24.17B,129.98B,93.27B,17.86B,20.06B,,,2.189B,231.73B
2014-09,25.37B,439.68B,,439.68B,75.50B,,75.50B,801.98B,15.18B,47.97B,9.51B,57.48B,743.26B,14.89B,,728.37B,704.56B,1.606T,2.527T,211.06B,,211.06B,211.06B,59.96B,,59.96B,59.96B,469.76B,268.72B,268.72B,1.335T,,1.747T,2.296T,24.17B,127.23B,93.06B,16.43B,20.06B,,,3.266B,231.28B
2014-06,27.52B,421.43B,,421.43B,77.10B,,77.10B,746.68B,15.22B,48.11B,9.686B,57.80B,746.98B,15.33B,,731.66B,754.46B,1.660T,2.520T,203.88B,,203.88B,203.88B,63.80B,,63.80B,63.80B,484.25B,269.93B,269.93B,1.320T,,1.728T,2.293T,22.57B,123.50B,92.88B,15.05B,18.46B,,,3.438B,227.31B
2014-03,26.32B,398.85B,,398.85B,73.12B,,73.12B,737.14B,14.92B,48.06B,10.04B,58.11B,730.97B,15.85B,,715.12B,727.05B,1.618T,2.477T,202.50B,,202.50B,202.50B,60.82B,,60.82B,60.82B,480.77B,274.51B,274.51B,1.283T,,1.698T,2.257T,19.19B,119.32B,92.62B,13.73B,15.08B,,,2.276B,219.66B
2013-12,39.77B,355.82B,,355.82B,65.16B,,65.16B,734.86B,14.89B,48.08B,11.23B,59.31B,738.42B,16.26B,,722.15B,662.91B,1.569T,2.416T,194.49B,,194.49B,194.49B,57.85B,,57.85B,57.85B,433.50B,267.89B,267.89B,1.288T,,1.693T,2.205T,15.26B,115.76B,93.83B,14.85B,11.16B,,,1.199B,211.18B
2013-09,30.66B,402.11B,,402.11B,66.27B,,66.27B,771.08B,14.88B,48.10B,11.31B,59.41B,728.68B,17.57B,,711.11B,673.12B,1.570T,2.463T,212.28B,,212.28B,212.28B,53.74B,,53.74B,53.74B,484.75B,263.37B,263.37B,1.281T,,1.693T,2.257T,15.26B,112.14B,93.56B,14.65B,11.16B,,,390.00M,206.67B
2013-06,29.21B,340.53B,,340.53B,81.56B,,81.56B,674.60B,14.57B,48.06B,11.29B,59.34B,725.59B,19.38B,,706.20B,756.20B,1.648T,2.439T,211.43B,,211.43B,211.43B,56.63B,,56.63B,56.63B,527.02B,266.21B,266.21B,1.203T,,1.618T,2.230T,15.56B,114.22B,93.42B,14.07B,11.46B,,,136.00M,209.24B
2013-03,45.52B,303.16B,,303.16B,74.21B,,74.21B,666.32B,14.54B,48.07B,10.03B,58.10B,728.89B,20.78B,,708.11B,726.13B,1.609T,2.389T,193.09B,,193.09B,193.09B,58.84B,,58.84B,58.84B,500.17B,268.36B,268.36B,1.203T,,1.597T,2.182T,14.06B,109.40B,93.16B,13.01B,9.958B,,,3.491B,207.09B
2012-12,53.72B,175.54B,,175.54B,60.93B,,60.93B,607.75B,14.52B,48.18B,9.849B,58.02B,733.80B,21.94B,,711.86B,746.20B,1.632T,2.359T,195.24B,,195.24B,195.24B,55.37B,,55.37B,55.37B,490.71B,249.02B,249.02B,1.194T,,1.575T,2.155T,13.16B,104.22B,94.60B,12.00B,9.058B,,,4.102B,204.07B
2012-09,,157.69B,,157.69B,,,62.99B,502.67B,14.27B,48.18B,9.721B,57.90B,721.95B,22.82B,,699.12B,812.95B,1.685T,2.321T,,,,203.04B,55.47B,,55.47B,55.47B,515.73B,241.14B,241.14B,1.140T,,1.526T,2.122T,13.16B,99.89B,94.43B,12.18B,9.058B,,,4.426B,199.69B
2012-06,,175.25B,,175.25B,,,67.94B,498.38B,14.21B,48.13B,9.931B,58.06B,727.57B,23.79B,,703.78B,771.92B,1.654T,2.290T,,,,207.13B,50.56B,,50.56B,50.56B,519.35B,261.23B,261.23B,1.116T,,1.524T,2.099T,11.90B,95.52B,94.20B,12.29B,7.80B,,,2.272B,191.57B
2012-03,,170.41B,,170.41B,,,64.83B,475.73B,14.21B,48.21B,11.07B,59.28B,720.97B,25.87B,,695.10B,837.74B,1.709T,2.320T,,,,204.15B,50.58B,,50.58B,50.58B,505.21B,255.83B,255.83B,1.129T,,1.530T,2.131T,11.90B,92.35B,94.07B,11.20B,7.80B,,,2.645B,189.73B
2011-12,59.60B,144.88B,,144.88B,61.48B,,61.48B,534.15B,14.04B,48.19B,10.43B,58.62B,723.72B,27.61B,,696.11B,716.28B,1.589T,2.266T,202.90B,,202.90B,202.90B,51.63B,,51.63B,51.63B,468.06B,256.78B,256.78B,1.128T,,1.526T,2.082T,11.90B,88.32B,95.60B,13.16B,7.80B,,,944.00M,183.57B
2011-09,,185.64B,,185.64B,,,72.08B,505.76B,13.81B,48.18B,11.23B,59.41B,696.85B,28.35B,,668.50B,339.35B,1.652T,2.289T,199.77B,,199.77B,199.77B,51.07B,,51.07B,51.07B,489.43B,273.69B,273.69B,1.093T,,1.522T,2.107T,11.90B,85.73B,95.08B,12.33B,7.80B,,,1.964B,182.29B
2011-06,,200.35B,,200.35B,,,80.29B,494.00B,13.68B,48.88B,15.92B,64.80B,689.74B,28.52B,,661.22B,324.74B,1.631T,2.247T,,,,184.49B,51.16B,30.21B,81.37B,81.37B,519.98B,279.23B,279.23B,1.049T,,1.476T,2.064T,11.90B,82.61B,95.06B,8.284B,7.80B,,,1.638B,182.88B
2011-03,,104.31B,,104.31B,,,79.24B,400.90B,13.42B,48.86B,16.95B,65.81B,686.00B,29.75B,,656.25B,334.80B,1.678T,2.198T,171.64B,,171.64B,171.64B,46.02B,36.70B,82.73B,82.73B,539.81B,269.62B,269.62B,995.83B,,1.407T,2.018T,11.90B,78.34B,94.66B,4.968B,7.80B,,,712.00M,180.60B
2010-12,,49.24B,,49.24B,,,70.15B,341.94B,13.36B,48.85B,17.69B,66.54B,692.93B,32.27B,,660.66B,806.23B,1.652T,2.118T,170.33B,,170.33B,170.33B,35.36B,,35.36B,35.36B,482.34B,304.98B,304.98B,930.37B,,1.382T,1.941T,11.90B,74.00B,97.42B,8.16B,7.80B,,,1.001B,176.11B
2010-06,,72.24B,,72.24B,,,61.30B,332.56B,11.27B,48.32B,16.03B,64.35B,699.48B,35.84B,,663.65B,709.52B,1.559T,2.014T,160.48B,,160.48B,160.48B,41.08B,,41.08B,41.08B,439.02B,293.05B,293.05B,887.80B,,1.316T,1.843T,12.26B,65.46B,96.74B,5.683B,8.152B,,,2.404B,171.12B
2010-03,,90.44B,,90.44B,,,53.99B,374.55B,11.12B,48.36B,19.91B,68.27B,713.80B,38.19B,,675.61B,770.50B,1.635T,2.136T,154.18B,,154.18B,154.18B,50.55B,,50.55B,50.55B,499.91B,311.84B,311.84B,925.30B,,1.378T,1.971T,12.26B,61.04B,96.45B,5.722B,8.152B,,,761.00M,164.72B
2009-12,,89.44B,,89.44B,,,67.43B,352.27B,11.12B,48.36B,20.15B,68.51B,633.46B,31.60B,,601.86B,771.52B,1.560T,2.032T,162.70B,,162.70B,162.70B,41.79B,,41.79B,41.79B,465.90B,322.06B,322.06B,938.37B,,1.385T,1.867T,12.26B,62.48B,97.98B,7.196B,8.152B,,,-91.00M,165.36B
2009-09,,80.69B,,80.69B,,,59.95B,311.65B,10.68B,48.33B,18.52B,66.86B,653.14B,30.63B,,622.51B,797.30B,1.601T,2.041T,171.39B,,171.39B,171.39B,53.92B,,53.92B,53.92B,535.52B,322.95B,322.95B,867.98B,,1.325T,1.879T,12.26B,59.57B,97.56B,7.338B,8.152B,,,283.00M,162.25B
2009-06,,87.02B,,87.02B,,,61.30B,307.49B,10.67B,48.29B,19.68B,67.97B,680.60B,29.07B,,651.53B,741.19B,1.590T,2.027T,171.68B,,171.68B,171.68B,42.71B,,42.71B,42.71B,515.33B,345.91B,345.91B,866.48B,,1.336T,1.872T,12.26B,56.36B,97.66B,7.984B,8.152B,,,-3.438B,154.77B
2009-03,,116.55B,,116.55B,,,52.17B,325.95B,10.34B,48.20B,15.98B,64.18B,708.24B,27.38B,,680.86B,763.56B,1.625T,2.079T,165.52B,,165.52B,165.52B,33.08B,,33.08B,33.08B,478.44B,374.10B,374.10B,906.97B,,1.421T,1.909T,35.94B,55.49B,91.47B,8.121B,31.99B,,,-4.49B,170.19B
2008-12,,165.03B,,165.03B,60.99B,,60.99B,429.14B,10.04B,48.03B,14.98B,63.01B,744.90B,23.16B,,721.73B,715.93B,1.622T,2.175T,,,,187.98B,37.84B,,37.84B,37.84B,418.37B,270.68B,270.68B,1.009T,,1.447T,2.008T,35.88B,54.01B,92.14B,9.249B,31.94B,,,-5.687B,166.88B
2008-09,,88.72B,,88.72B,104.23B,,104.23B,426.62B,9.962B,,,68.65B,761.38B,19.05B,,742.33B,823.09B,1.825T,2.251T,,,260.56B,260.56B,,222.31B,222.31B,222.31B,706.94B,255.43B,255.43B,969.78B,11.44B,1.225T,2.094T,12.09B,55.22B,90.54B,9.509B,8.152B,,,-2.494B,145.84B
2008-06,,49.40B,,49.40B,64.29B,,64.29B,289.99B,10.33B,,,63.27B,538.03B,13.25B,,524.78B,794.02B,1.486T,1.776T,,,171.00B,171.00B,,72.74B,72.74B,72.74B,438.47B,277.46B,277.46B,722.90B,20.07B,1.000T,1.622T,9.658B,56.31B,78.87B,9.83B,6.00B,,,-1.835B,133.18B
2008-03,,59.30B,,59.30B,50.99B,,50.99B,313.47B,9.457B,,,60.07B,537.06B,11.75B,,525.31B,667.94B,1.329T,1.643T,,,106.09B,106.09B,,79.03B,79.03B,79.03B,377.75B,205.37B,205.37B,761.63B,14.52B,966.99B,1.503T,3.658B,55.76B,78.07B,11.35B,,,,-512.00M,125.63B
2007-12,,51.61B,,51.61B,24.82B,,24.82B,247.33B,9.319B,,,60.00B,519.37B,9.234B,,510.14B,661.04B,1.315T,1.562T,,,94.48B,94.48B,,49.60B,49.60B,49.60B,298.47B,227.84B,227.84B,740.73B,14.02B,968.57B,1.425T,3.658B,54.72B,78.60B,12.83B,,,,-917.00M,123.22B
2007-09,,59.48B,,59.48B,26.40B,,26.40B,221.47B,8.892B,,,60.84B,486.32B,8.113B,,478.21B,643.04B,1.258T,1.480T,,,86.52B,86.52B,,33.98B,33.98B,33.98B,299.27B,219.78B,219.78B,678.09B,13.28B,897.87B,1.346T,3.658B,53.06B,78.30B,13.21B,,,,-1.83B,119.98B
2007-06,,77.18B,,77.18B,26.72B,,26.72B,229.83B,9.044B,,,61.45B,465.04B,7.633B,,457.40B,641.79B,1.228T,1.458T,,,84.78B,84.78B,,25.12B,25.12B,25.12B,315.86B,201.43B,201.43B,651.37B,14.81B,852.80B,1.324T,3.658B,51.01B,78.02B,11.40B,,,,-2.08B,119.21B
2007-03,,62.81B,,62.81B,23.66B,,23.66B,315.58B,8.728B,,,59.96B,449.76B,7.30B,,442.46B,527.15B,1.093T,1.409T,,,87.60B,87.60B,,25.35B,25.35B,25.35B,331.87B,175.18B,175.18B,626.43B,13.11B,801.61B,1.278T,3.658B,48.10B,77.76B,10.34B,,,,-1.482B,117.70B
2006-12,,53.96B,,53.96B,22.89B,,22.89B,217.37B,8.735B,,,60.04B,483.13B,7.279B,,475.85B,537.76B,1.134T,1.352T,,,88.10B,88.10B,,18.85B,18.85B,18.85B,269.12B,163.68B,163.68B,638.79B,16.18B,802.47B,1.220T,3.658B,43.60B,77.81B,7.718B,,,,-1.557B,115.79B
2006-09,,53.41B,,53.41B,21.18B,,21.18B,230.78B,8.553B,,,57.81B,463.54B,7.056B,,456.49B,529.83B,1.107T,1.338T,,,73.58B,73.58B,,18.14B,18.14B,18.14B,280.12B,156.18B,156.18B,582.12B,16.25B,738.30B,1.208T,3.658B,40.28B,77.46B,7.311B,,-458.00M,-68.00M,-526.00M,113.56B
2006-06,,52.83B,,52.83B,24.42B,,24.42B,234.68B,8.91B,,,59.11B,455.10B,7.076B,,448.03B,521.05B,1.093T,1.328T,,,82.57B,82.57B,,18.55B,18.55B,18.55B,276.18B,147.03B,147.03B,593.72B,15.43B,740.74B,1.202T,3.658B,38.21B,77.10B,7.062B,,,,-1.218B,110.68B
2006-03,,47.45B,,47.45B,21.66B,29.03B,50.69B,251.89B,8.985B,,,59.51B,432.08B,7.275B,,424.81B,472.43B,1.021T,1.273T,,,73.69B,73.69B,,30.33B,30.33B,30.33B,255.03B,123.11B,123.11B,584.46B,42.24B,707.58B,1.123T,3.645B,35.89B,76.15B,6.336B,,,,-1.017B,108.34B
2005-12,,58.33B,,58.33B,22.42B,29.74B,52.16B,244.47B,9.081B,,,58.18B,419.15B,7.09B,,412.06B,426.96B,954.47B,1.199T,,,78.46B,78.46B,,13.86B,13.86B,13.86B,218.25B,119.89B,119.89B,554.99B,42.20B,674.88B,1.050T,3.757B,33.85B,74.99B,4.762B,139.00M,,,-626.00M,107.21B
2005-09,,47.37B,,47.37B,28.87B,28.77B,57.64B,227.89B,9.297B,,,58.10B,420.50B,7.22B,,413.28B,443.72B,975.15B,1.203T,,,74.70B,74.70B,,31.57B,31.57B,31.57B,249.67B,113.48B,113.48B,535.12B,46.14B,648.60B,1.051T,3.747B,32.35B,74.40B,3.756B,139.00M,,,-602.00M,106.14B
2005-06,,44.17B,,44.17B,24.24B,27.89B,52.13B,227.09B,9.354B,,,57.41B,416.02B,6.794B,,409.23B,414.34B,944.19B,1.171T,,,77.06B,77.06B,,25.56B,25.56B,25.56B,239.97B,113.18B,113.18B,534.64B,43.83B,647.82B,1.022T,3.743B,31.03B,73.91B,3.24B,139.00M,,,-61.00M,105.38B
2005-03,,51.92B,,51.92B,21.10B,28.48B,49.58B,234.26B,9.344B,,,58.32B,402.67B,6.935B,,395.73B,426.87B,944.05B,1.178T,,,72.18B,72.18B,,23.19B,23.19B,23.19B,232.43B,110.61B,110.61B,531.38B,44.83B,641.99B,1.028T,3.937B,31.25B,73.39B,2.621B,339.00M,,,-623.00M,105.34B
2004-12,,56.85B,,56.85B,21.41B,31.72B,53.13B,211.33B,9.145B,,,57.89B,402.11B,7.32B,,394.79B,438.49B,945.92B,1.157T,,,75.72B,75.72B,,21.64B,21.64B,21.64B,225.15B,105.72B,105.72B,521.46B,48.06B,627.17B,1.004T,3.924B,30.21B,72.80B,1.073B,339.00M,,,-208.00M,105.65B
2004-09,,63.90B,,63.90B,19.88B,30.48B,50.36B,210.28B,8.88B,,,58.12B,393.70B,7.493B,,386.21B,424.56B,928.19B,1.138T,,,68.68B,68.68B,,19.76B,19.76B,19.76B,255.75B,103.50B,103.50B,496.45B,45.84B,599.95B,986.78B,4.585B,29.78B,72.18B,452.00M,1.009B,,,-242.00M,105.85B
2004-06,,62.66B,,62.66B,15.05B,,15.05B,178.56B,6.268B,,,16.13B,225.94B,3.967B,,221.97B,354.14B,639.20B,817.76B,,,56.58B,56.58B,,24.74B,24.74B,24.74B,233.93B,59.62B,59.62B,346.54B,6.562B,406.15B,765.26B,3.104B,29.60B,14.43B,275.00M,1.009B,,,-910.00M,45.94B
2004-03,,55.02B,,55.02B,13.25B,,13.25B,147.68B,6.418B,,,14.68B,218.70B,4.12B,-1.07B,213.51B,375.71B,653.40B,801.08B,,,43.66B,43.66B,,25.39B,25.39B,25.39B,217.57B,56.79B,56.79B,336.89B,7.543B,393.68B,745.43B,3.097B,30.88B,14.19B,244.00M,1.009B,,,177.00M,48.10B
2003-12,,30.44B,,30.44B,12.36B,,12.36B,119.67B,6.487B,,,14.99B,220.81B,4.523B,-1.29B,215.00B,362.20B,651.24B,770.91B,,,45.07B,45.07B,,23.21B,23.21B,23.21B,181.74B,54.78B,54.78B,326.49B,12.30B,381.27B,712.46B,3.053B,29.68B,13.51B,62.00M,1.009B,,,-30.00M,46.15B
2003-09,,29.19B,,29.19B,14.00B,,14.00B,131.93B,6.558B,,,13.53B,237.60B,4.753B,-1.40B,231.45B,340.56B,660.77B,792.70B,,,54.33B,54.33B,,22.96B,22.96B,22.96B,209.26B,50.66B,50.66B,313.63B,18.40B,364.29B,729.34B,3.05B,28.54B,13.24B,58.00M,1.009B,,,187.00M,44.96B
2003-06,,33.79B,,33.79B,13.46B,,13.46B,117.00B,6.658B,,,12.56B,228.99B,5.087B,-1.60B,222.31B,364.39B,685.60B,802.60B,,,64.07B,64.07B,,24.56B,24.56B,24.56B,243.96B,49.92B,49.92B,318.25B,,368.17B,757.78B,3.045B,27.63B,12.90B,48.00M,1.009B,,,1.293B,44.82B
2003-03,,29.12B,,29.12B,12.96B,,12.96B,111.85B,6.719B,,,12.86B,219.27B,5.215B,-1.80B,212.26B,365.97B,643.30B,755.16B,,,46.78B,46.78B,,26.89B,26.89B,26.89B,233.88B,48.29B,48.29B,300.67B,,348.96B,712.07B,3.041B,26.54B,12.48B,85.00M,1.009B,,,1.113B,43.08B
2002-12,,28.16B,,28.16B,14.14B,,14.14B,108.11B,6.829B,,,12.90B,218.25B,5.35B,-1.89B,211.01B,375.14B,650.69B,758.80B,,,38.44B,38.44B,,25.54B,25.54B,25.54B,233.46B,45.19B,45.19B,304.75B,,349.94B,716.49B,3.033B,25.85B,13.22B,1.027B,1.009B,,,1.227B,42.31B
