,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-09,25.58B,25.58B,710.00M,9.669B,10.38B,,,10.38B,-1.00M,12.80B,9.556B,2.824B,6.732B,,,412.00M,6.732B,6.732B,1.579B,13.44B,1.77,,,1.77,1.77,1.76,,,1.76,1.76,3.535B,3.560B,0.56
2017-06,25.73B,25.73B,756.00M,9.628B,10.38B,,,10.38B,-34.00M,12.21B,9.749B,2.72B,7.029B,,,411.00M,7.029B,7.029B,1.504B,13.19B,1.83,,,1.83,1.83,1.82,,,1.82,1.82,3.574B,3.599B,0.5
2017-03,24.94B,24.94B,713.00M,10.09B,10.80B,,,10.80B,-3.00M,12.06B,8.341B,1.893B,6.448B,,,412.00M,6.448B,6.448B,1.464B,11.32B,1.66,,,1.66,1.66,1.65,,,1.65,1.65,3.602B,3.630B,0.5
2016-12,24.28B,24.28B,697.00M,8.925B,9.622B,,,9.622B,5.00M,11.75B,8.679B,1.952B,6.727B,,,412.00M,6.727B,6.727B,1.446B,11.39B,1.73,,,1.73,1.73,1.71,,,1.71,1.71,3.611B,3.646B,0.48
2016-09,24.67B,24.67B,825.00M,9.41B,10.24B,,,10.24B,64.00M,11.60B,8.939B,2.653B,6.286B,,,412.00M,6.286B,6.286B,1.407B,11.41B,1.6,,,1.6,1.6,1.58,,,1.58,1.58,3.638B,3.670B,0.48
2016-06,24.38B,24.38B,672.00M,9.443B,10.12B,,,10.12B,21.00M,11.35B,9.34B,3.14B,6.20B,,,411.00M,6.20B,6.20B,1.336B,11.81B,1.56,,,1.56,1.56,1.55,,,1.55,1.55,3.676B,3.706B,0.48
2016-03,23.24B,23.24B,703.00M,9.278B,9.981B,,,9.981B,51.00M,11.38B,7.578B,2.058B,5.52B,,,412.00M,5.52B,5.52B,1.289B,9.75B,1.36,,,1.36,1.36,1.35,,,1.35,1.35,3.711B,3.738B,0.44
2015-12,22.88B,22.88B,771.00M,8.35B,9.121B,,,9.121B,73.00M,11.22B,7.371B,1.937B,5.434B,,,418.00M,5.434B,5.434B,1.273B,9.301B,1.34,,,1.34,1.34,1.32,,,1.32,1.32,3.837B,3.868B,0.44
2015-09,22.78B,22.78B,704.00M,8.866B,9.57B,,,9.57B,33.00M,10.92B,6.73B,-74.00M,6.804B,,,393.00M,6.804B,6.804B,1.248B,8.545B,1.7,,,1.7,1.7,1.68,,,1.68,1.68,3.694B,3.726B,0.44
2015-06,23.81B,23.81B,642.00M,9.193B,9.835B,,,9.835B,44.00M,10.68B,8.377B,2.087B,6.29B,,,380.00M,6.29B,6.29B,1.238B,10.21B,1.56,,,1.56,1.56,1.54,,,1.54,1.54,3.708B,3.744B,0.44
2015-03,24.07B,24.07B,591.00M,9.534B,10.12B,,,10.12B,52.00M,10.68B,8.224B,2.31B,5.914B,,,324.00M,5.914B,5.914B,1.181B,10.11B,1.46,,,1.46,1.46,1.45,,,1.45,1.45,3.725B,3.758B,0.4
2014-12,22.75B,22.75B,726.00M,8.355B,9.081B,,,9.081B,29.00M,11.06B,6.501B,1.57B,4.931B,,,326.00M,4.931B,4.931B,1.186B,8.39B,1.2,,,1.2,1.2,1.19,,,1.19,1.19,3.731B,3.765B,0.4
2014-09,24.47B,24.47B,610.00M,9.296B,9.906B,,,9.906B,6.00M,11.11B,7.914B,2.349B,5.565B,,,304.00M,5.565B,5.565B,1.147B,9.733B,1.37,,,1.37,1.37,1.35,,,1.35,1.35,3.755B,3.789B,0.4
2014-06,24.68B,24.68B,650.00M,9.043B,9.693B,,,9.693B,12.00M,10.80B,8.555B,2.575B,5.98B,,,268.00M,5.98B,5.98B,1.218B,10.62B,1.47,,,1.47,1.47,1.46,,,1.46,1.46,3.781B,3.812B,0.4
2014-03,23.22B,23.22B,564.00M,9.27B,9.834B,,,9.834B,30.00M,10.67B,7.729B,2.46B,5.269B,,,227.00M,5.269B,5.269B,1.208B,9.855B,1.29,,,1.29,1.29,1.28,,,1.28,1.28,3.787B,3.824B,0.38
2013-12,23.92B,23.92B,745.00M,8.428B,9.173B,,,9.173B,8.00M,10.91B,8.261B,3.02B,5.241B,,,190.00M,5.241B,5.241B,1.246B,10.52B,1.31,,,1.31,1.31,1.3,,,1.3,1.3,3.762B,3.797B,0.38
2013-09,23.12B,23.12B,588.00M,8.681B,9.269B,140.00M,,9.409B,26.00M,10.78B,34.00M,414.00M,-380.00M,,,229.00M,-380.00M,-380.00M,1.651B,2.325B,-0.17,,,-0.17,-0.17,-0.17,,,-0.17,-0.17,3.767B,3.767B,0.38
2013-06,25.21B,25.21B,578.00M,9.38B,9.958B,152.00M,,10.11B,124.00M,10.70B,9.298B,2.802B,6.496B,,,204.00M,6.496B,6.496B,1.435B,11.67B,1.61,,,1.61,1.61,1.6,,,1.6,1.6,3.782B,3.814B,0.38
2013-03,25.12B,25.12B,589.00M,9.746B,10.34B,152.00M,,10.49B,509.00M,10.93B,9.082B,2.553B,6.529B,,,182.00M,6.529B,6.529B,974.00M,11.51B,1.61,,,1.61,1.61,1.59,,,1.59,1.59,3.818B,3.847B,0.3
2012-12,23.65B,23.65B,648.00M,8.401B,9.049B,,,9.049B,102.00M,11.12B,6.95B,1.258B,5.692B,,,175.00M,5.692B,5.692B,1.404B,9.352B,1.4,,,1.4,1.4,1.39,,,1.39,1.39,3.806B,3.821B,0.3
2012-09,25.15B,25.15B,607.00M,8.815B,9.422B,182.00M,,9.604B,458.00M,10.98B,7.986B,2.278B,5.708B,,,163.00M,5.708B,5.708B,1.294B,10.64B,1.41,,,1.41,1.41,1.4,,,1.4,1.4,3.803B,3.814B,0.3
2012-06,22.18B,22.18B,642.00M,8.709B,9.351B,191.00M,,9.542B,1.014B,11.15B,7.00B,2.04B,4.96B,,,158.00M,4.96B,4.96B,1.217B,9.953B,1.22,,,1.22,1.22,1.21,,,1.21,1.21,3.809B,3.820B,0.3
2012-03,26.05B,26.05B,680.00M,9.884B,10.56B,193.00M,,10.76B,536.00M,11.67B,6.981B,2.057B,4.924B,,,157.00M,4.924B,4.924B,1.232B,10.02B,1.2,,,1.2,1.2,1.19,,,1.19,1.19,3.819B,3.833B,0.3
2011-12,21.47B,21.47B,814.00M,7.579B,8.393B,207.00M,,8.60B,47.00M,12.13B,4.747B,1.019B,3.728B,,,,3.728B,3.728B,1.288B,7.67B,0.9,,,0.9,0.9,0.9,,,0.9,0.9,3.802B,3.812B,0.25
2011-09,23.76B,23.76B,926.00M,8.156B,9.082B,212.00M,,9.294B,607.00M,11.82B,5.818B,1.556B,4.262B,,,,4.262B,4.262B,1.265B,9.161B,1.02,0.0,,1.02,1.02,1.02,0.0,,1.02,1.02,3.860B,3.872B,0.25
2011-06,26.78B,26.78B,744.00M,8.786B,9.53B,212.00M,,9.742B,837.00M,11.84B,8.127B,2.696B,5.431B,,,364.00M,5.431B,5.431B,1.278B,11.92B,1.28,0.0,,1.28,1.28,1.27,0.0,,1.27,1.27,3.958B,3.983B,0.25
2011-03,25.22B,25.22B,659.00M,9.463B,10.12B,217.00M,,10.34B,102.00M,11.90B,8.057B,2.502B,5.555B,,,419.00M,5.555B,5.555B,1.274B,11.60B,1.29,0.0,,1.29,1.29,1.28,0.0,,1.28,1.28,3.982B,4.014B,0.25
2010-12,26.10B,26.10B,584.00M,7.769B,8.353B,240.00M,,8.593B,1.253B,12.10B,7.012B,2.181B,4.831B,,,,4.831B,4.831B,1.28B,10.52B,1.12,,,1.12,1.12,1.12,,,1.12,1.12,3.917B,3.936B,0.05
2010-09,23.82B,23.82B,651.00M,7.845B,8.496B,218.00M,,8.714B,102.00M,12.50B,6.203B,1.785B,4.418B,,,,4.418B,4.418B,1.273B,9.307B,1.02,0.0,,1.02,1.02,1.01,0.0,,1.01,1.01,3.954B,3.972B,0.05
2010-06,25.10B,25.10B,628.00M,8.781B,9.409B,235.00M,,9.644B,1.00B,12.69B,7.107B,2.312B,4.795B,,,432.00M,4.795B,4.795B,1.208B,10.14B,1.1,0.0,,1.1,1.1,1.09,0.0,,1.09,1.09,3.984B,4.006B,0.05
2010-03,27.67B,27.67B,583.00M,8.413B,8.996B,243.00M,,9.239B,610.00M,13.71B,4.537B,1.211B,3.326B,,,352.00M,3.326B,3.326B,1.204B,7.672B,0.75,0.0,,0.75,0.75,0.74,0.0,,0.74,0.74,3.970B,3.995B,0.05
2009-12,23.16B,23.16B,536.00M,6.294B,6.83B,256.00M,-30.00M,7.056B,381.00M,12.38B,3.876B,598.00M,3.278B,,0.00,,3.278B,3.303B,1.612B,7.113B,0.75,0.0,0.0,0.7564,0.75,0.74,0.0,-0.0002,0.7464,0.75,3.947B,3.975B,0.05
2009-09,26.62B,26.62B,440.00M,8.451B,8.891B,254.00M,-103.00M,9.042B,184.00M,12.74B,5.063B,1.551B,3.512B,,76.00M,,3.588B,3.583B,997.00M,8.586B,0.8,0.02,0.0,0.8181,0.82,0.8,0.02,0.0192,0.818,0.82,3.938B,3.962B,0.05
2009-06,25.62B,25.62B,417.00M,8.073B,8.49B,265.00M,-143.00M,8.612B,347.00M,12.67B,4.072B,1.351B,2.721B,,,,2.721B,2.817B,1.063B,7.951B,0.28,0.0,,0.3051,0.28,0.28,0.0,,0.305,0.28,3.812B,3.824B,0.05
2009-03,25.02B,25.02B,384.00M,8.734B,9.118B,275.00M,-205.00M,9.188B,198.00M,13.37B,3.056B,915.00M,2.141B,,,,2.141B,2.285B,686.00M,7.615B,0.4,0.0,,0.4382,0.4,0.4,0.0,,0.4382,0.4,3.756B,3.759B,0.05
2008-12,17.23B,17.23B,501.00M,6.231B,6.732B,326.00M,-181.00M,6.877B,456.00M,13.83B,-1.342B,-719.00M,-623.00M,,1.325B,,702.00M,-505.35M,1.156B,6.457B,-0.33,0.37,0.0,-0.2985,0.04,-0.33,0.37,0.3726,-0.2986,0.04,3.737B,3.749B,0.38
2008-09,14.74B,14.74B,453.00M,6.97B,7.423B,305.00M,-96.00M,7.632B,424.00M,8.994B,-2.187B,-2.133B,-54.00M,,581.00M,,527.00M,8.40M,1.115B,6.145B,-0.08,0.17,0.0,-0.0619,0.09,-0.08,0.17,0.1687,-0.0619,0.09,3.445B,3.445B,0.38
2008-06,18.40B,18.40B,413.00M,7.941B,8.354B,316.00M,-155.00M,8.515B,647.00M,8.294B,2.767B,764.00M,2.003B,,,,2.003B,2.115B,1.212B,11.00B,0.54,0.0,,0.5727,0.54,0.53,0.0,,0.5625,0.53,3.426B,3.453B,0.38
2008-03,16.89B,16.89B,546.00M,4.951B,5.497B,,,5.497B,-770.00M,7.659B,3.535B,1.162B,2.373B,,,,2.373B,2.373B,923.00M,13.41B,0.7,0.0,,0.7,0.7,0.68,0.0,,0.68,0.68,3.396B,3.495B,0.38
2007-12,17.38B,17.38B,570.00M,5.469B,6.039B,,-22.00M,6.017B,9.163B,7.223B,4.122B,1.151B,2.971B,,,,2.971B,2.987B,1.061B,15.52B,0.88,0.0,,0.8847,0.88,0.86,0.0,,0.8646,0.86,3.369B,3.473B,0.38
2007-09,16.11B,16.11B,561.00M,4.677B,5.238B,,-61.00M,5.177B,237.00M,6.913B,5.00B,1.627B,3.373B,,,,3.373B,3.414B,957.00M,16.89B,1.0,0.0,,1.012,1.0,0.97,0.0,,0.9818,0.97,3.376B,3.478B,0.38
2007-06,18.91B,18.91B,457.00M,6.309B,6.766B,,-64.00M,6.702B,-223.00M,6.168B,6.351B,2.117B,4.234B,,,,4.234B,4.277B,927.00M,17.52B,1.24,0.0,,1.252,1.24,1.2,0.0,,1.212,1.2,3.415B,3.522B,0.38
2007-03,18.97B,18.97B,482.00M,6.234B,6.716B,,-62.00M,6.654B,4.473B,6.118B,7.332B,2.545B,4.787B,,,,4.787B,4.827B,876.00M,17.85B,1.38,0.0,,1.392,1.38,1.34,0.0,,1.351,1.34,3.456B,3.560B,0.34
2006-12,15.63B,15.63B,614.00M,4.985B,5.599B,,-100.00M,5.499B,2.194B,5.692B,5.174B,1.268B,3.906B,620.00M,,0.00,4.526B,3.981B,997.00M,15.58B,1.12,0.18,,1.1420000000000001,1.3,1.09,0.17,,1.111,1.26,3.465B,3.579B,0.34
2006-09,15.54B,15.54B,550.00M,5.39B,5.94B,,-48.00M,5.892B,2.777B,5.379B,4.937B,1.705B,3.232B,65.00M,,,3.297B,3.263B,860.00M,14.72B,0.93,0.02,,0.9391,0.95,0.9,0.02,,0.9088,0.92,3.469B,3.574B,0.34
2006-06,14.94B,14.94B,526.00M,5.268B,5.794B,,-86.00M,5.708B,-502.00M,5.178B,5.211B,1.727B,3.484B,56.00M,,,3.54B,3.541B,883.00M,14.65B,1.0,0.02,,1.0170000000000001,1.02,0.98,0.01,,0.9961,0.99,3.474B,3.572B,0.34
2006-03,15.24B,15.24B,519.00M,5.60B,6.119B,,-71.00M,6.048B,-116.00M,5.06B,4.653B,1.572B,3.081B,,,4.00M,3.081B,3.128B,837.00M,12.89B,0.89,0.0,,0.9035,0.89,0.86,0.0,,0.8732,0.86,3.473B,3.571B,0.34
2005-12,13.48B,13.48B,385.00M,4.237B,4.622B,,-77.00M,4.545B,-540.00M,4.678B,3.828B,1.186B,2.642B,56.00M,,2.00M,2.698B,2.695B,1.063B,11.61B,0.76,0.02,,0.7753,0.78,0.74,0.02,,0.7549,0.76,3.473B,3.563B,0.34
2005-09,14.26B,14.26B,512.00M,4.954B,5.466B,,-221.00M,5.245B,-44.00M,4.783B,3.661B,1.192B,2.469B,58.00M,,,2.527B,2.618B,1.034B,10.17B,0.71,0.01,,0.7528,0.72,0.7,0.01,,0.742,0.71,3.485B,3.548B,0.34
2005-06,12.55B,12.55B,537.00M,4.22B,4.757B,,-279.00M,4.478B,70.00M,4.932B,1.163B,226.00M,937.00M,57.00M,,3.00M,994.00M,1.162B,1.056B,7.047B,0.27,0.01,,0.3344,0.28,0.26,0.01,,0.3234,0.28,3.493B,3.548B,0.34
2005-03,13.65B,13.65B,483.00M,4.702B,5.185B,,-1.045B,4.14B,-45.00M,5.225B,3.283B,1.019B,2.264B,,,5.00M,2.264B,2.985B,1.165B,8.69B,0.64,0.0,,0.8449,0.64,0.63,0.0,,0.8319,0.63,3.518B,3.570B,0.34
2004-12,12.22B,12.22B,428.00M,3.996B,4.424B,,3.177B,7.601B,-967.00M,5.095B,2.069B,609.00M,1.46B,,,13.00M,1.666B,-781.87M,1.231B,6.701B,0.42,0.08,,-0.2168,0.5,0.42,0.07,,-0.2013,0.49,3.521B,3.608B,0.34
2004-09,12.50B,12.50B,506.00M,4.05B,4.556B,,-752.00M,3.804B,413.00M,5.452B,1.959B,541.00M,1.418B,,,13.00M,1.418B,1.962B,1.171B,6.00B,0.4,0.0,,0.5549,0.4,0.39,0.0,,0.5415,0.39,3.514B,3.592B,0.34
2004-06,8.631B,8.631B,202.00M,2.943B,3.145B,,-3.79B,-645.00M,460.00M,2.994B,-1.075B,-527.00M,-548.00M,,,13.00M,-548.00M,1.726B,671.00M,1.545B,-0.27,0.0,,0.8432,-0.27,-0.27,0.0,,0.8432,-0.27,2.043B,2.043B,0.34
2004-03,8.977B,8.977B,199.00M,3.37B,3.569B,,,3.569B,126.00M,2.83B,2.903B,973.00M,1.93B,,,13.00M,1.93B,1.727B,762.00M,5.551B,0.94,0.0,,0.8399,0.94,0.92,0.0,,0.8228,0.92,2.032B,2.093B,0.34
2003-12,8.068B,8.068B,200.00M,2.577B,2.777B,,0.00,2.777B,29.00M,3.011B,2.709B,845.00M,1.864B,,,13.00M,1.864B,1.752B,761.00M,5.312B,0.92,0.0,,0.8644,0.92,0.89,0.0,,0.8361,0.89,2.018B,2.079B,0.34
2003-09,7.748B,7.748B,179.00M,2.713B,2.892B,,,2.892B,164.00M,3.048B,2.43B,802.00M,1.628B,,,13.00M,1.628B,1.548B,190.00M,5.078B,0.8,0.0,,0.76,0.8,0.78,0.0,,0.7411,0.78,2.012B,2.068B,0.34
2003-06,9.034B,9.034B,167.00M,3.231B,3.398B,,-100.00M,3.298B,768.00M,3.063B,2.767B,940.00M,1.827B,,,12.00M,1.827B,1.912B,1.09B,5.575B,0.9,0.0,,0.9425,0.9,0.89,0.0,,0.9315,0.89,2.006B,2.051B,0.34
2003-03,8.406B,8.406B,164.00M,3.174B,3.338B,,,3.338B,485.00M,3.215B,2.122B,722.00M,1.40B,,,13.00M,1.40B,1.546B,1.06B,5.17B,0.69,0.0,,0.7629,0.69,0.69,0.0,,0.7621,0.69,2.00B,2.022B,0.34
2002-12,7.495B,7.495B,220.00M,2.742B,2.962B,,-1.693B,1.269B,1.00M,3.633B,-587.00M,-200.00M,-387.00M,,,12.00M,-387.00M,729.17M,1.438B,2.616B,-0.27,0.07,,0.2841,-0.2,-0.27,0.07,,0.279,-0.2,2.014B,2.033B,0.34
2002-09,6.947B,6.947B,179.00M,2.367B,2.546B,,-333.00M,2.213B,578.00M,2.736B,60.00M,20.00M,40.00M,,,13.00M,40.00M,288.67M,529.00M,3.64B,0.01,0.0,,0.1352,0.01,0.01,0.0,,0.134,0.01,1.986B,2.006B,0.34
2002-06,7.574B,7.574B,144.00M,2.761B,2.905B,,-229.00M,2.676B,124.00M,2.882B,1.559B,531.00M,1.028B,,,13.00M,1.028B,1.186B,828.00M,5.175B,0.51,0.0,,0.5895,0.51,0.5,0.0,,0.5782,0.5,1.983B,2.016B,0.34
2002-03,7.598B,7.598B,146.00M,2.823B,2.969B,,-255.00M,2.714B,114.00M,2.927B,1.487B,505.00M,982.00M,,,13.00M,982.00M,1.157B,631.00M,4.846B,0.49,0.0,,0.5785,0.49,0.48,0.0,,0.5672,0.48,1.978B,2.006B,0.34
2001-12,6.577B,6.577B,179.00M,2.652B,2.831B,,-841.00M,1.99B,202.00M,2.944B,-568.00M,-236.00M,-332.00M,,0.00,13.00M,-332.00M,124.00M,797.00M,3.311B,-0.17,0.0,0.0,0.0616,-0.17,-0.17,0.0,-0.0,0.0571,-0.17,1.969B,2.008B,0.34
2001-09,7.349B,7.349B,137.00M,2.883B,3.02B,,-876.00M,2.144B,142.00M,2.659B,669.00M,220.00M,449.00M,,,13.00M,449.00M,900.01M,713.00M,5.719B,0.22,0.0,,0.4483,0.22,0.22,0.0,,0.4432,0.22,1.975B,2.021B,0.34
2001-06,6.871B,6.871B,144.00M,3.052B,3.196B,,-478.00M,2.718B,67.00M,2.781B,585.00M,207.00M,378.00M,,,19.00M,378.00M,716.58M,651.00M,6.273B,0.18,0.0,,0.3511,0.18,0.18,0.0,,0.3465,0.18,1.978B,2.034B,0.34
2001-03,8.325B,8.325B,141.00M,3.336B,3.477B,,-328.00M,3.149B,455.00M,2.418B,1.88B,656.00M,1.224B,,-25.00M,21.00M,1.199B,1.169B,730.00M,8.642B,0.61,-0.01,0.0,0.5822,0.6,0.59,-0.01,-0.0127,0.5631,0.58,1.967B,2.032B,0.34
2000-12,8.543B,8.543B,,3.31B,3.905B,,-1.302B,2.603B,118.00M,2.461B,1.09B,382.00M,708.00M,,,21.00M,708.00M,944.43M,1.181B,8.551B,0.3562,,,0.4788,0.3562,0.3562,,,0.4788,0.3562,1.928B,1.928B,0.32
2000-09,7.723B,7.723B,,3.135B,3.135B,,-79.00M,3.056B,90.00M,2.343B,2.073B,675.00M,1.398B,,,24.00M,1.398B,1.465B,251.00M,9.153B,0.73,0.0,,0.7827,0.73,0.69,0.0,,0.7409,0.69,1.267B,1.312B,0.32
2000-06,7.899B,7.899B,144.00M,2.963B,3.107B,,-50.00M,3.057B,24.00M,2.294B,2.496B,863.00M,1.633B,,,33.00M,1.633B,1.365B,720.00M,9.06B,0.87,0.0,,0.7256,0.87,0.83,0.0,,0.692,0.83,1.853B,1.939B,0.32
2000-03,8.769B,8.769B,117.00M,3.34B,3.457B,,,3.457B,-3.00M,2.414B,3.074B,1.086B,1.988B,,,25.00M,1.988B,1.552B,393.00M,9.10B,1.1,0.0,,0.7472,1.1,1.06,0.0,,0.7072,1.06,1.236B,1.236B,0.32
1999-12,14.98B,14.98B,147.00M,5.586B,5.733B,,,5.733B,-352.00M,3.766B,5.699B,1.951B,3.748B,,,51.00M,3.748B,2.477B,917.00M,18.24B,2.98,,,1.956,2.98,2.98,,,1.956,2.98,1.241B,1.241B,0.2733
1999-09,5.191B,5.191B,128.00M,1.655B,1.783B,,,1.783B,-1.00M,2.17B,1.812B,625.00M,1.187B,,,19.00M,1.187B,940.04M,336.00M,4.638B,0.95,0.0,,0.7495,0.95,0.91,0.0,,0.7161,0.91,1.232B,1.274B,0.2733
1999-06,5.616B,5.616B,,1.654B,1.654B,,,1.654B,5.00M,2.145B,2.16B,767.00M,1.393B,,,18.00M,1.393B,1.393B,352.00M,4.888B,1.1,0.0,,1.1,1.1,1.07,0.0,,1.07,1.07,1.25B,1.285B,0.2733
1999-03,5.144B,5.144B,,1.639B,1.639B,,,1.639B,156.00M,2.204B,1.818B,645.00M,1.173B,,,18.00M,1.173B,1.173B,340.00M,4.641B,0.91,0.0,,0.91,0.91,0.88,0.0,,0.88,0.88,1.240B,1.240B,0.2733
1998-12,5.06B,5.06B,,1.49B,1.49B,,,1.49B,167.00M,2.16B,1.776B,630.00M,1.146B,,,18.00M,1.146B,1.146B,334.00M,5.057B,0.89,0.0,,0.89,0.89,0.8767,0.0,,0.8767,0.8767,1.262B,1.283B,0.24
1998-09,4.218B,4.218B,,1.426B,1.426B,,,1.426B,261.00M,2.206B,1.299B,462.00M,837.00M,,,22.00M,837.00M,837.00M,278.00M,4.525B,0.64,0.0,,0.64,0.64,0.63,0.0,,0.63,0.63,1.273B,1.294B,0.24
1998-06,4.755B,4.755B,,1.485B,1.485B,,-8.00M,1.477B,98.00M,2.036B,1.705B,631.00M,1.074B,,,24.00M,1.074B,1.079B,316.00M,5.292B,0.83,0.0,,0.834,0.83,0.8,0.0,,0.8038,0.8,1.265B,1.312B,0.24
