,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2013-06,5.404B,-29.00M,-540.00M,,,-569.00M,,3.412B,-95.00M,-666.00M,1.498B,-759.00M,942.00M,-836.00M,,,189.00M,1.034B,8.52B,,2013-06,,,,-165.00M,726.00M,-8.012B,,2013-06,5.992B,5.826B,,-1.001B,-1.001B,-1.921B,-1.921B,,-63.00M,2.841B,,2013-06,17.37B,-93.00M,20.63B,,2013-06,6.00B,-8.00M,-1.001B,,,,2013-06,Restated
2013-03,6.239B,-109.00M,-578.00M,,,-687.00M,,3.481B,127.00M,91.00M,-994.00M,-520.00M,-437.00M,-1.409B,,,-177.00M,-3.537B,5.714B,,2013-03,,,,-344.00M,77.00M,-8.459B,,2013-03,-102.00M,1.967B,,-1.027B,-1.027B,-1.735B,-1.735B,,-10.00M,-805.00M,,2013-03,20.94B,-15.00M,17.37B,,2013-03,,-102.00M,-1.027B,,,,2013-03,Restated
2012-12,7.297B,20.00M,-200.00M,,,-180.00M,,3.554B,566.00M,-2.063B,396.00M,1.835B,370.00M,710.00M,,,295.00M,3.606B,12.78B,,2012-12,,,,-853.00M,1.264B,-10.08B,,2012-12,1.995B,-147.00M,,-1.18B,-1.18B,-1.745B,-1.745B,,-18.00M,-3.09B,,2012-12,21.31B,11.00M,20.94B,,2012-12,4.007B,-2.012B,-1.18B,,,,2012-12,Restated
2012-09,5.308B,163.00M,-82.00M,,,81.00M,,3.37B,455.00M,-874.00M,-620.00M,-709.00M,-466.00M,1.044B,,,141.00M,-610.00M,7.73B,,2012-09,,,,-269.00M,517.00M,-7.242B,,2012-09,-184.00M,2.10B,,-801.00M,-801.00M,-1.751B,-1.751B,,-12.00M,-464.00M,,2012-09,21.21B,80.00M,21.31B,,2012-09,0.00,-184.00M,-801.00M,,,,2012-09,Restated
2012-06,7.232B,-118.00M,-891.00M,,,-1.009B,,3.284B,503.00M,-1.067B,1.53B,488.00M,-256.00M,-1.164B,,,374.00M,972.00M,9.915B,,2012-06,,,,665.00M,896.00M,-5.506B,,2012-06,-13.00M,961.00M,,-1.165B,-1.165B,-1.758B,-1.758B,,-3.00M,-1.965B,,2012-06,18.87B,-106.00M,21.21B,,2012-06,0.00,839.00M,-1.165B,,,,2012-06,Restated
2012-03,6.499B,142.00M,-178.00M,,,-36.00M,,3.205B,491.00M,955.00M,-153.00M,-1.847B,-119.00M,-676.00M,,,68.00M,-2.727B,8.387B,,2012-03,,,,3.494B,428.00M,-1.973B,,2012-03,-15.00M,-867.00M,,-996.00M,-996.00M,-1.59B,-1.59B,,-8.00M,-3.461B,,2012-03,15.86B,54.00M,18.87B,,2012-03,,-867.00M,-996.00M,,,,2012-03,Restated
2011-12,5.152B,57.00M,,114.00M,1.359B,2.024B,,3.313B,379.00M,-2.804B,-941.00M,515.00M,51.00M,1.189B,,,,1.005B,9.069B,,2011-12,-2.676B,-2.676B,5.00M,-1.708B,6.678B,-5.008B,,2011-12,363.00M,381.00M,,-1.147B,-1.147B,-1.595B,-1.595B,,-15.00M,-2.376B,,2011-12,14.23B,-50.00M,15.86B,,2011-12,,-14.00M,-1.147B,,,,2011-12,Restated
2011-09,7.857B,-187.00M,,-563.00M,-802.00M,-2.196B,,3.215B,862.00M,101.00M,1.541B,904.00M,-988.00M,226.00M,,,,1.683B,11.52B,,2011-09,2.05B,2.05B,0.00,116.00M,-1.451B,-6.06B,,2011-09,-1.524B,-1.772B,,-1.16B,-1.16B,-1.549B,-1.549B,,-28.00M,-4.509B,,2011-09,13.34B,-59.00M,14.23B,,2011-09,,-1.524B,-1.16B,,,,2011-09,Restated
2011-06,7.76B,-30.00M,,248.00M,-386.00M,-447.00M,,3.257B,275.00M,134.00M,-1.539B,-1.057B,382.00M,1.925B,,,,-289.00M,10.69B,,2011-06,342.00M,342.00M,0.00,3.00M,-646.00M,-8.074B,,2011-06,-162.00M,-60.00M,,-828.00M,-828.00M,-1.556B,-1.556B,,-15.00M,-2.459B,,2011-06,13.15B,29.00M,13.34B,,2011-06,,-162.00M,-828.00M,,,,2011-06,Restated
2011-03,6.239B,57.00M,,201.00M,-171.00M,-54.00M,,3.126B,73.00M,320.00M,-1.217B,-766.00M,-298.00M,2.391B,,,,110.00M,9.814B,,2011-03,284.00M,284.00M,-3.014B,156.00M,-1.128B,-8.347B,,2011-03,-1.069B,-918.00M,,-58.00M,-58.00M,-1.436B,-1.436B,,-13.00M,-2.425B,,2011-03,14.06B,47.00M,13.15B,,2011-03,,-1.069B,-58.00M,,,,2011-03,Restated
2010-12,5.32B,48.00M,,153.00M,895.00M,954.00M,,3.439B,619.00M,-2.324B,-2.754B,623.00M,104.00M,2.235B,,,36.00M,244.00M,8.252B,,2010-12,-543.00M,-543.00M,0.00,-3.783B,5.806B,-4.024B,,2010-12,851.00M,808.00M,,,-551.00M,-1.436B,-1.436B,,-16.00M,-1.195B,,2010-12,11.00B,32.00M,14.06B,,2010-12,900.00M,-261.00M,,,,,2010-12,Restated
2010-09,3.792B,204.00M,,172.00M,-548.00M,-230.00M,,3.401B,177.00M,548.00M,111.00M,-226.00M,-317.00M,667.00M,,,59.00M,294.00M,7.982B,,2010-09,150.00M,150.00M,0.00,-148.00M,280.00M,-5.307B,,2010-09,320.00M,115.00M,,,103.00M,-1.439B,-1.439B,,-25.00M,-1.246B,,2010-09,9.396B,170.00M,11.00B,,2010-09,350.00M,-30.00M,,,,,2010-09,Restated
2010-06,5.444B,-46.00M,,-326.00M,-41.00M,-549.00M,,3.141B,-133.00M,74.00M,238.00M,167.00M,274.00M,-980.00M,,,-73.00M,-374.00M,7.603B,,2010-06,393.00M,393.00M,0.00,207.00M,-297.00M,-4.249B,,2010-06,-52.00M,56.00M,,,102.00M,-1.437B,-1.437B,,-14.00M,-1.293B,,2010-06,7.376B,-41.00M,9.396B,,2010-06,,-52.00M,,,,,2010-06,Restated
2010-03,4.58B,45.00M,,1.00M,-306.00M,-425.00M,,3.082B,-104.00M,436.00M,-362.00M,-549.00M,-603.00M,1.448B,,,14.00M,-52.00M,7.517B,,2010-03,,,0.00,88.00M,-3.456B,-7.335B,,2010-03,-25.00M,-97.00M,,,40.00M,-1.357B,-1.357B,,-17.00M,-1.431B,,2010-03,8.716B,-91.00M,7.376B,,2010-03,,-25.00M,,,,,2010-03,Restated
2009-12,3.102B,-15.00M,,407.00M,-879.00M,-659.00M,,3.156B,,497.00M,-569.00M,857.00M,-48.00M,482.00M,,,70.00M,792.00M,7.02B,,2009-12,,,,105.00M,601.00M,-4.649B,,2009-12,-27.00M,39.00M,-86.00M,,82.00M,-1.357B,-1.357B,,-34.00M,-1.27B,,2009-12,7.568B,47.00M,8.716B,,2009-12,8.00M,3.223B,,,,,2009-12,Restated
2009-09,3.846B,38.00M,,256.00M,-712.00M,-877.00M,,2.988B,,4.00M,-620.00M,132.00M,-40.00M,757.00M,,,63.00M,292.00M,6.665B,,2009-09,,,,-52.00M,604.00M,-3.522B,,2009-09,327.00M,-1.51B,39.00M,,39.00M,-3.945B,-1.355B,,-10.00M,-2.836B,,2009-09,7.236B,25.00M,7.568B,,2009-09,349.00M,-3.28B,,,,,2009-09,Restated
2009-06,1.761B,331.00M,,-326.00M,-57.00M,-201.00M,,3.099B,,497.00M,-2.231B,-84.00M,-229.00M,552.00M,,,-35.00M,-2.027B,3.284B,,2009-06,,,,137.00M,501.00M,-3.792B,,2009-06,-21.00M,-205.00M,36.00M,,36.00M,,-1.295B,,-20.00M,-1.484B,,2009-06,9.15B,78.00M,7.236B,,2009-06,-3.00M,1.219B,,,,,2009-06,Restated
2009-03,1.854B,112.00M,,-440.00M,-91.00M,-894.00M,,2.867B,,224.00M,1.686B,308.00M,53.00M,-3.565B,,,103.00M,-1.415B,2.404B,,2009-03,,,,181.00M,1.194B,-4.609B,,2009-03,4.572B,3.335B,11.00M,,11.00M,,-1.295B,,-7.00M,2.044B,,2009-03,9.347B,-36.00M,9.15B,,2009-03,4.993B,-1.658B,,,,,2009-03,Restated
2008-12,4.995B,-281.00M,,-162.00M,-670.00M,-1.714B,,2.589B,,-309.00M,8.649B,-566.00M,-160.00M,-8.823B,,,-14.00M,-914.00M,5.208B,,2008-12,,,,205.00M,117.00M,-5.712B,,2008-12,-39.00M,1.947B,,,-1.291B,,-1.301B,,-11.00M,-656.00M,,2008-12,10.64B,-129.00M,9.347B,,2008-12,0.00,-39.00M,,,,,2008-12,Restated
2008-09,7.893B,-104.00M,-105.00M,-278.00M,-169.00M,-1.29B,,2.449B,381.00M,495.00M,5.38B,83.00M,-245.00M,-5.65B,,,-420.00M,-852.00M,9.113B,,2008-09,,,,152.00M,973.00M,-3.536B,,2008-09,-49.00M,304.00M,,,-1.969B,,-1.323B,,-47.00M,-3.035B,,2008-09,8.18B,-86.00M,10.64B,,2008-09,0.00,-49.00M,,,,,2008-09,Restated
2008-06,5.975B,-158.00M,63.00M,,78.00M,-86.00M,,2.275B,-381.00M,237.00M,-6.649B,-719.00M,-536.00M,6.977B,,,352.00M,-575.00M,7.204B,,2008-06,,,,161.00M,323.00M,-4.035B,,2008-06,-61.00M,-139.00M,,,-1.662B,,-1.336B,,-24.00M,-3.161B,,2008-06,8.208B,-36.00M,8.18B,,2008-06,0.00,-61.00M,,,,,2008-06,Restated
2008-03,5.168B,188.00M,42.00M,,-78.00M,98.00M,,2.215B,,-38.00M,-1.511B,-343.00M,320.00M,1.959B,,,-2.00M,423.00M,8.107B,,2008-03,,,,397.00M,257.00M,-3.798B,,2008-03,-816.00M,-430.00M,,,-1.899B,,-1.202B,,-17.00M,-3.548B,,2008-03,7.362B,85.00M,8.208B,,2008-03,0.00,-816.00M,,,,,2008-03,Restated
2007-12,4.875B,,,,,-2.214B,2.094B,2.094B,156.00M,1.161B,-2.202B,350.00M,-38.00M,2.292B,,1.012B,-403.00M,1.011B,7.083B,,2007-12,322.00M,-4.975B,,-737.00M,10.00M,-5.702B,,2007-12,,1.187B,,-1.947B,-1.947B,,-1.214B,,-19.00M,-1.993B,,2007-12,7.95B,24.00M,7.362B,,2007-12,,,-1.947B,,,,2007-12,
2007-09,3.718B,,,,,3.288B,2.496B,2.496B,332.00M,-3.781B,-201.00M,-509.00M,152.00M,1.624B,,-1.307B,-107.00M,-348.00M,5.705B,,2007-09,604.00M,-3.82B,,86.00M,1.00M,-3.733B,,2007-09,,-2.161B,,-1.863B,-1.863B,,-1.225B,,-10.00M,-5.259B,,2007-09,11.22B,21.00M,7.95B,,2007-09,,,-1.863B,,,,2007-09,
2007-06,5.38B,,,,,-895.00M,2.155B,2.155B,-189.00M,512.00M,-1.464B,-590.00M,-484.00M,1.014B,,1.036B,24.00M,-464.00M,6.499B,,2007-06,1.248B,-2.449B,,-14.00M,10.00M,-2.453B,,2007-06,,-1.995B,,-1.432B,-1.432B,,-1.235B,,-25.00M,-4.687B,,2007-06,11.80B,57.00M,11.22B,,2007-06,,,-1.432B,,,,2007-06,
2007-03,4.715B,,,,,-1.004B,1.963B,1.963B,-38.00M,180.00M,,,,,,,-126.00M,-126.00M,5.69B,,2007-03,1.164B,-2.096B,,51.00M,,-2.045B,,2007-03,,-69.00M,,-1.147B,-1.147B,,-1.117B,,-23.00M,-2.356B,,2007-03,10.49B,18.00M,11.80B,,2007-03,,,-1.147B,,,,2007-03,
2006-12,3.772B,,,,,-433.00M,1.988B,1.988B,-151.00M,140.00M,1.147B,551.00M,-51.00M,141.00M,,-692.00M,-668.00M,428.00M,5.744B,,2006-12,349.00M,-3.797B,,-306.00M,410.00M,-3.693B,,2006-12,,-552.00M,,-1.14B,-1.14B,,-1.122B,,-20.00M,-2.834B,,2006-12,11.23B,50.00M,10.49B,,2006-12,,,-1.14B,,,,2006-12,
2006-09,5.017B,,,,,-863.00M,1.923B,1.923B,349.00M,-53.00M,-93.00M,-375.00M,-21.00M,88.00M,,-182.00M,936.00M,353.00M,6.726B,,2006-09,169.00M,-3.272B,,14.00M,0.00,-3.258B,,2006-09,,34.00M,,-1.236B,-1.236B,,-1.134B,,-24.00M,-2.36B,,2006-09,10.08B,38.00M,11.23B,,2006-09,,,-1.236B,,,,2006-09,
2006-06,4.353B,,,,,-480.00M,1.807B,1.807B,72.00M,404.00M,-707.00M,-604.00M,-19.00M,1.867B,,326.00M,-936.00M,-73.00M,6.083B,,2006-06,417.00M,-3.242B,,401.00M,41.00M,-2.80B,,2006-06,,-1.657B,,-1.159B,-1.159B,,-1.144B,,-3.00M,-3.963B,,2006-06,10.70B,57.00M,10.08B,,2006-06,,,-1.159B,,,,2006-06,
