,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,35.97B,35.97B,25.52B,10.45B,723.00M,,1.344B,159.00M,-159.00M,4.859B,6.926B,3.52B,159.00M,-159.00M,1.712B,-159.00M,5.073B,1.414B,3.659B,,,-21.00M,3.638B,3.638B,9.521B,,2018-03,1.92,,,,2018-03,1.90,,,,2018-03,1.896B,,2018-03,AOR,Restated
2017-12,36.38B,36.38B,25.89B,10.49B,1.262B,,3.182B,173.00M,-173.00M,5.462B,9.906B,582.00M,173.00M,-173.00M,1.072B,-173.00M,1.481B,-1.637B,3.118B,,,-7.00M,3.111B,3.111B,6.389B,,2017-12,1.65,,,,2017-12,1.64,,,,2017-12,1.889B,,2017-12,AOR,Restated
2017-09,33.89B,33.89B,23.88B,10.01B,1.107B,,3.213B,35.00M,-35.00M,5.088B,9.408B,599.00M,35.00M,-35.00M,2.094B,-35.00M,2.658B,672.00M,1.986B,,,-34.00M,1.952B,1.952B,7.802B,,2017-09,1.03,,,,2017-09,1.03,,,,2017-09,1.883B,,2017-09,AOR,Restated
2017-06,32.88B,32.88B,23.64B,9.241B,927.00M,,3.065B,48.00M,-48.00M,4.715B,8.707B,534.00M,48.00M,-48.00M,1.467B,-48.00M,1.953B,487.00M,1.466B,,,-16.00M,1.45B,1.45B,7.312B,,2017-06,0.77,,,,2017-06,0.77,,,,2017-06,1.881B,,2017-06,AOR,Restated
2017-03,31.52B,31.52B,21.70B,9.824B,810.00M,,2.871B,51.00M,-51.00M,4.73B,8.411B,1.413B,51.00M,-51.00M,1.767B,-51.00M,3.129B,430.00M,2.699B,,,-17.00M,2.682B,2.682B,7.374B,,2017-03,1.43,,,,2017-03,1.41,,,,2017-03,1.879B,,2017-03,AOR,Restated
2016-12,30.14B,30.14B,21.18B,8.963B,1.165B,,2.869B,58.00M,-58.00M,4.969B,9.003B,-40.00M,58.00M,-58.00M,610.00M,-58.00M,512.00M,74.00M,438.00M,,,-23.00M,415.00M,415.00M,4.773B,,2016-12,0.22,,,,2016-12,0.22,,,,2016-12,1.877B,,2016-12,AOR,Restated
2016-09,29.16B,29.16B,19.97B,9.187B,1.109B,,2.962B,64.00M,-64.00M,4.924B,8.995B,192.00M,64.00M,-64.00M,981.00M,-64.00M,1.109B,-192.00M,1.301B,,,-18.00M,1.283B,1.283B,5.303B,,2016-09,0.68,,,,2016-09,0.68,,,,2016-09,1.874B,,2016-09,AOR,Restated
2016-06,27.84B,27.84B,22.00B,5.845B,1.033B,,2.973B,79.00M,-79.00M,5.268B,9.274B,-3.429B,79.00M,-79.00M,1.438B,-79.00M,-2.07B,-607.00M,-1.463B,,,-7.00M,-1.47B,-1.47B,4.73B,,2016-06,-0.78,,,,2016-06,-0.78,,,,2016-06,1.872B,,2016-06,AOR,Restated
2016-03,23.07B,23.07B,15.63B,7.442B,998.00M,,2.864B,0.00,0.00,5.774B,9.636B,-2.194B,0.00,0.00,483.00M,0.00,-1.711B,-1.004B,-707.00M,,,-18.00M,-725.00M,-725.00M,2.692B,,2016-03,-0.39,,,,2016-03,-0.39,,,,2016-03,1.870B,,2016-03,AOR,Restated
2015-12,28.01B,28.01B,19.97B,8.044B,1.303B,,2.856B,0.00,0.00,7.328B,11.49B,-3.443B,0.00,0.00,1.233B,0.00,-2.21B,-1.655B,-555.00M,,,-33.00M,-588.00M,-588.00M,3.19B,,2015-12,-0.31,,,,2015-12,-0.31,,,,2015-12,1.869B,,2015-12,AOR,Restated
2015-09,32.77B,32.77B,21.72B,11.05B,1.026B,,2.883B,0.00,0.00,5.907B,9.816B,1.236B,0.00,0.00,1.548B,0.00,2.784B,727.00M,2.057B,,,-20.00M,2.037B,2.037B,7.052B,,2015-09,1.09,,,,2015-09,1.09,,,,2015-09,1.868B,,2015-09,AOR,Restated
2015-06,36.83B,36.83B,27.50B,9.33B,1.17B,,3.173B,0.00,0.00,7.152B,11.50B,-2.165B,0.00,0.00,3.528B,0.00,1.363B,755.00M,608.00M,,,-37.00M,571.00M,571.00M,8.321B,,2015-06,0.30,,,,2015-06,0.30,,,,2015-06,1.868B,,2015-06,AOR,Restated
2015-03,32.32B,32.32B,21.60B,10.71B,944.00M,,3.118B,,,5.987B,10.05B,662.00M,,,2.243B,,2.905B,305.00M,2.60B,,,-33.00M,2.567B,2.567B,5.073B,,2015-03,1.38,,,,2015-03,1.37,,,,2015-03,1.867B,,2015-03,AOR,Restated
2014-12,42.11B,42.11B,29.14B,12.98B,1.368B,,3.118B,,,7.082B,11.57B,1.407B,,,3.977B,,5.384B,1.912B,3.472B,,,-1.00M,3.471B,3.471B,17.76B,,2014-12,1.86,,,,2014-12,1.85,,,,2014-12,1.869B,,2014-12,AOR,Restated
2014-09,51.82B,51.82B,34.69B,17.13B,1.122B,,3.236B,,,6.769B,11.13B,6.006B,,,2.857B,,8.863B,3.236B,5.627B,,,-34.00M,5.593B,5.593B,9.954B,,2014-09,2.97,,,,2014-09,2.95,,,,2014-09,1.881B,,2014-09,AOR,Restated
2014-06,55.58B,55.58B,37.69B,17.90B,1.077B,,3.167B,,,6.981B,11.22B,6.672B,,,2.355B,,9.027B,3.337B,5.69B,,,-25.00M,5.665B,5.665B,10.51B,,2014-06,3.00,,,,2014-06,2.98,,,,2014-06,1.888B,,2014-06,AOR,Restated
2014-03,50.98B,50.98B,34.95B,16.02B,927.00M,,3.019B,,,6.438B,10.38B,5.641B,,,2.287B,,7.928B,3.407B,4.521B,,,-9.00M,4.512B,4.512B,9.771B,,2014-03,2.38,,,,2014-03,2.36,,,,2014-03,1.895B,,2014-03,AOR,Restated
2013-12,53.95B,53.95B,36.33B,17.62B,1.176B,,3.211B,,,7.247B,11.63B,5.99B,,,2.208B,,8.198B,3.24B,4.958B,,,-28.00M,4.93B,4.93B,9.625B,,2013-12,2.60,,,,2013-12,2.57,,,,2013-12,1.904B,,2013-12,AOR,Restated
2013-09,56.60B,56.60B,38.48B,18.12B,1.197B,,3.366B,,,6.625B,11.19B,6.935B,,,1.90B,,8.835B,3.839B,4.996B,,,-46.00M,4.95B,4.95B,10.59B,,2013-09,2.58,,,,2013-09,2.57,,,,2013-09,1.914B,,2013-09,AOR,Restated
2013-06,55.31B,55.31B,37.68B,17.62B,1.139B,,3.349B,,,6.607B,11.10B,6.527B,,,2.062B,,8.589B,3.185B,5.404B,,,-39.00M,5.365B,5.365B,9.939B,,2013-06,2.80,,,,2013-06,2.77,,,,2013-06,1.921B,,2013-06,AOR,Restated
2013-03,54.30B,54.30B,36.39B,17.90B,998.00M,,3.137B,,,6.009B,10.14B,7.761B,,,2.522B,,10.28B,4.044B,6.239B,,,-61.00M,6.178B,6.178B,11.24B,,2013-03,3.20,,,,2013-03,3.18,,,,2013-03,1.929B,,2013-03,AOR,Restated
2012-12,56.25B,56.25B,37.51B,18.74B,1.182B,,3.251B,,,6.63B,11.06B,7.678B,,,4.298B,,11.98B,4.679B,7.297B,,,-52.00M,7.245B,7.245B,11.23B,,2012-12,3.73,,,,2012-12,3.70,,,,2012-12,1.936B,,2012-12,AOR,Restated
2012-09,55.66B,55.66B,37.35B,18.31B,1.352B,,3.239B,,,6.169B,10.76B,7.548B,,,2.384B,,9.932B,4.624B,5.308B,,,-55.00M,5.253B,5.253B,10.92B,,2012-09,2.71,,,,2012-09,2.69,,,,2012-09,1.946B,,2012-09,AOR,Restated
2012-06,59.78B,59.78B,40.06B,19.72B,1.25B,,3.034B,,,5.913B,10.20B,9.527B,,,2.828B,,12.36B,5.123B,7.232B,,,-22.00M,7.21B,7.21B,12.81B,,2012-06,3.68,,,,2012-06,3.66,,,,2012-06,1.954B,,2012-06,AOR,Restated
2012-03,58.90B,58.90B,39.26B,19.64B,940.00M,,2.852B,,,5.586B,9.378B,10.26B,,,1.809B,,12.07B,5.57B,6.499B,,,-28.00M,6.471B,6.471B,13.46B,,2012-03,3.30,,,,2012-03,3.27,,,,2012-03,1.964B,,2012-03,AOR,Restated
2011-12,58.03B,56.45B,49.27B,7.172B,-14.37B,,2.68B,,,22.04B,746.00M,6.426B,,,3.539B,,9.965B,4.813B,5.152B,,,-29.00M,5.123B,5.123B,9.739B,,2011-12,2.61,0.00,,,2011-12,2.58,0.00,,,2011-12,1.971B,,2011-12,AOR,Restated
2011-09,61.26B,62.20B,37.60B,24.60B,6.493B,,3.544B,,,240.00M,13.49B,11.11B,,,2.227B,,13.34B,5.483B,7.857B,,,-28.00M,7.829B,7.829B,14.33B,,2011-09,3.94,0.00,,,2011-09,3.92,0.00,,,2011-09,1.985B,,2011-09,AOR,Restated
2011-06,66.67B,67.07B,40.76B,26.31B,6.46B,,4.843B,,,-4.838B,9.722B,16.58B,,,1.882B,,13.21B,5.447B,7.76B,,,-28.00M,7.732B,7.732B,19.84B,,2011-06,3.88,0.00,,,2011-06,3.85,0.00,,,2011-06,1.994B,,2011-06,AOR,Restated
2011-03,58.41B,58.65B,35.20B,23.45B,6.163B,,4.561B,,,168.00M,14.02B,9.435B,,,1.687B,,11.12B,4.883B,6.239B,,,-28.00M,6.211B,6.211B,12.56B,,2011-03,3.11,0.00,,,2011-03,3.09,0.00,,,2011-03,1.995B,,2011-03,AOR,Restated
2010-12,51.85B,51.42B,43.17B,8.252B,-12.44B,,4.623B,4.00M,-4.00M,19.52B,2.085B,6.167B,4.00M,-4.00M,2.603B,-4.00M,8.766B,3.446B,5.32B,,,-25.00M,5.295B,5.295B,12.21B,,2010-12,9.53,0.00,,,2010-12,9.48,0.00,,,2010-12,1.995B,,2010-12,AOR,Restated
2010-09,48.55B,48.48B,28.61B,19.87B,5.846B,,4.559B,9.00M,-9.00M,420.00M,14.23B,5.64B,9.00M,-9.00M,1.242B,-9.00M,6.873B,3.081B,3.792B,,,-24.00M,3.768B,3.768B,10.28B,,2010-09,1.89,0.00,,,2010-09,1.87,0.00,,,2010-09,1.998B,,2010-09,AOR,Restated
2010-06,51.05B,51.35B,30.60B,20.75B,5.727B,,4.537B,17.00M,-17.00M,-4.379B,9.026B,11.72B,17.00M,-17.00M,1.65B,-17.00M,8.766B,3.322B,5.444B,,,-35.00M,5.409B,5.409B,11.92B,,2010-06,2.71,0.00,,,2010-06,2.70,0.00,,,2010-06,1.996B,,2010-06,AOR,Restated
2010-03,46.74B,46.94B,31.73B,15.21B,1.042B,,4.472B,20.00M,-20.00M,180.00M,8.776B,6.435B,20.00M,-20.00M,1.235B,-20.00M,7.65B,3.07B,4.58B,,,-28.00M,4.552B,4.552B,10.75B,,2010-03,2.28,0.00,,,2010-03,2.27,0.00,,,2010-03,1.995B,,2010-03,AOR,Restated
2009-12,47.59B,47.78B,41.61B,6.164B,1.33B,,4.583B,0.00,0.00,281.00M,9.35B,-3.186B,0.00,0.00,898.00M,0.00,5.821B,2.719B,3.102B,,,-32.00M,3.07B,3.07B,8.977B,,2009-12,1.54,0.00,,,2009-12,1.53,0.00,,,2009-12,1.993B,,2009-12,AOR,Restated
2009-09,45.18B,45.55B,31.37B,14.18B,1.177B,,4.644B,14.00M,-14.00M,242.00M,9.051B,5.13B,14.00M,-14.00M,1.072B,-14.00M,6.188B,2.342B,3.846B,,,-15.00M,3.831B,3.831B,9.19B,,2009-09,1.92,0.00,,,2009-09,1.92,0.00,,,2009-09,1.992B,,2009-09,AOR,Restated
2009-06,39.47B,39.47B,27.89B,11.58B,1.043B,,4.386B,6.00M,-6.00M,438.00M,8.966B,2.617B,6.00M,-6.00M,735.00M,-6.00M,3.346B,1.585B,1.761B,,,-16.00M,1.745B,1.745B,6.451B,,2009-06,0.88,0.00,,,2009-06,0.87,0.00,,,2009-06,1.992B,,2009-06,AOR,Restated
2009-03,34.99B,35.52B,24.75B,10.77B,977.00M,,3.978B,8.00M,-8.00M,381.00M,8.203B,2.57B,8.00M,-8.00M,611.00M,-8.00M,3.173B,1.319B,1.854B,,,-17.00M,1.837B,1.837B,6.048B,,2009-03,0.92,0.00,,,2009-03,0.92,0.00,,,2009-03,1.991B,,2009-03,AOR,Restated
2008-12,43.14B,44.32B,28.99B,15.33B,1.492B,,4.547B,0.00,0.00,338.00M,8.966B,6.36B,0.00,0.00,886.00M,0.00,7.246B,2.345B,4.901B,,,-6.00M,4.895B,4.895B,9.835B,,2008-12,2.45,0.00,,,2008-12,2.44,0.00,,,2008-12,2.003B,,2008-12,,Restated
2008-09,76.19B,77.19B,54.91B,22.28B,1.278B,,5.614B,0.00,0.00,271.00M,9.612B,12.67B,0.00,0.00,1.673B,0.00,14.34B,6.416B,7.925B,,,-32.00M,7.893B,7.893B,16.79B,,2008-09,3.88,0.00,,,2008-09,3.85,0.00,,,2008-09,2.032B,,2008-09,,Restated
2008-06,81.43B,81.43B,61.30B,20.12B,1.639B,,5.699B,0.00,0.00,307.00M,9.92B,10.20B,0.00,0.00,1.563B,0.00,11.76B,5.756B,6.009B,,,-34.00M,5.975B,5.975B,14.04B,,2008-06,2.91,0.00,,,2008-06,2.90,0.00,,,2008-06,2.051B,,2008-06,,Restated
2008-03,64.66B,64.70B,46.98B,17.72B,1.347B,,5.443B,0.00,0.00,253.00M,9.258B,8.461B,0.00,0.00,1.244B,0.00,9.705B,4.509B,5.196B,,,-28.00M,5.168B,5.168B,11.92B,,2008-03,2.50,0.00,,,2008-03,2.48,0.00,,,2008-03,2.066B,,2008-03,,Restated
2007-12,59.90B,61.41B,43.30B,18.11B,1.833B,357.00M,5.56B,,,,9.487B,8.62B,,,1.51B,,8.578B,3.703B,4.875B,,,-35.00M,4.875B,4.643B,10.71B,,2007-12,2.34,0.00,,,2007-12,2.32,0.00,,,2007-12,2.090B,,2007-12,,
2007-09,53.54B,55.17B,38.68B,16.49B,1.446B,468.00M,5.538B,,,,9.479B,7.014B,,,1.628B,,6.967B,3.249B,3.718B,,,-25.00M,3.718B,3.414B,9.51B,,2007-09,1.77,0.00,,,2007-09,1.75,0.00,,,2007-09,2.109B,,2007-09,,
2007-06,54.34B,56.09B,37.54B,18.56B,1.516B,856.00M,5.743B,,,,9.415B,9.144B,,,1.75B,,9.062B,3.682B,5.38B,,,-19.00M,5.38B,4.824B,11.30B,,2007-06,2.52,0.00,,,2007-06,2.52,0.00,,,2007-06,2.128B,,2007-06,,
2007-03,46.30B,48.23B,32.05B,16.18B,1.131B,988.00M,5.425B,,,,8.519B,7.662B,,,1.925B,,7.56B,2.845B,4.715B,,,-28.00M,4.715B,4.099B,9.625B,,2007-03,2.20,0.00,,,2007-03,2.18,0.00,,,2007-03,2.146B,,2007-03,,
2006-12,53.29B,47.75B,32.30B,15.45B,1.203B,429.00M,12.59B,,,,15.78B,-328.00M,,,1.508B,,6.631B,2.859B,3.772B,,,-2.00M,3.772B,3.515B,1.66B,,2006-12,1.75,0.00,,,2006-12,1.74,0.00,,,2006-12,2.156B,,2006-12,,
2006-09,50.46B,54.21B,36.01B,18.20B,1.428B,155.00M,2.881B,,,,6.232B,11.97B,,,1.235B,,9.324B,4.307B,5.017B,,,-20.00M,5.017B,4.924B,13.89B,,2006-09,2.30,0.00,,,2006-09,2.29,0.00,,,2006-09,2.178B,,2006-09,,
2006-06,52.15B,53.54B,36.85B,16.69B,1.207B,270.00M,5.153B,,,,8.167B,8.522B,,,1.383B,,8.379B,4.026B,4.353B,,,-22.00M,4.353B,4.191B,10.33B,,2006-06,1.98,0.00,,,2006-06,1.97,0.00,,,2006-06,2.196B,,2006-06,,
2006-03,53.52B,54.62B,38.72B,15.91B,1.523B,117.00M,4.794B,,,,8.105B,7.802B,,,1.10B,,7.642B,3.646B,3.996B,,,-26.00M,3.996B,3.926B,9.59B,,2006-03,1.81,0.00,,,2006-03,1.80,0.00,,,2006-03,2.214B,,2006-03,,
2005-12,43.74B,53.79B,38.34B,15.46B,1.34B,227.00M,-3.656B,,,,-591.00M,16.05B,,,1.337B,,7.159B,3.015B,4.144B,,,-33.00M,4.144B,4.008B,17.77B,,2005-12,1.88,0.00,,,2005-12,1.86,0.00,,,2005-12,2.220B,,2005-12,,
2005-09,53.43B,54.46B,39.47B,14.99B,1.337B,156.00M,5.282B,,,,8.153B,6.835B,,,1.027B,,6.675B,3.081B,3.594B,,,-24.00M,3.594B,3.500B,8.369B,,2005-09,1.65,0.00,,,2005-09,1.64,0.00,,,2005-09,2.181B,,2005-09,,
2005-06,47.26B,48.34B,33.98B,14.36B,1.152B,217.00M,5.311B,,,,7.783B,6.578B,,,1.078B,,6.456B,2.772B,3.684B,,,-18.00M,3.684B,3.554B,7.898B,,2005-06,1.77,0.00,,,2005-06,1.76,0.00,,,2005-06,2.078B,,2005-06,,
2005-03,40.49B,41.61B,28.96B,12.65B,1.152B,228.00M,5.126B,,,,7.612B,5.035B,,,1.117B,,4.907B,2.23B,2.677B,,,-21.00M,2.677B,2.540B,6.369B,,2005-03,1.28,0.00,,,2005-03,1.28,0.00,,,2005-03,2.091B,,2005-03,,
2004-12,39.46B,48.51B,29.44B,19.07B,1.319B,295.00M,3.066B,,,,5.668B,13.40B,,,1.08B,,5.302B,1.862B,3.44B,0.00,,-22.00M,3.44B,3.249B,14.69B,,2004-12,1.64,0.00,,,2004-12,1.63,0.00,,,2004-12,2.100B,,2004-12,,
2004-09,37.57B,38.68B,28.38B,10.30B,1.231B,496.00M,2.908B,,,,5.358B,4.942B,,,1.109B,,4.812B,1.875B,2.937B,264.00M,,-23.00M,3.201B,2.634B,6.161B,,2004-09,1.38,0.13,,,2004-09,1.38,0.13,,,2004-09,2.113B,,2004-09,,
2004-06,34.66B,35.28B,24.85B,10.42B,986.00M,924.00M,2.968B,,,,5.197B,5.227B,,,1.664B,,6.132B,2.056B,4.106B,19.00M,,-18.00M,4.125B,3.492B,6.49B,,2004-06,1.93,0.01,,,2004-06,1.93,0.01,,,2004-06,2.123B,,2004-06,,
2004-03,31.21B,33.64B,22.28B,11.37B,1.021B,138.00M,2.908B,,,,5.119B,6.247B,,,582.00M,,4.275B,1.724B,2.551B,11.00M,,-22.00M,2.562B,2.468B,7.437B,,2004-03,1.21,0.00,,,2004-03,1.20,0.00,,,2004-03,2.127B,,2004-03,,
2003-12,28.25B,35.67B,20.54B,15.13B,1.173B,431.00M,2.818B,,,,5.318B,9.808B,,,693.00M,,2.588B,846.00M,1.742B,-7.00M,0.00,-14.00M,1.735B,1.452B,11.14B,,2003-12,0.83,-0.01,0.00,,2003-12,0.83,-0.01,-0.0021,,2003-12,1.936B,,2003-12,,
2003-09,28.23B,29.53B,20.38B,9.15B,1.197B,513.00M,2.603B,,,,5.19B,3.96B,,,799.00M,,3.321B,1.36B,1.961B,14.00M,,-24.00M,1.975B,1.653B,5.369B,,2003-09,1.00,0.01,,,2003-09,1.00,0.01,,,2003-09,2.125B,,2003-09,,
2003-06,27.32B,29.36B,19.27B,10.10B,1.061B,61.00M,2.748B,,,,5.22B,4.875B,,,276.00M,,2.972B,1.372B,1.60B,,,-20.00M,1.60B,1.563B,6.286B,,2003-06,0.755,0.00,,,2003-06,0.75,0.00,,,2003-06,2.125B,,2003-06,,
2003-03,28.77B,30.76B,20.24B,10.52B,1.009B,39.00M,2.639B,,,,4.88B,5.643B,,,304.00M,,3.80B,1.721B,2.079B,37.00M,-196.00M,-22.00M,1.92B,2.056B,6.885B,,2003-03,0.98,0.015,0.00,,2003-03,0.98,0.015,-0.0923,,2003-03,2.124B,,2003-03,,
2002-12,24.81B,26.68B,18.10B,8.578B,1.107B,-184.00M,2.611B,,,,4.927B,3.651B,,,-73.00M,,1.54B,666.00M,874.00M,,,-22.00M,904.00M,984.40M,4.86B,,2002-12,0.41,0.02,,,2002-12,0.41,0.01,,,2002-12,2.179B,,2002-12,,
2002-09,23.90B,25.68B,17.16B,8.526B,1.032B,-2.284B,2.587B,,,,5.133B,3.393B,,,-2.613B,,-38.00M,866.00M,-904.00M,,,-13.00M,-904.00M,466.40M,4.907B,,2002-09,-0.425,0.00,,,2002-09,-0.425,0.00,,,2002-09,2.123B,,2002-09,,
2002-06,23.47B,25.33B,16.53B,8.805B,1.153B,-1.494B,2.386B,,,,4.78B,4.025B,,,-1.413B,,1.283B,876.00M,407.00M,,,-10.00M,407.00M,1.303B,5.266B,,2002-06,0.195,0.00,,,2002-06,0.195,0.00,,,2002-06,2.121B,,2002-06,,
2002-03,19.16B,20.84B,13.65B,7.194B,863.00M,16.00M,2.092B,,,,4.16B,3.034B,,,128.00M,,1.315B,590.00M,725.00M,,,-12.00M,725.00M,715.40M,4.239B,,2002-03,0.34,0.00,,,2002-03,0.34,0.00,,,2002-03,2.120B,,2002-03,,
2001-12,61.62B,69.03B,46.54B,22.50B,2.544B,,4.897B,,,,12.42B,10.08B,,,,,1.245B,1.406B,-161.00M,,,,-804.00M,-161.00M,15.06B,,2001-12,-0.3795,,,,2001-12,-0.3795,,,,2001-12,2.134B,,2001-12,,
2001-09,11.56B,11.91B,7.382B,4.527B,537.00M,,1.253B,65.00M,-65.00M,,2.503B,2.024B,65.00M,-65.00M,,-65.00M,1.959B,791.00M,1.168B,,,,1.168B,1.168B,2.737B,,2001-09,0.91,0.00,,,2001-09,0.91,0.00,,,2001-09,1.287B,,2001-09,AOR,
2001-06,12.72B,13.01B,8.069B,4.937B,462.00M,,1.271B,75.00M,-75.00M,,2.423B,2.514B,75.00M,-75.00M,,-75.00M,2.439B,1.115B,1.324B,,,,1.324B,1.324B,3.204B,,2001-06,1.03,0.00,,,2001-06,1.025,0.00,,,2001-06,1.286B,,2001-06,AOR,
2001-03,11.96B,12.30B,7.251B,5.047B,441.00M,,1.189B,87.00M,-87.00M,,2.312B,2.735B,87.00M,-87.00M,,-87.00M,2.648B,1.048B,1.60B,,,,1.60B,1.60B,3.417B,,2001-03,1.245,0.00,,,2001-03,1.245,0.00,,,2001-03,1.284B,,2001-03,AOR,
2000-12,73.13B,80.56B,54.41B,26.15B,2.464B,,5.654B,,,,11.29B,14.86B,,,,,7.396B,3.36B,4.036B,,,,4.036B,4.036B,18.03B,,2000-12,1.16,0.00,,,2000-12,1.16,0.00,,,2000-12,1.305B,,2000-12,,
2000-09,13.00B,13.62B,8.41B,5.211B,399.00M,,1.24B,101.00M,-101.00M,,2.44B,2.771B,101.00M,-101.00M,,-101.00M,2.67B,1.139B,1.531B,,,,1.531B,1.531B,3.572B,,2000-09,1.18,0.00,,,2000-09,1.175,0.00,,,2000-09,1.297B,,2000-09,AOR,Restated
