,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2011-09,3.286B,3.286B,2.337B,948.53M,679.97M,,,,,701.43M,247.10M,,,,,247.10M,95.27M,151.83M,,,151.83M,151.83M,268.56M,21.46M,247.10M,0.97,0.0,,0.97,0.97,0.97,0.0,,0.97,0.97,156.21M,157.15M,0.45
2011-06,3.185B,3.185B,2.269B,916.11M,651.64M,,,,,674.56M,241.55M,,,,,241.55M,89.74M,151.81M,,,151.81M,151.81M,264.48M,22.93M,241.55M,0.97,0.0,,0.97,0.97,0.96,0.0,,0.96,0.96,157.25M,158.24M,0.45
2011-03,2.974B,2.974B,2.125B,848.79M,634.27M,,,,,656.81M,191.98M,,,,,191.98M,65.46M,126.52M,,,126.52M,126.52M,214.52M,22.54M,191.98M,0.8,0.0,,0.8,0.8,0.8,0.0,,0.8,0.8,157.63M,158.66M,0.45
2010-12,2.808B,2.808B,1.991B,817.13M,573.67M,,,,,606.18M,210.95M,,,,,186.39M,67.74M,118.65M,,,118.65M,118.65M,236.36M,21.91M,214.45M,0.75,,,0.75,0.75,0.75,,,0.75,0.75,157.54M,158.06M,0.41
2010-09,2.951B,2.951B,2.098B,853.03M,618.45M,,,,,640.54M,212.49M,,,,,212.49M,80.70M,131.78M,,,131.78M,131.78M,234.58M,22.09M,212.49M,0.84,0.0,,0.84,0.84,0.83,0.0,,0.83,0.83,157.57M,157.98M,0.41
2010-06,2.847B,2.847B,2.025B,822.31M,598.33M,,,,,621.52M,200.79M,,,,,200.79M,76.33M,124.47M,,,124.47M,124.47M,223.98M,23.19M,200.79M,0.79,0.0,,0.79,0.79,0.78,0.0,,0.78,0.78,158.26M,158.66M,0.41
2010-03,2.602B,2.602B,1.842B,760.48M,576.22M,,,,,598.36M,162.12M,,,,,162.12M,61.51M,100.61M,,,100.61M,100.61M,184.26M,22.14M,162.12M,0.63,0.0,,0.63,0.63,0.63,0.0,,0.63,0.63,158.77M,159.18M,0.41
2009-12,2.471B,2.471B,1.704B,767.46M,526.55M,,,,,577.93M,189.53M,,,,,162.74M,63.57M,99.17M,,,99.17M,99.17M,213.54M,22.92M,190.63M,0.63,0.0,,0.63,0.63,0.62,0.0,,0.62,0.62,159.14M,159.52M,0.4
2009-09,2.607B,2.607B,1.842B,765.25M,571.98M,,,,,594.54M,170.71M,,,,,170.71M,63.07M,107.64M,,,107.64M,107.64M,193.27M,22.56M,170.71M,0.67,0.0,,0.67,0.67,0.67,0.0,,0.67,0.67,159.54M,159.88M,0.4
2009-06,2.535B,2.535B,1.790B,744.86M,556.39M,,,,,578.80M,166.05M,,,,,166.05M,62.44M,103.61M,,,103.61M,103.61M,188.46M,22.41M,166.05M,0.65,0.0,,0.65,0.65,0.65,0.0,,0.65,0.65,159.51M,159.77M,0.4
2009-03,2.444B,2.444B,1.712B,732.20M,565.01M,,,,,587.53M,144.67M,,,,,144.67M,55.51M,89.16M,,,89.16M,89.16M,167.19M,22.52M,144.67M,0.56,0.0,,0.56,0.56,0.56,0.0,,0.56,0.56,159.44M,159.66M,0.4
2008-12,2.520B,2.520B,1.768B,751.79M,523.83M,,,,,569.94M,181.85M,,,,,150.23M,62.45M,87.78M,,,87.78M,87.78M,204.18M,22.23M,181.96M,0.56,0.0,,0.56,0.56,0.56,0.0,,0.56,0.56,159.43M,159.43M,0.39
2008-09,2.882B,2.882B,2.033B,849.00M,616.40M,,,,,638.16M,210.84M,,,,,210.84M,79.82M,131.02M,,,131.02M,131.02M,232.61M,21.77M,210.84M,0.81,0.0,,0.81,0.81,0.81,0.0,,0.81,0.81,161.60M,161.60M,0.39
2008-06,2.873B,2.873B,2.021B,852.21M,614.48M,,,,,636.50M,215.71M,,,,,215.71M,82.64M,133.07M,,,133.07M,133.07M,237.73M,22.02M,215.71M,0.81,0.0,,0.81,0.81,0.81,0.0,,0.81,0.81,163.41M,164.13M,0.39
2008-03,2.739B,2.739B,1.920B,819.48M,605.12M,,,7.154M,-7.154M,627.80M,191.68M,7.154M,-7.154M,,-7.154M,191.68M,68.14M,123.54M,,,123.54M,123.54M,221.52M,22.68M,198.84M,0.75,0.0,,0.75,0.75,0.75,0.0,,0.75,0.75,164.98M,165.71M,0.39
2007-12,2.627B,2.627B,1.982B,645.21M,396.98M,,,,,420.67M,224.54M,,,,,203.43M,77.35M,126.08M,,,126.08M,126.08M,248.23M,23.69M,224.54M,0.75,0.0,,0.75,0.75,0.75,0.0,,0.75,0.75,166.93M,167.89M,0.365
2007-09,2.798B,2.798B,1.927B,870.49M,641.11M,,,,,663.10M,207.39M,,,,,207.39M,78.81M,128.58M,,,128.58M,128.58M,229.38M,21.99M,207.39M,0.76,0.0,,0.76,0.76,0.76,0.0,,0.76,0.76,168.82M,169.82M,0.365
2007-06,2.770B,2.770B,1.900B,869.58M,638.45M,,,,,659.77M,209.82M,,,,,209.82M,79.70M,130.12M,,,130.12M,130.12M,231.13M,21.32M,209.82M,0.76,0.0,,0.76,0.76,0.76,0.0,,0.76,0.76,170.32M,171.38M,0.365
2007-03,2.649B,2.649B,1.817B,831.94M,615.13M,,,,,635.83M,196.11M,,,,,196.11M,74.56M,121.55M,,,121.55M,121.55M,216.81M,20.70M,196.11M,0.71,0.0,,0.71,0.71,0.71,0.0,,0.71,0.71,170.47M,171.50M,0.365
2006-12,2.543B,2.543B,1.727B,815.54M,577.73M,,,,,595.66M,219.88M,,,,,194.08M,74.61M,119.47M,,,119.47M,119.47M,237.81M,17.93M,219.88M,0.7,0.0,,0.7,0.7,0.7,0.0,,0.7,0.7,170.45M,171.40M,0.3375
2006-09,2.700B,2.700B,1.868B,831.30M,614.21M,,,,,634.44M,196.85M,,,,,196.85M,75.52M,121.33M,,,121.33M,121.33M,217.09M,20.24M,196.85M,0.71,0.0,,0.71,0.71,0.71,0.0,,0.71,0.71,170.91M,171.74M,0.3375
2006-06,2.662B,2.662B,1.837B,825.18M,612.06M,,,,,629.69M,195.49M,,,,,195.49M,74.81M,120.68M,,,120.68M,120.68M,213.13M,17.63M,195.49M,0.7,0.0,,0.7,0.7,0.7,0.0,,0.7,0.7,172.19M,173.08M,0.3375
2006-03,2.554B,2.554B,1.750B,803.48M,601.36M,,,,,618.98M,184.50M,,,,,184.50M,70.57M,113.92M,,,113.92M,113.92M,202.12M,17.62M,184.50M,0.66,0.0,,0.66,0.66,0.66,0.0,,0.66,0.66,172.77M,173.68M,0.3375
2005-12,2.410B,2.410B,1.622B,787.85M,662.36M,,,,,610.93M,176.92M,,,,,176.92M,67.92M,108.99M,,,108.99M,108.99M,191.02M,14.10M,176.92M,0.63,0.0,,0.63,0.63,0.63,0.0,,0.63,0.63,173.26M,174.16M,0.3125
2005-09,2.556B,2.556B,1.777B,778.50M,581.23M,,,,,598.40M,180.10M,,,,,180.10M,69.22M,110.88M,,,110.88M,110.88M,197.27M,17.17M,180.10M,0.64,0.0,,0.64,0.64,0.63,0.0,,0.63,0.63,173.93M,174.88M,0.3125
2005-06,2.476B,2.476B,1.714B,761.26M,564.23M,,,,,581.42M,179.84M,,,,,179.84M,68.87M,110.97M,,,110.97M,110.97M,197.03M,17.19M,179.84M,0.64,0.0,,0.64,0.64,0.63,0.0,,0.63,0.63,174.27M,175.23M,0.3125
2005-03,2.342B,2.342B,1.606B,736.48M,547.20M,,,,,564.27M,172.21M,,,,,172.21M,65.61M,106.60M,,,106.60M,106.60M,189.28M,17.07M,172.21M,0.61,0.0,,0.61,0.61,0.61,0.0,,0.61,0.61,174.77M,176.04M,0.3125
2004-12,2.253B,2.253B,1.503B,750.35M,598.48M,,,,,598.48M,151.87M,,,,,151.87M,55.56M,96.31M,,,96.31M,96.31M,164.30M,12.43M,151.87M,0.55,0.0,,0.55,0.55,0.54,0.0,,0.54,0.54,174.80M,176.17M,0.3
2004-09,2.349B,2.349B,1.650B,699.39M,541.68M,,,,,541.68M,157.72M,,,,,157.72M,59.82M,97.89M,,,97.89M,97.89M,174.30M,16.58M,157.72M,0.56,0.0,,0.56,0.56,0.56,0.0,,0.56,0.56,174.79M,175.81M,0.3
2004-06,2.298B,2.298B,1.605B,693.06M,529.13M,,,,,529.13M,163.93M,,,,,163.93M,62.79M,101.15M,,,101.15M,101.15M,180.93M,17.00M,163.93M,0.58,0.0,,0.58,0.58,0.58,0.0,,0.58,0.58,174.83M,175.64M,0.3
2004-03,2.197B,2.197B,1.510B,686.91M,524.51M,,,,,524.51M,162.40M,,,,,162.40M,62.20M,100.20M,,,100.20M,100.20M,178.59M,16.19M,162.40M,0.57,0.0,,0.57,0.57,0.57,0.0,,0.57,0.57,174.32M,174.90M,0.3
2003-12,2.085B,2.085B,1.404B,680.94M,547.47M,,,,,547.47M,133.48M,,,,,133.48M,46.74M,86.74M,,0.00,86.74M,86.74M,150.38M,16.91M,133.48M,0.5,0.0,0.0,0.5,0.5,0.5,-0.01,0.0,0.5,0.49,174.00M,174.46M,0.295
2003-09,2.189B,2.189B,1.537B,651.95M,506.90M,,,,,506.90M,145.05M,,,,,145.05M,56.71M,88.33M,,,88.33M,88.33M,161.38M,16.34M,145.05M,0.51,0.0,,0.51,0.51,0.51,0.0,,0.51,0.51,173.95M,174.43M,0.295
2003-06,2.153B,2.153B,1.501B,651.38M,503.36M,,,,,503.36M,148.03M,,,,,148.03M,57.88M,90.15M,,,90.15M,90.15M,166.77M,18.74M,148.03M,0.52,0.0,,0.52,0.52,0.52,0.0,,0.52,0.52,173.90M,174.46M,0.295
2003-03,2.022B,2.022B,1.384B,638.34M,493.14M,,,,,493.14M,145.20M,,,,,145.20M,56.77M,88.42M,,-19.54M,68.88M,88.42M,162.23M,17.03M,145.20M,0.51,-0.11,0.0,0.51,0.4,0.51,-0.12,-0.1122,0.51,0.39,174.15M,174.60M,0.295
2002-12,1.994B,1.994B,1.337B,656.18M,506.22M,,,,,506.22M,149.96M,,,,,149.96M,59.56M,90.40M,,0.00,90.40M,90.40M,167.12M,17.15M,149.96M,0.52,0.0,0.0,0.52,0.52,0.52,0.0,0.0003,0.52,0.52,174.44M,174.94M,0.29
2002-09,2.157B,2.157B,1.507B,649.79M,494.63M,,,,,494.63M,155.16M,,,,,155.16M,61.13M,94.03M,,,94.03M,94.03M,171.86M,16.70M,155.16M,0.54,0.0,,0.54,0.54,0.54,0.0,,0.54,0.54,174.71M,175.25M,0.29
2002-06,2.131B,2.131B,1.487B,644.23M,486.52M,,,,,486.52M,157.71M,,,,,157.71M,61.66M,96.05M,,,96.05M,96.05M,175.59M,17.88M,157.71M,0.55,0.0,,0.55,0.55,0.55,0.0,,0.55,0.55,174.44M,175.35M,0.29
2002-03,1.978B,1.978B,1.374B,603.97M,461.07M,,,,,461.07M,142.90M,,,,,142.90M,55.88M,87.03M,,-395.09M,-308.06M,87.03M,161.32M,18.42M,142.90M,0.5,-2.27,-0.0,0.5,-1.77,-1.76,-2.27,-2.272,-1.76,-1.77,173.88M,174.88M,0.29
2001-12,1.948B,1.948B,1.322B,625.05M,508.74M,,,,,508.74M,116.31M,,,,,42.38M,17.42M,24.97M,,,24.97M,24.97M,133.18M,16.88M,116.31M,0.14,0.0,,0.14,0.14,0.14,0.0,,0.14,0.14,173.40M,174.33M,0.285
2001-09,2.099B,2.099B,1.469B,630.31M,483.29M,,,,,483.29M,147.03M,,,,,147.03M,58.81M,88.22M,,,88.22M,88.22M,168.80M,21.78M,147.03M,0.51,0.0,,0.51,0.51,0.51,0.0,,0.51,0.51,173.08M,173.98M,0.285
2001-06,2.119B,2.119B,1.452B,667.08M,485.16M,,,,,509.27M,157.81M,,,,,157.81M,63.12M,94.69M,,,94.69M,94.69M,181.92M,24.10M,157.81M,0.55,0.0,,0.55,0.55,0.55,0.0,,0.55,0.55,172.48M,173.36M,0.285
2001-03,2.055B,2.055B,1.409B,646.20M,474.37M,,,,,497.41M,148.79M,,,,,148.79M,59.52M,89.27M,,,89.27M,89.27M,171.83M,23.04M,148.79M,0.52,0.0,,0.52,0.52,0.5165,0.0,,0.5165,0.5165,172.09M,172.83M,0.285
2000-12,1.996B,1.996B,1.197B,799.04M,596.70M,,,,,619.24M,179.80M,,,,,179.80M,74.53M,105.27M,,,105.27M,105.27M,202.34M,22.54M,179.80M,0.61,0.0,,0.61,0.61,0.61,0.0,,0.61,0.61,172.75M,173.03M,0.275
2000-09,2.160B,2.160B,1.513B,646.53M,470.75M,,,,,493.13M,153.39M,,,,,153.39M,61.66M,91.73M,,,91.73M,91.73M,175.78M,22.39M,153.39M,0.53,0.0,,0.53,0.53,0.53,0.0,,0.53,0.53,174.19M,174.46M,0.275
2000-06,2.136B,2.136B,1.495B,640.45M,456.08M,,,,,479.63M,160.83M,,,,,160.83M,64.23M,96.59M,,,96.59M,96.59M,184.38M,23.55M,160.83M,0.55,0.0,,0.55,0.55,0.55,0.0,,0.55,0.55,176.34M,176.71M,0.275
2000-03,2.071B,2.071B,1.427B,643.88M,467.32M,,,,,491.15M,152.73M,,,,,152.73M,61.00M,91.73M,,,91.73M,91.73M,176.55M,23.82M,152.73M,0.52,0.0,,0.52,0.52,0.52,0.0,,0.52,0.52,176.77M,177.07M,0.275
1999-12,1.944B,1.944B,1.151B,793.01M,588.40M,,,,,610.77M,182.24M,,,,,182.27M,73.94M,108.32M,,,108.32M,108.32M,204.61M,22.37M,182.24M,0.61,0.0,,0.61,0.61,0.61,0.0,,0.61,0.61,176.38M,178.35M,0.26
1999-09,2.082B,2.082B,1.454B,627.90M,453.10M,,,,,477.90M,150.00M,,,,,150.00M,59.40M,90.60M,,,90.60M,90.60M,174.80M,24.80M,150.00M,0.51,0.0,,0.51,0.51,0.51,0.0,,0.51,0.51,177.65M,177.65M,0.26
1999-06,2.023B,2.023B,1.413B,610.20M,436.80M,,,,,456.90M,153.30M,,,,,153.30M,60.70M,92.60M,,,92.60M,92.60M,173.40M,20.10M,153.30M,0.52,0.0,,0.52,0.52,0.52,0.0,,0.52,0.52,178.08M,178.08M,0.26
1999-03,1.901B,1.901B,1.328B,573.60M,408.40M,,,,,431.10M,142.50M,,,,,142.50M,56.40M,86.10M,,,86.10M,86.10M,165.20M,22.70M,142.50M,0.48,0.0,,0.48,0.48,0.48,0.0,,0.48,0.48,179.38M,179.38M,0.26
1998-12,1.675B,1.675B,972.86M,702.14M,507.99M,,,,,529.60M,172.54M,,,,,172.42M,68.62M,103.79M,,,103.79M,103.79M,194.15M,21.60M,172.54M,0.57,0.0,,0.57,0.57,0.57,0.0,,0.57,0.57,181.49M,181.49M,0.25
1998-09,1.760B,1.760B,1.230B,530.50M,371.90M,,,,,388.00M,142.50M,,,,,142.50M,56.40M,86.10M,,,86.10M,86.10M,158.60M,16.10M,142.50M,0.48,0.0,,0.48,0.48,0.48,0.0,,0.48,0.48,179.38M,179.38M,0.25
1998-06,1.619B,1.619B,1.126B,493.00M,335.40M,,,,,351.00M,142.00M,,,,,142.00M,56.10M,85.90M,,,85.90M,85.90M,157.60M,15.60M,142.00M,0.48,0.0,,0.48,0.48,0.48,0.0,,0.48,0.48,178.96M,178.96M,0.25
