,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,,19.25B,67.12B,86.37B,,,,86.37B,,,,,,,,2.441B,9.44B,3.388B,12.83B,282.69B,3.918B,,278.77B,111.74B,440.87B,460.12B,,17.70B,17.70B,17.70B,17.70B,33.20B,,33.20B,344.53B,625.00M,377.73B,410.31B,5.44B,55.55B,8.438B,18.05B,5.419B,-2.193B,49.19B
2017-12,,19.50B,68.14B,87.64B,,,,87.64B,520.00M,3.555B,2.951B,,35.00M,7.061B,-4.629B,2.432B,9.434B,3.228B,12.66B,283.99B,3.925B,,280.06B,112.50B,442.54B,462.04B,8.303B,7.293B,15.60B,15.60B,16.65B,32.26B,,32.26B,347.22B,626.00M,379.47B,412.37B,5.44B,54.14B,8.464B,17.60B,5.419B,-1.404B,49.04B
2017-09,,20.54B,67.77B,88.31B,,,,88.31B,,,,,,,,2.402B,9.37B,3.193B,12.56B,282.48B,3.908B,,278.57B,111.79B,438.69B,459.23B,,15.86B,15.86B,15.86B,15.86B,34.52B,,34.52B,342.59B,628.00M,377.10B,409.88B,5.44B,53.02B,8.457B,16.98B,5.419B,-1.219B,48.72B
2017-06,,28.96B,67.46B,96.42B,,,,96.42B,,,,,,,,2.413B,9.361B,3.216B,12.58B,280.94B,3.856B,,277.09B,111.11B,434.88B,463.84B,,14.41B,14.41B,14.41B,14.41B,37.81B,,37.81B,347.26B,629.00M,385.08B,414.90B,5.44B,52.03B,8.425B,16.33B,5.419B,-1.246B,48.32B
2017-03,,20.32B,67.03B,87.35B,,,,87.35B,,,,,,,,2.432B,9.348B,3.313B,12.66B,276.32B,3.816B,,272.50B,110.42B,429.20B,449.52B,,12.18B,12.18B,12.18B,12.18B,35.95B,,35.95B,336.87B,635.00M,372.82B,401.09B,5.44B,51.07B,8.388B,15.66B,5.419B,-1.439B,47.80B
2016-12,,15.70B,66.28B,81.99B,,,,81.99B,516.00M,3.508B,2.798B,,29.00M,6.851B,-4.408B,2.443B,9.344B,3.303B,12.65B,278.03B,3.813B,,274.22B,109.28B,430.26B,445.96B,10.01B,2.705B,12.72B,12.72B,13.96B,33.32B,,33.32B,334.59B,635.00M,367.91B,398.03B,5.522B,50.15B,8.44B,15.28B,5.501B,-1.535B,47.30B
2016-09,,23.66B,67.16B,90.82B,,,,90.82B,,,,,,,,2.449B,9.357B,2.887B,12.24B,276.86B,3.797B,,273.07B,110.03B,430.47B,454.13B,,15.70B,15.70B,15.70B,15.70B,37.98B,,37.98B,334.60B,640.00M,372.57B,405.74B,5.522B,49.23B,8.429B,14.84B,5.501B,-579.00M,47.76B
2016-06,,14.04B,66.49B,80.53B,,,,80.53B,,,,,,,,2.459B,9.359B,2.852B,12.21B,272.83B,3.806B,,269.03B,108.52B,424.42B,438.46B,,18.43B,18.43B,18.43B,18.43B,36.94B,,36.94B,317.59B,639.00M,354.53B,390.43B,5.522B,48.27B,8.402B,14.24B,5.501B,-562.00M,47.39B
2016-03,,10.98B,64.91B,75.89B,,,,75.89B,,,,,,,,2.486B,9.368B,3.042B,12.41B,268.53B,3.853B,,264.67B,107.02B,417.66B,428.64B,,23.78B,23.78B,23.78B,23.78B,34.87B,,34.87B,306.35B,638.00M,341.22B,381.24B,5.522B,47.27B,8.368B,13.66B,5.501B,-744.00M,46.76B
2015-12,,11.15B,62.00B,73.14B,,,,73.14B,522.00M,3.461B,2.721B,,19.00M,6.723B,-4.21B,2.513B,9.361B,3.35B,12.71B,264.03B,3.863B,,260.17B,105.59B,410.71B,421.85B,22.02B,4.116B,26.14B,26.14B,27.88B,32.08B,,32.08B,300.40B,686.00M,332.48B,375.04B,5.522B,46.38B,8.376B,13.12B,5.501B,-1.019B,46.13B
2015-09,,10.45B,60.40B,70.85B,,,,70.85B,,,,,,,,2.515B,9.368B,3.176B,12.54B,259.26B,3.965B,,255.30B,105.09B,405.49B,415.94B,,26.92B,26.92B,26.92B,26.92B,32.50B,,32.50B,295.26B,692.00M,327.77B,370.18B,4.777B,45.41B,8.362B,12.76B,4.756B,-721.00M,45.08B
2015-06,,17.92B,57.08B,75.00B,,,,75.00B,,,,,,,,2.551B,9.374B,3.225B,12.60B,257.14B,4.013B,,253.12B,103.31B,401.15B,419.08B,,27.78B,27.78B,27.78B,27.78B,34.14B,,34.14B,296.85B,694.00M,330.99B,373.84B,4.777B,44.43B,8.335B,12.14B,4.756B,-865.00M,44.54B
2015-03,,14.07B,56.83B,70.90B,,,,70.90B,,,,,,,,2.575B,9.363B,3.033B,12.40B,253.31B,4.023B,,249.29B,102.42B,396.16B,410.23B,,28.23B,28.23B,28.23B,28.23B,35.10B,,35.10B,286.60B,688.00M,321.70B,365.27B,4.777B,43.46B,8.315B,11.56B,4.756B,-714.00M,44.28B
2014-12,,10.65B,56.07B,66.72B,,,,66.72B,534.00M,3.449B,2.719B,,26.00M,6.728B,-4.11B,2.618B,9.389B,3.162B,12.55B,252.64B,4.039B,,248.60B,101.04B,391.88B,402.53B,22.20B,5.862B,28.06B,28.06B,29.89B,31.46B,797.00M,32.26B,282.73B,689.00M,314.99B,358.36B,4.777B,42.53B,8.313B,11.24B,4.756B,-896.00M,43.48B
2014-09,,6.183B,52.67B,58.86B,,,,58.86B,,,,,,,,2.608B,9.401B,3.338B,12.74B,249.53B,4.065B,,245.46B,96.90B,385.10B,391.28B,,30.04B,30.04B,30.04B,30.04B,30.77B,,30.77B,273.10B,688.00M,303.86B,347.46B,4.777B,41.54B,8.293B,10.84B,4.756B,-636.00M,43.14B
2014-06,,12.64B,48.39B,61.02B,,,,61.02B,,,,,,,,2.614B,9.422B,3.337B,12.76B,246.89B,4.132B,,242.76B,90.38B,376.43B,389.06B,,29.10B,29.10B,29.10B,29.10B,25.89B,,25.89B,276.26B,686.00M,302.15B,345.68B,4.777B,40.57B,8.264B,10.23B,4.756B,-682.00M,42.70B
2014-03,,7.408B,44.76B,52.17B,,,,52.17B,,,,,,,,2.589B,9.204B,3.422B,12.63B,240.22B,4.189B,,236.03B,85.47B,363.88B,371.29B,,30.78B,30.78B,30.78B,30.78B,23.77B,,23.77B,260.61B,689.00M,284.39B,328.55B,4.777B,39.58B,8.236B,9.693B,4.756B,-850.00M,42.05B
2013-12,,8.477B,40.94B,49.41B,,,,49.41B,529.00M,3.359B,2.593B,,24.00M,6.505B,-3.899B,2.606B,9.205B,3.529B,12.73B,238.50B,4.25B,,234.25B,79.86B,355.54B,364.02B,19.40B,5.557B,24.96B,24.96B,27.61B,19.32B,730.00M,20.05B,262.12B,694.00M,282.17B,322.21B,4.777B,38.67B,8.216B,9.476B,4.756B,-1.071B,41.11B
2013-09,,11.62B,39.31B,50.92B,,,,50.92B,,,,,,,,2.608B,9.173B,3.455B,12.63B,235.24B,4.258B,,230.98B,76.21B,349.07B,360.68B,,26.13B,26.13B,26.13B,26.13B,18.75B,,18.75B,261.72B,1.42B,280.47B,319.13B,4.777B,37.69B,8.188B,9.174B,4.756B,-1.351B,40.13B
2013-06,,6.618B,40.31B,46.92B,,,,46.92B,,,,,,,,2.622B,9.156B,3.287B,12.44B,232.74B,4.312B,,228.43B,74.98B,346.80B,353.42B,,26.18B,26.18B,26.18B,26.18B,19.72B,,19.72B,251.57B,1.367B,271.29B,312.36B,4.777B,36.71B,8.167B,8.68B,4.756B,-1.288B,39.68B
2013-03,,6.932B,40.57B,47.50B,,,,47.50B,,,,,,,,2.656B,9.152B,2.918B,12.07B,231.07B,4.39B,,226.68B,75.29B,348.52B,355.45B,,27.13B,27.13B,27.13B,27.13B,25.24B,,25.24B,248.01B,1.316B,273.25B,314.60B,4.79B,35.72B,8.138B,8.176B,4.769B,-941.00M,39.53B
2012-12,,8.252B,40.14B,48.39B,,,,48.39B,534.00M,3.319B,2.543B,,42.00M,6.438B,-3.768B,2.67B,9.143B,2.706B,11.85B,231.30B,4.424B,,226.88B,74.53B,345.60B,353.86B,16.20B,5.762B,21.96B,21.96B,26.30B,20.67B,4.843B,25.52B,249.18B,1.269B,274.70B,313.59B,4.79B,34.72B,8.201B,7.79B,4.769B,-923.00M,39.00B
2012-09,,9.382B,,9.382B,,,,9.382B,,,,,,,,2.65B,8.943B,2.533B,11.48B,228.03B,4.481B,,223.55B,74.14B,342.87B,352.25B,,27.85B,27.85B,27.85B,27.85B,26.26B,,26.26B,244.23B,1.164B,270.50B,312.43B,4.79B,33.73B,8.186B,7.442B,4.769B,-603.00M,38.66B
2012-06,,15.40B,,15.40B,,,,15.40B,,,,,,,,2.638B,8.934B,2.712B,11.65B,224.34B,4.572B,,219.77B,73.95B,337.73B,353.14B,,30.68B,30.68B,30.68B,30.68B,28.82B,,28.82B,241.32B,1.082B,270.14B,314.26B,4.79B,32.69B,8.176B,7.031B,4.769B,-830.00M,37.79B
2012-03,,9.561B,,9.561B,,,,9.561B,,,,,,,,2.623B,8.941B,2.919B,11.86B,217.18B,4.645B,,212.53B,74.25B,331.20B,340.76B,,27.45B,27.45B,27.45B,27.45B,30.40B,,30.40B,233.55B,1.014B,263.95B,303.85B,3.715B,31.70B,8.168B,6.744B,3.694B,-944.00M,35.90B
2011-12,,13.96B,51.94B,65.90B,,,,65.90B,525.00M,3.239B,2.449B,,44.00M,6.257B,-3.60B,2.657B,8.927B,2.736B,11.66B,216.99B,4.753B,,212.24B,70.81B,326.16B,340.12B,15.97B,6.473B,22.45B,22.45B,30.47B,28.29B,3.659B,31.95B,230.88B,993.00M,262.84B,305.15B,2.627B,30.78B,8.238B,6.472B,2.606B,-1.20B,33.98B
2011-09,,13.71B,,13.71B,,,,13.71B,,,,,,,,2.581B,8.933B,2.675B,11.61B,210.14B,4.95B,,205.19B,68.38B,316.43B,330.14B,,32.03B,32.03B,32.03B,32.03B,30.62B,,30.62B,222.63B,980.00M,253.26B,295.93B,2.627B,29.70B,8.248B,6.419B,2.606B,-930.00M,33.23B
2011-06,,15.25B,,15.25B,,,,15.25B,,,,,,,,2.529B,8.95B,3.266B,12.22B,203.42B,5.071B,,198.35B,65.58B,305.62B,320.87B,,29.65B,29.65B,29.65B,29.65B,32.83B,,32.83B,214.88B,889.00M,247.71B,287.53B,2.627B,28.70B,8.235B,6.134B,2.606B,-977.00M,32.45B
2011-03,,13.80B,,13.80B,,,,13.80B,,,,,,,,2.508B,8.947B,3.415B,12.36B,202.18B,5.27B,,196.91B,60.46B,297.66B,311.46B,,31.02B,31.02B,31.02B,31.02B,31.78B,,31.78B,208.29B,828.00M,240.07B,280.13B,1.951B,27.77B,8.215B,6.089B,1.93B,-1.339B,30.51B
2010-12,,14.49B,,14.49B,,,,14.49B,516.00M,3.161B,2.791B,,50.00M,6.518B,-4.031B,2.487B,8.954B,3.213B,12.17B,205.43B,5.31B,,200.12B,52.98B,293.30B,307.79B,,32.56B,32.56B,32.56B,32.56B,31.54B,,31.54B,204.25B,803.00M,235.79B,277.46B,1.951B,27.00B,8.294B,6.262B,1.93B,-1.469B,29.52B
2010-09,,4.47B,,4.47B,,,,4.47B,,,,,,,,2.304B,9.024B,2.856B,11.88B,194.62B,5.321B,,189.30B,48.96B,286.18B,290.65B,,34.34B,34.34B,34.34B,34.34B,30.35B,,30.35B,187.41B,792.00M,217.76B,260.71B,1.951B,26.15B,8.31B,6.363B,1.93B,-894.00M,29.15B
2010-06,,5.033B,,5.033B,,,,5.033B,,,,,,,,2.257B,9.002B,3.068B,12.07B,196.50B,5.32B,,191.18B,48.37B,278.21B,283.24B,,33.80B,33.80B,33.80B,33.80B,29.14B,,29.14B,183.12B,771.00M,212.26B,254.30B,1.951B,25.37B,8.292B,6.381B,1.93B,-1.06B,28.17B
2010-03,,8.38B,,8.38B,,,,8.38B,,,,,,,,2.246B,9.007B,3.388B,12.40B,195.04B,5.235B,,189.80B,46.91B,274.05B,282.43B,,31.20B,31.20B,31.20B,31.20B,32.40B,,32.40B,184.04B,679.00M,216.44B,255.04B,1.521B,24.60B,8.267B,6.409B,1.50B,-1.267B,26.71B
2009-12,,6.206B,,6.206B,,,,6.206B,460.00M,3.005B,2.643B,,21.00M,6.129B,-3.866B,2.263B,9.011B,3.406B,12.42B,199.53B,5.079B,,194.45B,44.77B,274.97B,281.18B,,31.31B,31.31B,31.31B,31.31B,32.58B,,32.58B,183.24B,698.00M,215.82B,254.52B,1.521B,24.12B,8.319B,6.509B,1.50B,-1.484B,25.96B
2009-09,,5.016B,,5.016B,,,,5.016B,,,,,,,,2.251B,8.597B,3.158B,11.76B,189.09B,4.825B,,184.26B,42.34B,260.04B,265.06B,,28.17B,28.17B,28.17B,28.17B,33.25B,,33.25B,169.76B,709.00M,203.00B,239.18B,1.521B,23.63B,8.308B,6.534B,1.50B,-1.753B,25.17B
2009-06,,6.381B,,6.381B,,,,6.381B,,,,,,,,2.073B,8.451B,2.961B,11.41B,189.68B,4.377B,,185.30B,40.80B,259.18B,265.56B,,29.70B,29.70B,29.70B,29.70B,39.20B,,39.20B,163.88B,715.00M,203.08B,240.67B,1.521B,23.14B,8.434B,6.54B,1.50B,-2.384B,24.17B
2009-03,,6.154B,,6.154B,,,,6.154B,,,,,,,,2.057B,8.419B,2.698B,11.12B,189.10B,3.947B,,185.15B,39.27B,257.47B,263.62B,,26.01B,26.01B,26.01B,26.01B,38.82B,,38.82B,162.57B,719.00M,201.39B,235.68B,7.959B,23.02B,5.744B,6.546B,7.939B,-2.949B,27.22B
2008-12,,6.859B,,6.859B,,,,6.859B,343.00M,2.465B,2.487B,106.00M,91.00M,5.492B,-3.702B,1.79B,8.571B,2.834B,11.40B,188.44B,3.514B,,184.92B,39.52B,259.05B,265.91B,,33.98B,33.98B,33.98B,33.98B,38.36B,,38.36B,159.35B,733.00M,197.71B,238.88B,7.951B,22.54B,5.83B,6.659B,7.931B,-3.363B,26.30B
2008-09,,7.118B,,7.118B,,,,7.118B,,,,,,,,1.775B,,,11.06B,172.98B,2.767B,,170.21B,39.35B,239.94B,247.06B,,37.42B,37.42B,37.42B,37.42B,40.11B,,40.11B,139.50B,,179.61B,225.38B,1.52B,23.03B,5.646B,6.695B,1.50B,-1.828B,21.68B
2008-06,,7.956B,,7.956B,,,,7.956B,,,,,,,,1.811B,,,11.16B,169.68B,2.518B,,167.16B,41.12B,238.58B,246.54B,,41.11B,41.11B,41.11B,41.11B,39.94B,,39.94B,135.13B,,175.07B,224.71B,1.52B,23.22B,5.682B,7.075B,1.50B,-1.519B,21.83B
2008-03,,7.323B,,7.323B,,,,7.323B,,,,,,,,1.805B,,,10.65B,163.54B,2.251B,,161.29B,41.70B,234.46B,241.78B,,36.39B,36.39B,36.39B,36.39B,36.23B,,36.23B,138.27B,,174.50B,220.21B,1.52B,23.03B,5.677B,7.178B,1.50B,-1.48B,21.57B
2007-12,,8.884B,,8.884B,,,,8.884B,,,,,,,,1.779B,,,10.69B,158.65B,2.058B,,156.59B,43.12B,228.73B,237.62B,,32.37B,32.37B,32.37B,32.37B,43.44B,,43.44B,131.44B,,174.88B,216.57B,1.02B,22.69B,5.749B,7.48B,1.00B,-936.00M,21.05B
2007-09,,6.636B,,6.636B,,,,6.636B,,,,,,,,1.779B,,,10.75B,153.64B,2.041B,,151.60B,40.37B,220.99B,227.63B,,28.87B,28.87B,28.87B,28.87B,45.24B,,45.24B,122.75B,,167.99B,206.86B,1.02B,22.58B,5.748B,7.554B,1.00B,-1.028B,20.77B
2007-06,,6.534B,,6.534B,,,,6.534B,,,,,,,,1.798B,,,10.94B,150.26B,2.028B,,148.23B,39.51B,216.00B,222.53B,,27.16B,27.16B,27.16B,27.16B,45.95B,,45.95B,119.70B,,165.65B,202.20B,1.02B,22.11B,5.748B,7.476B,1.00B,-1.072B,20.33B
2007-03,,6.287B,,6.287B,,,,6.287B,,,,,,,,1.818B,,,10.80B,148.92B,2.027B,,146.89B,40.59B,215.16B,221.45B,,28.52B,28.52B,28.52B,28.52B,44.70B,,44.70B,118.06B,,162.76B,200.65B,1.02B,21.66B,5.745B,6.972B,1.00B,-653.00M,20.80B
2006-12,,8.639B,,8.639B,,,,8.639B,,,,,,,,1.835B,,,10.76B,146.85B,2.022B,,144.83B,40.12B,210.59B,219.23B,,26.93B,26.93B,26.93B,26.93B,37.60B,,37.60B,124.88B,,162.48B,198.04B,1.02B,21.24B,5.762B,6.091B,1.00B,-736.00M,21.20B
2006-09,,6.355B,,6.355B,,,,6.355B,,,,,,,,1.835B,,,10.62B,147.06B,2.034B,,145.02B,39.52B,210.50B,216.86B,,24.78B,24.78B,24.78B,24.78B,41.23B,,41.23B,120.96B,,162.19B,195.93B,1.02B,20.77B,5.77B,6.093B,1.00B,-541.00M,20.93B
2006-06,,7.234B,,7.234B,,,,7.234B,,,,,,,,1.817B,,,10.44B,143.97B,2.039B,,141.93B,38.46B,206.17B,213.40B,,20.57B,20.57B,20.57B,20.57B,41.95B,,41.95B,122.72B,,164.67B,192.99B,1.02B,20.16B,5.789B,5.421B,1.00B,-1.137B,20.42B
2006-03,,7.05B,,7.05B,,,,7.05B,,,,,,,,1.817B,,,10.40B,140.84B,2.035B,,138.80B,39.40B,202.86B,209.91B,,20.65B,20.65B,20.65B,20.65B,39.33B,,39.33B,121.74B,,161.07B,189.65B,1.02B,19.57B,5.819B,5.394B,1.00B,-757.00M,20.26B
2005-12,,8.004B,,8.004B,,,,8.004B,,,,,,,,1.841B,,,9.879B,139.49B,2.041B,,137.45B,39.77B,201.46B,209.46B,,20.20B,20.20B,20.20B,20.20B,37.07B,,37.07B,124.71B,,161.78B,189.38B,20.00M,19.00B,5.907B,4.413B,,-429.00M,20.09B
2005-09,,6.918B,,6.918B,,,,6.918B,,,,,,,,1.85B,,,8.958B,138.32B,2.055B,,136.27B,41.52B,199.89B,206.90B,,23.06B,23.06B,23.06B,23.06B,36.26B,,36.26B,120.80B,,157.05B,187.03B,20.00M,18.46B,5.913B,4.318B,,-208.00M,19.86B
2005-06,,6.442B,,6.442B,,,,6.442B,,,,,,,,1.864B,,,8.956B,135.18B,2.082B,,133.10B,42.30B,197.44B,203.98B,,20.43B,20.43B,20.43B,20.43B,34.79B,,34.79B,121.82B,,156.61B,184.08B,20.00M,17.85B,5.903B,3.984B,,113.00M,19.90B
2005-03,,5.881B,,5.881B,,,,5.881B,,,,,,,,1.877B,,,8.81B,130.54B,2.082B,,128.46B,43.10B,192.49B,198.47B,,14.27B,14.27B,14.27B,14.27B,38.07B,,38.07B,119.72B,,157.79B,179.26B,20.00M,17.28B,5.889B,3.59B,,-387.00M,19.21B
2004-12,,6.336B,,6.336B,,,,6.336B,,,,,,,,1.89B,,,8.628B,127.75B,2.08B,,125.67B,41.48B,188.67B,195.10B,,13.08B,13.08B,13.08B,13.08B,34.74B,,34.74B,120.74B,,155.48B,175.56B,20.00M,16.76B,5.902B,3.125B,,-16.00M,19.54B
2004-09,,6.969B,,6.969B,,,,6.969B,,,,,,,,1.894B,,,8.645B,126.20B,2.184B,,124.01B,39.65B,185.73B,192.84B,,12.65B,12.65B,12.65B,12.65B,38.00B,,38.00B,115.57B,,153.57B,173.24B,20.00M,16.26B,5.868B,2.71B,,162.00M,19.60B
2004-06,,7.476B,,7.476B,,,,7.476B,,,,,,,,1.893B,,,8.701B,124.21B,2.244B,,121.97B,40.28B,182.58B,190.23B,,11.59B,11.59B,11.59B,11.59B,33.66B,,33.66B,119.93B,,153.59B,171.56B,20.00M,15.64B,5.86B,2.316B,,-533.00M,18.68B
2004-03,,7.177B,,7.177B,,,,7.177B,,,,,,,,1.924B,,,8.12B,121.53B,2.238B,,119.29B,45.40B,184.77B,192.09B,,13.43B,13.43B,13.43B,13.43B,33.57B,,33.57B,118.96B,,152.53B,172.64B,20.00M,15.06B,5.832B,1.853B,,394.00M,19.45B
2003-12,,8.63B,,8.63B,,,,8.63B,,,,,,,,1.957B,,,8.149B,119.67B,2.184B,,117.48B,43.33B,180.72B,189.47B,,10.85B,10.85B,10.85B,10.85B,33.82B,,33.82B,119.05B,,152.87B,170.23B,20.00M,14.51B,5.851B,1.205B,,68.00M,19.24B
2003-09,,9.723B,,9.723B,,,,9.723B,,,,,,,,2.028B,,,8.467B,123.52B,2.368B,,121.15B,36.15B,178.97B,188.84B,,12.86B,12.86B,12.86B,12.86B,31.60B,,31.60B,115.04B,2.605B,146.65B,166.80B,20.00M,15.38B,4.80B,1.031B,,252.00M,19.43B
2003-06,,15.01B,,15.01B,,,,15.01B,,,,,,,,2.064B,,,8.313B,123.21B,2.368B,,120.85B,36.62B,179.74B,194.90B,,7.387B,7.387B,7.387B,7.387B,34.03B,,34.03B,126.33B,,160.36B,175.72B,20.00M,14.80B,4.821B,1.092B,,636.00M,19.18B
2003-03,,9.364B,,9.364B,,,,9.364B,,,,,,,,1.655B,,,8.513B,120.27B,2.409B,,117.86B,31.75B,172.73B,182.23B,,6.576B,6.576B,6.576B,9.559B,32.07B,,32.07B,115.22B,,147.29B,163.71B,20.00M,14.24B,4.841B,1.222B,,645.00M,18.52B
2002-12,,11.19B,,11.19B,,,,11.19B,,,,,,,,1.697B,,,8.646B,120.41B,2.422B,,117.99B,29.39B,168.70B,180.03B,,7.806B,7.806B,7.806B,10.80B,28.59B,,28.59B,115.53B,,144.12B,161.93B,20.00M,13.72B,4.85B,1.272B,,784.00M,18.10B
2002-09,,9.19B,,9.19B,,,,9.19B,,,,,,,,1.706B,,,7.519B,118.51B,2.461B,,116.05B,29.34B,164.68B,174.01B,,7.499B,7.499B,7.499B,10.47B,31.68B,,31.68B,107.43B,,139.11B,156.49B,20.00M,13.24B,4.87B,1.325B,,710.00M,17.52B
2002-06,,8.644B,,8.644B,,,,8.644B,,,,,,,,1.718B,,,7.618B,116.50B,2.466B,,114.03B,31.38B,164.16B,172.96B,,9.156B,9.156B,9.156B,12.05B,33.01B,,33.01B,105.06B,,138.06B,156.31B,20.00M,12.76B,4.875B,1.341B,,340.00M,16.65B
2002-03,,7.037B,,7.037B,,,,7.037B,,,,,,,,1.737B,,,7.425B,116.67B,2.462B,,114.21B,25.49B,157.59B,164.74B,,10.64B,10.64B,10.64B,13.46B,27.05B,,27.05B,102.46B,,129.52B,148.85B,20.00M,12.31B,4.894B,1.322B,,-6.00M,15.89B
