,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,511.00M,0.00,,14.00M,14.00M,,56.00M,56.00M,79.00M,,44.00M,44.00M,,,,,,,,13.00M,,717.00M,-30.00M,,,-40.00M,,3.00M,-90.00M,-4.00M,-462.00M,-466.00M,,-186.00M,-186.00M,,,-71.00M,,-71.00M,16.00M,-58.00M,-765.00M,285.00M,-138.00M,,147.00M,,0.00,-466.00M,-186.00M,29.00M,182.00M
2017-12,2.051B,,,-30.00M,-407.00M,,277.00M,277.00M,,,103.00M,10.78B,,,,,,,,-11.16B,42.00M,1.452B,-244.00M,,,917.00M,-138.00M,14.00M,543.00M,-1.764B,89.00M,-1.675B,,0.00,0.00,,,-392.00M,,-392.00M,182.00M,-106.00M,-1.991B,174.00M,4.00M,,679.00M,,2.228B,-3.992B,0.00,-379.00M,-445.00M
2017-09,418.00M,,,16.00M,16.00M,,55.00M,55.00M,,,44.00M,44.00M,,,,,,,,-507.00M,23.00M,49.00M,-44.00M,,,-228.00M,10.00M,2.00M,-265.00M,181.00M,327.00M,508.00M,,-266.00M,-266.00M,,,-73.00M,,-73.00M,42.00M,0.00,211.00M,179.00M,-5.00M,,174.00M,,905.00M,-724.00M,-266.00M,61.00M,189.00M
2017-06,397.00M,,,12.00M,12.00M,,56.00M,56.00M,,,45.00M,45.00M,,,,,,,,-279.00M,-12.00M,219.00M,-41.00M,,,-16.00M,,0.00,-63.00M,18.00M,233.00M,251.00M,,-314.00M,-314.00M,,,-74.00M,,-74.00M,3.00M,-13.00M,-147.00M,170.00M,9.00M,,179.00M,,24.00M,-6.00M,-314.00M,305.00M,83.00M
2017-03,454.00M,,,17.00M,17.00M,,55.00M,55.00M,,,40.00M,40.00M,,,,,,,,112.00M,41.00M,719.00M,-27.00M,,,-70.00M,,15.00M,-89.00M,-7.00M,-420.00M,-427.00M,,-531.00M,-531.00M,,,-77.00M,,-77.00M,36.00M,-83.00M,-1.082B,622.00M,-452.00M,,170.00M,,,-7.00M,-531.00M,13.00M,173.00M
2016-12,271.00M,,,5.00M,-13.00M,,57.00M,57.00M,,,42.00M,42.00M,,,,,,,,-164.00M,42.00M,379.00M,-85.00M,,,-78.00M,0.00,8.00M,-159.00M,1.336B,417.00M,1.753B,,-1.463B,-1.463B,,,-79.00M,,-79.00M,8.00M,4.00M,223.00M,179.00M,443.00M,,622.00M,,1.451B,-115.00M,-1.463B,122.00M,57.00M
2016-09,466.00M,,,14.00M,14.00M,,54.00M,54.00M,,,42.00M,42.00M,,,,,,,,-598.00M,77.00M,55.00M,-42.00M,,,0.00,0.00,3.00M,-39.00M,680.00M,-130.00M,550.00M,,-501.00M,-501.00M,,,-67.00M,,-67.00M,3.00M,2.00M,-13.00M,176.00M,3.00M,,179.00M,,685.00M,-5.00M,-501.00M,74.00M,151.00M
2016-06,373.00M,,,12.00M,12.00M,,57.00M,57.00M,,,42.00M,42.00M,,,,,,,,-268.00M,7.00M,223.00M,-35.00M,,,-14.00M,,11.00M,-44.00M,-3.00M,163.00M,160.00M,,-500.00M,-500.00M,,,-69.00M,,-69.00M,4.00M,-9.00M,-414.00M,411.00M,-235.00M,,176.00M,,0.00,-3.00M,-500.00M,289.00M,49.00M
2016-03,442.00M,,,22.00M,22.00M,,57.00M,57.00M,,,39.00M,39.00M,,,,,,,,363.00M,105.00M,1.028B,-34.00M,,,-61.00M,,-7.00M,-98.00M,-204.00M,0.00,-204.00M,,-533.00M,-533.00M,,,-73.00M,,-73.00M,6.00M,-38.00M,-842.00M,323.00M,88.00M,,411.00M,,,-204.00M,-533.00M,7.00M,158.00M
2015-12,402.00M,,,0.00,-139.00M,,36.00M,36.00M,,,29.00M,29.00M,,,,,,,,-234.00M,232.00M,771.00M,-67.00M,,,263.00M,,5.00M,260.00M,-4.00M,-303.00M,-307.00M,,-468.00M,-468.00M,,,-72.00M,,-72.00M,5.00M,1.00M,-841.00M,133.00M,190.00M,,323.00M,,0.00,-4.00M,-468.00M,-230.00M,-303.00M
2015-09,426.00M,,,15.00M,15.00M,,65.00M,65.00M,,,39.00M,39.00M,,,,,,,,-776.00M,-9.00M,-240.00M,-58.00M,,,7.00M,,-12.00M,-64.00M,776.00M,-91.00M,685.00M,,-513.00M,-513.00M,,,-73.00M,,-73.00M,14.00M,4.00M,117.00M,320.00M,-187.00M,,133.00M,,781.00M,-5.00M,-513.00M,105.00M,140.00M
2015-06,332.00M,,,9.00M,9.00M,,66.00M,66.00M,,,43.00M,43.00M,,,,,,,,14.00M,-18.00M,446.00M,-29.00M,,,-16.00M,,1.00M,-44.00M,-4.00M,394.00M,390.00M,,-783.00M,-783.00M,,,-75.00M,,-75.00M,43.00M,12.00M,-413.00M,331.00M,-11.00M,,320.00M,,0.00,-4.00M,-783.00M,121.00M,46.00M
2015-03,394.00M,,,13.00M,13.00M,,68.00M,68.00M,,,46.00M,46.00M,,,,,,,,-104.00M,,417.00M,-17.00M,,,19.00M,,3.00M,2.00M,1.174B,-616.00M,558.00M,,-1.049B,-1.049B,,,-80.00M,,-80.00M,80.00M,-25.00M,-516.00M,428.00M,-97.00M,,331.00M,,1.178B,-4.00M,-1.049B,4.00M,117.00M
2014-12,199.00M,,,1.00M,-10.00M,,40.00M,40.00M,,-52.00M,20.00M,-32.00M,,,,,,,,-109.00M,307.00M,987.00M,-66.00M,,,-8.00M,12.00M,-7.00M,-133.00M,1.564B,185.00M,1.749B,,-765.00M,-152.00M,,,-78.00M,,-78.00M,46.00M,-2.00M,-604.00M,178.00M,250.00M,,428.00M,,1.568B,-4.00M,-765.00M,-227.00M,-661.00M
2014-09,72.00M,,,28.00M,28.00M,,68.00M,68.00M,,52.00M,33.00M,85.00M,,,,,,,,-610.00M,21.00M,-336.00M,-43.00M,,,-29.00M,-3.00M,4.00M,-319.00M,671.00M,50.00M,721.00M,,-362.00M,-362.00M,,,-69.00M,,-69.00M,45.00M,22.00M,349.00M,484.00M,-306.00M,,178.00M,,1.729B,-1.058B,-362.00M,15.00M,480.00M
2014-06,418.00M,,,16.00M,16.00M,,71.00M,71.00M,,,44.00M,44.00M,,,,,,,,-504.00M,78.00M,123.00M,-41.00M,,,-26.00M,3.00M,-6.00M,-84.00M,-103.00M,-59.00M,-162.00M,,-436.00M,-436.00M,,,-70.00M,,-70.00M,116.00M,81.00M,134.00M,311.00M,173.00M,,484.00M,,0.00,-103.00M,-436.00M,195.00M,78.00M
2014-03,462.00M,,,12.00M,12.00M,,71.00M,71.00M,,,40.00M,40.00M,,,,,,,,-37.00M,-47.00M,501.00M,-28.00M,,,-33.00M,,5.00M,-65.00M,-4.00M,-35.00M,-39.00M,,-2.032B,-2.032B,,,-75.00M,,-75.00M,76.00M,-22.00M,-522.00M,397.00M,-86.00M,,311.00M,,0.00,-4.00M,-2.032B,17.00M,103.00M
2013-12,422.00M,,,13.00M,10.00M,,73.00M,73.00M,,,59.00M,59.00M,,,,,,,,-617.00M,173.00M,553.00M,-100.00M,,,-53.00M,-13.00M,,-156.00M,-4.00M,134.00M,130.00M,,-321.00M,-321.00M,,,-72.00M,,-72.00M,25.00M,17.00M,-226.00M,226.00M,171.00M,,397.00M,,,-4.00M,-321.00M,-196.00M,-283.00M
2013-09,431.00M,,,21.00M,21.00M,,70.00M,70.00M,,0.00,57.00M,57.00M,,,,,,,,-189.00M,-121.00M,269.00M,-44.00M,,,179.00M,2.00M,,114.00M,-4.00M,-111.00M,-115.00M,,-285.00M,-285.00M,,,-73.00M,,-73.00M,23.00M,6.00M,-439.00M,282.00M,-56.00M,,226.00M,,0.00,-4.00M,-285.00M,-9.00M,103.00M
2013-06,422.00M,,,12.00M,12.00M,,31.00M,31.00M,,,46.00M,46.00M,,,,,,,,-112.00M,65.00M,464.00M,-34.00M,,,-130.00M,6.00M,,-176.00M,-5.00M,-98.00M,-103.00M,,-290.00M,-290.00M,,,-74.00M,,-74.00M,40.00M,12.00M,-415.00M,409.00M,-127.00M,,282.00M,,,-5.00M,-290.00M,178.00M,76.00M
2013-03,463.00M,,,11.00M,11.00M,,116.00M,116.00M,,,60.00M,60.00M,,,,,,,,-40.00M,-23.00M,587.00M,-34.00M,,,-28.00M,12.00M,,-54.00M,-4.00M,550.00M,546.00M,,-1.289B,-1.289B,,,-81.00M,,-81.00M,58.00M,-66.00M,-832.00M,708.00M,-299.00M,,409.00M,,0.00,-4.00M,-1.289B,27.00M,104.00M
2012-12,277.00M,,,15.00M,13.00M,,-48.00M,-48.00M,,0.00,29.00M,-117.00M,,,,,,,,-736.00M,335.00M,335.00M,-61.00M,,,-110.00M,2.00M,,-232.00M,-5.00M,0.00,-5.00M,,-298.00M,-298.00M,,,-77.00M,,-77.00M,28.00M,10.00M,-342.00M,947.00M,-239.00M,,708.00M,,-1.00M,-4.00M,-298.00M,-353.00M,-365.00M
2012-09,385.00M,,,14.00M,11.00M,,116.00M,116.00M,,0.00,38.00M,38.00M,,,,,,,,-313.00M,-15.00M,222.00M,-55.00M,,,29.00M,5.00M,,-25.00M,-888.00M,0.00,-888.00M,,-275.00M,-275.00M,,,-64.00M,,-64.00M,69.00M,20.00M,-1.138B,1.888B,-941.00M,,947.00M,,0.00,-888.00M,-275.00M,80.00M,169.00M
2012-06,452.00M,,,13.00M,13.00M,,119.00M,119.00M,,0.00,39.00M,39.00M,,,,,,,,-10.00M,-1.00M,612.00M,-49.00M,,,-4.00M,2.00M,2.00M,-54.00M,872.00M,0.00,872.00M,,-304.00M,-304.00M,,,-66.00M,,-66.00M,35.00M,-1.00M,536.00M,794.00M,1.094B,,1.888B,,877.00M,-5.00M,-304.00M,252.00M,93.00M
2012-03,394.00M,,,6.00M,-19.00M,,119.00M,119.00M,,11.00M,41.00M,52.00M,,,,,,,,109.00M,-9.00M,646.00M,-35.00M,,,-103.00M,4.00M,-2.00M,-140.00M,-15.00M,0.00,-15.00M,,-260.00M,-260.00M,,,-69.00M,,-69.00M,36.00M,-64.00M,-372.00M,660.00M,134.00M,,794.00M,,690.00M,-705.00M,-260.00M,21.00M,103.00M
2011-12,,,,10.00M,22.00M,,83.00M,83.00M,,0.00,29.00M,-922.00M,,,,,,,,-903.00M,,69.00M,-93.00M,,,-76.00M,49.00M,,-140.00M,-7.00M,,-7.00M,,-162.00M,-162.00M,,,,,-66.00M,14.00M,5.00M,-216.00M,947.00M,-287.00M,,660.00M,,-4.00M,-3.00M,-162.00M,-171.00M,-313.00M
2011-09,,,,19.00M,19.00M,,134.00M,134.00M,,0.00,35.00M,338.00M,,,,,,,,-440.00M,,86.00M,-57.00M,,,-18.00M,5.00M,-8.00M,-78.00M,-5.00M,,-5.00M,,-350.00M,-350.00M,,,,,-67.00M,13.00M,2.00M,-407.00M,1.346B,-399.00M,,947.00M,,0.00,-5.00M,-350.00M,13.00M,103.00M
2011-06,,,,5.00M,5.00M,,139.00M,139.00M,,0.00,41.00M,395.00M,,,,,,,,120.00M,,700.00M,-54.00M,,,-2.00M,-16.00M,4.00M,-68.00M,-1.00M,,-1.00M,,-250.00M,-250.00M,,,,,-36.00M,35.00M,-6.00M,-258.00M,972.00M,374.00M,,1.346B,,4.00M,-5.00M,-250.00M,139.00M,106.00M
2011-03,,,,16.00M,16.00M,,139.00M,139.00M,,0.00,34.00M,202.00M,,,,,,,,503.00M,,894.00M,-41.00M,,,-40.00M,-26.00M,4.00M,-103.00M,-6.00M,,-6.00M,,-250.00M,-250.00M,,,,,-37.00M,10.00M,-16.00M,-299.00M,480.00M,492.00M,,972.00M,,0.00,-6.00M,-250.00M,19.00M,104.00M
2010-12,822.00M,,,4.00M,7.00M,,76.00M,76.00M,,,29.00M,-425.00M,,,,,,,,-607.00M,,161.00M,-91.00M,,,-81.00M,45.00M,,-168.00M,-557.00M,,-557.00M,,0.00,0.00,,,,,-34.00M,3.00M,3.00M,-585.00M,1.072B,-592.00M,,480.00M,,594.00M,-1.151B,0.00,-47.00M,-375.00M
2010-09,,,,13.00M,13.00M,,139.00M,139.00M,,,37.00M,317.00M,,,,,,,,-183.00M,,323.00M,-63.00M,,,15.00M,-4.00M,,-52.00M,-4.00M,,-4.00M,,36.00M,36.00M,,,,,-34.00M,1.00M,-36.00M,-37.00M,838.00M,234.00M,,1.072B,,3.00M,-7.00M,36.00M,15.00M,111.00M
2010-06,26.00M,,,7.00M,45.00M,,144.00M,144.00M,,,37.00M,91.00M,,,,,,,,174.00M,,550.00M,-59.00M,,,-5.00M,-10.00M,,-74.00M,-466.00M,,-466.00M,,-11.00M,-11.00M,,,,,-37.00M,1.00M,2.00M,-511.00M,873.00M,-35.00M,,838.00M,,497.00M,-963.00M,-11.00M,14.00M,132.00M
2010-03,-26.00M,,,11.00M,11.00M,,141.00M,141.00M,,,33.00M,33.00M,,,,,,,,542.00M,,701.00M,-41.00M,,,-2.00M,-31.00M,,-74.00M,-21.00M,,-21.00M,,-25.00M,-25.00M,,,,,-37.00M,2.00M,-390.00M,-471.00M,717.00M,156.00M,,873.00M,,,-21.00M,-25.00M,18.00M,132.00M
2009-12,58.80M,,,7.90M,-13.50M,,147.40M,147.40M,,178.30M,27.40M,7.70M,,,,,,,,-258.80M,,371.50M,-76.10M,,,114.50M,-29.70M,-72.40M,-63.70M,-4.00M,0.80M,-3.20M,,0.00,0.00,,,,,-33.80M,0.00,-27.90M,-64.90M,473.80M,242.90M,,716.70M,,0.00,-3.20M,0.00,-41.40M,-395.00M
2009-09,207.60M,,,12.30M,12.30M,,147.40M,147.40M,,31.70M,41.40M,150.00M,,,,,,,,-417.80M,,172.60M,-46.20M,,,-2.50M,-0.80M,49.80M,0.30M,-1.60M,-2.30M,-3.90M,,-2.20M,-2.20M,,,,,-34.90M,0.00,0.40M,-40.60M,341.50M,132.30M,,473.80M,,0.00,-3.90M,-2.20M,-31.00M,129.80M
2009-06,15.40M,,,3.10M,32.90M,,145.20M,145.20M,,,33.90M,0.00,,,,,,,,189.40M,,416.80M,-65.10M,,,-2.60M,-11.20M,0.80M,-78.10M,-180.40M,,-180.40M,,-12.50M,-12.50M,,,,,-44.20M,0.00,0.30M,-236.80M,239.60M,101.90M,,341.50M,,681.30M,-861.70M,-12.50M,25.00M,96.20M
2009-03,-55.30M,,,12.70M,12.70M,,142.30M,142.30M,,,32.90M,-300.00M,,,,,,,,145.90M,,-21.50M,-74.20M,,,-6.70M,-48.10M,21.30M,-107.70M,137.30M,,137.30M,,-4.00M,-4.00M,,,,,-184.40M,0.00,0.40M,-50.70M,419.50M,-179.90M,,239.60M,,293.10M,-155.80M,-4.00M,47.40M,169.00M
2008-12,136.10M,,,,-4.00M,,150.70M,150.70M,,,,-12.77B,,,,,,,-215.30M,-185.00M,,432.80M,-124.50M,-366.70M,-17.10M,-93.20M,181.40M,204.00M,-199.00M,,,-187.00M,-31.20M,-0.80M,-32.00M,,,,,-181.10M,,1.50M,-367.40M,553.10M,-133.60M,,419.50M,-31.20M,,,-0.80M,,
2008-09,-12.46B,,,,-128.90M,,139.70M,139.70M,,,,12.77B,,,,,,,-223.70M,-223.70M,,91.30M,-129.40M,6.30M,-123.10M,-63.60M,20.10M,0.20M,-166.40M,,,-5.30M,0.00,-0.90M,-0.90M,,,,,-181.10M,,1.60M,-185.70M,813.90M,-260.80M,,553.10M,0.00,,,-0.90M,,
2008-06,408.40M,,,,7.30M,,123.40M,123.40M,,,,39.10M,,,,,,,17.40M,17.40M,,595.60M,-131.40M,170.90M,39.50M,-1.838B,-20.00M,-13.00M,-1.831B,,,-4.70M,0.80M,-32.80M,-32.00M,,,,,-174.40M,,1.80M,-209.30M,2.259B,-1.445B,,813.90M,0.80M,,,-32.80M,,
2008-03,244.30M,,,,7.30M,,117.80M,117.80M,,,,33.10M,,,,,,,624.30M,624.30M,,1.027B,-88.80M,189.50M,100.70M,-48.40M,-9.00M,-0.70M,42.60M,,,-8.70M,30.40M,-11.90M,18.50M,,,,,-168.80M,,1.60M,-157.40M,1.347B,912.00M,,2.259B,30.40M,,,-11.90M,,
2007-12,270.00M,,,,50.80M,,119.20M,119.20M,,,,-56.00M,,,,,,,-514.80M,-441.70M,3.10M,289.30M,-166.90M,-346.30M,-44.10M,91.60M,27.60M,391.10M,-2.90M,,,-4.40M,-195.20M,0.00,-195.20M,,,,,-167.90M,,0.30M,-165.50M,1.226B,120.90M,,1.347B,-195.20M,,,0.00,,
2007-09,343.30M,,,,18.30M,,111.80M,111.80M,,,,24.30M,,,,,,,-133.50M,-133.50M,1.70M,365.90M,-95.60M,346.30M,250.70M,-325.10M,22.90M,-37.70M,-89.20M,,,-4.40M,63.50M,-1.749B,-1.686B,,,,,-158.50M,,1.10M,-1.848B,2.797B,-1.571B,,1.226B,63.50M,,,-1.749B,,
2007-06,404.00M,,,,1.00M,,109.50M,109.50M,,,,37.90M,,,,,,,129.60M,129.60M,,682.00M,-111.50M,-243.70M,-355.20M,24.10M,-12.70M,22.90M,-320.90M,,,-664.40M,56.10M,-180.00M,-123.90M,,,,,-160.00M,,5.40M,-942.90M,3.379B,-581.80M,,2.797B,56.10M,,,-180.00M,,
2007-03,213.50M,,,,5.40M,,115.20M,115.20M,,,,18.60M,,,,,,,495.30M,495.30M,,848.00M,-95.10M,243.70M,148.60M,-28.10M,-31.10M,188.50M,277.90M,,,676.10M,75.60M,-1.422B,-1.346B,,,,,-153.90M,,2.40M,-821.90M,3.075B,304.00M,,3.379B,75.60M,,,-1.422B,,
2006-12,335.00M,,,,64.80M,,118.80M,118.80M,,,,77.80M,,,,,,,-237.50M,-412.70M,-40.10M,143.60M,-198.40M,,-55.90M,-52.10M,-58.90M,45.50M,-121.40M,,,-4.10M,33.10M,-0.10M,33.00M,,,,,-153.30M,,0.20M,-124.20M,3.177B,-102.00M,,3.075B,33.10M,,,-0.10M,,
2006-09,601.20M,,,,6.50M,,109.50M,109.50M,,,,20.90M,,,,,,,53.80M,53.80M,-384.60M,407.30M,-82.50M,,-82.50M,-60.00M,-48.60M,19.20M,-171.90M,,,-5.40M,20.50M,-0.40M,20.10M,,,,,-135.90M,,0.60M,-120.60M,3.062B,114.80M,,3.177B,20.50M,,,-0.40M,,
2006-06,497.40M,,,,-1.60M,,93.50M,93.50M,,,,30.80M,,,,,,,36.60M,36.60M,33.00M,689.70M,-50.70M,,-50.70M,1.315B,,42.50M,1.272B,,,-83.10M,19.80M,0.00,19.80M,,,,,-124.10M,,0.70M,-186.70M,1.287B,1.775B,,3.062B,19.80M,,,0.00,,
2006-03,226.90M,,,,8.30M,,123.10M,123.10M,,,,,,,,,,,289.50M,289.50M,,647.80M,-62.50M,,-62.50M,-58.40M,,-42.80M,-163.70M,,,-758.90M,17.70M,-5.70M,12.00M,,,,,-105.80M,,0.10M,-852.60M,1.655B,-368.50M,,1.287B,17.70M,,,-5.70M,,
2005-12,-7.960B,,,,,,124.80M,124.80M,,,,8.107B,,,,,,,,-104.30M,,577.40M,-132.20M,,,-142.10M,95.50M,5.138B,5.025B,1.432B,-2.442B,-2.465B,164.50M,-1.965B,-1.801B,,,,,-109.60M,,43.30M,-4.758B,810.80M,844.50M,,1.655B,164.50M,,1.432B,-1.965B,,
2005-09,256.90M,,,,,,108.90M,108.90M,,,,682.10M,,,,,,,,-35.00M,,1.013B,-71.50M,,,-3.80M,-234.50M,547.70M,237.90M,-6.60M,175.60M,169.00M,33.60M,-1.189B,-1.155B,,,,,-111.90M,,-9.30M,-1.107B,667.40M,143.40M,,810.80M,33.60M,,-6.60M,-1.189B,,
2005-06,389.50M,,,,,,93.90M,93.90M,,,,386.00M,,,,,,,,166.00M,,1.035B,-64.80M,,,-292.20M,126.00M,-259.20M,-490.20M,-1.632B,2.266B,633.80M,63.10M,-932.30M,-869.20M,,,,,-113.60M,,3.80M,-345.20M,467.40M,200.00M,,667.40M,63.10M,-227.10M,-1.405B,-932.30M,,
2005-03,225.00M,,,,,,120.90M,120.90M,,,,327.20M,,,,,,,,238.20M,,911.30M,-58.50M,,,-24.80M,106.90M,-28.60M,-5.00M,206.80M,,206.80M,56.30M,-1.476B,-1.420B,,,,,-116.20M,,-37.80M,-1.367B,928.20M,-460.80M,,467.40M,56.30M,227.10M,-20.30M,-1.476B,,
2004-12,-17.12B,,,,,,249.10M,249.10M,,,,17.98B,,,,,,,,-321.50M,,791.80M,-169.60M,,,-82.50M,-145.70M,-169.50M,-567.30M,-147.20M,,-147.20M,25.20M,-1.858B,-1.833B,,,,,-103.60M,,143.20M,-1.940B,2.644B,-1.716B,,928.20M,25.20M,-99.80M,-47.40M,-1.858B,,
2004-09,721.70M,,,,,,185.50M,185.50M,,,,135.10M,,,,,,,,-272.90M,,769.40M,-105.00M,,,-314.70M,47.40M,674.60M,302.30M,-0.40M,,-0.40M,39.20M,0.00,39.20M,,,,,-103.40M,,-76.30M,-140.90M,1.713B,930.80M,,2.644B,39.20M,91.20M,-91.60M,0.00,,
2004-06,723.50M,,,,,,183.50M,183.50M,,,,101.80M,,,,,,,,142.00M,,1.151B,-78.10M,,,-4.60M,14.60M,-69.90M,-138.00M,-20.70M,,-20.70M,26.40M,-218.70M,-192.30M,,,,,-103.80M,,-42.00M,-358.80M,1.059B,654.00M,,1.713B,26.40M,-2.00M,-18.70M,-218.70M,,
