,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,147.00M,147.00M,3.82B,3.82B,1.593B,216.00M,,415.00M,6.191B,,,,,,,3.036B,-1.777B,1.259B,4.891B,2.661B,7.552B,,5.589B,14.40B,20.59B,230.00M,,1.104B,1.334B,1.67B,3.004B,,,236.00M,,236.00M,,,,631.00M,4.069B,9.47B,,9.47B,493.00M,493.00M,,1.309B,,,3.267B,14.54B,18.61B,1.00M,-18.65B,43.74B,22.46B,,-653.00M,1.983B
2017-12,285.00M,285.00M,3.697B,3.697B,1.828B,272.00M,,191.00M,6.273B,0.00,189.00M,729.00M,1.867B,162.00M,,2.947B,-1.701B,1.246B,4.891B,2.666B,7.557B,,5.767B,14.57B,20.84B,231.00M,,986.00M,1.217B,951.00M,2.168B,679.00M,19.00M,698.00M,,698.00M,219.00M,219.00M,,544.00M,3.972B,9.464B,,9.464B,480.00M,480.00M,,1.328B,,,2.197B,14.89B,18.86B,1.00M,-18.90B,43.80B,22.26B,,-662.00M,1.978B
2017-09,144.00M,144.00M,3.598B,3.598B,1.83B,182.00M,,185.00M,6.294B,,,,,,,3.001B,-1.793B,1.208B,4.891B,2.617B,7.508B,,8.884B,17.60B,23.89B,233.00M,55.00M,997.00M,1.285B,1.238B,2.523B,590.00M,19.00M,609.00M,,609.00M,,,,663.00M,4.052B,9.08B,,9.08B,645.00M,645.00M,,1.619B,,,3.038B,16.85B,20.90B,1.00M,-18.86B,43.83B,21.25B,,-726.00M,2.994B
2017-06,170.00M,170.00M,3.299B,3.299B,1.56B,173.00M,,185.00M,5.686B,,,,,,,2.967B,-1.753B,1.214B,4.891B,2.627B,7.518B,,8.235B,16.97B,22.65B,124.00M,,1.005B,1.129B,1.169B,2.298B,263.00M,23.00M,286.00M,,286.00M,,,,423.00M,3.23B,8.898B,,8.898B,628.00M,628.00M,,1.638B,,,3.149B,16.80B,20.03B,1.00M,-19.45B,43.82B,21.00B,,-741.00M,2.627B
2017-03,163.00M,163.00M,3.478B,3.478B,1.201B,165.00M,,355.00M,5.62B,,,,,,,2.943B,-1.723B,1.22B,4.889B,2.631B,7.52B,,8.662B,17.40B,23.02B,158.00M,92.00M,1.022B,1.272B,1.116B,2.388B,30.00M,23.00M,53.00M,,53.00M,173.00M,173.00M,,628.00M,3.424B,8.90B,,8.90B,624.00M,624.00M,,1.655B,,,3.08B,16.71B,20.14B,1.00M,-19.51B,43.85B,20.70B,,-753.00M,2.885B
2016-12,598.00M,598.00M,3.314B,3.314B,1.427B,215.00M,,204.00M,6.063B,0.00,195.00M,733.00M,1.843B,164.00M,,2.935B,-1.694B,1.241B,4.864B,2.633B,7.497B,,9.437B,18.18B,24.24B,148.00M,,1.024B,1.172B,632.00M,1.804B,450.00M,23.00M,473.00M,,473.00M,152.00M,152.00M,,910.00M,3.708B,8.902B,,8.902B,590.00M,590.00M,,1.769B,,,1.807B,16.84B,20.55B,1.00M,-19.26B,43.91B,20.20B,,-767.00M,3.689B
2016-09,179.00M,179.00M,3.348B,3.348B,1.459B,243.00M,,228.00M,5.457B,,,,,,,3.263B,-1.918B,1.345B,6.531B,5.499B,12.03B,,5.016B,18.39B,23.85B,153.00M,,979.00M,1.132B,1.115B,2.247B,33.00M,22.00M,55.00M,,55.00M,141.00M,141.00M,,373.00M,3.098B,8.902B,,8.902B,1.667B,1.667B,,1.526B,,,3.24B,15.40B,18.50B,1.00M,-19.14B,43.94B,18.70B,,-739.00M,5.348B
2016-06,176.00M,176.00M,3.243B,3.243B,1.224B,213.00M,,240.00M,5.096B,,,,,,,3.242B,-1.886B,1.356B,6.531B,5.504B,12.04B,,4.651B,18.04B,23.14B,121.00M,,1.007B,1.128B,1.064B,2.192B,163.00M,23.00M,186.00M,,186.00M,156.00M,156.00M,,322.00M,3.087B,8.223B,,8.223B,1.574B,1.574B,,1.545B,,,3.253B,14.66B,17.75B,1.00M,-19.62B,43.96B,18.20B,,-750.00M,5.388B
2016-03,411.00M,411.00M,3.678B,3.678B,822.00M,189.00M,,434.00M,5.534B,,,,,,,3.248B,-1.872B,1.376B,6.533B,5.509B,12.04B,,4.549B,17.97B,23.50B,196.00M,68.00M,987.00M,1.251B,1.192B,2.443B,,,23.00M,,23.00M,205.00M,205.00M,,520.00M,3.384B,8.226B,,8.226B,1.562B,1.562B,,1.558B,,,3.22B,14.63B,18.02B,1.00M,-20.04B,43.99B,17.70B,,-759.00M,5.483B
2015-12,317.00M,317.00M,3.375B,3.375B,1.27B,234.00M,,228.00M,5.747B,0.00,195.00M,696.00M,1.827B,162.00M,,2.88B,-1.627B,1.253B,4.789B,2.639B,7.428B,,9.337B,18.02B,23.76B,159.00M,,1.013B,1.172B,561.00M,1.733B,0.00,222.00M,222.00M,,222.00M,294.00M,294.00M,,1.005B,3.56B,8.226B,,8.226B,495.00M,495.00M,,1.575B,,,1.889B,14.64B,18.20B,1.00M,-20.52B,44.06B,17.20B,,-770.00M,5.563B
2015-09,133.00M,133.00M,3.397B,3.397B,1.42B,160.00M,122.00M,323.00M,5.555B,,,,,,,3.226B,-1.852B,1.374B,6.663B,5.997B,12.66B,,4.65B,18.68B,24.24B,169.00M,51.00M,926.00M,1.146B,1.141B,2.287B,303.00M,20.00M,323.00M,,323.00M,187.00M,187.00M,,377.00M,3.432B,8.476B,,8.476B,1.594B,1.594B,,1.491B,,,3.279B,14.93B,18.36B,1.00M,-20.78B,44.08B,16.70B,,-714.00M,5.879B
2015-06,320.00M,320.00M,3.124B,3.124B,1.156B,185.00M,119.00M,328.00M,5.232B,,,,,,,3.19B,-1.814B,1.376B,6.663B,5.997B,12.66B,,4.394B,18.43B,23.66B,198.00M,,975.00M,1.173B,1.093B,2.266B,394.00M,20.00M,414.00M,,414.00M,136.00M,136.00M,,442.00M,3.467B,7.686B,,7.686B,1.611B,1.611B,,1.515B,,,3.332B,14.23B,17.70B,1.00M,-21.20B,44.09B,16.20B,,-718.00M,5.963B
2015-03,331.00M,331.00M,3.295B,3.295B,764.00M,215.00M,111.00M,504.00M,5.22B,,,,,,,3.166B,-1.772B,1.394B,6.664B,6.002B,12.67B,,4.506B,18.57B,23.79B,175.00M,,929.00M,1.104B,1.127B,2.231B,0.00,21.00M,21.00M,,21.00M,161.00M,161.00M,,493.00M,3.092B,7.693B,,7.693B,1.601B,1.601B,,1.537B,,,3.372B,14.30B,17.39B,1.00M,-21.54B,44.07B,15.41B,,-729.00M,6.397B
2014-12,428.00M,428.00M,3.459B,3.459B,922.00M,290.00M,,386.00M,5.485B,0.00,240.00M,717.00M,2.042B,165.00M,,3.164B,-1.731B,1.433B,6.698B,6.008B,12.71B,,4.311B,18.45B,23.94B,302.00M,,999.00M,1.301B,605.00M,1.906B,616.00M,20.00M,636.00M,,636.00M,206.00M,206.00M,,952.00M,4.033B,6.476B,,6.476B,1.427B,1.427B,,1.564B,,,2.08B,12.93B,16.96B,1.00M,-21.93B,44.04B,14.41B,,-735.00M,6.97B
2014-09,178.00M,178.00M,3.378B,3.378B,1.136B,229.00M,155.00M,328.00M,5.404B,,,,,,,3.125B,-1.731B,1.394B,6.609B,5.848B,12.46B,,4.20B,18.05B,23.46B,196.00M,0.00,914.00M,1.11B,1.058B,2.168B,431.00M,20.00M,451.00M,,451.00M,161.00M,161.00M,,354.00M,3.397B,6.508B,,6.508B,1.489B,1.489B,,1.272B,,,3.125B,12.53B,15.93B,1.00M,-22.34B,44.02B,13.61B,,-547.00M,7.526B
2014-06,261.00M,261.00M,3.002B,3.002B,940.00M,172.00M,153.00M,325.00M,5.392B,,,,,,,3.144B,-1.72B,1.424B,6.697B,6.049B,12.75B,,6.754B,20.92B,26.32B,148.00M,0.00,948.00M,1.096B,947.00M,2.043B,381.00M,20.00M,401.00M,,401.00M,148.00M,148.00M,,519.00M,3.321B,5.846B,,5.846B,1.436B,1.436B,,1.294B,273.00M,,3.094B,13.72B,17.04B,1.00M,-23.98B,43.99B,10.48B,,-523.00M,9.001B
2014-03,311.00M,311.00M,3.301B,3.301B,541.00M,251.00M,168.00M,469.00M,5.077B,,,,,,,5.003B,-2.824B,2.179B,8.559B,6.407B,14.97B,,3.893B,21.04B,26.12B,223.00M,165.00M,947.00M,1.335B,1.238B,2.573B,440.00M,106.00M,546.00M,,546.00M,223.00M,223.00M,,520.00M,4.072B,7.448B,,7.448B,1.554B,1.554B,,1.313B,,,3.128B,13.58B,17.65B,1.00M,-24.42B,43.22B,9.794B,,-543.00M,8.467B
2013-12,368.00M,368.00M,3.234B,3.234B,772.00M,109.00M,152.00M,384.00M,5.37B,0.00,239.00M,691.00M,1.965B,165.00M,,3.06B,-1.599B,1.461B,6.588B,5.87B,12.46B,,7.098B,21.02B,26.39B,286.00M,54.00M,1.008B,1.348B,595.00M,1.943B,475.00M,20.00M,495.00M,,495.00M,269.00M,269.00M,,1.124B,4.207B,5.94B,,5.94B,1.314B,1.314B,,1.327B,,,2.034B,12.21B,16.42B,1.00M,-24.89B,43.47B,8.074B,,-545.00M,9.966B
2013-09,226.00M,226.00M,3.221B,3.221B,554.00M,255.00M,269.00M,317.00M,4.892B,0.00,332.00M,726.00M,2.079B,1.859B,,4.996B,-2.796B,2.20B,8.568B,6.456B,15.02B,,3.779B,21.00B,25.90B,227.00M,32.00M,961.00M,1.22B,1.172B,2.392B,341.00M,21.00M,362.00M,,362.00M,213.00M,213.00M,,486.00M,3.753B,5.944B,,5.944B,1.539B,1.539B,,1.631B,,,3.173B,12.47B,16.22B,1.00M,-25.36B,43.46B,7.71B,,-723.00M,9.671B
2013-06,282.00M,282.00M,2.998B,2.998B,449.00M,249.00M,261.00M,328.00M,4.77B,0.00,331.00M,722.00M,2.017B,1.847B,,4.917B,-2.689B,2.228B,8.569B,6.48B,15.05B,,3.646B,20.92B,25.69B,218.00M,34.00M,861.00M,1.113B,1.221B,2.334B,453.00M,21.00M,474.00M,,474.00M,149.00M,149.00M,,622.00M,3.825B,5.949B,,5.949B,1.314B,1.314B,,1.659B,,,3.176B,12.27B,16.09B,1.00M,-25.85B,43.45B,7.431B,,-565.00M,9.601B
2013-03,409.00M,409.00M,3.13B,3.13B,569.00M,266.00M,257.00M,427.00M,5.259B,0.00,331.00M,721.00M,2.037B,1.881B,,4.97B,-2.755B,2.215B,8.568B,6.494B,15.06B,,3.575B,20.85B,26.11B,232.00M,109.00M,856.00M,1.197B,1.391B,2.588B,550.00M,16.00M,566.00M,,566.00M,171.00M,171.00M,,897.00M,4.44B,5.901B,,5.901B,1.239B,1.239B,,1.835B,,,3.132B,12.28B,16.72B,1.00M,-26.33B,43.22B,6.93B,,-566.00M,9.394B
2012-12,708.00M,708.00M,3.137B,3.137B,859.00M,233.00M,253.00M,312.00M,5.72B,0.00,330.00M,718.00M,2.057B,1.883B,,4.988B,-2.717B,2.271B,8.567B,6.515B,15.08B,,3.393B,20.75B,26.47B,386.00M,0.00,953.00M,1.339B,636.00M,1.975B,0.00,18.00M,18.00M,,18.00M,232.00M,232.00M,,1.342B,3.941B,5.904B,,5.904B,1.254B,1.254B,,1.86B,,,2.157B,12.31B,16.25B,1.00M,-26.77B,43.42B,5.874B,,-569.00M,10.21B
2012-09,947.00M,947.00M,3.305B,3.202B,685.00M,309.00M,318.00M,312.00M,5.788B,2.129B,330.00M,718.00M,2.054B,,193.00M,5.424B,-3.052B,2.372B,8.606B,6.483B,15.09B,,3.143B,20.60B,26.39B,345.00M,,847.00M,1.192B,1.401B,2.593B,,,20.00M,,20.00M,239.00M,239.00M,,516.00M,3.663B,5.907B,,5.907B,1.276B,1.276B,,1.809B,,,3.27B,12.44B,16.10B,1.00M,-27.16B,43.43B,5.575B,,-404.00M,10.29B
2012-06,1.888B,1.888B,3.088B,2.973B,521.00M,309.00M,326.00M,355.00M,6.382B,2.083B,330.00M,713.00M,2.034B,,202.00M,5.362B,-2.968B,2.394B,8.599B,6.508B,15.11B,,2.898B,20.40B,26.78B,309.00M,,,309.00M,2.202B,2.511B,,,901.00M,,901.00M,186.00M,186.00M,,508.00M,4.374B,5.90B,,5.90B,1.164B,1.164B,,1.818B,,,3.234B,12.29B,16.66B,1.00M,-27.55B,43.38B,5.274B,,-434.00M,10.12B
2012-03,794.00M,794.00M,3.444B,3.332B,574.00M,748.00M,324.00M,,5.783B,2.106B,330.00M,712.00M,2.023B,,201.00M,5.372B,-2.914B,2.458B,8.63B,6.555B,15.18B,,2.967B,20.61B,26.39B,339.00M,169.00M,,508.00M,2.335B,2.843B,,,22.00M,,22.00M,262.00M,262.00M,,796.00M,4.15B,5.902B,,5.902B,993.00M,993.00M,,1.832B,,,3.33B,12.24B,16.39B,1.00M,-27.98B,43.38B,4.973B,,-420.00M,10.00B
2011-12,660.00M,660.00M,3.086B,3.086B,735.00M,200.00M,321.00M,324.00M,5.549B,0.00,329.00M,711.00M,1.98B,1.86B,,4.88B,-2.508B,2.372B,8.571B,6.521B,15.09B,,3.207B,20.67B,26.22B,324.00M,,938.00M,1.262B,581.00M,1.843B,,,24.00M,,24.00M,230.00M,230.00M,,1.456B,3.937B,5.958B,,5.958B,1.044B,1.044B,,1.83B,,,2.366B,12.38B,16.31B,1.00M,-28.34B,43.40B,4.706B,,-439.00M,9.908B
2011-09,947.00M,947.00M,3.257B,3.114B,536.00M,554.00M,309.00M,,5.466B,2.084B,329.00M,713.00M,1.785B,,199.00M,5.11B,-2.585B,2.525B,8.619B,6.551B,15.17B,,2.953B,20.65B,26.11B,374.00M,,,374.00M,2.272B,2.646B,,,30.00M,,30.00M,297.00M,297.00M,,658.00M,3.964B,5.961B,,5.961B,980.00M,980.00M,,1.765B,,,3.349B,12.25B,16.22B,1.00M,-28.71B,43.42B,4.536B,,-273.00M,9.898B
2011-06,1.346B,1.346B,3.163B,3.024B,360.00M,655.00M,304.00M,,5.695B,2.136B,330.00M,713.00M,1.771B,,197.00M,5.147B,-2.552B,2.595B,8.622B,6.577B,15.20B,,2.74B,20.53B,26.23B,372.00M,,,372.00M,2.34B,2.712B,,,31.00M,,31.00M,307.00M,307.00M,,590.00M,3.931B,5.964B,,5.964B,851.00M,851.00M,,1.969B,,,3.367B,12.35B,16.28B,1.00M,-29.05B,43.44B,4.186B,,-252.00M,9.948B
2011-03,972.00M,972.00M,,3.146B,438.00M,314.00M,305.00M,456.00M,5.637B,2.118B,330.00M,711.00M,1.787B,,194.00M,5.14B,-2.498B,2.642B,8.622B,6.607B,15.23B,,2.864B,20.74B,26.37B,376.00M,,,376.00M,2.38B,2.756B,,,26.00M,,26.00M,359.00M,359.00M,,797.00M,4.195B,5.968B,,5.968B,789.00M,789.00M,,1.981B,,,3.458B,12.40B,16.59B,1.00M,-29.45B,43.43B,3.936B,,-266.00M,9.78B
2010-12,480.00M,480.00M,,3.248B,725.40M,222.50M,302.60M,356.10M,5.335B,2.072B,329.10M,709.30M,1.797B,,196.90M,5.105B,-2.410B,2.694B,8.524B,6.624B,15.15B,,2.966B,20.81B,26.14B,438.40M,0.00,462.40M,900.80M,1.964B,2.865B,,,27.30M,,27.30M,291.50M,291.50M,,841.70M,4.026B,5.974B,,5.974B,714.60M,714.60M,,1.986B,,,3.623B,12.30B,16.32B,0.80M,-29.65B,43.44B,3.689B,,-286.00M,9.821B
2010-06,838.10M,838.10M,,2.896B,496.80M,699.70M,307.20M,4.10M,5.242B,0.00,328.90M,707.40M,1.730B,1.992B,196.40M,4.954B,-2.239B,2.715B,8.660B,6.682B,15.34B,,2.715B,20.77B,26.01B,332.70M,0.00,1.046B,1.379B,1.590B,2.969B,,,26.10M,,26.10M,266.70M,266.70M,,645.60M,3.908B,6.516B,,6.516B,696.50M,696.50M,,2.114B,,,3.597B,12.92B,16.83B,0.80M,-30.25B,43.45B,3.689B,,-329.50M,9.183B
2010-03,872.70M,872.70M,,3.199B,604.80M,716.90M,307.20M,4.90M,5.705B,0.00,329.30M,709.10M,1.715B,2.037B,196.30M,4.986B,-2.201B,2.786B,8.663B,6.714B,15.38B,,2.888B,21.05B,26.76B,335.60M,0.00,1.027B,1.362B,1.614B,2.977B,,,442.50M,,442.50M,387.30M,387.30M,,905.60M,4.712B,6.528B,,6.528B,610.70M,610.70M,,2.115B,,,3.743B,13.00B,17.71B,0.80M,-30.40B,43.46B,3.689B,,-323.80M,9.046B
2009-12,716.70M,716.70M,,2.900B,1.085B,174.50M,303.40M,457.10M,5.637B,2.040B,329.30M,706.60M,1.726B,,196.30M,4.998B,-2.139B,2.859B,8.668B,6.754B,15.42B,,3.045B,21.33B,26.96B,436.40M,4.00M,526.80M,967.20M,1.957B,2.924B,,,443.60M,,443.60M,461.50M,461.50M,,917.00M,4.746B,6.553B,,6.553B,631.90M,631.90M,,2.117B,,,3.894B,13.20B,17.94B,0.80M,-30.37B,43.48B,3.693B,,-395.50M,9.019B
2009-09,473.80M,473.80M,,2.727B,861.30M,702.70M,322.20M,14.40M,5.101B,0.00,335.50M,710.90M,1.808B,2.015B,196.30M,5.066B,-2.166B,2.899B,8.661B,6.954B,15.62B,,2.945B,21.46B,26.56B,373.60M,81.70M,890.00M,1.345B,1.713B,3.058B,,,22.70M,,22.70M,409.40M,409.40M,,730.40M,4.221B,6.964B,,6.964B,484.80M,484.80M,,2.302B,,,3.743B,13.49B,17.71B,0.80M,-30.43B,43.49B,3.693B,,-515.80M,8.846B
2009-06,341.50M,341.50M,,2.677B,648.50M,710.40M,320.80M,12.70M,4.711B,0.00,336.40M,709.40M,1.809B,1.980B,196.80M,5.032B,-2.074B,2.958B,8.659B,7.038B,15.70B,,2.659B,21.31B,26.03B,384.00M,15.80M,1.012B,1.412B,1.655B,3.067B,,,22.50M,,22.50M,335.20M,335.20M,,712.60M,4.137B,6.964B,,6.964B,376.70M,376.70M,,2.298B,,,3.640B,13.28B,17.42B,0.80M,-30.64B,43.48B,3.693B,,-539.80M,8.610B
2009-03,239.60M,239.60M,,2.933B,753.30M,703.50M,321.90M,12.30M,4.964B,0.00,337.10M,705.40M,1.788B,1.879B,196.80M,4.907B,-1.950B,2.957B,8.590B,7.060B,15.65B,,2.835B,21.44B,26.41B,354.40M,17.00M,1.006B,1.378B,1.639B,3.016B,,,22.50M,,22.50M,413.20M,413.20M,,1.010B,4.462B,7.109B,,7.109B,344.40M,344.40M,,2.287B,,,3.734B,13.47B,17.94B,0.80M,-30.65B,43.49B,3.693B,,-673.50M,8.470B
2008-12,419.50M,419.50M,,2.750B,1.027B,181.10M,318.70M,519.40M,5.216B,0.00,337.10M,702.30M,1.778B,1.886B,196.80M,4.900B,-1.891B,3.008B,8.648B,7.104B,15.75B,,3.105B,21.86B,27.08B,462.80M,42.90M,962.30M,1.468B,1.162B,2.630B,,,21.30M,,21.30M,392.00M,392.00M,,1.757B,4.801B,6.975B,,6.975B,345.10M,345.10M,,2.274B,,,4.089B,13.68B,18.48B,0.80M,-30.60B,43.50B,3.693B,,-606.90M,8.597B
2008-09,553.10M,553.10M,2.780B,2.780B,781.50M,770.70M,316.50M,15.60M,5.218B,0.00,335.10M,690.90M,1.801B,2.094B,,4.921B,-1.891B,3.031B,8.897B,6.981B,15.88B,,3.047B,21.96B,27.17B,387.00M,,,387.00M,2.022B,2.409B,,,15.80M,,15.80M,415.90M,415.90M,,1.832B,4.672B,7.084B,,7.084B,573.40M,573.40M,,,2.60M,,5.668B,13.33B,18.00B,0.80M,-30.73B,43.65B,3.693B,,-51.10M,9.174B
2008-06,813.90M,813.90M,2.668B,2.668B,635.70M,783.00M,318.00M,15.00M,5.234B,0.00,335.10M,860.70M,1.766B,1.902B,,4.863B,-1.836B,3.027B,20.13B,9.944B,30.08B,,2.909B,36.01B,41.25B,364.30M,,,364.30M,2.003B,2.368B,,,16.70M,,16.70M,454.40M,454.40M,,1.862B,4.700B,7.073B,,7.073B,1.885B,1.885B,,,2.10M,,5.660B,14.62B,19.32B,0.80M,-18.27B,43.80B,3.693B,,92.60M,21.93B
