,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2015-09,539.08M,1.462B,2.002B,281.06M,281.06M,15.14M,248.28M,100.35M,,363.76M,38.55M,69.34M,24.62M,2.779B,0.00,63.93M,451.59M,1.632B,,92.09M,2.240B,-1.608B,631.60M,1.009B,702.38M,1.711B,584.91M,,79.81M,3.007B,2015-09,72.36M,,72.36M,119.45M,191.81M,,,,,,179.96M,179.96M,,371.78M,2.688B,,2.688B,448.78M,448.78M,0.00,41.04M,,2015-09,0.203M,1.600B,1.383B,-3.095M,2.129B,,2015-09,AOR,Restated
2015-06,563.55M,969.00M,1.533B,277.03M,277.03M,14.07M,216.39M,73.23M,,303.69M,33.93M,71.04M,23.70M,2.256B,0.00,55.62M,437.75M,1.598B,,86.09M,2.178B,-1.583B,595.25M,571.66M,470.49M,1.042B,898.02M,,65.95M,2.601B,2015-06,93.66M,,93.66M,111.12M,204.78M,,,,,,167.53M,167.53M,,372.31M,1.859B,,1.859B,380.40M,380.40M,0.00,48.69M,,2015-06,0.202M,1.608B,1.002B,-5.171M,2.099B,,2015-06,AOR,Restated
2015-03,607.82M,1.351B,1.959B,273.94M,273.94M,13.26M,197.56M,68.63M,,279.46M,34.72M,71.04M,32.60M,2.665B,0.00,55.62M,434.40M,1.576B,,76.32M,2.142B,-1.561B,581.57M,571.27M,504.42M,1.076B,383.33M,0.00,75.51M,2.116B,2015-03,86.87M,,86.87M,100.98M,187.84M,,,,,,166.13M,166.13M,,353.97M,1.827B,,1.827B,381.19M,381.19M,16.37M,43.33M,,2015-03,0.202M,1.550B,999.52M,11.08M,2.045B,,2015-03,AOR,Restated
2014-12,456.34M,666.12M,1.122B,242.60M,242.60M,14.30M,190.57M,71.27M,,276.14M,35.11M,50.49M,42.70M,1.783B,0.00,55.62M,430.70M,1.550B,,75.80M,2.112B,-1.535B,577.12M,565.29M,551.21M,1.116B,1.107B,,44.59M,2.845B,2014-12,76.93M,,76.93M,104.39M,181.32M,,,17.50M,,17.50M,154.26M,154.26M,,353.09M,1.342B,,1.342B,468.84M,468.84M,25.99M,44.23M,,2014-12,0.201M,1.522B,1.253B,15.56M,2.256B,,2014-12,AOR,Restated
2014-09,481.44M,801.67M,1.283B,287.47M,287.47M,14.01M,186.50M,75.23M,,275.75M,34.35M,62.41M,35.88M,1.979B,0.00,69.90M,418.52M,1.538B,,73.96M,2.101B,-1.516B,585.10M,557.96M,599.02M,1.157B,841.28M,,48.29M,2.632B,2014-09,94.40M,,94.40M,114.00M,208.40M,,,17.50M,,17.50M,159.58M,159.58M,,385.48M,1.324B,,1.324B,469.37M,469.37M,48.79M,40.35M,,2014-09,0.201M,1.508B,1.249B,-4.657M,2.203B,,2014-09,AOR,Restated
2014-06,617.77M,1.142B,1.760B,286.70M,286.70M,11.15M,189.42M,63.93M,,264.50M,34.37M,70.93M,33.99M,2.450B,0.00,70.72M,414.83M,1.495B,,81.11M,2.062B,-1.492B,569.91M,409.88M,498.08M,907.96M,527.54M,,45.98M,2.051B,2014-06,79.89M,,79.89M,115.72M,195.61M,,,17.50M,,17.50M,146.58M,146.58M,,359.69M,1.336B,,1.336B,453.07M,453.07M,,39.11M,,2014-06,0.20M,1.486B,1.245B,4.089M,2.170B,,2014-06,AOR,Restated
2014-03,466.60M,878.18M,1.345B,242.40M,242.40M,9.734M,179.69M,73.30M,,262.72M,31.76M,67.49M,20.24M,1.969B,0.00,55.62M,411.15M,1.465B,,68.99M,2.001B,-1.469B,531.97M,276.10M,445.50M,721.60M,798.71M,,45.96M,2.098B,2014-03,74.05M,,74.05M,96.73M,170.78M,,,17.50M,,17.50M,147.80M,147.80M,,336.08M,1.003B,,1.003B,375.32M,375.32M,0.00,37.55M,,2014-03,0.20M,1.467B,1.245B,1.051M,2.135B,,2014-03,AOR,Restated
2013-12,375.10M,932.30M,1.307B,224.27M,224.27M,9.555M,187.82M,77.25M,,274.63M,29.44M,72.14M,61.14M,1.969B,0.00,55.60M,407.52M,1.442B,,62.22M,1.968B,-1.447B,520.56M,275.97M,466.28M,742.24M,723.92M,,47.34M,2.034B,2013-12,62.75M,,62.75M,96.18M,158.93M,,,14.16M,,14.16M,143.32M,143.32M,,316.40M,1.005B,,1.005B,388.62M,388.62M,,38.42M,,2013-12,0.199M,1.426B,1.255B,-2.579M,2.075B,,2013-12,AOR,Restated
2013-09,344.20M,807.71M,1.152B,230.49M,230.49M,8.69M,211.92M,54.52M,,275.12M,34.32M,70.38M,58.68M,1.821B,0.00,55.46M,395.97M,1.422B,,69.75M,1.943B,-1.425B,518.19M,268.57M,480.68M,749.25M,829.66M,,47.15M,2.144B,2013-09,77.77M,,77.77M,101.70M,179.47M,,,8.375M,,8.375M,151.05M,151.05M,,338.89M,997.91M,,997.91M,379.76M,379.76M,,38.04M,,2013-09,0.198M,1.392B,1.255B,-2.525M,2.019B,,2013-09,AOR,Restated
2013-06,403.23M,558.64M,961.88M,232.26M,232.26M,8.063M,206.36M,41.71M,,256.14M,35.67M,73.08M,56.67M,1.616B,0.00,54.25M,393.93M,1.394B,,75.20M,1.918B,-1.404B,513.72M,268.55M,504.76M,773.31M,933.38M,,47.47M,2.268B,2013-06,77.69M,,77.69M,124.15M,201.85M,,,,,,149.82M,149.82M,,351.66M,974.25M,,974.25M,379.51M,379.51M,,37.30M,,2013-06,0.197M,1.362B,1.253B,-3.113M,1.954B,,2013-06,AOR,Restated
