,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-09,1.568B,1.568B,529.00M,1.039B,340.00M,156.00M,496.00M,249.00M,,,,,-63.00M,745.00M,294.00M,,,-63.00M,,-63.00M,231.00M,32.00M,199.00M,,,199.00M,199.00M,585.00M,291.00M,294.00M,0.27,,,0.27,0.27,0.26,,,0.26,0.26,742.00M,756.00M,0.0
2016-06,1.57B,1.57B,598.00M,972.00M,322.00M,169.00M,491.00M,249.00M,,,,,-65.00M,740.00M,232.00M,,,-65.00M,,-65.00M,167.00M,16.00M,151.00M,,,151.00M,151.00M,542.00M,310.00M,232.00M,0.2,,,0.2,0.2,0.2,,,0.2,0.2,739.00M,753.00M,0.0
2016-03,1.455B,1.455B,491.00M,964.00M,168.00M,160.00M,328.00M,175.00M,,,,,-52.00M,503.00M,461.00M,,,-52.00M,,-52.00M,409.00M,46.00M,363.00M,,,363.00M,363.00M,692.00M,231.00M,461.00M,0.49,,,0.49,0.49,0.48,,,0.48,0.48,735.00M,749.00M,0.26
2015-12,1.352B,1.352B,538.00M,814.00M,289.00M,83.00M,372.00M,193.00M,,,,,-47.00M,565.00M,249.00M,,,-47.00M,,-47.00M,202.00M,43.00M,159.00M,,,159.00M,159.00M,375.00M,126.00M,249.00M,0.22,,,0.22,0.22,0.21,,,0.21,0.21,731.00M,748.00M,0.0
2015-09,990.00M,990.00M,337.00M,653.00M,189.00M,109.00M,298.00M,159.00M,,,,,-51.00M,457.00M,196.00M,,,-51.00M,,-51.00M,145.00M,18.00M,127.00M,,,127.00M,127.00M,299.00M,103.00M,196.00M,0.17,,,0.17,0.17,0.17,,,0.17,0.17,730.00M,739.00M,0.0
2015-06,1.044B,1.044B,297.00M,747.00M,164.00M,102.00M,266.00M,149.00M,,,,,-50.00M,415.00M,332.00M,,,-50.00M,,-50.00M,282.00M,70.00M,212.00M,,,212.00M,212.00M,435.00M,103.00M,332.00M,0.29,,,0.29,0.29,0.29,,,0.29,0.29,727.00M,735.00M,0.0
2015-03,1.278B,1.278B,413.00M,865.00M,92.00M,86.00M,178.00M,145.00M,,,,,-50.00M,323.00M,542.00M,,,-50.00M,,-50.00M,492.00M,98.00M,394.00M,,,394.00M,394.00M,704.00M,162.00M,542.00M,0.54,,,0.54,0.54,0.53,,,0.53,0.53,723.00M,731.00M,0.23
2014-12,1.575B,1.575B,631.00M,944.00M,247.00M,75.00M,322.00M,184.00M,,,,,-50.00M,506.00M,438.00M,,,-50.00M,,-50.00M,388.00M,27.00M,361.00M,,,361.00M,361.00M,592.00M,154.00M,438.00M,0.49,,,0.49,0.49,0.49,,,0.49,0.49,722.00M,729.00M,0.0
2014-09,753.00M,753.00M,253.00M,500.00M,221.00M,140.00M,361.00M,131.00M,,,,,-51.00M,492.00M,8.00M,,,-51.00M,,-51.00M,-43.00M,-20.00M,-23.00M,,,-23.00M,-23.00M,65.00M,57.00M,8.00M,-0.03,,,-0.03,-0.03,-0.03,,,-0.03,-0.03,718.00M,718.00M,0.0
2014-06,970.00M,970.00M,300.00M,670.00M,141.00M,107.00M,248.00M,112.00M,,,,,-50.00M,360.00M,310.00M,,,-50.00M,,-50.00M,260.00M,56.00M,204.00M,,,204.00M,204.00M,375.00M,65.00M,310.00M,0.28,,,0.28,0.28,0.28,,,0.28,0.28,716.00M,725.00M,0.0
2014-03,1.111B,1.111B,342.00M,769.00M,104.00M,95.00M,199.00M,143.00M,,,,,-51.00M,342.00M,427.00M,,,-51.00M,,-51.00M,376.00M,83.00M,293.00M,,,293.00M,293.00M,497.00M,70.00M,427.00M,0.4,,,0.4,0.4,0.4,,,0.4,0.4,709.00M,720.00M,0.2
2013-12,1.518B,1.518B,654.00M,864.00M,239.00M,143.00M,382.00M,197.00M,,,,,-52.00M,579.00M,285.00M,,,-52.00M,,-52.00M,233.00M,60.00M,173.00M,,,173.00M,173.00M,392.00M,107.00M,285.00M,0.23,,,0.23,0.23,0.22,,,0.22,0.22,742.00M,759.00M,0.0
2013-09,691.00M,691.00M,175.00M,516.00M,144.00M,162.00M,306.00M,140.00M,,,,,-4.00M,446.00M,70.00M,,,-4.00M,,-4.00M,66.00M,10.00M,56.00M,,,56.00M,56.00M,105.00M,35.00M,70.00M,0.05,,,0.05,0.05,0.05,,,0.05,0.05,1.122B,1.134B,0.0
2013-06,1.05B,1.05B,285.00M,765.00M,116.00M,96.00M,212.00M,123.00M,,,,,0.00,335.00M,430.00M,,,0.00,,0.00,430.00M,106.00M,324.00M,,,324.00M,324.00M,496.00M,66.00M,430.00M,0.28,,,0.28,0.28,0.28,,,0.28,0.28,1.118B,1.127B,0.0
2013-03,1.324B,1.324B,416.00M,908.00M,107.00M,89.00M,196.00M,125.00M,,,,,2.00M,321.00M,587.00M,,,2.00M,,2.00M,589.00M,133.00M,456.00M,,,456.00M,456.00M,694.00M,107.00M,587.00M,0.4,,,0.4,0.4,0.4,,,0.4,0.4,1.113B,1.12B,0.19
2012-12,1.768B,1.768B,684.00M,1.084B,232.00M,148.00M,380.00M,220.00M,,,,,1.00M,600.00M,484.00M,,,1.00M,,1.00M,487.00M,133.00M,354.00M,,,354.00M,354.00M,628.00M,136.00M,492.00M,0.31,,,0.31,0.31,0.31,,,0.31,0.31,1.109B,1.118B,0.0
2012-09,841.00M,841.00M,237.00M,604.00M,131.00M,121.00M,252.00M,125.00M,,,,,1.00M,377.00M,227.00M,,,1.00M,,1.00M,228.00M,2.00M,226.00M,,,226.00M,226.00M,272.00M,45.00M,227.00M,0.2,,,0.2,0.2,0.2,,,0.2,0.2,1.109B,1.114B,0.0
2012-06,1.075B,1.075B,377.00M,698.00M,136.00M,190.00M,326.00M,145.00M,,,,,,471.00M,227.00M,,,,2.00M,,229.00M,44.00M,185.00M,,,185.00M,183.38M,321.00M,94.00M,227.00M,0.16,,,0.1585,0.16,0.16,,,0.1586,0.16,1.109B,1.115B,0.0
2012-03,1.172B,1.172B,364.00M,808.00M,79.00M,102.00M,181.00M,114.00M,,,,,,295.00M,513.00M,,,,1.00M,,514.00M,130.00M,384.00M,,,384.00M,383.25M,566.00M,53.00M,513.00M,0.34,,,0.3393,0.34,0.33,,,0.3293,0.33,1.12B,1.127B,0.18
2011-12,1.407B,1.407B,739.00M,668.00M,281.00M,123.00M,404.00M,239.00M,,-1.00M,,,,643.00M,25.00M,,,,-15.00M,,20.00M,-79.00M,99.00M,,,99.00M,108.75M,214.00M,207.00M,7.00M,0.09,0.0,,0.0986,0.09,0.08,0.0,,0.0885,0.08,1.139B,1.144B,0.0
2011-09,754.00M,754.00M,237.00M,517.00M,115.00M,104.00M,219.00M,133.00M,,-3.00M,,,,352.00M,165.00M,,,,3.00M,,165.00M,17.00M,148.00M,,,148.00M,148.00M,217.00M,52.00M,165.00M,0.13,0.0,,0.13,0.13,0.13,0.0,,0.13,0.13,1.14B,1.148B,0.0
2011-06,1.146B,1.146B,343.00M,803.00M,90.00M,127.00M,217.00M,116.00M,,-3.00M,,,,333.00M,470.00M,,,,-1.00M,,469.00M,134.00M,335.00M,,,335.00M,335.71M,551.00M,81.00M,470.00M,0.29,0.0,,0.2906,0.29,0.29,0.0,,0.2906,0.29,1.141B,1.15B,0.0
2011-03,1.449B,1.449B,452.00M,997.00M,60.00M,102.00M,162.00M,142.00M,,-19.00M,,,,304.00M,693.00M,,,,-17.00M,,676.00M,173.00M,503.00M,,,503.00M,515.65M,788.00M,95.00M,693.00M,0.42,0.0,,0.4308,0.42,0.42,0.0,,0.4307,0.42,1.173B,1.182B,0.165
2010-12,1.428B,1.428B,886.00M,542.00M,225.00M,122.00M,347.00M,265.00M,,-326.00M,,,,612.00M,-70.00M,,,,-321.00M,,-388.00M,-155.00M,-233.00M,,,-233.00M,-27.02M,-130.00M,238.00M,-368.00M,-0.19,,,-0.0181,-0.19,-0.19,,,-0.0196,-0.19,1.198B,1.209B,0.0
2010-09,745.00M,745.00M,349.00M,396.00M,110.00M,113.00M,223.00M,118.00M,,0.00,,,,341.00M,55.00M,,,,14.00M,,69.00M,18.00M,51.00M,,,51.00M,40.65M,133.00M,78.00M,55.00M,0.04,0.0,,0.0315,0.04,0.04,0.0,,0.0316,0.04,1.212B,1.227B,0.0
2010-06,967.00M,967.00M,368.00M,599.00M,125.00M,74.00M,199.00M,100.00M,,0.00,,,,299.00M,300.00M,,,,1.00M,,301.00M,82.00M,219.00M,,,219.00M,218.27M,380.00M,80.00M,300.00M,0.18,0.0,,0.1794,0.18,0.17,0.0,,0.1694,0.17,1.232B,1.248B,0.0
2010-03,1.308B,1.308B,533.00M,775.00M,56.00M,65.00M,121.00M,143.00M,,0.00,,,,264.00M,511.00M,,,,,,511.00M,130.00M,381.00M,,,381.00M,381.00M,632.00M,121.00M,511.00M,0.3,0.0,,0.3,0.3,0.3,0.0,,0.3,0.3,1.248B,1.264B,0.15
2009-12,1.557B,1.557B,1.012B,545.00M,215.00M,94.00M,309.00M,265.00M,,-424.00M,,,,574.00M,-29.00M,,,,-417.00M,,-435.00M,-149.00M,-286.00M,,,-286.00M,-7.232M,-190.00M,249.00M,-439.00M,-0.22,0.0,,0.0004,-0.22,-0.22,0.0,,-0.0029,-0.22,1.265B,1.284B,
2009-09,703.00M,703.00M,339.00M,364.00M,128.00M,106.00M,234.00M,122.00M,,12.00M,,,,356.00M,8.00M,,,,12.00M,,20.00M,5.00M,15.00M,,,15.00M,6.00M,104.00M,96.00M,8.00M,0.01,0.0,,0.0029,0.01,0.01,0.0,,0.0031,0.01,1.271B,1.297B,
2009-06,1.038B,1.038B,472.00M,566.00M,118.00M,92.00M,210.00M,123.00M,,-15.00M,,,,333.00M,233.00M,,,,-15.00M,,218.00M,23.00M,195.00M,,,195.00M,208.42M,379.00M,146.00M,233.00M,0.15,0.0,,0.1604,0.15,0.15,0.0,,0.1601,0.15,1.289B,1.332B,
2009-03,981.00M,981.00M,484.00M,497.00M,83.00M,103.00M,186.00M,117.00M,,-5.00M,,,,303.00M,194.00M,,,,-5.00M,,189.00M,0.00,189.00M,,,189.00M,194.00M,331.00M,137.00M,194.00M,0.14,0.0,,0.1438,0.14,0.14,0.0,,0.1437,0.14,1.308B,1.359B,
2008-12,1.639B,1.639B,1.233B,406.00M,244.00M,99.00M,343.00M,178.00M,,-38.00M,3.00M,14.00M,11.00M,521.00M,-115.00M,14.00M,3.00M,11.00M,-25.00M,11.00M,-129.00M,-58.00M,-71.00M,,,-71.00M,-46.30M,171.00M,297.00M,-126.00M,-0.07,0.0,,-0.0515,-0.07,-0.07,0.0,,-0.0515,-0.07,1.336B,1.336B,
2008-09,711.00M,711.00M,408.00M,303.00M,142.00M,94.00M,236.00M,200.00M,,-54.00M,0.00,17.00M,17.00M,436.00M,-133.00M,17.00M,0.00,17.00M,-54.00M,17.00M,-170.00M,-62.00M,-108.00M,,,-108.00M,-73.69M,-170.00M,,-170.00M,-0.08,0.0,,-0.053,-0.08,-0.08,0.0,,-0.053,-0.08,1.271B,1.271B,
2008-06,654.20M,654.20M,380.17M,274.03M,,,143.85M,50.04M,,,,,,193.89M,80.14M,,,,,,91.08M,32.07M,59.02M,,,59.02M,59.02M,110.32M,30.19M,80.14M,0.1,0.0,,0.1,0.1,0.09,0.0,,0.09,0.09,592.65M,646.97M,
2008-03,602.45M,602.45M,350.23M,252.22M,,,118.64M,79.05M,,1.101M,,,,197.69M,54.53M,,,,1.101M,,70.08M,25.91M,44.16M,,,44.16M,43.47M,89.98M,35.45M,54.53M,0.07,0.0,,0.0688,0.07,0.07,0.0,,0.0689,0.07,587.02M,636.57M,
2007-12,1.482B,1.482B,762.29M,720.19M,,,191.16M,124.50M,,0.002M,,,,315.66M,404.53M,,,,0.002M,,416.55M,144.36M,272.20M,,,272.20M,272.19M,497.19M,92.65M,404.53M,0.465,0.0,,0.465,0.465,0.43,0.0,,0.43,0.43,582.35M,632.94M,
2007-09,317.75M,317.75M,204.96M,112.79M,,,89.25M,33.08M,,,,,,122.34M,-9.545M,,,,,,2.587M,1.889M,0.698M,,,0.698M,0.698M,19.51M,29.05M,-9.545M,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,574.63M,626.53M,
2007-06,495.46M,495.46M,327.96M,167.50M,,,104.51M,32.90M,,,,,,137.40M,30.09M,,,,,,41.65M,13.83M,27.83M,,,27.83M,27.83M,116.48M,86.39M,30.09M,0.05,0.0,,0.05,0.05,0.045,0.0,,0.045,0.045,567.13M,623.99M,
2007-03,312.51M,312.51M,216.01M,96.50M,,,80.94M,44.68M,,-0.002M,,,,125.62M,-29.11M,,,,-0.002M,,-18.47M,-4.045M,-14.42M,,,-14.42M,-14.42M,27.36M,56.47M,-29.11M,-0.025,0.0,,-0.025,-0.025,-0.025,0.0,,-0.025,-0.025,565.92M,616.81M,
2006-12,824.26M,824.26M,483.18M,341.08M,,,130.80M,37.16M,,1.823M,,,,167.96M,173.12M,,,,1.823M,,182.84M,40.02M,142.82M,,,142.82M,141.40M,228.98M,55.86M,173.12M,0.255,0.0,,0.2525,0.255,0.23,0.0,,0.2277,0.23,565.02M,614.35M,
2006-09,188.17M,188.17M,141.08M,47.09M,,,58.90M,25.61M,,,,,,84.50M,-37.41M,,,,,,-29.38M,-5.076M,-24.30M,,,-24.30M,-24.30M,-28.14M,9.265M,-37.41M,-0.045,0.0,,-0.045,-0.045,-0.045,0.0,,-0.045,-0.045,561.25M,561.25M,
2006-06,188.07M,188.07M,137.80M,50.27M,,,58.09M,25.62M,,0.002M,,,,83.72M,-33.45M,,,,0.002M,,-25.17M,-6.865M,-18.31M,,,-18.31M,-18.31M,-7.912M,25.54M,-33.45M,-0.035,0.0,,-0.035,-0.035,-0.035,0.0,,-0.035,-0.035,556.67M,556.67M,
2006-03,188.12M,188.12M,128.31M,59.82M,,,53.42M,32.95M,,0.002M,,,,86.38M,-26.56M,,,,0.002M,,-18.77M,-9.642M,-9.128M,,,-9.128M,-9.129M,-13.80M,12.76M,-26.56M,-0.015,0.0,,-0.015,-0.015,-0.015,0.0,,-0.015,-0.015,552.88M,591.63M,
2005-12,816.24M,816.24M,498.32M,317.92M,,,180.77M,53.25M,,2.948M,,,,234.02M,83.89M,,,,2.948M,,93.06M,25.20M,67.86M,,,67.86M,65.71M,212.05M,128.16M,83.89M,0.125,0.0,,0.1211,0.125,0.115,0.0,,0.1114,0.115,549.93M,592.41M,
2005-09,222.54M,222.54M,141.46M,81.08M,,,80.50M,28.37M,,0.004M,,,,108.87M,-27.79M,,,,0.004M,,-21.46M,-7.228M,-14.23M,,,-14.23M,-14.23M,-2.344M,25.44M,-27.79M,-0.0188,0.0,,-0.0188,-0.0188,-0.0188,0.0,,-0.0188,-0.0188,725.66M,725.66M,
2005-06,241.09M,241.09M,172.27M,68.82M,,,64.47M,17.80M,,1.343M,,,,82.27M,-13.45M,,,,1.343M,,-6.10M,-2.515M,-3.585M,,,-3.585M,-4.391M,11.53M,24.98M,-13.45M,-0.0038,0.0,,-0.0049,-0.0038,-0.0038,0.0,,-0.0049,-0.0038,717.69M,717.69M,
2005-03,203.86M,203.86M,141.54M,62.32M,,,48.46M,21.72M,,0.00,,,,70.18M,-7.862M,,,,0.00,,-2.724M,-3.019M,0.295M,,,0.295M,0.295M,7.583M,15.44M,-7.862M,0.0006,,,0.0006,0.0006,0.0006,,,0.0006,0.0006,536.08M,536.08M,
2004-12,680.09M,680.09M,397.29M,282.80M,,,120.66M,25.07M,,,,,,145.72M,137.08M,,,,,,140.28M,43.01M,97.26M,,,97.26M,97.26M,200.12M,63.05M,137.08M,0.1097,0.0,,0.1097,0.1097,0.0984,0.0,,0.0984,0.0984,883.76M,983.45M,
2004-09,310.63M,310.63M,187.09M,123.54M,,,69.00M,19.88M,,0.471M,,,,88.88M,34.66M,,,,0.471M,,37.30M,11.76M,25.54M,,,25.54M,25.22M,70.71M,36.05M,34.66M,0.0281,0.0,,0.0278,0.0281,0.0253,0.0,,0.025,0.0253,875.44M,965.07M,
2004-06,211.28M,211.28M,119.02M,92.26M,,,55.42M,21.10M,,,,,,76.52M,15.73M,,,,,,17.84M,5.888M,11.96M,,,11.96M,11.96M,50.06M,34.33M,15.73M,0.0197,0.0,,0.0197,0.0197,0.0169,0.0,,0.0169,0.0169,653.07M,727.21M,
2004-03,162.90M,162.90M,105.26M,57.64M,,,34.96M,18.03M,,0.004M,,,,52.99M,4.643M,,,,0.004M,,6.693M,0.029M,6.664M,,,6.664M,6.660M,19.35M,14.71M,4.643M,-0.0141,0.0,,-0.0141,-0.0141,-0.0141,0.0,,-0.0141,-0.0141,1.249B,1.375B,
2003-12,508.51M,508.51M,268.44M,240.07M,,,72.75M,50.35M,,0.001M,,,,123.10M,116.96M,,,,0.001M,,118.42M,41.44M,76.98M,,,76.98M,76.98M,163.70M,46.73M,116.96M,0.1088,0.0,,0.1088,0.1088,0.0994,0.0,,0.0994,0.0994,710.07M,778.77M,
2003-09,117.52M,117.52M,91.19M,26.33M,,,27.37M,15.89M,,0.02M,,,,43.27M,-16.93M,,,,0.02M,,-15.53M,-5.436M,-10.09M,,,-10.09M,-10.11M,-0.976M,15.96M,-16.93M,-0.0206,0.0,,-0.0207,-0.0206,-0.0206,0.0,,-0.0207,-0.0206,470.17M,470.17M,
2003-06,158.72M,158.72M,102.25M,56.47M,,,37.75M,13.58M,,-0.004M,,,,51.33M,5.146M,,,,-0.004M,,6.403M,2.24M,4.163M,,,4.163M,4.166M,26.44M,21.30M,5.146M,0.0094,0.0,,0.0094,0.0094,0.0075,0.0,,0.0075,0.0075,469.56M,500.08M,
2003-03,125.00M,125.00M,96.07M,28.93M,,,25.17M,18.20M,,0.159M,,,,43.38M,-14.44M,,,,0.159M,,-12.44M,-4.481M,-7.957M,,,-7.957M,-8.059M,15.22M,29.67M,-14.44M,-0.0166,,,-0.0168,-0.0166,-0.0166,,,-0.0168,-0.0166,480.21M,480.21M,
2002-12,378.68M,378.68M,253.30M,125.38M,,,44.86M,13.76M,,0.132M,,,,58.62M,66.76M,,,,0.132M,,69.29M,24.95M,44.35M,,,44.35M,44.26M,110.18M,43.42M,66.76M,0.0206,0.0,,0.0206,0.0206,0.0197,0.0,,0.0197,0.0197,2.137B,2.265B,
2002-09,169.17M,169.17M,103.98M,65.20M,,,40.60M,13.26M,,-0.058M,,,,53.86M,11.33M,,,,-0.058M,,14.20M,5.113M,9.086M,,,9.086M,9.123M,29.84M,18.51M,11.33M,0.0175,0.0,,0.0176,0.0175,0.0163,0.0,,0.0163,0.0163,534.22M,579.87M,
2002-06,191.26M,191.26M,111.82M,79.43M,,,36.49M,11.75M,,,,,,48.24M,31.20M,,,,,,32.35M,11.65M,20.70M,,,20.70M,20.70M,51.89M,20.70M,31.20M,0.0425,0.0,,0.0425,0.0425,0.0388,0.0,,0.0388,0.0388,480.29M,533.97M,
2002-03,164.91M,164.91M,105.65M,59.26M,,,30.50M,11.90M,,,,,,42.40M,16.86M,,,,,,17.48M,6.601M,10.88M,,,10.88M,10.88M,29.16M,12.30M,16.86M,0.0238,0.0,,0.0238,0.0238,0.0188,0.0,,0.0188,0.0188,438.71M,543.29M,
2001-12,371.34M,371.34M,253.64M,117.70M,,,45.05M,10.85M,,,,,,55.90M,61.80M,,,,,,62.07M,22.96M,39.11M,,,39.11M,39.11M,97.97M,36.17M,61.80M,0.0938,0.0,,0.0938,0.0938,0.0825,0.0,,0.0825,0.0825,418.85M,474.32M,
2001-09,139.60M,139.60M,101.32M,38.28M,,,26.12M,9.02M,,,,,,35.14M,3.144M,,,,,,3.516M,1.301M,2.215M,,,2.215M,2.215M,15.70M,12.56M,3.144M,0.0058,0.0,,0.0058,0.0058,0.005,0.0,,0.005,0.005,398.87M,457.18M,
2001-06,110.58M,110.58M,74.12M,36.46M,,,28.50M,9.191M,,,,,,37.69M,-1.235M,,,,,,0.046M,0.017M,0.029M,,,0.029M,0.029M,6.415M,7.65M,-1.235M,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,361.27M,427.69M,
