,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2015-09,127.00M,,,25.00M,78.00M,103.00M,103.00M,-42.00M,,28.00M,23.00M,1.00M,-303.00M,-126.00M,,53.00M,-86.00M,,70.00M,-392.00M,-148.00M,-46.00M,,,,-29.00M,-20.00M,-95.00M,0.00,0.00,21.00M,,21.00M,0.00,0.00,167.00M,188.00M,4.416B,-55.00M,4.00M,4.365B,21.00M,,0.00,
2015-06,212.00M,,,20.00M,83.00M,103.00M,103.00M,23.00M,,20.00M,-9.00M,2.00M,7.00M,-19.00M,,162.00M,-36.00M,,-336.00M,-222.00M,135.00M,-28.00M,,,0.00,-100.00M,0.00,-128.00M,0.00,0.00,34.00M,,34.00M,-170.00M,-170.00M,-12.00M,-148.00M,4.465B,-141.00M,92.00M,4.416B,34.00M,0.00,0.00,
2015-03,394.00M,,,20.00M,142.00M,162.00M,162.00M,-3.00M,,23.00M,-14.00M,2.00M,438.00M,10.00M,,-273.00M,31.00M,,-567.00M,-361.00M,209.00M,-21.00M,,,0.00,,5.00M,-16.00M,-250.00M,-250.00M,27.00M,,27.00M,,,11.00M,-212.00M,4.848B,-19.00M,-364.00M,4.465B,27.00M,0.00,-250.00M,
2014-12,361.00M,,,29.00M,125.00M,154.00M,154.00M,13.00M,,30.00M,29.00M,3.00M,16.00M,88.00M,,142.00M,-137.00M,,529.00M,638.00M,1.234B,-17.00M,,,,0.00,13.00M,-4.00M,0.00,0.00,15.00M,,15.00M,0.00,0.00,-54.00M,-39.00M,3.805B,1.191B,-148.00M,4.848B,15.00M,,0.00,
2014-09,-23.00M,,,23.00M,34.00M,57.00M,57.00M,-36.00M,,22.00M,-6.00M,2.00M,-595.00M,-91.00M,,159.00M,-215.00M,,568.00M,-174.00M,-145.00M,-28.00M,,,,0.00,-18.00M,-46.00M,0.00,0.00,23.00M,,23.00M,0.00,0.00,-1.00M,22.00M,4.199B,-169.00M,-225.00M,3.805B,23.00M,,0.00,
2014-06,204.00M,,,19.00M,46.00M,65.00M,65.00M,-27.00M,,23.00M,-6.00M,1.00M,112.00M,-4.00M,,70.00M,-19.00M,,-324.00M,-165.00M,106.00M,-25.00M,,,,0.00,3.00M,-22.00M,0.00,0.00,18.00M,,18.00M,-147.00M,-147.00M,-15.00M,-144.00M,4.279B,-60.00M,-20.00M,4.199B,18.00M,,0.00,
2014-03,293.00M,,,19.00M,51.00M,70.00M,70.00M,6.00M,,29.00M,-17.00M,2.00M,290.00M,5.00M,,-293.00M,40.00M,,-298.00M,-256.00M,136.00M,-37.00M,,,,21.00M,4.00M,-12.00M,-375.00M,-375.00M,119.00M,,119.00M,,,4.00M,-252.00M,4.41B,-128.00M,-3.00M,4.279B,119.00M,,-375.00M,
2013-12,173.00M,,,40.00M,67.00M,107.00M,107.00M,-42.00M,,32.00M,-15.00M,-61.00M,-300.00M,122.00M,,271.00M,-222.00M,,733.00M,604.00M,880.00M,-16.00M,,,,47.00M,86.00M,117.00M,4.744B,4.744B,66.00M,,-5.764B,0.00,0.00,-74.00M,-1.094B,4.444B,-97.00M,63.00M,4.41B,66.00M,,-6.00M,
2013-09,57.00M,,,21.00M,14.00M,35.00M,35.00M,-6.00M,,26.00M,-9.00M,17.00M,-85.00M,-180.00M,,250.00M,-105.00M,,-34.00M,-154.00M,-50.00M,-22.00M,,,,126.00M,-89.00M,15.00M,0.00,0.00,41.00M,,41.00M,0.00,0.00,6.00M,47.00M,4.341B,12.00M,91.00M,4.444B,41.00M,,0.00,
2013-06,324.00M,,,23.00M,43.00M,66.00M,66.00M,69.00M,,23.00M,-1.00M,22.00M,120.00M,25.00M,,-30.00M,-28.00M,,-463.00M,-376.00M,109.00M,-19.00M,,,,116.00M,-1.00M,96.00M,0.00,0.00,18.00M,,18.00M,-216.00M,-216.00M,-1.00M,-199.00M,4.299B,6.00M,36.00M,4.341B,18.00M,,0.00,
2013-03,456.00M,,,24.00M,83.00M,107.00M,107.00M,140.00M,,27.00M,-4.00M,23.00M,463.00M,39.00M,,-420.00M,20.00M,,-511.00M,-409.00M,325.00M,-17.00M,,,,87.00M,10.00M,80.00M,0.00,0.00,33.00M,,33.00M,,,-10.00M,23.00M,3.959B,428.00M,-88.00M,4.299B,33.00M,,0.00,
2012-12,354.00M,,,51.00M,85.00M,136.00M,136.00M,-30.00M,,43.00M,-1.00M,42.00M,-496.00M,70.00M,,317.00M,-223.00M,,792.00M,460.00M,976.00M,-27.00M,,,,28.00M,20.00M,21.00M,,,3.00M,0.00,3.00M,0.00,0.00,-10.00M,-7.00M,2.909B,990.00M,60.00M,3.959B,3.00M,,,0.00
2012-09,226.00M,,,24.00M,21.00M,45.00M,45.00M,-9.00M,,34.00M,-1.00M,33.00M,29.00M,-160.00M,,125.00M,-90.00M,,-75.00M,-171.00M,124.00M,-20.00M,,,,-28.00M,-23.00M,-71.00M,,,7.00M,0.00,7.00M,0.00,0.00,-1.00M,6.00M,2.786B,59.00M,64.00M,2.909B,7.00M,,,0.00
2012-06,185.00M,,,22.00M,72.00M,94.00M,94.00M,-36.00M,,28.00M,-1.00M,27.00M,-132.00M,15.00M,,-66.00M,-7.00M,,12.00M,-178.00M,92.00M,-17.00M,,,,23.00M,-3.00M,3.00M,,,8.00M,-54.00M,-46.00M,-204.00M,-204.00M,,-250.00M,3.049B,-155.00M,-108.00M,2.786B,8.00M,,,-54.00M
2012-03,384.00M,,,23.00M,30.00M,53.00M,53.00M,65.00M,,21.00M,-2.00M,19.00M,553.00M,0.00,,-452.00M,107.00M,,-576.00M,-368.00M,153.00M,-9.00M,,,,-72.00M,4.00M,-77.00M,,,15.00M,-261.00M,-246.00M,,,,-246.00M,3.165B,-170.00M,54.00M,3.049B,15.00M,,,-261.00M
2011-12,99.00M,3.00M,3.00M,71.00M,136.00M,207.00M,207.00M,-49.00M,,42.00M,-3.00M,51.00M,-503.00M,54.00M,,270.00M,-321.00M,,1.031B,531.00M,850.00M,-25.00M,,,3.00M,55.00M,23.00M,56.00M,,,30.00M,-168.00M,-138.00M,,0.00,-12.00M,-150.00M,2.469B,756.00M,-60.00M,3.165B,30.00M,,,-168.00M
2011-09,148.00M,1.00M,1.00M,25.00M,27.00M,52.00M,52.00M,5.00M,,18.00M,-17.00M,1.00M,-2.00M,-117.00M,,166.00M,116.00M,,-324.00M,-161.00M,46.00M,-29.00M,,,0.00,204.00M,-28.00M,147.00M,,,13.00M,-23.00M,-10.00M,,-2.00M,17.00M,5.00M,2.334B,198.00M,-63.00M,2.469B,13.00M,,,-23.00M
2011-06,335.00M,,,26.00M,55.00M,81.00M,81.00M,-31.00M,,20.00M,-3.00M,17.00M,-36.00M,10.00M,,-15.00M,-71.00M,,-368.00M,-480.00M,-78.00M,-14.00M,,,-3.00M,81.00M,13.00M,77.00M,,,21.00M,-158.00M,-137.00M,,-192.00M,3.00M,-326.00M,2.658B,-327.00M,3.00M,2.334B,21.00M,,,-158.00M
2011-03,503.00M,,,26.00M,69.00M,95.00M,95.00M,150.00M,,23.00M,-1.00M,22.00M,554.00M,11.00M,,-569.00M,-45.00M,,-587.00M,-636.00M,134.00M,-4.00M,,,,-7.00M,-3.00M,-14.00M,,,5.00M,-343.00M,-338.00M,,,1.00M,-337.00M,2.812B,-217.00M,63.00M,2.658B,5.00M,,,-343.00M
2010-12,-233.00M,1.00M,1.00M,101.00M,137.00M,238.00M,238.00M,-329.00M,,37.00M,-11.00M,352.00M,-428.00M,143.00M,,422.00M,-58.00M,,885.00M,964.00M,993.00M,-21.00M,,,,-12.00M,44.00M,11.00M,,,27.00M,-346.00M,-319.00M,,-2.00M,3.00M,-318.00M,2.123B,686.00M,3.00M,2.812B,27.00M,,,-346.00M
2010-09,51.00M,0.00,0.00,38.00M,40.00M,78.00M,78.00M,-30.00M,,33.00M,-5.00M,28.00M,-54.00M,-97.00M,,166.00M,-80.00M,,120.00M,55.00M,182.00M,-37.00M,,,4.00M,-8.00M,-55.00M,-96.00M,,,24.00M,-264.00M,-240.00M,,0.00,5.00M,-235.00M,2.214B,-149.00M,58.00M,2.123B,24.00M,,,-264.00M
2010-06,219.00M,,,26.00M,54.00M,80.00M,80.00M,-9.00M,,17.00M,-2.00M,15.00M,-68.00M,38.00M,,14.00M,-78.00M,,-237.00M,-331.00M,-26.00M,-27.00M,,12.00M,-4.00M,-30.00M,18.00M,-43.00M,,,14.00M,-242.00M,-228.00M,,-187.00M,2.00M,-413.00M,2.695B,-482.00M,1.00M,2.214B,14.00M,,,-242.00M
2010-03,381.00M,,,33.00M,88.00M,121.00M,121.00M,90.00M,,44.00M,-4.00M,40.00M,593.00M,40.00M,,-483.00M,-80.00M,,-475.00M,-405.00M,227.00M,-12.00M,,-12.00M,,-170.00M,-2.00M,-184.00M,,,16.00M,-107.00M,-91.00M,,,4.00M,-87.00M,2.768B,-44.00M,-29.00M,2.695B,16.00M,,,-107.00M
2009-12,-286.00M,,,160.00M,89.00M,249.00M,249.00M,-186.00M,,47.00M,-11.00M,487.00M,-513.00M,110.00M,,278.00M,176.00M,452.00M,,588.00M,813.00M,-28.00M,,,,-162.00M,45.00M,-145.00M,,,18.00M,-275.00M,-257.00M,,0.00,11.00M,-246.00M,2.36B,422.00M,-14.00M,2.768B,18.00M,,,-275.00M
2009-09,15.00M,,,58.00M,38.00M,96.00M,96.00M,49.00M,,36.00M,-12.00M,-18.00M,42.00M,-153.00M,,141.00M,-100.00M,48.00M,,-22.00M,161.00M,-17.00M,,,,-222.00M,-35.00M,-274.00M,,,18.00M,-292.00M,-274.00M,,0.00,12.00M,-262.00M,2.728B,-375.00M,7.00M,2.36B,18.00M,,,-292.00M
2009-06,195.00M,,,60.00M,86.00M,146.00M,146.00M,-175.00M,3.00M,43.00M,-39.00M,14.00M,-88.00M,32.00M,,-12.00M,4.00M,-224.00M,,-288.00M,-118.00M,-14.00M,,,,2.00M,-5.00M,-17.00M,,,38.00M,-229.00M,-191.00M,,0.00,39.00M,-152.00M,2.988B,-287.00M,27.00M,2.728B,38.00M,,,-229.00M
2009-03,189.00M,,,69.00M,68.00M,137.00M,137.00M,56.00M,-3.00M,30.00M,-17.00M,3.00M,794.00M,32.00M,,-538.00M,-80.00M,-276.00M,,-68.00M,327.00M,-10.00M,,,,3.00M,,-7.00M,,,7.00M,-313.00M,-306.00M,,,17.00M,-289.00M,2.958B,31.00M,-1.00M,2.988B,7.00M,,,-313.00M
2008-06,59.02M,,-0.105M,7.045M,23.14M,30.19M,30.19M,-20.34M,,,,13.39M,-197.57M,-82.54M,,45.69M,-68.85M,14.71M,-15.66M,-304.21M,-222.07M,-14.14M,,-14.14M,,33.03M,-40.30M,-21.41M,,,23.16M,,23.16M,,,15.83M,39.00M,1.396B,-204.48M,0.587M,1.192B,23.16M,,,
2008-03,44.16M,,-0.783M,8.013M,27.44M,35.45M,35.45M,-51.71M,,,,17.63M,500.66M,6.549M,,-113.44M,,-50.49M,-46.43M,296.84M,341.59M,-6.65M,-0.108M,-6.758M,0.078M,392.44M,0.085M,385.84M,,,9.048M,,9.048M,,,6.603M,15.65M,648.66M,743.08M,4.506M,1.396B,9.048M,,,
2007-12,272.20M,,0.215M,10.23M,82.42M,92.65M,92.65M,77.58M,,,,20.04M,-594.86M,35.61M,,85.28M,,231.95M,-35.16M,-277.18M,185.51M,-7.497M,0.216M,-7.281M,0.00,0.353M,29.28M,22.35M,,,8.702M,,8.702M,,,42.41M,51.11M,392.53M,258.97M,-2.837M,648.66M,8.702M,,,
2007-09,0.698M,,0.987M,7.155M,21.90M,29.05M,29.05M,-8.633M,,,,7.897M,90.95M,-96.50M,,48.40M,,20.81M,-53.76M,9.89M,39.89M,-7.905M,0.135M,-7.77M,-65.22M,77.14M,-25.00M,-20.85M,,,19.08M,,19.08M,,,7.771M,26.85M,343.98M,45.90M,2.653M,392.53M,19.08M,,,
2007-06,27.83M,,,8.73M,77.66M,86.39M,86.39M,7.306M,,,,8.19M,-49.16M,-1.298M,,-26.73M,,-0.783M,-45.23M,-123.21M,6.506M,-7.348M,,-7.348M,-3.659M,-41.63M,-8.413M,-61.05M,,,11.18M,,11.18M,,,0.37M,11.55M,384.41M,-42.99M,2.565M,343.98M,11.18M,,,
2007-03,-14.42M,,0.00,16.85M,39.62M,56.47M,56.47M,-10.84M,,,,-18.47M,307.90M,-5.551M,,-57.36M,,-42.81M,-62.34M,139.84M,152.58M,-4.829M,,-4.829M,0.00,-132.38M,,-137.21M,,,0.00,,0.00,,,0.00,0.00,367.91M,15.37M,1.129M,384.41M,0.00,,,
