,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,,5.217B,,5.217B,431.00M,431.00M,1.00M,41.00M,42.00M,,,,720.00M,6.41B,,,,,,,,,286.00M,9.764B,1.079B,10.84B,,400.00M,458.00M,11.99B,18.40B,172.00M,,,172.00M,1.551B,1.723B,,,1.204B,1.204B,,2.927B,4.392B,4.392B,16.00M,16.00M,1.243B,5.651B,8.578B,0.0,5.245B,10.79B,5.563B,,,,-649.00M,9.819B
2017-12,269.00M,4.713B,,4.713B,918.00M,918.00M,1.00M,45.00M,46.00M,,,,843.00M,6.52B,0.0,1.00M,4.00M,750.00M,,224.00M,979.00M,-685.00M,294.00M,9.763B,1.192B,10.96B,,459.00M,440.00M,12.15B,18.67B,323.00M,,,323.00M,1.411B,1.734B,,,1.929B,1.929B,,3.663B,4.39B,4.39B,21.00M,21.00M,1.132B,5.543B,9.206B,0.0,4.916B,10.75B,5.563B,,,,-638.00M,9.462B
2017-09,,3.576B,,3.576B,888.00M,888.00M,14.00M,80.00M,94.00M,,,,828.00M,5.386B,,,,,,,,,254.00M,9.764B,1.406B,11.17B,,439.00M,469.00M,12.33B,17.72B,313.00M,,,313.00M,703.00M,1.016B,,,1.373B,1.373B,,2.389B,4.388B,4.388B,40.00M,40.00M,934.00M,5.362B,7.751B,0.0,5.501B,10.67B,5.563B,,,,-642.00M,9.967B
2017-06,,3.278B,,3.278B,360.00M,360.00M,9.00M,42.00M,51.00M,,,,663.00M,4.352B,,,,,,,,,246.00M,9.763B,1.583B,11.35B,,398.00M,466.00M,12.46B,16.81B,163.00M,,,163.00M,662.00M,825.00M,,,940.00M,940.00M,,1.765B,4.387B,4.387B,38.00M,38.00M,903.00M,5.328B,7.093B,0.0,5.312B,10.61B,5.563B,,,,-640.00M,9.715B
2017-03,,3.248B,,3.248B,344.00M,344.00M,4.00M,44.00M,48.00M,,,,716.00M,4.356B,,,,,,,,,245.00M,9.763B,1.747B,11.51B,,371.00M,439.00M,12.56B,16.92B,150.00M,,,150.00M,936.00M,1.086B,,,1.153B,1.153B,,2.239B,4.393B,4.393B,41.00M,41.00M,812.00M,5.246B,7.485B,0.0,5.069B,10.56B,5.563B,,,,-625.00M,9.436B
2016-12,286.00M,3.245B,,3.245B,732.00M,732.00M,9.00M,40.00M,49.00M,,,,804.00M,4.83B,0.0,1.00M,4.00M,638.00M,,162.00M,805.00M,-547.00M,258.00M,9.768B,1.912B,11.68B,,283.00M,401.00M,12.62B,17.45B,222.00M,,,222.00M,806.00M,1.028B,,,1.628B,1.628B,,2.656B,4.887B,4.887B,44.00M,44.00M,746.00M,5.677B,8.333B,0.0,4.869B,10.44B,5.563B,,,,-629.00M,9.119B
2016-09,,4.029B,,4.029B,446.00M,446.00M,28.00M,103.00M,131.00M,,,,728.00M,5.334B,,,,,,,,,258.00M,9.787B,2.134B,11.92B,,485.00M,382.00M,13.05B,18.38B,211.00M,,,211.00M,689.00M,900.00M,1.481B,1.481B,1.32B,1.32B,,3.701B,4.881B,4.881B,43.00M,43.00M,937.00M,5.861B,9.562B,0.0,4.616B,10.43B,5.572B,,,,-653.00M,8.818B
2016-06,,2.271B,,2.271B,462.00M,462.00M,25.00M,69.00M,94.00M,,,,593.00M,3.42B,,,,,,,,,260.00M,9.771B,2.431B,12.20B,,405.00M,320.00M,13.19B,16.61B,176.00M,,,176.00M,721.00M,897.00M,56.00M,56.00M,1.238B,1.238B,,2.191B,4.977B,4.977B,50.00M,50.00M,835.00M,5.862B,8.053B,0.0,4.366B,10.42B,5.588B,,,,-649.00M,8.554B
2016-03,,2.872B,,2.872B,383.00M,383.00M,28.00M,75.00M,103.00M,,,,650.00M,4.008B,,,,,,,,,246.00M,9.772B,2.598B,12.37B,,362.00M,316.00M,13.29B,17.30B,150.00M,,,150.00M,901.00M,1.051B,64.00M,64.00M,1.207B,1.207B,,2.322B,5.777B,5.777B,57.00M,57.00M,798.00M,6.632B,8.954B,0.0,4.239B,10.34B,5.591B,,,,-643.00M,8.348B
2015-12,176.00M,1.823B,,1.823B,679.00M,679.00M,27.00M,101.00M,128.00M,,,,757.00M,3.387B,0.0,1.00M,4.00M,483.00M,,109.00M,597.00M,-408.00M,189.00M,7.095B,562.00M,7.657B,,275.00M,3.738B,11.86B,15.25B,284.00M,,,284.00M,625.00M,909.00M,,,1.702B,1.702B,,2.611B,4.074B,4.074B,10.00M,10.00M,483.00M,4.567B,7.178B,0.0,4.096B,10.24B,5.637B,,,,-633.00M,8.068B
2015-09,,4.365B,154.00M,4.519B,503.00M,503.00M,64.00M,174.00M,238.00M,,,373.00M,676.00M,6.309B,,,,,,,,,200.00M,7.083B,530.00M,7.613B,9.00M,,171.00M,7.993B,14.30B,309.00M,,,309.00M,394.00M,703.00M,,,907.00M,907.00M,,1.61B,4.078B,4.078B,110.00M,110.00M,515.00M,4.703B,6.313B,0.0,3.937B,10.21B,5.613B,,,,-544.00M,7.989B
2015-06,,4.416B,105.00M,4.521B,201.00M,201.00M,45.00M,72.00M,117.00M,,,346.00M,866.00M,6.051B,,,,,,,,,179.00M,7.084B,539.00M,7.623B,9.00M,,153.00M,7.964B,14.02B,198.00M,,,198.00M,510.00M,708.00M,,,837.00M,837.00M,,1.545B,4.077B,4.077B,126.00M,126.00M,466.00M,4.669B,6.214B,0.0,3.81B,10.16B,5.627B,,,,-545.00M,7.801B
2015-03,,4.465B,5.00M,4.47B,208.00M,208.00M,12.00M,90.00M,102.00M,,,365.00M,718.00M,5.863B,,,,,,,,,158.00M,7.084B,525.00M,7.609B,9.00M,,138.00M,7.914B,13.78B,123.00M,,,123.00M,615.00M,738.00M,,,1.161B,1.161B,,1.899B,4.075B,4.075B,124.00M,124.00M,441.00M,4.64B,6.539B,0.0,3.598B,9.968B,5.709B,,,,-619.00M,7.238B
2014-12,333.00M,4.848B,10.00M,4.858B,659.00M,659.00M,11.00M,112.00M,123.00M,,,,901.00M,6.541B,0.0,1.00M,4.00M,392.00M,,104.00M,501.00M,-344.00M,157.00M,7.086B,500.00M,7.586B,9.00M,264.00M,85.00M,8.101B,14.64B,325.00M,,,325.00M,592.00M,917.00M,,,1.797B,1.797B,,2.714B,4.324B,4.324B,10.00M,10.00M,361.00M,4.695B,7.409B,0.0,3.374B,9.924B,5.762B,,,,-303.00M,7.233B
2014-09,,3.805B,23.00M,3.828B,689.00M,689.00M,16.00M,206.00M,222.00M,,,394.00M,824.00M,5.957B,,,,,,,,,162.00M,7.088B,549.00M,7.637B,9.00M,,90.00M,7.898B,13.86B,266.00M,,,266.00M,541.00M,807.00M,,,1.305B,1.305B,,2.112B,4.322B,4.322B,82.00M,82.00M,347.00M,4.751B,6.863B,0.0,3.013B,9.90B,5.764B,,,,-157.00M,6.992B
2014-06,,4.199B,5.00M,4.204B,107.00M,107.00M,19.00M,132.00M,151.00M,,,359.00M,653.00M,5.474B,,,,,,,,,162.00M,7.089B,540.00M,7.629B,9.00M,,86.00M,7.886B,13.36B,167.00M,,,167.00M,507.00M,674.00M,,,769.00M,769.00M,,1.443B,4.321B,4.321B,82.00M,82.00M,343.00M,4.746B,6.189B,0.0,3.036B,9.853B,5.762B,,,,44.00M,7.171B
2014-03,,4.279B,8.00M,4.287B,219.00M,219.00M,19.00M,139.00M,158.00M,,,336.00M,694.00M,5.694B,,,,,,,,,152.00M,7.089B,518.00M,7.607B,9.00M,,66.00M,7.834B,13.53B,166.00M,,,166.00M,635.00M,801.00M,,,1.092B,1.092B,,1.893B,4.32B,4.32B,86.00M,86.00M,305.00M,4.711B,6.604B,0.0,2.832B,9.812B,5.783B,,,,63.00M,6.924B
2013-12,377.00M,4.41B,21.00M,4.431B,510.00M,510.00M,22.00M,149.00M,171.00M,,12.00M,321.00M,796.00M,6.241B,0.0,1.00M,5.00M,484.00M,,96.00M,586.00M,-448.00M,138.00M,7.092B,497.00M,7.589B,9.00M,,35.00M,7.771B,14.01B,355.00M,,,355.00M,636.00M,991.00M,25.00M,25.00M,1.389B,1.389B,,2.405B,4.668B,4.668B,66.00M,66.00M,251.00M,4.985B,7.39B,0.0,2.686B,9.682B,5.814B,,,,68.00M,6.622B
2013-09,,4.444B,95.00M,4.539B,205.00M,205.00M,112.00M,201.00M,313.00M,,2.282B,341.00M,571.00M,8.251B,,,,,,,,,139.00M,7.098B,545.00M,7.643B,9.00M,,18.00M,7.809B,16.06B,286.00M,,,286.00M,506.00M,792.00M,,,641.00M,641.00M,,1.433B,2.211B,2.211B,71.00M,71.00M,206.00M,2.488B,3.921B,0.0,2.513B,9.608B,,,,,18.00M,12.14B
2013-06,,4.341B,205.00M,4.546B,117.00M,117.00M,41.00M,90.00M,131.00M,,,335.00M,500.00M,5.629B,,,,,,,,,132.00M,7.102B,529.00M,7.631B,9.00M,,10.00M,7.782B,13.41B,139.00M,,,139.00M,389.00M,528.00M,,,665.00M,665.00M,,1.193B,,,77.00M,77.00M,206.00M,283.00M,1.476B,0.0,2.456B,9.541B,,,,,-62.00M,11.94B
2013-03,,4.299B,319.00M,4.618B,237.00M,237.00M,40.00M,119.00M,159.00M,,,409.00M,380.00M,5.803B,,,,,,,,,133.00M,7.103B,667.00M,7.77B,9.00M,,10.00M,7.922B,13.72B,186.00M,,,186.00M,588.00M,774.00M,,,1.125B,1.125B,,1.899B,,,83.00M,83.00M,208.00M,291.00M,2.19B,0.0,2.132B,9.498B,,,,,-95.00M,11.54B
2012-12,425.00M,3.959B,398.00M,4.357B,707.00M,707.00M,38.00M,171.00M,209.00M,,18.00M,487.00M,496.00M,6.274B,0.0,1.00M,5.00M,427.00M,,80.00M,513.00M,-372.00M,141.00M,7.106B,660.00M,7.766B,8.00M,,11.00M,7.926B,14.20B,343.00M,,,343.00M,652.00M,995.00M,,,1.657B,1.657B,,2.652B,,,25.00M,25.00M,206.00M,231.00M,2.883B,0.0,1.893B,9.45B,0.00,,,,-26.00M,11.32B
2012-09,,2.909B,455.00M,3.364B,200.00M,200.00M,111.00M,180.00M,291.00M,,,497.00M,350.00M,4.702B,,,,,,,,,148.00M,7.107B,669.00M,7.776B,19.00M,,16.00M,7.959B,12.66B,253.00M,,,253.00M,455.00M,708.00M,,,847.00M,847.00M,,1.555B,,,60.00M,60.00M,163.00M,223.00M,1.778B,0.0,1.539B,9.418B,,,,,-74.00M,10.88B
2012-06,,2.786B,406.00M,3.192B,227.00M,227.00M,36.00M,92.00M,128.00M,,,484.00M,301.00M,4.332B,,,,,,,,,149.00M,7.108B,651.00M,7.759B,17.00M,,12.00M,7.937B,12.27B,163.00M,,,163.00M,416.00M,579.00M,,,905.00M,905.00M,,1.484B,,,61.00M,61.00M,160.00M,221.00M,1.705B,0.0,1.313B,9.375B,,,,,-124.00M,10.56B
2012-03,,3.049B,427.00M,3.476B,103.00M,103.00M,39.00M,107.00M,146.00M,,,445.00M,396.00M,4.566B,,,,,,,,,154.00M,7.109B,621.00M,7.73B,17.00M,,15.00M,7.916B,12.48B,181.00M,,,181.00M,676.00M,857.00M,,,917.00M,917.00M,,1.774B,,,57.00M,57.00M,165.00M,222.00M,1.996B,0.0,1.128B,9.391B,,,,,-33.00M,10.49B
2011-12,270.00M,3.165B,360.00M,3.525B,649.00M,649.00M,28.00M,116.00M,144.00M,,,507.00M,555.00M,5.38B,0.0,1.00M,5.00M,455.00M,,72.00M,533.00M,-370.00M,163.00M,7.111B,595.00M,7.706B,16.00M,,12.00M,7.897B,13.28B,390.00M,,,390.00M,694.00M,1.084B,,,1.472B,1.472B,,2.556B,,,55.00M,55.00M,174.00M,229.00M,2.785B,0.0,948.00M,9.616B,,,,,-72.00M,10.49B
2011-09,,2.469B,432.00M,2.901B,139.00M,139.00M,64.00M,143.00M,207.00M,,,507.00M,328.00M,4.082B,,,,,,,,,167.00M,7.126B,685.00M,7.811B,25.00M,,28.00M,8.031B,12.11B,250.00M,,,250.00M,542.00M,792.00M,,,487.00M,487.00M,,1.279B,,,95.00M,95.00M,168.00M,263.00M,1.542B,0.0,849.00M,9.751B,0.00,,,,-29.00M,10.57B
2011-06,,2.334B,610.00M,2.944B,140.00M,140.00M,12.00M,81.00M,93.00M,,,511.00M,266.00M,3.954B,,,,,,,,,163.00M,7.13B,683.00M,7.813B,25.00M,,17.00M,8.018B,11.97B,156.00M,,,156.00M,489.00M,645.00M,,,601.00M,601.00M,,1.246B,,,97.00M,97.00M,164.00M,261.00M,1.507B,0.0,701.00M,9.735B,0.00,,,,29.00M,10.46B
2011-03,,2.658B,701.00M,3.359B,95.00M,95.00M,23.00M,80.00M,103.00M,,,464.00M,328.00M,4.349B,,,,,,,,,165.00M,7.134B,679.00M,7.813B,25.00M,,25.00M,8.028B,12.38B,172.00M,,,172.00M,676.00M,848.00M,,,1.043B,1.043B,,1.891B,,,83.00M,83.00M,166.00M,249.00M,2.14B,0.0,366.00M,12.38B,2.537B,,,,26.00M,10.24B
2010-12,,2.812B,696.00M,3.508B,640.00M,640.00M,30.00M,110.00M,140.00M,,,640.00M,457.00M,5.385B,0.0,1.00M,5.00M,449.00M,,57.00M,512.00M,-343.00M,169.00M,7.132B,648.00M,7.78B,23.00M,,49.00M,8.021B,13.41B,363.00M,95.00M,59.00M,517.00M,91.00M,608.00M,,,1.726B,1.726B,187.00M,2.907B,,,112.00M,112.00M,184.00M,296.00M,3.203B,0.0,57.00M,12.35B,2.194B,,,,-13.00M,10.20B
2010-06,,2.214B,632.00M,2.846B,190.00M,190.00M,34.00M,123.00M,157.00M,,,401.00M,374.00M,3.968B,,,,,,,,,160.00M,7.147B,1.082B,8.229B,23.00M,,13.00M,8.425B,12.39B,149.00M,,,149.00M,459.00M,608.00M,,,482.00M,482.00M,,1.09B,,,249.00M,249.00M,196.00M,445.00M,1.535B,0.0,239.00M,12.26B,1.584B,,,,-57.00M,10.86B
2010-03,,2.695B,647.00M,3.342B,134.00M,134.00M,33.00M,161.00M,194.00M,,,395.00M,421.00M,4.486B,,,,,,,,,131.00M,7.15B,1.065B,8.215B,23.00M,,11.00M,8.38B,12.87B,147.00M,,,147.00M,623.00M,770.00M,,,772.00M,772.00M,,1.542B,,,254.00M,254.00M,202.00M,456.00M,1.998B,0.0,20.00M,12.23B,1.342B,,,,-44.00M,10.87B
2009-12,,2.768B,477.00M,3.245B,739.00M,739.00M,40.00M,201.00M,241.00M,,,498.00M,606.00M,5.329B,0.0,1.00M,6.00M,376.00M,,54.00M,437.00M,-299.00M,138.00M,7.154B,1.089B,8.243B,23.00M,,9.00M,8.413B,13.74B,302.00M,,,302.00M,779.00M,1.081B,,,1.426B,1.426B,,2.507B,,,270.00M,270.00M,209.00M,479.00M,2.986B,0.0,-361.00M,12.38B,1.235B,,,,-24.00M,10.76B
2009-09,,2.36B,361.00M,2.721B,228.00M,228.00M,31.00M,320.00M,351.00M,,,727.00M,481.00M,4.508B,,,,,,,,,133.00M,7.161B,1.616B,8.777B,22.00M,,12.00M,8.944B,13.45B,282.00M,,,282.00M,532.00M,814.00M,,,471.00M,471.00M,,1.285B,,,685.00M,685.00M,190.00M,875.00M,2.16B,0.0,-75.00M,12.33B,960.00M,,,,-5.00M,11.29B
2009-06,,2.728B,102.00M,2.83B,282.00M,282.00M,14.00M,184.00M,198.00M,,,792.00M,408.00M,4.51B,,,,,,,,,134.00M,7.176B,1.66B,8.836B,23.00M,,16.00M,9.009B,13.52B,135.00M,,,135.00M,533.00M,668.00M,,,423.00M,423.00M,,1.091B,,,699.00M,699.00M,198.00M,897.00M,1.988B,0.0,-90.00M,12.30B,668.00M,,,,-14.00M,11.53B
2009-03,,2.988B,42.00M,3.03B,185.00M,185.00M,10.00M,220.00M,230.00M,,,571.00M,494.00M,4.51B,,,,,,,,,138.00M,7.213B,1.688B,8.901B,79.00M,,23.00M,9.141B,13.65B,163.00M,,,163.00M,504.00M,667.00M,,,647.00M,647.00M,,1.314B,,,708.00M,708.00M,181.00M,889.00M,2.203B,0.0,-285.00M,12.22B,439.00M,,,,-46.00M,11.45B
2008-12,,2.958B,44.00M,3.002B,1.21B,1.21B,251.00M,11.00M,262.00M,,,536.00M,485.00M,5.495B,0.0,1.00M,50.00M,345.00M,,,396.00M,-247.00M,149.00M,7.227B,1.717B,8.944B,,,113.00M,9.206B,14.70B,555.00M,,,555.00M,492.00M,1.047B,,,923.00M,923.00M,350.00M,2.32B,,,615.00M,615.00M,239.00M,854.00M,3.174B,0.0,-474.00M,12.17B,126.00M,,-41.00M,-2.00M,-43.00M,11.53B
2008-09,,2.842B,94.00M,2.936B,316.00M,316.00M,24.00M,353.00M,377.00M,,,228.00M,344.00M,4.201B,,,,,,,246.05M,-78.05M,168.00M,7.27B,1.915B,9.185B,,80.00M,107.00M,9.54B,13.74B,338.00M,,,338.00M,557.00M,895.00M,,,206.00M,206.00M,,1.101B,,,696.00M,696.00M,169.00M,865.00M,1.966B,0.0,-403.00M,12.16B,,,,,13.00M,11.78B
2008-06,,1.192B,60.36M,1.253B,400.99M,400.99M,21.01M,208.40M,229.41M,,,65.54M,194.14M,2.143B,,,,,,,140.38M,-78.05M,62.33M,320.71M,81.29M,401.99M,,30.00M,111.44M,605.76M,2.749B,175.59M,,,175.59M,445.97M,621.56M,,,,,,621.56M,,,,,,24.01M,645.57M,0.0,831.68M,1.246B,,,,,25.33M,2.103B
2008-03,,1.396B,52.96M,1.449B,203.42M,203.42M,2.325M,144.55M,146.87M,,,41.24M,138.65M,1.979B,0.0,0.722M,31.71M,100.14M,,,132.57M,-78.05M,54.53M,279.16M,78.49M,357.66M,,32.82M,106.27M,551.28M,2.531B,129.90M,,,129.90M,270.17M,400.07M,,,,,156.00M,556.07M,,,,,,26.71M,582.78M,0.0,772.66M,1.149B,,,29.12M,-2.764M,26.35M,1.948B
2007-12,,648.66M,539.91M,1.189B,704.08M,704.08M,10.20M,143.22M,153.42M,,,20.55M,110.74M,2.177B,,,,,,,114.27M,-60.06M,54.20M,279.30M,92.50M,371.79M,,0.119M,9.639M,435.75M,2.613B,243.34M,,,243.34M,482.37M,725.70M,,,,,,725.70M,,,,,,21.01M,746.71M,0.0,728.50M,1.114B,,,24.08M,-0.135M,23.94M,1.866B
2007-09,,392.53M,569.23M,961.76M,109.72M,109.72M,37.45M,151.58M,189.03M,,,60.03M,146.33M,1.467B,,,,,,,113.56M,-60.06M,53.50M,280.25M,111.58M,391.83M,,38.25M,10.74M,494.32M,1.961B,158.06M,,,158.06M,255.27M,413.32M,,,,,,413.32M,,,,,,18.32M,431.65M,0.0,456.30M,1.046B,,,27.68M,-0.325M,27.36M,1.530B
2007-06,,343.98M,619.82M,963.80M,197.96M,197.96M,7.268M,85.26M,92.53M,,,50.20M,138.59M,1.443B,,,,,,,108.77M,-60.06M,48.71M,221.05M,77.82M,298.87M,,41.93M,6.473M,395.99M,1.839B,109.66M,,,109.66M,249.94M,359.60M,,,,,,359.60M,,,,,,17.97M,377.57M,0.0,455.60M,983.37M,,,23.79M,-1.275M,22.52M,1.461B
2007-03,,384.41M,570.44M,954.85M,148.69M,148.69M,2.183M,89.05M,91.23M,,,51.56M,154.90M,1.401B,0.0,0.612M,24.73M,81.26M,,,106.60M,-60.06M,46.54M,195.37M,95.63M,291.01M,,48.79M,6.376M,392.71M,1.794B,136.52M,,,136.52M,204.65M,341.17M,,,,,,341.17M,,,,,,41.25M,382.42M,0.0,427.78M,963.55M,,,21.07M,-0.868M,20.20M,1.412B
2006-12,,367.91M,437.29M,805.20M,456.59M,456.59M,4.028M,81.65M,85.68M,,,4.266M,132.64M,1.484B,,,,,,,94.54M,-47.83M,46.71M,188.40M,80.49M,268.89M,,85.55M,5.941M,407.09M,1.891B,193.88M,,,193.88M,247.58M,441.46M,,,,,,441.46M,,,,,,41.13M,482.58M,0.0,442.20M,948.03M,,,20.00M,-1.337M,18.66M,1.409B
2006-09,,189.72M,557.67M,747.40M,97.09M,97.09M,7.828M,63.24M,71.06M,,,6.484M,157.61M,1.080B,,,,,,,93.02M,-47.83M,45.18M,188.25M,93.19M,281.45M,,121.08M,5.676M,453.39M,1.533B,83.42M,,,83.42M,169.20M,252.61M,,,,,,252.61M,,,,,,41.07M,293.68M,0.0,299.38M,927.39M,,,15.25M,-2.679M,12.58M,1.239B
2006-06,,245.02M,547.55M,792.58M,65.36M,65.36M,3.048M,61.05M,64.10M,,,12.24M,129.70M,1.064B,,,,,,,91.82M,-47.83M,43.99M,180.65M,86.17M,266.82M,,58.50M,4.113M,373.42M,1.437B,73.34M,,,73.34M,88.26M,161.61M,,,,,,161.61M,,,,,,40.96M,202.57M,0.0,370.69M,862.68M,,,,,1.469M,1.235B
2006-03,,354.33M,590.63M,944.96M,28.78M,28.78M,2.607M,58.88M,61.48M,,,9.664M,71.17M,1.116B,0.0,0.557M,23.37M,69.28M,,,93.20M,-47.83M,45.37M,100.45M,102.43M,202.88M,,52.54M,1.409M,302.20M,1.418B,88.99M,,,88.99M,104.86M,193.86M,,,,,,193.86M,,,,,,1.776M,195.63M,0.0,341.99M,867.30M,,,9.013M,4.323M,13.34M,1.223B
