,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.812B,1.812B,1.206B,605.30M,626.30M,,,-5.40M,,-116.10M,,626.30M,-21.00M,,-116.10M,-4.00M,-116.10M,-141.10M,-86.40M,-54.70M,108.00M,,,53.30M,-50.76M,-21.00M,,2018-03,-0.11,0.22,0.11,,2018-03,-0.11,0.22,0.11,,2018-03,0.23,,2018-03,AOR,Restated
2017-12,4.108B,4.108B,2.746B,1.361B,871.40M,,,686.10M,,-115.90M,,871.40M,489.90M,,-115.90M,-27.90M,-115.90M,346.90M,-1.415B,1.762B,-109.40M,,,1.653B,1.351B,489.90M,,2017-12,3.39,0.00,3.39,,2017-12,3.38,0.00,3.38,,2017-12,0.23,,2017-12,AOR,Restated
2017-09,2.467B,2.467B,1.602B,864.90M,687.90M,,,-35.90M,,-116.40M,,687.90M,177.00M,,-116.40M,-80.60M,-116.40M,-20.00M,-131.10M,111.10M,123.30M,,,234.40M,132.64M,177.00M,,2017-09,0.23,0.25,0.48,,2017-09,0.23,0.25,0.48,,2017-09,0.23,,2017-09,AOR,Restated
2017-06,2.527B,2.527B,1.650B,877.20M,695.80M,,,-93.60M,,-114.50M,,695.80M,181.40M,,-114.50M,-121.80M,-114.50M,-54.90M,-71.50M,16.60M,206.40M,,,223.00M,72.76M,181.40M,,2017-06,0.03,0.43,0.46,,2017-06,0.03,0.43,0.46,,2017-06,0.23,,2017-06,AOR,Restated
2017-03,3.266B,3.266B,2.149B,1.117B,931.50M,,,-59.50M,,-122.20M,,931.50M,185.70M,,-122.20M,726.60M,-122.20M,790.10M,151.60M,638.50M,,,,638.50M,686.58M,185.70M,,2017-03,1.32,,1.32,,2017-03,1.31,,1.31,,2017-03,0.19,,2017-03,AOR,Restated
2016-12,53.00M,53.00M,-41.80M,94.80M,363.20M,,,-21.00M,,-123.60M,,363.20M,-268.40M,,-123.60M,-11.20M,-123.60M,-403.20M,-2.30M,-400.90M,566.50M,,,165.60M,-380.02M,-268.40M,,2016-12,0.34,0.00,0.34,,2016-12,0.34,0.00,0.34,,2016-12,0.19,,2016-12,AOR,Restated
2016-09,3.955B,3.955B,2.680B,1.275B,937.90M,,,-13.00M,,-124.50M,,937.90M,336.90M,,-124.50M,-12.30M,-124.50M,200.10M,13.60M,186.50M,0.00,,,186.50M,198.62M,336.90M,,2016-09,0.39,0.00,0.39,,2016-09,0.38,0.00,0.38,,2016-09,0.19,,2016-09,AOR,Restated
2016-06,3.859B,3.859B,2.763B,1.096B,947.00M,,,-12.20M,,-126.70M,,947.00M,148.70M,,-126.70M,148.30M,-126.70M,170.30M,34.50M,135.80M,-0.60M,,,135.20M,145.53M,148.70M,,2016-06,0.30,0.00,0.30,,2016-06,0.30,0.00,0.30,,2016-06,0.19,,2016-06,AOR,Restated
2016-03,1.315B,1.315B,809.30M,505.60M,362.50M,,,-63.60M,,-29.40M,,362.50M,143.10M,,-29.40M,-62.10M,-29.40M,51.60M,11.30M,40.30M,0.20M,,,40.50M,89.97M,143.10M,,2016-03,0.15,0.00,0.15,,2016-03,0.15,0.00,0.15,,2016-03,0.19,,2016-03,AOR,Restated
2015-12,1.561B,1.561B,963.60M,597.20M,427.60M,,,-188.30M,,-25.10M,,427.60M,169.60M,,-25.10M,-237.30M,-25.10M,-92.80M,-13.10M,-79.70M,92.90M,,,13.20M,82.02M,169.60M,,2015-12,-0.30,0.35,0.05,,2015-12,-0.30,0.34,0.05,,2015-12,0.19,,2015-12,AOR,Restated
2015-09,1.53B,1.53B,931.10M,598.90M,391.30M,,,-21.00M,,-17.50M,,391.30M,207.60M,,-17.50M,-30.30M,-17.50M,159.80M,25.80M,134.00M,0.20M,,,134.20M,151.62M,207.60M,,2015-09,0.50,0.00,0.50,,2015-09,0.49,0.00,0.50,,2015-09,0.19,,2015-09,AOR,Restated
2015-06,1.561B,1.561B,939.90M,621.00M,393.00M,,,-13.30M,,-18.10M,,393.00M,228.00M,,-18.10M,-18.30M,-18.10M,191.60M,43.50M,148.10M,0.40M,,,148.50M,158.38M,228.00M,,2015-06,0.55,0.00,0.55,,2015-06,0.55,0.00,0.55,,2015-06,0.19,,2015-06,AOR,Restated
2015-03,1.264B,1.264B,776.50M,487.50M,362.00M,,,-27.30M,,-19.20M,,362.00M,125.50M,,-19.20M,-27.40M,-19.20M,78.90M,22.00M,56.90M,-2.80M,,,54.10M,76.58M,125.50M,,2015-03,0.21,-0.01,0.20,,2015-03,0.21,-0.01,0.20,,2015-03,0.19,,2015-03,AOR,Restated
2014-12,1.526B,1.526B,951.90M,574.10M,385.60M,,,-42.80M,,-16.70M,,385.60M,188.50M,,-16.70M,-112.10M,-16.70M,59.70M,10.40M,49.30M,2.70M,,,52.00M,84.64M,188.50M,,2014-12,0.18,0.01,0.19,,2014-12,0.18,0.01,0.19,,2014-12,0.17,,2014-12,AOR,Restated
2014-09,1.484B,1.484B,907.80M,576.70M,383.80M,,,-19.70M,,-14.30M,,383.80M,192.90M,,-14.30M,-27.40M,-14.30M,151.20M,28.30M,122.90M,-0.60M,,,122.30M,138.92M,192.90M,,2014-09,0.45,0.00,0.45,,2014-09,0.44,0.00,0.44,,2014-09,0.17,,2014-09,AOR,Restated
2014-06,1.502B,1.502B,906.60M,595.60M,370.80M,,,-11.50M,,-15.00M,,370.80M,224.80M,,-15.00M,-8.90M,-15.00M,200.90M,51.90M,149.00M,1.60M,,,150.60M,157.53M,224.80M,,2014-06,0.54,0.01,0.54,,2014-06,0.53,0.01,0.54,,2014-06,0.17,,2014-06,AOR,Restated
2014-03,1.214B,1.214B,757.30M,457.00M,340.30M,,,-12.00M,,-14.40M,,340.30M,116.70M,,-14.40M,-52.00M,-14.40M,50.30M,-1.50M,51.80M,1.10M,,,52.90M,60.45M,116.70M,,2014-03,0.18,0.01,0.19,,2014-03,0.18,0.01,0.19,,2014-03,0.15,,2014-03,AOR,Restated
2013-12,1.465B,1.465B,923.60M,541.70M,371.70M,,,-12.60M,,-15.00M,,371.70M,170.00M,,-15.00M,-13.20M,-15.00M,141.80M,25.50M,116.30M,1.00M,,,117.30M,126.63M,43.20M,,2013-12,0.41,0.00,0.41,,2013-12,0.41,0.00,0.41,,2013-12,0.15,,2013-12,AOR,Restated
2013-09,1.466B,1.466B,913.60M,552.50M,342.70M,,,-31.30M,,-15.70M,,342.70M,209.80M,,-15.70M,-32.00M,-15.70M,162.10M,39.90M,122.20M,71.10M,,,193.30M,145.80M,209.80M,,2013-09,0.42,0.25,0.67,,2013-09,0.42,0.24,0.66,,2013-09,0.15,,2013-09,AOR,Restated
2013-06,1.475B,1.475B,892.00M,582.70M,365.30M,,,-32.00M,,-15.00M,,365.30M,217.40M,,-15.00M,-36.20M,-15.00M,166.20M,49.60M,116.60M,-6.80M,,,109.80M,139.06M,217.40M,,2013-06,0.40,-0.02,0.38,,2013-06,0.40,-0.02,0.37,,2013-06,0.15,,2013-06,AOR,Restated
2013-03,1.241B,1.241B,767.20M,473.60M,341.40M,,,-34.40M,,-14.60M,,341.40M,132.20M,,-14.60M,-47.40M,-14.60M,70.20M,6.40M,63.80M,-9.60M,,,54.20M,95.07M,132.20M,,2013-03,0.22,-0.03,0.19,,2013-03,0.22,-0.03,0.19,,2013-03,0.15,,2013-03,AOR,Restated
2012-12,1.376B,1.376B,881.40M,494.40M,325.80M,,,-22.60M,,-17.40M,,325.80M,168.60M,,-17.40M,-22.30M,-17.40M,128.90M,29.20M,99.70M,2.20M,,,101.90M,117.18M,110.40M,,2012-12,0.35,0.00,0.35,,2012-12,0.35,0.00,0.35,,2012-12,0.15,,2012-12,AOR,Restated
2012-09,1.457B,1.457B,897.90M,559.00M,359.70M,,,-19.10M,,-18.00M,,359.70M,199.30M,,-18.00M,-17.80M,-18.00M,163.50M,57.30M,106.20M,2.10M,,,108.30M,118.62M,199.30M,,2012-09,0.37,0.01,0.37,,2012-09,0.36,0.01,0.37,,2012-09,0.10,,2012-09,AOR,Restated
2012-06,1.425B,1.425B,872.60M,552.70M,365.30M,,,-10.00M,,-20.50M,,365.30M,187.40M,,-20.50M,-10.60M,-20.50M,156.30M,50.00M,106.30M,5.50M,,,111.80M,113.10M,187.40M,,2012-06,0.36,0.02,0.38,,2012-06,0.36,0.02,0.38,,2012-06,0.10,,2012-06,AOR,Restated
2012-03,1.250B,1.250B,762.50M,488.00M,352.70M,,,-12.10M,,-20.20M,,352.70M,135.30M,,-20.20M,-11.80M,-20.20M,103.30M,25.00M,78.30M,1.00M,,,79.30M,87.47M,135.30M,,2012-03,0.27,0.00,0.27,,2012-03,0.27,0.00,0.27,,2012-03,0.08,,2012-03,AOR,Restated
2011-12,1.142B,1.142B,689.80M,452.50M,300.30M,,,40.10M,23.40M,-21.20M,,300.30M,152.20M,23.40M,-21.20M,26.60M,-21.20M,157.60M,23.30M,134.30M,-53.90M,,,80.40M,100.13M,181.00M,,2011-12,0.46,-0.18,0.28,,2011-12,0.45,-0.18,0.27,,2011-12,0.08,,2011-12,AOR,Restated
2011-09,1.550B,1.550B,970.60M,579.30M,383.40M,,,-394.10M,21.80M,-21.80M,,383.40M,195.90M,21.80M,-21.80M,-394.10M,-21.80M,-220.00M,-53.60M,-166.40M,-11.20M,,,-177.60M,131.68M,-198.20M,,2011-09,-0.57,-0.04,-0.61,,2011-09,-0.57,-0.04,-0.61,,2011-09,0.08,,2011-09,AOR,Restated
2011-06,1.545B,1.545B,960.90M,584.40M,387.50M,,,-4.50M,21.30M,-21.30M,,387.50M,196.90M,21.30M,-21.30M,-4.50M,-21.30M,171.10M,25.70M,145.40M,1.30M,,,146.70M,149.22M,192.40M,,2011-06,0.49,0.00,0.50,,2011-06,0.49,0.00,0.49,,2011-06,0.08,,2011-06,AOR,Restated
2011-03,1.274B,1.274B,789.30M,484.90M,351.10M,,,-12.10M,21.90M,-21.90M,,351.10M,133.80M,21.90M,-21.90M,-12.10M,-21.90M,99.80M,25.90M,73.90M,1.80M,,,75.70M,82.86M,121.70M,,2011-03,0.25,0.01,0.26,,2011-03,0.25,0.01,0.25,,2011-03,0.05,,2011-03,AOR,Restated
2010-12,1.442B,1.442B,903.90M,537.60M,395.20M,,,-33.70M,26.40M,-22.90M,,395.20M,142.40M,26.40M,-22.90M,-26.40M,-22.90M,93.10M,19.70M,73.40M,2.30M,,,75.70M,99.97M,119.50M,,2010-12,0.25,0.01,0.26,,2010-12,0.24,0.01,0.26,,2010-12,0.05,,2010-12,AOR,Restated
2010-09,1.466B,1.466B,902.10M,563.40M,372.60M,,,-231.30M,30.30M,-30.30M,,372.60M,190.80M,30.30M,-30.30M,-231.30M,-30.30M,-70.80M,-99.10M,28.30M,0.00,,,28.30M,178.64M,-40.50M,,2010-09,0.10,0.00,0.10,,2010-09,0.09,0.00,0.09,,2010-09,0.05,,2010-09,AOR,Restated
2010-06,1.496B,1.496B,908.90M,587.30M,362.60M,,,-15.30M,33.20M,-33.20M,,362.60M,224.70M,33.20M,-33.20M,-15.30M,-33.20M,176.20M,45.80M,130.40M,,,,130.40M,141.72M,209.40M,,2010-06,0.46,0.00,0.46,,2010-06,0.41,0.00,0.41,,2010-06,0.05,,2010-06,AOR,Restated
2010-03,1.306B,1.306B,834.70M,471.70M,325.60M,,,-15.70M,32.00M,-32.00M,,325.60M,146.10M,32.00M,-32.00M,-15.70M,-32.00M,98.40M,40.00M,58.40M,,,,58.40M,68.60M,130.40M,,2010-03,0.21,0.00,0.21,,2010-03,0.19,0.00,0.19,,2010-03,0.05,,2010-03,AOR,Restated
2009-12,1.420B,1.420B,894.60M,525.80M,383.50M,,,-21.90M,39.70M,-33.40M,,383.50M,142.30M,39.70M,-33.40M,-21.90M,-33.40M,91.70M,31.10M,60.60M,,,,60.60M,75.07M,131.40M,,2009-12,0.22,0.00,0.22,,2009-12,0.19,0.00,0.19,,2009-12,0.05,,2009-12,AOR,Restated
2009-09,1.449B,1.449B,906.40M,542.60M,350.30M,,,-27.60M,35.70M,-35.70M,,350.30M,192.30M,35.70M,-35.70M,-27.60M,-35.70M,129.00M,43.50M,85.50M,,,,85.50M,103.79M,164.70M,,2009-09,0.30,0.00,0.30,,2009-09,0.28,0.00,0.28,,2009-09,0.05,,2009-09,AOR,Restated
2009-06,1.504B,1.504B,946.00M,558.30M,329.30M,,,-30.70M,40.30M,-40.30M,,329.30M,229.00M,40.30M,-40.30M,-30.70M,-40.30M,158.00M,52.30M,105.70M,,,,105.70M,126.24M,198.30M,,2009-06,0.38,0.00,0.38,,2009-06,0.37,0.00,0.37,,2009-06,0.05,,2009-06,AOR,Restated
2009-03,1.204B,1.204B,781.10M,422.80M,311.50M,,,-31.20M,30.60M,-30.60M,,311.50M,111.30M,30.60M,-30.60M,-31.20M,-30.60M,49.50M,15.80M,33.70M,,,,33.70M,54.94M,80.10M,,2009-03,0.12,0.00,0.12,,2009-03,0.12,0.00,0.12,,2009-03,0.105,,2009-03,AOR,Restated
2008-12,1.452B,1.452B,1.017B,434.80M,354.50M,,,-5.90M,,,,354.50M,80.30M,,,-5.90M,,-275.40M,-20.70M,-254.70M,0.00,,,-256.70M,-251.24M,-389.60M,,2008-12,-0.92,0.00,-0.92,,2008-12,-0.92,0.00,-0.92,,2008-12,0.21,,2008-12,,Restated
2008-09,1.760B,1.760B,1.186B,574.70M,394.30M,,,-68.90M,,,,394.30M,180.40M,,,-68.90M,,72.70M,17.70M,55.00M,,,,55.00M,107.13M,180.40M,,2008-09,0.20,0.00,0.20,,2008-09,0.20,0.00,0.20,,2008-09,0.21,,2008-09,,
2008-06,1.825B,1.825B,1.202B,623.20M,392.90M,,,-70.20M,,,,392.90M,230.30M,,,-70.20M,,121.40M,28.90M,92.50M,,,,92.50M,145.99M,230.30M,,2008-06,0.33,0.00,0.33,,2008-06,0.33,0.00,0.33,,2008-06,0.21,,2008-06,,
2008-03,1.434B,1.434B,943.20M,490.50M,361.00M,,,-18.60M,,,,361.00M,129.50M,,,-18.60M,,85.10M,27.70M,57.40M,-0.50M,,,56.90M,69.95M,129.50M,,2008-03,0.21,0.00,0.21,,2008-03,0.21,0.00,0.20,,2008-03,0.21,,2008-03,,
2007-12,1.642B,1.642B,1.067B,575.90M,370.70M,,,-32.20M,,,,370.70M,205.20M,,,-32.10M,,148.80M,47.80M,101.00M,4.40M,,,105.40M,122.86M,205.20M,,2007-12,0.37,0.02,0.38,,2007-12,0.36,0.02,0.38,,2007-12,0.21,,2007-12,,
2007-09,1.687B,1.687B,1.086B,601.00M,364.50M,,,-24.80M,,,,364.50M,236.50M,,,-24.80M,,183.70M,13.80M,169.90M,0.30M,,,170.20M,192.84M,236.50M,,2007-09,0.62,0.00,0.62,,2007-09,0.61,0.00,0.61,,2007-09,0.21,,2007-09,,
2007-06,1.693B,1.693B,1.088B,605.60M,357.30M,,,-17.00M,,,,357.30M,248.30M,,,-17.00M,,203.80M,60.60M,143.20M,-1.00M,,,142.20M,155.15M,248.30M,,2007-06,0.52,0.00,0.52,,2007-06,0.51,0.00,0.51,,2007-06,0.21,,2007-06,,
2007-03,1.384B,1.384B,909.70M,474.70M,338.40M,,,-16.30M,,,,338.40M,136.30M,,,-16.30M,,92.60M,27.50M,65.10M,-15.80M,,,49.30M,76.56M,136.30M,,2007-03,0.24,-0.06,0.18,,2007-03,0.23,-0.06,0.18,,2007-03,0.21,,2007-03,,
2006-12,1.638B,1.638B,1.098B,539.70M,356.70M,,,-15.40M,,,,356.70M,183.00M,,,-14.50M,,135.10M,42.80M,92.30M,9.90M,,,102.20M,102.82M,183.00M,,2006-12,0.33,0.04,0.37,,2006-12,0.33,0.04,0.37,,2006-12,0.21,,2006-12,,
2006-09,1.586B,1.586B,1.051B,535.20M,334.90M,,,-25.50M,,,,334.90M,200.30M,,,-25.50M,,141.90M,29.20M,112.70M,-4.20M,,,108.50M,132.95M,200.30M,,2006-09,0.41,-0.02,0.39,,2006-09,0.41,-0.02,0.39,,2006-09,0.21,,2006-09,,
2006-06,1.634B,1.634B,1.071B,563.00M,342.20M,,,-20.90M,,,,342.20M,220.80M,,,-20.90M,,164.30M,28.80M,135.50M,-16.00M,,,119.50M,152.74M,220.80M,,2006-06,0.49,-0.06,0.44,,2006-06,0.49,-0.06,0.43,,2006-06,0.21,,2006-06,,
2006-03,1.343B,1.343B,910.50M,432.10M,313.20M,,,-11.60M,,,,313.20M,118.90M,,,-11.60M,,73.60M,-56.60M,130.20M,-75.40M,,,54.80M,137.16M,118.90M,,2006-03,0.47,-0.27,0.20,,2006-03,0.47,-0.27,0.20,,2006-03,0.21,,2006-03,,
2005-12,1.583B,1.583B,1.103B,480.20M,307.30M,,,-21.10M,,,-5.80M,301.50M,178.70M,,,-20.20M,,119.00M,33.70M,85.30M,-8.30M,,,77.00M,100.42M,178.70M,,2005-12,0.31,-0.03,0.28,,2005-12,0.31,-0.03,0.28,,2005-12,0.21,,2005-12,,
2005-09,1.437B,1.437B,974.20M,462.40M,273.00M,,,11.70M,,,-25.20M,247.80M,214.60M,,,11.70M,,166.80M,30.20M,136.60M,-65.10M,,,71.50M,127.02M,214.60M,,2005-09,0.50,-0.24,0.26,,2005-09,0.49,-0.24,0.26,,2005-09,0.21,,2005-09,,
2005-06,1.549B,1.549B,1.063B,485.40M,292.90M,,,-33.90M,,,,292.90M,192.50M,,,-33.90M,,127.50M,40.10M,87.40M,-21.20M,,,66.20M,110.64M,192.50M,,2005-06,0.32,-0.08,0.24,,2005-06,0.32,-0.08,0.24,,2005-06,0.21,,2005-06,,
2005-03,1.363B,1.363B,988.40M,374.70M,297.60M,,,-3.60M,,,,297.60M,77.10M,,,-3.60M,,42.70M,-46.70M,89.40M,-52.80M,,,36.60M,91.56M,77.10M,,2005-03,0.33,-0.19,0.13,,2005-03,0.33,-0.19,0.13,,2005-03,0.21,,2005-03,,
2004-12,947.90M,947.90M,635.40M,312.50M,135.00M,,,58.70M,,,-31.10M,103.90M,208.60M,,,59.60M,,205.40M,35.30M,170.10M,-45.90M,,,124.20M,121.49M,208.60M,,2004-12,0.62,-0.17,0.46,,2004-12,0.62,-0.17,0.4574,,2004-12,0.21,,2004-12,,
2004-09,1.621B,1.621B,1.157B,464.70M,297.90M,,,-270.10M,,,270.00M,567.90M,-103.20M,,,-270.10M,,-132.80M,22.90M,-155.70M,-70.70M,,,-226.40M,6.36M,-103.20M,,2004-09,-0.57,-0.26,-0.83,,2004-09,-0.57,-0.26,-0.83,,2004-09,0.21,,2004-09,,
2004-06,1.667B,1.667B,1.190B,477.50M,318.80M,,,-52.50M,,,25.10M,343.90M,133.60M,,,-52.50M,,76.70M,18.20M,58.50M,2.50M,,,61.00M,98.54M,133.60M,,2004-06,0.21,0.01,0.22,,2004-06,0.21,0.01,0.22,,2004-06,0.21,,2004-06,,
2004-03,1.491B,1.491B,1.086B,404.40M,299.80M,,,-23.90M,,,,299.80M,104.60M,,,-23.90M,,49.80M,16.20M,33.60M,-108.50M,,,-74.90M,49.73M,104.60M,,2004-03,0.12,-0.40,-0.27,,2004-03,0.12,-0.40,-0.27,,2004-03,0.21,,2004-03,,
2003-12,1.543B,1.543B,1.108B,435.10M,255.20M,,,-121.30M,,,,289.70M,145.40M,,,-121.30M,,28.80M,19.80M,9.00M,-220.60M,,,-211.60M,81.78M,145.40M,,2003-12,0.15,-0.92,-0.77,,2003-12,0.0344,-0.92,-0.77,,2003-12,0.21,,2003-12,,
2003-09,1.729B,1.729B,1.237B,491.80M,298.80M,,,-33.70M,,,,298.80M,193.00M,,,-33.70M,,126.20M,40.70M,85.50M,-10.30M,,,75.20M,108.33M,193.00M,,2003-09,0.31,-0.04,0.27,,2003-09,0.31,-0.04,0.27,,2003-09,0.21,,2003-09,,
2003-06,1.795B,1.795B,1.270B,525.00M,319.60M,,,-49.80M,,,,319.60M,205.40M,,,-49.80M,,121.30M,39.30M,82.00M,-8.20M,,,73.80M,115.67M,205.40M,,2003-06,0.30,-0.03,0.27,,2003-06,0.30,-0.03,0.27,,2003-06,0.21,,2003-06,,
2003-03,1.736B,1.736B,1.273B,463.40M,322.60M,,,-85.00M,,,,322.60M,140.80M,,,-85.00M,,23.80M,7.80M,16.00M,,,,16.00M,73.14M,140.80M,,2003-03,0.06,0.00,0.06,,2003-03,0.06,0.00,0.06,,2003-03,0.21,,2003-03,,
2002-12,996.60M,996.60M,657.90M,338.70M,196.30M,,,-20.90M,,,,1.537B,-1.199B,,,-20.90M,,73.00M,23.70M,49.30M,,0.00,,95.80M,63.41M,-1.199B,,2002-12,0.32,1.97,0.36,,2002-12,0.31,1.97,0.36,,2002-12,0.21,,2002-12,,
2002-09,1.948B,1.948B,1.398B,550.30M,341.70M,,,-64.90M,,,,341.70M,208.60M,,,-64.90M,,114.00M,37.80M,76.20M,,,,76.20M,119.58M,208.60M,,2002-09,0.29,0.00,0.29,,2002-09,0.29,0.00,0.29,,2002-09,0.21,,2002-09,,
2002-06,1.895B,1.895B,1.374B,520.59M,330.04M,,,-26.96M,,,,330.04M,190.55M,,,-26.96M,,134.28M,45.65M,88.62M,,,,88.62M,106.41M,190.55M,,2002-06,0.33,0.00,0.33,,2002-06,0.33,0.00,0.33,,2002-06,0.21,,2002-06,,
2002-03,1.597B,1.597B,1.178B,419.11M,299.16M,,,-17.68M,,,,299.16M,119.96M,,,-17.68M,,77.22M,26.25M,50.96M,,-514.95M,,-463.98M,62.63M,119.96M,,2002-03,0.19,-1.93,-1.74,,2002-03,0.19,-1.93,-1.74,,2002-03,0.21,,2002-03,,
2001-12,1.806B,1.806B,1.278B,527.85M,328.73M,,14.48M,-44.01M,,,,343.21M,184.63M,,,-44.01M,,110.36M,39.62M,70.74M,,,,70.74M,98.95M,184.63M,,2001-12,0.26,0.00,0.26,,2001-12,0.26,0.00,0.26,,2001-12,0.21,,2001-12,,
2001-09,1.768B,1.768B,1.278B,489.58M,296.44M,,14.22M,-16.42M,,,,310.66M,178.91M,,,-16.42M,,130.22M,46.75M,83.47M,,,,83.47M,93.99M,178.91M,,2001-09,0.31,0.00,0.31,,2001-09,0.31,0.00,0.31,,2001-09,0.21,,2001-09,,
2001-06,1.725B,1.725B,1.271B,453.54M,278.46M,,14.18M,-11.00M,,,,292.64M,160.89M,,,-11.00M,,114.30M,42.29M,72.01M,,,,72.01M,78.94M,160.89M,,2001-06,0.27,0.00,0.27,,2001-06,0.27,0.00,0.27,,2001-06,0.21,,2001-06,,
