,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-06,54.01M,,0.515M,-10.00M,-9.489M,76.22M,11.32M,87.55M,87.55M,-5.815M,,,,7.921M,2.268M,1.506M,,2.028M,35.55M,,,-1.296M,37.78M,0.00,174.23M,,-79.54M,0.395M,0.395M,-14.96M,-15.28M,,20.00M,-74.43M,,-8.594M,,-8.594M,,,,-100.69M,-100.69M,5.09M,-0.138M,-104.33M,,119.60M,-4.538M,2.031M,117.10M,,,2.625B,-2.633B,,12.59M,39.18M,,AOR,Restated
2015-03,41.74M,,0.333M,7.241M,7.574M,74.79M,11.16M,85.95M,85.95M,-3.273M,,,,6.856M,2.092M,3.437M,,1.964M,-139.46M,,,-1.371M,-135.43M,,5.512M,,-84.02M,0.41M,0.41M,-9.243M,-6.431M,,13.86M,-76.18M,,167.75M,,167.75M,,,,-102.54M,-102.54M,4.364M,-0.716M,68.86M,,125.93M,-1.805M,-4.523M,119.60M,,,2.450B,-2.283B,,10.56M,90.34M,,AOR,Restated
2014-12,12.67M,,-1.229M,1.004M,16.27M,76.68M,11.89M,88.58M,88.58M,-12.38M,,,,6.495M,14.19M,9.474M,,23.63M,19.85M,,,-7.686M,45.27M,,171.10M,,-93.14M,26.18M,26.18M,-8.60M,-81.73M,,,-148.69M,,288.64M,,288.64M,,,,-385.28M,-385.28M,6.934M,14.72M,-74.98M,,183.99M,-52.57M,-5.489M,125.93M,,,1.223B,-934.80M,,43.20M,46.83M,,AOR,Restated
2014-09,0.858M,,0.196M,45.87M,46.06M,76.76M,12.44M,89.19M,89.19M,-16.30M,,,,8.671M,1.834M,3.225M,,14.41M,-43.34M,,,1.634M,-24.07M,,106.25M,,-97.28M,0.699M,0.699M,-8.637M,0.00,,,-96.58M,,81.88M,,81.88M,,,,-52.16M,-52.16M,19.54M,-14.25M,35.01M,,145.34M,44.68M,-6.033M,183.99M,,,3.000B,-2.918B,,46.36M,83.84M,,AOR,Restated
2014-06,272.70M,,-0.107M,-9.27M,-9.377M,76.40M,12.54M,88.94M,88.94M,-219.80M,,,,7.317M,1.795M,-3.377M,,-20.54M,23.22M,,,-0.92M,-1.622M,,139.96M,,-89.94M,-0.284M,-0.284M,-9.052M,-15.58M,,,-105.81M,,-24.63M,,-24.63M,,,,-52.13M,-52.13M,15.40M,0.346M,-61.01M,,169.91M,-26.86M,2.299M,145.34M,,,2.829B,-2.853B,,67.94M,40.70M,,AOR,Restated
2014-03,42.72M,,-8.307M,0.693M,-7.614M,74.71M,11.72M,86.43M,86.43M,-22.32M,,,,7.141M,1.906M,-9.209M,,31.44M,-84.28M,,,9.423M,-52.63M,,55.64M,,-116.01M,17.89M,17.89M,-8.158M,-30.78M,,,-128.90M,,174.08M,,174.08M,,,,-52.74M,-52.74M,2.417M,-2.924M,120.84M,,120.53M,47.58M,1.803M,169.91M,,,2.876B,-2.702B,,9.958M,86.23M,,AOR,Restated
2013-12,48.34M,,0.958M,19.88M,20.84M,72.18M,11.07M,83.25M,83.25M,-160.76M,,,,7.338M,1.975M,4.686M,,108.90M,54.79M,,,3.60M,171.98M,0.00,172.96M,,-96.04M,-0.318M,-0.318M,-13.62M,-194.42M,,-0.247M,-291.02M,,137.23M,,137.23M,,,,-51.77M,-51.77M,2.938M,-20.03M,68.37M,,172.03M,-49.69M,-1.813M,120.53M,,,2.216B,-2.079B,,37.47M,46.57M,,AOR,Restated
2013-09,5.33M,,-0.173M,3.898M,47.04M,70.76M,8.895M,79.66M,79.66M,40.73M,,,,9.423M,1.509M,-16.62M,,-45.87M,-4.242M,,,3.714M,-63.02M,0.00,120.68M,,-54.94M,-0.497M,-0.497M,-8.312M,-69.89M,,0.00,-130.25M,,-17.76M,,-17.76M,,,,-51.72M,-51.72M,-0.171M,-7.079M,-76.72M,,258.87M,-86.29M,-0.544M,172.03M,,,3.128B,-3.146B,,29.27M,73.25M,,AOR,Restated
2013-06,27.14M,,-1.663M,28.68M,27.02M,69.82M,9.109M,78.93M,78.93M,23.60M,,,,7.883M,1.864M,-13.64M,,-46.45M,-1.231M,,,2.095M,-59.22M,0.083M,107.30M,,-65.93M,2.899M,3.416M,-3.625M,-52.87M,,0.00,-115.90M,,81.63M,,81.63M,,,,-51.65M,-51.65M,9.892M,1.127M,41.01M,,230.00M,32.40M,-3.53M,258.87M,,,713.43M,-631.80M,,49.87M,57.95M,,AOR,Restated
2013-03,18.35M,,-0.539M,11.18M,10.65M,70.10M,10.11M,80.20M,80.20M,-3.003M,,,,5.71M,1.91M,-7.61M,,31.71M,-30.27M,,,-1.912M,-8.079M,0.87M,106.60M,,-100.57M,,-0.517M,-4.636M,0.074M,,-0.001M,-100.51M,,31.14M,,31.14M,,,,-51.66M,-51.66M,5.005M,1.43M,-14.09M,,243.42M,-7.991M,-5.425M,230.00M,,,386.51M,-355.37M,,9.013M,65.62M,,AOR,Restated
2012-12,26.47M,,5.915M,2.601M,8.516M,70.35M,9.532M,79.88M,79.88M,-33.95M,,,,9.561M,1.827M,4.415M,,-39.93M,77.53M,,,-2.33M,39.69M,0.00,132.00M,,-90.72M,-0.274M,-0.274M,-15.50M,-18.91M,,3.00M,-106.90M,,52.43M,,52.43M,,0.00,0.00,-186.54M,-186.54M,17.92M,0.718M,-115.47M,,334.58M,-90.37M,-0.794M,243.42M,,,93.65M,-41.22M,0.00,76.70M,56.46M,,AOR,Restated
2012-09,53.72M,,-1.627M,1.914M,10.92M,70.49M,10.45M,80.94M,80.94M,-4.555M,,,,4.682M,1.677M,2.082M,,-42.42M,-12.99M,,,0.743M,-52.58M,-6.251M,88.55M,,-63.33M,-0.131M,-0.131M,-5.233M,-1.261M,,0.00,-64.73M,,173.65M,,173.65M,,0.00,0.00,-46.34M,-46.34M,11.30M,-2.00M,136.62M,,170.23M,160.44M,3.915M,334.58M,,,1.734B,-1.561B,0.00,68.08M,61.00M,,AOR,Restated
2012-06,41.44M,,-0.607M,8.269M,7.662M,69.61M,7.904M,77.51M,77.51M,-28.88M,,,,6.317M,1.702M,-15.63M,,37.57M,10.12M,,,-0.01M,32.05M,-0.49M,137.31M,,-56.58M,0.009M,0.009M,-5.136M,-98.47M,,-1.50M,-161.54M,,54.00M,,54.00M,,0.00,0.00,-42.79M,-42.79M,9.708M,0.258M,21.18M,,178.29M,-3.054M,-5.009M,170.23M,,,1.187B,-1.133B,0.00,45.77M,58.39M,,AOR,Restated
2012-03,61.07M,,0.719M,-1.02M,-0.301M,70.15M,7.859M,78.01M,78.01M,-9.814M,,,,9.80M,1.742M,-8.831M,,-13.63M,-39.06M,,,0.074M,-61.45M,-4.175M,74.88M,,-58.92M,1.853M,1.853M,-3.008M,-8.818M,,-0.002M,-67.03M,,65.57M,,65.57M,,-38.05M,-38.05M,-43.18M,-43.18M,1.321M,0.288M,-14.10M,,179.84M,-6.244M,4.692M,178.29M,,,701.10M,-635.54M,-38.05M,38.06M,56.08M,,AOR,Restated
2011-12,47.38M,,0.059M,13.00M,13.06M,75.66M,,104.53M,104.53M,-10.71M,-25.48M,4.00M,,4.808M,-74.11M,-2.463M,,9.083M,63.26M,,,-1.422M,68.46M,-7.884M,204.48M,,-65.89M,0.087M,0.087M,-4.834M,-0.409M,0.335M,-0.001M,-56.26M,,36.71M,,36.71M,,-436.50M,-436.50M,,-46.88M,3.855M,0.358M,-443.17M,,480.88M,-294.95M,-6.08M,179.84M,,,113.14M,-76.43M,-436.50M,23.32M,40.61M,,AOR,Restated
2011-09,50.39M,,-1.661M,17.46M,15.79M,69.82M,,69.82M,69.82M,11.72M,8.752M,42.50M,,4.403M,55.66M,17.67M,,6.691M,-16.16M,,,-1.644M,6.56M,-42.04M,167.90M,,-54.71M,4.144M,4.115M,-5.792M,0.00,0.123M,-0.001M,-55.72M,,428.73M,,428.73M,-0.48M,-287.48M,-287.96M,,-50.70M,12.39M,0.409M,102.86M,,271.42M,215.04M,-5.588M,480.88M,,-0.48M,775.77M,-347.04M,-287.48M,56.08M,54.88M,,AOR,Restated
2011-06,67.46M,,-0.22M,2.273M,3.896M,71.82M,,71.82M,71.82M,10.28M,8.479M,,,3.60M,12.08M,-13.15M,,-23.63M,5.765M,,,-3.72M,-34.74M,-7.075M,123.72M,,-55.16M,,-0.137M,-8.184M,-40.47M,-0.408M,-0.001M,289.48M,,-96.51M,,-96.51M,0.349M,-250.00M,-249.65M,,-37.53M,60.34M,-9.177M,-332.98M,,189.82M,80.21M,1.393M,271.42M,,0.349M,1.069B,-1.165B,-250.00M,48.03M,42.53M,,AOR,Restated
2011-03,81.18M,,-0.464M,-8.434M,-9.748M,73.34M,,73.34M,73.34M,-7.903M,8.251M,,,4.439M,12.69M,-22.86M,,13.16M,-30.16M,,,0.729M,-39.14M,8.919M,119.34M,,-55.10M,,0.166M,-2.893M,-34.70M,-0.05M,-0.002M,-98.99M,,-52.38M,,-52.38M,0.131M,-10.97M,-10.84M,,-37.51M,9.164M,1.017M,-90.51M,,258.69M,-70.16M,1.289M,189.82M,,0.131M,607.42M,-659.80M,-10.97M,20.58M,65.01M,,AOR,Restated
2010-12,57.10M,,-0.452M,-2.131M,-2.583M,69.32M,,94.77M,94.77M,-5.04M,-22.90M,9.409M,,4.144M,-107.17M,11.33M,,-0.205M,21.22M,,,-0.076M,32.26M,7.586M,180.10M,,-72.07M,,4.547M,-3.16M,-0.619M,,0.00,-80.11M,,-0.946M,,-0.946M,-0.052M,-17.87M,-17.92M,,-12.53M,5.785M,0.508M,-26.19M,,184.17M,73.80M,0.72M,258.69M,,-0.052M,10.96M,-11.91M,-17.87M,34.72M,40.11M,,AOR,Restated
2010-09,27.49M,,-9.379M,-2.528M,-10.12M,70.93M,,70.93M,70.93M,40.02M,7.644M,76.50M,,4.013M,88.16M,-4.209M,,-16.76M,-33.97M,,,-1.176M,-56.11M,16.56M,176.94M,,-63.45M,,7.028M,-4.573M,-1.458M,,0.00,-61.99M,,-223.46M,,-223.46M,0.052M,-43.13M,-43.08M,,-12.64M,3.266M,0.694M,-275.86M,,340.48M,-160.91M,4.601M,184.17M,,0.052M,3.347M,-226.81M,-43.13M,37.68M,73.16M,,AOR,Restated
2010-06,56.31M,,-0.103M,5.235M,5.132M,62.08M,,62.08M,62.08M,10.63M,4.576M,,,4.39M,8.966M,-3.30M,,14.58M,-20.05M,,,4.816M,-3.952M,-2.239M,136.93M,,-52.16M,,6.686M,-3.04M,106.58M,,0.00,-57.02M,,-14.61M,,-14.61M,,-40.93M,-40.93M,,-12.72M,5.324M,0.705M,-62.03M,,325.42M,17.88M,-2.818M,340.48M,,,32.14M,-46.75M,-40.93M,57.46M,39.49M,,AOR,Restated
2010-03,25.84M,,-1.053M,17.47M,16.41M,76.43M,,76.43M,76.43M,-7.946M,10.68M,,,4.727M,15.40M,7.976M,,-6.434M,-5.818M,,,9.304M,5.028M,,131.17M,,-84.38M,,4.275M,-2.429M,-118.34M,,-35.10M,-233.54M,,-11.88M,,-11.88M,,-9.636M,-9.636M,,0.00,3.85M,0.514M,-17.16M,,446.66M,-119.53M,-1.702M,325.42M,,,7.118M,-19.00M,-9.636M,9.21M,73.71M,,AOR,Restated
2009-12,64.67M,,0.463M,-0.49M,-0.027M,73.56M,-30.18M,43.38M,43.38M,-12.83M,,,,4.716M,0.00,13.09M,,-18.48M,41.09M,,,6.792M,42.49M,,183.02M,,-100.36M,-1.478M,3.123M,-3.607M,-0.07M,,,-100.42M,,-91.87M,-1.555M,-93.43M,1.064M,0.00,1.064M,,,4.135M,0.763M,-87.46M,,449.26M,-4.86M,2.253M,446.66M,,1.064M,18.31M,-111.73M,0.00,34.20M,41.00M,,AOR,Restated
2009-09,43.18M,,0.705M,-1.385M,-0.68M,72.40M,10.31M,82.71M,82.71M,27.13M,,,,4.851M,-6.105M,9.527M,,-0.604M,13.41M,,,3.045M,25.38M,,185.60M,,-84.85M,-0.36M,-0.36M,-2.713M,-0.515M,,,-85.72M,,17.24M,,17.24M,,,,,,9.115M,1.853M,28.20M,,316.06M,128.08M,5.129M,449.26M,,,542.74M,-525.50M,,17.29M,64.92M,,AOR,Restated
2009-06,87.51M,,0.742M,-34.48M,-33.73M,70.05M,9.903M,79.96M,79.96M,-0.633M,,,,4.877M,4.877M,-16.95M,,5.80M,-7.81M,,,1.779M,-17.18M,,120.80M,,-64.05M,0.293M,0.293M,-2.092M,-0.016M,,,-63.77M,,-24.65M,,-24.65M,-0.345M,,-0.345M,,,8.303M,2.371M,-14.32M,,271.83M,42.71M,1.517M,316.06M,,-0.345M,13.36M,-38.02M,,21.98M,59.15M,,AOR,Restated
2009-03,26.94M,,-1.504M,23.66M,22.16M,67.55M,9.968M,77.52M,77.52M,16.06M,,,,4.259M,4.259M,-27.09M,,-8.361M,10.44M,,,5.563M,-19.45M,,127.49M,,-74.27M,1.545M,1.545M,-2.347M,-1.432M,,,-74.16M,,-59.68M,0.00,-59.68M,0.345M,0.00,0.345M,,,2.68M,0.545M,-56.11M,,278.37M,-2.773M,-3.766M,271.83M,,0.345M,2.209M,-61.89M,0.00,13.60M,51.61M,,AOR,Restated
2008-12,0.879M,,2.849M,36.25M,39.17M,64.25M,,64.25M,64.25M,72.49M,10.42M,,,4.473M,14.90M,24.35M,,-8.327M,-28.94M,,,7.854M,-5.064M,,186.62M,,-116.81M,,0.048M,-3.867M,-0.478M,0.00,,-117.28M,,-103.14M,-0.028M,-103.17M,0.621M,,0.621M,,,4.144M,0.636M,-97.77M,,318.24M,-28.43M,-11.44M,278.37M,,0.621M,79.25M,-182.42M,,8.254M,66.56M,,,Restated
2008-09,11.25M,,1.928M,16.52M,18.45M,65.32M,-19.83M,45.49M,45.49M,25.44M,30.68M,,,4.68M,35.36M,-10.11M,,-5.568M,38.56M,,,1.896M,24.78M,,160.78M,,-103.68M,-0.026M,-0.424M,-3.676M,-9.836M,0.00,,-113.54M,,64.99M,-0.194M,64.80M,-0.045M,,-0.045M,,,2.061M,0.33M,67.14M,,203.20M,114.38M,0.665M,318.24M,,-0.045M,158.06M,-93.26M,,9.979M,57.95M,,,Restated
2008-06,35.74M,,-0.839M,-2.459M,-2.953M,63.65M,10.45M,74.10M,74.10M,3.907M,,,3.462M,4.828M,8.29M,-15.92M,,6.675M,4.147M,,,3.131M,-1.968M,,117.11M,,-84.20M,-0.005M,-0.005M,-3.858M,-42.54M,-1.709M,,-128.45M,,96.12M,-0.643M,95.47M,0.384M,0.071M,0.455M,,,8.074M,3.176M,107.18M,,107.42M,95.84M,-0.062M,203.20M,,0.384M,555.32M,-459.85M,0.071M,17.83M,54.95M,,,Restated
