,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-06,182.00M,182.00M,460.00M,,460.00M,81.00M,4.00M,251.00M,,309.00M,,,81.00M,1.032B,0.0,118.00M,521.00M,1.448B,273.00M,68.00M,2.428B,-1.452B,976.00M,1.025B,348.00M,1.373B,200.00M,2.549B,3.581B,329.00M,,,329.00M,507.00M,836.00M,74.00M,,,500.00M,574.00M,,574.00M,17.00M,1.427B,1.462B,,1.462B,5.00M,5.00M,,,516.00M,1.983B,3.41B,159.00M,185.00M,481.00M,445.00M,-168.00M,-41.00M,-209.00M,171.00M
2007-03,171.00M,171.00M,426.00M,,426.00M,83.00M,4.00M,287.00M,,346.00M,,,75.00M,1.018B,,,,,,,2.351B,-1.386B,965.00M,837.00M,621.00M,1.458B,250.00M,2.673B,3.691B,292.00M,,,292.00M,460.00M,752.00M,206.00M,,,501.00M,707.00M,,707.00M,24.00M,1.483B,1.463B,,1.463B,97.00M,97.00M,,,556.00M,2.116B,3.599B,159.00M,85.00M,452.00M,404.00M,,,-200.00M,92.00M
2006-12,179.00M,179.00M,393.00M,,393.00M,83.00M,3.00M,279.00M,,340.00M,,,67.00M,979.00M,,,,,,,2.371B,-1.386B,985.00M,801.00M,608.00M,1.409B,251.00M,2.645B,3.624B,283.00M,,,283.00M,435.00M,718.00M,126.00M,,,651.00M,777.00M,,777.00M,24.00M,1.519B,1.464B,,1.464B,112.00M,112.00M,,,562.00M,2.138B,3.657B,159.00M,7.00M,437.00M,428.00M,,,-208.00M,-33.00M
2006-09,174.00M,174.00M,374.00M,,374.00M,81.00M,5.00M,263.00M,,325.00M,,,67.00M,940.00M,,,,,,,2.376B,-1.386B,990.00M,748.00M,604.00M,1.352B,257.00M,2.599B,3.539B,299.00M,,,299.00M,415.00M,714.00M,68.00M,,,152.00M,220.00M,,220.00M,26.00M,960.00M,1.965B,,1.965B,120.00M,120.00M,,,549.00M,2.634B,3.594B,250.00M,4.005B,414.00M,4.514B,,,-210.00M,-55.00M
2006-06,192.00M,192.00M,435.00M,,435.00M,81.00M,5.00M,224.00M,,292.00M,,,88.00M,1.007B,0.0,104.00M,511.00M,1.429B,262.00M,84.00M,2.39B,-1.386B,1.004B,744.00M,604.00M,1.348B,257.00M,2.609B,3.616B,329.00M,,,329.00M,474.00M,803.00M,156.00M,,,152.00M,308.00M,,308.00M,19.00M,1.13B,1.966B,,1.966B,129.00M,129.00M,,,547.00M,2.642B,3.772B,250.00M,3.939B,397.00M,4.527B,,,-215.00M,-156.00M
2006-03,289.00M,289.00M,386.00M,,386.00M,82.00M,6.00M,309.00M,,377.00M,,,67.00M,1.119B,,,,,,,2.245B,-1.253B,992.00M,743.00M,608.00M,1.351B,160.00M,2.503B,3.622B,285.00M,,,285.00M,437.00M,722.00M,466.00M,,,153.00M,619.00M,,619.00M,36.00M,1.377B,1.967B,,1.967B,67.00M,67.00M,,,638.00M,2.672B,4.049B,250.00M,3.843B,359.00M,4.542B,,,-337.00M,-427.00M
2005-12,273.00M,273.00M,377.00M,,377.00M,85.00M,5.00M,290.00M,,359.00M,,,58.00M,1.067B,,,,,,,2.246B,-1.253B,993.00M,,1.342B,1.342B,165.00M,2.50B,3.567B,274.00M,,,274.00M,450.00M,724.00M,521.00M,,,3.00M,524.00M,,524.00M,24.00M,1.272B,2.119B,,2.119B,73.00M,73.00M,,,631.00M,2.823B,4.095B,250.00M,3.781B,342.00M,4.57B,,,-331.00M,-528.00M
2005-09,273.00M,273.00M,362.00M,,362.00M,86.00M,5.00M,271.00M,,344.00M,,,64.00M,1.043B,,,,,,,2.246B,-1.253B,993.00M,,1.345B,1.345B,189.00M,2.527B,3.57B,309.00M,,,309.00M,404.00M,713.00M,556.00M,,,3.00M,559.00M,,559.00M,,1.272B,2.12B,,2.12B,86.00M,86.00M,,,624.00M,2.83B,4.102B,250.00M,3.742B,330.00M,4.534B,,,-320.00M,-532.00M
2005-06,293.00M,293.00M,411.00M,,411.00M,76.00M,6.00M,256.00M,,323.00M,,,63.00M,1.09B,0.0,96.00M,487.00M,1.365B,235.00M,69.00M,2.252B,-1.253B,999.00M,743.00M,599.00M,1.342B,186.00M,2.527B,3.617B,347.00M,,,347.00M,614.00M,961.00M,359.00M,,,2.00M,361.00M,,361.00M,26.00M,1.348B,2.122B,,2.122B,82.00M,82.00M,,,618.00M,2.822B,4.17B,250.00M,3.684B,328.00M,4.463B,,,-352.00M,-553.00M
2005-03,293.00M,293.00M,401.00M,,401.00M,84.00M,5.00M,301.00M,,374.00M,,,60.00M,1.128B,,,,,,,2.137B,-1.158B,979.00M,,1.345B,1.345B,304.00M,2.628B,3.756B,312.00M,,,312.00M,531.00M,843.00M,407.00M,,,3.00M,410.00M,,410.00M,33.00M,1.286B,2.123B,,2.123B,162.00M,162.00M,,,531.00M,2.816B,4.102B,250.00M,3.614B,325.00M,4.313B,,,-222.00M,-346.00M
2004-12,300.00M,300.00M,354.00M,8.00M,362.00M,77.00M,4.00M,277.00M,,342.00M,,,43.00M,1.047B,,,,,,,2.149B,-1.158B,991.00M,,1.354B,1.354B,318.00M,2.663B,3.71B,293.00M,,,293.00M,629.00M,922.00M,545.00M,,,2.00M,547.00M,,547.00M,,1.469B,2.124B,,2.124B,184.00M,184.00M,,,390.00M,2.698B,4.167B,250.00M,3.542B,314.00M,4.339B,,,-224.00M,-457.00M
2004-09,255.00M,255.00M,385.00M,,385.00M,73.00M,4.00M,244.00M,,305.00M,,,185.00M,1.13B,,,,,,,2.153B,-1.158B,995.00M,,1.338B,1.338B,309.00M,2.642B,3.772B,287.00M,,,287.00M,617.00M,904.00M,170.00M,,,3.00M,173.00M,,173.00M,18.00M,1.095B,474.00M,,474.00M,174.00M,174.00M,,,385.00M,1.033B,2.128B,250.00M,2.906B,304.00M,1.552B,,,-264.00M,1.644B
2004-06,232.00M,232.00M,460.00M,,460.00M,68.00M,3.00M,243.00M,,301.00M,,,50.00M,1.043B,0.0,93.00M,480.00M,1.368B,219.00M,50.00M,2.21B,-1.158B,1.052B,,1.375B,1.375B,364.00M,2.791B,3.834B,310.00M,,,310.00M,643.00M,953.00M,289.00M,,,2.00M,291.00M,,291.00M,24.00M,1.268B,475.00M,,475.00M,174.00M,174.00M,,,377.00M,1.026B,2.294B,250.00M,2.846B,301.00M,1.57B,,,-287.00M,1.54B
2004-03,199.00M,199.00M,444.00M,,444.00M,80.00M,21.00M,255.00M,,342.00M,,,48.00M,1.033B,,,,,,,2.095B,-1.034B,1.061B,,1.392B,1.392B,224.00M,2.677B,3.71B,304.00M,,,304.00M,580.00M,884.00M,490.00M,,,6.00M,496.00M,,496.00M,41.00M,1.421B,473.00M,,473.00M,111.00M,111.00M,,,372.00M,956.00M,2.377B,250.00M,2.727B,291.00M,1.603B,,,-332.00M,1.333B
2003-12,201.00M,201.00M,345.00M,,345.00M,74.00M,22.00M,222.00M,,305.00M,,,52.00M,903.00M,,,,,,,2.103B,-1.034B,1.069B,,1.395B,1.395B,230.00M,2.694B,3.597B,235.00M,,,235.00M,522.00M,757.00M,662.00M,,,5.00M,667.00M,,667.00M,22.00M,1.446B,475.00M,,475.00M,118.00M,118.00M,,,373.00M,966.00M,2.412B,250.00M,2.682B,271.00M,1.685B,,,-333.00M,1.185B
2003-09,187.00M,187.00M,379.00M,,379.00M,83.00M,14.00M,189.00M,,273.00M,,,52.00M,891.00M,,,,,,,2.10B,-1.034B,1.066B,,1.372B,1.372B,229.00M,2.667B,3.558B,282.00M,,,282.00M,490.00M,772.00M,653.00M,,,16.00M,669.00M,,669.00M,2.00M,1.443B,479.00M,,479.00M,118.00M,118.00M,,,361.00M,958.00M,2.401B,250.00M,2.633B,263.00M,1.634B,,,-355.00M,1.157B
2003-06,172.00M,172.00M,463.00M,,463.00M,87.00M,9.00M,179.00M,,264.00M,,,52.00M,951.00M,0.0,95.00M,461.00M,1.211B,210.00M,129.00M,2.106B,-1.034B,1.072B,,1.381B,1.381B,248.00M,2.701B,3.652B,312.00M,,,312.00M,537.00M,849.00M,361.00M,,,213.00M,574.00M,,574.00M,28.00M,1.451B,495.00M,,495.00M,115.00M,115.00M,,,376.00M,986.00M,2.437B,250.00M,2.565B,255.00M,1.507B,,,-348.00M,1.215B
2003-03,179.00M,179.00M,458.00M,,458.00M,86.00M,15.00M,213.00M,,303.00M,,,112.00M,1.052B,,,,,,,1.988B,-948.00M,1.04B,721.00M,658.00M,1.379B,360.00M,2.779B,3.831B,308.00M,,,308.00M,509.00M,817.00M,416.00M,,,211.00M,627.00M,,627.00M,117.00M,1.561B,488.00M,,488.00M,122.00M,122.00M,,,335.00M,945.00M,2.506B,250.00M,2.466B,249.00M,1.379B,,,-261.00M,1.325B
2002-12,149.00M,149.00M,327.00M,,327.00M,90.00M,,190.00M,,274.00M,,,112.00M,862.00M,,,,,,,1.955B,-948.00M,1.007B,717.00M,566.00M,1.283B,325.00M,2.615B,3.477B,260.00M,,,260.00M,460.00M,720.00M,361.00M,,,208.00M,569.00M,,569.00M,84.00M,1.373B,490.00M,,490.00M,123.00M,123.00M,,,235.00M,848.00M,2.221B,250.00M,2.404B,240.00M,1.349B,,,-289.00M,1.256B
2002-09,143.00M,143.00M,370.00M,,370.00M,77.00M,,178.00M,,249.00M,,,108.00M,870.00M,,,,,,,1.937B,-948.00M,989.00M,,1.286B,1.286B,329.00M,2.604B,3.474B,279.00M,,,279.00M,450.00M,729.00M,316.00M,,,195.00M,511.00M,,511.00M,58.00M,1.298B,501.00M,,501.00M,141.00M,141.00M,,,232.00M,874.00M,2.172B,250.00M,2.365B,228.00M,1.207B,,,-334.00M,1.302B
2002-06,177.00M,177.00M,481.00M,,481.00M,86.00M,14.00M,175.00M,,252.00M,,,134.00M,1.044B,,,,,,,1.94B,-948.00M,992.00M,,1.301B,1.301B,306.00M,2.599B,3.643B,330.00M,,,330.00M,510.00M,840.00M,330.00M,,,2.00M,332.00M,,332.00M,54.00M,1.226B,678.00M,,678.00M,142.00M,142.00M,,,231.00M,1.051B,2.277B,250.00M,2.27B,222.00M,1.07B,,,-306.00M,1.366B
2002-03,190.00M,190.00M,497.00M,,497.00M,95.00M,,248.00M,-1.00M,320.00M,,,48.00M,1.055B,,,,,,,1.86B,-925.00M,935.00M,,1.335B,1.335B,382.00M,2.652B,3.707B,303.00M,,,303.00M,455.00M,758.00M,247.00M,,,3.00M,250.00M,,250.00M,69.00M,1.077B,675.00M,,675.00M,116.00M,116.00M,,,240.00M,1.031B,2.108B,250.00M,2.174B,212.00M,734.00M,,,-303.00M,1.599B
2001-12,182.00M,182.00M,401.00M,,401.00M,99.00M,,282.00M,,357.00M,,,56.00M,996.00M,,,,,,,1.917B,-925.00M,992.00M,,1.463B,1.463B,302.00M,2.757B,3.753B,312.00M,,,312.00M,439.00M,751.00M,201.00M,,,2.00M,203.00M,,203.00M,49.00M,1.003B,678.00M,,678.00M,128.00M,128.00M,,,232.00M,1.038B,2.041B,250.00M,2.176B,203.00M,614.00M,,,-303.00M,1.712B
2001-09,189.00M,189.00M,450.00M,,450.00M,115.00M,,231.00M,,300.00M,,,51.00M,990.00M,,,,,,,1.938B,-925.00M,1.013B,,1.534B,1.534B,295.00M,2.842B,3.832B,300.00M,,,300.00M,420.00M,720.00M,285.00M,,,3.00M,288.00M,,288.00M,41.00M,1.049B,686.00M,,686.00M,125.00M,125.00M,,,212.00M,1.023B,2.072B,250.00M,2.173B,197.00M,615.00M,,,-245.00M,1.76B
2001-06,251.00M,251.00M,514.00M,,514.00M,122.00M,,219.00M,,281.00M,,,57.00M,1.103B,0.0,93.00M,448.00M,1.333B,,97.00M,1.971B,-925.00M,1.046B,,1.574B,1.574B,272.00M,2.892B,3.995B,314.00M,,,314.00M,436.00M,750.00M,117.00M,,,202.00M,319.00M,,319.00M,,1.069B,685.00M,,685.00M,147.00M,147.00M,,,194.00M,1.026B,2.095B,250.00M,2.142B,195.00M,441.00M,,,-246.00M,1.90B
2001-03,152.00M,152.00M,577.00M,,577.00M,132.00M,,284.00M,,359.00M,,,49.00M,1.137B,,,,,,,1.913B,-897.00M,1.016B,,1.585B,1.585B,279.00M,2.88B,4.017B,209.00M,,,209.00M,414.00M,623.00M,236.00M,,,204.00M,440.00M,,440.00M,40.00M,1.103B,684.00M,,684.00M,155.00M,155.00M,,,436.00M,1.275B,2.378B,250.00M,2.171B,133.00M,683.00M,,,-232.00M,1.639B
2000-12,196.00M,196.00M,486.00M,,486.00M,122.00M,,257.00M,,379.00M,172.00M,23.00M,,1.256B,,,,,,,1.955B,-897.00M,1.058B,,1.605B,1.605B,279.00M,2.942B,4.198B,193.00M,,,193.00M,366.00M,559.00M,,,,,926.00M,,926.00M,60.00M,1.545B,389.00M,,389.00M,209.00M,209.00M,,,434.00M,1.032B,2.577B,250.00M,2.139B,132.00M,684.00M,,,-216.00M,1.621B
2000-09,189.00M,189.00M,516.00M,,516.00M,121.00M,,257.00M,,378.00M,170.00M,24.00M,,1.277B,,,,,,,1.96B,-897.00M,1.063B,,1.513B,1.513B,285.00M,2.861B,4.138B,219.00M,,,219.00M,370.00M,589.00M,,,,,853.00M,,853.00M,63.00M,1.505B,389.00M,,389.00M,221.00M,221.00M,,,197.00M,807.00M,2.312B,250.00M,2.12B,128.00M,451.00M,,,-221.00M,1.826B
2000-06,254.00M,254.00M,624.00M,,624.00M,,,,,376.00M,,,200.00M,1.454B,,,,,,,1.957B,-878.00M,1.079B,,1.536B,1.536B,284.00M,2.899B,4.353B,378.00M,,,378.00M,387.00M,765.00M,768.00M,,,5.00M,773.00M,,773.00M,36.00M,1.574B,590.00M,,590.00M,191.00M,191.00M,,,204.00M,985.00M,2.559B,250.00M,2.02B,175.00M,451.00M,,,-200.00M,1.794B
2000-03,149.00M,149.00M,677.00M,,677.00M,,,,,402.00M,,,45.00M,1.273B,,,,,,,1.929B,-857.00M,1.072B,,1.547B,1.547B,459.00M,3.078B,4.351B,239.00M,,,239.00M,,239.00M,,,,,863.00M,,863.00M,431.00M,1.533B,679.00M,,679.00M,224.00M,224.00M,,,190.00M,1.093B,2.626B,250.00M,1.984B,131.00M,462.00M,,,-178.00M,1.725B
1999-12,159.00M,159.00M,575.00M,,575.00M,,,,,359.00M,,,47.00M,1.14B,,,,,,,1.802B,-741.00M,1.061B,,1.489B,1.489B,462.00M,3.012B,4.152B,214.00M,,,214.00M,,214.00M,,,,,709.00M,,709.00M,373.00M,1.296B,695.00M,,695.00M,230.00M,230.00M,,,186.00M,1.111B,2.407B,250.00M,1.923B,128.00M,374.00M,,,-182.00M,1.745B
1999-09,209.00M,209.00M,580.00M,,580.00M,,,,,320.00M,,,45.00M,1.154B,,,,,,,1.849B,-800.00M,1.049B,,1.485B,1.485B,473.00M,3.007B,4.161B,205.00M,,,205.00M,,205.00M,,,,,719.00M,,719.00M,390.00M,1.314B,704.00M,,704.00M,228.00M,228.00M,,,193.00M,1.125B,2.439B,250.00M,1.891B,128.00M,367.00M,,,-180.00M,1.722B
1999-06,132.00M,132.00M,610.00M,,610.00M,,,,,319.00M,,,55.00M,1.116B,,,,,,,1.841B,-787.00M,1.054B,,1.497B,1.497B,465.00M,3.016B,4.132B,206.00M,,,206.00M,,206.00M,,,,,741.00M,,741.00M,421.00M,1.368B,702.00M,,702.00M,237.00M,237.00M,,,255.00M,1.194B,2.562B,250.00M,1.842B,50.00M,392.00M,,,-180.00M,1.57B
1999-03,110.30M,110.30M,,,527.80M,,,,,395.70M,,,56.30M,1.090B,,,,,,,1.786B,-759.10M,1.027B,,1.568B,1.568B,446.00M,3.041B,4.131B,170.90M,,,170.90M,,170.90M,,,,,846.90M,,846.90M,358.20M,1.376B,705.10M,,705.10M,247.50M,247.50M,,,247.10M,1.200B,2.576B,,1.868B,,,,,,1.555B
1998-12,102.20M,102.20M,,,365.50M,,,,,228.70M,,,63.80M,760.20M,,,,,,,1.052B,-448.40M,604.00M,,1.255B,1.255B,427.30M,2.286B,3.046B,116.50M,,,116.50M,,116.50M,,,,,660.60M,,660.60M,222.80M,999.90M,508.50M,,508.50M,178.80M,178.80M,,,220.00M,907.30M,1.907B,,1.456B,,,,,,1.139B
1998-09,109.20M,109.20M,,,347.30M,,,,,214.70M,,,67.30M,738.50M,,,,,,,1.149B,-550.90M,598.40M,,1.249B,1.249B,424.20M,2.272B,3.01B,127.40M,,,127.40M,,127.40M,,,,,667.90M,,667.90M,249.10M,1.044B,466.30M,,466.30M,188.30M,188.30M,,,209.40M,864.00M,1.908B,,1.432B,,,,,,1.102B
1998-06,102.00M,102.00M,,,522.00M,,,,,367.00M,,,91.00M,1.082B,,,,,,,1.703B,-687.00M,1.016B,,1.525B,1.525B,442.00M,2.983B,4.065B,226.00M,,,226.00M,,226.00M,,,,,778.00M,,778.00M,377.00M,1.381B,704.00M,,704.00M,279.00M,279.00M,,,228.00M,1.211B,2.592B,249.00M,1.743B,,392.00M,,,-127.00M,1.473B
