,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2015-03,878.00M,,,,,,244.00M,244.00M,,,40.00M,,-159.00M,-661.00M,-205.00M,375.00M,,445.00M,-46.00M,957.00M,,-118.00M,,,,,26.00M,-92.00M,,2015-03,,2.213B,,-604.00M,-604.00M,,,-498.00M,,-498.00M,65.00M,-1.00M,,2015-03,1.446B,2.04B,3.486B,,2015-03,,2.213B,,-604.00M,2015-03,AOR,Restated
2014-12,904.00M,,,,,,268.00M,268.00M,,,36.00M,,-79.00M,259.00M,11.00M,-501.00M,,-817.00M,-1.048B,-201.00M,,-389.00M,,,-276.00M,,6.00M,-659.00M,,2014-12,,0.00,,-224.00M,-224.00M,,,-474.00M,,-474.00M,30.00M,11.00M,,2014-12,2.963B,-1.517B,1.446B,,2014-12,,0.00,,-224.00M,2014-12,AOR,Restated
2014-09,888.00M,,,,,,247.00M,247.00M,,,31.00M,,219.00M,367.00M,-241.00M,39.00M,,-560.00M,-395.00M,990.00M,,-203.00M,,,-450.00M,,15.00M,-638.00M,,2014-09,,0.00,,-446.00M,-446.00M,,,-421.00M,,-421.00M,55.00M,-13.00M,,2014-09,3.436B,-473.00M,2.963B,,2014-09,,0.00,,-446.00M,2014-09,AOR,Restated
2014-06,889.00M,,,,,,242.00M,242.00M,,,49.00M,,158.00M,-175.00M,278.00M,12.00M,,-476.00M,-361.00M,977.00M,,-150.00M,,,-172.00M,,22.00M,-300.00M,,2014-06,,0.00,,-124.00M,-124.00M,,,-421.00M,,-421.00M,26.00M,14.00M,,2014-06,3.264B,172.00M,3.436B,,2014-06,,0.00,,-124.00M,2014-06,AOR,Restated
2014-03,933.00M,,,,,,237.00M,237.00M,,,48.00M,,-21.00M,-423.00M,29.00M,545.00M,,752.00M,903.00M,2.10B,,-103.00M,,,,,-23.00M,-126.00M,,2014-03,,0.00,,-1.106B,-1.106B,,,-444.00M,,-444.00M,197.00M,26.00M,,2014-03,2.617B,647.00M,3.264B,,2014-03,,0.00,,-1.106B,2014-03,AOR,Restated
2013-12,488.00M,,,,,,286.00M,286.00M,,,39.00M,,146.00M,1.077B,-78.00M,-528.00M,,-682.00M,-211.00M,938.00M,,-345.00M,,,-3.00M,,11.00M,-337.00M,,2013-12,,0.00,,-229.00M,-229.00M,,,-428.00M,,-428.00M,78.00M,-66.00M,,2013-12,2.661B,-44.00M,2.617B,,2013-12,,,0.00,-229.00M,2013-12,AOR,Restated
2013-09,873.00M,,,,,,232.00M,232.00M,,,38.00M,,144.00M,-66.00M,-25.00M,-124.00M,,-172.00M,-387.00M,900.00M,,-209.00M,,,-203.00M,,-33.00M,-445.00M,,2013-09,,0.00,,-607.00M,-607.00M,,,-370.00M,,-370.00M,360.00M,-22.00M,,2013-09,2.845B,-184.00M,2.661B,,2013-09,,,0.00,-607.00M,2013-09,AOR,Restated
2013-06,859.00M,,,,,,240.00M,240.00M,,,59.00M,,-25.00M,140.00M,0.00,-78.00M,,-572.00M,-510.00M,623.00M,,-176.00M,,,-63.00M,,48.00M,-191.00M,,2013-06,,-150.00M,,-465.00M,-465.00M,,,-371.00M,,-371.00M,334.00M,0.00,,2013-06,3.065B,-220.00M,2.845B,,2013-06,,,-150.00M,-465.00M,2013-06,AOR,Restated
2013-03,761.00M,,,,,,232.00M,232.00M,,,53.00M,,40.00M,-384.00M,43.00M,83.00M,,1.257B,999.00M,2.085B,,-106.00M,,,,,-42.00M,-148.00M,,2013-03,,,,-461.00M,-461.00M,,,-371.00M,,-371.00M,55.00M,7.00M,,2013-03,1.898B,1.167B,3.065B,,2013-03,,,,-461.00M,2013-03,AOR,Restated
2012-12,569.00M,,,,,,277.00M,277.00M,,,38.00M,,-114.00M,-95.00M,-35.00M,-150.00M,,-2.735B,-3.015B,-1.315B,,-428.00M,,,-230.00M,,8.00M,-650.00M,,2012-12,,0.00,,-282.00M,-282.00M,,,-373.00M,,-373.00M,103.00M,-237.00M,,2012-12,4.652B,-2.754B,1.898B,,2012-12,,,0.00,-282.00M,2012-12,AOR,Restated
2012-09,727.00M,,,,,,247.00M,247.00M,,,42.00M,,215.00M,140.00M,-349.00M,-177.00M,,728.00M,342.00M,1.573B,,-208.00M,,,-29.00M,,8.00M,-229.00M,,2012-09,,0.00,,-285.00M,-285.00M,,,-326.00M,,-326.00M,102.00M,15.00M,,2012-09,3.802B,850.00M,4.652B,,2012-09,,,0.00,-285.00M,2012-09,AOR,Restated
2012-06,781.00M,,,,,,233.00M,233.00M,,,46.00M,,9.00M,149.00M,-142.00M,-25.00M,,-206.00M,-224.00M,845.00M,,-175.00M,,,,,26.00M,-149.00M,,2012-06,,0.00,,-181.00M,-181.00M,,,-326.00M,,-326.00M,76.00M,19.00M,,2012-06,3.518B,284.00M,3.802B,,2012-06,,,0.00,-181.00M,2012-06,AOR,Restated
2012-03,668.00M,,,,,,231.00M,231.00M,,,41.00M,,100.00M,-654.00M,104.00M,116.00M,,-148.00M,-582.00M,458.00M,,-131.00M,,,,,-18.00M,-149.00M,,2012-03,,,,-242.00M,-242.00M,,,-327.00M,,-327.00M,159.00M,37.00M,,2012-03,3.582B,-64.00M,3.518B,,2012-03,,,,-242.00M,2012-03,AOR,Restated
2011-12,683.00M,,,,,,269.00M,269.00M,,,41.00M,,-170.00M,490.00M,-649.00M,-98.00M,,614.00M,357.00M,1.089B,,-418.00M,,,,0.00,43.00M,-999.00M,,2011-12,,-632.00M,,-148.00M,-148.00M,,,,,-325.00M,35.00M,-2.00M,,2011-12,4.564B,-982.00M,3.582B,,2011-12,,0.00,,-148.00M,2011-12,AOR,Restated
