,OperatingRevenue,Revenue,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.878B,1.878B,,,37.06M,-37.06M,113.56M,113.56M,37.06M,-37.06M,70.18M,-37.06M,210.99M,43.42M,167.57M,,-1.177M,,166.40M,166.40M,29.03M,248.05M,0.88,,,,0.88,0.88,0.87,,,,0.87,0.87,189.56M,192.19M,0.0933
2017-12,1.934B,1.934B,,,36.88M,-36.88M,152.66M,152.66M,36.88M,-36.88M,101.24M,-36.88M,201.40M,45.13M,156.27M,,-1.683M,,154.59M,154.59M,34.82M,238.28M,0.8133,,,,0.8133,0.8133,0.8067,,,,0.8067,0.8067,189.43M,192.31M,0.0933
2017-09,2.030B,2.030B,,,36.82M,-36.82M,136.76M,136.76M,36.82M,-36.82M,89.79M,-36.82M,226.11M,63.30M,162.82M,,-0.764M,,162.05M,162.05M,33.46M,262.93M,0.86,,,,0.86,0.86,0.84,,,,0.84,0.84,188.73M,193.42M,0.0933
2017-06,1.841B,1.841B,,,36.80M,-36.80M,115.99M,115.99M,36.80M,-36.80M,70.04M,-36.80M,160.96M,51.39M,109.57M,,-0.569M,,109.00M,109.00M,26.55M,197.76M,0.58,,,,0.58,0.58,0.5667,,,,0.5667,0.5667,188.00M,192.90M,0.0933
2017-03,1.865B,1.865B,,,36.80M,-36.80M,110.87M,110.87M,36.80M,-36.80M,65.89M,-36.80M,184.30M,59.62M,124.67M,,-1.227M,,123.45M,123.45M,18.13M,221.10M,0.6733,,,,0.6733,0.6733,0.64,,,,0.64,0.64,182.84M,192.68M,0.0867
2016-12,1.972B,1.972B,,,36.88M,-36.88M,130.38M,130.38M,36.88M,-36.88M,84.94M,-36.88M,231.83M,78.16M,153.67M,,-0.88M,,152.79M,152.79M,16.90M,268.71M,0.84,,,,0.84,0.84,0.8,,,,0.8,0.8,183.97M,193.06M,0.0867
2016-09,2.022B,2.022B,,,37.04M,-37.04M,131.71M,131.71M,37.04M,-37.04M,80.24M,-37.04M,331.62M,110.95M,220.66M,,-0.013M,,220.65M,220.65M,22.28M,368.66M,1.2,,,,1.2,1.2,1.147,,,,1.147,1.147,183.84M,192.83M,0.0867
2016-06,1.869B,1.869B,,,34.75M,-34.75M,157.86M,157.86M,34.75M,-34.75M,123.82M,-34.75M,158.31M,49.41M,108.91M,,0.061M,,108.97M,108.97M,16.63M,193.07M,0.5933,,,,0.5933,0.5933,0.5667,,,,0.5667,0.5667,183.92M,192.86M,0.0867
2016-03,1.803B,1.803B,,,32.22M,-32.22M,135.21M,135.21M,32.22M,-32.22M,102.04M,-32.22M,174.68M,54.43M,120.25M,,-0.737M,,119.51M,119.51M,30.24M,206.90M,0.6467,,,,0.6467,0.6467,0.62,,,,0.62,0.62,184.17M,192.79M,0.08
2015-12,1.386B,1.386B,,,31.74M,-31.74M,148.07M,148.07M,31.74M,-31.74M,-305.26M,-31.74M,156.21M,46.33M,109.88M,,-0.133M,,109.74M,109.74M,19.76M,187.94M,0.5933,,,,0.5933,0.5933,0.5667,,,,0.5667,0.5667,184.92M,193.60M,0.08
2015-09,1.867B,1.867B,,,31.64M,-31.64M,141.11M,141.11M,31.64M,-31.64M,107.09M,-31.64M,228.92M,76.18M,152.74M,,-0.129M,,152.61M,152.61M,23.12M,260.56M,0.8267,,,,0.8267,0.8267,0.7867,,,,0.7867,0.7867,184.74M,193.42M,0.08
2015-06,1.787B,1.787B,,,33.03M,-33.03M,136.63M,136.63M,33.03M,-33.03M,105.64M,-33.03M,178.19M,55.14M,123.05M,,-0.014M,,123.04M,123.04M,23.06M,211.22M,0.66,,,,0.66,0.66,0.6333,,,,0.6333,0.6333,185.67M,194.98M,0.08
2015-03,1.653B,1.653B,,,34.54M,-34.54M,128.14M,128.14M,34.54M,-34.54M,0.259M,-34.54M,168.72M,50.27M,118.44M,,-0.137M,,118.31M,118.31M,19.20M,203.26M,0.6267,,,,0.6267,0.6267,0.5933,,,,0.5933,0.5933,188.95M,198.73M,0.0733
2014-12,2.082B,2.082B,,,34.60M,-34.60M,150.04M,150.04M,34.60M,-34.60M,410.40M,-34.60M,162.70M,51.75M,110.95M,,-0.24M,,110.71M,110.71M,25.42M,197.31M,0.58,,,,0.58,0.58,0.5533,,,,0.5533,0.5533,190.23M,199.42M,0.0733
2014-09,1.742B,1.742B,,,32.93M,-32.93M,142.34M,142.34M,32.93M,-32.93M,0.405M,-32.93M,278.45M,89.66M,188.79M,,-0.252M,,188.54M,188.54M,12.58M,311.38M,0.9867,,,,0.9867,0.9867,0.9467,,,,0.9467,0.9467,190.75M,199.50M,0.0733
2014-06,1.691B,1.691B,,,30.31M,-30.31M,139.55M,139.55M,30.31M,-30.31M,0.24M,-30.31M,263.45M,83.28M,180.18M,,-0.216M,,179.96M,179.96M,25.60M,293.76M,0.94,,,,0.94,0.94,0.9,,,,0.9,0.9,191.50M,199.96M,0.0733
2014-03,1.614B,1.614B,,,30.33M,-30.33M,126.84M,126.84M,30.33M,-30.33M,0.286M,-30.33M,247.58M,77.90M,169.68M,,-0.011M,,169.67M,169.67M,25.24M,277.92M,0.8733,,,,0.8733,0.8733,0.8333,,,,0.8333,0.8333,194.81M,203.14M,0.0667
2013-12,1.578B,1.578B,,,30.51M,-30.51M,158.20M,158.20M,30.51M,-30.51M,0.272M,-30.51M,181.73M,46.34M,135.39M,,-5.009M,,130.38M,130.38M,23.04M,212.24M,0.6467,,,,0.6467,0.6467,0.62,,,,0.62,0.62,201.06M,209.53M,0.0667
2013-09,1.526B,1.526B,,,30.35M,-30.35M,138.11M,138.11M,30.35M,-30.35M,0.248M,-30.35M,198.23M,60.04M,138.19M,,-1.214M,,136.97M,136.97M,29.43M,228.58M,0.6733,,,,0.6733,0.6733,0.6467,,,,0.6467,0.6467,202.90M,211.14M,0.0667
2013-06,1.494B,1.494B,,-6.709M,31.21M,-31.21M,119.18M,112.47M,31.21M,-31.21M,0.225M,-31.21M,158.71M,43.58M,115.13M,,0.83M,,115.96M,120.85M,29.71M,189.91M,0.5667,,,,0.5907,0.5667,0.5467,,,,0.5698,0.5467,203.84M,211.91M,0.0667
2013-03,1.413B,1.413B,,,31.11M,-31.11M,124.29M,124.29M,31.11M,-31.11M,0.281M,-31.11M,160.22M,43.62M,116.60M,,0.017M,,116.62M,116.62M,20.91M,191.33M,0.5733,,,,0.5733,0.5733,0.5533,,,,0.5533,0.5533,204.04M,211.83M,0.06
2012-12,1.538B,1.538B,,0.00,32.55M,-32.55M,109.49M,109.49M,32.55M,-32.55M,0.36M,-32.55M,232.49M,66.99M,165.50M,,-0.01M,,165.49M,165.49M,38.33M,265.04M,0.8133,,,,0.8133,0.8133,0.78,,,,0.78,0.78,203.78M,216.66M,0.06
2012-09,1.354B,1.354B,,0.00,32.51M,-32.51M,96.79M,96.79M,32.51M,-32.51M,1.428M,-32.51M,133.69M,32.68M,101.01M,,-0.061M,,100.95M,100.95M,17.94M,166.20M,0.4933,,,,0.4933,0.4933,0.4733,,,,0.4733,0.4733,204.83M,212.46M,0.06
2012-06,1.360B,1.360B,,0.00,32.42M,-32.42M,86.00M,86.00M,32.42M,-32.42M,0.384M,-32.42M,148.44M,39.54M,108.90M,,-0.066M,,108.84M,108.84M,24.94M,180.86M,0.5267,,,,0.5267,0.5267,0.5067,,,,0.5067,0.5067,207.27M,215.29M,0.06
2012-03,1.330B,1.330B,,,28.82M,-28.82M,82.93M,82.93M,28.82M,-28.82M,0.392M,-28.82M,187.30M,52.07M,135.23M,,0.086M,,135.32M,135.32M,22.21M,216.12M,0.6533,,,,0.6533,0.6533,0.6267,,,,0.6267,0.6267,206.72M,215.12M,0.0533
2011-12,1.124B,1.124B,,,28.20M,-28.20M,186.49M,186.49M,28.20M,-28.20M,0.40M,-28.20M,148.72M,31.66M,117.06M,,-0.028M,,117.03M,117.03M,30.68M,176.91M,0.5667,,,,0.5667,0.5667,0.5467,,,,0.5467,0.5467,205.72M,214.54M,0.0533
2011-09,1.280B,1.280B,407.15M,,28.07M,-28.07M,64.39M,471.54M,28.07M,-28.07M,0.406M,-28.07M,96.15M,19.78M,76.37M,,0.039M,,76.41M,76.41M,24.15M,124.21M,0.3667,0.0,,,0.3667,0.3667,0.3533,0.0,,,0.3533,0.3533,208.22M,216.81M,0.0533
2011-06,1.271B,1.271B,403.66M,-55.86M,28.13M,-28.13M,,347.80M,28.13M,-28.13M,56.71M,-28.13M,109.03M,26.91M,82.12M,,0.064M,,82.18M,124.25M,11.10M,137.16M,0.3867,0.0,,,0.5847,0.3867,0.3733,0.0,,,0.5633,0.3733,212.46M,221.52M,0.0533
2011-03,1.234B,1.234B,386.13M,,28.12M,-28.12M,53.82M,439.94M,28.12M,-28.12M,0.384M,-28.12M,159.19M,43.60M,115.60M,,-0.005M,,115.59M,115.59M,22.08M,187.31M,0.5467,0.0,,,0.5467,0.5467,0.52,0.0,,,0.52,0.52,211.77M,221.14M,0.0467
2010-12,1.015B,1.015B,,,28.19M,-28.19M,155.08M,155.08M,28.19M,-28.19M,0.404M,-28.19M,171.20M,47.19M,124.01M,,-0.041M,,123.97M,123.97M,18.80M,199.38M,0.5733,,,,0.5733,0.5733,0.5533,,,,0.5533,0.5533,215.01M,223.74M,0.0467
2010-09,1.176B,1.176B,369.22M,,26.72M,-26.72M,60.96M,430.18M,26.72M,-26.72M,0.31M,-26.72M,121.30M,27.63M,93.67M,,-0.05M,,93.62M,93.62M,21.60M,148.02M,0.4267,0.0,,,0.4267,0.4267,0.4067,0.0,,,0.4067,0.4067,220.62M,231.24M,0.0467
2010-06,1.163B,1.163B,,-49.93M,26.01M,-26.01M,370.82M,320.89M,26.01M,-26.01M,53.28M,-26.01M,145.82M,35.60M,110.22M,,-0.017M,,110.21M,147.95M,21.94M,171.84M,0.4867,0.0,,,0.6531,0.4867,0.4667,0.0,,,0.6265,0.4667,226.82M,236.19M,0.0467
2010-03,1.154B,1.154B,,-62.49M,26.04M,-26.04M,28.85M,-33.64M,26.04M,-26.04M,52.03M,-26.04M,160.59M,41.81M,118.78M,,-0.171M,,118.61M,164.83M,20.53M,186.63M,0.5133,0.0,,,0.7141,0.5133,0.4933,0.0,,,0.6862,0.4933,230.17M,239.66M,0.04
2009-12,1.176B,1.176B,364.86M,,25.95M,-25.95M,56.82M,421.68M,25.95M,-25.95M,0.553M,-25.95M,185.49M,51.35M,134.14M,,0.15M,,134.29M,134.29M,22.71M,211.44M,0.56,0.0,,,0.56,0.56,0.54,0.0,,,0.54,0.54,239.80M,249.00M,0.04
2009-09,1.136B,1.136B,353.12M,,21.60M,-21.60M,49.85M,402.97M,21.60M,-21.60M,0.474M,-21.60M,125.78M,27.99M,97.79M,,-0.066M,,97.72M,97.72M,8.34M,147.37M,0.4067,0.0,,,0.4067,0.4067,0.3933,0.0,,,0.3933,0.3933,240.70M,250.10M,0.04
2009-06,1.155B,1.155B,365.51M,,20.21M,-20.21M,46.79M,412.30M,20.21M,-20.21M,0.517M,-20.21M,125.31M,27.88M,97.43M,,-0.045M,,97.39M,97.39M,24.57M,145.53M,0.4067,0.0,,,0.4067,0.4067,0.3933,0.0,,,0.3933,0.3933,240.01M,249.34M,0.04
2009-03,963.62M,963.62M,357.35M,,20.22M,-20.22M,29.95M,387.30M,20.22M,-20.22M,0.593M,-20.22M,-54.35M,-34.06M,-20.28M,,-0.062M,,-20.35M,-20.35M,23.26M,-34.12M,-0.0867,0.0,,,-0.0867,-0.0867,-0.0867,0.0,,,-0.0867,-0.0867,241.64M,241.64M,0.04
2008-12,1.079B,1.079B,360.16M,,20.23M,-20.23M,43.42M,403.58M,20.23M,-20.23M,-92.00M,-20.23M,23.36M,-17.00M,40.35M,,-0.025M,,40.33M,40.33M,23.59M,43.59M,0.1667,0.0,,,0.1667,0.1667,0.1667,0.0,,,0.1667,0.1667,242.02M,251.56M,0.04
2008-09,1.056B,1.056B,358.58M,,20.25M,-20.25M,39.34M,397.92M,20.25M,-20.25M,41.39M,-20.25M,-56.79M,-28.96M,-27.83M,,-0.052M,,-27.88M,-27.88M,18.88M,-36.54M,-0.1133,0.0,,,-0.1133,-0.1133,-0.1133,0.0,,,-0.1133,-0.1133,244.01M,244.01M,0.04
2008-06,1.199B,1.199B,376.25M,,21.40M,-21.40M,26.34M,402.59M,21.40M,-21.40M,0.76M,-21.40M,95.45M,15.17M,80.28M,,-0.018M,,80.26M,80.26M,4.409M,116.84M,0.32,0.0,,,0.32,0.32,0.3067,0.0,,,0.3067,0.3067,250.76M,260.53M,0.04
2008-03,1.375B,1.375B,380.17M,,22.74M,-22.74M,24.94M,405.11M,22.74M,-22.74M,25.26M,-22.74M,264.31M,75.71M,188.60M,,-0.167M,,188.44M,188.44M,37.06M,287.06M,0.7133,0.0,,,0.7133,0.7133,0.6867,0.0,,,0.6867,0.6867,265.05M,275.71M,0.0333
2007-12,1.435B,1.435B,,,22.89M,-22.89M,431.16M,431.16M,22.89M,-22.89M,41.81M,-22.89M,296.32M,88.22M,208.11M,,-1.391M,,206.72M,206.72M,11.85M,319.21M,0.7467,0.0,,,0.7467,0.7467,0.7267,0.0,,,0.7267,0.7267,275.92M,283.58M,0.0333
2007-09,1.408B,1.408B,,,22.71M,-22.71M,421.25M,421.25M,22.71M,-22.71M,42.18M,-22.71M,257.70M,76.34M,181.36M,,-0.896M,,180.46M,180.46M,20.07M,280.41M,0.6467,0.0,,,0.6467,0.6467,0.62,0.0,,,0.62,0.62,279.90M,290.58M,0.0333
2007-06,1.387B,1.387B,,,22.70M,-22.70M,389.79M,389.79M,22.70M,-22.70M,15.38M,-22.70M,270.42M,79.38M,191.05M,,-0.414M,,190.63M,190.63M,21.02M,293.12M,0.6533,0.0,,,0.6533,0.6533,0.62,0.0,,,0.62,0.62,291.52M,305.88M,0.0333
2007-03,1.359B,1.359B,,,20.70M,-20.70M,385.23M,385.23M,20.70M,-20.70M,31.28M,-20.70M,267.94M,79.14M,188.81M,,-0.382M,,188.43M,188.43M,20.77M,288.64M,0.6533,0.0,,,0.6533,0.6533,0.62,0.0,,,0.62,0.62,289.80M,303.11M,0.0333
2006-12,1.360B,1.360B,,,22.49M,-22.49M,366.28M,366.28M,22.49M,-22.49M,25.00M,-22.49M,282.43M,83.15M,200.78M,,-1.228M,,198.06M,198.06M,15.19M,304.92M,0.6867,0.0,,,0.6867,0.6867,0.6467,0.0,,,0.6467,0.6467,288.60M,306.78M,0.0267
2006-09,1.369B,1.369B,,,23.29M,-23.29M,368.31M,368.31M,23.29M,-23.29M,27.13M,-23.29M,244.96M,70.44M,174.52M,,-0.21M,,174.31M,174.31M,16.78M,268.26M,0.6067,0.0,,,0.6067,0.6067,0.58,0.0,,,0.58,0.58,287.32M,300.53M,0.0267
2006-06,1.358B,1.358B,,,23.27M,-23.27M,358.93M,358.93M,23.27M,-23.27M,27.27M,-23.27M,234.04M,67.88M,166.16M,,-0.703M,,165.45M,165.45M,15.65M,257.31M,0.5733,0.0,,,0.5733,0.5733,0.5467,0.0,,,0.5467,0.5467,288.58M,302.66M,0.0267
2006-03,1.308B,1.308B,,,23.47M,-23.47M,355.65M,355.65M,23.47M,-23.47M,26.98M,-23.47M,227.21M,64.92M,162.29M,,-0.588M,,161.70M,161.70M,18.06M,250.68M,0.56,0.0,,,0.56,0.56,0.5333,0.0,,,0.5333,0.5333,287.61M,303.50M,0.0267
2005-12,1.344B,1.344B,,,24.95M,-24.95M,999.05M,999.05M,24.95M,-24.95M,29.37M,-24.95M,237.64M,69.16M,167.42M,,-1.062M,,167.42M,167.42M,22.80M,262.60M,0.58,0.0,,,0.58,0.58,0.5533,0.0,,,0.5533,0.5533,289.56M,303.23M,0.0222
2005-09,1.272B,1.272B,,,23.63M,-23.63M,338.96M,338.96M,23.63M,-23.63M,25.38M,-23.63M,167.34M,44.54M,122.52M,,-0.283M,,122.52M,122.52M,9.416M,190.97M,0.4267,0.0,,,0.4267,0.4267,0.4067,0.0,,,0.4067,0.4067,287.15M,301.27M,0.0222
2005-06,1.221B,1.221B,,,19.22M,-19.22M,334.60M,334.60M,19.22M,-19.22M,29.16M,-19.22M,191.64M,56.10M,135.55M,,-1.467M,,134.08M,134.08M,15.80M,210.86M,0.4667,0.0,,,0.4667,0.4667,0.4467,0.0,,,0.4467,0.4467,287.31M,300.18M,0.0222
2005-03,1.160B,1.160B,,,18.12M,-18.12M,326.80M,326.80M,18.12M,-18.12M,30.82M,-18.12M,173.91M,52.73M,121.18M,,-0.312M,,120.87M,120.87M,15.03M,192.04M,0.4267,0.0,,,0.4267,0.4267,0.4067,0.0,,,0.4067,0.4067,284.76M,299.53M,0.0222
2004-12,1.183B,1.183B,,,18.19M,-18.19M,131.00M,131.00M,18.19M,-18.19M,26.15M,-18.19M,171.01M,53.40M,116.12M,0.00,-1.494M,,116.12M,116.12M,19.69M,189.20M,0.4111,-0.0022,0.0,,0.4111,0.4089,0.3956,-0.0022,0.0,,0.3956,0.3933,283.71M,294.65M,0.0207
2004-09,1.140B,1.140B,,,16.71M,-16.71M,309.39M,309.39M,16.71M,-16.71M,28.94M,-16.71M,138.90M,40.64M,97.07M,0.00,-1.186M,,97.07M,97.07M,6.026M,155.61M,0.3422,0.0,0.0,,0.3422,0.3422,0.3244,0.0,0.0,,0.3244,0.3244,283.77M,297.59M,0.0207
2004-06,1.111B,1.111B,,,15.75M,-15.75M,310.48M,310.48M,15.75M,-15.75M,27.71M,-15.75M,157.95M,48.17M,109.48M,0.00,-0.296M,,109.48M,109.48M,15.16M,173.70M,0.3867,0.0,0.0,,0.3867,0.3867,0.3689,0.0,0.0,,0.3689,0.3689,283.15M,296.79M,0.0207
2004-03,1.079B,1.079B,,,15.77M,-15.77M,291.78M,291.78M,15.77M,-15.77M,28.78M,-15.77M,170.65M,54.03M,116.16M,-0.727M,-0.47M,,115.43M,116.16M,13.95M,186.42M,0.4133,-0.0044,0.0,,0.4133,0.4089,0.3956,-0.0044,-0.0026,,0.3956,0.3911,282.30M,295.13M,0.0207
2003-12,995.36M,995.36M,,,15.54M,-15.54M,285.60M,285.60M,15.54M,-15.54M,25.54M,-15.54M,135.28M,42.67M,93.21M,0.00,0.591M,,93.21M,93.21M,6.643M,150.82M,0.3319,0.0,0.0,,0.3319,0.3319,0.32,0.0,0.0,,0.32,0.32,280.95M,290.82M,0.0207
2003-09,916.38M,916.38M,,,13.82M,-13.82M,261.28M,261.28M,13.82M,-13.82M,25.70M,-13.82M,108.08M,30.74M,76.47M,0.00,-0.862M,,76.47M,76.47M,1.33M,121.90M,0.2726,0.0,0.0,,0.2726,0.2726,0.2578,0.0,0.0,,0.2578,0.2578,280.52M,296.65M,0.0207
2003-06,926.96M,926.96M,,,13.27M,-13.27M,258.16M,258.16M,13.27M,-13.27M,26.35M,-13.27M,141.37M,44.23M,95.84M,0.00,-1.297M,,95.84M,95.84M,5.633M,154.64M,0.3407,0.0,0.0,,0.3407,0.3407,0.3259,0.0,0.0,,0.3259,0.3259,281.27M,294.05M,0.0198
2003-03,791.41M,791.41M,,,12.10M,-12.10M,230.85M,230.85M,12.10M,-12.10M,24.92M,-12.10M,104.58M,32.99M,71.70M,0.00,0.11M,,71.70M,71.70M,6.718M,116.67M,0.2578,0.0,0.0,,0.2578,0.2578,0.2459,0.0,0.0,,0.2459,0.2459,279.70M,290.22M,0.0198
2002-12,818.19M,818.19M,,,11.42M,-11.42M,246.70M,246.70M,11.42M,-11.42M,24.52M,-11.42M,111.99M,32.88M,72.73M,,-6.371M,,72.73M,72.73M,4.264M,123.40M,0.2756,0.0,,,0.2756,0.2756,0.2677,0.0,,,0.2677,0.2677,271.33M,274.55M,0.0178
2002-09,634.07M,634.07M,,,11.59M,-11.59M,194.18M,194.18M,11.59M,-11.59M,22.66M,-11.59M,59.53M,19.47M,40.54M,,0.481M,,40.54M,40.54M,4.84M,71.13M,0.16,0.0,,,0.16,0.16,0.1541,0.0,,,0.1541,0.1541,254.12M,263.20M,0.0178
2002-06,566.94M,566.94M,,,11.33M,-11.33M,181.88M,181.88M,11.33M,-11.33M,21.13M,-11.33M,37.21M,15.56M,27.37M,,5.73M,,27.37M,27.37M,4.769M,48.54M,0.1086,0.0,,,0.1086,0.1086,0.1027,0.0,,,0.1027,0.1027,253.76M,265.27M,0.0171
2002-03,547.89M,547.89M,,,11.14M,-11.14M,,,11.14M,-11.14M,69.42M,-11.14M,0.00,16.22M,34.40M,,0.089M,,34.40M,34.40M,4.071M,11.14M,0.1359,0.0,,,0.1359,0.1359,0.1306,0.0,,,0.1306,0.1306,252.18M,262.61M,0.0171
2001-12,501.58M,501.58M,,-3.196M,11.29M,-11.29M,170.97M,167.77M,11.29M,-11.29M,20.11M,-11.29M,-104.78M,-35.10M,-67.35M,,5.514M,,-64.16M,-62.04M,4.019M,-93.49M,-0.2841,0.0,,,-0.2754,-0.2841,-0.2841,0.0,,,-0.2754,-0.2841,243.56M,243.56M,0.0171
2001-09,500.07M,500.07M,,0.00,11.57M,-11.57M,170.86M,170.86M,11.57M,-11.57M,20.49M,-11.57M,-73.84M,-27.12M,-47.25M,,-0.524M,,-47.25M,-47.25M,4.202M,-62.27M,-0.2146,0.0,,,-0.2146,-0.2146,-0.2146,0.0,,,-0.2146,-0.2146,220.59M,228.21M,0.0171
2001-06,491.00M,491.00M,,0.00,11.41M,-11.41M,169.32M,169.32M,11.41M,-11.41M,20.01M,-11.41M,13.61M,3.074M,9.598M,,-0.941M,,9.598M,9.598M,4.131M,25.02M,0.0435,0.0,,,0.0435,0.0435,0.0421,0.0,,,0.0421,0.0421,220.14M,228.20M,0.0171
2001-03,449.15M,449.15M,,0.00,11.45M,-11.45M,152.62M,152.62M,11.45M,-11.45M,17.95M,-11.45M,13.61M,2.484M,10.27M,,-0.862M,,10.27M,10.27M,5.141M,25.06M,0.05,0.0,,,0.05,0.05,0.0474,0.0,,,0.0474,0.0474,204.64M,214.56M,0.0171
2000-12,480.07M,480.07M,,0.00,11.64M,-11.64M,152.17M,152.17M,11.64M,-11.64M,16.84M,-11.64M,25.44M,6.536M,18.16M,0.00,-0.743M,,-19.49M,-19.49M,6.106M,37.08M,0.0922,0.0,0.0,,0.0922,0.0922,0.0909,0.0,0.0,,0.0909,0.0909,198.12M,204.84M,0.0171
2000-09,445.96M,445.96M,,0.00,11.67M,-11.67M,150.83M,150.83M,11.67M,-11.67M,17.52M,-11.67M,7.114M,0.869M,7.092M,0.00,-0.891M,,7.983M,7.983M,5.387M,18.78M,0.0369,0.0,0.0,,0.0369,0.0369,0.0356,0.0,0.0,,0.0356,0.0356,193.46M,195.97M,0.0171
2000-06,431.93M,431.93M,,0.00,11.79M,-11.79M,148.22M,148.22M,11.79M,-11.79M,19.92M,-11.79M,6.429M,-0.564M,6.636M,0.00,-0.357M,,6.636M,6.636M,,18.22M,0.0342,0.0,0.0,,0.0342,0.0342,0.0342,0.0,0.0,,0.0342,0.0342,194.56M,195.89M,0.0171
