,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2015-09,426.00M,2.00M,3.00M,5.00M,-15.00M,,-5.00M,179.00M,179.00M,35.00M,,12.00M,-6.00M,13.00M,-31.00M,41.00M,0.00,204.00M,,,2.00M,,870.00M,,2015-09,-238.00M,,,43.00M,16.00M,-170.00M,,2015-09,-3.00M,-181.00M,-184.00M,,-83.00M,-83.00M,-177.00M,-177.00M,-11.00M,-443.00M,,2015-09,636.00M,-32.00M,861.00M,,2015-09,,-65.00M,-119.00M,,2015-09,AOR,Restated
2015-06,236.00M,68.00M,24.00M,4.00M,-7.00M,,89.00M,187.00M,187.00M,-48.00M,,13.00M,-21.00M,24.00M,13.00M,0.00,0.00,-56.00M,,,-6.00M,,431.00M,,2015-06,-177.00M,,,7.00M,8.00M,-156.00M,,2015-06,-4.00M,12.00M,8.00M,,-163.00M,-163.00M,-177.00M,-177.00M,1.00M,-330.00M,,2015-06,675.00M,16.00M,636.00M,,2015-06,,12.00M,-4.00M,,2015-06,AOR,Restated
2015-03,361.00M,-10.00M,3.00M,,-9.00M,,-16.00M,139.00M,139.00M,-29.00M,,15.00M,-19.00M,-96.00M,3.00M,21.00M,-27.00M,164.00M,,,,,516.00M,,2015-03,-227.00M,,,22.00M,-24.00M,-196.00M,,2015-03,-3.00M,53.00M,50.00M,,-124.00M,-124.00M,-178.00M,-178.00M,10.00M,-246.00M,,2015-03,578.00M,23.00M,675.00M,,2015-03,,53.00M,-3.00M,,2015-03,AOR,Restated
2014-12,-134.00M,11.00M,-12.00M,-12.00M,31.00M,,18.00M,-173.00M,-173.00M,48.00M,,9.00M,-11.00M,12.00M,4.00M,-26.00M,5.00M,-147.00M,,,,,-395.00M,,2014-12,147.00M,,,17.00M,315.00M,496.00M,,2014-12,-58.00M,17.00M,-41.00M,,-310.00M,-310.00M,-179.00M,-179.00M,-21.00M,-153.00M,,2014-12,685.00M,6.00M,357.00M,,2014-12,,17.00M,-58.00M,,2014-12,AOR,Restated
2014-09,403.00M,-20.00M,6.00M,5.00M,-9.00M,,-18.00M,181.00M,181.00M,-84.00M,,11.00M,-4.00M,83.00M,-37.00M,19.00M,8.00M,-34.00M,,,,,528.00M,,2014-09,-247.00M,,,49.00M,-88.00M,-306.00M,,2014-09,-2.00M,221.00M,219.00M,,-210.00M,-210.00M,-163.00M,-163.00M,5.00M,-153.00M,,2014-09,597.00M,19.00M,685.00M,,2014-09,,221.00M,-2.00M,,2014-09,AOR,Restated
2014-06,338.00M,-4.00M,21.00M,7.00M,-9.00M,,15.00M,180.00M,180.00M,1.00M,,13.00M,-12.00M,-9.00M,-11.00M,-28.00M,-9.00M,36.00M,,,,,514.00M,,2014-06,-236.00M,,,15.00M,-227.00M,-446.00M,,2014-06,-3.00M,143.00M,140.00M,,-176.00M,-176.00M,-163.00M,-163.00M,5.00M,-196.00M,,2014-06,734.00M,-9.00M,597.00M,,2014-06,,143.00M,-3.00M,,2014-06,AOR,Restated
2014-03,399.00M,-3.00M,3.00M,,-13.00M,,-13.00M,140.00M,140.00M,-11.00M,,12.00M,-13.00M,-31.00M,23.00M,33.00M,-2.00M,33.00M,,,,,570.00M,,2014-03,-172.00M,,,2.00M,,-168.00M,,2014-03,-2.00M,35.00M,33.00M,,-124.00M,-124.00M,-164.00M,-164.00M,11.00M,-237.00M,,2014-03,573.00M,-4.00M,734.00M,,2014-03,,35.00M,-2.00M,,2014-03,AOR,Restated
2013-12,315.00M,-13.00M,21.00M,28.00M,-9.00M,,147.00M,248.00M,248.00M,27.00M,,17.00M,-17.00M,46.00M,-8.00M,-1.00M,1.00M,-189.00M,,,,,586.00M,,2013-12,-350.00M,,,41.00M,-1.00M,-299.00M,,2013-12,-62.00M,-2.00M,-64.00M,,-260.00M,-260.00M,-164.00M,-164.00M,20.00M,-476.00M,,2013-12,753.00M,9.00M,573.00M,,2013-12,,599.00M,-663.00M,,2013-12,AOR,Restated
2013-09,137.00M,-38.00M,300.00M,3.00M,-13.00M,,252.00M,173.00M,173.00M,-46.00M,,11.00M,-3.00M,36.00M,-8.00M,18.00M,-14.00M,268.00M,,,,,824.00M,,2013-09,-227.00M,,,54.00M,-1.00M,-177.00M,,2013-09,-1.00M,-53.00M,-54.00M,,-181.00M,-181.00M,-150.00M,-150.00M,6.00M,-388.00M,,2013-09,500.00M,-6.00M,753.00M,,2013-09,,1.00M,-55.00M,,2013-09,AOR,Restated
2013-06,276.00M,-32.00M,6.00M,12.00M,3.00M,,-11.00M,170.00M,170.00M,1.00M,,12.00M,-13.00M,27.00M,-5.00M,-25.00M,0.00,-104.00M,,,,,328.00M,,2013-06,-235.00M,,,-15.00M,2.00M,-257.00M,,2013-06,-3.00M,46.00M,43.00M,,-231.00M,-231.00M,-150.00M,-150.00M,6.00M,-328.00M,,2013-06,762.00M,-5.00M,500.00M,,2013-06,,46.00M,-3.00M,,2013-06,AOR,Restated
