,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-06,1.767B,1.767B,887.00M,880.00M,,638.00M,1.00M,,,,1.00M,639.00M,241.00M,,,,1.00M,,208.00M,68.00M,140.00M,,,,140.00M,80.00M,241.00M,,2002-06,0.235,0.2339,0.235,,2002-06,0.225,0.2239,0.225,,628.00M,,,2002-06,,
2002-03,1.614B,1.614B,808.00M,806.00M,,587.00M,7.00M,,,,-7.00M,580.00M,226.00M,,,,7.00M,,192.00M,68.00M,124.00M,,,,124.00M,78.00M,226.00M,,2002-03,0.2125,0.2049,0.2125,,2002-03,0.20,0.1924,0.20,,592.91M,,,2002-03,,
2001-12,2.762B,2.202B,-20.00M,2.222B,,1.936B,-577.00M,,,,,1.978B,244.00M,,,,-577.00M,,223.00M,59.00M,164.00M,,,,164.00M,111.00M,244.00M,,2001-12,0.285,1.018,0.285,,2001-12,0.27,0.9707,0.27,,605.63M,,,2001-12,,
2001-09,1.449B,1.64B,1.236B,404.00M,,188.00M,206.00M,,,,-15.00M,173.00M,231.00M,,,,206.00M,,195.00M,71.00M,124.00M,,,,124.00M,85.00M,231.00M,,2001-09,0.21,-0.0128,0.21,,2001-09,0.20,-0.0140,0.20,,612.00M,,,2001-09,,
2001-06,1.605B,1.605B,735.00M,870.00M,,597.00M,27.00M,,,,-27.00M,655.00M,215.00M,,,,27.00M,,178.00M,62.00M,116.00M,,,,116.00M,85.00M,215.00M,,2001-06,0.1975,0.1675,0.1975,,2001-06,0.19,0.1612,0.19,,610.53M,,,2001-06,,
2001-03,1.506B,1.506B,696.00M,810.00M,,561.00M,,,,,,634.00M,176.00M,,,,,,137.00M,49.00M,88.00M,,,,88.00M,73.00M,176.00M,,2001-03,0.15,0.15,0.15,,2001-03,0.1475,0.1475,0.1475,,600.00M,,,2001-03,,
2000-12,2.182B,2.182B,1.00B,1.182B,,835.00M,28.00M,,,,,944.00M,238.00M,,,,28.00M,,211.00M,83.00M,128.00M,,,,128.00M,109.00M,238.00M,,2000-12,0.2175,0.1886,0.2175,,2000-12,0.215,0.1866,0.215,,597.56M,,,2000-12,,
2000-09,1.658B,1.658B,766.00M,892.00M,,595.00M,-83.00M,,,,,677.00M,215.00M,,,,-83.00M,,93.00M,34.00M,59.00M,,,,59.00M,82.00M,215.00M,,2000-09,0.1025,0.1927,0.1025,,2000-09,0.10,0.1896,0.10,,588.00M,,,2000-09,,
2000-06,1.656B,1.656B,755.00M,901.00M,,602.00M,2.00M,,,,,683.00M,218.00M,,,,2.00M,,179.00M,73.00M,106.00M,,,,106.00M,81.00M,218.00M,,2000-06,0.18,0.1780,0.18,,2000-06,0.1775,0.1755,0.1775,,596.00M,,,2000-06,,
2000-03,1.597B,1.597B,732.00M,865.00M,,591.00M,50.00M,,,,,673.00M,192.00M,,,,50.00M,,201.00M,81.00M,120.00M,,,,120.00M,82.00M,192.00M,,2000-03,0.2025,0.1522,0.2025,,2000-03,0.20,0.1503,0.20,,604.00M,,,2000-03,,
1999-12,2.311B,2.311B,1.088B,1.223B,,866.00M,42.00M,,,,,987.00M,236.00M,,,,42.00M,,221.00M,76.00M,145.00M,,,,145.00M,121.00M,236.00M,,1999-12,0.2375,0.1924,0.2375,,1999-12,0.2325,0.1884,0.2325,,624.74M,,,1999-12,,
1999-09,1.812B,1.812B,850.00M,962.00M,,644.00M,141.00M,,,,,726.00M,236.00M,,,,141.00M,,335.00M,138.00M,197.00M,,,,197.00M,82.00M,236.00M,,1999-09,0.32,0.1826,0.32,,1999-09,0.3075,0.1754,0.3075,,640.65M,,,1999-09,,
1999-06,1.886B,1.886B,883.00M,1.003B,,695.00M,129.00M,,,,,783.00M,220.00M,,,,129.00M,,298.00M,119.00M,179.00M,,,,179.00M,88.00M,220.00M,,1999-06,0.29,0.1645,0.29,,1999-06,0.275,0.1560,0.275,,650.91M,,,1999-06,,
1999-03,1.813B,1.813B,845.00M,968.00M,,671.00M,34.00M,,,,,766.00M,202.00M,,,,34.00M,,184.00M,78.00M,106.00M,,,,106.00M,95.00M,202.00M,,1999-03,0.1725,0.1393,0.1725,,1999-03,0.165,0.1332,0.165,,642.42M,,,1999-03,,
1998-12,2.529B,2.529B,1.252B,1.277B,,938.00M,99.00M,,,,,1.057B,220.00M,,,,99.00M,,245.00M,94.00M,151.00M,,,,151.00M,119.00M,220.00M,,1998-12,0.2475,0.1475,0.2475,,1998-12,0.2375,0.1422,0.2375,,640.38M,,,1998-12,,
1998-09,2.021B,2.021B,972.00M,1.049B,,732.00M,59.00M,,,,,829.00M,220.00M,,,,59.00M,,217.00M,89.00M,128.00M,,,,128.00M,97.00M,220.00M,,1998-09,0.21,0.1519,0.21,,1998-09,0.205,0.1483,0.205,,624.39M,,,1998-09,,
1998-06,2.007B,2.007B,963.00M,1.044B,,758.00M,73.00M,,,,,855.00M,189.00M,,,,73.00M,,195.00M,83.00M,112.00M,,,,112.00M,97.00M,189.00M,,1998-06,0.185,0.1127,0.185,,1998-06,0.18,0.1096,0.18,,622.22M,,,1998-06,,
