,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,1.737B,23.20M,1.760B,1.105B,1.105B,282.40M,290.50M,278.90M,851.80M,,133.20M,3.85B,0.00,25.90M,254.90M,1.230B,1.510B,-900.90M,609.50M,2.693B,216.40M,2.909B,,89.60M,3.608B,7.458B,,587.80M,43.20M,81.80M,712.80M,295.30M,1.008B,0.30M,0.30M,,1.008B,2.813B,2.813B,,,,262.50M,39.90M,95.90M,3.172B,4.18B,,0.30M,2.804B,783.30M,,,,-349.50M,3.238B,,AOR,Restated
2015-09,1.576B,22.10M,1.598B,1.163B,1.163B,307.30M,293.70M,286.70M,887.70M,,213.60M,3.862B,,,,,1.500B,-887.80M,611.70M,2.706B,227.70M,2.934B,,77.60M,3.623B,7.486B,,661.50M,43.10M,97.80M,802.40M,278.50M,1.081B,0.40M,0.40M,,1.081B,2.853B,2.853B,,,,369.90M,38.10M,,3.223B,4.304B,,0.30M,2.701B,745.90M,,,,-303.60M,3.143B,,AOR,Restated
2015-06,1.243B,154.40M,1.397B,1.090B,1.090B,315.80M,297.20M,280.00M,893.00M,,213.10M,3.593B,,,,,1.495B,-885.00M,609.90M,2.709B,240.10M,2.949B,,76.90M,3.636B,7.229B,,559.50M,38.60M,79.00M,677.10M,307.20M,984.30M,0.40M,0.40M,,984.70M,2.759B,2.759B,,,,382.00M,37.70M,,3.141B,4.126B,,0.30M,2.591B,729.60M,,,,-256.10M,3.065B,,AOR,Restated
2015-03,969.90M,381.20M,1.351B,1.092B,1.092B,299.40M,295.40M,276.60M,871.40M,,219.50M,3.534B,,,,,1.443B,-853.90M,589.50M,2.594B,230.20M,2.825B,,77.60M,3.492B,7.026B,,582.90M,0.00,98.90M,681.80M,242.30M,924.10M,1.60M,1.60M,,925.70M,2.757B,2.757B,,,,363.70M,29.30M,,3.121B,4.046B,,0.30M,2.532B,688.80M,,,,-271.50M,2.950B,,AOR,Restated
2014-12,968.90M,360.70M,1.330B,1.124B,1.124B,299.40M,282.80M,283.40M,865.60M,,133.30M,3.452B,0.00,25.50M,241.90M,1.173B,1.440B,-849.60M,590.70M,2.617B,235.50M,2.852B,,90.80M,3.534B,6.986B,,618.40M,38.70M,90.80M,747.90M,296.10M,1.044B,1.60M,1.60M,,1.046B,2.655B,2.655B,,,,347.80M,30.50M,,3.002B,4.048B,,0.30M,2.454B,659.40M,,,,-205.80M,2.907B,,AOR,Restated
2014-09,873.00M,371.62M,1.245B,1.092B,1.092B,304.72M,286.63M,256.72M,848.07M,,187.46M,3.373B,,,,,1.436B,-850.75M,585.35M,2.592B,223.60M,2.816B,,78.17M,3.479B,6.852B,,599.75M,,88.45M,688.20M,266.39M,954.59M,600.80M,600.80M,,1.555B,2.023B,2.023B,,,,275.53M,21.50M,,2.299B,3.854B,,0.312M,2.437B,635.66M,,,,-97.09M,2.976B,,AOR,Restated
2014-06,1.080B,363.82M,1.444B,1.031B,1.031B,279.70M,277.23M,248.52M,805.45M,,181.96M,3.462B,,,,,1.406B,-847.32M,558.65M,2.319B,149.30M,2.468B,,28.01M,3.055B,6.517B,,534.38M,31.37M,66.74M,632.49M,278.64M,911.12M,800.67M,800.67M,,1.712B,1.543B,1.543B,,,,184.95M,21.27M,79.08M,1.807B,3.519B,,0.157M,2.445B,584.43M,,,,-52.10M,2.977B,,AOR,Restated
2014-03,1.023B,276.13M,1.299B,971.58M,971.58M,262.87M,267.92M,241.93M,772.71M,,160.73M,3.204B,,,,,1.365B,-826.34M,538.72M,2.302B,155.50M,2.458B,,29.16M,3.026B,6.230B,,479.79M,31.42M,97.22M,608.42M,246.73M,855.16M,701.04M,701.04M,,1.556B,1.523B,1.523B,,,,184.20M,20.41M,71.37M,1.778B,3.334B,,0.157M,2.430B,514.52M,,,,-69.54M,2.875B,,AOR,Restated
2013-12,886.80M,305.40M,1.192B,1.001B,1.001B,261.90M,265.20M,265.50M,792.60M,,171.80M,3.158B,0.00,23.20M,184.40M,1.129B,1.336B,-804.00M,532.40M,2.289B,164.90M,2.454B,,24.00M,3.010B,6.168B,,549.90M,0.00,96.40M,646.30M,262.20M,908.50M,701.40M,701.40M,,1.610B,1.431B,1.431B,,,,246.60M,20.60M,,1.678B,3.288B,,0.30M,2.424B,489.80M,,,,-55.00M,2.860B,,AOR,Restated
2013-09,889.37M,394.22M,1.284B,926.19M,926.19M,248.41M,265.83M,218.49M,732.72M,,135.04M,3.078B,,,,,1.224B,-781.90M,441.80M,1.972B,,1.972B,,148.92M,2.563B,5.641B,,481.02M,31.63M,83.02M,595.68M,212.54M,808.21M,84.99M,84.99M,,893.20M,1.785B,1.785B,,,,250.70M,9.271M,45.72M,2.081B,2.974B,,0.158M,2.316B,461.94M,,,,-120.69M,2.657B,,AOR,Restated
