,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2013-12,1.705B,1.705B,283.00M,1.422B,610.00M,98.00M,708.00M,252.00M,28.00M,-29.00M,20.00M,3.00M,-17.00M,,988.00M,434.00M,3.00M,20.00M,-17.00M,-30.00M,-17.00M,387.00M,104.00M,283.00M,,,283.00M,304.17M,517.00M,110.00M,407.00M,,0.41,,0.4404,0.41,,0.40,,0.4302,0.40,,696.00M,702.00M,0.15,,AOR,Restated
2013-09,1.637B,1.637B,284.00M,1.353B,592.00M,114.00M,706.00M,248.00M,29.00M,-122.00M,20.00M,3.00M,-17.00M,,983.00M,370.00M,3.00M,20.00M,-17.00M,-102.00M,-17.00M,251.00M,10.00M,241.00M,,,241.00M,358.12M,382.00M,111.00M,271.00M,,0.34,,0.5076,0.34,,0.34,,0.5057,0.34,,699.00M,707.00M,0.15,,AOR,Restated
2013-06,1.709B,1.709B,300.00M,1.409B,652.00M,119.00M,771.00M,262.00M,71.00M,-81.00M,25.00M,3.00M,-22.00M,,1.104B,305.00M,3.00M,25.00M,-22.00M,-63.00M,-22.00M,220.00M,63.00M,157.00M,,,157.00M,214.51M,401.00M,156.00M,245.00M,,0.23,,0.3125,0.23,,0.22,,0.3013,0.22,,697.00M,707.00M,0.15,,AOR,Restated
2013-03,1.748B,1.748B,308.00M,1.44B,730.00M,111.00M,841.00M,281.00M,71.00M,8.00M,37.00M,3.00M,-34.00M,,1.193B,247.00M,3.00M,37.00M,-34.00M,20.00M,-34.00M,233.00M,43.00M,190.00M,,,190.00M,183.48M,427.00M,157.00M,270.00M,,0.27,,0.2606,0.27,,0.26,,0.2509,0.26,,692.00M,714.00M,,,AOR,Restated
2012-12,1.791B,1.791B,299.00M,1.492B,724.00M,117.00M,841.00M,249.00M,71.00M,-27.00M,38.00M,4.00M,-34.00M,,1.161B,331.00M,4.00M,38.00M,-34.00M,-7.00M,-34.00M,290.00M,74.00M,216.00M,,0.00,216.00M,235.98M,487.00M,159.00M,328.00M,,0.31,,0.3388,0.31,,0.31,,0.3385,0.31,,693.00M,702.00M,,,AOR,Restated
2012-09,1.699B,1.699B,284.00M,1.415B,667.00M,109.00M,776.00M,247.00M,72.00M,-23.00M,35.00M,2.00M,-33.00M,,1.095B,320.00M,2.00M,35.00M,-33.00M,-22.00M,-33.00M,265.00M,76.00M,189.00M,,0.00,189.00M,205.33M,462.00M,162.00M,300.00M,,0.27,,0.2933,0.27,,0.27,,0.2931,0.27,,702.00M,708.00M,,,AOR,Restated
2012-06,1.668B,1.668B,284.00M,1.384B,668.00M,110.00M,778.00M,249.00M,72.00M,-35.00M,29.00M,3.00M,-26.00M,,1.099B,285.00M,3.00M,29.00M,-26.00M,-41.00M,-26.00M,218.00M,58.00M,160.00M,,0.00,160.00M,185.55M,407.00M,160.00M,247.00M,,0.22,,0.2557,0.22,,0.22,,0.2555,0.22,,716.00M,720.00M,,,AOR,Restated
2012-03,1.681B,1.681B,287.00M,1.394B,716.00M,113.00M,829.00M,241.00M,72.00M,491.00M,28.00M,3.00M,-25.00M,,1.142B,252.00M,3.00M,28.00M,-25.00M,489.00M,-25.00M,716.00M,142.00M,574.00M,,0.00,574.00M,180.38M,913.00M,169.00M,744.00M,,0.78,,0.2401,0.78,,0.77,,0.2352,0.77,,729.00M,736.00M,,,AOR,Restated
2011-12,1.715B,1.715B,271.00M,1.444B,711.00M,113.00M,824.00M,242.00M,73.00M,-5.00M,27.00M,2.00M,-25.00M,,1.139B,305.00M,2.00M,27.00M,-25.00M,-7.00M,-25.00M,273.00M,32.00M,241.00M,,-1.00M,240.00M,244.40M,461.00M,161.00M,300.00M,,0.33,,0.3360,0.33,,0.32,,0.3259,0.32,,734.00M,740.00M,,,AOR,Restated
2011-09,1.681B,1.681B,265.00M,1.416B,697.00M,106.00M,803.00M,247.00M,73.00M,-8.00M,28.00M,4.00M,-24.00M,,1.123B,293.00M,4.00M,28.00M,-24.00M,-20.00M,-24.00M,249.00M,67.00M,182.00M,,0.00,182.00M,187.84M,439.00M,162.00M,277.00M,,0.24,,0.2478,0.24,,0.24,,0.2478,0.24,,745.00M,751.00M,,,AOR,Restated
2011-06,1.653B,1.653B,259.00M,1.394B,665.00M,105.00M,770.00M,239.00M,71.00M,-12.00M,32.00M,4.00M,-28.00M,,1.08B,314.00M,4.00M,32.00M,-28.00M,-29.00M,-28.00M,257.00M,67.00M,190.00M,,1.00M,191.00M,199.88M,450.00M,161.00M,289.00M,,0.25,,0.2618,0.25,,0.25,,0.2616,0.25,,755.00M,765.00M,,,AOR,Restated
2011-03,1.673B,1.673B,270.00M,1.403B,733.00M,100.00M,833.00M,226.00M,72.00M,-30.00M,37.00M,3.00M,-34.00M,,1.131B,272.00M,3.00M,37.00M,-34.00M,-63.00M,-34.00M,175.00M,30.00M,166.00M,,2.00M,168.00M,192.86M,368.00M,156.00M,212.00M,,0.22,,0.2526,0.22,,0.22,,0.2521,0.22,,763.00M,774.00M,,,AOR,Restated
2010-12,1.604B,1.604B,264.00M,1.34B,704.00M,97.00M,801.00M,220.00M,70.00M,-38.00M,37.00M,3.00M,-34.00M,,1.091B,249.00M,3.00M,37.00M,-34.00M,-38.00M,-34.00M,177.00M,35.00M,132.00M,,0.00,132.00M,162.49M,377.00M,163.00M,214.00M,,0.17,0.00,0.2096,0.17,,0.17,0.00,0.2092,0.17,,770.00M,778.00M,,,AOR,
2010-09,1.48B,1.48B,246.00M,1.234B,612.00M,100.00M,712.00M,208.00M,67.00M,-31.00M,36.00M,2.00M,-34.00M,,987.00M,247.00M,2.00M,36.00M,-34.00M,-31.00M,-34.00M,182.00M,44.00M,134.00M,,2.00M,136.00M,159.51M,374.00M,156.00M,218.00M,,0.17,0.00,0.2001,0.17,,0.17,0.00,0.1999,0.17,,782.00M,786.00M,,,AOR,
2010-06,1.433B,1.433B,265.00M,1.168B,573.00M,92.00M,665.00M,208.00M,61.00M,-39.00M,33.00M,2.00M,-31.00M,,934.00M,234.00M,2.00M,33.00M,-31.00M,-39.00M,-31.00M,164.00M,-4.00M,161.00M,,0.00,161.00M,186.35M,364.00M,167.00M,197.00M,,0.20,0.00,0.2318,0.20,,0.20,0.00,0.2315,0.20,,796.00M,805.00M,,,AOR,Restated
2010-03,1.531B,1.531B,276.00M,1.255B,597.00M,87.00M,684.00M,216.00M,61.00M,-44.00M,33.00M,2.00M,-31.00M,,961.00M,294.00M,2.00M,33.00M,-31.00M,-44.00M,-31.00M,219.00M,23.00M,184.00M,,0.00,184.00M,223.38M,422.00M,170.00M,252.00M,,0.23,0.00,0.2790,0.23,,0.23,0.00,0.2786,0.23,,804.00M,810.00M,,,AOR,Restated
2009-12,1.548B,1.548B,258.00M,1.29B,635.00M,92.00M,727.00M,210.00M,61.00M,29.00M,33.00M,1.00M,-32.00M,,998.00M,292.00M,1.00M,33.00M,-32.00M,29.00M,-32.00M,289.00M,-21.00M,301.00M,,0.00,301.00M,282.15M,439.00M,117.00M,322.00M,,0.37,0.00,0.3467,0.37,,0.37,0.00,0.3470,0.37,,809.00M,819.00M,,,AOR,Restated
2009-09,1.474B,1.474B,259.00M,1.215B,576.00M,84.00M,660.00M,210.00M,63.00M,-23.00M,31.00M,1.00M,-30.00M,,933.00M,282.00M,1.00M,31.00M,-30.00M,-23.00M,-30.00M,229.00M,68.00M,155.00M,,0.00,155.00M,171.17M,323.00M,63.00M,260.00M,,0.19,0.00,0.2099,0.19,,0.19,0.00,0.2097,0.19,,812.00M,819.00M,,,AOR,Restated
2009-06,1.432B,1.432B,312.00M,1.12B,559.00M,89.00M,648.00M,221.00M,62.00M,-31.00M,32.00M,2.00M,-30.00M,,931.00M,189.00M,2.00M,32.00M,-30.00M,-31.00M,-30.00M,128.00M,42.00M,74.00M,,,74.00M,94.83M,222.00M,62.00M,160.00M,,0.09,0.00,0.1155,0.09,,0.09,0.00,0.1152,0.09,,816.00M,827.00M,,,AOR,Restated
2009-03,1.468B,1.468B,307.00M,1.161B,545.00M,82.00M,627.00M,225.00M,62.00M,-439.00M,31.00M,2.00M,-29.00M,,914.00M,247.00M,2.00M,31.00M,-29.00M,-439.00M,-29.00M,-221.00M,23.00M,-264.00M,,,-264.00M,21.35M,118.00M,308.00M,-190.00M,,-0.36,0.00,-0.0116,-0.36,,-0.36,0.00,-0.0116,-0.36,,819.00M,819.00M,,,AOR,Restated
2008-12,1.514B,1.514B,299.00M,1.215B,581.00M,83.00M,664.00M,194.00M,60.00M,-7.053B,31.00M,5.00M,-26.00M,,918.00M,297.00M,5.00M,31.00M,-26.00M,-7.053B,-26.00M,-6.782B,22.00M,-6.82B,,,-6.82B,-2.236B,-6.538B,213.43M,-6.751B,,-8.25,0.00,-2.707,-8.25,,-8.25,0.00,-2.707,-8.25,,827.00M,827.00M,,,,Restated
2008-09,1.518B,1.518B,309.07M,1.209B,,,681.82M,219.05M,55.65M,-44.78M,,,,26.20M,982.72M,226.22M,,,,-55.52M,,213.23M,62.41M,140.07M,,,140.07M,171.74M,437.78M,211.57M,226.22M,,0.17,0.00,0.2078,0.17,,0.16,0.00,0.1972,0.16,,838.49M,852.33M,,,,
2008-06,1.65B,1.65B,312.00M,1.338B,663.00M,93.00M,756.00M,232.00M,55.00M,-17.00M,33.00M,18.00M,-15.00M,,1.043B,295.00M,18.00M,33.00M,-15.00M,-17.00M,-15.00M,263.00M,85.00M,172.00M,,,172.00M,183.51M,496.00M,200.00M,296.00M,,0.21,0.00,0.2237,0.21,,0.20,0.00,0.2135,0.20,,839.00M,854.00M,,,,Restated
2008-03,1.540B,1.540B,306.38M,1.233B,,,716.38M,222.11M,56.28M,36.78M,,,,,902.09M,331.27M,,,,36.78M,,283.17M,96.78M,186.39M,,,186.39M,162.17M,506.97M,205.70M,301.26M,,0.21,0.00,0.1813,0.21,,0.21,0.00,0.1817,0.21,,842.34M,855.16M,,,,Restated
2007-12,1.515B,1.515B,299.16M,1.216B,,,710.58M,225.29M,55.00M,-31.80M,,,,6.142M,997.01M,219.08M,,,,-31.80M,,205.95M,74.06M,131.89M,,,131.89M,152.25M,419.99M,200.91M,219.08M,,0.15,0.00,0.1737,0.15,,0.15,0.00,0.1732,0.15,,860.00M,876.22M,,,,
2007-09,1.419B,1.419B,304.53M,1.115B,,,681.57M,221.06M,56.93M,-94.16M,,,,86.55M,1.046B,68.47M,,,,-94.16M,,73.42M,23.05M,50.37M,,,50.37M,114.97M,272.52M,204.05M,68.47M,,0.06,0.00,0.1338,0.06,,0.06,0.00,0.1324,0.06,,875.66M,892.76M,,,,
2007-06,1.400B,1.400B,310.26M,1.090B,,,654.38M,225.58M,56.92M,-17.73M,,,,,936.88M,153.20M,,,,-17.73M,,149.99M,54.79M,95.21M,,,95.21M,106.46M,366.64M,213.44M,153.20M,,0.11,0.00,0.1226,0.11,,0.10,0.00,0.1124,0.10,,891.64M,910.30M,,,,
2007-03,1.357B,1.357B,306.26M,1.051B,,,654.81M,218.47M,49.93M,-45.93M,,,,,923.21M,127.74M,,,,-45.93M,,106.06M,45.17M,60.89M,,,60.89M,90.75M,329.71M,201.97M,127.74M,,0.07,0.00,0.1026,0.07,,0.07,0.00,0.1020,0.07,,914.60M,932.98M,,,,
2006-12,1.316B,1.316B,310.50M,1.005B,,,578.89M,216.97M,50.48M,-3.897M,,,,,846.33M,159.04M,,,,-3.897M,,177.62M,60.86M,116.77M,,,116.77M,119.33M,360.02M,200.98M,159.04M,,0.13,0.00,0.1327,0.13,,0.12,0.00,0.1227,0.12,,932.12M,963.31M,,,,
2006-09,1.260B,1.260B,215.06M,1.045B,,,544.66M,218.25M,135.82M,9.361M,,,,-1.00M,897.73M,147.61M,,,,9.361M,,182.90M,56.72M,126.18M,,,126.18M,119.72M,349.23M,201.62M,147.61M,,0.13,0.00,0.1233,0.13,,0.13,0.00,0.1235,0.13,,966.76M,987.92M,,,,
2006-06,1.266B,1.266B,298.66M,967.21M,,,546.07M,213.20M,50.61M,-13.44M,,,,,809.88M,157.33M,,,,-13.44M,,165.03M,64.49M,100.53M,,,100.53M,108.72M,364.21M,206.88M,157.33M,,0.10,0.00,0.1080,0.10,,0.10,0.00,0.1078,0.10,,1.029B,1.049B,,,,
2006-03,1.239B,1.239B,508.68M,729.88M,,,531.07M,216.05M,-203.68M,-7.763M,,,,210.18M,753.62M,-23.74M,,,,-7.763M,,198.19M,79.38M,118.81M,,,118.81M,123.47M,158.67M,182.40M,-23.74M,,0.12,0.00,0.1245,0.12,,0.11,0.00,0.1144,0.11,,1.042B,1.065B,,,,
2005-12,1.149B,1.149B,183.44M,965.58M,,,494.85M,187.53M,145.79M,-17.75M,,,,-82.85M,745.32M,220.26M,,,,-17.75M,,135.34M,44.61M,90.73M,,,90.73M,102.63M,421.40M,201.13M,220.26M,,0.08,0.00,0.0911,0.08,,0.08,0.00,0.0909,0.08,,1.069B,1.097B,,,,
2005-09,1.056B,1.056B,183.97M,871.89M,,,461.05M,187.31M,191.17M,-290.70M,,,,-124.22M,715.32M,156.58M,,,,-290.70M,,-225.89M,25.44M,-251.33M,,,-251.33M,-76.90M,382.48M,225.90M,156.58M,,-0.21,0.00,-0.0612,-0.21,,-0.21,0.00,-0.0612,-0.21,,1.172B,1.172B,,,,
