,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,AsOriginallyReported,Restated
2007-06,95.21M,,,,,-0.26M,66.66M,146.79M,213.44M,213.44M,-25.12M,,,,,41.56M,141.39M,7.706M,12.68M,,-16.48M,-118.82M,26.48M,,351.31M,,-74.69M,0.903M,-73.78M,-840.57M,-196.92M,,-1.111B,,,,,62.16M,-502.93M,-440.77M,,,,3.711M,-437.06M,,2.559B,-1.197B,12.04M,1.374B,,62.16M,,,-502.93M,,,,
2007-03,60.89M,,,,,-3.523M,64.01M,137.95M,201.97M,201.97M,90.24M,,,,,46.66M,81.17M,1.982M,-50.70M,,-170.84M,309.13M,170.75M,,566.98M,,-70.15M,34.56M,-35.59M,-8.358M,-43.39M,,-87.34M,,,,-0.463M,61.04M,-595.00M,-533.96M,,,,5.951M,-528.47M,,2.592B,-48.83M,15.86M,2.559B,,61.04M,,,-595.00M,,,,
2006-12,116.77M,,,,,1.358M,64.73M,136.25M,200.98M,200.98M,-61.94M,,,,,37.22M,-167.07M,0.185M,39.09M,,163.64M,124.14M,159.98M,,454.37M,,-126.41M,0.00,-126.41M,-20.42M,-37.58M,,-184.42M,,,,-592.49M,51.27M,-385.00M,-333.72M,,,,606.18M,-320.03M,,2.608B,-50.07M,34.29M,2.592B,,51.27M,,,-385.00M,,,,
2006-09,126.18M,,,,,-16.36M,62.86M,138.76M,201.62M,201.62M,20.21M,,,,,47.47M,-24.45M,-0.313M,2.736M,,-128.72M,48.26M,-102.48M,,276.64M,,-89.41M,86.90M,-2.509M,-2.944M,68.89M,,63.44M,,,,72.49M,77.50M,-974.96M,-897.46M,,,,-588.49M,-1.413B,,3.686B,-1.073B,-4.358M,2.608B,,77.50M,,,-974.96M,,,,
2006-06,100.53M,,,,,-0.50M,63.52M,143.35M,206.88M,206.88M,-37.33M,,,,,42.94M,144.07M,8.47M,-16.75M,,-22.84M,-57.23M,55.72M,,368.24M,,-147.07M,,-147.07M,-1.646M,134.58M,,-14.14M,,,,1.475B,366.58M,-891.36M,-524.78M,,,,1.893M,952.39M,,2.316B,1.306B,63.40M,3.686B,,366.58M,,,-891.36M,,,,
2006-03,118.81M,,,,,-376.70M,56.05M,126.36M,182.40M,182.40M,-21.91M,,,,,417.92M,54.39M,-11.99M,-44.04M,0.052M,-494.66M,662.78M,166.52M,,487.04M,,-72.14M,,-71.14M,-344.38M,458.05M,,42.53M,,,,0.00,79.50M,-153.96M,-74.46M,,,,,-74.46M,,1.839B,455.11M,21.27M,2.316B,,79.50M,,,-153.96M,,,,
2005-12,90.73M,,,,,375.25M,54.33M,146.81M,201.13M,201.13M,-77.38M,,,,,-361.80M,-251.37M,-22.47M,34.40M,-0.052M,508.62M,23.51M,292.64M,,520.58M,,-120.54M,,-120.54M,-237.87M,1.634B,,1.276B,,,,0.00,49.41M,-1.794B,-1.745B,,,,,-1.745B,,1.806B,51.69M,-18.85M,1.839B,,49.41M,,,-1.794B,,,,
2005-09,-251.33M,,,,,-5.267M,58.25M,167.65M,225.90M,225.90M,-94.76M,,,,,363.34M,72.98M,1.365M,34.90M,5.101M,1.416M,-36.10M,79.66M,,317.54M,,-54.16M,,-54.16M,1.141B,1.572B,,2.659B,,,,-491.46M,42.24M,-1.676B,-1.633B,,,,,-2.125B,,948.38M,851.30M,6.721M,1.806B,,42.24M,,,-1.676B,,,,
2005-06,198.63M,,,,,6.835M,22.58M,7.797M,30.38M,30.38M,-8.62M,,,,,-1.549M,36.56M,3.267M,14.91M,-5.101M,-63.60M,,-13.96M,,211.72M,,-27.58M,,-27.58M,-17.96M,-311.60M,,-357.14M,,,,,38.42M,-4.672M,33.74M,,,,,33.74M,,1.091B,-111.67M,-31.38M,948.38M,,38.42M,,,-4.672M,,,,
2005-03,119.68M,,,,,-86.77M,25.89M,13.09M,38.98M,38.98M,64.68M,,,,,,31.04M,2.305M,-64.54M,3.942M,-167.70M,,99.58M,,354.18M,,-25.12M,,-25.12M,-0.942M,393.24M,,366.37M,,,,,18.95M,-11.97M,6.981M,,,,,6.981M,,657.29M,727.53M,-15.09M,1.091B,,18.95M,,,-11.97M,,,,
2004-12,163.58M,,,,,25.50M,21.51M,6.079M,27.59M,27.59M,-3.212M,,,,,,22.20M,-0.579M,46.54M,14.08M,88.29M,,170.53M,,383.98M,,-27.37M,,-27.37M,-94.67M,-211.41M,,-333.45M,,,,,49.70M,-59.99M,-10.29M,,,,,-10.29M,,588.57M,40.24M,28.47M,657.29M,,49.70M,,,-59.99M,,,,
2004-09,135.62M,,,,,41.35M,23.52M,9.492M,33.02M,33.02M,-0.058M,,,,,,-75.50M,-5.781M,15.84M,-12.82M,108.04M,,29.78M,,239.71M,,-20.13M,,-20.13M,-32.53M,-94.69M,,-147.35M,,,,,49.14M,-59.97M,-10.83M,,,,,-10.83M,,504.77M,81.53M,2.274M,588.57M,,49.14M,,,-59.97M,,,,
2004-06,117.28M,,,,,23.67M,19.92M,7.939M,27.85M,27.85M,-0.554M,,,,,,18.63M,0.434M,1.19M,-5.196M,46.28M,,61.34M,,229.59M,,-18.91M,,-18.91M,-296.07M,-233.74M,,-548.72M,,,,,42.13M,-59.99M,-17.85M,,,,,-17.85M,,839.16M,-336.99M,2.602M,504.77M,,42.13M,,,-59.99M,,,,
2004-03,116.93M,,,,,18.57M,19.88M,12.90M,32.78M,32.78M,27.73M,,,,,,-29.56M,-0.547M,-34.55M,-5.482M,216.36M,,146.22M,,339.93M,,-28.01M,,-28.01M,-106.21M,-47.36M,-3.972M,-185.54M,,,,,37.70M,,-22.30M,,,,,-22.30M,,719.85M,132.08M,-12.77M,839.16M,,37.70M,,,,,,,
2003-12,111.48M,,,,,17.77M,19.34M,1.566M,20.90M,20.90M,-0.153M,,,,,,15.53M,-2.591M,18.61M,2.173M,107.54M,,141.26M,,291.25M,,-19.58M,,-19.58M,-159.83M,69.60M,0.089M,-109.72M,,,,,35.54M,,35.54M,,,,,35.54M,,546.74M,217.07M,-43.95M,719.85M,,35.54M,,,,,,,
2003-09,83.43M,,,,,21.45M,19.48M,15.43M,34.92M,34.92M,-0.563M,,,,,,-93.13M,-7.427M,11.61M,-7.767M,117.41M,,20.70M,,159.93M,,-40.86M,,-40.86M,-20.83M,-102.83M,-48.58M,-213.10M,,,,,61.70M,,61.70M,,,,,61.70M,,467.86M,8.533M,70.34M,546.74M,,61.70M,,,,,,,
2003-06,58.78M,,,,,17.71M,17.18M,11.44M,28.63M,28.63M,0.171M,,,,,,24.48M,2.262M,-3.515M,-8.764M,-8.252M,,6.208M,,111.50M,,-22.76M,,-22.76M,,26.49M,-12.67M,-8.935M,,,,,54.22M,,54.22M,,,,,54.22M,,294.61M,156.78M,16.48M,467.86M,,54.22M,,,,,,,
2003-03,68.14M,,,,,15.43M,16.00M,8.959M,24.96M,24.96M,-5.127M,,,,,,45.90M,4.853M,-8.12M,-2.901M,65.31M,,105.05M,,208.46M,,-137.77M,,-137.77M,-7.823M,-126.45M,10.52M,-261.52M,,,,,48.44M,64.33M,112.77M,,,,,48.44M,,295.92M,-4.617M,3.299M,294.61M,,48.44M,,,64.33M,,,,
2002-12,71.73M,,,,,17.32M,14.93M,11.15M,26.09M,26.09M,0.17M,,,,,,-36.85M,-2.268M,-5.316M,-2.098M,114.39M,,67.86M,,183.17M,,-14.05M,,-14.05M,0.00,-201.91M,-2.70M,-218.66M,,,,,57.46M,0.00,57.46M,,,,,57.46M,,268.93M,21.97M,5.029M,295.92M,,57.46M,,,0.00,,,,
2002-09,51.99M,,,,,15.09M,14.04M,9.911M,23.95M,23.95M,-0.452M,,,,,,-21.15M,-2.708M,4.168M,0.223M,25.28M,,5.814M,,96.40M,,-18.15M,,-18.15M,-367.43M,266.29M,-4.753M,-124.04M,,,,,11.37M,-64.33M,-52.96M,,,,,-52.96M,,357.40M,-80.60M,-7.873M,268.93M,,11.37M,,,-64.33M,,,,
2002-06,56.57M,,,,,1.727M,11.82M,8.91M,20.72M,20.72M,1.016M,,,,,,-35.63M,2.346M,-5.036M,-0.017M,54.18M,,15.84M,,95.88M,,-24.43M,,-24.43M,-0.059M,-132.68M,4.753M,-152.42M,,,,,20.44M,,20.44M,,,,,20.44M,,379.24M,-36.10M,14.27M,357.40M,,20.44M,,,,,,,
2002-03,4.779M,,,,,-28.97M,11.46M,61.22M,72.68M,72.68M,,,,,,,64.72M,4.458M,-2.241M,3.047M,28.14M,,144.36M,,206.33M,,-46.46M,,-46.46M,-5.036M,-453.29M,0.775M,-504.01M,,,,0.00,50.41M,0.00,50.41M,,,,,50.41M,,628.68M,-247.28M,-2.167M,379.24M,,50.41M,,,0.00,,,,
2001-12,0.10M,,,,,7.985M,13.39M,57.74M,71.13M,71.13M,,,,,,,-15.14M,-4.936M,12.42M,1.025M,114.80M,,108.18M,,187.39M,,-49.44M,,-49.44M,-3.636M,-278.08M,4.636M,-326.51M,,,,584.62M,20.76M,0.00,20.76M,,,,,605.38M,,165.83M,466.26M,-3.408M,628.68M,,20.76M,,,0.00,,,,
2001-09,-11.81M,,,,,24.40M,5.645M,57.41M,63.06M,63.06M,,,,,,,-22.03M,-4.509M,4.574M,4.158M,5.576M,,-12.23M,,63.41M,,-16.87M,,-16.87M,,114.64M,4.348M,102.12M,,,,,3.729M,-204.42M,-200.69M,,,,,-200.69M,,204.88M,-35.16M,-3.882M,165.83M,,3.729M,,,-204.42M,,,,
2001-06,-21.22M,,,,,3.426M,8.275M,57.73M,66.00M,66.00M,,,,,,,-0.925M,3.349M,-10.34M,-2.056M,15.83M,,5.858M,,54.07M,,-28.09M,,-28.09M,,-101.94M,-10.82M,-140.86M,,,,,58.96M,,58.96M,,,,,58.96M,,227.92M,-27.82M,4.775M,204.88M,,58.96M,,,,,,,
2001-03,-27.45M,,,,,22.83M,,,70.82M,70.82M,-13.27M,,,,,,-2.952M,-1.313M,8.576M,-3.267M,48.91M,,58.34M,,111.27M,,-27.22M,,-27.22M,0.00,137.13M,-2.699M,107.21M,,,,-0.363M,22.82M,,-221.59M,,,,,-221.95M,,255.54M,-3.469M,-8.117M,227.92M,,22.82M,,,,,,,
2000-12,13.87M,,,,,23.70M,,,19.46M,19.46M,-4.013M,,,,,,2.951M,-1.708M,-5.248M,3.94M,39.58M,,39.51M,,92.54M,,-8.689M,,-8.689M,37.41M,56.75M,-8.588M,76.89M,,,,0.181M,7.627M,,7.627M,,,,,7.808M,,77.53M,177.23M,0.779M,255.54M,,7.627M,,,,,,,
2000-09,39.11M,,,,,,,,14.53M,14.53M,0.10M,,,,,,-43.20M,-0.454M,5.936M,1.211M,10.08M,,-26.43M,,27.31M,,-16.96M,,-16.96M,,-92.99M,-7.659M,-117.61M,,,,0.00,4.231M,,4.231M,,,,,4.231M,,149.03M,-86.07M,-1.462M,77.53M,,4.231M,,,,,,,
2000-06,38.40M,,,,,,,,16.02M,16.02M,-1.151M,,,,,,-4.962M,3.085M,5.292M,-3.101M,39.82M,,40.14M,,93.40M,,-8.30M,,-8.30M,,-40.65M,6.686M,-42.26M,,,,-0.181M,11.76M,,11.76M,,,,,11.57M,,87.97M,62.71M,-1.652M,149.03M,,11.76M,,,,,,,
2000-03,31.55M,,,,,4.275M,,,11.31M,11.31M,0.037M,,,,,-0.10M,-2.205M,1.85M,1.737M,-7.292M,-49.10M,,2.35M,,49.42M,,-5.255M,0.00,-5.255M,,-156.76M,22.14M,-181.98M,,,,-0.592M,19.91M,-0.03M,19.88M,,,,,19.29M,,213.60M,-113.26M,-2.328M,87.97M,,19.91M,,,-0.03M,,,,
1999-12,89.00M,,,,,-84.70M,,,11.10M,11.10M,-24.50M,,,,,0.70M,33.70M,-1.90M,-4.50M,0.00,65.80M,,93.10M,,84.70M,,34.70M,75.00M,109.70M,,-155.10M,-43.60M,-89.00M,,,,0.00,25.50M,0.00,25.50M,,,,0.10M,25.60M,,192.70M,21.30M,-0.50M,213.60M,,25.50M,,,0.00,,,,
1999-09,25.90M,,,,,1.20M,,,16.20M,16.20M,-2.00M,,,,,-0.70M,-19.10M,0.00,6.80M,0.40M,5.10M,,-6.80M,,33.80M,,-50.80M,,-50.80M,,2.90M,-9.60M,-57.50M,,,,-0.10M,16.10M,0.00,16.10M,,,,-0.10M,15.90M,,0.00,-7.80M,1.10M,192.70M,,16.10M,,,0.00,,,,
1999-06,23.70M,,,,,,,,12.00M,12.00M,0.20M,,,,,0.10M,14.10M,-0.10M,-5.50M,0.20M,11.60M,,20.30M,,56.30M,,-7.10M,,-7.10M,,19.60M,-14.50M,-2.00M,,,,-0.40M,9.80M,-18.70M,-8.90M,,,,,-9.30M,,153.90M,45.00M,0.60M,0.00,,9.80M,,,-18.70M,,,,
1999-03,24.80M,,,,,1.675M,,,9.994M,9.994M,-6.328M,,,,,,-17.59M,0.303M,-1.131M,0.87M,18.84M,,7.492M,,37.63M,,-5.941M,,-5.941M,,-24.00M,7.221M,-22.72M,,,,,2.652M,-0.041M,2.611M,,,,,-22.39M,,150.20M,-7.476M,1.226M,143.86M,,2.652M,,,-0.041M,,,,
1998-12,15.80M,,,,,7.80M,,,10.70M,10.70M,0.00,,,,,0.20M,10.50M,-2.20M,-1.50M,-0.50M,2.60M,,8.90M,,43.40M,,-5.80M,,-5.80M,,87.40M,-45.60M,36.00M,,,,,5.50M,-16.50M,-11.00M,,,,,-11.00M,,82.30M,68.40M,-0.50M,150.20M,,5.50M,,,-16.50M,,,,
1998-09,2.00M,,,,,5.10M,,,8.10M,8.10M,-0.50M,,,,,-0.20M,-3.00M,-0.70M,2.50M,-0.90M,-1.80M,,-3.90M,,10.60M,,29.30M,,29.30M,,4.10M,-45.10M,-11.70M,,,,,1.40M,-39.80M,-38.40M,,,,,-38.40M,,0.00,-39.50M,-3.30M,82.30M,,1.40M,,,-39.80M,,,,
1998-06,7.60M,,,,,14.10M,,,7.40M,7.40M,-1.70M,,,,,,3.60M,-0.40M,1.00M,4.20M,-3.90M,,4.50M,,31.90M,,-42.70M,,-42.70M,,-8.10M,-0.40M,-51.20M,,,,,9.80M,,9.80M,,,,,9.80M,,139.00M,-9.50M,-4.50M,0.00,,9.80M,,,,,,,
1998-03,24.09M,,,,,-0.175M,,,6.497M,6.497M,-7.015M,,,,,,-3.873M,0.64M,0.668M,2.905M,12.64M,,19.98M,,43.38M,,-6.239M,,-6.239M,,-21.33M,7.252M,-20.31M,,,,,9.408M,-0.046M,9.362M,,,,,9.362M,,0.00,32.42M,-0.27M,139.01M,,9.408M,,,-0.046M,,,,
1997-12,21.90M,,,,,0.30M,,,6.90M,6.90M,0.00,,,,,,-9.50M,-1.60M,3.20M,-4.40M,6.90M,,-5.40M,,23.70M,,-5.70M,,-5.70M,,-8.50M,-3.60M,-17.80M,,,,,8.70M,-12.90M,-4.20M,,,,,-4.20M,,0.00,1.70M,-1.50M,0.00,,8.70M,,,-12.90M,,,,
1997-09,20.60M,,,,,1.10M,,,6.90M,6.90M,0.10M,,,,,-1.20M,-15.80M,0.90M,1.10M,1.00M,11.90M,,-0.90M,,26.60M,,-7.40M,,-7.40M,,-24.90M,-4.30M,-36.60M,,,,,6.30M,0.00,6.30M,,,,,6.30M,,0.00,-3.70M,-1.40M,0.00,,6.30M,,,0.00,,,,
1997-06,18.50M,,,,,,,,6.40M,6.40M,,,,,,1.20M,6.30M,1.10M,0.60M,-1.90M,5.00M,,11.10M,,37.20M,,-7.00M,,-7.00M,,-14.00M,-0.30M,-21.30M,,,,,8.70M,-8.40M,0.30M,,,,,0.30M,,95.80M,16.20M,-0.20M,0.00,,8.70M,,,-8.40M,,,,
1997-03,8.20M,,,,,,,,11.60M,11.60M,-1.70M,,,,,4.60M,12.80M,0.50M,5.10M,-9.20M,-9.00M,,0.20M,,26.50M,,-4.90M,,-4.90M,,12.50M,,7.60M,,,,0.20M,6.10M,,6.10M,,,,,6.30M,,0.00,40.40M,-1.20M,0.00,,6.10M,,,,,,,
1996-12,13.90M,,,,,,,,6.90M,6.90M,1.50M,,,,,-6.90M,-8.40M,-2.50M,2.30M,2.10M,30.80M,,24.30M,,39.70M,,-1.30M,,-1.30M,,-8.60M,0.10M,-9.80M,,,,-0.10M,1.10M,,1.10M,,,,0.10M,1.10M,,0.00,31.00M,1.00M,0.00,,1.10M,,,,,,,
1996-09,0.90M,,,,,,,,8.10M,8.10M,0.20M,,,,,2.20M,-4.60M,3.40M,1.10M,3.50M,-0.30M,,3.10M,,14.50M,,-13.70M,,-13.70M,,-12.10M,0.00,-25.80M,,,,0.00,0.40M,,0.40M,,,,-0.10M,0.30M,,0.00,-11.00M,0.10M,0.00,,0.40M,,,,,,,
1996-06,3.00M,,,,,,,,6.60M,6.60M,,,,,,0.20M,11.80M,2.00M,-1.10M,,-8.80M,,3.90M,,13.70M,,-8.00M,,-8.00M,,-16.10M,-0.10M,-24.20M,,,,-0.10M,4.10M,,4.10M,,,,,4.00M,,41.80M,-6.50M,0.20M,0.00,,4.10M,,,,,,,
1996-03,7.90M,,,,,,,,2.50M,2.50M,0.50M,,,,,-4.70M,16.80M,0.50M,-2.00M,-5.50M,-14.40M,,-4.60M,,9.80M,,-7.90M,,-7.90M,,0.30M,2.00M,-5.60M,,,,0.10M,0.70M,,0.70M,,,,,0.80M,,0.00,5.00M,2.20M,0.00,,0.70M,,,,,,,
1995-12,-72.30M,,,,,,,,26.70M,26.70M,-5.70M,,,,,5.00M,15.80M,4.70M,-2.30M,0.20M,9.30M,,27.70M,,-18.60M,,-10.80M,,-10.80M,,16.60M,-0.90M,4.90M,,,,0.00,4.90M,,4.90M,,,,,4.90M,,0.00,-8.80M,0.40M,0.00,,4.90M,,,,,,,
1995-09,12.90M,,,,,,,,4.90M,4.90M,2.40M,,,,,-0.10M,-18.00M,-4.60M,3.50M,-2.50M,10.90M,,-10.70M,,9.40M,,-10.00M,,-10.00M,,3.10M,-1.10M,-8.00M,,,,0.10M,8.30M,,8.30M,,,,,8.40M,,0.00,9.80M,0.30M,0.00,,8.30M,,,,,,,
1995-06,11.70M,,,,,,,,4.80M,4.80M,1.80M,,,,,-0.10M,4.50M,0.90M,-1.60M,0.50M,-12.10M,,-7.80M,,10.40M,,-7.50M,,-7.50M,,-5.80M,,-13.30M,,,,-0.20M,6.40M,,6.40M,,,,,6.20M,,22.80M,3.30M,-0.60M,0.00,,6.40M,,,,,,,
1995-03,10.40M,,,,,,,,3.60M,3.60M,2.80M,,,,,1.30M,-8.30M,1.50M,3.20M,0.30M,3.00M,,-0.30M,,17.80M,,-12.70M,,-12.70M,,-18.00M,6.70M,-24.00M,,,,-0.20M,8.70M,,8.70M,,,,0.10M,8.60M,,0.00,2.40M,-2.30M,22.80M,,8.70M,,,,,,,
1994-12,9.10M,,,,,,,,4.10M,4.10M,2.20M,,,,,,3.90M,-0.60M,-3.20M,10.40M,-0.10M,,10.40M,,25.80M,,-3.30M,,-3.30M,,-23.40M,-2.00M,-28.70M,,,,-0.20M,6.10M,,6.10M,,,,-0.10M,5.80M,,0.00,2.90M,0.40M,0.00,,6.10M,,,,,,,
1994-09,8.00M,,,,,,,,7.60M,7.60M,2.90M,,,,,-1.00M,-6.80M,0.50M,0.50M,-1.90M,-9.50M,,-17.20M,,0.30M,,-3.30M,,-3.30M,,-1.90M,-3.40M,-8.60M,,,,-0.30M,1.90M,,1.90M,,,,0.10M,1.70M,,0.00,-6.60M,0.40M,0.00,,1.90M,,,,,,,
1994-06,1.00M,,,,,,,,4.50M,4.50M,0.20M,,,,,1.00M,7.90M,2.50M,-10.90M,-1.10M,1.10M,,-0.50M,,6.20M,,-2.60M,,-2.60M,,-11.50M,-1.30M,-15.40M,,,,-0.20M,3.10M,,3.10M,,,,-0.10M,2.80M,,32.90M,-6.40M,-0.90M,0.00,,3.10M,,,,,,,
1994-03,7.20M,,,,,,,,13.00M,13.00M,2.90M,,,,,0.00,-7.70M,0.20M,3.90M,3.70M,-8.80M,,-8.70M,,14.40M,,-6.60M,,-6.60M,,11.90M,0.90M,6.20M,,,,-0.60M,-3.50M,,-3.50M,,,,-0.10M,-4.20M,,0.00,16.40M,-0.10M,0.00,,-3.50M,,,,,,,
1993-12,-13.60M,,,,,,,,4.80M,4.80M,-2.30M,,,,,-16.40M,1.70M,2.20M,-6.40M,9.10M,7.10M,,13.70M,,-13.80M,,1.10M,,1.10M,,-16.50M,-0.90M,-16.30M,,,,-10.80M,13.70M,,13.70M,,,,,2.90M,,0.00,-27.20M,-0.30M,0.00,,13.70M,,,,,,,
1993-09,2.40M,,,,,,,,3.80M,3.80M,0.20M,,,,,-0.10M,-3.20M,-0.30M,6.20M,-3.70M,-2.40M,,-3.40M,,2.90M,,-3.20M,,-3.20M,,5.80M,0.50M,3.10M,,,,-0.20M,4.20M,,4.20M,,,,-0.10M,3.90M,,0.00,9.90M,-0.30M,0.00,,4.20M,,,,,,,
1993-06,-7.10M,,,,,,,,3.70M,3.70M,-2.00M,,,,,0.10M,3.40M,0.90M,-8.50M,1.90M,5.40M,,3.10M,,-2.20M,,-1.60M,,-1.60M,,-26.60M,-0.40M,-28.60M,,,,-0.30M,2.10M,,2.10M,,,,0.10M,1.90M,,51.50M,-28.90M,,0.00,,2.10M,,,,,,,
1993-03,-1.40M,,,,,,,,7.20M,7.20M,-3.30M,,,,,1.90M,-6.30M,0.20M,5.40M,-0.50M,3.00M,,1.80M,,6.20M,,-2.80M,,-2.80M,,8.20M,-0.20M,5.20M,,,,25.20M,-3.00M,,-3.00M,,0.20M,,-0.30M,22.10M,,0.00,33.50M,0.10M,0.00,,-3.00M,,,,,,,
1992-12,-5.00M,,,,,,,,2.00M,2.00M,-2.10M,,,,,0.10M,7.40M,-0.10M,0.10M,0.80M,-0.90M,,7.30M,,2.30M,,-3.30M,,-3.30M,,2.90M,-1.10M,-1.50M,,,,-0.70M,0.90M,,0.90M,,-0.20M,,0.10M,0.10M,,0.00,0.90M,0.00,0.00,,0.90M,,,,,,,
1992-09,-11.50M,,,,,,,,2.90M,2.90M,-1.00M,,,,,-5.80M,2.60M,0.90M,-0.10M,-1.50M,6.60M,,8.50M,,-6.90M,,-3.80M,,-3.80M,,-1.60M,0.20M,-5.20M,,,,0.20M,5.70M,,5.70M,,,,0.10M,6.00M,,0.00,-6.10M,-0.30M,0.00,,5.70M,,,,,,,
1992-06,6.40M,,,,,,,,2.80M,2.80M,2.00M,,,,,0.70M,6.80M,1.30M,-2.60M,-2.70M,-8.20M,,-5.40M,,6.50M,,-5.50M,,-5.50M,,-5.50M,-0.90M,-11.90M,,,,-0.80M,2.40M,,2.40M,,,,-0.10M,1.50M,,25.70M,-3.90M,0.10M,0.00,,2.40M,,,,,,,
1992-03,6.40M,,,,,,,,-0.30M,-0.30M,-6.50M,,,,,2.70M,-7.30M,1.30M,2.50M,-0.20M,18.30M,,14.60M,,16.90M,,-4.40M,,-4.40M,,0.00,1.90M,-2.50M,,,,0.60M,-2.10M,,-2.10M,,,,-0.60M,-2.10M,,0.00,12.30M,-0.50M,0.00,,-2.10M,,,,,,,
1991-12,6.10M,,,,,,,,1.40M,1.40M,0.00,,,,,0.20M,-2.00M,2.80M,-0.10M,-1.50M,3.90M,,3.10M,,10.80M,,-3.20M,,-3.20M,,4.40M,-5.90M,-4.70M,,,,-0.90M,5.30M,,5.30M,,,,0.70M,5.10M,,0.00,11.20M,0.10M,0.00,,5.30M,,,,,,,
1991-09,2.80M,,,,,,,,2.40M,2.40M,-0.70M,,,,,-0.30M,-5.50M,-4.10M,-3.60M,-1.30M,-0.20M,,-14.70M,,-10.50M,,-2.10M,,-2.10M,,-6.10M,0.10M,-8.10M,,,,-0.70M,2.80M,,2.80M,,,,-1.80M,0.30M,,0.00,-18.30M,0.30M,0.00,,2.80M,,,,,,,
1991-06,3.40M,,,,,,,,1.70M,1.70M,-0.80M,,,,,0.10M,-4.50M,-1.40M,3.20M,-2.00M,1.60M,,-3.10M,,1.30M,,-3.00M,,-3.00M,,0.90M,-0.10M,-2.20M,,,,-0.20M,1.10M,,1.10M,,,,,0.90M,,19.40M,,,0.00,,1.10M,,,,,,,
1991-03,4.70M,,,,,,,,1.30M,1.30M,1.00M,,,,,-0.10M,-4.60M,-0.40M,2.10M,0.20M,-1.40M,,-4.10M,,2.80M,,-1.40M,,-1.40M,,,,-7.40M,,,,-0.30M,5.50M,,5.50M,,,,0.10M,5.30M,,0.00,0.70M,,0.00,,5.50M,,,,,,,
1990-12,3.90M,,,,,,,,1.10M,1.10M,-0.60M,,,,,-0.10M,-3.00M,-0.40M,0.50M,-1.60M,-0.80M,,-5.30M,,-1.00M,,-1.00M,,-1.00M,,,,-1.00M,,,,-0.10M,3.20M,,3.20M,,,,-1.70M,1.40M,,0.00,-0.60M,,0.00,,3.20M,,,,,,,
1990-09,-1.30M,,,,,,,,1.10M,1.10M,-0.80M,,,,,0.10M,-2.40M,-1.00M,1.80M,-0.20M,2.80M,,1.00M,,0.10M,,-1.20M,,-1.20M,,,,-1.20M,,,,-5.20M,0.60M,,0.60M,,,,-0.70M,-5.30M,,0.00,-6.40M,,0.00,,0.60M,,,,,,,
1990-06,2.10M,,,,,,,,0.70M,0.70M,-0.30M,,,,,-0.10M,0.20M,-0.60M,1.50M,-0.10M,-0.20M,,0.80M,,3.20M,,-1.90M,,-1.90M,,,,-1.90M,,,,-0.70M,0.10M,,0.10M,,,,-0.10M,-0.70M,,21.50M,0.60M,,0.00,,0.10M,,,,,,,
1990-03,2.00M,,,,,,,,1.10M,1.10M,0.20M,,,,,0.00,1.00M,-0.40M,1.70M,-1.30M,-0.40M,,0.60M,,3.90M,,-1.50M,,-1.50M,,,,-1.50M,,,,-0.10M,0.20M,0.00,0.20M,,,,0.00,0.10M,,0.00,2.50M,,0.00,,0.20M,,,0.00,,,,
1989-12,1.80M,,,,,,,,0.50M,0.50M,-0.50M,,,,,-0.20M,0.10M,0.30M,-1.00M,0.30M,0.70M,,0.40M,,2.00M,,-0.40M,,-0.40M,,,,-0.40M,,,,-0.10M,0.00,0.00,0.00,,,,0.10M,0.00,,0.00,1.60M,,0.00,,0.00,,,0.00,,,,
1989-09,1.70M,,,,,,,,0.50M,0.50M,-0.50M,,,,,-0.10M,-1.20M,-0.50M,0.70M,0.00,1.50M,,0.50M,,2.10M,,-0.50M,,-0.50M,,,,-0.50M,,,,-0.10M,0.10M,0.00,0.10M,,,,,0.00,,0.00,1.60M,,0.00,,0.10M,,,0.00,,,,
