,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2016-06,72.68B,23.74B,96.42B,27.50B,13.09B,,,27.16B,123.58B,150.71B,79.18B,35.81B,114.98B,13.09B,142.42B,464.50B,592.82B,,,,,,33.61B,,2.172B,2.172B,2.172B,35.78B,99.24B,99.24B,72.18B,72.18B,,,81.92B,14.77B,4.626B,3.233B,,272.74B,326.56B,,8.00M,198.29B,35.71B,1.763B,30.78B,263.02B,,AOR,Restated
2016-03,58.34B,24.52B,82.86B,27.52B,12.92B,,,27.19B,110.05B,149.54B,79.11B,35.91B,115.02B,12.92B,153.21B,473.17B,586.32B,,,,,,32.81B,,2.565B,2.565B,2.565B,35.37B,98.97B,98.97B,70.96B,70.96B,,,81.84B,14.83B,4.646B,3.176B,,271.26B,324.48B,,8.00M,193.29B,35.67B,1.763B,31.45B,258.66B,,AOR,Restated
2015-12,71.73B,25.99B,97.72B,23.67B,12.77B,,,23.30B,121.02B,145.17B,62.71B,9.797B,72.50B,12.77B,160.35B,428.14B,552.26B,,,,,,31.27B,,1.989B,1.989B,1.989B,33.26B,82.30B,82.30B,63.13B,63.13B,,,80.27B,13.31B,3.836B,3.077B,,242.84B,293.63B,,8.00M,187.70B,35.62B,1.763B,33.98B,255.55B,,AOR,Restated
2015-09,66.26B,27.12B,93.38B,24.81B,12.69B,,,24.48B,117.86B,143.33B,62.69B,10.20B,72.89B,12.69B,159.79B,434.15B,545.47B,,,,,,41.74B,,1.909B,1.909B,1.909B,43.65B,83.00B,83.00B,62.27B,62.27B,,,72.28B,14.25B,4.43B,3.038B,,236.23B,294.15B,,8.00M,182.22B,35.61B,1.763B,32.20B,248.28B,,AOR,Restated
2015-06,66.59B,27.22B,93.81B,24.93B,12.59B,,,24.61B,118.42B,140.88B,62.80B,10.45B,73.24B,12.59B,155.26B,427.59B,540.77B,,,,,,41.62B,,2.102B,2.102B,2.102B,43.72B,82.48B,82.48B,62.68B,62.68B,,,71.66B,13.27B,3.666B,3.159B,,233.75B,291.57B,,8.00M,172.80B,35.58B,1.763B,39.42B,246.04B,,AOR,Restated
2015-03,63.71B,27.37B,91.08B,24.31B,12.47B,,,24.01B,115.08B,138.74B,62.88B,10.29B,73.17B,12.47B,153.47B,422.48B,531.08B,,,,,,39.80B,,1.918B,1.918B,1.918B,41.72B,81.88B,81.88B,61.61B,61.61B,,,70.62B,13.53B,3.503B,3.381B,,231.14B,286.24B,,8.00M,168.78B,35.56B,1.763B,38.86B,241.46B,,AOR,Restated
2014-12,63.27B,27.40B,90.67B,22.16B,12.57B,,,21.85B,112.52B,137.24B,60.71B,9.906B,70.62B,12.57B,155.88B,410.65B,525.87B,,,,,,30.56B,,839.00M,839.00M,839.00M,31.40B,79.05B,79.05B,61.24B,61.24B,,,78.31B,11.94B,4.81B,2.857B,,235.35B,282.84B,,8.00M,163.62B,35.57B,1.763B,42.73B,240.17B,,AOR,Restated
2014-09,62.38B,28.72B,91.10B,24.37B,12.54B,,,24.02B,115.12B,129.80B,58.67B,9.841B,68.51B,12.54B,158.20B,411.79B,517.36B,,,,,,39.94B,,20.15B,20.15B,20.15B,60.09B,54.66B,54.66B,61.11B,61.11B,,,71.20B,12.70B,4.667B,2.846B,,204.34B,277.06B,,8.00M,159.46B,35.56B,1.763B,44.19B,237.46B,,AOR,Restated
2014-06,55.46B,29.18B,84.63B,23.35B,12.52B,,,23.00B,107.63B,127.64B,58.79B,9.732B,68.52B,12.52B,159.34B,408.01B,504.38B,,,,,,37.67B,,18.77B,18.77B,18.77B,56.44B,55.32B,55.32B,60.60B,60.60B,,,65.61B,12.39B,4.925B,2.755B,,198.85B,267.62B,,8.00M,154.85B,35.49B,1.763B,45.42B,234.00B,,AOR,Restated
2014-03,48.95B,29.10B,78.05B,23.07B,12.46B,,,22.72B,100.77B,125.08B,58.26B,9.893B,68.16B,12.46B,158.74B,404.14B,494.94B,,,,,,36.68B,,978.00M,978.00M,978.00M,37.66B,72.24B,72.24B,60.00B,60.00B,,,65.43B,12.27B,5.095B,2.677B,,215.04B,264.66B,,8.00M,148.45B,35.46B,1.363B,45.05B,227.61B,,AOR,Restated
2013-12,48.19B,28.78B,76.97B,20.64B,12.83B,,,20.28B,97.25B,123.80B,57.01B,9.183B,66.19B,12.83B,157.87B,398.51B,484.93B,,,,,,37.84B,,949.00M,949.00M,949.00M,38.78B,71.28B,71.28B,57.74B,57.74B,,,64.87B,10.77B,5.331B,2.595B,,209.98B,260.45B,,8.00M,143.75B,35.47B,1.363B,44.02B,221.89B,,AOR,Restated
2013-09,42.08B,28.87B,70.95B,27.52B,12.84B,,,27.14B,98.10B,110.56B,54.74B,9.539B,64.27B,12.84B,134.43B,359.85B,458.08B,,,,,,36.39B,,1.063B,1.063B,1.063B,37.45B,64.69B,64.69B,50.85B,50.85B,,,64.82B,11.67B,5.847B,3.049B,,197.87B,246.65B,,8.00M,138.76B,36.08B,1.363B,34.90B,208.38B,,AOR,Restated
2013-06,35.70B,28.76B,64.45B,22.34B,12.86B,,,21.96B,86.41B,108.35B,54.37B,9.479B,63.85B,12.86B,131.44B,354.19B,446.56B,,,,,,35.53B,,1.281B,1.281B,1.281B,36.81B,62.67B,62.67B,49.55B,49.55B,,,64.42B,11.36B,6.241B,2.972B,,194.24B,241.58B,,8.00M,133.70B,36.10B,1.363B,33.56B,202.02B,,AOR,Restated
2013-03,49.09B,30.60B,79.69B,23.85B,12.75B,,,23.47B,103.16B,107.27B,54.41B,,54.41B,12.75B,127.26B,347.81B,442.30B,,,,,,34.38B,,1.354B,1.354B,1.354B,35.74B,61.90B,61.90B,49.60B,49.60B,,,64.34B,11.50B,6.721B,4.035B,,194.06B,240.20B,,8.00M,129.16B,37.27B,1.363B,32.99B,198.07B,,AOR,Restated
2012-12,46.99B,36.71B,83.70B,22.14B,12.81B,,,21.75B,105.45B,106.87B,54.52B,9.993B,64.52B,12.81B,125.22B,343.64B,427.45B,,,,,,35.36B,,1.416B,1.416B,1.416B,36.78B,61.32B,61.32B,44.49B,44.49B,,,64.16B,10.24B,7.933B,3.941B,,188.14B,235.86B,,8.00M,124.27B,37.23B,1.363B,27.50B,187.65B,,AOR,Restated
2012-09,47.78B,,47.78B,19.00B,13.23B,,,18.62B,66.40B,104.85B,54.14B,,54.14B,13.23B,118.98B,350.29B,424.12B,,,,,,33.11B,,,,,33.11B,62.51B,62.51B,44.51B,44.51B,,,63.38B,11.04B,10.09B,4.472B,,191.54B,235.04B,,8.00M,119.72B,37.89B,67.00M,27.05B,184.60B,,AOR,Restated
2012-06,40.66B,,40.66B,18.67B,13.66B,,,18.30B,58.96B,102.83B,53.14B,,53.14B,13.66B,116.70B,330.82B,411.36B,,,,,,31.84B,,,,,31.84B,61.13B,61.13B,42.72B,42.72B,,,63.05B,10.60B,10.14B,4.336B,,187.64B,229.64B,,8.00M,115.80B,37.86B,67.00M,23.78B,177.38B,,AOR,Restated
2012-03,37.83B,,37.83B,18.84B,13.80B,,,18.47B,56.29B,101.73B,53.17B,,53.17B,13.80B,119.69B,332.76B,411.36B,,,,,,32.28B,,,,,32.28B,61.84B,61.84B,43.24B,43.24B,,,63.71B,11.01B,9.055B,4.272B,,188.85B,231.09B,,8.00M,112.69B,37.85B,67.00M,25.52B,176.00B,,AOR,Restated
2011-12,37.30B,31.22B,68.52B,19.39B,13.93B,,,19.01B,87.53B,100.39B,53.21B,,53.21B,13.93B,108.25B,319.42B,392.65B,,,,,,32.71B,,1.49B,1.49B,1.49B,34.20B,58.89B,58.89B,37.80B,37.80B,,,63.82B,8.91B,10.14B,4.111B,,179.57B,223.69B,,8.00M,109.45B,37.81B,67.00M,17.65B,164.85B,,AOR,Restated
2011-09,34.78B,,34.78B,,14.00B,,,19.83B,54.61B,98.45B,53.31B,,53.31B,14.00B,101.27B,310.36B,385.49B,,,,,,31.24B,,,,,31.24B,60.48B,60.48B,37.16B,37.16B,,,63.81B,9.609B,10.42B,3.924B,,181.48B,221.61B,,8.00M,106.40B,37.79B,18.00M,15.78B,159.96B,,AOR,Restated
2011-06,47.89B,,47.89B,,14.20B,,,19.40B,67.29B,94.95B,49.12B,,49.12B,14.20B,102.22B,299.47B,382.70B,,,,,,29.72B,,,,,29.72B,56.72B,56.72B,37.81B,37.81B,,,65.06B,9.63B,8.086B,3.777B,,177.30B,215.91B,,8.00M,104.12B,37.77B,,21.11B,163.01B,,AOR,Restated
2011-03,41.18B,,41.18B,,14.93B,,,19.58B,60.76B,93.77B,49.08B,,49.08B,14.93B,96.89B,293.25B,376.50B,,,,,,29.58B,,,,,29.58B,56.55B,56.55B,37.20B,37.20B,,,62.39B,9.701B,8.087B,4.21B,,173.92B,212.23B,,8.00M,100.70B,37.58B,,21.76B,160.06B,,AOR,Restated
2010-12,38.23B,,38.23B,,,,,20.92B,59.14B,93.13B,49.01B,,49.01B,15.23B,94.70B,290.08B,372.23B,,,,,,29.36B,,,,,29.36B,58.57B,58.57B,36.35B,36.35B,,,60.08B,7.997B,8.371B,5.616B,,171.37B,209.30B,,8.00M,99.19B,37.53B,0.00,20.58B,157.32B,,AOR,Restated
2010-09,34.46B,,34.46B,,15.41B,,,18.08B,52.54B,92.02B,49.20B,,49.20B,15.41B,91.67B,308.39B,363.98B,,,,,,29.36B,,,,,29.36B,58.66B,58.66B,32.61B,32.61B,,,61.17B,9.063B,11.05B,4.926B,,172.56B,209.38B,,8.00M,94.82B,38.12B,,16.72B,149.67B,,AOR,Restated
2010-06,27.95B,,27.95B,,15.67B,,,17.41B,45.36B,91.15B,49.11B,,49.11B,15.67B,87.05B,300.83B,349.19B,,,,,,28.36B,,,,,28.36B,57.97B,57.97B,30.08B,30.08B,,,58.45B,8.874B,10.79B,4.751B,,166.16B,201.67B,,8.00M,91.83B,38.08B,,12.85B,142.76B,,AOR,Restated
2010-03,25.67B,,25.67B,,15.42B,,,17.80B,43.47B,90.51B,48.71B,,48.71B,15.42B,94.83B,309.70B,356.32B,,,,,,28.27B,,,,,28.27B,57.63B,57.63B,34.60B,34.60B,,,59.08B,9.164B,8.667B,4.715B,,169.14B,204.40B,,8.00M,89.86B,38.03B,,19.31B,147.21B,,AOR,Restated
2009-12,30.56B,35.73B,66.29B,15.19B,13.99B,,,14.79B,81.08B,46.66B,33.97B,4.754B,38.73B,13.99B,93.69B,223.92B,297.12B,,,,,,22.36B,,1.607B,1.607B,1.607B,23.97B,36.30B,36.30B,19.22B,19.22B,,,59.42B,7.925B,9.269B,4.683B,,132.14B,161.33B,,8.00M,86.23B,27.07B,,17.79B,131.10B,,AOR,Restated
2009-09,26.92B,,26.92B,,13.51B,,,16.05B,42.97B,47.00B,33.97B,,33.97B,13.51B,92.44B,217.12B,292.01B,,,,,,23.68B,,,,,23.68B,38.02B,38.02B,16.90B,16.90B,,,59.60B,8.753B,10.35B,4.609B,,133.63B,161.33B,,0.00,83.17B,27.09B,,15.82B,126.07B,,AOR,Restated
2009-06,24.51B,,24.51B,,13.63B,,,15.78B,40.29B,47.00B,33.92B,,33.92B,13.63B,81.96B,235.36B,275.65B,,,,,,23.06B,,,,,23.06B,38.78B,38.78B,11.07B,11.07B,,,58.87B,8.831B,12.30B,4.31B,,129.86B,156.81B,,0.00,79.93B,27.09B,,7.505B,114.53B,,AOR,Restated
2009-03,25.55B,,25.55B,,29.72B,,,29.72B,55.27B,45.87B,33.78B,,33.78B,29.72B,70.72B,209.84B,260.54B,,,,,,22.69B,,,,,22.69B,37.82B,37.82B,6.447B,6.447B,,,58.46B,9.137B,15.43B,4.121B,,127.29B,153.62B,,0.00,76.64B,27.09B,,-930.00M,102.80B,,AOR,Restated
2008-12,25.54B,,25.54B,,13.94B,,,14.92B,40.46B,45.16B,33.78B,,33.78B,13.94B,80.70B,205.40B,267.40B,,,,,,23.82B,,,,,23.82B,36.88B,36.88B,10.28B,10.28B,,,56.62B,7.861B,14.61B,4.44B,,126.26B,153.69B,,8.00M,78.17B,27.13B,,3.954B,109.27B,,AOR,Restated
2008-09,33.37B,,33.37B,16.13B,13.77B,,,16.13B,49.50B,44.39B,,33.53B,33.53B,13.77B,110.30B,228.60B,281.73B,,,,,,20.58B,,,,,20.58B,37.56B,37.56B,16.92B,16.92B,,,60.58B,8.162B,9.597B,4.349B,,132.81B,157.22B,,8.00M,77.03B,27.13B,,15.98B,120.16B,,AOR,Restated
2008-06,31.16B,,31.16B,,30.01B,,,30.01B,61.17B,43.71B,,33.52B,33.52B,30.01B,109.41B,242.89B,277.79B,,,,,,21.24B,,,,,21.24B,36.24B,36.24B,16.82B,16.82B,,,60.67B,8.177B,8.432B,4.23B,,130.33B,155.57B,,8.00M,75.97B,27.13B,,14.88B,117.99B,,AOR,Restated
2008-03,35.57B,,35.57B,,28.46B,,,28.46B,64.03B,42.78B,,33.54B,33.54B,28.46B,111.19B,241.62B,281.05B,,,,,,19.80B,,,,,19.80B,36.18B,36.18B,19.37B,19.37B,,,60.65B,8.004B,9.471B,4.274B,,133.67B,157.40B,,8.00M,73.09B,27.10B,,19.17B,119.37B,,AOR,Restated
2007-12,44.33B,,44.33B,,12.36B,,,13.16B,57.49B,36.19B,,32.86B,32.86B,12.36B,106.57B,211.69B,273.16B,,,,,,19.65B,,,,,19.65B,33.83B,33.83B,18.82B,18.82B,,,60.09B,6.68B,6.887B,2.668B,,126.31B,149.76B,,8.00M,72.15B,26.95B,,21.62B,120.73B,,AOR,Restated
2007-09,47.08B,,47.08B,,,,,14.17B,61.25B,35.41B,32.73B,,32.73B,,107.42B,215.26B,276.52B,,,,,,19.97B,,,,,19.97B,34.72B,34.72B,21.52B,21.52B,,,64.20B,7.567B,,2.562B,,128.00B,154.05B,,8.00M,69.21B,26.95B,,23.74B,119.90B,,AOR,Restated
2007-06,46.95B,,46.95B,,,,,14.10B,61.04B,34.57B,32.43B,,32.43B,,101.40B,208.01B,269.05B,,,,,,20.41B,,,,,20.41B,33.60B,33.60B,21.11B,21.11B,,,64.14B,7.505B,,2.433B,,126.36B,151.35B,,8.00M,64.65B,26.93B,,23.68B,115.27B,,AOR,Restated
2007-03,46.03B,,46.03B,,,,,20.34B,66.36B,34.09B,32.61B,,32.61B,,89.63B,195.32B,261.68B,,,,,,19.64B,,,,,19.64B,33.02B,33.02B,19.66B,19.66B,,,64.41B,7.755B,,2.363B,,124.86B,149.42B,,8.00M,61.54B,26.55B,,21.80B,109.89B,,AOR,Restated
2006-12,43.74B,,43.74B,,11.50B,,,12.88B,56.62B,33.34B,,32.24B,32.24B,11.50B,89.84B,189.85B,248.44B,,,,,,19.89B,,,,,19.89B,32.60B,32.60B,19.17B,19.17B,,,51.55B,7.058B,3.883B,2.262B,,114.27B,137.76B,,8.00M,58.91B,26.52B,,22.98B,108.42B,,AOR,Restated
2006-09,42.25B,,42.25B,,,,,13.62B,55.87B,32.32B,32.22B,,32.22B,11.31B,82.96B,184.13B,240.00B,,,,,,17.00B,,,,,17.00B,30.97B,30.97B,17.18B,17.18B,,,54.34B,7.793B,,2.136B,,110.28B,135.62B,,8.00M,55.33B,26.50B,,20.41B,102.24B,,AOR,Restated
2006-06,42.07B,,42.07B,,,,,13.52B,55.59B,30.55B,29.87B,,29.87B,11.19B,81.80B,176.74B,232.33B,,,,,,15.55B,,,,,15.55B,30.56B,30.56B,16.08B,16.08B,,,54.96B,7.795B,,1.853B,,109.39B,132.86B,,8.00M,52.56B,26.48B,,18.57B,97.61B,,AOR,Restated
2006-03,42.86B,,42.86B,,,,,13.10B,55.96B,29.76B,29.50B,,29.50B,11.24B,80.04B,174.25B,230.21B,,,,,,14.96B,,,,,14.96B,30.48B,30.48B,17.08B,17.08B,,,54.72B,7.496B,,1.739B,,109.78B,133.12B,,8.00M,50.21B,26.42B,,18.71B,95.35B,,AOR,Restated
2005-12,44.66B,,44.66B,,11.09B,,,12.40B,57.06B,7.50B,,23.64B,23.64B,11.09B,81.70B,137.88B,198.32B,,,,,,13.05B,,,,,13.05B,14.45B,14.45B,12.25B,12.25B,,,51.80B,6.206B,5.061B,816.00M,,89.77B,106.02B,,8.00M,47.72B,26.40B,,17.36B,91.48B,,AOR,Restated
2005-09,46.03B,,46.03B,,,,,13.10B,59.14B,7.026B,23.65B,,23.65B,11.18B,73.60B,137.57B,196.71B,,,,,,8.968B,,,,,8.968B,14.16B,14.16B,11.41B,11.41B,,1.302B,55.28B,6.882B,,801.00M,,89.03B,106.39B,,8.00M,42.59B,26.36B,,20.56B,89.52B,,AOR,Restated
2005-06,47.76B,,47.76B,,,,,12.48B,60.24B,6.77B,23.21B,,23.21B,,71.06B,134.59B,194.84B,,,,,,8.485B,,,,,8.485B,13.76B,13.76B,11.26B,11.26B,,4.60B,52.08B,6.935B,,778.00M,,88.64B,105.97B,,8.00M,42.00B,26.34B,,19.74B,88.09B,,AOR,Restated
2005-03,46.71B,,46.71B,,,,,12.26B,58.96B,6.583B,23.01B,,23.01B,,68.85B,132.11B,191.08B,,,,,,7.256B,,,,,7.256B,12.39B,12.39B,11.39B,11.39B,,5.425B,51.83B,7.217B,,765.00M,,88.26B,103.85B,,8.00M,40.55B,26.32B,,19.58B,86.46B,,AOR,Restated
2004-12,43.43B,31.30B,74.73B,11.75B,9.175B,,,11.29B,90.26B,6.516B,23.01B,,23.01B,9.175B,72.99B,123.20B,188.87B,,,,,,7.50B,1.139B,,1.139B,1.139B,8.639B,7.698B,7.698B,12.25B,12.25B,1.619B,5.773B,49.17B,6.283B,4.794B,,758.00M,88.35B,102.97B,,8.00M,39.19B,26.27B,,20.44B,85.90B,,AOR,Restated
2004-09,43.02B,,43.02B,,,,,11.72B,54.74B,6.308B,23.03B,,23.03B,,65.70B,127.12B,181.86B,,,,,,6.821B,,,,,6.821B,9.018B,9.018B,11.20B,11.20B,,6.234B,52.28B,6.723B,,728.00M,,85.45B,100.46B,,8.00M,35.85B,26.23B,,18.59B,80.68B,,AOR,Restated
2004-06,40.20B,,40.20B,,,,,11.86B,52.06B,6.247B,22.96B,,22.96B,,74.90B,135.24B,203.43B,,,,,,6.919B,,,,,6.919B,8.222B,8.222B,11.62B,11.62B,,29.42B,50.33B,7.212B,,841.00M,,106.80B,122.15B,,8.00M,34.71B,26.21B,,19.50B,80.44B,,AOR,Restated
