,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2017-06,4.355B,-290.00M,-290.00M,,2.296B,2.296B,,283.00M,-411.00M,,-621.00M,864.00M,675.00M,1.683B,8.327B,,-2.794B,-2.794B,-122.00M,-1.59B,43.00M,-5.465B,,-2.79B,375.00M,-2.415B,,,-69.00M,-2.484B,,26.48B,378.00M,122.00M,26.98B,,411.00M,-3.201B,,,,,AOR,Restated
2017-03,4.139B,-315.00M,-315.00M,,2.243B,2.243B,,120.00M,-1.197B,,-339.00M,-753.00M,-4.332B,12.11B,18.30B,,-2.355B,-2.355B,-1.599B,-18.44B,-181.00M,-22.53B,,1.951B,87.00M,2.038B,,,-23.00M,2.015B,,28.64B,-2.222B,61.00M,26.48B,,4.595B,-2.644B,,,,,AOR,Restated
2016-12,6.355B,-1.91B,-1.91B,,2.296B,2.296B,,-114.00M,143.00M,,,,-1.35B,923.00M,7.55B,,-3.525B,-3.525B,-584.00M,-5.311B,234.00M,-9.05B,,1.21B,-758.00M,452.00M,,,143.00M,595.00M,,29.27B,-905.00M,-162.00M,28.64B,,890.00M,320.00M,,,,,AOR,Restated
2016-09,7.333B,-3.15B,-3.15B,,2.246B,2.246B,,72.00M,-729.00M,,,,2.753B,3.332B,9.833B,,-3.285B,-3.285B,-375.00M,-21.11B,-214.00M,-24.92B,,158.00M,270.00M,428.00M,,,15.00M,443.00M,,43.92B,-14.64B,-12.00M,29.27B,,2.054B,-1.896B,,,,,AOR,Restated
2016-06,5.082B,-643.00M,-643.00M,,2.234B,2.234B,,-347.00M,-729.00M,,,,1.93B,1.484B,7.81B,,-3.301B,-3.301B,-255.00M,-2.914B,-7.00M,-6.396B,,140.00M,71.00M,211.00M,,,-71.00M,140.00M,,42.38B,1.554B,-5.00M,43.92B,,2.273B,-2.133B,,,,,AOR,Restated
2016-03,5.657B,-1.85B,-1.85B,,2.125B,2.125B,,228.00M,-1.987B,,,,351.00M,1.294B,7.454B,,-2.843B,-2.843B,-30.18B,-10.35B,-390.00M,-43.86B,,11.04B,547.00M,11.59B,,,25.00M,11.61B,,67.16B,-24.79B,7.00M,42.38B,,12.03B,-991.00M,,,,,AOR,Restated
2015-12,5.547B,-648.00M,-648.00M,,1.978B,1.978B,,131.00M,1.371B,,,,-1.191B,328.00M,7.336B,,-4.279B,-4.279B,-100.00M,970.00M,144.00M,-3.153B,,-144.00M,130.00M,-14.00M,,,19.00M,5.00M,,66.26B,4.188B,-51.00M,67.16B,,1.145B,-1.289B,,,,,AOR,Restated
2015-09,9.527B,-8.266B,-8.266B,,1.989B,1.989B,,460.00M,-354.00M,,,,5.399B,6.502B,10.21B,,-4.967B,-4.967B,-302.00M,-5.827B,-20.00M,-11.10B,,933.00M,-262.00M,671.00M,,,-69.00M,602.00M,,66.59B,-290.00M,-37.00M,66.26B,,1.248B,-315.00M,,,,,AOR,Restated
2015-06,4.107B,-362.00M,-362.00M,,1.941B,1.941B,,226.00M,-603.00M,,,,2.175B,2.068B,7.98B,,-3.389B,-3.389B,-505.00M,-1.851B,34.00M,-5.612B,,833.00M,-382.00M,451.00M,,,-73.00M,378.00M,,63.71B,2.746B,130.00M,66.59B,,1.266B,-433.00M,,,,,AOR,Restated
2015-03,5.233B,-97.00M,-97.00M,,1.871B,1.871B,,-66.00M,-2.064B,,,,-467.00M,-978.00M,5.963B,,-3.447B,-3.447B,-3.995B,-787.00M,7.00M,-8.132B,,2.792B,136.00M,2.928B,,,-110.00M,2.818B,,63.27B,649.00M,-207.00M,63.71B,,6.223B,-3.431B,,,,,AOR,Restated
2014-12,4.218B,-454.00M,-454.00M,,1.934B,1.934B,,28.00M,1.171B,,,,1.106B,2.127B,7.853B,,-5.013B,-5.013B,-3.755B,-634.00M,-54.00M,-9.36B,,860.00M,710.00M,1.57B,,,-15.00M,1.555B,,62.38B,48.00M,-116.00M,60.03B,,1.512B,-652.00M,,,,,AOR,Restated
2014-09,4.721B,376.00M,376.00M,,1.854B,1.854B,,-120.00M,-246.00M,,,,-763.00M,5.493B,12.32B,,-4.079B,-4.079B,-393.00M,-1.889B,128.00M,-6.142B,,992.00M,-95.00M,897.00M,,,40.00M,937.00M,,55.46B,7.119B,-194.00M,62.38B,,2.655B,-1.663B,,,,,AOR,Restated
2014-06,6.458B,-2.366B,-2.366B,,1.81B,1.81B,,-13.00M,-400.00M,,,,1.176B,1.016B,6.905B,,-3.299B,-3.299B,24.00M,2.184B,48.00M,-969.00M,,247.00M,321.00M,568.00M,,,-18.00M,550.00M,,48.95B,6.486B,21.00M,55.46B,,907.00M,-660.00M,,,,,AOR,Restated
2014-03,4.773B,-1.131B,-1.131B,,1.772B,1.772B,,-236.00M,-2.415B,,,,194.00M,-250.00M,4.928B,,-2.794B,-2.794B,-700.00M,-1.018B,214.00M,-3.855B,,965.00M,-4.00M,961.00M,,,-1.272B,-311.00M,,48.19B,762.00M,0.00,48.95B,,2.684B,-1.719B,,,,,AOR,Restated
2013-12,5.063B,-1.354B,-1.354B,,1.675B,1.675B,,187.00M,1.394B,,,,1.019B,1.396B,6.967B,,-3.36B,-3.36B,-5.601B,6.529B,316.00M,-2.071B,,1.182B,-48.00M,1.134B,,,40.00M,1.174B,,42.08B,6.07B,37.00M,48.19B,,2.965B,-1.783B,,,,,AOR,Restated
2013-09,5.153B,-1.714B,-1.714B,,1.616B,1.616B,,271.00M,-179.00M,,,,2.302B,2.50B,7.826B,,-2.969B,-2.969B,-676.00M,-115.00M,644.00M,-3.001B,,1.776B,-296.00M,1.48B,,,12.00M,1.492B,,35.70B,6.317B,67.00M,42.08B,,3.455B,-1.679B,,,,,AOR,Restated
2013-06,4.612B,-492.00M,-492.00M,,1.616B,1.616B,,-69.00M,1.295B,,,,10.00M,1.189B,6.856B,,-2.551B,-2.551B,-62.00M,-14.94B,-945.00M,-18.51B,,1.194B,-477.00M,717.00M,,,-2.479B,-1.762B,,49.09B,-13.41B,19.00M,35.70B,,2.557B,-1.363B,,,,,AOR,Restated
2013-03,5.017B,-505.00M,-505.00M,,1.601B,1.601B,,-16.00M,-1.475B,,,,-420.00M,-42.00M,6.055B,,-2.207B,-2.207B,-92.00M,-444.00M,-1.225B,-3.956B,,1.15B,-496.00M,654.00M,,,-597.00M,57.00M,,46.99B,2.156B,-59.00M,49.09B,,4.598B,-3.448B,,,,,AOR,Restated
2012-12,4.661B,-526.00M,-526.00M,-3.814B,2.34B,2.34B,,-854.00M,149.00M,,316.00M,-1.54B,1.232B,-831.00M,4.79B,,-2.582B,-2.582B,-1.357B,387.00M,-68.00M,-3.108B,,-1.193B,680.00M,-513.00M,,,-1.972B,-2.485B,,47.78B,-803.00M,19.00M,46.99B,,27.00M,-1.22B,,,,,AOR,Restated
2012-09,4.054B,-917.00M,-917.00M,1.296B,1.296B,1.296B,,213.00M,-194.00M,,657.00M,1.059B,-35.00M,2.005B,6.651B,,-2.614B,-2.614B,-1.362B,2.504B,221.00M,-653.00M,,1.154B,-77.00M,1.077B,,,-57.00M,1.02B,,40.66B,7.018B,97.00M,47.78B,,2.656B,-1.502B,,,,,AOR,Restated
2012-06,3.231B,-125.00M,-125.00M,1.265B,1.265B,1.265B,,166.00M,478.00M,,-745.00M,416.00M,769.00M,322.00M,4.859B,,-2.419B,-2.419B,-130.00M,926.00M,317.00M,-1.272B,,-712.00M,-8.00M,-720.00M,,,36.00M,-684.00M,,37.83B,2.903B,-68.00M,40.66B,,1.61B,-2.322B,,,,,AOR,Restated
2012-03,3.366B,106.00M,106.00M,1.253B,1.253B,1.253B,,262.00M,-2.043B,,-228.00M,65.00M,90.00M,-337.00M,4.65B,,-2.16B,-2.16B,-339.00M,-2.309B,-653.00M,-5.541B,,2.302B,-904.00M,1.398B,,,-55.00M,1.343B,,37.30B,452.00M,75.00M,37.83B,,4.586B,-2.284B,,,,,AOR,Restated
2011-12,3.191B,,,-3.418B,2.074B,2.074B,974.00M,-372.00M,688.00M,-1.024B,1.427B,-1.085B,1.057B,-99.00M,4.494B,,-2.518B,-2.518B,-701.00M,1.578B,48.00M,-1.403B,,-1.262B,853.00M,-409.00M,,,-50.00M,-459.00M,,34.78B,2.632B,-109.00M,37.30B,,62.00M,-772.00M,,,,,AOR,Restated
2011-09,2.41B,,,1.142B,1.142B,1.142B,-92.00M,225.00M,134.00M,425.00M,180.00M,-226.00M,2.636B,2.314B,5.999B,,-2.229B,-2.229B,-7.812B,-10.96B,-64.00M,-20.98B,,2.017B,-28.00M,1.989B,,,-41.00M,1.948B,,47.89B,-13.03B,-83.00M,34.78B,,2.763B,-774.00M,,,,,AOR,Restated
2011-06,3.54B,,,1.141B,1.141B,1.141B,-1.289B,28.00M,756.00M,417.00M,-484.00M,651.00M,-708.00M,3.061B,6.481B,,-1.962B,-1.962B,-41.00M,1.647B,-43.00M,332.00M,,843.00M,-734.00M,109.00M,,,-256.00M,-147.00M,,41.18B,6.666B,47.00M,47.89B,,1.365B,-1.256B,,,,,AOR,Restated
2011-03,1.605B,,,1.135B,1.135B,1.135B,407.00M,121.00M,-2.737B,182.00M,-1.123B,660.00M,-231.00M,234.00M,3.502B,,-1.482B,-1.482B,-131.00M,4.10B,122.00M,2.861B,,-2.256B,210.00M,-2.046B,,,-1.513B,-3.559B,,38.23B,2.804B,147.00M,41.18B,,1.753B,-3.799B,,,,,AOR,Restated
2010-12,4.473B,,,1.17B,1.17B,1.17B,2.159B,52.00M,1.316B,-757.00M,32.00M,-6.00M,-267.00M,-1.705B,4.064B,,-1.689B,-1.689B,-548.00M,1.626B,327.00M,-127.00M,,-499.00M,429.00M,-70.00M,,,-46.00M,-116.00M,,34.46B,3.821B,-55.00M,38.23B,,540.00M,-980.00M,,,,,AOR,Restated
2010-09,3.119B,,,1.094B,1.094B,1.094B,-458.00M,100.00M,-604.00M,1.058B,-1.102B,2.273B,-704.00M,3.116B,6.971B,,-1.575B,-1.575B,-13.00M,733.00M,-662.00M,-1.25B,,633.00M,2.00M,635.00M,,,25.00M,660.00M,,27.95B,6.381B,127.00M,34.46B,,998.00M,-363.00M,,,,,AOR,Restated
2010-06,2.09B,,,1.10B,1.10B,1.10B,-383.00M,5.00M,322.00M,-884.00M,,,1.777B,735.00M,3.547B,,-1.546B,-1.546B,-452.00M,567.00M,69.00M,-1.529B,,375.00M,1.00M,376.00M,,,11.00M,387.00M,,25.67B,2.405B,-122.00M,27.95B,,863.00M,-549.00M,,,,,AOR,Restated
2010-03,3.812B,,,915.00M,915.00M,915.00M,-1.318B,98.00M,-3.013B,583.00M,,,809.00M,-194.00M,3.313B,,-1.17B,-1.17B,-14.91B,828.00M,-210.00M,-15.37B,,7.341B,-62.00M,7.279B,,,-85.00M,7.194B,,30.56B,-4.864B,-24.00M,25.67B,,9.073B,-1.732B,,,,,AOR,Restated
2009-12,3.154B,,,812.00M,812.00M,812.00M,-3.408B,-48.00M,949.00M,-693.00M,,,1.119B,473.00M,3.82B,,-1.134B,-1.134B,-33.00M,1.622B,-38.00M,-32.00M,,300.00M,-1.022B,-722.00M,,,568.00M,-154.00M,,26.92B,3.634B,5.00M,30.56B,,323.00M,-160.00M,,,,,AOR,Restated
2009-09,3.349B,,,779.00M,779.00M,779.00M,-85.00M,0.00,-86.00M,1.014B,,,-787.00M,486.00M,4.529B,,-1.17B,-1.17B,146.00M,-709.00M,62.00M,-1.488B,,188.00M,-286.00M,-98.00M,,,-591.00M,-689.00M,,24.51B,2.352B,56.00M,26.92B,,237.00M,-335.00M,,,,,AOR,Restated
2009-06,3.384B,,,778.00M,778.00M,778.00M,27.00M,29.00M,854.00M,636.00M,,,-2.018B,-1.363B,2.855B,,-1.26B,-1.26B,309.00M,-3.54B,133.00M,-4.214B,,892.00M,-375.00M,517.00M,,,-366.00M,151.00M,,25.55B,-1.208B,168.00M,24.51B,,1.069B,-552.00M,,,,,AOR,Restated
2009-03,-1.446B,,,758.00M,758.00M,758.00M,3.466B,-130.00M,-1.02B,-957.00M,,,435.00M,1.994B,4.642B,,-1.373B,-1.373B,-530.00M,-4.611B,1.023B,-5.427B,,148.00M,798.00M,946.00M,,,-21.00M,925.00M,,25.54B,140.00M,-128.00M,25.55B,,1.485B,-539.00M,,,,,AOR,Restated
2008-12,315.00M,,,739.00M,739.00M,739.00M,65.00M,-1.007B,342.00M,904.00M,,,588.00M,2.072B,2.824B,,-1.937B,-1.937B,-190.00M,-8.879B,866.00M,-10.04B,,-1.076B,651.00M,-425.00M,,,-45.00M,-470.00M,,33.37B,-7.691B,-139.00M,25.54B,,-454.00M,-1.154B,,,,,AOR,Restated
2008-09,5.281B,,,2.071B,2.071B,2.071B,-65.00M,-241.00M,-2.564B,-904.00M,,,2.311B,1.382B,3.437B,,-1.663B,-1.663B,-436.00M,604.00M,-976.00M,-2.597B,,917.00M,639.00M,1.556B,,,-56.00M,1.50B,,31.16B,2.34B,-130.00M,33.37B,,2.681B,-1.125B,,-1.921B,-942.00M,,AOR,Restated
2008-06,,,,,,,,,,,,,,,1.638B,,-1.497B,-1.497B,-551.00M,-3.916B,78.00M,-6.082B,,66.00M,48.00M,114.00M,,,-63.00M,51.00M,,35.57B,-4.393B,-14.00M,31.16B,,2.077B,-1.963B,,1.72B,465.00M,,AOR,Restated
2008-03,,,,,,,,,,,,,,,3.353B,,-1.041B,-1.041B,-4.873B,-7.83B,881.00M,-13.34B,,1.328B,-155.00M,1.173B,,,32.00M,1.205B,,44.33B,-8.784B,21.00M,35.57B,,3.172B,-1.999B,,201.00M,477.00M,,AOR,Restated
2007-12,,,,,,,,-8.169B,,-2.543B,,,,-654.00M,1.199B,,-1.456B,-1.456B,26.00M,-1.545B,316.00M,-3.029B,,-717.00M,-182.00M,-899.00M,,,-34.00M,-933.00M,,47.08B,-2.763B,9.00M,44.33B,,633.00M,-1.532B,,,-1.384B,,AOR,Restated
2007-09,,,,,,,,2.19B,,1.729B,,,,1.729B,3.919B,,-1.365B,-1.365B,-410.00M,-3.93B,298.00M,-4.919B,,841.00M,166.00M,1.007B,,,68.00M,1.075B,,46.95B,75.00M,58.00M,47.08B,,1.776B,-769.00M,,,455.00M,,AOR,Restated
2007-06,,,,,,,,1.698B,,1.109B,,,,1.109B,2.807B,,-1.324B,-1.324B,-348.00M,-1.216B,86.00M,-2.732B,,887.00M,-402.00M,485.00M,,,327.00M,812.00M,,46.03B,887.00M,36.00M,46.95B,,1.223B,-738.00M,,,487.00M,,AOR,Restated
2007-03,,,,,,,,4.367B,,258.00M,,,,258.00M,4.625B,,-1.228B,-1.228B,-870.00M,-781.00M,98.00M,-2.748B,,564.00M,-178.00M,386.00M,,,26.00M,412.00M,,43.74B,2.289B,-5.00M,46.03B,,1.18B,-794.00M,,,442.00M,,AOR,Restated
2006-12,,,,,,,,,,,,,,,2.313B,,-1.43B,-1.43B,5.00M,-1.23B,-280.00M,-2.315B,,1.307B,0.00,1.307B,,,72.00M,1.379B,,42.25B,1.377B,,43.74B,,1.579B,-272.00M,,,,,AOR,Restated
2006-09,,,,,,,,,,,,,,,4.431B,,-1.311B,-1.311B,-4.378B,6.761B,-4.841B,-3.769B,,-369.00M,44.00M,-325.00M,,,-157.00M,-482.00M,,42.07B,180.00M,,42.25B,,463.00M,-832.00M,,,,,AOR,Restated
2006-06,,,,,,,,,,,,,,,1.092B,,-1.083B,-1.083B,-296.00M,-3.689B,3.213B,-1.855B,,-258.00M,157.00M,-101.00M,,,75.00M,-26.00M,,42.86B,-789.00M,,42.07B,,82.00M,-340.00M,,,,,AOR,Restated
2006-03,,,,,,,,,,,,,,,2.359B,,-747.00M,-747.00M,-5.463B,-2.853B,2.925B,-6.138B,,1.481B,44.00M,1.525B,,,94.00M,1.619B,,45.02B,-2.16B,,42.86B,,1.788B,-307.00M,,,,,AOR,Restated
2005-12,5.13B,,,,,,,-8.451B,,,,,,,3.793B,,-1.143B,-1.143B,-565.00M,-4.442B,1.758B,-5.468B,,133.00M,149.00M,282.00M,,,21.00M,303.00M,,46.03B,-1.372B,,44.66B,,434.00M,-301.00M,,,,,AOR,Restated
2005-09,586.00M,,,,,,,1.974B,,,,,,,2.56B,,-365.00M,-365.00M,-1.598B,-3.25B,508.00M,-4.705B,,182.00M,186.00M,368.00M,,,47.00M,415.00M,,47.76B,-1.73B,,46.03B,,326.00M,-144.00M,,,,,AOR,Restated
2005-06,2.812B,,,,,,,281.00M,,,,,,,1.734B,,-384.00M,-384.00M,-33.00M,-1.186B,-409.00M,-2.012B,,1.342B,23.00M,1.365B,,,-34.00M,1.331B,,46.71B,1.053B,,47.76B,,1.585B,-243.00M,,,,,AOR,Restated
2005-03,,,,,,,,,,,,,,,1.359B,,-303.00M,-303.00M,-191.00M,-1.066B,-96.00M,-1.656B,,3.545B,3.00M,3.548B,,,31.00M,3.579B,,43.43B,3.282B,,46.71B,,3.804B,-259.00M,,,,,AOR,Restated
2004-12,3.339B,,,,,,,-1.108B,,,,,,,2.234B,,-421.00M,-421.00M,-37.00M,1.673B,582.00M,-1.781B,,-138.00M,-74.00M,-212.00M,,,169.00M,-43.00M,,43.02B,410.00M,,43.43B,,122.00M,-260.00M,,,,,AOR,Restated
2004-09,3.969B,,,,,,,1.108B,,,,,,,2.878B,,-317.00M,-317.00M,-28.00M,104.00M,-572.00M,-813.00M,,893.00M,-80.00M,813.00M,,,-62.00M,751.00M,,40.20B,2.816B,,43.02B,,1.19B,-297.00M,,,,,AOR,Restated
2004-06,,,,,,,,,,,,,,,20.00M,,-292.00M,-292.00M,-330.00M,710.00M,16.00M,104.00M,,-627.00M,-194.00M,-821.00M,,,-13.00M,-834.00M,,40.91B,-710.00M,,40.20B,,94.00M,-721.00M,,,,,AOR,Restated
2004-03,,,,,,,,,,,,,,,2.179B,,-248.00M,-248.00M,-19.00M,2.364B,708.00M,2.805B,,-62.00M,-40.00M,-102.00M,,,72.00M,-30.00M,,35.96B,4.954B,,40.91B,,601.00M,-663.00M,,,,,AOR,Restated
2003-12,,,,,,,,,,,,,,,2.321B,,,,-216.00M,121.00M,907.00M,1.245B,,1.722B,-122.00M,1.60B,,,46.00M,1.646B,,30.74B,5.212B,,35.96B,,2.159B,-437.00M,,,,,AOR,Restated
2003-09,,,,,,,,,,,,,,,2.407B,,,,-1.57B,3.238B,-187.00M,1.481B,,-706.00M,117.00M,-589.00M,,,-998.00M,-1.587B,,28.44B,2.301B,,30.74B,,115.00M,-821.00M,,,,,AOR,Restated
2003-06,,,,,,,,,,,,,,,972.00M,,,,-1.424B,9.751B,-180.00M,8.147B,,-221.00M,-115.00M,-336.00M,,,169.00M,-167.00M,,19.49B,8.952B,,28.44B,,284.00M,-505.00M,,,,,AOR,Restated
2003-03,,,,,,,,,,,,,,,2.641B,,,,-3.00M,5.295B,-136.00M,5.156B,,-537.00M,-585.00M,-1.122B,,,69.00M,-1.053B,,12.75B,6.744B,,19.49B,,743.00M,-1.28B,,,,,AOR,Restated
2002-12,4.286B,,,,,,,,,,,,,,1.825B,,,,-1.332B,1.625B,-3.018B,220.00M,,-131.00M,356.00M,-2.537B,,,2.802B,265.00M,,10.44B,2.31B,,12.75B,,261.00M,-392.00M,,,,,AOR,Restated
2002-09,-1.961B,,,,,,,-4.785B,,,,,,,2.564B,,,,-212.00M,-2.882B,2.634B,-460.00M,,-242.00M,-234.00M,2.286B,,,-2.675B,-389.00M,,8.723B,1.715B,,10.44B,,525.00M,-767.00M,,,,,AOR,
2002-06,-1.466B,,,,,,,4.785B,,,,,,,3.319B,,,,-719.00M,520.00M,-142.00M,-341.00M,,-1.129B,-1.727B,-2.856B,,,56.00M,-2.80B,,8.545B,178.00M,,8.723B,,704.00M,-1.833B,,,,,AOR,
2002-03,3.427B,,,,,,,,,,,,,,3.427B,,,,-357.00M,-119.00M,-254.00M,-730.00M,,-1.391B,778.00M,-613.00M,,,-37.00M,-650.00M,,6.498B,2.047B,,8.545B,,193.00M,-1.584B,,,,,AOR,
2001-12,795.00M,,,,,,,,,,,,,,2.28B,,,,-217.00M,-1.672B,5.953B,-1.312B,,-604.00M,-326.00M,5.123B,,,-5.954B,-831.00M,,6.361B,137.00M,,6.498B,,308.00M,-912.00M,,,,,AOR,Restated
2001-09,-1.379B,,,,,,,-1.235B,,,,,,,1.68B,,,,-760.00M,-3.135B,-5.49B,-9.385B,,5.717B,115.00M,115.00M,,,5.74B,5.855B,,8.211B,-1.85B,,6.361B,,6.122B,-405.00M,,,,,AOR,
2001-06,773.00M,,,,,,,1.108B,,,,,,,1.881B,,,,16.00M,676.00M,-950.00M,-258.00M,,176.00M,-36.00M,-196.00M,,,344.00M,148.00M,,6.44B,1.771B,,8.211B,,354.00M,-178.00M,,,,,AOR,
