,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,287.00M,,287.00M,1.58B,1.58B,291.00M,105.00M,717.00M,,1.113B,50.00M,,,1.05B,4.08B,0.0,103.00M,1.132B,3.246B,,215.00M,4.696B,-2.996B,1.70B,6.984B,5.714B,12.70B,,,,725.00M,15.12B,19.20B,404.00M,,404.00M,1.193B,1.597B,1.255B,,,962.00M,962.00M,,,1.174B,4.988B,256.00M,4.767B,1.00M,4.768B,128.00M,,128.00M,92.00M,,35.00M,786.00M,7.184B,12.17B,16.00M,-8.326B,17.18B,1.717B,,,,,-128.00M,7.029B
2017-12,188.00M,,188.00M,1.548B,1.548B,284.00M,110.00M,685.00M,-1.00M,1.078B,66.00M,,,942.00M,3.822B,0.0,102.00M,1.12B,3.183B,,219.00M,4.624B,-2.928B,1.696B,6.998B,5.837B,12.84B,,,,688.00M,15.22B,19.04B,530.00M,,530.00M,1.28B,1.81B,1.176B,,,1.801B,1.801B,,,867.00M,5.654B,436.00M,3.776B,1.00M,3.777B,191.00M,,191.00M,133.00M,,38.00M,526.00M,6.376B,12.03B,16.00M,-8.39B,17.16B,1.717B,-1.00M,-27.00M,-32.00M,1.00M,-59.00M,7.011B
2017-09,210.00M,,210.00M,1.47B,1.47B,295.00M,108.00M,674.00M,,1.077B,72.00M,449.00M,76.00M,124.00M,3.478B,0.0,93.00M,1.056B,3.139B,,297.00M,4.585B,-2.907B,1.678B,6.882B,5.783B,12.66B,,,,815.00M,15.16B,18.64B,371.00M,,371.00M,1.196B,1.567B,1.355B,,,1.266B,1.266B,,,640.00M,4.828B,335.00M,4.415B,1.00M,4.416B,66.00M,,66.00M,53.00M,,,508.00M,6.22B,11.05B,16.00M,-7.785B,17.12B,1.717B,,,,,-51.00M,7.588B
2017-06,195.00M,,195.00M,1.444B,1.444B,274.00M,97.00M,652.00M,,1.023B,91.00M,251.00M,75.00M,143.00M,3.222B,0.0,92.00M,1.043B,3.081B,,305.00M,4.521B,-2.87B,1.651B,6.871B,5.921B,12.79B,,,,717.00M,15.16B,18.38B,376.00M,,376.00M,1.086B,1.462B,1.152B,,,1.018B,1.018B,,,668.00M,4.30B,627.00M,4.816B,1.00M,4.817B,58.00M,,58.00M,63.00M,,,485.00M,6.847B,11.15B,16.00M,-8.068B,17.06B,1.717B,,,,,-53.00M,7.235B
2017-03,156.00M,,156.00M,1.429B,1.429B,281.00M,66.00M,624.00M,,971.00M,98.00M,127.00M,65.00M,180.00M,3.026B,0.0,91.00M,1.01B,3.027B,,318.00M,4.446B,-2.794B,1.652B,6.68B,5.743B,12.42B,,,,842.00M,14.92B,17.94B,376.00M,,376.00M,1.062B,1.438B,1.236B,,,5.00M,5.00M,,,811.00M,3.49B,515.00M,5.509B,,5.509B,19.00M,,19.00M,74.00M,,,471.00M,7.40B,10.89B,16.00M,-8.215B,17.02B,1.717B,,,,,-46.00M,7.053B
2016-12,196.00M,,196.00M,1.472B,1.472B,236.00M,94.00M,625.00M,,955.00M,75.00M,,,541.00M,3.239B,0.0,91.00M,981.00M,2.955B,,338.00M,4.365B,-2.735B,1.63B,6.678B,5.883B,12.56B,,,,666.00M,14.86B,18.10B,447.00M,,447.00M,1.25B,1.697B,1.062B,,,64.00M,64.00M,,,764.00M,3.587B,961.00M,5.368B,1.00M,5.369B,18.00M,,18.00M,141.00M,,51.00M,455.00M,7.776B,11.36B,16.00M,-8.581B,17.01B,1.717B,-6.00M,-21.00M,-79.00M,107.00M,1.00M,6.733B
2016-09,237.00M,,237.00M,1.385B,1.385B,231.00M,105.00M,662.00M,,998.00M,,,84.00M,477.00M,3.181B,0.0,84.00M,974.00M,2.935B,,213.00M,4.206B,-2.706B,1.50B,6.498B,5.838B,12.34B,,,,680.00M,14.52B,17.70B,298.00M,,298.00M,1.166B,1.464B,933.00M,,,254.00M,254.00M,,,365.00M,3.016B,1.019B,5.171B,,5.171B,26.00M,,26.00M,121.00M,,,547.00M,8.199B,11.22B,19.00M,-8.706B,16.98B,1.717B,,,,,-99.00M,6.482B
2016-06,438.00M,,438.00M,1.387B,1.387B,219.00M,108.00M,654.00M,,981.00M,,,78.00M,446.00M,3.33B,0.0,83.00M,966.00M,2.904B,,183.00M,4.136B,-2.649B,1.487B,6.475B,5.93B,12.40B,,,,616.00M,14.51B,17.84B,284.00M,,284.00M,1.161B,1.445B,1.075B,,,254.00M,254.00M,,,408.00M,3.182B,1.30B,5.173B,,5.173B,24.00M,,24.00M,105.00M,,,543.00M,8.436B,11.62B,18.00M,-8.934B,16.92B,1.717B,,,,,-70.00M,6.22B
2016-03,338.00M,,338.00M,1.291B,1.291B,215.00M,107.00M,700.00M,,1.022B,,,76.00M,437.00M,3.164B,0.0,83.00M,964.00M,2.849B,,185.00M,4.081B,-2.617B,1.464B,6.477B,6.062B,12.54B,,,,551.00M,14.55B,17.72B,232.00M,,232.00M,1.004B,1.236B,788.00M,,,253.00M,253.00M,,,331.00M,2.608B,1.107B,5.424B,,5.424B,295.00M,,295.00M,102.00M,,,462.00M,8.653B,11.26B,16.00M,-8.725B,16.85B,1.717B,,,,,35.00M,6.457B
2015-12,319.00M,,319.00M,1.275B,1.275B,208.00M,102.00M,706.00M,,1.016B,57.00M,54.00M,496.00M,254.00M,3.471B,0.0,86.00M,981.00M,2.793B,,202.00M,4.062B,-2.572B,1.49B,6.473B,6.194B,12.67B,,,,505.00M,14.66B,18.13B,209.00M,,209.00M,1.197B,1.406B,773.00M,,,3.00M,3.00M,,,248.00M,2.43B,1.163B,5.674B,,5.674B,735.00M,,735.00M,127.00M,,,431.00M,9.383B,11.81B,16.00M,-8.927B,16.86B,1.717B,0.00,-10.00M,-54.00M,152.00M,88.00M,6.32B
2015-09,350.00M,,350.00M,1.274B,1.274B,225.00M,110.00M,751.00M,,1.086B,,,367.00M,385.00M,3.462B,0.0,87.00M,965.00M,2.787B,,195.00M,4.034B,-2.555B,1.479B,6.468B,6.228B,12.70B,,,,578.00M,14.75B,18.22B,210.00M,,210.00M,1.222B,1.432B,383.00M,,,63.00M,63.00M,,,360.00M,2.238B,1.176B,5.796B,,5.796B,770.00M,,770.00M,102.00M,,,436.00M,9.567B,11.80B,16.00M,-8.785B,16.82B,1.717B,,,,,81.00M,6.41B
2015-06,903.00M,,903.00M,1.195B,1.195B,214.00M,97.00M,657.00M,,968.00M,,,316.00M,391.00M,3.773B,0.0,80.00M,934.00M,2.738B,,185.00M,3.937B,-2.486B,1.451B,5.93B,5.442B,11.37B,,,,527.00M,13.35B,17.12B,191.00M,,191.00M,1.118B,1.309B,283.00M,,,43.00M,43.00M,,,302.00M,1.937B,834.00M,5.069B,,5.069B,899.00M,,899.00M,96.00M,,,444.00M,8.606B,10.54B,16.00M,-8.587B,16.76B,1.717B,,,,,104.00M,6.58B
2015-03,242.00M,,242.00M,1.161B,1.161B,210.00M,95.00M,653.00M,,958.00M,,,339.00M,489.00M,3.189B,0.0,80.00M,925.00M,2.672B,,173.00M,3.85B,-2.392B,1.458B,5.896B,5.499B,11.40B,,,,430.00M,13.28B,16.47B,228.00M,,228.00M,997.00M,1.225B,515.00M,,,423.00M,423.00M,,,300.00M,2.463B,938.00M,3.845B,,3.845B,963.00M,,963.00M,79.00M,,,433.00M,7.508B,9.971B,16.00M,-8.69B,16.75B,1.717B,,,,,142.00M,6.501B
2014-12,587.00M,,587.00M,1.183B,1.183B,200.00M,97.00M,649.00M,,946.00M,,,447.00M,443.00M,3.606B,0.0,80.00M,944.00M,2.633B,,189.00M,3.846B,-2.339B,1.507B,5.898B,5.606B,11.50B,,,,407.00M,13.42B,17.02B,262.00M,,262.00M,1.256B,1.518B,694.00M,,,403.00M,403.00M,,,231.00M,2.846B,883.00M,3.841B,,3.841B,1.214B,,1.214B,116.00M,,,436.00M,7.721B,10.57B,16.00M,-8.689B,16.70B,1.717B,,-37.00M,-38.00M,219.00M,144.00M,6.457B
2014-09,246.00M,,246.00M,1.233B,1.233B,205.00M,118.00M,666.00M,,989.00M,,,303.00M,404.00M,3.175B,0.0,80.00M,942.00M,2.58B,,186.00M,3.788B,-2.266B,1.522B,5.901B,5.732B,11.63B,,,,388.00M,13.54B,16.72B,234.00M,,234.00M,1.213B,1.447B,75.00M,,,3.00M,3.00M,,,295.00M,1.82B,870.00M,4.249B,,4.249B,1.224B,,1.224B,185.00M,,,409.00M,8.197B,10.02B,16.00M,-8.389B,16.68B,1.717B,,,,,110.00M,6.701B
2014-06,357.00M,,357.00M,1.287B,1.287B,201.00M,114.00M,634.00M,,949.00M,,,320.00M,301.00M,3.214B,0.0,81.00M,950.00M,2.554B,,192.00M,3.777B,-2.243B,1.534B,5.735B,5.659B,11.39B,,,,335.00M,13.26B,16.48B,241.00M,,241.00M,1.196B,1.437B,81.00M,,,3.00M,3.00M,,,252.00M,1.773B,745.00M,4.252B,,4.252B,1.302B,,1.302B,191.00M,,,426.00M,8.16B,9.933B,16.00M,-8.432B,16.64B,1.717B,,,,,42.00M,6.544B
2014-03,191.00M,,191.00M,1.217B,1.217B,199.00M,116.00M,611.00M,,926.00M,,,279.00M,323.00M,2.936B,0.0,81.00M,919.00M,2.492B,,234.00M,3.726B,-2.187B,1.539B,5.697B,5.802B,11.50B,,,,361.00M,13.40B,16.34B,241.00M,,241.00M,1.177B,1.418B,98.00M,,,4.00M,4.00M,,,199.00M,1.719B,498.00M,4.245B,,4.245B,1.439B,,1.439B,244.00M,,,425.00M,8.082B,9.801B,16.00M,-8.436B,16.60B,1.717B,,,,,72.00M,6.534B
2013-12,217.00M,,217.00M,1.307B,1.307B,209.00M,90.00M,598.00M,,897.00M,,,288.00M,302.00M,3.011B,0.0,81.00M,917.00M,2.461B,,211.00M,3.67B,-2.124B,1.546B,5.693B,5.95B,11.64B,,,,371.00M,13.56B,16.57B,246.00M,,246.00M,1.264B,1.51B,84.00M,,,3.00M,3.00M,,,227.00M,1.824B,523.00M,4.237B,,4.237B,1.402B,,1.402B,353.00M,,,410.00M,8.208B,10.03B,16.00M,-8.57B,16.58B,1.592B,,-19.00M,-16.00M,141.00M,106.00M,6.539B
2013-09,571.00M,,571.00M,1.238B,1.238B,216.00M,87.00M,592.00M,,895.00M,,,536.00M,285.00M,3.525B,0.0,81.00M,912.00M,2.446B,,177.00M,3.616B,-2.086B,1.53B,5.553B,5.936B,11.49B,,,,373.00M,13.39B,16.92B,238.00M,,238.00M,1.187B,1.425B,159.00M,,,3.00M,3.00M,,,315.00M,1.902B,524.00M,4.246B,,4.246B,1.623B,,1.623B,366.00M,,,419.00M,8.452B,10.35B,16.00M,-8.678B,16.54B,1.367B,,,,,56.00M,6.563B
2013-06,530.00M,,530.00M,1.278B,1.278B,204.00M,83.00M,555.00M,,842.00M,,,496.00M,352.00M,3.498B,0.0,81.00M,903.00M,2.377B,,190.00M,3.551B,-2.027B,1.524B,5.553B,6.026B,11.58B,,,,395.00M,13.50B,17.00B,251.00M,,251.00M,1.261B,1.512B,104.00M,,,605.00M,605.00M,,,256.00M,2.477B,521.00M,3.647B,,3.647B,1.711B,,1.711B,377.00M,,,390.00M,7.916B,10.39B,16.00M,-8.673B,16.47B,1.292B,,,,,82.00M,6.603B
2013-03,268.00M,,268.00M,1.232B,1.232B,190.00M,78.00M,583.00M,,851.00M,,,431.00M,320.00M,3.102B,0.0,81.00M,895.00M,2.346B,,195.00M,3.517B,-1.98B,1.537B,5.552B,6.177B,11.73B,,,,395.00M,13.66B,16.76B,206.00M,,206.00M,1.059B,1.265B,127.00M,,,4.00M,4.00M,,,240.00M,1.636B,521.00M,4.25B,,4.25B,1.71B,,1.71B,510.00M,,,390.00M,8.624B,10.26B,16.00M,-8.803B,16.44B,1.192B,,,,,45.00M,6.503B
2012-12,207.00M,,207.00M,1.217B,1.217B,216.00M,70.00M,598.00M,,884.00M,,,433.00M,281.00M,3.022B,0.0,81.00M,873.00M,2.348B,,218.00M,3.52B,-1.956B,1.564B,5.973B,6.289B,12.26B,,,,306.00M,14.13B,17.15B,232.00M,,232.00M,1.184B,1.416B,100.00M,,,4.00M,4.00M,,,252.00M,1.772B,391.00M,4.252B,,4.252B,1.713B,,1.713B,543.00M,,,398.00M,8.512B,10.28B,15.00M,-8.449B,16.43B,1.092B,,-41.00M,-26.00M,34.00M,-33.00M,6.87B
2012-09,352.00M,,352.00M,1.197B,1.197B,215.00M,79.00M,617.00M,,911.00M,230.00M,,483.00M,,3.173B,0.0,111.00M,936.00M,1.943B,,203.00M,3.193B,-1.569B,1.624B,5.724B,6.154B,11.88B,,,,223.00M,13.72B,16.90B,228.00M,,228.00M,1.325B,1.553B,,,,3.00M,3.00M,,,259.00M,1.815B,,4.252B,,4.252B,1.705B,,1.705B,1.766B,422.00M,,110.00M,8.255B,10.07B,15.00M,-8.51B,16.43B,992.00M,,,,,-112.00M,6.828B
2012-06,371.00M,,371.00M,1.243B,1.243B,224.00M,78.00M,596.00M,,898.00M,193.00M,,406.00M,,3.111B,0.0,111.00M,930.00M,1.985B,,196.00M,3.222B,-1.59B,1.632B,6.474B,6.249B,12.72B,,,,352.00M,14.71B,17.82B,263.00M,,263.00M,910.00M,1.173B,,,,4.00M,4.00M,,,202.00M,1.794B,,4.253B,,4.253B,1.803B,,1.803B,2.24B,,,,8.296B,10.09B,15.00M,-7.846B,16.39B,742.00M,,,,,-87.00M,7.728B
2012-03,284.00M,,284.00M,1.316B,1.316B,217.00M,70.00M,602.00M,,889.00M,198.00M,,404.00M,,3.091B,0.0,111.00M,932.00M,1.968B,,212.00M,3.223B,-1.554B,1.669B,9.762B,6.382B,16.14B,,,,281.00M,18.09B,21.18B,288.00M,,288.00M,1.18B,1.468B,,,,4.00M,4.00M,,,197.00M,1.669B,,4.255B,,4.255B,1.877B,,1.877B,,,,1.988B,8.12B,9.789B,15.00M,-4.268B,16.36B,630.00M,,,,,-79.00M,11.40B
2011-12,267.00M,,267.00M,1.246B,1.246B,223.00M,71.00M,637.00M,,931.00M,,,458.00M,203.00M,3.105B,0.0,111.00M,923.00M,1.919B,,230.00M,3.183B,-1.513B,1.67B,9.761B,6.473B,16.23B,,,,281.00M,18.18B,21.29B,203.00M,,203.00M,1.198B,1.401B,129.00M,,,4.00M,4.00M,,,273.00M,1.807B,170.00M,4.257B,,4.257B,1.865B,,1.865B,321.00M,,,422.00M,8.13B,9.937B,15.00M,-4.381B,16.35B,492.00M,,-32.00M,-58.00M,-48.00M,-138.00M,11.35B
2011-09,276.00M,,276.00M,1.237B,1.237B,217.00M,97.00M,658.00M,,972.00M,314.00M,,409.00M,,3.213B,0.0,119.00M,911.00M,2.033B,,263.00M,3.326B,-1.642B,1.684B,9.769B,6.564B,16.33B,,,,272.00M,18.29B,21.50B,256.00M,,256.00M,8.00M,264.00M,,,,4.00M,4.00M,,,1.179B,1.887B,,4.259B,,4.259B,1.854B,,1.854B,1.444B,,,537.00M,8.094B,9.981B,15.00M,-4.488B,16.32B,192.00M,,,,,-132.00M,11.52B
2011-06,154.00M,,154.00M,1.334B,1.334B,204.00M,93.00M,630.00M,,927.00M,310.00M,,417.00M,,3.149B,0.0,119.00M,941.00M,2.024B,,256.00M,3.34B,-1.638B,1.702B,9.758B,6.684B,16.44B,,,,266.00M,18.41B,21.56B,223.00M,,223.00M,1.329B,1.552B,,,,4.00M,4.00M,,,336.00M,1.892B,,4.197B,,4.197B,1.916B,,1.916B,,,,2.014B,8.127B,10.02B,15.00M,-4.63B,16.28B,,,,,,-123.00M,11.54B
2011-03,595.00M,,595.00M,1.336B,1.336B,190.00M,100.00M,609.00M,,899.00M,327.00M,,405.00M,,3.569B,0.0,119.00M,935.00M,1.963B,,251.00M,3.268B,-1.56B,1.708B,9.748B,6.806B,16.55B,,,,239.00M,18.50B,22.07B,217.00M,,217.00M,1.30B,1.517B,,,,254.00M,254.00M,,,269.00M,2.04B,,4.67B,,4.67B,1.988B,,1.988B,,,,2.003B,8.661B,10.70B,15.00M,-4.776B,16.25B,,,,,,-119.00M,11.37B
2010-12,213.00M,,213.00M,1.32B,1.32B,177.00M,95.00M,622.00M,,894.00M,183.00M,,429.00M,576.00M,3.615B,0.0,119.00M,919.00M,1.889B,,241.00M,3.168B,-1.471B,1.697B,10.19B,6.343B,16.53B,,,,287.00M,18.51B,22.13B,184.00M,,184.00M,1.626B,1.81B,,,,504.00M,504.00M,,,295.00M,2.609B,,4.934B,,4.934B,1.644B,,1.644B,,,,1.645B,8.223B,10.83B,15.00M,-4.822B,16.23B,,,,,,-129.00M,11.30B
2010-06,811.00M,,811.00M,1.315B,1.315B,164.00M,88.00M,633.00M,,885.00M,426.00M,,550.00M,,3.987B,,,,,,,3.149B,-1.441B,1.708B,10.58B,6.416B,17.00B,,,,326.00M,19.03B,23.02B,180.00M,,180.00M,2.325B,2.505B,,,,850.00M,850.00M,,,368.00M,3.723B,,5.183B,,5.183B,1.982B,,1.982B,,,,1.238B,8.403B,12.13B,15.00M,-5.248B,16.16B,,,,,,-37.00M,10.89B
2010-03,519.00M,,519.00M,1.301B,1.301B,166.00M,82.00M,658.00M,,906.00M,501.00M,,520.00M,,3.747B,,,,,,,3.184B,-1.472B,1.712B,10.56B,6.542B,17.10B,,,,297.00M,19.11B,22.85B,232.00M,,232.00M,2.285B,2.517B,,,,250.00M,250.00M,,,146.00M,2.913B,,5.671B,,5.671B,1.97B,,1.97B,,,,1.518B,9.159B,12.07B,15.00M,-5.346B,16.13B,,,,,,-18.00M,10.78B
2009-12,864.00M,,864.00M,1.375B,1.375B,180.00M,69.00M,642.00M,,891.00M,319.00M,,572.00M,578.00M,4.599B,0.0,118.00M,923.00M,1.934B,,271.00M,3.246B,-1.524B,1.722B,11.94B,6.667B,18.60B,,,,253.00M,20.58B,25.18B,212.00M,,212.00M,2.609B,2.821B,,,,3.00M,3.00M,,,198.00M,3.022B,,5.915B,,5.915B,1.875B,,1.875B,,,,2.064B,9.854B,12.88B,15.00M,-3.757B,16.09B,,,,,,-43.00M,12.30B
2009-09,1.381B,,1.381B,1.431B,1.431B,174.00M,134.00M,634.00M,,942.00M,383.00M,,825.00M,,4.962B,,,,,,,3.226B,-1.495B,1.731B,12.43B,6.855B,19.29B,,,,249.00M,21.27B,26.23B,225.00M,,225.00M,2.431B,2.656B,,,,256.00M,256.00M,,,264.00M,3.176B,,5.774B,,5.774B,2.133B,,2.133B,,,,1.849B,9.756B,12.93B,15.00M,-2.774B,16.06B,,,,,,,13.30B
