,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,44.61M,,44.61M,174.42M,,,,174.42M,,,,41.23M,18.72M,257.45M,,,536.42M,0.00,31.91M,,222.44M,,26.69M,131.74M,412.77M,-243.25M,169.52M,15.42M,55.98M,71.40M,,,4.069M,16.88M,261.88M,798.30M,,88.98M,24.01M,112.98M,112.14M,225.13M,21.47M,,,32.34M,,32.34M,105.83M,384.77M,31.36M,3.117B,,3.117B,,,35.84M,,3.184B,3.569B,,0.426M,-2.769B,0.137M,-2.836M,-2.771B,,AOR,Restated
2017-12,35.77M,,35.77M,173.68M,,,,173.68M,,39.96M,,39.96M,18.39M,311.98M,,,579.78M,0.00,29.17M,,216.60M,,32.48M,128.61M,406.86M,-237.28M,169.59M,15.42M,52.82M,68.25M,8.119M,,2.75M,8.272M,256.97M,836.75M,,106.89M,,106.89M,80.67M,187.57M,20.75M,,,32.32M,,32.32M,120.22M,398.28M,30.61M,3.121B,,3.121B,,,21.75M,,3.174B,3.572B,,0.429M,-2.739B,5.654M,-2.03M,-2.735B,,AOR,Restated
2017-09,61.36M,,61.36M,154.48M,,,,154.48M,,,,37.09M,21.32M,318.34M,,,592.59M,0.00,29.19M,,214.14M,,5.714M,126.72M,375.76M,-236.09M,139.68M,16.06M,48.22M,64.28M,,,3.23M,16.46M,223.65M,816.24M,,109.76M,20.43M,130.19M,92.41M,222.59M,17.28M,,,32.31M,,32.31M,126.34M,398.53M,34.29M,3.128B,,3.128B,,,20.71M,,3.183B,3.582B,,0.437M,-2.766B,1.872M,-1.422M,-2.765B,,AOR,Restated
2017-06,52.24M,,52.24M,151.64M,,,,151.64M,,,,37.66M,41.51M,277.84M,,,560.90M,0.00,29.16M,,209.27M,,5.254M,124.92M,368.60M,-230.80M,137.79M,16.06M,45.52M,61.58M,,,5.354M,16.17M,220.89M,781.80M,,104.62M,22.65M,127.27M,90.80M,218.07M,16.98M,,,0.305M,,0.305M,116.16M,351.51M,33.26M,2.181B,,2.181B,,,19.58M,,2.233B,2.585B,,0.482M,-1.809B,8.064M,-2.828M,-1.803B,,AOR,Restated
2017-03,52.09M,,52.09M,150.93M,,,,150.93M,,,,38.33M,16.54M,270.74M,,,528.64M,0.00,29.13M,,204.84M,,6.197M,123.01M,363.17M,-225.35M,137.82M,16.06M,41.23M,57.29M,,,2.703M,16.01M,213.83M,742.46M,,110.24M,22.48M,132.73M,114.12M,246.85M,17.21M,,,0.30M,,0.30M,105.08M,369.44M,27.87M,2.179B,,2.179B,,,19.59M,,2.227B,2.596B,,0.481M,-1.852B,1.216M,-3.043M,-1.854B,,AOR,Restated
2016-12,42.82M,,42.82M,150.37M,,,,150.37M,,40.18M,,40.18M,17.64M,244.87M,,,495.87M,0.00,29.13M,,201.83M,,7.816M,120.73M,359.50M,-220.96M,138.53M,16.06M,40.26M,56.31M,7.26M,,8.935M,9.379M,220.42M,716.30M,,111.51M,,111.51M,76.09M,187.60M,16.74M,,,38.89M,,38.89M,118.38M,403.70M,27.14M,2.149B,,2.149B,,,19.61M,,2.196B,2.599B,,0.481M,-1.882B,1.006M,-3.11M,-1.883B,,AOR,Restated
2016-09,29.98M,,29.98M,138.11M,,,,138.11M,,,,38.83M,26.86M,238.80M,,,472.59M,0.00,29.10M,,197.11M,,6.409M,116.89M,349.51M,-216.91M,132.60M,16.10M,36.03M,52.12M,,,2.824M,16.47M,204.02M,676.61M,,103.99M,18.55M,122.54M,80.49M,203.04M,18.37M,,,73.88M,,73.88M,115.23M,410.52M,24.63M,2.157B,,2.157B,,,20.72M,,2.202B,2.613B,,0.481M,-1.934B,0.138M,-2.588M,-1.936B,,AOR,Restated
2016-06,22.30M,,22.30M,132.53M,,,,132.53M,,,,36.47M,42.68M,216.46M,,,450.45M,0.00,29.06M,,195.36M,,6.141M,115.17M,345.74M,-213.76M,131.97M,16.10M,34.43M,50.52M,,,3.637M,15.70M,201.83M,652.28M,,84.90M,18.82M,103.72M,76.62M,180.34M,18.50M,,,48.87M,,48.87M,109.02M,356.73M,24.64M,2.165B,,2.165B,,,20.49M,,2.210B,2.567B,,0.483M,-1.913B,0.093M,-2.575M,-1.915B,,AOR,Restated
2016-03,178.25M,,178.25M,130.52M,,,,130.52M,,,,39.11M,33.83M,244.77M,,,626.49M,0.00,29.07M,,192.47M,,5.563M,113.03M,340.13M,-209.07M,131.06M,16.10M,29.98M,46.08M,,,1.623M,15.51M,194.27M,820.76M,,86.14M,19.40M,105.54M,77.75M,183.29M,18.20M,,,41.59M,,41.59M,90.65M,333.73M,23.08M,2.173B,,2.173B,,,20.83M,,2.217B,2.551B,,0.501M,-1.778B,49.88M,-2.963M,-1.730B,,AOR,Restated
2015-12,133.45M,,133.45M,131.58M,,,,131.58M,,36.86M,,36.86M,20.65M,280.10M,,,602.64M,0.00,29.06M,,186.40M,,9.633M,111.07M,336.17M,-204.28M,131.89M,16.10M,28.50M,44.60M,6.054M,,5.865M,8.797M,197.21M,799.84M,,106.93M,,106.93M,59.97M,166.90M,17.60M,,,59.33M,,59.33M,99.16M,375.98M,23.31M,2.181B,,2.181B,,,19.34M,,2.224B,2.600B,,0.498M,-1.804B,6.942M,-3.548M,-1.800B,,AOR,Restated
2015-09,32.51M,,32.51M,112.40M,,,,112.40M,,,,39.83M,23.70M,187.05M,8.95M,,404.43M,0.00,29.34M,,187.30M,,4.44M,104.74M,325.82M,-206.37M,119.45M,16.18M,24.14M,40.31M,,,21.14M,17.86M,198.76M,603.20M,,86.42M,17.32M,103.74M,62.71M,166.45M,16.56M,,,0.256M,,0.256M,96.03M,279.29M,29.36M,1.528B,,1.528B,4.523M,4.523M,18.31M,,1.580B,1.859B,,0.546M,-1.254B,1.273M,-3.481M,-1.256B,,AOR,Restated
2015-06,25.89M,,25.89M,113.33M,,,,113.33M,,,,36.28M,31.69M,187.12M,10.19M,,404.50M,0.00,28.77M,,184.19M,,4.773M,102.95M,320.68M,-203.49M,117.20M,16.18M,22.11M,38.29M,,,22.66M,15.26M,193.40M,597.90M,,76.96M,17.48M,94.45M,69.34M,163.78M,14.89M,,,0.237M,,0.237M,90.30M,269.21M,26.06M,1.527B,,1.527B,3.457M,3.457M,17.67M,,1.574B,1.844B,,0.548M,-1.243B,0.079M,-2.929M,-1.246B,,AOR,Restated
2015-03,74.99M,,74.99M,118.08M,,,,118.08M,,,,37.90M,13.27M,194.09M,7.711M,,446.04M,0.00,28.76M,,181.57M,,3.296M,100.92M,314.54M,-199.80M,114.74M,16.30M,20.80M,37.10M,,,24.02M,15.07M,190.94M,636.98M,,88.32M,17.58M,105.90M,82.32M,188.22M,14.31M,,,0.234M,,0.234M,72.56M,275.31M,26.62M,1.527B,,1.527B,3.201M,3.201M,18.22M,,1.575B,1.851B,,0.554M,-1.218B,6.758M,-3.09M,-1.214B,,AOR,Restated
2014-12,30.86M,,30.86M,118.40M,,,,118.40M,,37.94M,,37.94M,32.57M,193.01M,9.857M,,428.36M,0.00,25.86M,,178.38M,,6.179M,99.80M,310.22M,-196.17M,114.05M,16.30M,20.56M,36.86M,4.586M,,2.475M,10.01M,167.97M,596.33M,,86.55M,14.35M,100.90M,54.00M,154.90M,14.46M,,,0.565M,,0.565M,72.06M,265.61M,26.95M,1.501B,,1.501B,5.588M,5.588M,17.05M,,1.550B,1.816B,,0.556M,-1.247B,29.56M,-2.661M,-1.219B,,AOR,Restated
2014-09,30.94M,,30.94M,103.54M,,,,103.54M,,,,35.21M,21.85M,133.70M,8.086M,,333.32M,0.00,26.00M,,182.54M,,3.042M,96.32M,307.90M,-207.41M,100.49M,16.11M,18.70M,34.81M,,,27.36M,14.90M,177.56M,510.88M,,73.94M,14.11M,88.05M,57.79M,145.85M,13.88M,,,0.549M,,0.549M,60.11M,220.39M,26.03M,1.524B,,1.524B,5.455M,5.455M,17.01M,,1.572B,1.793B,,0.549M,-1.281B,1.036M,-2.334M,-1.282B,,AOR,Restated
2014-06,15.30M,,15.30M,105.97M,,,,105.97M,,,,33.54M,30.35M,126.42M,9.387M,,320.98M,0.00,23.66M,,178.32M,,9.298M,91.30M,302.58M,-204.52M,98.06M,16.11M,17.22M,33.33M,,,28.91M,14.39M,174.69M,495.67M,,73.18M,14.44M,87.62M,62.45M,150.07M,13.69M,,,0.538M,,0.538M,51.71M,216.01M,24.98M,1.524B,,1.524B,3.84M,3.84M,16.64M,,1.569B,1.785B,,0.551M,-1.288B,0.12M,-2.358M,-1.290B,,AOR,Restated
2014-03,38.38M,,38.38M,103.88M,,,,103.88M,,,,33.58M,11.99M,158.81M,7.243M,,353.88M,0.00,23.65M,,175.28M,,6.609M,91.04M,296.56M,-200.85M,95.72M,16.11M,14.74M,30.85M,,,30.37M,13.49M,170.43M,524.31M,,73.18M,14.49M,87.67M,64.55M,152.22M,13.84M,,,24.16M,,24.16M,50.18M,240.40M,25.60M,1.506B,,1.506B,4.572M,4.572M,16.44M,,1.553B,1.793B,,0.558M,-1.270B,3.171M,-2.568M,-1.269B,,AOR,Restated
2013-12,14.38M,,14.38M,105.78M,,1.823M,,107.60M,,30.32M,,30.32M,18.38M,170.15M,10.71M,,351.54M,0.00,23.42M,,174.67M,,8.90M,90.51M,297.50M,-199.91M,97.58M,16.60M,14.46M,31.06M,3.269M,0.894M,31.86M,9.046M,173.72M,525.26M,,83.41M,11.85M,95.26M,48.61M,143.86M,18.26M,,,24.14M,,24.14M,44.70M,254.61M,25.53M,1.512B,,1.512B,7.827M,7.827M,15.19M,,1.561B,1.815B,,0.558M,-1.289B,0.669M,-1.984M,-1.290B,,AOR,Restated
2013-09,32.08M,,32.08M,92.76M,,,,92.76M,,,,30.28M,20.47M,117.36M,9.462M,,302.41M,0.00,23.72M,,174.48M,,5.308M,84.95M,288.47M,-199.14M,89.33M,16.60M,13.09M,29.68M,,,33.98M,13.12M,166.11M,468.52M,,63.01M,11.69M,74.70M,58.81M,133.51M,13.75M,,,24.14M,,24.14M,54.07M,225.48M,25.45M,1.518B,,1.518B,6.74M,6.74M,14.65M,,1.565B,1.791B,,0.557M,-1.321B,0.588M,-2.267M,-1.322B,,AOR,Restated
2013-06,40.84M,,40.84M,93.99M,,,,93.99M,,,,28.00M,21.50M,107.76M,10.45M,,302.54M,0.00,23.72M,,172.36M,,4.045M,84.46M,284.58M,-196.02M,88.55M,16.60M,12.50M,29.10M,,,35.49M,13.12M,166.26M,468.80M,,63.88M,12.21M,76.09M,66.57M,142.66M,13.95M,,,24.15M,,24.15M,48.05M,228.81M,24.95M,1.524B,,1.524B,4.291M,4.291M,15.12M,,1.569B,1.798B,,0.558M,-1.327B,0.064M,-2.393M,-1.329B,,AOR,Restated
2013-03,75.08M,,75.08M,90.16M,,,,90.16M,,,,29.92M,10.63M,94.66M,8.117M,,308.56M,0.00,23.72M,,172.08M,,5.187M,83.11M,284.09M,-194.32M,89.78M,16.60M,11.39M,27.99M,,,37.06M,13.17M,168.00M,476.56M,,69.09M,12.55M,81.63M,70.72M,152.35M,13.74M,,,24.21M,,24.21M,33.28M,223.58M,24.78M,1.530B,,1.530B,4.158M,4.158M,16.99M,,1.576B,1.800B,,0.563M,-1.321B,0.00,-2.437M,-1.323B,,AOR,Restated
2012-12,54.81M,,54.81M,94.10M,,1.858M,,95.96M,,31.06M,,31.06M,11.21M,97.93M,15.29M,,306.27M,0.00,24.46M,,168.45M,,9.967M,80.28M,283.16M,-191.71M,91.44M,16.60M,11.39M,27.98M,2.097M,3.028M,38.74M,8.635M,171.93M,478.20M,,77.41M,1.502M,78.92M,48.48M,127.40M,17.99M,,,24.35M,,24.35M,37.92M,229.50M,24.20M,1.536B,,1.536B,7.001M,7.001M,16.58M,,1.584B,1.814B,,0.563M,-1.335B,1.664M,-2.386M,-1.336B,,AOR,Restated
2012-09,34.55M,,34.55M,86.76M,,,,86.76M,,,,26.76M,13.60M,96.57M,13.88M,,272.13M,0.00,24.44M,,173.65M,,2.064M,79.96M,280.12M,-193.58M,86.54M,16.60M,10.31M,26.91M,,,40.78M,14.60M,168.82M,440.95M,,61.88M,,61.88M,61.37M,123.25M,14.81M,,,24.44M,,24.44M,35.65M,198.15M,21.88M,1.543B,,1.543B,7.589M,7.589M,16.35M,,1.588B,1.786B,,0.568M,-1.345B,0.911M,-2.425M,-1.346B,,AOR,Restated
2012-06,10.75M,35.58M,46.34M,85.52M,,,,85.52M,,,,26.58M,21.68M,59.63M,14.75M,,254.50M,0.00,24.33M,,176.12M,,2.756M,79.63M,282.83M,-195.05M,87.78M,16.60M,8.873M,25.47M,,,42.33M,14.54M,170.12M,424.62M,,59.22M,,59.22M,82.25M,141.47M,,,,60.12M,,60.12M,,201.60M,,1.549B,,1.549B,6.719M,6.719M,36.84M,,1.592B,1.794B,,0.568M,-1.367B,0.00,-2.403M,-1.369B,,AOR,Restated
2012-03,214.73M,30.65M,245.38M,80.07M,,,,80.07M,,,,26.77M,15.07M,47.27M,13.33M,,427.89M,0.00,24.28M,,174.31M,,3.012M,79.27M,280.87M,-191.22M,89.66M,16.60M,8.629M,25.23M,,,43.16M,15.35M,173.39M,601.28M,,62.03M,186.98M,249.02M,64.91M,313.92M,,,,55.16M,,55.16M,,369.09M,,1.555B,,1.555B,6.331M,6.331M,36.94M,,1.598B,1.967B,,0.579M,-1.364B,0.00,-2.313M,-1.366B,,AOR,Restated
2011-12,50.29M,,50.29M,87.20M,,0.945M,,88.14M,,,,30.70M,12.23M,128.89M,16.58M,,326.84M,0.00,23.71M,,171.73M,,6.052M,79.52M,281.01M,-188.61M,92.40M,16.65M,8.176M,24.82M,1.538M,5.07M,20.91M,8.958M,153.70M,480.54M,,69.71M,,69.71M,45.49M,115.21M,23.09M,,,0.904M,,0.904M,36.28M,197.18M,21.33M,1.450B,,1.450B,5.021M,5.021M,16.38M,,1.493B,1.690B,,0.577M,-1.208B,0.00,-2.401M,-1.210B,,AOR,Restated
2011-09,32.08M,,32.08M,81.15M,,0.949M,,82.10M,,,,25.73M,18.81M,116.68M,13.35M,,288.76M,0.00,22.92M,,171.78M,,3.343M,79.19M,277.23M,-187.65M,89.59M,16.67M,7.413M,24.08M,,,21.54M,14.26M,149.47M,438.22M,,54.22M,,54.22M,67.17M,121.39M,14.90M,,,0.894M,,0.894M,33.39M,170.58M,16.39M,1.451B,,1.451B,,,21.54M,,1.489B,1.659B,,0.582M,-1.219B,0.00,-2.523M,-1.221B,,AOR,Restated
2011-06,78.64M,31.86M,110.49M,84.33M,,1.263M,,85.59M,,,,28.65M,21.69M,79.79M,14.02M,,340.23M,0.00,22.76M,,173.99M,,3.99M,81.80M,282.54M,-190.22M,92.32M,16.94M,8.328M,25.26M,,,16.07M,13.10M,146.76M,486.99M,,58.69M,,58.69M,80.98M,139.67M,,,,32.68M,,32.68M,,172.35M,,1.451B,,1.451B,,,35.08M,,1.486B,1.658B,,0.607M,-1.202B,32.34M,-2.623M,-1.171B,,AOR,Restated
2011-03,92.58M,27.27M,119.85M,83.85M,,1.343M,,85.19M,,,,29.64M,7.718M,84.76M,11.87M,,339.04M,0.00,23.22M,,173.96M,,3.721M,81.11M,282.02M,-188.05M,93.96M,16.94M,7.767M,24.70M,,,16.92M,12.80M,148.39M,487.43M,,63.30M,,63.30M,79.75M,143.05M,,,,28.10M,,28.10M,,171.15M,,1.451B,,1.451B,,,32.92M,,1.484B,1.655B,,0.617M,-1.227B,61.22M,-2.654M,-1.168B,,AOR,Restated
2010-12,47.94M,36.13M,84.08M,80.41M,,1.509M,,81.92M,,,,27.00M,9.76M,85.53M,16.75M,,305.04M,0.00,23.21M,,175.12M,,4.028M,83.45M,285.82M,-188.43M,97.38M,17.36M,7.788M,25.14M,1.193M,2.668M,20.92M,8.49M,155.80M,460.84M,,56.60M,,56.60M,78.79M,135.39M,,,,0.835M,,0.835M,49.90M,186.13M,,1.451B,,1.451B,,,16.60M,17.44M,1.485B,1.671B,,0.601M,-1.254B,45.53M,-2.74M,-1.211B,,AOR,Restated
2010-09,39.20M,,39.20M,75.84M,,1.365M,,77.20M,,,,25.44M,5.911M,102.68M,12.98M,,263.41M,0.00,22.89M,,171.71M,,2.491M,82.92M,280.00M,-183.00M,97.01M,17.39M,7.01M,24.40M,,,28.13M,12.73M,162.27M,425.68M,,52.70M,,52.70M,68.20M,120.90M,12.44M,,,0.758M,,0.758M,25.19M,159.29M,17.27M,1.475B,,1.475B,,,16.05M,,1.508B,1.668B,,0.592M,-1.278B,38.84M,-3.077M,-1.242B,,AOR,Restated
2010-06,28.98M,,28.98M,76.56M,,1.335M,,77.90M,,,,27.68M,8.361M,98.67M,12.87M,,254.45M,0.00,22.13M,,169.64M,,3.093M,82.67M,277.53M,-179.09M,98.44M,17.39M,5.633M,23.02M,,,29.51M,13.15M,164.13M,418.58M,,56.02M,,56.02M,66.69M,122.71M,12.24M,,,10.52M,,10.52M,21.00M,166.47M,14.60M,1.485B,,1.485B,,,16.02M,,1.515B,1.682B,,0.59M,-1.295B,34.38M,-3.236M,-1.263B,,AOR,Restated
2010-03,27.99M,22.30M,50.30M,75.05M,,1.029M,,76.08M,,,,26.58M,8.222M,86.01M,12.93M,,260.10M,0.00,21.97M,,169.42M,,2.133M,82.64M,276.17M,-176.25M,99.92M,17.41M,4.384M,21.79M,,,15.73M,30.07M,167.52M,427.62M,,55.07M,,55.07M,77.34M,132.40M,,,,34.92M,,34.92M,,167.32M,,1.530B,,1.530B,,,20.30M,,1.550B,1.718B,,0.589M,-1.317B,30.40M,-3.497M,-1.290B,,AOR,Restated
2009-12,42.39M,25.12M,67.51M,76.27M,,1.079M,,77.35M,,,,25.89M,6.155M,91.14M,10.62M,,278.67M,0.00,21.82M,,170.20M,,4.499M,83.19M,279.72M,-176.94M,102.78M,17.61M,3.233M,20.84M,1.406M,1.936M,39.11M,9.024M,175.09M,453.76M,,64.12M,,64.12M,67.78M,131.90M,,,,50.37M,,50.37M,37.15M,219.42M,,1.522B,,1.522B,,,17.74M,15.13M,1.555B,1.775B,,0.586M,-1.342B,24.49M,-4.106M,-1.321B,,AOR,Restated
2009-09,48.73M,21.60M,70.33M,64.87M,,1.052M,,65.92M,,,,26.32M,4.544M,87.27M,9.289M,,263.68M,0.00,21.82M,,169.31M,,1.356M,84.08M,276.57M,-173.96M,102.61M,17.57M,3.071M,20.64M,,,45.46M,11.36M,180.07M,443.74M,,45.75M,,45.75M,58.36M,104.11M,,,,52.89M,,52.89M,,157.00M,,1.620B,,1.620B,,,17.17M,,1.637B,1.794B,,0.584M,-1.366B,19.20M,-4.328M,-1.350B,,AOR,Restated
2009-06,61.70M,26.59M,88.28M,64.86M,,0.918M,,65.77M,,,,25.18M,10.43M,73.16M,9.08M,,271.91M,0.00,22.06M,,166.98M,,4.836M,83.16M,277.04M,-172.21M,104.82M,17.59M,3.31M,20.90M,,,52.27M,12.07M,190.06M,461.97M,,39.98M,,39.98M,61.74M,101.72M,,,,57.17M,,57.17M,,158.89M,,1.658B,,1.658B,,,17.85M,,1.676B,1.835B,,0.576M,-1.383B,14.70M,-4.548M,-1.373B,,AOR,Restated
2009-03,67.85M,,67.85M,66.46M,,0.615M,,67.08M,,,,28.94M,5.742M,65.86M,9.219M,32.47M,277.15M,0.00,22.06M,,168.85M,,2.115M,83.48M,276.51M,-170.91M,105.60M,17.68M,3.481M,21.16M,,,57.33M,12.19M,196.28M,473.43M,,46.58M,,46.58M,63.16M,109.74M,,,,25.35M,,25.35M,42.51M,177.59M,,1.657B,,1.657B,,,14.80M,20.29M,1.693B,1.870B,,0.573M,-1.398B,5.742M,-5.084M,-1.397B,,AOR,Restated
